"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Деркач
Андрій
Леонідович","Доля
Олексій
Васильович","Кравченко
Світлана
Анатоліївна","Кубраков
Сергій
Володимирович","Любивий
Володимир
Анатолійович","Московченко
Віктор
Васильович","Петрук
Ольга
Андріївна","Семеніхін
Артем
Юрійович","Шульга
Микола
Іванович","Дата підписання протоколу"
"590135","159","Сумська область","сільський клуб, фойє
вул.Шевченко, 1, с.Ходине, Глухівський р-н, Сумська обл., 41476","342","116","336","32","201","25","226","","0","201","25","226","5","221","172","4","0","3","1","33","0","8","0","29.10.12"
"590136","159","Сумська область","ДНЗ ""Горобинка"", спортивний зал
вул.Ковйонська, 154, смт Шалигине, Глухівський р-н, Сумська обл., 41470","504","168","490","41","295","41","336","","0","295","41","336","7","329","284","2","3","2","0","23","3","11","1","29.10.12"
"590137","159","Сумська область","Шалигинська школа, фойє
вул.Шкільна, 2, смт Шалигине, Глухівський р-н, Сумська обл., 41470","1284","529","1261","56","700","55","755","","0","700","55","755","34","721","571","10","5","16","4","66","2","44","3","29.10.12"
"590138","159","Сумська область","сільський клуб, фойє
вул.Центральна, 61, с.Старикове, Глухівський р-н, Сумська обл., 41444","174","59","165","11","104","11","115","","0","104","11","115","5","110","98","1","0","0","0","7","2","2","0","29.10.12"
"590139","159","Сумська область","Соснівська школа, фойє
вул.Будьонного, 70, с.Соснівка, Глухівський р-н, Сумська обл., 41442","438","160","427","32","246","32","278","","0","246","32","278","5","273","211","2","5","7","1","19","5","18","5","29.10.12"
"590140","159","Сумська область","сільський клуб, глядацький зал
вул.Центральна, 91, с.Катеринівка, Глухівський р-н, Сумська обл., 41443","162","55","158","14","94","13","107","","0","94","13","107","5","102","96","0","1","1","0","2","0","2","0","29.10.12"
"590141","159","Сумська область","сільський клуб, фойє
вул.Радянська, 14А, с.Білокопитове, Глухівський р-н, Сумська обл., 41446","552","235","545","35","285","32","317","","0","285","32","317","8","309","193","4","6","8","3","46","2","45","2","29.10.12"
"590142","159","Сумська область","Сварківська школа, спортивний зал
вул.Леніна, 7, с.Сваркове, Глухівський р-н, Сумська обл., 41445","636","227","631","34","375","34","409","","0","375","34","409","20","389","326","6","9","3","0","21","2","20","2","29.10.12"
"590143","159","Сумська область","Черневська школа, фойє
вул.Пивоварова, 1А, с.Черневе, Глухівський р-н, Сумська обл., 41461","264","93","254","19","153","18","171","","0","153","18","171","4","167","147","2","0","5","0","6","0","7","0","29.10.12"
"590144","159","Сумська область","сільська рада, зал засідань
вул.Радянська, 100А, с.Перемога, Глухівський р-н, Сумська обл., 41460","876","342","857","55","479","55","534","","0","479","55","534","26","508","370","7","10","9","1","52","3","49","7","29.10.12"
"590145","159","Сумська область","Баницька школа, їдальня
вул.Мурашка, 171Б, с.Баничі, Глухівський р-н, Сумська обл., 41462","1122","408","1117","102","619","95","714","","0","619","95","714","23","691","477","9","15","15","0","62","6","104","3","29.10.12"
"590146","159","Сумська область","Уздицька школа, спортивний зал
вул.Шкільна, 1, с.Уздиця, Глухівський р-н, Сумська обл., 41463","498","211","485","55","237","50","287","","0","237","50","287","7","280","186","9","5","3","1","45","4","23","4","29.10.12"
"590147","159","Сумська область","будинок культури, танцювальний зал
вул.Сутиська, 14, с.Дунаєць, Глухівський р-н, Сумська обл., 41456","972","314","958","172","491","167","658","","0","491","167","658","29","629","448","12","14","4","1","29","7","101","13","29.10.12"
"590148","159","Сумська область","сільський клуб, глядацький зал
вул.Леніна, 8, с.Семенівка, Глухівський р-н, Сумська обл., 41454","432","136","420","68","229","67","296","","0","229","67","296","8","288","244","1","2","3","1","6","6","20","5","29.10.12"
"590149","159","Сумська область","будинок культури, глядацький зал
вул.Пушкіна, 32, с.Некрасове, Глухівський р-н, Сумська обл., 41454","666","198","650","65","404","64","468","","0","404","64","468","10","458","356","5","4","4","2","37","4","43","3","29.10.12"
"590150","159","Сумська область","будинок культури, фойє
вул.Леніна, 4, с.Полошки, Глухівський р-н, Сумська обл., 41452","972","397","960","54","530","45","575","","0","530","45","575","22","553","321","16","12","5","4","133","5","52","5","29.10.12"
"590151","159","Сумська область","будинок культури, фойє
вул.Коцеби, 51А, с.Обложки, Глухівський р-н, Сумська обл., 41453","576","189","572","53","337","50","387","","0","337","50","387","12","375","205","4","4","2","4","99","2","54","1","29.10.12"
"590152","159","Сумська область","Шевченківська школа, фойє
вул.Туманського, 103, с.Шевченкове, Глухівський р-н, Сумська обл., 41451","816","242","801","80","496","78","574","","0","496","78","574","13","561","343","3","3","4","1","143","2","59","3","29.10.12"
"590153","159","Сумська область","будинок культури, актовий зал
вул.Воронізький шлях, 36А, с.Землянка, Глухівський р-н, Сумська обл., 41450","342","121","333","50","174","47","221","","0","174","47","221","8","213","161","3","2","0","1","32","2","11","1","29.10.12"
"590154","159","Сумська область","будинок культури, танцювальний зал
вул.Леніна, 17, с.Слоут, Глухівський р-н, Сумська обл., 41436","1212","484","1198","74","667","61","728","","0","667","61","728","25","703","473","13","14","10","5","54","5","124","5","29.10.12"
"590155","159","Сумська область","будинок культури, фойє
вул.Дзержинського, 2А, с.Береза, Глухівський р-н, Сумська обл., 41437","1164","448","1154","84","640","76","716","","0","640","76","716","33","683","447","7","9","14","1","116","10","72","7","29.10.12"
"590156","159","Сумська область","сільський клуб, актовий зал
вул.Нова, 8, с.Іващенкове, Глухівський р-н, Сумська обл., 41437","198","60","196","16","122","16","138","","0","122","16","138","4","134","103","2","2","0","1","9","2","12","3","28.10.12"
"590157","159","Сумська область","сільський клуб, танцювальний зал
вул.40 років Перемоги, 6, с.Горіле, Глухівський р-н, Сумська обл., 41435","270","77","267","37","158","35","193","","0","158","35","193","3","190","159","5","2","0","2","12","4","6","0","28.10.12"
"590158","159","Сумська область","Первомайська школа, актовий зал
вул.Слави, 3, с.Первомайське, Глухівський р-н, Сумьска обл., 41430","474","143","474","35","298","33","331","","0","298","33","331","19","312","235","7","13","4","0","34","2","16","1","28.10.12"
"590159","159","Сумська область","Червонянська школа, актовий зал
вул.Радянська, 49, смт Червоне, Глухівський р-н, Сумська обл., 41432","1260","563","1228","85","623","74","697","","0","623","74","697","18","679","489","9","8","6","5","106","3","49","4","29.10.12"
"590160","159","Сумська область","будинок культури, фойє
вул.Гагаріна, 2, с.Пустогород, Глухівський р-н, Сумська обл., 41414","288","90","284","29","171","27","198","","0","171","27","198","6","192","149","3","1","4","1","24","0","8","2","28.10.12"
"590161","159","Сумська область","сільський клуб, фойє
вул.Миру, 9, с.Фотовиж, Глухівський р-н, Сумська обл., 41410","222","81","217","19","123","18","141","","0","123","18","141","2","139","115","4","3","2","0","11","0","4","0","28.10.12"
"590162","159","Сумська область","Сопицька школа, фойє
вул.Чкалова, 13, с.Сопич, Глухівський р-н, Сумська обл., 41412","534","207","531","40","288","39","327","","0","288","39","327","17","310","256","4","3","6","3","30","1","5","2","28.10.12"
"590163","159","Сумська область","Бачівська школа, фойє
вул.Трибунського, 1, с.Бачівськ, Глухівський р-н, Сумська обл., 41411","342","92","337","45","206","44","250","","0","206","44","250","7","243","226","5","0","1","1","7","0","2","1","29.10.12"
"590164","159","Сумська область","будинок культури, актова зала
вул.Леніна, 8, с.Вільна Слобода, Глухівський р-н, Сумська обл., 41415","252","79","242","23","151","22","173","","0","151","22","173","10","163","121","2","3","3","0","14","3","13","4","28.10.12"
"590165","159","Сумська область","Суходільська школа, фойє
вул.Нова, 27, с.Суходіл, Глухівський р-н, Сумсьска обл., 41420","336","84","328","36","222","30","252","","0","222","30","252","3","249","205","1","3","1","0","17","0","20","2","29.10.12"
"590166","159","Сумська область","Коренський фельдшерський пункт, каб.1
вул.Коренська, 48, с.Кореньок, Глухівський р-н, Сумська обл., 41420","180","62","178","25","94","24","118","","0","94","24","118","1","117","86","1","0","0","0","29","0","1","0","29.10.12"
"590167","159","Сумська область","будинок культури, глядацький зал
вул.Леніна, 42Б, с.Уланове, Глухівський р-н, Сумська обл., 41422","564","183","555","48","337","44","381","","0","337","44","381","10","371","285","3","4","3","0","69","2","3","2","29.10.12"
"590168","159","Сумська область","сільський клуб, танцювальний зал
вул.Леніна, 67, с.Яструбщина, Глухівський р-н, Сумська обл., 41421","240","61","227","21","160","19","179","","0","160","19","179","7","172","153","1","1","0","0","10","0","7","0","28.10.12"
"590169","159","Сумська область","будинок культури, танцювальний зал
вул.Радянська, 2, с.Кучерівка, Глухівський р-н, Сумська обл., 41426","498","147","491","43","308","43","351","","0","308","43","351","15","336","259","5","3","5","1","38","2","21","2","29.10.12"
"590170","159","Сумська область","Студеноцька школа, фойє
вул.Леніна, 17, с.Студенок, Глухівський р-н, Сумська обл., 41441","546","181","533","48","321","44","365","","0","321","44","365","12","353","260","11","6","4","1","52","4","11","4","29.10.12"
"590171","159","Сумська область","сільський клуб, глядацький зал
вул.Нова, 18, с.Привілля, Глухівський р-н, Сумська обл., 41440","414","186","412","71","168","60","228","","0","168","60","228","6","222","183","3","5","3","0","15","0","13","0","29.10.12"
"590176","159","Сумська область","сільський будинок культури, хол
вул.Соборна, 8, с.Бочечки, Конотопський р-н, Сумська обл., 41635","498","183","482","32","288","27","315","","0","288","27","315","11","304","167","7","6","7","1","9","4","96","7","29.10.12"
"590177","159","Сумська область","контора ТОВ""Бочечківське"", зал засідань
вул.Садова, 13, с.Бочечки, Конотопський р-н, Сумська обл., 41635","600","221","593","51","332","47","379","","0","332","47","379","22","357","209","11","13","20","4","24","3","63","10","29.10.12"
"590181","159","Сумська область","сільський будинок культури, актова зала
вул.Комсомольська, 10б, с.В’язове, Конотопський р-н, Сумська обл., 41650","774","305","764","120","355","114","469","","0","355","114","469","16","453","298","7","5","6","4","24","2","102","5","29.10.12"
"590182","159","Сумська область","навчально-виховний комплекс, фойє
вул.Перемоги, 21, с.Грузьке, Конотопський р-н, Сумська обл., 41651","888","426","877","32","435","27","462","","0","435","27","462","19","443","203","18","21","1","5","26","10","134","25","29.10.12"
"590183","159","Сумська область","фельдшерський пункт, к.2
вул.Колгоспна, 1, с.Дубинка, Конотопський р-н, Сумська обл., 41652","264","108","260","29","132","24","156","","0","132","24","156","14","142","72","5","7","3","2","5","2","38","8","29.10.12"
"590185","159","Сумська область","сільський будинок культури, к.1
вул.Чапаєва, 8, с.Духанівка, Конотопський р-н, Сумська обл., 41646","522","146","509","106","278","98","376","","0","278","98","376","8","368","296","5","6","7","4","20","2","25","3","29.10.12"
"590186","159","Сумська область","фельдшерський пункт, к.2
вул.Ватутіна, 112, с.Бережне, Конотопський р-н, Сумська обл., 41647","174","67","169","45","62","45","107","","0","62","45","107","3","104","49","4","4","1","3","6","3","26","8","28.10.12"
"590188","159","Сумська область","навчально-виховний комплекс, фойє
вул.Леніна, 16, с.Землянка, Конотопський р-н, Сумська обл., 41653","408","144","403","55","211","53","264","","0","211","53","264","10","254","188","11","7","1","2","13","2","18","12","29.10.12"
"590190","159","Сумська область","будинок культури, к.2
вул.40-років Перемоги, 20, с.Козацьке, Конотопський р-н, Сумська обл., 41644","966","475","953","22","474","17","491","","0","474","17","491","19","472","231","8","7","9","5","25","1","173","13","29.10.12"
