"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрусенко
Микола
Андрійович","Ващенко
Олександр
Григорович","Коломієць
Віталій
Миколайович","Моісеєнко
Віталій
Володимирович","Непочатов
Олександр
Миколайович","Позняк
Віталій
Степанович","Саєнко
Олександр
Іванович","Солдатенко
Надія
Олексіївна","Хоменко
Альберт
Анатолійович","Храпатий
Віктор
Федорович","Шульга
Володимир
Петрович","Ющенко
Петро
Андрійович","Дата підписання протоколу"
"590833","161","Сумська область","Вище професійне училище, зал бібліотеки
вул.Коржівська, 44, м.Ромни, Сумська обл., 42000","1680","684","1658","40","961","35","996","","0","961","35","996","28","968","24","14","15","4","17","33","340","17","19","22","406","57","29.10.12"
"590834","161","Сумська область","коледж КНЕУ, фойє, 1-й поверх
вул.Горького, 250, м.Ромни, Сумська обл., 42009","1566","677","1572","7","884","5","889","","0","884","5","889","47","842","32","11","15","6","12","22","303","11","12","15","350","53","29.10.12"
"590835","161","Сумська область","школа №6, фойє, 1-й поверх
вул.Чапаєва, 5, м.Ромни, Сумська обл., 42009","1560","636","1531","19","905","19","924","","0","905","19","924","31","893","45","16","16","3","10","21","279","16","10","12","404","61","29.10.12"
"590836","161","Сумська область","дитячий садок №3, музична зала
5 пров.Маяковського, 3А, м.Ромни, Сумська обл., 42009","1518","793","1500","6","723","2","725","","0","723","2","725","24","701","37","5","21","5","8","39","207","8","7","5","322","37","29.10.12"
"590837","161","Сумська область","школа №9, фойє, 1-й поверх
вул.Дудіна, 43, м.Ромни, Сумська обл., 42007","1494","710","1442","22","764","20","784","","0","764","20","784","41","743","21","5","13","2","8","20","239","15","13","8","363","36","29.10.12"
"590838","161","Сумська область","школа №11, фойє, 2-й поверх
вул.Горького, 121, м.Ромни, Сумська обл., 42001","1584","720","1542","31","838","26","864","","0","838","26","864","36","828","33","10","15","2","9","41","257","18","10","20","359","54","29.10.12"
"590839","161","Сумська область","дитячий садок №7, музична зала
вул.Інтернаціональна, 38, м.Ромни, Сумська обл., 42001","1662","736","1631","20","911","15","926","","0","911","15","926","52","874","31","8","19","2","16","27","220","13","8","20","450","60","29.10.12"
"590840","161","Сумська область","школа №5, вестибюль 1-го поверху
вул.Прокопенко, 76, м.Ромни, Сумська обл., 42006","1584","725","1559","20","842","17","859","","0","841","17","858","34","824","15","8","17","3","13","29","264","18","14","6","374","63","29.10.12"
"590841","161","Сумська область","завод ""Буддеталь"", адміністративна будівля цегельного цеху, зала засідань
вул.Прокопенко, 106А, м.Ромни, Сумська обл., 42006","1650","879","1657","27","747","24","771","","0","747","24","771","35","736","33","15","9","6","8","19","201","11","6","9","368","51","29.10.12"
"590842","161","Сумська область","коледж СНАУ, навчальний корпус 2, фойє, 1-й поверх
вул.Горького, 56, м.Ромни, Сумська обл., 42001","1434","650","1446","16","772","12","784","","0","772","12","784","30","754","19","6","17","7","6","24","283","11","7","5","309","60","29.10.12"
"590843","161","Сумська область","школа №10, вестибюль, 1-й поверх
вул.Конотопська, 50, м.Ромни, Сумська обл., 42005","1458","684","1429","16","759","15","774","","0","759","15","774","31","743","24","4","20","2","8","19","229","9","9","17","362","40","29.10.12"
"590844","161","Сумська область","дитячий садок №2, музична зала
вул.Конотопська, 46А, м.Ромни, Сумська обл., 42005","1524","738","1506","10","776","10","786","","0","776","10","786","18","768","18","7","12","6","20","26","238","16","20","14","352","39","29.10.12"
"590845","161","Сумська область","СТК ТСО України, учбовий корпус, к.1
вул.Артема, 33, м.Ромни, Сумська обл., 42004","1872","847","1862","35","992","33","1025","","0","992","33","1025","60","965","35","12","21","4","10","23","313","4","7","9","466","61","29.10.12"
"590846","161","Сумська область","школа №7, вестибюль
вул.Полтавська, 32, м.Ромни, Сумська обл., 42004","1872","812","1847","10","1050","10","1060","","0","1050","10","1060","48","1012","19","13","12","0","10","26","339","10","14","13","483","73","29.10.12"
"590847","161","Сумська область","дитячий садок №8, музична зала
вул.9 Травня, 24Б, м.Ромни, Сумська обл., 42004","1944","836","1908","24","1090","18","1108","","0","1090","18","1108","30","1078","27","21","11","6","20","20","323","15","17","11","540","67","29.10.12"
"590848","161","Сумська область","Роменська НГРЕ, зала засідань
вул.9 Травня, 22, м.Ромни, Сумська обл., 42004","2004","921","1943","33","1054","29","1083","","0","1054","29","1083","36","1047","33","15","31","7","21","39","289","14","21","8","520","49","29.10.12"
"590849","161","Сумська область","школа №8, фойє, 1-й поверх
вул.Семирічки, 94, м.Ромни, Сумська обл., 42004","1938","976","1923","20","947","15","962","","0","947","15","962","30","932","15","9","10","8","11","23","320","8","18","17","452","41","29.10.12"
"590850","161","Сумська область","Роменська центральна районна лікарня, адміністративна будівля гаража, фойє
бульв.Московський, 24, м.Ромни, Сумська обл., 42001","504","433","72","0","71","0","71","","0","71","0","71","0","71","1","1","1","0","1","5","41","1","0","0","18","2","29.10.12"
"590851","161","Сумська область","Комунальний заклад ""Перша обласна спеціалізована лікарня"", актова зала
бульв.Московський, 29, м.Ромни, Сумська обл., 42001","66","0","98","0","66","0","66","","0","66","0","66","11","55","5","2","4","4","3","4","21","0","0","0","4","8","29.10.12"
