"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балабан
Наталія
Володимирівна","Білоус
Василь
Васильович","Білоус
Інна
Василівна","Благодир
Андрій
Валерійович","Гінзбург
Ольга
Петрівна","Демидко
Віталій
Олегович","Молоток
Ігор
Федорович","Нога
Микола
Олександрович","Нога
Микола
Петрович","Петько
Сергій
Валентинович","Портянко
Максим
Андрійович","Ружина
Анастасія
Олегівна","Рябченко
Олег
Миколайович","Стриженко
Микола
Миколайович","Талала
Сергій
Миколайович","Ходькова
Аліна
Миколаївна","Яровий
Андрій
Михайлович","Дата підписання протоколу"
"590768","160","Сумська область","гурт. ТОВ""Паритет-Капітал"", актова зала
вул.Братів Радченків, 49, м.Конотоп, Сумська обл., 41600","1864","807","1846","18","1042","15","1057","","0","1042","15","1057","63","994","17","6","6","1","133","37","142","30","135","3","0","2","160","8","303","3","8","29.10.12"
"590769","160","Сумська область","Конотопська школа №5, їдальня
вул.Короленка, 6, м.Конотоп, Сумська обл., 41600","2128","1023","2095","35","1081","24","1105","","0","1081","24","1105","55","1050","11","4","11","3","122","58","132","11","109","1","1","1","217","13","343","1","12","29.10.12"
"590770","160","Сумська область","політехнічний технікум КІСумДУ, вестибюль
вул.Садова, 39, м.Конотоп, Сумська обл., 41600","2180","1018","2145","28","1136","26","1162","","0","1136","26","1162","53","1109","18","1","6","1","113","37","155","20","169","0","0","2","236","9","314","2","26","29.10.12"
"590771","160","Сумська область","ЦДЮТ, актова зала, 2-й поверх
просп.Миру, 6, м.Конотоп, Сумська обл., 41600","1976","847","1950","24","1109","20","1129","","0","1109","20","1129","39","1090","33","2","7","2","138","45","161","24","139","0","3","3","208","8","300","2","15","29.10.12"
"590772","160","Сумська область","Конотопська гімназія, спортивна зала
вул.Братів Радченків, 21, м.Конотоп, Сумська обл., 41600","2116","1095","2013","36","992","29","1021","","0","992","29","1021","44","977","10","6","8","1","111","38","147","14","113","1","3","2","240","6","257","0","20","29.10.12"
"590773","160","Сумська область","Конотопське відділення МАУП, актова зала
просп.Леніна, 15, м.Конотоп, Сумська обл., 41600","2048","950","2010","19","1083","15","1098","","0","1083","15","1098","43","1055","14","4","4","3","120","59","153","16","101","0","2","0","249","10","292","3","25","29.10.12"
"590774","160","Сумська область","Конотопська школа №2, к.21, 22
вул.Виконкомівська, 12, м.Конотоп, Сумська обл., 41600","1260","648","1237","12","601","11","612","","0","601","11","612","28","584","10","1","5","3","80","31","76","14","51","0","0","2","125","3","172","1","10","29.10.12"
"590775","160","Сумська область","будинок культури ""Зоряний"", фойє, 1-й поверх
просп.Леніна, 7, м.Конотоп, Сумська обл., 41600","2264","1102","2243","28","1139","23","1162","","0","1139","23","1162","52","1110","14","4","14","3","124","56","163","22","122","0","1","1","312","7","248","1","18","29.10.12"
"590776","160","Сумська область","Конотопське медичне училище, вестибюль
просп.Леніна, 3, м.Конотоп, Сумська обл., 41600","1068","562","1054","21","490","16","506","","0","490","16","506","30","476","4","1","3","1","67","31","93","17","40","1","3","1","98","3","103","1","9","29.10.12"
"590777","160","Сумська область","гуртожиток ТОВ Мотордеталь-Конотоп, актова зала
вул.Металістів, 2, м.Конотоп, Сумська обл., 41600","1440","753","1417","10","678","9","687","","0","678","9","687","22","665","22","0","7","1","63","23","160","22","56","2","2","3","137","4","159","2","2","29.10.12"
"590778","160","Сумська область","Конотопська школа №9, актова зала
вул.Вирівська, 23А, м.Конотоп, Сумська обл., 41600","1052","461","1034","8","586","5","591","","0","586","5","591","24","567","9","1","4","3","47","17","118","10","53","1","1","0","155","2","139","2","5","29.10.12"
"590779","160","Сумська область","ДНЗ №8 ""Волошка"", музична зала
вул.Вирівська, буд.23Б, м.Конотоп, Сумська обл., 41600","2056","1029","2024","12","1018","9","1027","","0","1018","9","1027","63","964","15","1","9","5","152","36","176","12","82","1","1","1","202","9","255","1","6","29.10.12"
"590780","160","Сумська область","ДПТНЗ ""Конотопське ПТУ"", коридор навчального корпусу
вул.Будівельників, 24, м.Конотоп, Сумська обл., 41600","1440","789","1422","6","648","3","651","","0","648","3","651","24","627","12","2","6","2","87","21","137","9","55","2","0","6","99","4","175","2","8","28.10.12"
