"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Козловський
Анатолій
Михайлович","Корнацький
Аркадій
Олексійович","Пєшехонов
Анатолій
Анатолійович","Романюк
Анатолій
Сергійович","Терьохін
Сергій
Євгенович","Толубко
Володимир
Борисович","Травянко
Віталій
Іванович","Дата підписання протоколу"
"480141","132","Миколаївська область","школа, актова зала
вул.Набережна, 65, с.Михайло-Жукове, Братський р-н, Миколаївська обл., 55423","280","93","284","13","174","13","187","","0","174","13","187","14","173","11","37","5","25","2","5","88","29.10.12"
"480142","132","Миколаївська область","школа, фойє
вул.Набережна, 26, с.Іллічівка, Братський р-н, Миколаївська обл., 55472","368","165","367","13","193","10","203","","0","193","10","203","8","195","23","74","8","16","2","3","69","28.10.12"
"480143","132","Миколаївська область","школа, фойє
вул.70 років Жовтня, 18, с.Микільське, Братський р-н, Миколаївська обл., 55485","232","83","228","8","141","8","149","","0","141","8","149","6","143","17","32","8","19","7","5","55","28.10.12"
"480144","132","Миколаївська область","школа, фойє
вул.Шкільна, 17, с.Кам’яно-Костувате, Братський р-н, Миколаївська обл., 55442","312","127","314","9","180","5","185","","0","180","5","185","4","181","16","73","3","15","3","3","68","28.10.12"
"480145","132","Миколаївська область","школа, фойє
вул.Шкільна, 48, с.Костувате, Братський р-н, Миколаївська обл., 55434","352","70","364","34","259","23","282","","0","259","23","282","9","273","18","42","4","10","4","9","186","28.10.12"
"480146","132","Миколаївська область","будинок культури, фойє
вул.Хмеленка, 27, с.Крива Пустош, Братський р-н, Миколаївська обл., 55450","416","151","406","37","230","35","265","","0","230","35","265","16","249","20","83","5","11","3","7","120","29.10.12"
"480147","132","Миколаївська область","сільський клуб, глядачевий зал
вул.Гамазіна, 2, с.Миколаївка, Братський р-н, Миколаївська обл., 55460","384","145","384","5","234","5","239","","0","234","5","239","13","226","19","59","4","29","3","7","105","28.10.12"
"480148","132","Миколаївська область","будинок культури, фоєй
вул.Щорса, 35, с.Миролюбівка, Братський р-н, Миколаївська обл., 55444","424","85","422","14","325","14","339","","0","325","14","339","16","323","18","59","2","12","1","4","227","28.10.12"
"480149","132","Миколаївська область","школа, фойє
вул.Миру, 45, с.Новокостянтинівка, Братський р-н, Миколаївська обл., 55482","752","268","754","41","447","37","484","","0","447","37","484","16","468","28","118","7","23","3","11","278","29.10.12"
"480150","132","Миколаївська область","бібліотека, читальний зал
вул.Жовтнева, 3А, с.Надеждівка, Братський р-н, Миколаївська обл., 55485","192","66","190","16","110","16","126","","0","110","16","126","3","123","10","33","0","11","3","2","64","28.10.12"
"480151","132","Миколаївська область","школа, фойє
пров.Шкільний, 8, с.Новомар’ївка, Братський р-н, Миколаївська обл., 55424","416","142","413","26","250","24","274","","0","250","24","274","9","265","16","50","6","17","2","2","172","28.10.12"
"480152","132","Миколаївська область","сільський клуб, глядачевий зал
вул.Горького, 8А, с.Обухівка, Братський р-н, Миколаївська обл., 55425","320","88","324","17","217","15","232","","0","217","15","232","1","231","16","41","5","8","1","1","159","29.10.12"
"480153","132","Миколаївська область","школа, фойє
вул.Чапаєва, 1, с.Новоолександрівка, Братський р-н, Миколаївська обл., 55480","448","197","440","15","237","14","251","","0","237","14","251","14","237","27","66","6","16","1","5","116","29.10.12"
"480154","132","Миколаївська область","школа, фойє
вул.Шкільна, 2, с.Петропавлівка, Братський р-н, Миколаївська обл., 55462","408","164","399","25","224","20","244","","0","224","20","244","11","233","18","77","2","20","0","6","110","29.10.12"
"480155","132","Миколаївська область","будинок культури, фойє
вул.Філімонова, 20А, с.Сергіївка, Братський р-н, Миколаївська обл., 55440","560","237","560","9","315","8","323","","0","315","8","323","13","310","13","75","6","25","3","12","176","29.10.12"
"480156","132","Миколаївська область","школа, актова зала
вул.Гагаріна, 10, с.Улянівка, Братський р-н, Миколаївська обл., 55452","352","95","353","8","250","7","257","","0","250","7","257","10","247","26","90","6","17","1","6","101","29.10.12"
"480157","132","Миколаївська область","школа, фойє
вул.Шмадченка, 3, с.Соколівка, Братський р-н, Миколаївська обл., 55453","184","53","180","2","129","2","131","","0","129","2","131","9","122","7","27","0","11","1","2","74","28.10.12"
"480158","132","Миколаївська область","будинок культури, фойє
вул.Шевченка, 26, с.Шевченко, Братський р-н, Миколаївська обл., 55470","400","176","389","16","210","14","224","","0","210","14","224","10","214","21","81","5","17","3","10","77","29.10.12"
"480222","132","Миколаївська область","СТОВ АФ ""Україна"", актова зала
вул.Героїв Врадіївщини, 61, смт Врадіївка, Врадіївський р-н, Миколаївська обл., 56301","1880","1028","1844","69","796","56","852","","0","796","56","852","48","804","81","327","23","72","19","43","239","29.10.12"
"480223","132","Миколаївська область","районна гімназія, фойє
вул.Горького, 112, смт Врадіївка, Врадіївський р-н, Миколаївська обл., 56301","2096","1161","2078","64","879","56","935","","0","879","56","935","30","905","82","337","44","101","11","42","288","29.10.12"
"480224","132","Миколаївська область","районний будинок культури, танцювальний зал
вул.Маяковського, 94, смт Врадіївка, Врадіївський р-н, Миколаївська обл., 56301","1752","1020","1710","52","689","43","732","","0","689","43","732","26","706","56","254","15","86","15","30","250","29.10.12"
"480225","132","Миколаївська область","ДП ""Врадіївський лісгосп"", актова зала
вул.Чкалова, 46, смт Врадіївка, Врадіївський р-н, Миколаївська обл., 56301","944","515","941","21","412","17","429","","0","412","17","429","17","412","42","149","10","38","11","17","145","29.10.12"
"480226","132","Миколаївська область","селищний будинок культури, глядацький зал
вул.Орджонікідзе, 145, смт Врадіївка, Врадіївський р-н, Миколаївська обл., 56301","808","456","798","11","343","9","352","","0","343","9","352","34","318","32","137","7","27","5","19","91","29.10.12"
"480227","132","Миколаївська область","сільський клуб, фойє
вул.Центральна, 27, с.Адамівка, Врадіївський р-н, Миколаївська обл., 56303","536","208","518","25","306","22","328","","0","306","22","328","12","316","8","54","8","12","1","22","211","29.10.12"
"480228","132","Миколаївська область","школа, фойє, 2-й поверх
вул.Шкільна, 29, с.Великовеселе, Врадіївський р-н, Миколаївська обл., 56340","400","200","398","31","170","30","200","","0","170","30","200","5","195","15","64","8","24","3","7","74","29.10.12"
"480229","132","Миколаївська область","початкова школа, другий клас
вул.Шкільна, 1, с.Новоолексіївка, Врадіївський р-н, Миколаївська обл., 56340","128","67","121","1","60","1","61","","0","60","1","61","2","59","4","19","4","8","1","0","23","29.10.12"
"480230","132","Миколаївська область","сільський будинок культури, фойє
вул.Леніна, 34, с.Гуляницьке, Врадіївський р-н, Миколаївська обл., 56323","552","237","549","23","292","23","315","","0","292","23","315","9","306","14","123","18","29","7","19","96","29.10.12"
"480231","132","Миколаївська область","сільский клуб, глядацкий зал
вул.Леніна, 19, с.Йосипівка, Врадіївський р-н, Миколаївська обл., 56325","208","97","199","13","98","13","111","","0","98","13","111","6","105","12","39","1","2","3","5","43","29.10.12"
"480232","132","Миколаївська область","школа, фойє
вул.Шкільна, 2А, с.Доброжанівка, Врадіївський р-н, Миколаївська обл., 56312","368","160","358","9","200","8","208","","0","200","8","208","5","203","13","65","21","25","1","4","74","29.10.12"
"480233","132","Миколаївська область","сільський будинок культури, фойє
вул.Леніна, 40, с.Богемка, Врадіївський р-н, Миколаївська обл., 56314","312","107","310","5","200","5","205","","0","200","5","205","8","197","9","104","6","18","2","8","50","29.10.12"
"480234","132","Миколаївська область","сільський будинок культури, фойє
вул.Новоселів, 13В, с.Новомиколаївське, Врадіївський р-н, Миколаївська обл., 56312","216","82","209","10","124","10","134","","0","124","10","134","1","133","4","49","5","3","4","7","61","29.10.12"
"480235","132","Миколаївська область","школа, фойє
вул.Центральна, 4, с.Жовтневе, Врадіївський р-н, Миколаївська обл., 56315","448","184","440","4","260","4","264","","0","260","4","264","9","255","16","167","1","10","2","7","52","29.10.12"
"480236","132","Миколаївська область","школа, їдальня
вул.Миру, 7, с.Іванівка, Врадіївський р-н, Миколаївська обл., 56330","272","123","265","13","137","12","149","","0","137","12","149","9","140","10","91","1","4","1","4","29","29.10.12"
"480237","132","Миколаївська область","школа, фойє
вул.Центральна, 7, с.Захарівка, Врадіївський р-н, Миколаївська обл., 56330","288","143","284","16","132","13","145","","0","132","13","145","2","143","13","53","11","7","0","1","58","29.10.12"
"480238","132","Миколаївська область","будинок культури, фойє
вул.Миру, 134, с.Кумарі, Врадіївський р-н, Миколаївська обл., 56309","352","141","348","19","192","19","211","","0","192","19","211","8","203","5","94","4","18","2","16","64","29.10.12"
"480239","132","Миколаївська область","школа, фойє
вул.Молодіжна, 2, с.Краснопіль, Врадіївський р-н, Миколаївська обл., 56320","304","128","295","29","155","21","176","","0","155","21","176","5","171","16","53","9","6","2","7","78","28.10.12"
"480240","132","Миколаївська область","школа, спортивний зал
вул.Центральна, 48, с.Федорівка, Врадіївський р-н, Миколаївська обл., 56320","312","125","306","24","166","21","187","","0","166","21","187","2","185","13","35","3","23","1","9","101","28.10.12"
"480241","132","Миколаївська область","школа, фойє
вул.Шкільна, 1А, с.Нововасилівка, Врадіївський р-н, Миколаївська обл., 56332","552","350","542","11","193","9","202","","0","193","9","202","10","192","16","81","5","11","2","21","56","29.10.12"
"480242","132","Миколаївська область","школа, коридор
вул.Леніна, 38, с.Новопавлівка, Врадіївський р-н, Миколаївська обл., 56341","912","455","889","46","411","46","457","","0","411","46","457","13","444","31","186","6","40","10","32","139","29.10.12"
"480243","132","Миколаївська область","школа, фойє
вул.Леніна, 132Г, с.Сирове, Врадіївський р-н, Миколаївська обл., 56310","1088","550","1063","29","515","23","538","","0","515","23","538","24","514","37","121","48","30","9","53","216","29.10.12"
"480244","132","Миколаївська область","центральна районна лікарня, актова зала
вул.Фрунзе, 2, смт Врадіївка, Врадіївський р-н, Миколаївська обл., 56301","112","82","32","9","23","7","30","","0","23","7","30","1","29","2","10","0","4","0","1","12","28.10.12"
"480377","132","Миколаївська область","будинок культури, актова зала
вул.Горького, 22, с.Багачівка, Кривоозерський р-н, Миколаївська обл., 55152","520","189","514","22","309","22","331","","0","309","22","331","8","323","9","196","2","35","2","4","75","29.10.12"
"480378","132","Миколаївська область","будинок культури, фойє
вул.Садова, 28, с.Миколаївка, Кривоозерський р-н, Миколаївська обл., 55152","96","28","96","3","65","3","68","","0","65","3","68","3","65","1","46","0","1","0","0","17","29.10.12"
"480379","132","Миколаївська область","школа, спортивна зала
вул.45 років Перемоги, 1, с.Берізки, Кривоозерський р-н, Миколаївська обл., 55114","912","483","899","21","408","21","429","","0","408","21","429","17","412","32","178","1","45","4","24","128","29.10.12"
"480380","132","Миколаївська область","будинок культури, фойє
вул.Молодіжна, 144, с.Бурилове, Кривоозерський р-н, Миколаївська обл., 55150","760","319","758","37","407","34","441","","0","407","34","441","17","424","30","171","3","38","6","12","164","29.10.12"
"480381","132","Миколаївська область","школа, спортивна зала
вул.Голембієвського, 70, с.Велика Мечетня, Кривоозерський р-н, Миколаївська обл., 55130","816","315","817","23","478","23","501","","0","478","23","501","5","496","15","328","2","24","3","11","113","29.10.12"
"480382","132","Миколаївська область","будинок культури, фойє
вул.Центральна, 39, с.Тернувате, Кривоозерський р-н, Миколаївська обл., 55131","248","92","247","13","144","12","156","","0","144","12","156","1","155","4","34","1","18","1","11","86","29.10.12"
"480383","132","Миколаївська область","будинок культури, актова зала
вул.Берегова, 51, с.Токарівка, Кривоозерський р-н, Миколаївська обл., 55130","88","33","85","3","52","3","55","","0","52","3","55","0","55","2","38","2","0","0","3","10","29.10.12"
"480384","132","Миколаївська область","школа, спортивна зала
вул.Центральна, 10В, с.Красненьке, Кривоозерський р-н, Миколаївська обл., 55121","648","253","641","51","349","46","395","","0","349","46","395","10","385","28","216","4","27","2","27","81","29.10.12"
"480385","132","Миколаївська область","районний будинок культури, фойє
майдан Незалежності, 1А, смт Криве Озеро, Кривоозерський р-н, Миколаївська обл., 55104","1144","553","1123","42","552","39","591","","0","552","39","591","20","571","33","243","10","80","4","34","167","29.10.12"
"480386","132","Миколаївська область","аграрний ліцей, фойє, 2-й поверх
вул.Кірова, 11, смт Криве Озеро, Кривоозерський р-н, Миколаївська обл., 55104","944","439","933","21","488","17","505","","0","488","17","505","11","494","36","231","5","42","6","13","161","29.10.12"
"480387","132","Миколаївська область","початкова школа, актова зала
вул.Тельмана, 42, смт Криве Озеро, Кривоозерський р-н, Миколаївська обл., 55104","928","462","933","19","450","16","466","","0","450","16","466","15","451","36","202","5","68","2","28","110","29.10.12"
"480388","132","Миколаївська область","школа №1, фойє
вул.Леніна, 155, смт Криве Озеро, Кривоозерський р-н, Миколаївська обл., 55104","1200","592","1181","15","597","11","608","","0","597","11","608","27","581","39","278","5","58","8","20","173","29.10.12"
"480389","132","Миколаївська область","адмінбудинок ""Райавтодор"", фойє
вул.Поштова, 45, смт Криве Озеро, Кривоозерський р-н, Миколаївська обл., 55104","928","393","927","17","519","16","535","","0","519","16","535","20","515","52","312","7","23","5","23","93","29.10.12"
"480390","132","Миколаївська область","машинолічильна станція, к.2
вул.Свердлова, 1, смт Криве Озеро, Кривоозерський р-н, Миколаївська обл., 55104","856","389","840","8","461","6","467","","0","461","6","467","17","450","51","297","6","16","3","11","66","29.10.12"
"480391","132","Миколаївська область","сільський будинок культури, фойє
вул.Свердлова, 121, смт Криве Озеро, Кривоозерський р-н, Миколаївська обл., 55104","296","113","287","13","172","11","183","","0","172","11","183","11","172","9","93","2","17","0","2","49","29.10.12"
"480392","132","Миколаївська область","будинок культури, к.2
вул.Гагаріна, 87А, с.Секретарка, Кривоозерський р-н, Миколаївська обл., 55142","896","289","891","35","573","34","607","","0","573","34","607","18","589","16","417","36","8","4","13","95","29.10.12"
"480393","132","Миколаївська область","будинок культури, фойє
вул.Садова, 24, с.Криве Озеро Друге, Кривоозерський р-н, Миколаївська обл., 55103","832","428","830","25","383","21","404","","0","383","21","404","21","383","17","185","9","51","1","9","111","29.10.12"
"480394","132","Миколаївська область","будинок культури, фойє
вул.Горького, 311А, с.Криве Озеро Друге, Кривоозерський р-н, Миколаївська обл., 55103","1208","559","1194","34","622","27","649","","0","622","27","649","24","625","46","290","16","72","10","7","184","29.10.12"
"480395","132","Миколаївська область","будинок культури, фойє
вул.Шкільна, 15, с-ще Червоний Орач, Кривоозерський р-н, Миколаївська обл., 55101","136","37","134","7","93","6","99","","0","93","6","99","6","93","10","26","0","7","2","4","44","28.10.12"
"480396","132","Миколаївська область","школа, спортивна зала
вул.Леніна, 60А, с.Курячі Лози, Кривоозерський р-н, Миколаївська обл., 55120","1080","550","1070","53","483","47","530","","0","483","47","530","30","500","34","179","10","94","6","28","149","29.10.12"
"480397","132","Миколаївська область","будинок культури, фойє
вул.1Травня, 7, с.Леніне, Кривоозерський р-н, Миколаївська обл., 55151","432","165","427","23","244","23","267","","0","244","23","267","8","259","14","105","3","39","2","8","88","29.10.12"
"480398","132","Миколаївська область","будинок культури, фойє
вул.Набережна, 72А, с.Луканівка, Кривоозерський р-н, Миколаївська обл., 55113","792","351","784","52","392","49","441","","0","392","49","441","19","422","28","136","6","56","2","29","165","29.10.12"
"480399","132","Миколаївська область","будинок культури, фойє
вул.Щербатого, 40, с.Мазурове, Кривоозерський р-н, Миколаївська обл., 55110","384","150","367","22","213","21","234","","0","213","21","234","5","229","18","87","7","24","6","4","83","29.10.12"
"480400","132","Миколаївська область","школа, фойє
вул.Ткачова, 15, с.Михалкове, Кривоозерський р-н, Миколаївська обл., 55110","176","60","170","21","96","20","116","","0","96","20","116","1","115","7","51","2","20","0","3","32","28.10.12"
"480401","132","Миколаївська область","школа, спортивна зала
вул.Леніна, 1, с.Мала Мечетня, Кривоозерський р-н, Миколаївська обл., 55122","488","188","489","34","267","33","300","","0","267","33","300","9","291","13","156","3","22","0","18","79","28.10.12"
"480402","132","Миколаївська область","будинок культури, фойє
вул.Центральна, 34, с.Ониськове, Кривоозерський р-н, Миколаївська обл., 55123","656","258","640","39","364","34","398","","0","364","34","398","15","383","27","158","5","44","3","45","101","29.10.12"
"480403","132","Миколаївська область","будинок культури, фойє
вул.Космонавтів, 28, с.Очеретня, Кривоозерський р-н, Миколаївська обл., 55111","552","143","540","55","357","52","409","","0","357","52","409","11","398","21","144","8","23","3","11","188","29.10.12"
"480404","132","Миколаївська область","будинок культури, фойє
вул.Леніна, 103, с.Тридуби, Кривоозерський р-н, Миколаївська обл., 55140","672","279","671","21","372","21","393","","0","372","21","393","7","386","22","172","1","50","1","6","134","29.10.12"
"480405","132","Миколаївська область","школа, їдальня
вул.1Травня, 47, с.Тридуби, Кривоозерський р-н, Миколаївська обл., 55140","776","376","765","31","370","30","400","","0","370","30","400","15","385","17","157","3","68","3","7","130","29.10.12"
"480406","132","Миколаївська область","ЦРЛ, к.2
вул.Шевченка, 59, смт Криве Озеро, Кривоозерський р-н, Миколаївська обл., 55104","136","90","46","0","46","0","46","","0","46","0","46","0","46","1","7","0","3","0","0","35","28.10.12"
"480553","132","Миколаївська область","селищна рада, фойє
вул.Комсомольська, 12А, смт Підгородна, Первомайський р-н, Миколаївська обл., 55222","1720","843","1697","81","814","63","877","","0","814","63","877","29","848","43","219","58","12","13","115","388","28.10.12"
"480554","132","Миколаївська область","сільська рада, фойє
вул.Радянська, 16, с.Болеславчик, Первомайський р-н, Миколаївська обл., 55220","360","144","352","31","189","27","216","","0","189","27","216","11","205","24","56","3","22","3","24","73","28.10.12"
"480555","132","Миколаївська область","школа, фойє
вул.Шкільна, 6, с.Станіславчик, Первомайський р-н, Миколаївська обл., 55221","368","128","362","37","204","36","240","","0","204","36","240","11","229","28","44","3","30","6","19","99","28.10.12"
"480556","132","Миколаївська область","школа, фойє
вул.Революції, 59, с.Грушівка, Первомайський р-н, Миколаївська обл., 55225","880","411","868","57","420","49","469","","0","420","49","469","16","453","32","167","6","28","4","65","151","29.10.12"
"480557","132","Миколаївська область","школа, фойє
вул.Шкільна, 4, с.Кінецьпіль, Первомайський р-н, Миколаївська обл., 55230","2136","1544","1300","35","562","30","592","","0","562","30","592","12","580","18","416","4","24","0","18","100","29.10.12"
"480558","132","Миколаївська область","школа, перше крило, фойє
вул.Шкільна, 4, с.Кінецьпіль, Первомайський р-н, Миколаївська обл., 55230","1344","685","1333","26","638","21","659","","0","638","21","659","16","643","14","483","15","0","1","25","105","29.10.12"
"480559","132","Миколаївська область","школа, фойє
вул.Леніна, 45, с.Кам’яний Міст, Первомайський р-н, Миколаївська обл., 55232","824","375","813","43","410","39","449","","0","410","39","449","16","433","43","157","8","40","11","40","134","29.10.12"
"480560","132","Миколаївська область","сільський клуб, актовий зал
вул.П.Гречаного, 21, с.Кримка, Первомайський р-н, Миколаївська обл., 55261","920","382","902","30","509","29","538","","0","509","29","538","14","524","28","345","3","14","3","28","103","29.10.12"
"480561","132","Миколаївська область","школа, фойє
вул.Центральна, 116, с.Кумарі, Первомайський р-н, Миколаївська обл., 55260","816","304","815","95","422","90","512","","0","422","90","512","12","500","27","325","8","29","4","12","95","29.10.12"
"480562","132","Миколаївська область","дитячий садок, актовий зал
вул.Велика, 55, с.Лиса Гора, Первомайський р-н, Миколаївська обл., 55250","640","287","633","51","305","48","353","","0","305","48","353","14","339","25","81","4","17","6","16","190","29.10.12"
"480563","132","Миколаївська область","школа №3, фойє
вул.Вахненка, 7, с.Лиса Гора, Первомайський р-н, Миколаївська обл., 55250","640","294","626","55","292","54","346","","0","292","54","346","14","332","34","103","6","21","10","39","119","29.10.12"
