"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гарматюк
Сергій
Васильович","Задирко
Геннадій
Олександрович","Іванов
Володимир
Володимирович","Матвєєв
Володимир
Йосипович","Наконечний
Володимир
Леонтієвич","Плужніков
Михайло
Броніславович","Тимошин
Володимир
Володимирович","Шевченко
Євген
Валерійович","Юрлов
Павло
Олегович","Яремич
Андрій
Леонідович","Дата підписання протоколу"
"480418","127","Миколаївська область","ФАП, приймальний кабінет
вул.Бузька, 8/2, с.Стара Богданівка, Миколаївський р-н, Миколаївська обл., 57165","438","241","432","5","193","4","197","","0","193","4","197","4","193","1","18","12","18","100","0","24","13","7","0","29.10.12"
"480419","127","Миколаївська область","Кир’яківська школа, спортивний зал
вул.Центральна, 6, с.Кир’яківка, Миколаївський р-н, Миколаївська обл., 57125","1110","531","1090","35","552","27","579","","0","552","27","579","18","561","12","29","28","54","296","2","44","57","34","5","29.10.12"
"480420","127","Миколаївська область","сільський клуб, зал
вул.Набережна, 18, с.Петрово-Солониха, Миколаївський р-н, Миколаївська обл., 57127","558","257","549","23","278","23","301","","0","278","23","301","11","290","0","27","6","31","166","1","22","12","22","3","28.10.12"
"480421","127","Миколаївська область","Ковалівський сільський клуб, зал
вул.Першотравнева, 5, с.Ковалівка, Миколаївський р-н, Миколаївська обл., 57101","552","265","544","20","271","16","287","","0","271","16","287","7","280","3","22","11","26","163","2","12","28","13","0","29.10.12"
"480422","127","Миколаївська область","Ковалівська амбулаторія, приймальний кабінет
вул.Перемоги, 53, с.Ковалівка, Миколаївський р-н, Миколаївська обл., 57101","288","167","281","10","112","9","121","","0","112","9","121","4","117","3","14","2","17","61","1","4","5","8","2","28.10.12"
"480423","127","Миколаївська область","Ковалівський сільський клуб, зал
вул.Першотравнева, 138, с.Ковалівка, Миколаївський р-н, Миколаївська обл., 57101","348","198","340","7","143","7","150","","0","143","7","150","4","146","5","39","6","6","72","0","2","3","11","2","28.10.12"
"480424","127","Миколаївська область","Авдотіївський сільський клуб, зал
вул.Перемоги, 229А, с.Ковалівка, Миколаївський р-н, Миколаївська обл., 57101","252","100","242","6","147","5","152","","0","147","5","152","8","144","0","31","2","12","77","0","9","4","9","0","28.10.12"
"480425","127","Миколаївська область","школа, зала рекреації
вул.Молодіжна, 40А, с-ще Комсомольське, Миколаївський р-н, Миколаївська обл., 57150","696","241","696","10","446","9","455","","0","446","9","455","19","436","3","21","30","42","215","2","31","67","23","2","29.10.12"
"480426","127","Миколаївська область","Маловарварівський дитячий садок
вул.Миру, 3, с-ще Маловарварівка, Миколаївський р-н, Миколаївська обл., 57150","264","88","256","11","165","11","176","","0","165","11","176","8","168","2","29","10","0","109","1","6","4","6","1","28.10.12"
"480427","127","Миколаївська область","сільська рада, зал засідань
вул.Одеська, 8, с.Крива Балка, Миколаївський р-н, Миколаївська обл., 57154","1284","606","1273","52","632","46","678","","0","632","46","678","23","655","13","65","27","60","343","1","33","80","28","5","29.10.12"
"480428","127","Миколаївська область","сільська рада, актовий зал
вул.Перемоги, 2Б, с.Кринички, Миколаївський р-н, Миколаївська обл., 57121","768","334","759","34","402","32","434","","0","402","32","434","15","419","8","72","11","51","197","3","32","22","21","2","29.10.12"
"480429","127","Миколаївська область","Новоселівська школа, початковий клас
вул.Миру, 30, с.Новоселівка, Миколаївський р-н, Миколаївська обл., 57121","210","119","200","3","89","2","91","","0","89","2","91","5","86","1","8","2","12","35","0","5","3","19","1","29.10.12"
"480430","127","Миколаївська область","сільський клуб, великий зал
вул.Гагаріна, 27, с.Новогригорівка, Миколаївський р-н, Миколаївська обл., 57121","186","86","182","2","98","2","100","","0","98","2","100","4","96","0","26","2","6","49","0","5","5","2","1","28.10.12"
"480431","127","Миколаївська область","гуртожиток професійного аграрного ліцею, актовий зал
вул.Леніна, 18, с-ще Надбузьке, Миколаївський р-н, Миколаївська обл., 57130","756","399","751","2","355","2","357","","0","355","2","357","6","351","12","49","28","51","109","2","24","38","35","3","28.10.12"
"480432","127","Миколаївська область","дитячий садок, зал
вул.Південна, 8, с.Сливине, Миколаївський р-н, Миколаївська обл., 57133","756","336","746","22","402","18","420","","0","402","18","420","17","403","9","43","21","45","195","0","26","33","28","3","28.10.12"
"480433","127","Миколаївська область","ЗОШ, вестибюль I поверху
вул.Шкільна, 3 с.Нечаяне, Миколаївський р-н, Миколаївська обл., 57140","1308","758","1288","29","524","26","550","","0","524","26","550","26","524","6","77","37","124","204","0","12","38","20","6","29.10.12"
"480434","127","Миколаївська область","Іванівський сільський клуб, зал
вул.Миру, 30, с.Іванівка, Миколаївський р-н, Миколаївська обл., 57145","444","186","436","4","254","4","258","","0","254","4","258","13","245","0","26","7","63","96","1","14","24","13","1","29.10.12"
"480435","127","Миколаївська область","ФАП, приймальний кабінет
вул.Гагаріна, 11, с-ще Червоноармійське, Миколаївський р-н, Миколаївська обл., 57140","210","87","204","0","123","0","123","","0","123","0","123","10","113","3","18","1","13","68","0","4","3","2","1","28.10.12"
"480436","127","Миколаївська область","сільський клуб, зал
вул.Миру, 20, с-ще Радгоспне, Миколаївський р-н, Миколаївська обл., 57141","168","60","108","2","106","2","108","","0","106","2","108","7","101","0","19","3","10","45","0","10","5","8","1","29.10.12"
"480437","127","Миколаївська область","Петрівська школа, спортивний зал
вул.Леніна, 6, с.Петрівка, Миколаївський р-н, Миколаївська обл., 57135","900","475","896","24","403","22","425","","0","403","22","425","18","407","2","36","28","43","215","3","12","32","33","3","28.10.12"
"480438","127","Миколаївська область","школа, вестибюль
вул.Шкільна, 1А, с-ще Зелений Яр, Миколаївський р-н, Миколаївська обл., 57136","648","308","643","9","331","9","340","","0","331","9","340","13","327","11","46","30","33","131","1","10","44","19","2","28.10.12"
"480439","127","Миколаївська область","будинок культури, зал
вул.Миру, 1Б, с-ще Радсад, Миколаївський р-н, Миколаївська обл., 57160","1530","692","1525","22","820","18","838","","0","820","18","838","28","810","11","102","25","83","412","1","54","48","72","2","29.10.12"
"480440","127","Миколаївська область","будинок культури, зал
вул.Шевченко, 20А, с.Новобогданівка, Миколаївський р-н, Миколаївська обл., 57162","744","317","737","12","418","9","427","","0","418","9","427","14","413","5","29","13","41","223","3","22","23","50","4","28.10.12"
"480441","127","Миколаївська область","сільська рада, обрядова зала
вул.Леніна, 1А, с.Степове, Миколаївський р-н, Миколаївська обл., 57107","1476","616","1458","21","840","20","860","","0","840","20","860","33","827","13","85","54","169","356","7","23","78","37","5","29.10.12"
"480442","127","Миколаївська область","сільський клуб, зал
вул.Свердлова, 14, с.Зелений Гай, Миколаївський р-н, Миколаївська обл., 57108","414","161","414","5","248","5","253","","0","248","5","253","5","248","3","25","17","16","146","0","17","14","10","0","28.10.12"
"480443","127","Миколаївська область","будинок культури, зал
вул.Гагаріна, 40, с.Трихати, Миколаївський р-н, Миколаївська обл., 57120","816","375","799","18","423","18","441","","0","423","18","441","19","422","7","49","13","122","183","2","8","17","17","4","28.10.12"
