"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бєліков
Юрій
Миколайович","Кисельов
Юрій
Анатолійович","Ложечкін
Вадим
Сергійович","Нагорний
Тимофій
Олександрович","Новиков
Станіслав
Олегович","Омельченко
Валерій
Павлович","Дата підписання протоколу"
"142040","55","Донецька область","школа №39, хол, 1-й поверх, праве крило
вул.26 Бакинських Комісарів, 43, м.Макіївка, Донецька обл., 86134","1312","707","1287","42","563","42","605","","0","563","42","605","31","574","22","14","54","34","13","437","29.10.12"
"142041","55","Донецька область","школа №39, хол, 1-й поверх, ліве крило
вул.26 Бакинських Комісарів, 43, м.Макіївка, Донецька обл., 86134","1088","492","1070","35","562","34","596","","0","562","34","596","29","567","36","7","42","40","21","421","28.10.12"
"142042","55","Донецька область","ПП ""Аустер-Дон"", актова зала
вул.Панченка, 33, м.Макіївка, Донецька обл., 86104","1888","1024","1860","23","842","22","864","","0","842","22","864","40","824","44","12","91","90","45","542","28.10.12"
"142043","55","Донецька область","школа №57, спортивна зала
вул.Кіпренського, 1, м.Макіївка, Донецька обл., 86115","1784","960","1720","47","781","43","824","","0","781","43","824","37","787","25","16","82","64","42","558","29.10.12"
"142044","55","Донецька область","школа №57, хол, 1-й поверх, праве крило
вул.Кіпренського, 1, м.Макіївка, Донецька обл., 86115","1632","717","1610","54","861","54","915","","0","861","54","915","13","902","49","24","114","67","30","618","29.10.12"
"142045","55","Донецька область","школа №57, хол, 1-й поверх, ліве крило
вул.Кіпренського, 1, м.Макіївка, Донецька обл., 86115","1952","952","1915","71","941","59","1000","","0","941","59","1000","56","944","39","15","118","83","46","643","28.10.12"
"142046","55","Донецька область","Науково-дослідницький інститут, хол
вул.Лихачева, 60, м.Макіївка, Донецька обл., 86108","1488","856","1477","36","595","36","631","","0","595","36","631","40","591","46","22","76","54","34","359","29.10.12"
"142047","55","Донецька область","школа №29, спортивна зала
вул.Свердлова, 20, м.Макіївка, Донецька обл., 86108","2024","1160","1966","86","791","73","864","","0","791","73","864","36","828","47","16","117","64","48","536","29.10.12"
"142048","55","Донецька область","адмінбудинок Ремонтно-механічного заводу, хол
вул.Хлібозаводська, 5, м.Макіївка, Донецька обл., 86128","1480","752","1446","73","655","73","728","","0","655","73","728","18","710","27","17","84","74","33","475","29.10.12"
"142049","55","Донецька область","адмінбудинок ""Укрвуглегеологія"", хол
пров.Жигулівський, 31, м.Макіївка, Донецька обл., 86128","1344","740","1290","53","551","53","604","","0","551","53","604","27","577","27","11","50","42","15","432","29.10.12"
"142050","55","Донецька область","школа №20, спортивна зала
вул.Магістральна, 92, м.Макіївка, Донецька обл., 86128","1592","859","1580","66","668","65","733","","0","668","65","733","16","717","23","11","61","79","26","517","29.10.12"
"142051","55","Донецька область","Палац культури ім.ХХ партз’їзду, хол, 2-й поверх, праве крило
вул.Автотранспортна, 149А, м.Макіївка, Донецька обл., 86155","1296","522","1277","65","709","65","774","","0","709","65","774","25","749","48","14","75","59","17","536","29.10.12"
"142052","55","Донецька область","Палац культури ім.ХХ партз’їзду, хол, 2-й поверх, ліве крило
вул.Автотранспортна, 149А, м.Макіївка, Донецька обл., 86155","1752","889","1695","35","835","28","863","","0","835","28","863","40","823","35","14","84","119","32","539","29.10.12"
