"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Волинець
Євгеній
Валерійович","Здор
Костянтин
Семенович","Кушніров
Олександр
Леонідович","Лук’янов
Владислав
Валентинович","Півень
Микола
Іванович","Подорожко
Євген
Сергійович","Романченко
Олексій
Віталійович","Дата підписання протоколу"
"140548","54","Донецька область","школа, фойє
вул.Северна, 18, с.Малоорлівка, Шахтарський р-н, Донецька обл., 86222","1320","47","1295","69","1205","68","1273","","0","1205","68","1273","16","1257","48","0","0","1204","5","0","0","28.10.12"
"140549","54","Донецька область","школа, спортивна зала
вул.Утіна, 42, с.Комишатка, Шахтарський р-н, Донецька обл., 86223","256","3","256","46","207","46","253","","0","207","46","253","0","253","2","0","0","251","0","0","0","28.10.12"
"140550","54","Донецька область","школа, фойє
вул.Горького, 3А, с.Мануйлівка, Шахтарський р-н, Донецька обл., 86261","472","61","458","31","380","31","411","","0","380","31","411","12","399","46","4","7","329","8","0","5","29.10.12"
"140551","54","Донецька область","сільський клуб, актова зала
вул.К.Маркса, 43А, с.Петрівське, Шахтарський р-н, Донецька обл., 86230","240","31","237","18","191","18","209","","0","191","18","209","2","207","20","0","0","183","1","0","3","28.10.12"
"140552","54","Донецька область","будинок культури, обрядова кімната
вул.Леніна, 70А, с.Нікішине, Шахтарський р-н, Донецька обл., 86220","608","156","590","49","403","49","452","","0","403","49","452","20","432","36","4","10","349","19","0","14","29.10.12"
"140553","54","Донецька область","залізничний вокзал, зала очікування
вул.Железнодорожна, 1А, с-ще Кумшацьке, Шахтарський р-н, Донецька обл., 86220","112","10","110","14","88","14","102","","0","88","14","102","4","98","12","0","1","72","2","6","5","28.10.12"
"140554","54","Донецька область","школа, фойє
вул.Центральна, 43, с.Орлово-Іванівка, Шахтарський р-н, Донецька обл., 86231","720","74","706","66","580","66","646","","0","580","66","646","7","639","104","1","4","467","38","0","25","29.10.12"
"140555","54","Донецька область","будинок культури, глядацька зала
вул.Побєди, 59А, с.Михайлівка, Шахтарський р-н, Донецька обл., 86200","456","39","455","39","378","39","417","","0","378","39","417","11","406","75","1","5","307","7","3","8","28.10.12"
"140556","54","Донецька область","школа, фойє
вул.Українського, 44А, с.Петропавлівка, Шахтарський р-н, Донецька обл., 86230","880","197","874","56","627","56","683","","0","627","56","683","20","663","72","4","9","502","60","2","14","29.10.12"
"140557","54","Донецька область","школа, актова зала
вул.Щорса, 7, с.Розівка, Шахтарський р-н, Донецька обл., 86221","1128","371","1094","17","740","17","757","","0","740","17","757","24","733","69","2","14","599","20","6","23","28.10.12"
"140558","54","Донецька область","сільський клуб, глядацька зала
вул.Шевченка, 6А, с.Шевченко, Шахтарський р-н, Донецька обл., 86200","360","96","352","9","255","9","264","","0","255","9","264","15","249","29","1","6","180","13","1","19","28.10.12"
"140559","54","Донецька область","будинок культури, фойє
вул.Леніна, 21, с.Розсипне, Шахтарський р-н, Донецька обл., 86263","368","38","362","30","300","30","330","","0","300","30","330","12","318","35","2","9","236","20","4","12","29.10.12"
"140560","54","Донецька область","будинок культури, фойє
вул.Первомайська, 7А, с-ще Садове, Шахтарський р-н, Донецька обл., 86251","816","177","795","31","608","31","639","","0","608","31","639","30","609","61","19","14","480","15","2","18","28.10.12"
"140561","54","Донецька область","фельдшерський пункт, приймальний кабінет
вул.40 лет Побєди, 2А, с-ще Молодецьке, Шахтарський р-н, Донецька обл., 86211","784","261","774","24","499","24","523","","0","499","24","523","22","501","72","14","11","365","19","2","18","29.10.12"
"140562","54","Донецька область","фельдшерський пункт, приймальний кабінет
вул.Весела, 2, с-ще Зарощенське, Шахтарський р-н, Донецька обл., 86206","192","30","188","25","137","25","162","","0","137","25","162","4","158","33","3","3","113","1","0","5","28.10.12"
"140563","54","Донецька область","магазин, торговельна зала
вул.Миру, 57, с-ще Зачатівка, Шахтарський р-н, Донецька обл., 86251","384","126","375","8","252","6","258","","0","252","6","258","6","252","25","3","2","191","19","0","12","28.10.12"
"140564","54","Донецька область","будинок культури, фойє
вул.Єжкова, 93, с.Степанівка, Шахтарський р-н, Донецька обл., 86260","944","224","936","88","633","87","720","","0","633","87","720","19","701","82","3","16","537","36","2","25","29.10.12"
"140565","54","Донецька область","школа, спортивна зала
вул.Селіверстова, 15, с.Маринівка, Шахтарський р-н, Донецька обл., 86200","392","158","386","12","222","12","234","","0","222","12","234","21","213","88","2","3","102","9","0","9","28.10.12"
"141337","54","Донецька область","будинок культури ВАТ ""ХТЗ"", фойє
вул.Чекаліна, будинок культури ВАТ ""ХТЗ"", м.Харцизьк, Донецька обл., 86700","1512","718","1510","11","784","10","794","","0","784","10","794","38","756","126","6","17","506","31","23","47","29.10.12"
"141338","54","Донецька область","школа №6, спортивна зала
вул.Огарьова, 2А, м.Харцизьк, Донецька обл., 86700","1704","897","1684","36","777","30","807","","0","775","30","805","41","764","122","11","13","516","19","25","58","29.10.12"
