"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасимчук
Анатолій
Андрійович","Коваленко
Василь
Васильович","Міщенко
Ігор
Іванович","Раковський
Олександр
Степанович","Риженков
Олександр
Миколайович","Філіндаш
Сергій
Миколайович","Ясько
Геннадій
Геннадійович","Дата підписання протоколу"
"140210","60","Донецька область","сільський будинок дозвілля, фойє
вул.Леніна, 33, с.Кременівка, Володарський р-н, Донецька обл., 87031","928","257","916","39","632","39","671","","0","632","39","671","35","636","12","130","31","10","335","109","9","29.10.12"
"140211","60","Донецька область","Македонівська школа, спортивна зала
вул.Гагаріна, Македонівська школа, с.Македонівка, Володарський р-н, Донецька обл., 87032","944","322","917","48","575","47","622","","0","575","47","622","35","587","2","80","28","11","288","152","26","29.10.12"
"140212","60","Донецька область","сільський будинок культури, фойє
вул.Леніна, 48, с.Малоянисоль, Володарський р-н, Донецька обл., 87010","1624","562","1607","142","920","142","1062","","0","920","142","1062","48","1014","26","137","39","23","534","217","38","29.10.12"
"140213","60","Донецька область","Труженська школа, фойє
вул.Леніна, 19, с.Труженка, Володарський р-н, Донецька обл., 87011","456","159","450","51","250","47","297","","0","250","47","297","9","288","4","59","7","7","176","25","10","28.10.12"
"140214","60","Донецька область","адміністративна будівля ТОВ ""Нова Нива"", обрядова зала
вул.Дзержинського, 42, с.Новокраснівка, Володарський р-н, Донецька обл., 87022","912","340","896","48","530","42","572","","0","530","42","572","25","547","10","72","32","13","273","131","16","29.10.12"
"140215","60","Донецька область","адміністративна будівля сільської ради, актова зала
вул.Леніна, 1, с.Республіка, Володарський р-н, Донецька обл., 87021","896","275","888","52","571","50","621","","0","571","50","621","21","600","23","96","17","6","230","206","22","28.10.12"
"140216","60","Донецька область","Старченківська школа, фойє
вул.Леніна, 74, с.Старченкове, Володарський р-н, Донецька обл., 87020","688","189","680","40","459","40","499","","0","459","40","499","14","485","14","82","15","5","289","70","10","28.10.12"
"140217","60","Донецька область","сільський будинок дозвілля, мала зала
вул.Ювілейна, 27, с.Старченкове, Володарський р-н, Донецька обл., 87020","768","214","753","77","479","75","554","","0","479","75","554","16","538","18","79","10","18","280","116","17","28.10.12"
"140218","60","Донецька область","Тополинська школа, фойє
вул.Шкільна, 12, с.Тополине, Володарський р-н, Донецька обл., 87050","928","333","918","47","549","46","595","","0","549","46","595","27","568","16","84","14","9","337","87","21","29.10.12"
"140219","60","Донецька область","Шевченківська школа, спортивна зала
вул.Шевченка, 2, с.Шевченко, Володарський р-н, Донецька обл., 87051","424","157","419","28","239","28","267","","0","239","28","267","11","256","7","67","4","9","130","33","6","28.10.12"
"140366","60","Донецька область","професійно-технічний ліцей, фойє
вул.50 років СРСР, 12, м.Новоазовськ, Новоазовський р-н, Донецька обл., 87600","1736","826","1719","51","864","46","910","","0","864","46","910","34","876","7","131","15","46","539","105","33","29.10.12"
"140367","60","Донецька область","культурно-дозвіллевий центр, мала зала
вул.Леніна, 25, м.Новоазовськ, Новоазовський р-н, Донецька обл., 87600","2304","1063","2276","87","1162","79","1241","","0","1162","79","1241","48","1193","13","168","16","107","701","150","38","29.10.12"
"140368","60","Донецька область","дільниця ""Компанія ""Вода Донбасу"", актова зала
вул.Людникова, 15, м.Новоазовськ, Новоазовський р-н, Донецька обл., 87600","2048","1035","2051","105","915","98","1013","","0","915","98","1013","35","978","10","167","20","91","554","109","27","29.10.12"
"140369","60","Донецька область","школа №1-ліцей ""Успіх"", актова зала
вул.Енгельса, 80Б, м.Новоазовськ, Новоазовський р-н, Донецька обл., 87600","1736","738","1712","80","923","75","998","","0","923","75","998","32","966","4","105","10","51","676","103","17","29.10.12"
"140370","60","Донецька область","Єланчанський міський клуб, актова зала
вул.Аврорська, 23, м.Новоазовськ, Новоазовський р-н, Донецька обл., 87600","1880","877","1864","57","948","55","1003","","0","948","55","1003","54","949","12","137","20","63","593","106","18","29.10.12"
"140371","60","Донецька область","школа, спортивна зала
вул.Шкільна, 3, с.Гусельщикове, Новоазовський р-н, Донецька обл., 87606","512","191","507","40","283","38","321","","0","283","38","321","18","303","5","38","7","15","212","18","8","28.10.12"
"140372","60","Донецька область","центр культури та дозвілля, мала зала
вул.Калініна, 54, смт Сєдове, Новоазовський р-н, Донецька обл., 87632","2072","901","2047","95","1095","76","1171","","0","1094","76","1170","50","1120","29","254","17","51","524","217","28","29.10.12"
"140373","60","Донецька область","фельдшерський пункт, кабінет
вул.50-річчя Радянської влади, 3, с-ще Обрив, Новоазовський р-н, Донецька обл., 87634","344","127","336","22","198","19","217","","0","198","19","217","7","210","0","16","1","8","163","14","8","29.10.12"
"140374","60","Донецька область","школа, спортивна зала
вул.Миру, 19А, с.Безіменне, Новоазовський р-н, Донецька обл., 87660","2016","925","1985","113","989","102","1091","","0","989","102","1091","63","1028","25","235","21","38","508","181","20","29.10.12"
"140375","60","Донецька область","школа, фойє
вул.Шкільна, 5, с.Митьково-Качкарі, Новоазовський р-н, Донецька обл., 87661","600","206","596","56","343","51","394","","0","343","51","394","17","377","2","72","7","19","190","72","15","29.10.12"
"140376","60","Донецька область","школа, фойє
вул.Радянська, 38, с.Виноградне, Новоазовський р-н, Донецька обл., 87642","1040","515","1022","33","496","29","525","","0","496","29","525","23","502","9","146","13","5","172","105","52","29.10.12"
"140377","60","Донецька область","сільський будинок культури, актова зала
вул.Шкільна, 37А, с.Приморське, Новоазовський р-н, Донецька обл., 87642","936","415","915","36","485","36","521","","0","485","36","521","21","500","12","157","14","19","172","94","32","29.10.12"
"140378","60","Донецька область","будинок культури, актова зала
вул.Леніна, 37Б, с.Козацьке, Новоазовський р-н, Донецька обл., 87613","968","339","955","51","580","49","629","","0","580","49","629","13","616","7","172","14","22","296","92","13","29.10.12"
"140379","60","Донецька область","школа, спортивна зала
вул.Перемоги, 14, с.Комінтернове, Новоазовський р-н, Донецька обл., 87611","704","271","695","48","391","42","433","","0","391","42","433","27","406","9","71","15","25","195","66","25","29.10.12"
"140380","60","Донецька область","будинок культури, фойє
пров.Совєтський, 1, с.Красноармійське, Новоазовський р-н, Донецька обл., 87612","936","321","927","50","570","45","615","","0","570","45","615","50","565","2","136","13","24","205","170","15","29.10.12"
"140381","60","Донецька область","сільський клуб, фойє
вул.Комунарів, 55, с.Октябр, Новоазовський р-н, Донецька обл., 87612","248","67","247","21","163","18","181","","0","163","18","181","10","171","3","42","4","5","78","32","7","29.10.12"
"140382","60","Донецька область","центр культури та спорту, фойє
вул.Советська, 24А, с.Лебединське, Новоазовський р-н, Донецька обл., 87640","840","315","832","31","495","30","525","","0","495","30","525","27","498","17","60","15","17","239","124","26","29.10.12"
"140383","60","Донецька область","Калинівський клуб, актова зала
вул.Підгорна, 175А, с-ще Калинівка, Новоазовський р-н, Донецька обл., 87640","752","348","734","29","376","28","404","","0","376","28","404","25","379","13","70","14","12","179","75","16","29.10.12"
"140384","60","Донецька область","сільський будинок культури, актова зала
вул.Сивухіна, 77, с.Павлопіль, Новоазовський р-н, Донецька обл., 87610","560","160","555","35","365","35","400","","0","365","35","400","17","383","7","51","6","8","199","98","14","29.10.12"
"140385","60","Донецька область","будинок культури, фойє
вул.Октябрьська, будинок культури, с.Приморське, Новоазовський р-н, Донецька обл., 87643","1400","575","1378","95","737","88","825","","0","737","88","825","31","794","14","140","20","22","338","249","11","29.10.12"
"140386","60","Донецька область","будинок культури, мала зала
вул.Комсомольська, 22, с.Рози Люксембург, Новоазовський р-н, Донецька обл., 87622","672","198","660","47","433","41","474","","0","433","41","474","18","456","5","68","7","32","267","68","9","29.10.12"
"140387","60","Донецька область","сільський клуб, фойє
вул.Комсомольська, 26А, с.Патріотичне, Новоазовський р-н, Донецька обл., 87622","344","101","336","20","227","16","243","","0","227","16","243","17","226","4","45","5","19","112","32","9","28.10.12"
"140388","60","Донецька область","сільський клуб, фойє
вул.Леніна, 32А, с.Маркине, Новоазовський р-н, Донецька обл., 87631","496","171","487","34","294","31","325","","0","294","31","325","14","311","1","65","6","19","171","46","3","28.10.12"
"140389","60","Донецька область","сільський будинок культури, актова зала
вул.Маяковського, 1А, с.Самійлове, Новоазовський р-н, Донецька обл., 87630","840","303","827","42","497","40","537","","0","497","40","537","29","508","5","110","5","43","242","91","12","29.10.12"
"140390","60","Донецька область","школа, спортивна зала
вул.Вартазарової, 4, с.Саханка, Новоазовський р-н, Донецька обл., 87651","1040","421","1027","83","545","74","619","","0","545","74","619","24","595","12","88","11","16","344","110","14","29.10.12"
"140391","60","Донецька область","будинок культури, фойє
вул.Леніна, 58, с.Хомутове, Новоазовський р-н, Донецька обл., 87620","880","297","866","80","506","77","583","","0","506","77","583","19","564","8","103","12","31","301","95","14","29.10.12"
"140392","60","Донецька область","школа ім.Ясиненка, спортивна зала
вул.Мира, 38, с.Широкине, Новоазовський р-н, Донецька обл., 87650","1256","451","1236","86","723","82","805","","0","723","82","805","21","784","18","98","16","35","489","104","24","28.10.12"
"140412","60","Донецька область","районний будинок культури, фойє
вул.Леніна, 71, смт Мангуш, Першотравневий р-н, Донецька обл., 87400","1120","416","1097","39","668","36","704","","0","668","36","704","27","677","13","100","20","14","353","131","46","29.10.12"
"140413","60","Донецька область","агроцех №11 ДП ""Ілліч-Агро Донбас"", актова зала, 2-й поверх
вул.Леніна, 120, смт Мангуш, Першотравневий р-н, Донецька обл., 87400","1160","461","1139","51","653","46","699","","0","653","46","699","32","667","8","125","21","17","358","106","32","29.10.12"
"140414","60","Донецька область","КП ""Водхоз"", зал засідань
вул.Поштова, 14, смт Мангуш, Першотравневий р-н, Донецька обл., 87400","1272","540","1242","54","691","41","732","","0","691","41","732","42","690","14","105","22","10","370","116","53","29.10.12"
"140415","60","Донецька область","школа №1, спортивний зал
вул.Горького, 62, смт Мангуш, Першотравневий р-н, Донецька обл., 87400","1200","432","1197","34","741","27","768","","0","741","27","768","24","744","7","108","23","12","428","118","48","29.10.12"
"140416","60","Донецька область","школа №2, спортивний зал
вул.Мурзи, 8, смт Мангуш, Першотравневий р-н, Донецька обл., 87400","1192","475","1173","56","661","56","717","","0","661","56","717","21","696","12","91","13","10","392","127","51","29.10.12"
"140417","60","Донецька область","ПАТ ""Райагротехніка"", актова зала
вул.40 років Перемоги, 35А, смт Ялта, Першотравневий р-н, Донецька обл., 87450","1360","503","1337","43","816","41","857","","0","816","41","857","28","829","9","81","32","19","513","149","26","28.10.12"
"140418","60","Донецька область","школа №2, спортивний зал
вул.Гагаріна, 64, смт Ялта, Першотравневий р-н, Донецька обл., 87450","1944","628","1924","85","1233","83","1316","","0","1233","83","1316","39","1277","30","139","34","22","754","221","77","29.10.12"
"140419","60","Донецька область","школа №1, спортивний зал
вул.Чапаєва, 30, смт Ялта, Першотравневий р-н, Донецька обл., 87450","1016","338","1019","51","627","51","678","","0","627","51","678","28","650","10","80","19","14","393","108","26","28.10.12"
"140420","60","Донецька область","сільський клуб, глядацький зал
вул.Набережна, 30В, с.Юр’ївка, Першотравневий р-н, Донецька обл., 87454","248","33","246","19","200","15","215","","0","200","15","215","3","212","2","22","3","0","161","22","2","28.10.12"
"140421","60","Донецька область","сільський клуб, фойє
вул.Леніна, 35, с.Азовське, Першотравневий р-н, Донецька обл., 87453","344","106","338","18","222","16","238","","0","222","16","238","7","231","4","14","4","3","185","16","5","28.10.12"
"140422","60","Донецька область","школа, спортивний зал
вул.Шкільна, 50, с.Бердянське, Першотравневий р-н, Донецька обл., 87430","1328","616","1315","96","629","83","712","","0","629","83","712","34","678","13","89","30","17","398","105","26","28.10.12"
"140423","60","Донецька область","сільський клуб, фойє
вул.Леніна, 15, с.Приазовське, Першотравневий р-н, Донецька обл., 87431","688","240","648","24","428","20","448","","0","428","20","448","27","421","11","63","11","6","258","54","18","28.10.12"
"140424","60","Донецька область","сільська рада, зал засідань
вул.Транспортна, 9А, с.Іллічівське, Першотравневий р-н, Донецька обл., 87440","1432","613","1412","66","770","49","819","","0","770","49","819","41","778","25","142","28","23","386","124","50","29.10.12"
"140425","60","Донецька область","сільський будинок культури, глядацький зал
вул.Леніна, 24, с.Комишувате, Першотравневий р-н, Донецька обл., 87420","776","289","762","54","436","51","487","","0","436","51","487","13","474","5","52","9","7","275","114","12","29.10.12"
"140426","60","Донецька область","школа, спортивний зал
вул.Гайдара, 11, с.Дем’янівка, Першотравневий р-н, Донецька обл., 87421","672","225","659","49","399","48","447","","0","399","48","447","15","432","7","73","16","9","274","37","16","29.10.12"
"140427","60","Донецька область","школа, спортивний зал
вул.Гагаріна, 78, с.Мелекіне, Першотравневий р-н, Донецька обл., 87441","1104","432","1094","53","619","53","672","","0","619","53","672","34","638","28","83","18","10","369","90","40","29.10.12"
"140428","60","Донецька область","школа, спортивний зал
вул.Мира, 3А, с.Портівське, Першотравневий р-н, Донецька обл., 87442","704","255","696","63","388","61","449","","0","388","61","449","19","430","8","64","9","5","281","46","17","29.10.12"
"140429","60","Донецька область","сільський клуб, фойє
вул.Безуха, 139А, с.Білосарайська Коса, Першотравневий р-н, Донецька обл., 87443","600","258","586","33","314","28","342","","0","314","28","342","20","322","11","53","9","7","178","41","23","28.10.12"
"140430","60","Донецька область","школа, спортивний зал
вул.Леніна, 52, с.Стародубівка, Першотравневий р-н, Донецька обл., 87410","616","185","612","34","397","34","431","","0","397","34","431","35","396","16","62","14","3","216","67","18","29.10.12"
