"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алексюк
Леонід
Михайлович","Білак
Іван
Іванович","Галамай
Йосиф
Іванович","Денькович
Іван
Васильович","Дубневич
Ярослав
Васильович","Куп’як
Іван
Петрович","Петришин
Андрій
Михайлович","Тиндик
Андрій
Богданович","Чорновол
Тетяна
Миколаївна","Дата підписання протоколу"
"460204","120","Львівська область","школа, к.1, 1-й поверх
вул.Весела, 48, с.Путятичі, Городоцький р-н, Львівська обл., 81531","296","78","295","9","209","9","218","","0","209","9","218","4","214","2","5","0","7","137","3","4","3","53","29.10.12"
"460205","120","Львівська область","адмінбудинок сільської ради, актова зала, 1-й поверх
вул.Центральна, 50Б, с.Речичани, Городоцький р-н, Львівська обл., 81520","408","95","399","46","269","44","313","","0","269","44","313","5","308","2","14","0","13","108","2","4","15","150","29.10.12"
"460206","120","Львівська область","школа, спортивна зала, 1-й поверх
вул.Шевченка, 42, с.Родатичі, Городоцький р-н, Львівська обл., 81521","1456","417","1445","71","968","71","1039","","0","968","71","1039","19","1020","1","5","0","19","452","25","11","70","437","29.10.12"
"460207","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Жовтнева, 11, с.Романівка, Городоцький р-н, Львівська обл., 81542","128","27","131","10","91","10","101","","0","91","10","101","2","99","1","7","0","4","44","1","0","2","40","29.10.12"
"460208","120","Львівська область","школа, к.1, 1-й поверх
вул.Оріхова, 42А, с.Стоділки, Городоцький р-н, Львівська обл., 81553","232","29","228","14","191","12","203","","0","191","12","203","0","203","0","2","0","6","146","1","2","4","42","31.10.12"
"460209","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Огородня, 3Б, с.Суховоля, Городоцький р-н, Львівська обл., 81513","1624","424","1616","29","1174","26","1200","","0","1174","26","1200","24","1176","6","15","2","11","318","46","9","150","619","29.10.12"
"460210","120","Львівська область","школа, коридор, 2-й поверх
вул.Шкільна, 1А, с.Суховоля, Городоцький р-н, Львівська обл., 81513","1680","528","1665","20","1133","19","1152","","0","1133","19","1152","26","1126","6","13","5","12","385","40","6","112","547","29.10.12"
"460211","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.В.Великого, 119, с.Татаринів, Городоцький р-н, Львівська обл., 81571","376","107","379","50","227","42","269","","0","227","42","269","5","264","0","3","0","5","148","0","0","8","100","29.10.12"
"460213","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Весела, 44, с.Тулиголове, Городоцький р-н, Львівська обл., 81572","440","101","435","32","309","30","339","","0","309","30","339","8","331","3","0","0","2","232","5","0","4","85","29.10.12"
"460214","120","Львівська область","школа, кабінет для молодших класів, 1-й поверх
вул.Вишнева, 198, с.Тучапи, Городоцький р-н, Львівська обл., 81522","320","63","257","66","191","66","257","","0","191","66","257","5","252","0","2","0","5","146","0","0","18","81","29.10.12"
"460215","120","Львівська область","Угрівський НВК, кабінет української мови, 1-й поверх
вул.Піддублянська, 31, с.Угри, Городоцький р-н, Львівська обл., 81553","840","217","832","75","550","73","623","","0","550","73","623","10","613","1","4","2","16","394","12","1","14","169","29.10.12"
"460216","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Першотравнева, 8, с.Хишевичі, Городоцький р-н, Львівська обл., 81543","440","105","436","38","298","37","335","","0","298","37","335","7","328","0","0","2","9","189","1","0","7","120","29.10.12"
"460217","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.9-го Травня, 2А, с.Черляни, Городоцький р-н, Львівська обл., 81554","464","129","460","29","306","29","335","","0","306","29","335","3","332","1","8","3","8","209","2","3","12","86","29.10.12"
"460218","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Вербицького, 25А, с.Черлянське Передмістя, Городоцький р-н, Львівська обл., 81500","992","304","978","17","672","16","688","","0","672","16","688","12","676","1","21","2","13","350","7","2","37","243","29.10.12"
"460219","120","Львівська область","школа, к.1, 1-й поверх
вул.Солонична, 61, с.Чуловичі, Городоцький р-н, Львівська обл., 81562","232","39","232","16","177","16","193","","0","177","16","193","1","192","0","6","1","9","81","5","2","7","81","29.10.12"
"460220","120","Львівська область","адмінбудинок сільської ради, к.1, 1-й поверх
вул.Шкільна, 10, с.Шоломиничі, Городоцький р-н, Львівська обл., 81532","360","146","354","29","186","28","214","","0","186","28","214","6","208","0","3","0","4","178","0","0","1","22","29.10.12"
"460221","120","Львівська область","Городоцька центральна районна лікарня, актова зала, 2-й поверх
вул.М.Коцюбинського, 18, м.Городок, Городоцький р-н, Львівська обл., 81500","208","173","43","34","2","33","35","","0","2","33","35","0","35","1","0","0","1","20","1","0","1","11","29.10.12"
"460222","120","Львівська область","Тулиголівська туберкульозна лікарня, к.2, 1-й поверх
вул.Весела, 65, с.Тулиголове, Городоцький р-н, Львівська обл., 81572","72","19","64","11","42","11","53","","0","42","11","53","1","52","1","3","2","2","24","3","0","1","16","29.10.12"
"460743","120","Львівська область","народний дім, танцювальний зал, 1-й поверх;
вул.Грушевського, 18, м.Мостиська, Мостиський р-н, Львівська обл., 81300","2040","811","2036","14","1219","10","1229","","0","1219","10","1229","26","1203","22","41","8","20","407","152","4","151","398","29.10.12"
"460744","120","Львівська область","школа №1, спортивний зал, 2-й поверх;
вул.Міцкевича, 7, м.Мостиська, Мостиський р-н, Львівська обл., 81300","1952","636","1946","20","1299","17","1316","","0","1299","17","1316","27","1289","6","25","1","36","423","121","0","144","533","29.10.12"
"460745","120","Львівська область","школа №2, вестибюль, 2-й поверх;
вул.Т.Шевченка, 2, м.Мостиська, Мостиський р-н, Львівська обл., 81300","1240","452","1237","9","781","7","788","","0","781","7","788","13","775","4","18","2","17","288","58","1","64","323","29.10.12"
"460746","120","Львівська область","школа №3, їдальня, 1-й поверх;
вул.Сагайдачного, 9, м.Мостиська, Мостиський р-н, Львівська обл., 81300","936","379","936","9","548","9","557","","0","548","9","557","11","546","6","22","1","20","208","35","1","53","200","29.10.12"
"460747","120","Львівська область","школа, кл.5В, 1-й поверх;
вул.Рудниківська, 52, м.Мостиська, Мостиський р-н, Львівська обл., 81300","1184","508","1162","4","674","2","676","","0","674","2","676","20","656","3","15","3","12","254","75","4","54","236","29.10.12"
"460748","120","Львівська область","народний дім, актова зала
пл.І.Франка, 4, м.Судова Вишня, Мостиський р-н, Львівська обл., 81340","1936","597","1927","37","1302","37","1339","","0","1302","37","1339","12","1327","6","29","2","13","446","68","3","148","612","29.10.12"
"460749","120","Львівська область","школа, спортивний зал
вул.Гончара, 1, м.Судова Вишня, Мостиський р-н, Львівська обл., 81340","1160","370","1161","28","771","19","790","","0","771","19","790","16","774","2","9","2","11","224","19","1","81","425","29.10.12"
"460750","120","Львівська область","дитячий виховний заклад, спортивний зал
вул.В.Стуса, 12, м.Судова Вишня, Мостиський р-н, Львівська обл., 81340","1280","444","1261","26","811","25","836","","0","811","25","836","15","821","5","12","2","18","271","47","1","106","359","29.10.12"
"460751","120","Львівська область","народний дім, актова зала
вул.Передмістя, 78А, м.Судова Вишня, Мостиський р-н, Львівська обл., 81340","744","256","740","0","488","0","488","","0","488","0","488","15","473","0","7","1","21","140","19","0","53","232","29.10.12"
"460752","120","Львівська область","народний дім, актова зала
вул.Центральна, 74, с.Арламівська Воля, Мостиський р-н, Львівська обл., 81315","1048","277","1040","57","714","57","771","","0","714","57","771","10","761","3","10","0","23","355","34","0","47","289","29.10.12"
"460753","120","Львівська область","сільська рада, зал засідань
вул.Зелена, 1, с.Баличі, Мостиський р-н, Львівська обл., 81325","752","261","742","67","426","65","491","","0","426","65","491","14","477","0","4","2","16","295","16","1","18","125","29.10.12"
"460754","120","Львівська область","школа, кл.2
вул.Менцинського, 130, с.Великі Новосілки, Мостиський р-н, Львівська обл., 81325","264","69","259","38","157","38","195","","0","157","38","195","8","187","0","3","0","7","114","4","0","5","54","29.10.12"
"460755","120","Львівська область","народний дім, каб.2
вул.Зелена, 65, с.Королин, Мостиський р-н, Львівська обл., 81334","104","10","100","3","91","3","94","","0","91","3","94","5","89","1","6","0","3","42","4","0","12","21","29.10.12"
"460756","120","Львівська область","сільська рада, зал засідань
вул.Миру, 118, с.Берегове, Мостиський р-н, Львівська обл., 81334","720","176","720","28","518","26","544","","0","518","26","544","9","535","0","3","1","10","213","24","2","30","252","29.10.12"
"460757","120","Львівська область","народний дім, актова зала
вул.Лісова, 94А, с.Заріччя, Мостиський р-н, Львівська обл., 81334","504","131","503","24","351","22","373","","0","351","22","373","5","368","2","2","1","10","153","16","1","16","167","29.10.12"
"460758","120","Львівська область","школа, спортивний зал
вул.В.Івасюка, 46, с.Годині, Мостиський р-н, Львівська обл., 81301","800","221","796","40","543","36","579","","0","543","36","579","16","563","1","2","3","6","183","48","1","36","283","29.10.12"
"460759","120","Львівська область","сільська рада, актова зала
вул.Центральна, 4, с.Гостинцеве, Мостиський р-н, Львівська обл., 81332","800","192","796","32","578","30","608","","0","578","30","608","7","601","1","7","1","8","199","29","2","37","317","29.10.12"
"460760","120","Львівська область","народний дім, каб.2
вул.Грушевського, 18, м.Мостиська, Мостиський р-н, Львівська обл., 81300","504","157","492","14","333","14","347","","0","333","14","347","4","343","0","10","1","2","103","34","4","23","166","29.10.12"
"460761","120","Львівська область","школа, кл.2
вул.Бережанська, 8, с.Підгать, Мостиський р-н, Львівська обл., 81332","440","81","431","23","336","23","359","","0","336","23","359","8","351","0","6","1","11","205","7","0","11","110","29.10.12"
"460762","120","Львівська область","школа, спортивний зал
вул.Т.Шевченка, 3А, с.Гусаків, Мостиський р-н, Львівська обл., 81352","504","115","496","24","365","24","389","","0","365","24","389","5","384","1","11","0","7","177","9","0","6","173","29.10.12"
"460763","120","Львівська область","народний дім, актова зала
вул.М.Рильського, 20, с.Гориславичі, Мостиський р-н, Львівська обл., 81353","168","58","167","24","87","23","110","","0","87","23","110","0","110","1","5","0","3","58","5","0","0","38","29.10.12"
"460764","120","Львівська область","народний дім, актова зала
вул.Б.Хмельницького, 42, с.Радохинці, Мостиський р-н, Львівська обл., 81353","352","107","348","30","215","30","245","","0","215","30","245","3","242","2","8","1","12","117","9","1","9","83","29.10.12"
"460765","120","Львівська область","Народний дім, актова зала
вул.Шкільна, 22, с.Дидятичі, Мостиський р-н, Львівська обл., 81380","256","71","249","37","148","37","185","","0","148","37","185","4","181","0","2","2","11","47","7","0","9","103","29.10.12"
"460766","120","Львівська область","школа, коридор
вул.Центральна, 2, с.Вовчищовичі, Мостиський р-н, Львівська обл., 81380","448","157","440","26","266","25","291","","0","266","25","291","7","284","0","3","0","20","168","3","0","4","86","29.10.12"
"460767","120","Львівська область","школа, їдальня
вул.Центральна, 18, с.Дмитровичі, Мостиський р-н, Львівська обл., 81383","480","125","474","36","320","35","355","","0","320","35","355","5","350","0","2","0","4","135","15","0","26","168","29.10.12"
"460768","120","Львівська область","школа, кл.2
вул.Центральна, 44, с.Волостків, Мостиський р-н, Львівська обл., 81383","376","114","374","24","239","23","262","","0","239","23","262","3","259","0","2","0","8","123","15","0","12","99","29.10.12"
"460769","120","Львівська область","народний дім, актова зала
вул.Зелена, 7, с.Бортятин, Мостиський р-н, Львівська обл., 81342","1344","401","1345","47","896","47","943","","0","896","47","943","17","926","1","3","0","17","410","31","2","71","391","29.10.12"
"460770","120","Львівська область","школа, актова зала
вул.Зелена, 96, с.Довгомостиська, Мостиський р-н, Львівська обл., 81342","592","180","577","45","367","45","412","","0","367","45","412","12","400","4","4","1","13","218","7","0","29","124","29.10.12"
"460771","120","Львівська область","школа, ігрова кімната
вул.Шкільна, 6, с.Княжий Міст, Мостиський р-н, Львівська обл., 81342","824","227","823","26","575","22","597","","0","575","22","597","3","594","0","5","0","5","159","23","3","80","319","29.10.12"
"460772","120","Львівська область","школа, спортивний зал
вул.Центральна, 69А, с.Зав’язанці, Мостиський р-н, Львівська обл., 81384","568","173","565","23","372","23","395","","0","372","23","395","8","387","2","5","0","15","149","7","0","35","174","29.10.12"
"460773","120","Львівська область","народний дім, актова зала
вул.Східна, 16А, с.Ніговичі, Мостиський р-н, Львівська обл., 81384","176","46","175","8","122","8","130","","0","122","8","130","1","129","1","10","0","7","75","2","0","8","26","29.10.12"
"460774","120","Львівська область","школа, зал засідань
вул.Центральна, 27А, с.Княгиничі, Мостиський р-н, Львівська обл., 81384","256","69","248","14","173","14","187","","0","173","14","187","4","183","0","5","0","14","103","6","3","6","46","29.10.12"
"460775","120","Львівська область","народний дім, зал засідань
вул.Сонячна, 14А, с.Костильники, Мостиський р-н, Львівська обл., 81384","144","64","136","17","63","17","80","","0","63","17","80","2","78","0","1","0","0","30","7","1","6","33","29.10.12"
"460776","120","Львівська область","школа, кл.1
вул.Центральна, 65, с.Золотковичі, Мостиський р-н, Львівська обл., 81355","392","93","387","23","277","22","299","","0","277","22","299","9","290","0","2","1","11","146","26","0","10","94","29.10.12"
"460777","120","Львівська область","школа, спортивний зал
вул.Бічна, 32А, с.Боляновичі, Мостиський р-н, Львівська обл., 81355","432","176","424","23","234","22","256","","0","234","22","256","5","251","0","13","2","7","121","16","0","10","82","29.10.12"
"460778","120","Львівська область","житловий будинок, к.2
вул.Миру, 58, с.Мочеради, Мостиський р-н, Львівська обл., 81355","72","27","65","2","43","2","45","","0","43","2","45","1","44","0","9","0","0","23","2","0","3","7","29.10.12"
"460779","120","Львівська область","житловий будинок, к.2
вул.Лісова, 16, с.Іорданівка, Мостиський р-н, Львівська обл., 81355","112","58","102","5","49","5","54","","0","49","5","54","1","53","1","5","0","4","33","2","0","0","8","29.10.12"
"460780","120","Львівська область","сільська рада, каб.2
вул.Л.Українки, 18, с.Крисовичі, Мостиський р-н, Львівська обл., 81360","488","143","486","16","330","15","345","","0","330","15","345","2","343","2","12","4","11","140","22","0","29","123","29.10.12"
"460781","120","Львівська область","школа, кл.2
вул.Зелена, 2, с.Нагірне, Мостиський р-н, Львівська обл., 81360","216","49","214","14","154","13","167","","0","154","13","167","1","166","2","2","0","10","67","7","0","14","64","29.10.12"
"460782","120","Львівська область","народний дім, каб.1
вул.Грабовського, 30, с.Чишки, Мостиський р-н, Львівська обл., 81360","424","115","421","16","293","16","309","","0","293","16","309","9","300","0","3","0","6","143","13","0","19","116","29.10.12"
"460783","120","Львівська область","народний дім, каб.2
вул.Шевченка, 5, с.Крукеничі, Мостиський р-н, Львівська обл., 81364","784","235","778","44","505","44","549","","0","505","44","549","10","539","1","6","0","12","259","28","1","34","198","29.10.12"
"460784","120","Львівська область","народний дім, каб.2
вул.22 Січня, 13, с.Острожець, Мостиський р-н, Львівська обл., 81364","176","41","175","11","125","10","135","","0","125","10","135","3","132","0","2","0","5","51","8","0","6","60","29.10.12"
"460785","120","Львівська область","школа, кл.2
вул.Центральна, 20, с.Воля-Садківська, Мостиський р-н, Львівська обл., 81364","208","42","203","15","151","15","166","","0","151","15","166","5","161","0","2","1","0","94","6","0","1","57","29.10.12"
"460786","120","Львівська область","школа, кл.2
вул.Т.Шевченка, 113, с.Липники, Мостиський р-н, Львівська обл., 81371","472","149","465","24","299","24","323","","0","299","24","323","9","314","0","4","2","6","144","13","3","36","106","29.10.12"
"460787","120","Львівська область","школа, кл.2
вул.Зелена, 4, с.Стрілецьке, Мостиський р-н, Львівська обл., 81371","376","143","369","8","225","8","233","","0","225","8","233","5","228","1","5","2","6","153","2","0","9","50","29.10.12"
"460788","120","Львівська область","народний дім, актова зала
вул.Центральна, 4, с.Малнів, Мостиський р-н, Львівська обл., 81310","960","187","953","70","703","70","773","","0","703","70","773","11","762","2","5","1","12","204","193","0","23","322","29.10.12"
"460789","120","Львівська область","народний дім, каб.2
вул.Широка, 14, с.Мелешки, Мостиський р-н, Львівська обл., 81310","448","113","435","16","319","16","335","","0","319","16","335","9","326","0","17","0","0","94","50","0","8","157","29.10.12"
"460790","120","Львівська область","школа, кл.2
вул.отця І.Дуцька, 88, с.Малнівська Воля, Мостиський р-н, Львівська обл., 81311","472","79","466","29","366","27","393","","0","366","27","393","8","385","0","6","0","3","118","50","1","15","192","29.10.12"
"460791","120","Львівська область","школа, спортивний зал
вул.Т.Шевченка, 12, с.Макунів, Мостиський р-н, Львівська обл., 81385","248","79","240","35","134","35","169","","0","134","35","169","3","166","0","0","2","4","63","1","1","1","94","29.10.12"
"460792","120","Львівська область","народний дім, танцювальний зал
вул.Погулянка, 8, с.Малі Мокряни, Мостиський р-н, Львівська обл., 81345","432","109","430","37","288","35","323","","0","288","35","323","1","322","1","3","1","22","201","25","1","9","59","29.10.12"
"460793","120","Львівська область","школа, спортивний зал
вул.Центральна, 2, с.Мишлятичі, Мостиський р-н, Львівська обл., 81352","464","104","457","25","335","25","360","","0","335","25","360","4","356","1","2","0","19","177","3","0","4","150","29.10.12"
"460794","120","Львівська область","народний дім, каб.2
вул.Центральна, 6, с.Ганьковичі, Мостиський р-н, Львівська обл., 81352","152","39","150","17","96","17","113","","0","96","17","113","0","113","0","1","0","2","41","2","0","3","64","29.10.12"
"460795","120","Львівська область","народний дім, каб.2
вул.Т.Шевченка, 13, с.Конюшки, Мостиський р-н, Львівська обл., 81352","168","47","160","8","113","8","121","","0","113","8","121","2","119","0","5","0","2","70","0","1","2","39","29.10.12"
"460796","120","Львівська область","Приватний будинок, к.2
вул.І.Франка, 30, с. Тамановичі, Мостиський р-н, Львівська обл., 81352","160","45","154","12","103","12","115","","0","103","12","115","3","112","0","2","0","4","56","3","0","3","44","29.10.12"
"460797","120","Львівська область","школа, кл.2
вул.Машиністів, 29А, с.Мостиська Друга, Мостиський р-н, Львівська обл., 81320","712","167","713","17","531","14","545","","0","531","14","545","16","529","1","9","3","21","214","34","2","30","215","29.10.12"
"460798","120","Львівська область","школа, вестибюль
вул.Окружна, 1, с.Підліски, Мостиський р-н, Львівська обл., 81373","368","89","361","24","255","24","279","","0","255","24","279","4","275","0","2","1","8","123","18","1","5","117","29.10.12"
"460799","120","Львівська область","народний дім, каб.2
вул.Центральна, 5, с.Вишенька, Мостиський р-н, Львівська обл., 81373","152","46","145","12","97","9","106","","0","97","9","106","0","106","1","0","0","0","40","8","0","2","55","29.10.12"
"460800","120","Львівська область","школа, вестибюль
вул.Миру, 125, с.Пнікут, Мостиський р-н, Львівська обл., 81362","856","328","848","8","520","8","528","","0","520","8","528","23","505","6","34","2","12","217","24","1","53","156","29.10.12"
"460801","120","Львівська область","школа, кл.2
вул.Тарасівка, 1, с.Буховичі, Мостиський р-н, Львівська обл., 81362","584","160","580","29","395","29","424","","0","395","29","424","3","421","0","7","0","5","165","19","1","17","207","29.10.12"
"460802","120","Львівська область","школа, кл.2
вул.Т.Шевченка, 33, с.Поповичі, Мостиський р-н, Львівська обл., 81350","368","81","362","38","250","37","287","","0","250","37","287","1","286","0","5","0","12","136","5","0","7","121","29.10.12"
"460803","120","Львівська область","народний дім, актова зала
вул.Центральна, 38, с.Плешевичі, Мостиський р-н, Львівська обл., 81350","128","23","122","12","95","10","105","","0","95","10","105","0","105","0","3","0","2","49","1","0","3","47","29.10.12"
"460804","120","Львівська область","народний дім, актова зала
вул.Т.Шевченка, 2, с.Циків, Мостиський р-н, Львівська обл., 81350","216","50","209","15","153","13","166","","0","153","13","166","6","160","1","2","0","3","69","2","0","5","78","29.10.12"
"460805","120","Львівська область","школа, вестибюль
вул.Сонячна, 75, с.Раденичі, Мостиський р-н, Львівська обл., 81372","904","295","894","48","568","41","609","","0","568","41","609","14","595","5","19","1","29","366","21","1","31","122","29.10.12"
"460806","120","Львівська область","школа, кл.2
вул.Шкільна, 29, с.Чижевичі, Мостиський р-н, Львівська обл., 81372","224","83","219","18","128","13","141","","0","128","13","141","3","138","0","8","1","1","74","9","0","4","41","29.10.12"
"460807","120","Львівська область","школа, вестибюль
вул.Центральна, 102, с.Соколя, Мостиський р-н, Львівська обл., 81314","584","25","587","38","521","38","559","","0","521","38","559","24","535","0","1","0","5","475","7","0","6","41","29.10.12"
"460808","120","Львівська область","народний дім, каб.2
вул.Бойки, 11, с.Крив’яки, Мостиський р-н, Львівська обл., 81314","136","17","136","7","112","7","119","","0","112","7","119","2","117","1","3","0","3","94","1","0","1","14","29.10.12"
"460809","120","Львівська область","сільська рада, кабінет урочистих подій
вул.Зелена бічна, 2, с.Стоянці, Мостиський р-н, Львівська обл., 81370","200","46","199","28","131","23","154","","0","131","23","154","1","153","0","8","1","6","74","9","0","7","48","29.10.12"
"460810","120","Львівська область","школа, кл.2
вул.Майданова, 73А, с.Санники, Мостиський р-н, Львівська обл., 81370","248","94","242","16","139","15","154","","0","139","15","154","5","149","0","8","2","5","73","4","0","12","45","29.10.12"
"460811","120","Львівська область","школа, кл.2
вул.Мостова, 117А, с.Мистичі, Мостиський р-н, Львівська обл., 81370","224","81","217","28","120","23","143","","0","120","23","143","6","137","0","2","0","5","98","2","0","9","21","29.10.12"
"460812","120","Львівська область","сільська рада, зал засідань
вул.Центральна, 54, с.Твіржа, Мостиський р-н, Львівська обл., 81330","496","88","495","40","372","36","408","","0","372","36","408","5","403","0","14","0","7","127","27","1","30","197","29.10.12"
"460813","120","Львівська область","школа, кл.2
вул.Центральна, 1, с.Хоросниця, Мостиський р-н, Львівська обл., 81330","488","129","481","41","318","41","359","","0","318","41","359","6","353","0","3","0","2","109","12","1","8","218","29.10.12"
"460814","120","Львівська область","народний дім, актова зала
вул.Садова, 32, с.Вуйковичі, Мостиський р-н, Львівська обл., 81330","176","50","174","30","101","25","126","","0","101","25","126","0","126","1","1","0","1","59","6","1","2","55","29.10.12"
"460815","120","Львівська область","народний дім, каб.2
вул.Миру, 65, с.Тщенець, Мостиський р-н, Львівська обл., 81323","440","141","435","18","282","17","299","","0","282","17","299","5","294","0","4","0","10","171","14","2","6","87","29.10.12"
"460816","120","Львівська область","народний дім, каб.2
вул.Дружби, 33, с.Волиця, Мостиський р-н, Львівська обл., 81323","768","229","771","47","494","45","539","","0","494","45","539","13","526","0","9","7","18","311","28","1","35","117","29.10.12"
"460817","120","Львівська область","школа, кабінет географії
вул.І.Франка, 18, с.Хідновичі, Мостиський р-н, Львівська обл., 81351","312","87","309","26","199","26","225","","0","199","26","225","0","225","1","4","4","2","108","5","1","0","100","29.10.12"
"460818","120","Львівська область","народний дім, каб.2
вул.Л.Українки, 58, с.Боратичі, Мостиський р-н, Львівська обл., 81351","208","57","202","20","131","20","151","","0","131","20","151","2","149","0","6","0","2","40","10","1","4","86","31.10.12"
"460819","120","Львівська область","народний дім, каб.2
вул.Центральна, 21, с.Тишковичі, Мостиський р-н, Львівська обл., 81351","192","37","183","2","153","2","155","","0","153","2","155","0","155","0","2","0","6","68","2","1","2","74","29.10.12"
"460820","120","Львівська область","школа, кл.2
вул.Центральна, 8, с.Судковичі, Мостиський р-н, Львівська обл., 81366","176","50","165","17","109","17","126","","0","109","17","126","1","125","0","1","1","2","76","4","0","6","35","29.10.12"
"460821","120","Львівська область","народний дім, актова зала
вул.Центральна, 11, с.Хлиплі, Мостиський р-н, Львівська обл., 81366","280","70","276","33","184","26","210","","0","184","26","210","5","205","1","2","0","8","97","3","2","2","90","29.10.12"
"460822","120","Львівська область","народний дім, актова зала
вул.Сонячна, 2, с.Ятвяги, Мостиський р-н, Львівська обл., 81366","208","67","205","18","127","14","141","","0","127","14","141","2","139","0","1","0","4","47","4","0","2","81","29.10.12"
"460823","120","Львівська область","школа, кл.2
вул.Шашкевича, 9, с.Черневе, Мостиський р-н, Львівська обл., 81312","744","172","736","47","528","44","572","","0","528","44","572","6","566","0","9","0","11","262","48","2","31","203","29.10.12"
"460824","120","Львівська область","школа, кл.2
вул.Шашкевича, 4, с.Старява, Мостиський р-н, Львівська обл., 81312","880","233","863","79","577","70","647","","0","577","70","647","14","633","0","15","1","14","279","59","2","20","243","29.10.12"
"460825","120","Львівська область","школа, майстерня
вул.Дружби, 59, с.Шегині, Мостиський р-н, Львівська обл., 81321","792","222","786","36","536","34","570","","0","536","34","570","19","551","1","6","2","13","205","19","3","28","274","29.10.12"
"460826","120","Львівська область","народний дім, актова зала
вул.М.Шашкевича, 1, с.Биків, Мостиський р-н, Львівська обл., 81321","120","34","113","17","69","17","86","","0","69","17","86","0","86","0","1","0","0","37","2","0","0","46","29.10.12"
"460827","120","Львівська область","народний дім, актова зала
вул.Т.Шевченка, 7, с.Буців, Мостиський р-н, Львівська обл., 81321","440","90","438","25","325","25","350","","0","325","25","350","4","346","0","0","1","9","135","6","0","6","189","28.10.12"
"460828","120","Львівська область","психоневрологічний інтернат, клуб
пров.Піонерський, 3, м.Судова Вишня, Мостиський р-н, Львівська обл., 81340","144","57","133","21","79","8","87","","0","79","8","87","13","74","3","47","1","5","8","0","1","0","9","29.10.12"
"460829","120","Львівська область","психоневрологічний інтернат, каб.2
вул.Т.Шевченка, 183, с.Поповичі, Мостиський р-н, Львівська обл., 81350","112","67","110","30","21","24","45","","0","21","24","45","24","21","1","0","0","1","12","0","1","2","4","29.10.12"
"460830","120","Львівська область","Мостиська КЦРЛ, терапевтичне відділення, актова зала
вул.Перемишльська, 9, м.Мостиська, Мостиський р-н, Львівська обл., 81300","232","174","67","36","26","32","58","","0","26","32","58","1","57","1","2","0","4","23","2","0","7","18","29.10.12"
"461059","120","Львівська область","Бабинська сільська рада, зала урочистих подій
вул.Шевченка, 4, с.Бабина, Самбірський р-н, Львівська обл., 81455","1248","368","1235","51","830","50","880","","0","830","50","880","11","869","1","69","5","27","324","17","1","29","396","29.10.12"
"461060","120","Львівська область","Народний дім, глядацька зала
вул.Миру, 1, с.Береги, Самбірський р-н, Львівська обл., 81455","304","33","300","21","250","21","271","","0","250","21","271","3","268","0","19","0","7","139","6","1","8","88","29.10.12"
"461061","120","Львівська область","Народний дім, глядацька зала
вул.Миру, 14, с.Пиняни, Самбірський р-н, Львівська обл., 81456","592","134","584","20","439","19","458","","0","439","19","458","10","448","0","24","4","14","138","31","0","23","214","29.10.12"
"461062","120","Львівська область","Народний дім, глядацька зала
вул.Ярослава Мудрого, 3, с.Бісковичі, Самбірський р-н, Львівська обл., 81457","2000","705","1975","95","1205","90","1295","","0","1205","90","1295","27","1268","3","41","0","18","584","9","1","28","584","29.10.12"
"461063","120","Львівська область","Блажівська сільська рада, актова зала
вул.Карпатська, 13А, с.Блажів, Самбірський р-н, Львівська обл., 81482","632","190","616","68","377","65","442","","0","377","65","442","2","440","1","26","0","17","193","4","0","9","190","29.10.12"
"461064","120","Львівська область","Народний дім, актова зала
вул.Карпатська, 68А, с.Воля-Блажівська, Самбірський р-н, Львівська обл., 81483","368","120","372","34","216","32","248","","0","216","32","248","3","245","0","12","1","4","92","2","0","11","123","29.10.12"
"461065","120","Львівська область","Народний дім, актова зала
вул.Загірна, 41А, с.Звір, Самбірський р-н, Львівська обл., 81484","256","106","248","27","126","24","150","","0","126","24","150","4","146","0","28","0","0","90","3","0","2","23","29.10.12"
"461066","120","Львівська область","Народний дім, глядацька зала
вул.Ів.Франка, 75, с.Велика Білина, Самбірський р-н, Львівська обл., 81467","192","54","181","26","113","25","138","","0","113","25","138","1","137","1","20","0","2","35","2","0","4","73","29.10.12"
