"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрущенко
Андрій
Олександрович","Коб’ялковський
Михайло
Степанович","Кожан
Володимир
Дмитрович","Матвієнко
Ігор
Володимирович","Сенчук
Сергій
Степанович","Сех
Ірина
Ігорівна","Стецик
Юрій
Михайлович","Тлємішок
Наталія
Олександрівна","Туркевич
Леся
Йосипівна","Шульба
Михайло
Степанович","Щепанкевич
Іван
Станіславович","Яремків
Ольга
Михайлівна","Дата підписання протоколу"
"460053","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Окружна, 28, с.Сухота, Бродівський р-н, Львівська обл., 80644","138","25","137","20","93","20","113","","0","93","20","113","2","111","2","23","1","1","5","69","0","0","1","1","8","0","29.10.12"
"460054","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Кутова, 4А, с.Пониковиця, Бродівський р-н, Львівська обл., 80640","1152","301","1156","71","780","71","851","","0","780","71","851","25","826","5","34","20","4","77","636","17","0","2","1","22","8","29.10.12"
"460055","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Головна, 24А, с.Глушин, Бродівський р-н, Львівська обл., 80640","204","60","208","30","115","29","144","","0","115","29","144","4","140","4","20","4","1","10","86","2","0","0","0","9","4","28.10.12"
"460056","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 37А, с.Голосковичі, Бродівський р-н, Львівська обл., 80640","360","95","350","38","232","33","265","","0","232","33","265","4","261","2","30","5","0","10","194","3","0","0","1","15","1","29.10.12"
"460057","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Лісова, 10А, с.Ковпин Ставок, Бродівський р-н, Львівська обл., 80640","210","63","205","10","137","10","147","","0","137","10","147","12","135","0","10","1","0","11","106","0","0","0","1","4","2","01.11.12"
"460058","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Шкільна, 1А, с.Суходоли, Бродівський р-н, Львівська обл., 80641","486","97","490","27","362","27","389","","0","362","27","389","16","373","1","60","3","2","93","199","0","0","1","0","12","2","29.10.12"
"460059","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Ринок, 9, с.Попівці, Бродівський р-н, Львівська обл., 80655","636","152","628","73","411","73","484","","0","411","73","484","19","465","3","70","9","3","57","285","5","0","2","0","29","2","29.10.12"
"460060","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Дружня, 18, с.Дудин, Бродівський р-н, Львівська обл., 80655","198","57","193","20","121","20","141","","0","121","20","141","4","137","1","19","1","1","18","90","1","1","0","0","4","1","28.10.12"
"460061","119","Львівська область","народний дім "" Просвіта"", актовий зал
вул.Центральна, 29, с.Нем’яч, Бродівський р-н, Львівська обл., 80656","396","108","399","43","246","42","288","","0","246","42","288","8","280","2","43","4","2","38","174","1","2","0","0","11","3","29.10.12"
"460062","119","Львівська область","школа, к.2
вул.Шкільна, 2, с.Ражнів, Бродівський р-н, Львівська обл., 80630","324","115","321","37","172","37","209","","0","172","37","209","11","198","0","27","4","0","33","119","2","1","2","1","8","1","29.10.12"
"460063","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 20, с.Вовковатиця, Бродівський р-н, Львівська обл., 80630","120","29","117","12","80","11","91","","0","80","11","91","5","86","0","10","1","0","11","63","0","0","0","0","1","0","29.10.12"
"460064","119","Львівська область","ТзОВ""Сидинівка"", актоваий зал
вул.Зелена, 12, с.Сидинівка, Бродівський р-н, Львівська обл., 80643","120","39","121","1","80","1","81","","0","80","1","81","2","79","0","17","2","1","4","50","0","0","2","0","3","0","29.10.12"
"460065","119","Львівська область","ДП ""Галсільліс"", актовий зал
вул.Центральна, 38, с.Смільне, Бродівський р-н, Львівська обл., 80643","546","138","548","28","380","28","408","","0","380","28","408","8","400","1","38","13","1","21","297","1","1","1","1","21","4","29.10.12"
"460066","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Сонячна, 10А, с.Станіславчик, Бродівський р-н, Львівська обл., 80622","384","119","375","36","229","36","265","","0","229","36","265","10","255","1","34","3","1","46","139","0","1","1","3","22","4","29.10.12"
"460067","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 2, с.Бордуляки, Бродівський р-н, Львівська обл., 80622","222","49","221","30","144","29","173","","0","144","29","173","6","167","0","20","2","0","31","104","2","1","0","0","3","4","29.10.12"
"460068","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Сонячна, 1, с.Збруї, Бродівський р-н, Львівська обл., 80622","102","22","101","8","72","8","80","","0","72","8","80","0","80","0","16","1","0","7","49","0","0","0","3","3","1","28.10.12"
"460069","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Окружна, 8, с.Монастирок, Бродівський р-н, Львівська обл., 80622","186","36","186","25","125","25","150","","0","125","25","150","2","148","0","9","0","1","26","106","0","0","0","1","3","2","29.10.12"
"460070","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Долинка, 20, с.Суховоля, Бродівський р-н, Львівська обл., 80652","894","314","886","35","545","35","580","","0","545","35","580","5","575","4","32","6","2","91","407","2","2","0","0","20","9","29.10.12"
"460071","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 6, с.Бучина, Бродівський р-н, Львівська обл., 80652","84","17","88","9","58","9","67","","0","58","9","67","1","66","1","25","0","0","10","26","0","0","0","0","1","3","29.10.12"
"460072","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Центральна, 14, с.Салашка, Бродівський р-н, Львівська обл., 80652","222","66","221","13","143","13","156","","0","143","13","156","4","152","0","15","1","1","5","117","1","0","0","4","7","1","29.10.12"
"460073","119","Львівська область","медичний пункт, фойє
вул.Шевченка, 20, с.Черниця, Бродівський р-н, Львівська обл., 80653","630","188","619","101","342","100","442","","0","342","100","442","9","433","3","30","6","1","55","305","4","1","1","2","17","8","29.10.12"
"460074","119","Львівська область","сільська рада, зал урочистих подій
вул.Колгоспна, 32, с.Шнирів, Бродівський р-н, Львівська обл., 80620","354","105","350","21","228","21","249","","0","228","21","249","7","242","3","18","1","0","67","135","1","1","5","0","7","4","28.10.12"
"460075","119","Львівська область","школа, актовий зал
вул.Головна, 17, с.Білявці, Бродівський р-н, Львівська обл., 80621","426","123","424","22","281","22","303","","0","281","22","303","8","295","1","23","6","1","22","208","2","0","0","6","23","3","29.10.12"
"460076","119","Львівська область","школа, фойє
вул.Центральна, 34, с.Бовдури, Бродівський р-н, Львівська обл., 80620","228","46","230","27","157","25","182","","0","157","25","182","3","179","1","21","3","2","20","109","4","0","1","3","11","4","29.10.12"
"460077","119","Львівська область","народний дім ""Просвіта"", фойє
вул.Центральна, 14, с.Клекотів, Бродівський р-н, Львівська обл., 80620","228","53","226","24","152","23","175","","0","152","23","175","0","175","1","16","0","0","11","138","3","0","0","0","3","3","29.10.12"
"460078","119","Львівська область","сільська рада, зал урочистих подій
вул.Конюшківська, 19, с.Язлівчик, Бродівський р-н, Львівська обл., 80623","270","48","278","15","209","13","222","","0","209","13","222","4","218","1","24","1","0","13","166","2","1","1","0","6","3","29.10.12"
"460079","119","Львівська область","школа, спортивний зал
вул.Новоставці, 24, с.Берлин, Бродівський р-н, Львівська обл., 80612","1014","281","1011","88","646","87","733","","0","646","87","733","15","718","6","58","8","1","23","541","3","2","2","6","59","9","28.10.12"
"460080","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Й.Застирця, 9, с.Конюшків, Бродівський р-н, Львівська обл., 80624","540","111","535","41","391","38","429","","0","391","38","429","10","419","6","31","5","2","39","304","3","1","2","2","17","7","29.10.12"
"460081","119","Львівська область","народний дім ""Просвіта"", актовий зал
вул.Довга, 70, с.Лагодів, Бродівський р-н, Львівська обл., 80623","198","57","194","6","135","6","141","","0","135","6","141","3","138","1","23","3","1","6","93","0","0","0","3","6","2","29.10.12"
"460082","119","Львівська область","сільська рада, актовий зал
вул.Бродівська, 1, с.Ясенів, Бродівський р-н, Львівська обл., 80661","942","301","937","87","554","87","641","","0","554","87","641","10","631","6","37","8","3","68","455","9","3","5","0","33","4","28.10.12"
"460083","119","Львівська область","школа, спортивний зал
вул.Центральна, 5, с.Дуб’є, Бродівський р-н, Львівська обл., 80661","498","114","503","45","340","44","384","","0","340","44","384","14","370","3","26","5","1","17","291","5","0","1","0","13","8","28.10.12"
"460084","119","Львівська область","школа, спортивний зал
вул.Шкільна, 1, с.Дубина, Бродівський р-н, Львівська обл., 80661","402","124","396","55","223","55","278","","0","223","55","278","2","276","0","32","7","2","13","198","1","2","2","0","14","5","31.10.12"
"460085","119","Львівська область","школа, спортивний зал
вул.Центральна, 103, с.Лучківці, Бродівський р-н, Львівська обл., 80662","618","171","616","63","387","60","447","","0","387","60","447","8","439","4","36","4","0","38","333","4","3","0","1","13","3","28.10.12"
"460086","119","Львівська область","Бродівська районна лікарня, терапевтичне відділення, ординаторська
вул.Юридика, 22, м.Броди, Бродівський р-н, Львівська обл., 80600","204","125","96","96","0","79","79","","0","0","79","79","2","77","0","0","1","0","4","68","0","0","1","0","2","1","28.10.12"
"460087","119","Львівська область","школа, к.3
вул.Центральна, 82, с.Андріївка, Буський р-н, Львівська обл., 80563","1104","309","1093","63","733","62","795","","0","733","62","795","11","784","9","19","51","7","36","560","8","1","8","1","69","15","29.10.12"
"460088","119","Львівська область","школа, к.3
вул.Центральна, 634, с.Острівчик-Пильний, Буський р-н, Львівська обл., 80563","288","68","298","21","199","21","220","","0","199","21","220","5","215","3","16","15","2","19","143","4","3","4","0","2","4","29.10.12"
"460089","119","Львівська область","школа, к.8
вул.Зелена, 452, с.Петричі, Буський р-н, Львівська обл., 80563","552","200","548","41","311","41","352","","0","311","41","352","11","341","2","6","21","7","74","185","14","3","1","0","11","17","29.10.12"
"460090","119","Львівська область","школа, к.11
вул.Головна, 37, с.Балучин, Буський р-н, Львівська обл., 80565","474","133","465","25","316","25","341","","0","316","25","341","5","336","4","21","11","1","44","206","9","3","7","2","16","12","29.10.12"
"460091","119","Львівська область","народний дім, актова зала
вул.Сонячна, 3, с.Русилів, Буський р-н, Львівська обл., 80565","156","29","161","15","112","15","127","","0","112","15","127","5","122","1","12","4","0","7","87","0","3","0","2","5","1","29.10.12"
"460092","119","Львівська область","народний дім, фойє
вул.Центральна, 50А, с.Боложинів, Буський р-н, Львівська обл., 80527","534","169","530","37","335","30","365","","0","335","30","365","14","351","10","14","21","4","19","247","3","0","2","1","23","7","29.10.12"
"460093","119","Львівська область","народний дім, актова зала
вул.Л.Українки, 38, с.Вербляни, Буський р-н, Львівська обл., 80527","270","81","267","21","168","21","189","","0","168","21","189","12","177","3","6","18","2","31","85","3","2","5","1","13","8","29.10.12"
"460094","119","Львівська область","народний дім, актова зала
вул.Незалежності, 40, с.Чучмани, Буський р-н, Львівська обл., 80527","204","45","208","20","140","19","159","","0","140","19","159","5","154","2","15","5","5","6","108","1","2","0","1","8","1","29.10.12"
"460095","119","Львівська область","спорткомплекс, фойє
вул.Київська, 13, м.Буськ, Буський р-н, Львівська обл., 80500","1620","592","1600","30","999","29","1028","","0","999","29","1028","22","1006","16","20","56","7","98","678","20","2","7","5","77","20","29.10.12"
"460096","119","Львівська область","музична школа, актова зала
вул.Шкільна, 26, м.Буськ, Буський р-н, Львівська обл., 80500","1644","571","1628","40","1037","36","1073","","0","1037","36","1073","19","1054","11","23","74","4","76","733","10","4","6","0","84","29","29.10.12"
"460097","119","Львівська область","народний дім, конференцзал
вул.Грушевського, 5, м.Буськ, Буський р-н, Львівська обл., 80500","2310","764","2214","70","1493","53","1546","","0","1493","53","1546","38","1508","22","44","128","19","101","979","17","8","17","3","139","31","29.10.12"
"460098","119","Львівська область","міське комунальне підприємство, зал засідань
вул.Львівська, 6, м.Буськ, Буський р-н, Львівська обл., 80500","1266","479","1246","28","762","25","787","","0","762","25","787","19","768","9","21","66","2","71","495","10","7","3","3","63","18","29.10.12"
"460099","119","Львівська область","народний дім, актова зала
вул.Цетральна, 1, с.Гумниська, Буський р-н, Львівська обл., 80531","342","81","337","30","233","28","261","","0","233","28","261","8","253","0","21","12","2","13","184","1","1","0","0","12","7","29.10.12"
"460100","119","Львівська область","народний дім, актова зала
вул.Центральна, 5, с.Заводське, Буський р-н, Львівська обл., 80522","930","289","921","33","612","29","641","","0","612","29","641","8","633","6","6","79","3","95","391","2","5","6","4","26","10","29.10.12"
"460101","119","Львівська область","школа, спортзал
вул.1-го Травня, 38, с.Задвір’я, Буський р-н, Львівська обл., 80552","1392","463","1375","54","876","53","929","","0","876","53","929","9","920","24","9","55","5","29","667","24","1","6","2","69","29","29.10.12"
"460102","119","Львівська область","школа, спортзал
вул.50-річчя Воз’єднання, 5, с.Полоничі, Буський р-н, Львівська обл., 80553","432","111","433","37","287","34","321","","0","287","34","321","16","305","0","8","13","5","35","222","1","3","1","2","12","3","29.10.12"
"460103","119","Львівська область","школа, к.1
вул.І.Франка, 24А, с.Богданівка, Буський р-н, Львівська обл., 80552","222","49","214","16","157","16","173","","0","157","16","173","4","169","0","5","0","2","35","114","2","2","2","1","5","1","29.10.12"
"460104","119","Львівська область","школа, спортзал
вул.Київська, 54, с.Кізлів, Буський р-н, Львівська обл., 80543","534","127","547","36","371","36","407","","0","371","36","407","16","391","19","24","19","2","24","268","5","1","1","1","17","10","29.10.12"
"460105","119","Львівська область","школа, к.3
вул.Шевченка, 66, с.Журатин, Буський р-н, Львівська обл., 80543","240","64","243","12","164","12","176","","0","164","12","176","8","168","1","8","16","3","14","92","6","0","2","4","12","10","29.10.12"
"460106","119","Львівська область","школа №1, спортзал
вул.Золочівська, 5, смт Красне, Буський р-н, Львівська обл., 80560","2208","755","2155","87","1369","84","1453","","0","1369","84","1453","25","1428","17","19","34","7","149","1044","9","5","6","2","106","30","29.10.12"
"460107","119","Львівська область","народний дім, актова зала
вул.І.Франка, 24, смт Красне, Буський р-н, Львівська обл., 80560","1518","553","1497","32","934","31","965","","0","934","31","965","21","944","15","28","38","5","139","576","13","6","9","2","80","33","29.10.12"
"460108","119","Львівська область","школа №2, актова зала
вул.Заводська, 12, смт Красне, Буський р-н, Львівська обл., 80560","1200","432","1211","26","747","21","768","","0","747","21","768","18","750","15","14","25","7","48","543","5","2","4","0","67","20","29.10.12"
"460109","119","Львівська область","ЛОРТПЦ, зал засідань
вул.Попова, 7, смт Красне, Буський р-н, Львівська обл., 80560","198","67","199","6","128","3","131","","0","128","3","131","10","121","4","11","4","3","6","60","5","1","5","1","12","9","29.10.12"
"460110","119","Львівська область","народний дім, актова зала
вул.Б. Хмельницького, 75, с.Купче, Буський р-н, Львівська обл., 80514","354","66","347","15","274","14","288","","0","274","14","288","10","278","5","16","9","2","30","185","5","1","2","0","13","10","29.10.12"
"460111","119","Львівська область","народний дім, актова зала
вул.Нова, 1, с.Ракобовти, Буський р-н, Львівська обл., 80514","408","80","403","23","305","23","328","","0","305","23","328","8","320","6","15","22","2","14","239","1","0","1","0","9","11","29.10.12"
"460112","119","Львівська область","школа, спортзал
вул.Довга, 1А, с.Кути, Буський р-н, Львівська обл., 80532","312","98","308","35","183","31","214","","0","183","31","214","5","209","4","7","4","1","14","163","1","0","1","1","10","3","29.10.12"
"460113","119","Львівська область","школа, фойє
вул.Кіпрани, 425А, с.Брахівка, Буський р-н, Львівська обл., 80532","144","28","140","26","91","25","116","","0","91","25","116","7","109","2","12","12","2","16","51","2","0","1","0","5","6","29.10.12"
"460114","119","Львівська область","народний дім, актова зала
вул.Широка, 295А, с.Чішки, Буський р-н, Львівська обл., 80532","126","29","130","9","89","8","97","","0","89","8","97","4","93","7","17","1","0","4","57","0","1","0","0","3","3","28.10.12"
"460115","119","Львівська область","народний дім, актова зала
вул.Центральна, 516А, с.Хватів, Буський р-н, Львівська обл., 80532","174","43","172","11","121","10","131","","0","121","10","131","8","123","1","24","2","1","1","81","2","0","0","0","5","6","29.10.12"
"460116","119","Львівська область","школа, спортзал
вул.Софії Караффи-Корбут, 8, с.Куткір, Буський р-н, Львівська обл., 80550","654","130","652","18","506","18","524","","0","506","18","524","17","507","11","4","30","5","58","329","4","2","3","2","46","13","29.10.12"
"460117","119","Львівська область","народний дім, фойє
вул.В. Великого, 1А, с.Безброди, Буський р-н, Львівська обл., 80551","360","110","365","24","226","24","250","","0","226","24","250","14","236","5","17","23","6","26","127","1","0","2","3","11","15","29.10.12"
"460118","119","Львівська область","народний дім, фойє
вул.Шевченка, 21А, с.Острів, Буський р-н, Львівська обл., 80550","246","76","251","15","156","14","170","","0","156","14","170","4","166","0","5","7","4","8","125","5","1","0","0","9","2","29.10.12"
"460119","119","Львівська область","народний дім, актова зала
вул.Івана Франка, 40А, с.Ріпнів, Буський р-н, Львівська обл., 80542","888","221","877","53","617","50","667","","0","617","50","667","4","663","17","42","55","6","25","445","17","3","5","1","30","17","29.10.12"
"460120","119","Львівська область","народний дім, фойє
вул.Гребля, 1, с.Старий Милятин, Буський р-н, Львівська обл., 80541","498","129","488","28","341","28","369","","0","341","28","369","5","364","3","17","12","4","69","244","3","0","2","0","7","3","29.10.12"
"460121","119","Львівська область","народний дім, актова зала
вул.Центральна, 3, с.Новий Милятин, Буський р-н, Львівська обл, 80540","384","86","388","9","289","9","298","","0","289","9","298","4","294","10","25","29","1","14","157","6","1","7","0","34","10","29.10.12"
"460122","119","Львівська область","народний дім, актова зала
вул.Шашкевича, 93, с.Новосілки, Буський р-н, Львівська обл., 80544","348","89","344","34","227","32","259","","0","227","32","259","13","246","4","4","9","3","10","208","0","0","0","0","4","4","29.10.12"
"460123","119","Львівська область","народний дім, актова зала
вул.І.Франка, 68, с.Лісок, Буський р-н, Львівська обл., 80544","174","35","168","14","125","14","139","","0","125","14","139","3","136","2","10","4","4","9","100","0","1","2","0","2","2","29.10.12"
"460124","119","Львівська область","народний дім, актова зала
вул.Шевченка, 29, с.Кудирявці, Буський р-н, Львівська обл., 80544","258","51","256","22","185","22","207","","0","185","22","207","5","202","1","3","8","0","8","168","4","0","1","0","3","6","29.10.12"
"460125","119","Львівська область","народний дім, зал засідань
вул.Головна, 31, с.Ожидів, Буський р-н, Львівська обл., 80530","1686","500","1670","103","1087","99","1186","","0","1087","99","1186","29","1157","36","38","35","10","65","779","10","1","13","2","146","22","29.10.12"
"460126","119","Львівська область","школа, к.3
вул.Шкільна, 1, с.Йосипівка, Буський р-н, Львівська обл., 80530","348","74","348","29","246","28","274","","0","246","28","274","6","268","3","9","11","7","25","182","2","0","1","1","20","7","29.10.12"
"460127","119","Львівська область","народний дім, актова зала
вул.Головна, 70, с.Закомар’я, Буський р-н, Львівська обл., 80530","186","44","186","22","121","21","142","","0","121","21","142","3","139","1","12","3","3","10","103","1","0","0","1","3","2","28.10.12"
"460128","119","Львівська область","народний дім, фойє
вул.Просвіти, 1, смт Олесько, Буський р-н, Львівська обл., 80533","1158","335","1147","45","781","42","823","","0","781","42","823","19","804","15","18","19","6","46","603","11","1","7","2","57","19","29.10.12"
"460129","119","Львівська область","народний дім, актова зала
вул.Клубна, 25, с.Теребежі, Буський р-н, Львівська обл., 80533","234","60","233","33","141","33","174","","0","141","33","174","1","173","0","7","2","1","4","138","0","1","1","2","12","5","29.10.12"
"460130","119","Львівська область","народний дім, актова зала
вул.Довга, 2, с.Циків, Буський р-н, Львівська обл., 80533","138","36","135","17","86","16","102","","0","86","16","102","0","102","1","6","1","0","1","82","0","0","0","0","8","3","29.10.12"
"460131","119","Львівська область","народний дім, фойє
вул.500-річчя с.Переволочна, 8, с.Переволочна, Буський р-н, Львівська обл., 80526","372","81","365","45","246","45","291","","0","246","45","291","15","276","2","13","16","0","60","158","4","1","5","1","13","3","28.10.12"
"460132","119","Львівська область","школа, спортзал
вул.Шкільна, 128, с.Побужани, Буський р-н, Львівська обл., 80513","792","213","787","38","545","34","579","","0","545","34","579","19","560","10","26","59","2","53","357","9","3","6","5","21","9","29.10.12"
"460133","119","Львівська область","народний дім, актова зала
вул.Шевченка, 101А, с.Полтва, Буський р-н, Львівська обл., 80554","708","213","709","46","449","46","495","","0","449","46","495","16","479","25","14","14","4","36","322","12","5","5","2","31","9","29.10.12"
"460134","119","Львівська область","народний дім, фойє
вул.Бродівська, 5, с.Соколівка, Буський р-н, Львівська обл., 80525","636","182","629","103","365","89","454","","0","365","89","454","12","442","3","17","47","0","70","246","7","3","2","3","29","15","29.10.12"
"460135","119","Львівська область","народний дім, фойє
вул.Л. Українки, 34, с.Соколя, Буський р-н, Львівська обл., 80510","528","182","524","53","295","51","346","","0","295","51","346","12","334","4","16","25","2","20","241","3","2","2","2","13","4","29.10.12"
"460136","119","Львівська область","народний дім, вестибюль
вул.І. Франка, 283А, с.Волиця-Деревлянська, Буський р-н, Львівська обл., 80510","246","54","243","17","176","16","192","","0","176","16","192","2","190","2","18","35","1","5","118","3","1","0","1","5","1","29.10.12"
"460137","119","Львівська область","народний дім, фойє
вул.Шевченка, 416А, с.Грабова, Буський р-н, Львівська обл., 80511","306","69","302","22","216","21","237","","0","216","21","237","7","230","3","11","50","1","11","137","1","3","1","1","6","5","29.10.12"
"460138","119","Львівська область","сільська рада, сесійний зал
вул.Нова, 3, с.Сторонибаби, Буський р-н, Львівська обл., 80562","588","166","582","36","388","34","422","","0","388","34","422","7","415","7","10","10","6","53","288","3","1","1","0","25","11","28.10.12"
"460139","119","Львівська область","народний дім, фойє
вул.Вузька, 1, с.Топорів, Буський р-н, Львівська обл., 80520","1146","392","1134","70","686","68","754","","0","686","68","754","19","735","7","5","311","6","38","309","2","6","6","2","26","17","29.10.12"
"460140","119","Львівська область","школа, актова зала
вул.Осичина, 661, с.Гута, Буський р-н, Львівська обл., 80520","150","16","148","21","113","21","134","","0","113","21","134","2","132","0","0","118","0","0","9","0","0","0","0","0","5","29.10.12"
"460141","119","Львівська область","бібліотека, читальний зал
вул.Ковальчуки, 679, с.Лісове, Буський р-н, Львівська обл., 80520","264","86","259","34","144","34","178","","0","144","34","178","6","172","2","11","50","0","10","90","2","1","0","0","4","2","29.10.12"
"460142","119","Львівська область","сільська рада, сесійний зал
вул.Центральна, 1А, с.Тур’я, Буський р-н, Львівська обл., 80523","444","126","441","82","246","72","318","","0","246","72","318","4","314","2","15","10","1","16","256","3","0","0","0","9","2","29.10.12"
"460143","119","Львівська область","школа, к.1
вул.Центральна, 1А, с.Гутисько-Тур’янське, Буський р-н, Львівська обл., 80524","468","135","462","79","262","71","333","","0","262","71","333","5","328","5","22","10","2","42","227","2","2","3","0","12","1","29.10.12"
"460144","119","Львівська область","школа, спортзал
вул.Головна, 79, с.Утішків, Буський р-н, Львівська обл., 80561","636","219","628","25","392","25","417","","0","392","25","417","11","406","5","8","13","24","54","262","3","4","2","1","22","8","29.10.12"
"460145","119","Львівська область","сільська рада, сесійний зал
вул.Центральна, 4, с.Чаниж, Буський р-н, Львівська обл., 80521","486","124","481","51","319","43","362","","0","319","43","362","6","356","0","25","61","2","22","229","1","0","4","1","8","3","29.10.12"
"460146","119","Львівська область","народний дім, фойє
вул.Центральна, 1, с.Стовпин, Буський р-н, Львівська обл., 80521","192","41","192","26","126","25","151","","0","126","25","151","3","148","0","21","32","1","11","72","0","1","0","0","7","3","29.10.12"
"460147","119","Львівська область","народний дім, фойє
вул.Шевченка, 221, с.Яблунівка, Буський р-н, Львівська обл., 80512","570","150","567","43","377","43","420","","0","377","43","420","14","406","11","19","80","4","32","194","0","4","3","1","29","29","29.10.12"
"460148","119","Львівська область","центральна районна лікарня, зал засідань
вул.Львівська, 77, м.Буськ, Буський р-н, Львівська обл., 80500","156","97","61","0","59","0","59","","0","59","0","59","0","59","0","0","11","0","2","42","1","0","0","0","0","3","29.10.12"
"460614","119","Львівська область","школа естетичного виховання, зала для голосування
вул.Я.Мудрого, 16, м.Кам’янка-Бузька, Кам’янка-Бузький р-н, Львівської обл., 80400","2178","752","2148","51","1389","37","1426","","0","1389","37","1426","49","1377","61","55","72","6","71","896","24","6","12","10","142","22","29.10.12"
"460615","119","Львівська область","адмінбудинок КП Кам’янкаводоканал, зала для голосування
вул.Перемоги, 12А, м.Кам’янка-Бузька, Кам’янка-Бузький р-н, Львівської обл., 80400","2490","986","2449","24","1485","19","1504","","0","1484","19","1503","44","1459","73","65","104","8","75","882","45","5","6","10","152","34","29.10.12"
"460616","119","Львівська область","народний дім, зала для голосування
вул.Шевченка, 11, м.Кам’янка-Бузька, Кам’янка-Бузький р-н, Львівської обл., 80400","2370","853","2335","43","1478","39","1517","","0","1478","39","1517","54","1463","77","45","58","15","63","999","18","5","9","7","144","23","29.10.12"
"460617","119","Львівська область","школа №1, зала для голосування
вул.Незалежності, 66, м.Кам’янка-Бузька, Кам’янка-Бузький р-н, Львівська обл., 80400","2256","697","2221","49","1511","48","1559","","0","1511","48","1559","36","1523","74","39","50","9","74","1115","19","3","6","14","100","20","28.10.12"
"460618","119","Львівська область","початкова школа, зала для голосування
вул.Київська, початкова школа, с.Тадані, Кам’янка-Бузький р-н, Львівської обл., 80450","348","130","352","17","201","17","218","","0","201","17","218","6","212","7","15","4","2","17","140","3","1","2","1","13","7","31.10.12"
"460622","119","Львівська область","школа, зала для голосування
вул.Київська, 119, смт Запитів, Кам’янка-Бузький р-н, Львівської обл., 80461","2208","623","2190","58","1532","53","1585","","0","1532","53","1585","39","1546","188","15","28","11","37","1134","2","10","6","1","89","25","29.10.12"
"460623","119","Львівська область","народний дім, зала для голосування
вул.Незалежності, 6, смт Новий Яричів, Кам’янка-Бузький р-н, Львівська обл., 80465","2196","652","2188","68","1477","67","1544","","0","1477","67","1544","43","1501","334","27","22","4","37","886","12","3","17","1","118","40","29.10.12"
"460625","119","Львівська область","народний дім, зала для голосування
вул.Комарова, 12, с.Банюнин, Кам’янка-Бузький р-н, Львівська обл., 80454","564","171","556","31","363","30","393","","0","363","30","393","19","374","120","7","13","1","10","194","6","0","1","0","17","5","30.10.12"
"460626","119","Львівська область","народний дім, зала для голосування
вул.Є.Козака, 4, с.Велике Колодно, Кам’янка-Бузький р-н, Львівська обл., 80434","918","276","914","65","577","65","642","","0","577","65","642","22","620","59","13","25","3","118","357","3","2","1","0","30","9","29.10.12"
"460627","119","Львівська область","народний дім, зала для голосування
вул.Зелена, 19, с.Печихвости, Кам’янка-Бузький р-н, Львівська обл., 80436","552","160","548","43","350","42","392","","0","350","42","392","14","378","23","8","9","8","28","253","6","3","2","3","23","12","29.10.12"
"460628","119","Львівська область","народний дім, зала для голосування
вул.Грабовського, 32, с.Новий Став, Кам’янка-Бузький р-н, Львівська обл., 80435","570","185","554","22","363","22","385","","0","363","22","385","19","366","20","12","25","4","31","209","12","4","5","4","31","9","29.10.12"
"460629","119","Львівська область","народний дім, зала для голосування
вул.Космонавтів, 10Б, с.Честині, Кам’янка-Бузький р-н, Львівська обл., 80440","294","66","288","36","193","35","228","","0","193","35","228","10","218","24","14","15","1","18","126","5","0","2","1","8","4","28.10.12"
"460630","119","Львівська область","школа, зала для голосування
пл.Центральна, 8, с.Великосілки, Кам’янка-Бузький р-н, Львівська обл., 80453","1086","341","1076","69","679","66","745","","0","679","66","745","26","719","41","34","27","9","39","481","7","4","4","3","51","19","28.10.12"
