"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гурський
Володимир
Сергійович","Загородний
Василь
Іванович","Канівець
Олег
Леонідович","Канівець
Сергій
Миколайович","Кіт
Андрій
Богданович","Михайлишин
Петро
Степанович","Муряш
Андрій
Богданович","Осташ
Ігор
Іванович","Рябошапко
Василь
Іванович","Семенюк
Анна
Богданівна","Сидоренко
Олександр
Нестерович","Тенюх
Ігор
Йосифович","Дата підписання протоколу"
"460327","126","Львівська область","школа, актовий зал
вул.Центральна, 51, с.Грусятичі, Жидачівський р-н, Львівська обл., 81717","642","161","648","59","424","57","481","","0","424","57","481","8","473","1","1","184","17","244","1","0","5","1","7","1","11","29.10.12"
"460328","126","Львівська область","школа, актовий зал
вул.Просвіти, 53, с.Рудківці, Жидачівський р-н, Львівська обл., 81722","336","81","335","29","227","28","255","","0","227","28","255","2","253","0","5","46","5","183","2","0","6","0","1","4","1","29.10.12"
"460329","126","Львівська область","навчально-виховний комплекс, актовий зал
вул.Ходорівська, 50А, с.Піддністряни, Жидачівський р-н, Львівська обл., 81722","570","137","575","35","399","34","433","","0","399","34","433","6","427","2","1","190","19","159","1","1","36","0","2","0","16","29.10.12"
"460330","126","Львівська область","навчально-виховний комплекс, кабінет математики
вул.Ходорівська, 54А, с.Кам’яне, Жидачівський р-н, Львівська обл., 81723","438","77","448","23","338","23","361","","0","338","23","361","4","357","1","0","217","20","95","1","0","0","0","10","2","11","29.10.12"
"460331","126","Львівська область","школа, кл.1-4
вул.Шкільна, 42, с.Городищенське, Жидачівський р-н, Львівська обл., 81724","354","105","352","19","234","15","249","","0","234","15","249","2","247","0","2","64","8","158","0","1","3","1","1","0","9","30.10.12"
"460332","126","Львівська область","школа, спортзал
пл.Свободи, 8, с.Отиневичі, Жидачівський р-н, Львівська обл., 81724","558","195","552","38","325","38","363","","0","325","38","363","5","358","1","0","164","11","154","3","0","8","0","0","1","16","29.10.12"
"460333","126","Львівська область","школа, актовий зал
вул.Центральна, 4, с.Дуліби, Жидачівський р-н, Львівська обл., 81725","816","261","816","50","508","47","555","","0","508","47","555","18","537","0","0","156","19","353","1","0","3","0","2","0","3","29.10.12"
"460334","126","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Шевченка, 8, с.Дем’янка-Лісна, Жидачівський р-н, Львівська обл., 81730","366","105","365","6","255","6","261","","0","255","6","261","10","251","1","6","99","11","92","8","2","10","0","0","0","22","29.10.12"
"460335","126","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Львівська, 44, с.Дем’янка-Наддністрянська, Жидачівський р-н, Львівська обл., 81730","162","33","158","2","127","2","129","","0","127","2","129","2","127","0","5","61","8","37","1","1","7","1","3","0","3","29.10.12"
"460336","126","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Січових Стрільців, 11, с.Заріччя, Жидачівський р-н, Львівська обл., 81730","528","151","520","8","369","8","377","","0","369","8","377","6","371","1","4","191","16","105","9","2","14","1","1","0","27","29.10.12"
"460337","126","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Шевченка, 8, с.Межиріччя, Жидачівський р-н, Львівська обл., 81730","492","144","495","20","328","20","348","","0","328","20","348","6","342","4","8","195","15","79","5","1","12","1","9","0","13","29.10.12"
"460338","126","Львівська область","школа, к.1
вул.Перемоги, 18, с.Городище, Жидачівський р-н, Львівська обл., 81726","336","82","340","19","237","17","254","","0","237","17","254","4","250","1","4","125","14","100","0","0","1","0","0","0","5","29.10.12"
"460339","126","Львівська область","Адмінбудинок сільської ради, кімната урочистих подій
вул.Січових Стрільців, 14, с.Жирова, Жидачівський р-н, Львівська обл., 81726","948","314","947","30","605","29","634","","0","0","0","634","14","620","0","2","206","15","322","3","0","22","1","5","1","43","30.10.12"
"460340","126","Львівська область","школа, кабінет трудового навчання
вул.Л.Українки, 23, с.Заліски, Жидачівський р-н, Львівська обл., 81726","432","113","442","24","295","24","319","","0","295","24","319","5","314","1","2","122","9","163","2","0","6","0","2","1","6","29.10.12"
"460341","126","Львівська область","Народний дім, актовий зал
вул.Центральна, 23, с.Бородчиці, Жидачівський р-н, Львівська обл., 81726","156","35","153","8","113","8","121","","0","113","8","121","6","115","2","0","59","6","45","0","0","0","0","1","1","1","29.10.12"
"460342","126","Львівська область","Народний дім, актовий зал
вул.Грушевського, 46, м.Ходорів, Жидачівський р-н, Львівська обл., 81750","1548","623","1553","37","893","32","925","","0","893","32","925","12","913","2","8","262","27","558","5","1","12","1","4","1","32","29.10.12"
"460343","126","Львівська область","школа №1, актовий зал
вул.Шевченка, 30, м.Ходорів, Жидачівський р-н, Львівська обл., 81750","1734","691","1711","31","1014","29","1043","","0","1014","29","1043","19","1024","1","7","196","22","710","7","1","13","0","5","8","54","30.10.12"
"460344","126","Львівська область","Технічний коледж, кабінет спецдисциплін
вул.Грушевського, 3, м.Ходорів, Жидачівський р-н, Львівська обл., 81750","1542","581","1528","36","927","34","961","","0","927","34","961","11","950","2","6","205","31","645","7","0","5","0","4","2","43","28.10.12"
"460345","126","Львівська область","Народний дім, актовий зал
вул.Грушевського, 29, м.Ходорів, Жидачівський р-н, Львівська обл., 81750","1680","601","1653","38","1043","36","1079","","0","1043","36","1079","22","1057","0","7","260","31","673","12","0","16","1","2","2","53","29.10.12"
"460346","126","Львівська область","школа №3, актовий зал
вул.Грушевського, 4, м.Ходорів, Жидачівський р-н, Львівська обл., 81750","1596","660","1597","12","925","11","936","","0","925","11","936","8","928","1","4","240","30","613","3","2","7","0","2","6","20","29.10.12"
"460347","126","Львівська область","школа, кл.1-3
вул.Грушевського, 2, с.Садки, Жидачівський р-н, Львівська обл., 81751","216","90","212","4","122","4","126","","0","122","4","126","1","125","1","2","52","8","54","1","1","3","1","0","0","2","29.10.12"
"460348","126","Львівська область","школа, спортзал
вул.Б.Хмельницького, 17, с.Вовчатичі, Жидачівський р-н, Львівська обл., 81761","810","251","809","16","543","16","559","","0","543","16","559","17","542","1","14","97","13","356","2","0","4","2","1","3","49","29.10.12"
"460349","126","Львівська область","школа, кл.5-9
вул.І.Франка, 9, с.Сугрів, Жидачівський р-н, Львівська обл., 81762","342","121","336","9","212","9","221","","0","212","9","221","10","211","0","13","59","12","123","0","0","1","0","0","0","3","29.10.12"
"460350","126","Львівська область","школа, спортзал
вул.Шкільна, 2, с.Вербиця, Жидачівський р-н, Львівська обл., 81760","294","70","291","8","216","8","224","","0","216","8","224","2","222","0","5","99","12","103","0","0","0","1","1","0","1","29.10.12"
"460351","126","Львівська область","Народний дім, актовий зал
вул.Партицького, 19, с.Тейсарів, Жидачівський р-н, Львівська обл., 81736","606","98","600","27","482","26","508","","0","482","26","508","7","501","0","12","334","22","55","2","19","1","0","2","1","53","29.10.12"
"460352","126","Львівська область","Народний дім, актовий зал
вул.Шевченка, 63А, с.Пчани, Жидачівський р-н, Львівська обл., 81734","540","114","543","32","394","32","426","","0","394","32","426","9","417","1","10","228","33","62","5","0","14","0","4","0","60","29.10.12"
"460353","126","Львівська область","Народний дім, актовий зал
вул.Шашкевича, 13, с.Вільхівці, Жидачівський р-н, Львівська обл., 81733","336","56","341","21","259","21","280","","0","259","21","280","7","273","0","3","192","13","39","4","0","2","0","2","0","18","29.10.12"
"460354","126","Львівська область","школа, спортзал
вул.Шевченка, 93А, с.Волиця-Гніздичівська, Жидачівський р-н, Львівська обл., 81733","306","76","305","7","224","6","230","","0","224","6","230","8","222","0","9","97","20","58","4","0","3","0","1","0","30","29.10.12"
"460355","126","Львівська область","школа, кл.1-3
вул.Шкільна, 1, с.Туради, Жидачівський р-н, Львівська обл., 81733","420","103","420","17","302","15","317","","0","302","15","317","12","305","1","4","193","17","46","4","1","1","0","2","0","36","29.10.12"
"460356","126","Львівська область","Народний дім, актовий зал
вул.Шевченка, 7А, с.Іванівці, Жидачівський р-н, Львівська обл., 81733","330","84","331","7","239","7","246","","0","239","7","246","3","243","1","9","114","18","49","5","0","22","0","1","0","24","28.10.12"
"460357","126","Львівська область","будинок культури ""Папірник"", фойє
вул.Шевченка, 1, м.Жидачів, Жидачівський р-н, Львівська обл., 81700","1626","585","1615","22","1020","21","1041","","0","1020","21","1041","21","1020","3","19","385","34","298","75","3","33","1","12","16","141","29.10.12"
"460358","126","Львівська область","Жидачівська ДЮСШ, спортзал
вул.Грушевського, 69, м.Жидачів, Жидачівський р-н, Львівська обл., 81700","1524","521","1513","32","974","29","1003","","0","974","29","1003","16","987","1","8","336","25","369","60","0","44","3","8","4","129","29.10.12"
"460359","126","Львівська область","школа №2, фойє
вул.Грушевського, 38, м.Жидачів, Жидачівський р-н, Львівська обл., 81700","1794","628","1793","19","1152","14","1166","","0","1152","14","1166","23","1143","4","18","516","31","334","76","0","39","2","14","12","97","29.10.12"
"460360","126","Львівська область","навчально-виховний комплекс, актовий зал
вул.Шкільна, 8, м.Жидачів, Жидачівський р-н, Львівська обл., 81700","1536","557","1526","36","947","32","979","","0","947","32","979","27","952","5","22","432","49","241","46","0","30","0","7","18","102","29.10.12"
"460361","126","Львівська область","гімназія ім.О.Партицького, актовий зал
вул.І.Франка, 7, м.Жидачів, Жидачівський р-н, Львівська обл., 81700","1734","587","1728","22","1127","20","1147","","0","1127","20","1147","19","1128","3","13","490","36","351","50","2","24","0","16","13","130","29.10.12"
"460362","126","Львівська область","навчально-виховний комплекс, фойє
вул.Центральна, 2, с.Загірочко, Жидачівський р-н, Львівська обл., 81754","636","189","645","33","415","32","447","","0","415","32","447","5","442","1","2","148","18","251","0","1","1","1","2","0","17","29.10.12"
"460363","126","Львівська область","школа, к.2
вул.Грушевського, 7, с.Добрівляни, Жидачівський р-н, Львівська обл., 81752","330","71","331","26","233","26","259","","0","233","26","259","5","254","1","1","106","12","117","0","0","0","0","2","0","15","29.10.12"
"460364","126","Львівська область","адмінбудинок колгоспу, актовий зал
вул.Грушевського, 3, смт Гніздичів, Жидачівський р-н, Львівська обл., 81740","1296","443","1276","67","787","66","853","","0","787","66","853","16","837","1","13","379","26","313","7","1","12","1","15","3","66","29.10.12"
"460365","126","Львівська область","Народний дім, актовий зал
вул.Грушевського, 198, смт Гніздичів, Жидачівський р-н, Львівська обл., 81740","1992","518","1977","93","1387","87","1474","","0","1387","87","1474","30","1444","2","11","470","59","657","18","0","21","4","12","1","189","29.10.12"
"460366","126","Львівська область","школа, актовий зал
вул.І.Франка, 96, с.Покрівці, Жидачівський р-н, Львівська обл., 81742","480","128","480","18","334","18","352","","0","334","18","352","9","343","0","1","168","23","110","2","2","10","1","2","3","21","29.10.12"
"460367","126","Львівська область","школа, актовий зал
вул.Л.Українки, 74А, с.Рогізно, Жидачівський р-н, Львівська обл., 81745","492","83","495","28","381","28","409","","0","381","28","409","15","394","0","10","203","28","130","5","1","5","0","0","0","12","29.10.12"
"460368","126","Львівська область","житловий будинок, к.1
вул.Зелена, 1, с.Загурщина, Жидачівський р-н, Львівська обл., 81745","90","27","84","2","61","2","63","","0","61","2","63","0","63","1","1","34","4","15","0","0","1","0","0","0","7","28.10.12"
"460369","126","Львівська область","школа, актовий зал
вул.Дорошенка, 21А, с.Бережниця, Жидачівський р-н, Львівська обл., 81743","864","283","858","18","564","17","581","","0","564","17","581","15","566","5","1","212","40","230","4","1","6","1","6","3","57","29.10.12"
"460370","126","Львівська область","школа, кл.1
вул.Лісна, 37А, с.Журавків, Жидачівський р-н, Львівська обл., 81743","270","54","272","12","204","12","216","","0","204","12","216","7","209","0","1","88","18","85","2","0","4","0","0","1","10","30.10.12"
"460371","126","Львівська область","школа, спортзал
вул.Миру, 93А, с.Заболотівці, Жидачівський р-н, Львівська обл., 81744","546","132","544","31","383","31","414","","0","383","31","414","9","405","0","2","260","30","69","4","0","6","0","5","0","29","29.10.12"
"460372","126","Львівська область","школа, кл.1-3
вул.Шевченка, 55, с.Демидів, Жидачівський р-н, Львівська обл., 81763","234","79","225","27","132","23","155","","0","132","23","155","4","151","0","5","47","3","88","0","0","1","0","0","2","5","28.10.12"
"460373","126","Львівська область","школа, кл.1-3
вул.Надбережна, 27, с.Молотів, Жидачівський р-н, Львівська обл., 81763","96","35","96","6","55","6","61","","0","55","6","61","0","61","0","5","24","1","28","0","1","0","0","0","0","2","29.10.12"
"460374","126","Львівська область","Народний дім, актовий зал
вул.Л.Українки, 48, с.Буковина, Жидачівський р-н, Львівська обл., 81764","348","104","343","29","215","29","244","","0","215","29","244","5","239","0","9","55","10","153","1","2","2","0","1","0","6","29.10.12"
"460375","126","Львівська область","школа, їдальня
вул.І.Франка, 51, с.Бортники, Жидачівський р-н, Львівська обл., 81763","774","259","769","20","496","19","515","","0","496","19","515","7","508","1","10","181","23","266","2","0","6","0","5","1","13","29.10.12"
"460376","126","Львівська область","Народний дім, актовий зал
вул.Миру, 30, с.Підліски, Жидачівський р-н, Львівська обл., 81765","108","36","109","11","63","9","72","","0","63","9","72","4","68","0","1","9","3","55","0","0","0","0","0","0","0","29.10.12"
"460377","126","Львівська область","школа, кабінет фізики
вул.Шевченка, 11, с.Молодинче, Жидачівський р-н, Львівська обл., 81765","222","54","223","14","158","10","168","","0","158","10","168","5","163","1","4","81","9","62","1","0","0","1","1","1","2","29.10.12"
"460378","126","Львівська область","Народний дім, актовий зал
вул.Грушевського, 31, с.Черемхів, Жидачівський р-н, Львівська обл., 81765","156","30","159","19","107","19","126","","0","107","19","126","1","125","0","6","68","3","22","0","0","2","0","0","0","24","29.10.12"
"460379","126","Львівська область","Народний дім, актовий зал
вул.С.Бандери, 3, с.Новосільці, Жидачівський р-н, Львівська обл., 81765","306","92","300","30","186","28","214","","0","186","28","214","1","213","0","5","89","16","86","1","0","1","0","2","0","13","29.10.12"
"460380","126","Львівська область","Народний дім, актовий зал
вул.Центральна, 27, с.Руда, Жидачівський р-н, Львівська обл., 81770","498","112","501","25","361","25","386","","0","361","25","386","6","380","0","4","192","27","106","3","0","6","1","2","2","37","29.10.12"
"460381","126","Львівська область","школа, к.1
вул.І.Франка, 44, с.Ганнівці, Жидачівський р-н, Львівська обл., 81770","204","37","204","13","155","12","167","","0","155","12","167","2","165","0","0","69","9","78","0","0","4","0","0","1","4","29.10.12"
"460382","126","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Шевченка, 84, с.Лівчиці, Жидачівський р-н, Львівська обл., 81771","762","175","755","33","555","32","587","","0","555","32","587","14","573","0","9","289","40","183","9","0","9","1","3","0","30","30.10.12"
"460383","126","Львівська область","школа, актовий зал
вул.І.Франка, 36, с.Млиниська, Жидачівський р-н, Львівська обл., 81772","522","142","518","36","345","35","380","","0","345","35","380","9","371","1","2","131","8","208","1","0","5","1","1","2","11","29.10.12"
"460384","126","Львівська область","школа, кл.5-9
вул.Л.Українки, 122, с.Голешів, Жидачівський р-н, Львівська обл., 81772","300","95","301","32","174","31","205","","0","174","31","205","3","202","0","7","99","16","55","1","1","13","0","1","0","9","29.10.12"
"460385","126","Львівська область","адмінбудинок сільської ради, зал урочистий подій
вул.І.Франка, 42, с.Млиниська, Жидачівський р-н, Львівська обл., 81772","270","66","272","16","190","14","204","","0","190","14","204","3","201","0","7","91","6","75","7","0","0","0","0","0","15","29.10.12"
"460386","126","Львівська область","магазин, торговий зал
вул.В.Чорновола, 4, с.Корнелівка, Жидачівський р-н, Львівська обл., 81774","66","11","65","6","49","6","55","","0","49","6","55","3","52","0","2","35","3","7","0","0","0","0","0","0","5","29.10.12"
"460387","126","Львівська область","Народний дім, актовий зал
вул.Шевченка, 58, с.Нове Село, Жидачівський р-н, Львівська обл., 81774","282","74","280","28","180","28","208","","0","180","28","208","2","206","0","10","105","14","37","1","0","2","0","2","1","34","29.10.12"
"460388","126","Львівська область","Народний дім, актовий зал
вул.Стрийська, 25, с.Облазниця, Жидачівський р-н, Львівська обл., 81773","192","50","187","25","120","22","142","","0","120","22","142","2","140","0","0","74","5","34","0","0","3","0","2","1","21","29.10.12"
"460389","126","Львівська область","фельдшерсько-акушерський пункт, к.1
вул.Стрийська, 24, с.Жирівське, Жидачівський р-н, Львівська обл., 81775","288","77","293","24","188","23","211","","0","188","23","211","2","209","0","18","93","7","53","1","0","2","0","1","0","34","29.10.12"
"460390","126","Львівська область","Народний дім, актовий зал
вул.І.Франка, 33, с.Махлинець, Жидачівський р-н, Львівська обл., 81774","66","17","66","4","45","4","49","","0","45","4","49","0","49","0","15","20","6","4","2","0","0","0","0","0","2","29.10.12"
"460391","126","Львівська область","школа, к.1
вул.Жовтнева, 42, с.Любша, Жидачівський р-н, Львівська обл., 81775","396","143","393","29","226","27","253","","0","226","27","253","6","247","0","12","131","7","75","2","0","4","0","3","0","13","29.10.12"
"460392","126","Львівська область","навчально-виховний комплекс, к.1
вул.І.Франка, 75, с.Антонівка, Жидачівський р-н, Львівська обл., 81776","360","99","367","24","237","24","261","","0","237","24","261","6","255","1","1","143","15","82","1","0","2","0","2","0","8","29.10.12"
"460393","126","Львівська область","адмінбудинок сільської ради, кабінет голови
вул.Жовтнева, 1, с.Любша, Жидачівський р-н, Львівська обл., 81775","288","74","293","23","191","23","214","","0","191","23","214","3","211","0","3","127","11","43","0","0","2","0","1","0","24","29.10.12"
"460394","126","Львівська область","Народний дім, актовий зал
пл.Бандери, 23, смт Журавно, Жидачівський р-н, Львівська обл., 81780","1440","551","1419","69","823","66","889","","0","823","66","889","18","871","3","8","405","33","219","2","0","5","0","12","2","182","29.10.12"
"460395","126","Львівська область","Журавнівський НВК ""СЗШ-ліцей"", фойє
вул.Валова, 13, смт Журавно, Жидачівський р-н, Львівська обл., 81780","1320","527","1301","36","760","33","793","","0","760","33","793","14","779","4","13","316","42","183","7","1","13","1","3","2","194","29.10.12"
"460396","126","Львівська область","Новошинський НВК ""ЗОНЗ-ДНЗ"", актовий зал
вул.Шевченка, 45, с.Новошини, Жидачівський р-н, Львівська обл., 81782","342","88","341","23","231","23","254","","0","231","23","254","2","252","1","3","109","23","91","12","1","3","0","3","0","6","29.10.12"
"460397","126","Львівська область","Народний дім, актовий зал
вул.Л.Українки, 1, с.Маринка, Жидачівський р-н, Львівська обл., 81783","78","25","78","6","47","6","53","","0","47","6","53","0","53","0","6","22","0","14","0","0","1","0","0","0","10","29.10.12"
"460398","126","Львівська область","школа, актовий зал
вул.Шкільна, 15, с.Володимирці, Жидачівський р-н, Львівська обл., 81783","612","200","606","32","383","29","412","","0","383","29","412","4","408","1","5","131","10","60","0","0","4","0","1","0","196","29.10.12"
"460399","126","Львівська область","школа, актовий зал
вул.Головатого, 1, с.Подорожнє, Жидачівський р-н, Львівська обл., 81784","378","118","375","33","228","32","260","","0","228","32","260","3","257","0","24","79","12","86","0","1","3","0","0","0","52","29.10.12"
"460400","126","Львівська область","Народний дім, актовий зал
вул.Зелена, 29, с.Крехів, Жидачівський р-н, Львівська обл., 81790","126","26","124","23","81","19","100","","0","81","19","100","1","99","0","3","48","4","36","0","0","0","0","0","0","8","29.10.12"
"460401","126","Львівська область","Народний дім, актовий зал
вул.Шевченка, 5, с.Сидорівка, Жидачівський р-н, Львівська обл., 81790","186","53","181","15","118","15","133","","0","118","15","133","3","130","0","7","50","6","53","0","0","1","0","0","0","13","29.10.12"
"460402","126","Львівська область","школа, спортзал
вул.Шевченка, 31, с.Сулятичі, Жидачівський р-н, Львівська обл., 81791","390","103","387","43","246","41","287","","0","246","41","287","4","283","2","2","133","16","96","0","2","2","0","0","1","29","29.10.12"
"460403","126","Львівська область","школа, актовий зал
вул.Смердова, 15, с.Мельнич, Жидачівський р-н, Львівська обл., 81785","330","103","326","18","210","17","227","","0","210","17","227","4","223","0","2","106","12","53","1","1","7","0","3","1","37","29.10.12"
"460404","126","Львівська область","магазин, торговий зал
вул.Шкільна, 13А, с.Лютинка, Жидачівський р-н, Львівська обл., 81785","156","41","160","5","110","5","115","","0","110","5","115","1","114","0","5","51","5","38","1","0","0","0","1","0","13","29.10.12"
"460405","126","Львівська область","школа, к.2
вул.Л.Українки, 4, с.Буянів, Жидачівський р-н, Львівська обл., 81792","246","52","246","20","174","20","194","","0","174","20","194","1","193","0","2","109","7","60","1","0","1","0","1","0","12","29.10.12"
"460406","126","Львівська область","школа, к.1
вул.Б.Хмельницького, 10, с.Старе Село, Жидачівський р-н, Львівська обл., 81794","426","114","425","36","278","34","312","","0","278","34","312","2","310","1","9","150","16","82","0","0","3","2","1","1","45","29.10.12"
"460407","126","Львівська область","школа, фойє
вул.Центральна, 1, с.Монастирець, Жидачівський р-н, Львівська обл., 81792","696","204","687","52","446","46","492","","0","446","46","492","7","485","0","2","215","22","165","14","1","2","0","4","2","58","30.10.12"
"460408","126","Львівська область","школа, к.1
вул.Зелена, 1, с.Которини, Жидачівський р-н, Львівська обл., 81792","192","69","200","20","104","19","123","","0","104","19","123","0","123","0","6","80","10","21","0","0","1","0","0","0","5","29.10.12"
"460409","126","Львівська область","школа, к.1
вул.Садова, 40, с.Протеси, Жидачівський р-н, Львівська обл., 81793","414","144","416","43","227","43","270","","0","227","43","270","5","265","1","0","190","22","39","2","0","2","0","2","1","6","29.10.12"
"460410","126","Львівська область","Народний дім, актовий зал
вул.Першотравнева, 27, с.Зарічне, Жидачівський р-н, Львівська обл., 81795","480","138","483","34","310","32","342","","0","310","32","342","11","331","0","4","127","19","126","0","0","2","0","11","0","42","29.10.12"
"460411","126","Львівська область","Народний дім, актовий зал
вул.Підгірна, 8, с.Демівка, Жидачівський р-н, Львівська обл., 81796","36","12","33","12","15","9","24","","0","15","9","24","0","24","0","0","16","3","5","0","0","0","0","0","0","0","29.10.12"
"460412","126","Львівська область","фельдшерсько-акушерський пункт, кімната прийому хворих
вул.Довга, 8, с.Корчівка, Жидачівський р-н, Львівська обл., 81796","180","48","180","20","113","19","132","","0","113","19","132","1","131","0","6","97","6","17","0","0","0","0","3","0","2","29.10.12"
"460413","126","Львівська область","школа, спортзал
вул.Й.Ключика, 17, с.Лисків, Жидачівський р-н, Львівська обл., 81796","480","164","475","51","268","48","316","","0","268","48","316","4","312","1","6","146","11","25","0","0","0","0","117","0","6","29.10.12"
"460414","126","Львівська область","Народний дім, актовий зал
вул.В.Чорновола, 24, с.Дубравка, Жидачівський р-н, Львівська обл., 81798","246","80","243","21","150","16","166","","0","150","16","166","4","162","1","10","57","6","33","0","0","2","0","4","0","49","29.10.12"
"460415","126","Львівська область","Народний дім, актовий зал
вул.Центральна, 9А, с.Тернавка, Жидачівський р-н, Львівська обл., 81798","132","39","130","18","75","18","93","","0","75","18","93","1","92","0","3","46","3","34","1","0","1","0","1","0","3","29.10.12"
"460416","126","Львівська область","Народний дім, актовий зал
вул.Центральна, 97А, с.Чертіж, Жидачівський р-н, Львівська обл., 81798","384","92","391","39","253","39","292","","0","253","39","292","8","284","0","8","148","20","93","2","0","2","0","3","0","8","29.10.12"
"460417","126","Львівська область","Жидачівська ЦРЛ, конференц-зал
вул.Я.Мудрого, 29, м.Жидачів, Жидачівський р-н, Львівська обл., 81700","186","169","22","18","4","13","17","","0","4","13","17","0","17","0","0","6","1","8","0","1","0","0","0","0","1","29.10.12"
"460418","126","Львівська область","Ходорівська районна лікарня, актовий зал
вул.Б.Хмельницького, 63, м.Ходорів, Жидачівський р-н, Львівська обл., 81750","168","141","36","12","17","10","27","","0","17","10","27","0","27","0","1","12","2","11","1","0","0","0","0","0","0","29.10.12"
"461436","126","Львівська область","будинок культури, актовий зал, к.2
вул.Шевченка, 7, смт Дашава, Стрийський р-н, Львівська обл., 82443","1812","552","1797","48","1212","48","1260","","0","1212","48","1260","12","1248","4","48","527","49","223","3","0","63","3","11","2","315","29.10.12"
"461437","126","Львівська область","приватний житловий будинок, к.2
вул.Стрийська, 13, с.Гайдучина, Стрийський р-н, Львівська обл., 82443","198","41","197","5","152","5","157","","0","152","5","157","3","154","0","12","101","5","13","0","0","2","0","0","0","21","29.10.12"
"461438","126","Львівська область","будинок культури, актовий зал, к.2
вул.І.Франка, 65, с.Олексичі, Стрийський р-н, Львівська обл., 82442","480","115","479","21","344","21","365","","0","344","21","365","4","361","0","14","179","19","82","2","0","14","0","2","1","48","29.10.12"
"461439","126","Львівська область","будинок культури, актовий зал, к.2
пл.Незалежності, 4, с.Братківці, Стрийський р-н, Львівська обл., 82465","1080","258","1062","42","780","42","822","","0","780","42","822","13","809","1","5","215","35","279","2","0","22","1","3","2","244","29.10.12"
"461440","126","Львівська область","будинок культури, актовий зал, к.2
вул.Незалежності, 28, с.Вівня, Стрийський р-н, Львівська обл., 82425","534","128","525","11","395","11","406","","0","395","11","406","9","397","1","1","83","18","111","3","1","12","0","1","1","165","29.10.12"
"461441","126","Львівська область","школа, спортивний зал, к.2
вул.І.Франка, 26, с.Воля-Задеревацька, Стрийський р-н, Львівська обл., 82489","654","96","642","18","540","18","558","","0","540","18","558","14","544","0","4","208","37","107","0","1","17","0","1","0","169","29.10.12"
"461442","126","Львівська область","будинок культури, актовий зал, к.2
вул.Л.Українки, 10, с.Задеревач, Стрийський р-н, Львівська обл., 82487","438","78","438","18","342","18","360","","0","342","18","360","6","354","1","2","194","23","60","2","0","2","0","0","0","70","29.10.12"
"461443","126","Львівська область","будинок культури, актовий зал, к.2
вул.Шевченка, 227, с.Гірне, Стрийський р-н, Львівська обл., 82468","1326","275","1315","51","1002","49","1051","","0","1002","49","1051","15","1036","3","5","277","31","136","3","2","31","0","5","2","541","29.10.12"
"461444","126","Львівська область","будинок культури, актовий зал, к.2
вул.Зарічна, 2А, с.Голобутів, Стрийський р-н, Львівська обл., 82432","732","169","725","59","506","57","563","","0","506","57","563","10","553","1","11","238","29","64","1","0","16","0","5","0","188","29.10.12"
"461445","126","Львівська область","будинок культури, актовий зал, к.2
вул.Лопатинського, 119Б, с.Грабовець, Стрийський р-н, Львівська обл., 82435","834","184","820","42","610","40","650","","0","610","40","650","9","641","0","1","307","29","64","3","0","43","1","2","1","190","29.10.12"
"461446","126","Львівська область","будинок культури, актовий зал, к.2
вул.Гошівська, 73, с.Великі Дідушичі, Стрийський р-н, Львівська обл., 82484","1344","309","1326","41","994","41","1035","","0","994","41","1035","13","1022","1","14","708","31","55","0","0","14","1","1","2","195","29.10.12"
"461447","126","Львівська область","будинок культури, актовий зал, к.2
вул.Шевченка, 96, с.Малі Дідушичі, Стрийський р-н, Львівська обл., 82485","612","148","603","40","425","39","464","","0","425","39","464","5","459","1","0","365","31","19","0","1","2","0","0","1","39","29.10.12"
"461448","126","Львівська область","будинок культури, актовий зал, к.2
вул.Осипенка, 2, с.Угільня, Стрийський р-н, Львівська обл., 82484","318","42","313","12","264","12","276","","0","264","12","276","1","275","0","3","203","9","11","1","0","3","0","1","1","43","29.10.12"
"461449","126","Львівська область","будинок культури, актовий зал, к.2
вул.Довга, 99, с.Добрівляни, Стрийський р-н, Львівська обл., 82426","738","255","731","27","459","24","483","","0","459","24","483","6","477","1","9","134","12","75","1","1","23","0","0","3","218","29.10.12"
"461450","126","Львівська область","будинок культури, актовий зал, к.2
вул.Шевченка, 32, с.Добряни, Стрийський р-н, Львівська обл., 82427","1458","310","1454","16","1133","15","1148","","0","1133","15","1148","15","1133","5","6","203","26","188","3","0","59","0","2","0","641","29.10.12"
