"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аксьонова
Надія
Вікторівна","Андрєєва
Яна
Сергіївна","Белов
Дмитро
Юрійович","Гордієнко
Сергій
Володимирович","Горенкін
Валерій
Анатолійович","Золотарьов
Павло
Олександрович","Калюбін
Юрій
Олексійович","Кіскін
Степан
Степанович","Куценко
Сергій
Володимирович","Лось
Анатолій
Миколайович","Миримський
Лев
Юлійович","Міхайлутіна
Ніна
Петрівна","Новіков
Віталій
Сергійович","Петров
Анатолій
Іванович","Пруденко
Юрій
Валентинович","Сидорова
Абіба
Іскандарівна","Спірідонов
Олександр
Юрійович","Судраб
Андрій
Володимирович","Щербакова
Ангеліна
Миколаївна","Януцик
Олексій
Юрійович","Дата підписання протоколу"
"010633","2","Автономна Республіка Крим","психіатрична лікарня №5, фойє
вул.Лікувальна, 1А, с.Строгонівка, Сімферопольський р-н, Автономна Республіка Крим, 97534","1368","828","1354","1","539","1","540","","0","539","1","540","55","485","3","1","1","1","0","2","18","35","5","2","221","2","0","0","0","179","4","1","2","8","29.10.12"
"010634","2","Автономна Республіка Крим","магазин, торговельна зала
вул.Польова, 33, с.Строгонівка, Сімферопольський р-н, Автономна Республіка Крим, 97534","972","513","960","7","452","7","459","","0","452","7","459","18","441","9","2","4","2","0","3","16","37","2","3","217","1","4","3","2","126","0","3","2","5","29.10.12"
"010635","2","Автономна Республіка Крим","кафе-бар, обідня зала
вул.Зелена, 45А, с.Іванівка, Сімферопольський р-н, Автономна Республіка Крим, 97534","756","354","746","39","367","35","402","","0","367","35","402","22","380","2","1","2","2","0","5","6","28","1","1","270","6","2","3","3","39","5","0","2","2","28.10.12"
"010636","2","Автономна Республіка Крим","школа, фойє
вул.Шкільна, 14, с.Денисівка, Сімферопольський р-н, Автономна Республіка Крим, 97534","832","462","823","6","366","4","370","","0","366","4","370","24","346","10","0","3","1","3","3","5","76","4","3","160","0","4","5","2","48","6","6","3","4","29.10.12"
"010637","2","Автономна Республіка Крим","гуртожиток, фойє
вул.Річна, 1, с.Дружне, Сімферопольський р-н, Автономна Республіка Крим, 97534","176","80","174","3","93","3","96","","0","93","3","96","6","90","1","0","2","0","0","0","0","5","1","0","68","0","0","1","0","9","1","0","2","0","28.10.12"
"010647","2","Автономна Республіка Крим","протитуберкульозний диспансер, актова зала
вул.Майська, 1А, с.Піонерське, Сімферопольський р-н, Автономна Республіка Крим, 97577","304","225","115","20","66","13","79","","0","66","13","79","7","72","6","2","1","0","4","0","4","14","0","1","30","1","0","0","0","3","2","3","0","1","29.10.12"
"010648","2","Автономна Республіка Крим","психіатрична лікарня №5, актова зала, 4-й поверх
вул.Лікувальна, 1А, с.Строгонівка, Сімферопольський р-н, Автономна Республіка Крим, 97534","232","0","292","13","219","13","232","","0","219","13","232","46","186","12","8","15","8","0","6","17","19","4","9","37","4","3","7","5","12","3","3","5","9","28.10.12"
"011128","2","Автономна Республіка Крим","палац студентів, фойє
вул.Спортивна, 2, смт Аграрне, м.Сімферополь, Автономна Республіка Крим, 95492","1656","840","1699","9","807","9","816","","0","806","9","815","60","755","29","19","14","45","8","5","74","190","32","21","192","7","10","14","5","37","15","2","12","24","29.10.12"
"011129","2","Автономна Республіка Крим","школа №1, актова зала
вул.Спортивна, 1А, смт Аграрне, м.Сімферополь, Автономна Республіка Крим, 95492","988","461","970","2","526","1","527","","0","526","1","527","40","487","21","8","5","33","2","2","31","118","7","16","192","1","2","7","6","11","18","0","2","5","29.10.12"
"011130","2","Автономна Республіка Крим","Українська школа-гімназія, зимовий сад
вул.Київська, 177, м.Сімферополь, Автономна Республіка Крим, 95050","1720","936","1713","19","766","18","784","","0","765","18","783","57","726","17","12","7","8","7","1","43","218","7","11","273","4","1","13","4","33","37","2","19","9","29.10.12"
"011131","2","Автономна Республіка Крим","школа №18, хол
вул.Ростовська, 16, м.Сімферополь, Автономна Республіка Крим, 95050","2328","1175","2315","26","1130","23","1153","","0","1130","23","1153","57","1096","19","12","5","12","8","5","86","381","11","14","407","2","2","9","2","42","45","6","14","14","29.10.12"
"011132","2","Автономна Республіка Крим","гуртожиток заводу ""Фіолент"", їдальня
вул.Смольна, 25, м.Сімферополь, Автономна Республіка Крим, 95050","1656","825","832","13","819","12","831","","0","819","12","831","64","767","22","18","0","13","8","5","40","310","10","22","233","2","1","9","4","25","30","3","5","7","29.10.12"
"011133","2","Автономна Республіка Крим","гуртожиток Сімферопольського коледжу харчових технологій, хол
вул.Камська, 14, м.Сімферополь, Автономна Республіка Крим, 95050","1992","1185","2031","6","803","4","807","","0","0","0","807","67","740","29","13","7","15","10","1","66","172","18","24","245","1","7","18","10","52","31","8","0","13","31.10.12"
"011134","2","Автономна Республіка Крим","школа №20, хол
вул.Кечкеметська, 4А, м.Сімферополь, Автономна Республіка Крим, 95050","2200","1162","2189","11","1028","10","1038","","0","1028","10","1038","72","966","32","26","4","14","8","4","79","326","12","20","283","2","4","8","9","45","56","5","16","13","29.10.12"
"011135","2","Автономна Республіка Крим","гуртожиток №1 Національної академії природоохоронного та курортного будівництва, фойє
вул.Стрілкова, 91, м.Сімферополь, Автономна Республіка Крим, 95050","1212","610","1234","17","588","14","602","","0","588","14","602","35","567","20","5","4","13","5","4","45","171","11","14","192","4","1","5","4","21","26","4","7","11","29.10.12"
"011136","2","Автономна Республіка Крим","Кримський науково-дослідний та проектний інститут землеустрою, фойє
вул.Кечкеметська, 114, м.Сімферополь, Автономна Республіка Крим, 95038","1156","678","1158","14","464","14","478","","0","464","14","478","20","458","15","10","2","5","4","2","30","119","3","11","186","1","1","6","4","17","17","4","6","15","29.10.12"
"011137","2","Автономна Республіка Крим","Кримська республіканська установа ""Юнацька бібліотека"", читальна зала
вул.Кечкеметська, 94А, м.Сімферополь, Автономна Республіка Крим, 95038","2420","1367","2409","23","1034","19","1053","","0","1034","19","1053","72","981","33","19","6","13","3","4","49","303","10","21","377","3","3","7","13","45","43","5","11","13","29.10.12"
"011138","2","Автономна Республіка Крим","Сімферопольська дорожна експлуатаційна дільниця, актова зала
вул.Лазо С., 1, м.Сімферополь, Автономна Республіка Крим, 95038","2172","1169","2171","34","975","28","1003","","0","975","28","1003","56","947","30","20","9","12","4","3","51","326","15","28","312","3","2","9","6","66","28","3","5","15","29.10.12"
"011139","2","Автономна Республіка Крим","школа №23, кімната рекреації
вул.Бела Куна, 13, м.Сімферополь, Автономна Республіка Крим, 95022","2420","1244","2387","17","1166","10","1176","","0","1166","10","1176","68","1108","32","11","8","12","5","4","64","337","11","21","428","3","3","13","9","40","85","4","8","10","29.10.12"
"011140","2","Автономна Республіка Крим","коледж ""Київського Національного економічного університету"", фойє, 1-й поверх
вул.Кечкеметська, 2, м.Сімферополь, Автономна Республіка Крим, 95050","2316","1230","2309","26","1061","25","1086","","0","1061","25","1086","67","1019","37","22","9","14","12","5","71","367","12","17","291","6","3","12","9","50","59","4","10","9","29.10.12"
"011141","2","Автономна Республіка Крим","музична школа №5, каб.1, 2, 3, хол
вул.Ковильна, 82, м.Сімферополь, Автономна Республіка Крим, 95038","1860","1085","1856","6","771","4","775","","0","771","4","775","53","722","22","7","9","11","2","4","47","203","14","17","249","4","2","17","7","25","51","5","8","18","29.10.12"
"011142","2","Автономна Республіка Крим","школа-ліцей імені 10-річчя Незалежності України, актова зала
вул.Бела Куна, 23, м.Сімферополь, Автономна Республіка Крим, 95022","2136","1195","2115","7","934","7","941","","0","933","7","940","52","888","46","11","8","11","4","1","47","293","5","18","288","4","0","8","6","42","53","7","18","18","29.10.12"
"011143","2","Автономна Республіка Крим","школа №33, хол
вул.Бела Куна, 13А, м.Сімферополь, Автономна Республіка Крим, 95022","1656","842","1640","16","799","15","814","","0","799","15","814","56","758","21","11","4","13","3","6","40","199","5","11","310","3","2","9","10","31","46","4","14","16","29.10.12"
