"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беденко
Сергій
Олексійович","Васильєв
Микола
Валерійович","Остапчук
Віктор
Миколайович","Пивовар
Григорій
Вікторович","Ровчак
Андрій
Яковлевич","Рочняк
Сергій
Дмитрович","Фомичевський
Анатолій
Станіславович","Дата підписання протоколу"
"630491","177","Харківська область","сільський клуб, глядацька зала
вул.Трудова, 15А, с.Донецьке, Ізюмський р-н, Харківська обл., 64343","424","179","426","29","222","23","245","","0","222","23","245","15","230","5","1","134","1","67","0","22","28.10.12"
"630492","177","Харківська область","школа, фойє
вул.Перемоги, 8, с.Олександрівка, Ізюмський р-н, Харківська обл., 64321","528","226","525","67","239","63","302","","0","239","63","302","4","298","2","1","182","4","86","3","20","28.10.12"
"630493","177","Харківська область","сільський будинок культури, глядацька зала
вул.Пушкіна, 1, с.Студенок, Ізюмський р-н, Харківська обл., 64360","920","334","909","72","519","67","586","","0","519","67","586","17","569","3","6","351","9","98","19","83","28.10.12"
"630494","177","Харківська область","сільський клуб, глядацька зала
вул.Соціалістична, 2, с.Яремівка, Ізюмський р-н, Харківська обл., 64360","224","95","220","16","117","12","129","","0","117","12","129","7","122","1","1","60","2","36","6","16","29.10.12"
"630495","177","Харківська область","сільський будинок культури, фойє
вул.Радянська, 52Б, с.Червоний Оскіл, Ізюмський р-н, Харківська обл., 64340","2152","1116","1800","130","920","116","1036","","0","920","116","1036","30","1006","3","6","596","7","273","14","107","29.10.12"
"630496","177","Харківська область","навчально-виховний комплекс, спортивна зала
пл.Радянська, 6, с.Чистоводівка, Ізюмський р-н, Харківська обл., 64324","552","226","543","39","289","37","326","","0","289","37","326","7","319","1","0","219","3","78","5","13","28.10.12"
"630497","177","Харківська область","психоневрологічний інтернат, актова зала
вул.Лісна, 1, с.Червоний Оскіл, Ізюмський р-н, Харківська обл., 64340","408","109","338","39","279","20","299","","0","279","20","299","11","288","1","3","275","0","4","2","3","28.10.12"
"630602","177","Харківська область","сільський клуб, глядацька зала
вул.Центральна, 2, с.Просянка, Куп’янський р-н, Харківська обл., 63713","568","246","553","50","273","49","322","","0","273","49","322","12","310","0","4","185","5","73","17","26","28.10.12"
"630603","177","Харківська область","сільський клуб, хол
вул.Центральна, 121, с.Вишнівка, Куп’янський р-н, Харківська обл., 63710","184","79","179","7","98","7","105","","0","98","7","105","5","100","0","0","69","1","15","2","13","28.10.12"
"630604","177","Харківська область","Гусинська школа, кабінет №2
вул.1Травня, 4, с.Гусинка, Куп’янський р-н, Харківська обл., 63710","696","310","680","43","344","42","386","","0","344","42","386","10","376","10","4","253","2","42","8","57","28.10.12"
"630605","177","Харківська область","Моначинівська школа, спортзал
вул.Жердія, 27, с.Моначинівка, Куп’янський р-н, Харківська обл., 63712","576","208","564","37","336","32","368","","0","336","32","368","13","355","4","6","191","8","94","20","32","28.10.12"
"630606","177","Харківська область","Кіндрашівська школа, спортзал
вул.Радянська, 15, с.Кіндрашівка, Куп’янський р-н, Харківська обл., 63720","928","442","921","63","434","52","486","","0","434","52","486","18","468","2","6","210","7","100","73","70","29.10.12"
"630607","177","Харківська область","сільський клуб, глядацька зала
вул.Білгородська, сільський клуб, с.Московка, Куп’янський р-н, Харківська обл., 63721","504","201","493","63","240","63","303","","0","240","63","303","16","287","1","7","178","2","43","10","46","29.10.12"
"630608","177","Харківська область","Смородьківська школа, кабінет історії
вул.Куп’янська, 38, с.Смородьківка, Куп’янський р-н, Харківська обл., 63714","384","120","375","46","220","44","264","","0","220","44","264","7","257","5","0","180","2","27","12","31","28.10.12"
"630609","177","Харківська область","Нечволодівська школа, спортзал
пров.Шкільний, 7, с.Нечволодівка, Куп’янський р-н, Харківська обл., 63724","384","115","369","36","233","36","269","","0","233","36","269","11","258","2","4","185","0","15","3","49","28.10.12"
"630610","177","Харківська область","сільський клуб, хол
вул.Войнаральського, 11, с.Грушівка, Куп’янський р-н, Харківська обл., 63758","984","386","969","60","547","51","598","","0","547","51","598","31","567","8","6","275","5","145","23","105","29.10.12"
"630611","177","Харківська область","сільський клуб, глядацька зала
вул.Весняна, 15, с.Благодатівка, Куп’янський р-н, Харківська обл., 63758","304","133","296","19","153","18","171","","0","153","18","171","5","166","1","2","122","1","13","4","23","28.10.12"
"630612","177","Харківська область","сільський клуб, глядацька зала
вул.Мерзляка, 10, с.Петрівка, Куп’янський р-н, Харківська обл., 63733","608","257","581","38","315","36","351","","0","315","36","351","16","335","3","4","241","2","35","6","44","28.10.12"
"630613","177","Харківська область","Болдирівський ФАП, приймальна кімната
вул.Садова, 4А, с.Болдирівка, Куп’янський р-н, Харківська обл., 63733","152","67","151","10","75","10","85","","0","75","10","85","5","80","0","1","64","3","7","0","5","29.10.12"
"630614","177","Харківська область","будівля ВАТ Московський, хол
вул.Приоскільна, 49/2, с.Петрівка, Куп’янський р-н, Харківська обл., 63733","216","79","212","8","129","8","137","","0","129","8","137","4","133","0","2","81","2","25","8","15","29.10.12"
"630615","177","Харківська область","сільський клуб, глядацька зала
пл.Перемоги, 7, с.Пристін, Куп’янський р-н, Харківська обл., 63750","560","258","543","33","271","31","302","","0","271","31","302","16","286","0","2","154","5","95","9","21","28.10.12"
"630616","177","Харківська область","сільський клуб, глядацька зала
вул.Вишнева, 2, с.Сеньок, Куп’янський р-н, Харківська обл., 63750","96","38","94","11","48","10","58","","0","48","10","58","3","55","0","2","30","0","16","2","5","28.10.12"
"630617","177","Харківська область","сільська рада, актова зала
вул.Дружби, 22, с.Лісна Стінка, Куп’янський р-н, Харківська обл., 63750","376","147","366","19","211","18","229","","0","211","18","229","13","216","0","1","158","2","44","2","9","29.10.12"
"630618","177","Харківська область","сільський клуб, глядацька зала
вул.Травнева, 25, с.Біле, Куп’янський р-н, Харківська обл., 63756","160","57","152","17","86","17","103","","0","86","17","103","4","99","0","2","55","0","33","7","2","29.10.12"
"630619","177","Харківська область","ФАП с.Синиха, хол
вул.Перемоги, 26, с.Синиха, Куп’янський р-н, Харківська обл., 63756","216","83","218","14","121","12","133","","0","121","12","133","5","128","0","0","82","35","0","1","10","28.10.12"
"630620","177","Харківська область","Сеньківська школа, хол
пров.Шкільний, 1, с.Сенькове, Куп’янський р-н, Харківська обл., 63751","856","383","838","41","435","38","473","","0","435","38","473","17","456","4","9","280","10","110","15","28","29.10.12"
"630621","177","Харківська область","Кругляківська школа, спортзал
пров.Садовий, 3, с.Кругляківка, Куп’янський р-н, Харківська обл., 63753","872","381","852","69","424","67","491","","0","424","67","491","7","484","1","2","355","7","63","15","41","29.10.12"
"630622","177","Харківська область","сільський клуб, глядацька зала
вул.Колективна, 36Б, с.Колісниківка, Куп’янський р-н, Харківська обл., 63751","312","97","305","21","194","21","215","","0","194","21","215","5","210","3","3","134","9","35","3","23","28.10.12"
"630623","177","Харківська область","Глушківська школа, хол 1 поверху
вул.Соціалістична, 86, с.Глушківка, Куп’янський р-н, Харківська обл., 63751","776","353","736","39","384","39","423","","0","384","39","423","12","411","6","5","210","14","50","7","119","28.10.12"
"630624","177","Харківська область","сільський клуб, глядацька зала
вул.Лозова, 38А, с.Курилівка, Куп’янський р-н, Харківська обл., 63730","1784","830","1776","107","865","89","954","","0","865","89","954","32","922","12","6","660","7","90","22","125","28.10.12"
"630625","177","Харківська область","будинок культури, глядацька зала
вул.Шкільна, 2, с.Новоосинове, Куп’янський р-н, Харківська обл., 63732","1504","691","1491","48","779","34","813","","0","779","34","813","38","775","3","5","524","10","125","27","81","29.10.12"
"630626","177","Харківська область","Подолянська школа, спортзал
вул.Гагаріна, 1А, с.Подоли, Куп’янський р-н, Харківська обл., 63731","1840","915","1791","114","826","99","925","","0","826","99","925","51","874","8","9","606","11","117","26","97","29.10.12"
"630627","177","Харківська область","колишня їдальня, зал
колишня їдальня, с-ще Піщане, Куп’янський р-н, Харківська обл., 63730","128","44","118","13","71","13","84","","0","71","13","84","2","82","2","1","60","0","7","1","11","28.10.12"
"630628","177","Харківська область","Курилівський ліцей, ідальня
Курилівка 1, Курилівський ліцей, с.Курилівка, Куп’янський р-н, Харківська обл., 63730","880","416","868","9","458","6","464","","0","458","6","464","31","433","3","5","267","9","43","19","87","29.10.12"
"630629","177","Харківська область","Піщанська школа, спортивна зала
вул.Молодіжна, 68А, с.Піщане, Куп’янський р-н, Харківська обл., 63743","344","108","334","28","210","26","236","","0","210","26","236","6","230","6","2","143","2","47","7","23","29.10.12"
"630630","177","Харківська область","фельдшерсько-акушерський пункт с.Берестове, хол
вул.Центральна, фельдшерсько-акушерський пункт, с.Берестове, Куп’янський р-н, Харківська обл., 63743","136","30","130","9","97","9","106","","0","97","9","106","2","104","0","1","78","1","14","3","7","28.10.12"
"630631","177","Харківська область","Кислівська школа, хол 1 поверху
вул.Чуйкова, 7А, с.Кислівка, Куп’янський р-н, Харківська обл., 63742","744","301","730","90","364","79","443","","0","364","79","443","23","420","6","2","312","3","43","4","50","29.10.12"
"630632","177","Харківська область","Ягідненська школа, хол
вул.Шкільна, 10, с.Ягідне, Куп’янський р-н, Харківська обл., 63740","376","174","360","22","181","21","202","","0","181","21","202","4","198","1","2","101","1","57","8","28","28.10.12"
"630633","177","Харківська область","Новотарасівський фельдшерсько-акушерський пункт, хол
вул.Сморшка, 3/2, с.Нова Тарасівка, Куп’янський р-н, Харківська обл., 63740","152","42","142","14","96","14","110","","0","96","14","110","5","105","2","3","36","1","40","4","19","28.10.12"
"630634","177","Харківська область","Орлянський фельдшерсько-акушерський пункт, хол
вул.Молодіжна, 5, с.Орлянка, Куп’янський р-н, Харківська обл., 63740","160","73","152","8","81","6","87","","0","81","6","87","6","81","3","0","59","0","8","4","7","28.10.12"
"630635","177","Харківська область","сільський будинок культури, хол
вул.Червона, 38Б, с.Петропавлівка, Куп’янський р-н, Харківська обл., 63722","1216","506","1199","67","650","60","710","","0","650","60","710","19","691","11","12","431","9","96","18","114","29.10.12"
"630636","177","Харківська область","сільський клуб, глядацька зала
вул.Кірова, 64Б, с.Петропавлівка (Ляхівка), Куп’янський р-н, Харківська обл., 63722","680","301","670","42","342","37","379","","0","342","37","379","13","366","5","5","213","1","60","13","69","28.10.12"
"630637","177","Харківська область","сільський клуб, глядацька зала
вул.Праці, 22А, с.Синьківка, Куп’янський р-н, Харківська обл., 63722","296","133","279","22","143","20","163","","0","143","20","163","5","158","2","2","100","5","23","7","19","29.10.12"
"630638","177","Харківська область","сільський клуб, глядацька зала
вул.Радянська, 58А, с.Кучерівка, Куп’янський р-н, Харківська обл., 63722","512","177","506","44","292","43","335","","0","292","43","335","10","325","3","3","200","2","65","11","41","29.10.12"
"630915","177","Харківська область","ліцей, їдальня
вул.Радянська, 24, смт Шевченкове, Шевченківський р-н, Харківська обл., 63601","1576","724","1551","27","826","26","852","","0","826","26","852","26","826","11","5","408","7","286","33","76","29.10.12"
"630916","177","Харківська область","будинок культури, дискозал
вул.Ширяєва, 8, смт Шевченкове, Шевченківський р-н, Харківська обл., 63601","1544","613","1506","49","888","43","931","","0","888","43","931","23","908","6","7","451","7","303","24","110","29.10.12"
"630917","177","Харківська область","школа, їдальня
пров.Комсомольський, 12, смт Шевченкове, Шевченківський р-н, Харківська обл., 63601","1976","949","1952","86","944","83","1027","","0","944","83","1027","39","988","5","4","572","9","284","22","92","29.10.12"
"630918","177","Харківська область","житлово-комунальне господарство ДРІТ, актовий зал
вул.Ломоносова, 5, смт Шевченкове, Шевченківський р-н, Харківська обл., 63601","1008","535","965","29","445","28","473","","0","445","28","473","21","452","5","7","248","4","134","11","43","28.10.12"
"630919","177","Харківська область","клуб, актовий зал
вул.Леніна, 6, с.Раївка, Шевченківський р-н, Харківська обл., 63601","176","63","179","20","98","15","113","","0","98","15","113","5","108","2","2","51","1","38","0","14","28.10.12"
"630920","177","Харківська область","контора ПСП ""Україна"", фойє
вул.Радянська, 16, с.Троїцьке, Шевченківський р-н, Харківська обл., 63608","232","78","230","12","142","12","154","","0","142","12","154","3","151","0","7","77","1","45","5","16","29.10.12"
"630921","177","Харківська область","клуб, фойє
пров.Східний, 5, с.Первомайське, Шевченківський р-н, Харківська обл., 63601","360","158","353","13","192","10","202","","0","192","10","202","8","194","1","5","96","3","69","8","12","28.10.12"
"630922","177","Харківська область","клуб, актовий зал
вул.Індустріальна, 7, с.Огурцівка, Шевченківський р-н, Харківська обл., 63601","576","275","575","19","283","18","301","","0","283","18","301","16","285","4","2","141","7","87","14","30","29.10.12"
"630923","177","Харківська область","клуб, актовий зал
вул.Польова, 1, с.Верхньозорянське, Шевченківський р-н, Харківська обл., 63601","160","44","154","11","105","11","116","","0","105","11","116","5","111","0","0","76","2","23","1","9","28.10.12"
"630924","177","Харківська область","школа, фойє
вул.Миру, 35, с.Аркадівка, Шевченківський р-н, Харківська обл., 63612","448","195","444","48","205","48","253","","0","205","48","253","8","245","3","3","181","7","39","2","10","31.10.12"
"630925","177","Харківська область","сільська рада, актовий зал
вул.Центральна, 12, с.Безмятежне, Шевченківський р-н, Харківська обл., 63652","672","313","656","35","330","29","359","","0","330","29","359","22","337","6","4","187","5","67","7","61","29.10.12"
"630926","177","Харківська область","клуб, читальний зал
вул.Садова, 24, с.Миропілля, Шевченківський р-н, Харківська обл., 63652","216","50","215","27","139","27","166","","0","139","27","166","4","162","1","0","106","1","29","2","23","29.10.12"
"630927","177","Харківська область","школа, фойє
вул.Величка, 4А, с.Березівка, Шевченківський р-н, Харківська обл., 63662","280","99","274","23","161","20","181","","0","161","20","181","6","175","1","3","108","0","54","3","6","29.10.12"
"630928","177","Харківська область","школа, фойє
вул.40 років Перемоги, 27, с-ще Борівське, Шевченківський р-н, Харківська обл., 63661","672","261","653","26","386","25","411","","0","386","25","411","2","409","2","1","106","1","267","8","24","29.10.12"
"630929","177","Харківська область","школа, актовий зал
вул.Верхня, 6, с.Василенкове, Шевченківський р-н, Харківська обл., 63620","536","211","524","54","274","51","325","","0","274","51","325","10","315","2","7","186","7","66","14","33","29.10.12"
"630930","177","Харківська область","сільська рада, зал засідань
вул.40-річчя Перемоги, 83, с.Великі Хутори, Шевченківський р-н, Харківська обл., 63611","552","208","540","43","303","41","344","","0","303","41","344","10","334","0","9","227","2","54","3","39","28.10.12"
"630931","177","Харківська область","школа, спортзал
вул.Семененко, 9, с.Волоська Балаклія, Шевченківський р-н, Харківська обл., 63660","584","242","567","54","289","53","342","","0","289","53","342","7","335","4","2","149","1","144","9","26","29.10.12"
"630932","177","Харківська область","школа, їдальня
вул.Шкільна, 27, с.Гетьманівка, Шевченківський р-н, Харківська обл., 63621","776","381","758","59","338","57","395","","0","338","57","395","19","376","5","4","251","7","68","12","29","28.10.12"
"630933","177","Харківська область","школа, спортзал
вул.Шкільна, 1Б, с.Нижній Бурлук, Шевченківський р-н, Харківська обл., 63610","288","120","284","21","149","19","168","","0","149","19","168","4","164","0","4","113","0","35","3","9","28.10.12"
