"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Біловол
Олександр
Миколайович","Дмитрієв
Анатолій
Анатолійович","Логінов
Віталій
Вікторович","Нагорний
Олексій
Павлович","Пелехатий
Олександр
Олексійович","Салюк
Іван
Лукич","Дата підписання протоколу"
"630210","180","Харківська область","сільська рада, зала засідань
вул.1 Травня, 5, с.Сидоренкове, Валківський р-н, Харківська обл., 63050","808","395","794","52","372","41","413","","0","372","41","413","18","395","175","140","34","11","29","6","29.10.12"
"630211","180","Харківська область","будинок культури, танцювальна зала
вул.Миру, 25, с.Сніжків, Валківський р-н, Харківська обл., 63042","1288","511","1280","94","691","86","777","","0","691","86","777","69","708","343","169","80","24","80","12","29.10.12"
"630212","180","Харківська область","сільський клуб, актова зала
вул.Радянська, 68А, с.Черемушна, Валківський р-н, Харківська обл., 63033","600","253","596","58","297","50","347","","0","297","50","347","18","329","191","62","28","9","34","5","29.10.12"
"630213","180","Харківська область","сільська рада, зала урочистих подій
вул.Колгоспна, 8, с.Шлях, Валківський р-н, Харківська обл., 63030","1536","737","1522","83","722","77","799","","0","722","77","799","52","747","375","195","54","25","80","18","29.10.12"
"630214","180","Харківська область","лікарня, зала засідань
пров.Майський, 34, м.Валки, Валківський р-н, Харківська обл., 63002","72","17","67","21","38","17","55","","0","38","17","55","5","50","26","14","2","3","3","2","29.10.12"
"630443","180","Харківська область","школа №3, спортивна зала
вул.1-го Травня, 53, смт Золочів, Золочівський р-н, Харківська обл., 62203","1904","1024","1907","61","837","43","880","","0","837","43","880","51","829","409","183","77","19","136","5","29.10.12"
"630444","180","Харківська область","Будинок культури, фойє
вул.Правди, 1, смт Золочів, Золочівський р-н, Харківська обл., 62203","1472","682","1471","64","728","62","790","","0","728","62","790","40","750","363","158","108","8","106","7","29.10.12"
"630445","180","Харківська область","гімназія №1, вестибюль
вул.Комсомольська, 25, смт Золочів, Золочівський р-н, Харківська обл., 62203","1704","893","1700","55","766","45","811","","0","766","45","811","43","768","425","151","78","15","85","14","29.10.12"
"630446","180","Харківська область","школа №2, спортивна зала
вул.Парижських Комунарів, 63, смт Золочів, Золочівський р-н, Харківська обл., 62203","2200","1076","2183","64","1066","58","1124","","0","1066","58","1124","36","1088","483","233","177","28","156","11","29.10.12"
"630447","180","Харківська область","Литвинівська школа, каб.2
вул.Н.Крупської, 6, с.Литвинове, Золочівський р-н, Харківська обл., 62203","1368","701","1378","87","589","78","667","","0","589","78","667","31","636","440","97","38","6","47","8","29.10.12"
"630448","180","Харківська область","контора ""Сінтал Агро Трейд"", актовий зал
вул.Піонерська, 40, смт Золочів, Золочівський р-н, Харківська обл., 62203","1008","508","1024","82","422","78","500","","0","422","78","500","26","474","228","85","71","13","69","8","29.10.12"
"630449","180","Харківська область","Цапівська школа, спортивна зала
вул.1-го Травня, 58, с.Цапівка, Золочівський р-н, Харківська обл., 62203","280","139","279","41","102","39","141","","0","102","39","141","4","137","43","26","25","5","35","3","29.10.12"
"630450","180","Харківська область","Сковородинівський сільський клуб, зал
вул.Приозерна, 1, с.Сковородинівка, Золочівський р-н, Харківська обл., 62241","384","130","381","29","227","27","254","","0","227","27","254","8","246","143","52","29","15","5","2","29.10.12"
"630451","180","Харківська область","Великорогозянська сільська рада, актова зала
вул.Центральна, 63, с.Велика Рогозянка, Золочівський р-н, Харківська обл., 62240","304","118","303","37","152","34","186","","0","152","34","186","10","176","90","42","21","5","17","1","29.10.12"
"630452","180","Харківська область","Гуринівський сільський клуб, зал
вул.Центральна, 7, с.Гуринівка, Золочівський р-н, Харківська обл., 62242","232","101","235","21","115","16","131","","0","115","16","131","3","128","65","20","15","6","21","1","29.10.12"
"630453","180","Харківська область","Гур’єво-Козачанська школа, фойє
вул.Шкільна, 35, с.Гур’їв Козачок, Золочівський р-н, Харківська обл., 62212","328","141","318","44","147","40","187","","0","147","40","187","10","177","98","29","26","2","19","3","29.10.12"
"630454","180","Харківська область","Баранівська школа, фойє
вул.Центральна, 34, с.Баранівка, Золочівський р-н, Харківська обл., 62213","184","69","181","31","88","27","115","","0","88","27","115","8","107","57","12","7","2","25","4","29.10.12"
"630455","180","Харківська область","Довжанський будинок культури, фойє
вул.Леніна, 89, с.Довжик, Золочівський р-н, Харківська обл., 62250","1120","534","1092","61","534","52","586","","0","534","52","586","32","554","313","113","55","11","55","7","29.10.12"
"630456","180","Харківська область","Довжицька сільська рада, кабінет сільського голови
майдан 3-х Комунарів, 8, с.Довжик, Золочівський р-н, Харківська обл., 62250","568","262","557","45","269","37","306","","0","269","37","306","15","291","185","32","29","9","31","5","29.10.12"
"630457","180","Харківська область","Чорноглазівський сільський клуб, фойє
вул.Шкільна, 1, с.Чорноглазівка, Золочівський р-н, Харківська обл., 62203","224","133","223","26","72","19","91","","0","72","19","91","10","81","33","20","13","3","11","1","29.10.12"
"630458","180","Харківська область","Жовтнева школа, спортивна зала
майдан Жовтневий, 2, с-ще Жовтневе, Золочівський р-н, Харківська обл., 62251","584","316","578","22","250","18","268","","0","250","18","268","20","248","135","39","39","5","21","9","29.10.12"
"630459","180","Харківська область","Лютівська школа, 2-й поверх, фойє
вул.Клубна, 6В, с.Лютівка, Золочівський р-н, Харківська обл., 62230","464","174","463","60","237","53","290","","0","237","53","290","10","280","206","25","25","7","14","3","29.10.12"
"630460","180","Харківська область","Малорогозянський сільський клуб, зал
пров.Артема, 12, с.Мала Рогозянка, Золочівський р-н, Харківська обл., 62243","856","509","850","53","301","46","347","","0","301","46","347","14","333","199","45","44","12","23","10","29.10.12"
"630461","180","Харківська область","Івашківська школа, спортивна зала
вул.Шкільна, 29, с.Івашки, Золочівський р-н, Харківська обл., 62211","968","484","951","55","433","51","484","","0","433","51","484","34","450","303","49","46","12","30","10","29.10.12"
"630462","180","Харківська область","Одноробівська школа, їдальня
вул.Молодіжна, 18, с.Одноробівка, Золочівський р-н, Харківська обл., 62210","831","309","833","33","491","31","522","","0","491","31","522","18","504","395","32","31","11","31","4","29.10.12"
"630463","180","Харківська область","Петрівський сільський клуб, актова зала
вул.Центральна, 41, с.Петрівка, Золочівський р-н, Харківська обл., 62216","408","173","402","41","196","39","235","","0","196","39","235","9","226","184","18","9","4","10","1","29.10.12"
"630464","180","Харківська область","Олександрівський клуб, фойє
вул.Набережна, 3, с.Олександрівка, Золочівського р-н, Харківська обл., 62214","1464","700","1465","84","690","74","764","","0","690","74","764","26","738","523","63","41","8","95","8","29.10.12"
"630465","180","Харківська область","Писарівська сільська рада, актова зала
вул.Радянська, 5, с.Писарівка, Золочівський р-н, Харківська обл., 62232","808","352","811","165","310","146","456","","0","310","146","456","26","430","259","73","54","17","24","3","29.10.12"
"630466","180","Харківська область","Ряснянський сільський клуб, зал
вул.Ілліча, 1, с.Рясне, Золочівський р-н, Харківська обл., 62233","456","225","446","42","193","38","231","","0","193","38","231","15","216","118","18","54","2","22","2","29.10.12"
"630467","180","Харківська область","Леміщанський сільський клуб, зал
вул.8-го Березня, 1А, с.Леміщине, Золочівський р-н, Харківська обл., 62233","104","30","103","23","54","20","74","","0","54","20","74","3","71","56","8","2","0","5","0","29.10.12"
"630468","180","Харківська область","Світличанський сільський клуб, зал
вул.Центральна, 48, с.Світличне, Золочівський р-н, Харківська обл., 62221","272","113","274","9","154","5","159","","0","154","5","159","4","155","121","17","6","0","10","1","29.10.12"
"630469","180","Харківська область","Макарівська школа, коридор
вул.Шкільна, 7, с.Макарове, Золочівський р-н, Харківська обл., 62222","344","138","358","24","182","24","206","","0","182","24","206","6","200","163","16","10","3","6","2","29.10.12"
"630470","180","Харківська область","Удянська сільська рада, зал
вул.Угловського, 15, с.Уди, Золочівський р-н, Харківська обл., 62220","976","468","973","79","435","73","508","","0","435","73","508","34","474","358","23","44","11","35","3","29.10.12"
"630471","180","Харківська область","Феськівська школа, фойє
вул.Центральна, 17, с-ще Пролетар, Золочівський р-н, Харківська обл., 62252","1328","680","1326","104","550","98","648","","0","550","98","648","27","621","518","54","32","2","14","1","29.10.12"
"630472","180","Харківська область","Феськівська бібліотека, каб.2
вул.Берестки, 5А, с.Феськи, Золочівський р-н, Харківська обл., 62252","1080","483","1071","77","533","64","597","","0","533","64","597","21","576","459","40","29","7","35","6","29.10.12"
"630520","180","Харківська область","будинок культури, актова зала
вул.Леніна, 10, смт Коломак, Коломацький р-н, Харківська обл., 63100","1152","578","1115","68","517","57","574","","0","516","57","573","8","565","243","231","11","21","54","5","30.10.12"
"630521","180","Харківська область","сільський клуб, актова зала
вул.Першотравнева, 85, смт Коломак, Коломацький р-н, Харківська обл., 63100","880","371","844","55","461","48","509","","0","461","48","509","18","491","203","229","12","8","37","2","28.10.12"
"630522","180","Харківська область","магазин-кафе ФОП ""Греков"", головна зала
вул.Перемоги, 104, смт Коломак, Коломацький р-н, Харківська обл., 63100","1040","505","1022","69","477","58","535","","0","477","58","535","34","501","243","195","11","13","29","10","29.10.12"
"630523","180","Харківська область","школа, фойє
пров.Молодіжний, 1, с.Покровка, Коломацький р-н, Харківська обл., 63130","304","102","311","35","169","33","202","","0","169","33","202","9","193","138","18","22","1","13","1","29.10.12"
"630524","180","Харківська область","навчально-виховний комплекс, вестибюль
вул.Шкільна, 4, с.Різуненкове, Коломацький р-н, Харківська обл., 63110","712","372","697","50","294","46","340","","0","294","46","340","18","322","127","134","31","8","15","7","29.10.12"
"630525","180","Харківська область","магазин, головна зала
вул.Центральна, 8, с.Мірошниківка, Коломацький р-н, Харківська обл., 63111","184","59","181","60","65","60","125","","0","65","60","125","0","125","68","31","11","3","11","1","29.10.12"
"630526","180","Харківська область","навчально-виховний комплекс, вестибюль
вул.Лермонтова, 1, с.Шелестове, Коломацький р-н, Харківська обл., 63131","1568","813","1556","114","674","81","755","","0","674","81","755","35","720","449","172","17","17","54","11","29.10.12"
"630527","180","Харківська область","будинок культури, головна зала
вул.Олексія Чабана, 5, с.Шляхове, Коломацький р-н, Харківська обл., 63120","152","52","146","20","81","19","100","","0","81","19","100","6","94","48","25","3","0","17","1","29.10.12"
"630528","180","Харківська область","контора, к.3
вул.Слави, 25, с.Кисівка, Коломацький р-н, Харківська обл., 63121","296","100","295","47","152","44","196","","0","152","44","196","13","183","72","60","9","5","35","2","29.10.12"
"630529","180","Харківська область","Центральна районна лікарня, каб.7
вул.Леніна, 9, смт Коломак, Коломацький р-н, Харківська обл., 63100","40","19","22","1","20","1","21","","0","20","1","21","0","21","17","2","0","0","2","0","28.10.12"
"630572","180","Харківська область","будинок культури, фойє
пров.Театральний, 12, смт Краснокутськ, Краснокутський р-н, Харківська обл., 62002","2160","1153","2107","47","967","40","1007","","0","967","40","1007","41","966","539","171","92","47","92","25","29.10.12"
"630573","180","Харківська область","гімназія, фойє
вул.Заклепенка, 8, смт Краснокутськ, Краснокутський р-н, Харківська обл., 62002","1464","733","1428","19","712","19","731","","0","712","19","731","21","710","430","113","65","24","53","25","29.10.12"
"630574","180","Харківська область","гімназія, фойє
вул.Леніна, 154А, смт Краснокутськ, Краснокутський р-н, Харківська обл., 62002","960","527","942","34","402","31","433","","0","402","31","433","16","417","249","72","35","12","42","7","29.10.12"
"630575","180","Харківська область","школа №2, спортивна зала
вул.Куйбишева, 111/3, смт Краснокутськ, Краснокутський р-н, Харківська обл., 62002","1664","866","1619","45","753","45","798","","0","753","45","798","25","773","448","143","62","27","74","19","29.10.12"
"630576","180","Харківська область","аграрний ліцей, спортивна зала
вул.Петровського, 40, с.Чернещина, Краснокутський р-н, Харківська обл., 62008","968","551","939","19","399","18","417","","0","399","18","417","15","402","217","101","23","15","33","13","28.10.12"
"630577","180","Харківська область","сільський клуб, глядацька зала
вул.Бабаченка, 27, с.Степанівка, Краснокутський р-н, Харківська обл., 62009","192","61","194","24","109","22","131","","0","109","22","131","4","127","95","17","6","0","7","2","29.10.12"
"630578","180","Харківська область","селищна рада, фойє
вул.Леніна, 91, смт Костянтинівка, Краснокутський р-н, Харківська обл., 62042","1488","750","1460","79","670","68","738","","0","670","68","738","31","707","447","177","24","31","19","9","29.10.12"
"630579","180","Харківська область","школа, спортивна зала
вул.Леніна, 9, с.В’язова, Краснокутський р-н, Харківська обл., 62040","544","140","530","58","353","51","404","","0","353","51","404","9","395","269","65","21","4","25","11","29.10.12"
"630580","180","Харківська область","сільська рада, зала засідань
вул.Леніна, 18, с.Каплунівка, Краснокутський р-н, Харківська обл., 62010","528","193","518","44","298","37","335","","0","298","37","335","23","312","188","62","20","18","19","5","29.10.12"
"630581","180","Харківська область","будинок культури, глядацька зала
вул.Леніна, 7, с.Качалівка, Краснокутський р-н, Харківська обл., 62025","920","431","920","61","434","55","489","","0","434","55","489","23","466","247","140","26","16","29","8","29.10.12"
"630582","180","Харківська область","сільська рада, зала засідань
вул.Хальзова, 18, с.Китченківка, Краснокутський р-н, Харківська обл., 62043","400","109","393","41","252","39","291","","0","252","39","291","10","281","216","42","11","1","8","3","29.10.12"
"630583","180","Харківська область","будинок культури, глядацька зала
вул.Леніна, 54, с.Козіївка, Краснокутський р-н, Харківська обл., 62011","632","265","619","39","337","30","367","","0","337","30","367","9","358","262","49","15","5","23","4","29.10.12"
"630584","180","Харківська область","сільська рада, фойє
вул.Леніна, 91, с.Козіївка, Краснокутський р-н, Харківська обл., 62011","808","319","802","70","423","66","489","","0","423","66","489","19","470","324","74","15","29","24","4","29.10.12"
"630585","180","Харківська область","сільський клуб, фойє
вул.Горького, 70А, с.Козіївка, Краснокутський р-н, Харківська обл., 62011","336","162","334","26","153","21","174","","0","153","21","174","6","168","87","59","10","2","8","2","29.10.12"
"630586","180","Харківська область","будинок культури, глядацька зала
вул.Центральна, 3, с.Городнє, Краснокутський р-н, Харківська обл., 62012","712","286","689","27","399","27","426","","0","399","27","426","27","399","244","95","18","8","27","7","29.10.12"
"630587","180","Харківська область","СВК ""Колонтаївський"", актова зала
вул.Леніна, 109, с.Колонтаїв, Краснокутський р-н, Харківська обл., 62030","776","392","753","28","361","23","384","","0","361","23","384","12","372","245","78","15","7","23","4","29.10.12"
"630588","180","Харківська область","сільська рада, зала засідань
вул.Кірова, 118А, с.Любівка, Краснокутський р-н, Харківська обл., 62032","680","296","658","45","345","39","384","","0","345","39","384","1","383","306","57","7","5","5","3","29.10.12"
"630589","180","Харківська область","сільська рада, зала засідань
вул.Леніна, 41, с.Мурафа, Краснокутський р-н, Харківська обл., 62020","1032","552","1023","74","437","43","480","","0","437","43","480","6","474","401","52","4","5","12","0","29.10.12"
"630590","180","Харківська область","сільський клуб, глядацька зала
вул.Театральна, 1, с.Мурафа, Краснокутський р-н, Харківська обл., 62021","1040","574","1029","47","419","47","466","","0","419","47","466","10","456","346","59","12","15","21","3","29.10.12"
"630591","180","Харківська область","сільський клуб, глядацька зала
вул.Чапаєва, 77, с.Мирне, Краснокутський р-н, Харківська обл., 62024","352","179","355","22","151","22","173","","0","151","22","173","3","170","111","36","7","5","10","1","29.10.12"
"630592","180","Харківська область","сільський клуб, глядацька зала
вул.Центральна, 6, с.Сорокове, Краснокутський р-н, Харківська обл., 62023","264","133","250","12","119","12","131","","0","119","12","131","3","128","85","28","3","2","10","0","28.10.12"
"630593","180","Харківська область","сільська рада, фойє
вул.Шкільна, 1, с.Олексіївка, Краснокутський р-н, Харківська обл., 62051","592","207","576","41","344","41","385","","0","344","41","385","10","375","289","54","17","1","12","2","29.10.12"
"630594","180","Харківська область","сільський клуб, глядацька зала
вул.Перемоги, 4, с.Дублянка, Краснокутський р-н, Харківська обл., 62052","632","225","632","38","369","38","407","","0","369","38","407","16","391","236","96","18","14","21","6","29.10.12"
"630595","180","Харківська область","школа, спортивна зала
вул.Шкільна, 2, с.Червоний Прапор, Краснокутський р-н, Харківська обл., 62052","208","54","203","20","134","20","154","","0","134","20","154","6","148","104","30","2","1","11","0","29.10.12"
"630596","180","Харківська область","школа, спортивна зала
вул.Московська, 117А, с-ще Водяне, Краснокутський р-н, Харківська обл., 62053","448","177","445","24","247","24","271","","0","247","24","271","12","259","166","42","17","4","27","3","29.10.12"
"630597","180","Харківська область","школа, спортивна зала
вул.Леніна, 12, с.Пархомівка, Краснокутський р-н, Харківська обл., 62013","1424","867","1396","47","520","37","557","","0","520","37","557","38","519","315","134","16","10","31","13","29.10.12"
"630598","180","Харківська область","сільська рада, кімната засідань
вул.Радянська, 1, с.Пархомівка, Краснокутський р-н, Харківська обл., 62013","1544","891","1516","49","613","40","653","","0","613","40","653","39","614","360","192","10","12","29","11","29.10.12"
"630599","180","Харківська область","сільська рада, зала засідань
вул.Крупської, 4, с.Рябоконеве, Краснокутський р-н, Харківська обл., 62033","424","157","426","14","253","14","267","","0","253","14","267","10","257","163","46","16","5","22","5","29.10.12"
"630600","180","Харківська область","школа, спортивна зала
вул.Шкільна, 18, с.Слобідка, Краснокутський р-н, Харківська обл., 62035","296","98","283","35","167","31","198","","0","167","31","198","5","193","140","27","12","4","5","5","29.10.12"
