"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алєксєєва
Ірина
Володимирівна","Блажевич
Олександр
Петрович","Блажевич
Сергій
Петрович","Бобов
Геннадій
Борисович","Величенко
Микола
Максимович","Кекух
Віталій
Володимирович","Лішавський
Володимир
Гаврилович","Ляшенко
Юрій
Васильович","Маштепа
Олександр
Петрович","Педченко
Сергій
Іванович","Плосконос
Олексій
Олександрович","Пономаренко
Інна
Віталіївна","Сінгаєвський
Олександр
Миколайович","Яременко
Алла
Миколаївна","Дата підписання протоколу"
"710001","196","Черкаська область","школа №2, спортзал
вул.Миру, 60, м.Городище, Городищенський р-н, Черкаська обл., 19500","1648","651","1630","36","973","24","997","","0","973","24","997","40","957","10","1","41","284","9","31","4","29","218","29","1","9","287","4","29.10.12"
"710002","196","Черкаська область","управління агропромислового розвитку, актовий зал
вул.Миру, 118, м.Городище, Городищенський р-н, Черкаська обл., 19500","1428","599","1426","19","814","15","829","","0","814","15","829","36","793","8","3","6","174","2","36","8","25","147","38","1","3","337","5","29.10.12"
"710003","196","Черкаська область","ПТУ №14, актовий зал
вул.Індустріальна, 5, м.Городище, Городищенський р-н, Черкаська обл., 19500","1472","633","1461","32","811","28","839","","0","811","28","839","53","786","12","6","23","204","11","27","3","34","104","30","2","5","323","2","29.10.12"
"710004","196","Черкаська область","школа №1, коридор
вул.Фізкультурна, 39, м.Городище, Городищенський р-н, Черкаська обл., 19500","1456","595","1451","32","829","32","861","","0","829","32","861","19","842","9","1","16","328","4","10","0","27","86","13","4","5","330","9","29.10.12"
"710005","196","Черкаська область","будинок культури №1, фойє
вул.Гулака-Артемовського, 90, м.Городище, Городищенський р-н, Черкаська обл., 19500","868","317","873","21","530","21","551","","0","530","21","551","13","538","4","0","0","272","2","8","1","11","44","13","0","2","181","0","29.10.12"
"710006","196","Черкаська область","офіс ПП ""Клімов"", зал засідань
вул.Миру, 65, м.Городище, Городищенський р-н, Черкаська обл., 19500","780","317","787","26","442","21","463","","0","442","21","463","18","445","6","3","6","131","6","15","1","12","78","11","0","4","167","5","28.10.12"
"710007","196","Черкаська область","аграрний коледж, коридор
вул.1 Травня, 40, м.Городище, Городищенський р-н, Черкаська обл., 19500","1628","734","1615","43","857","37","894","","0","857","37","894","40","854","14","7","11","224","9","31","0","36","198","28","3","1","286","6","29.10.12"
"710008","196","Черкаська область","школа №3, хол
вул.Желябова, 3, м.Городище, Городищенський р-н, Черкаська обл., 19500","1664","709","1648","71","905","50","955","","0","905","50","955","22","933","10","4","18","198","13","15","3","53","217","52","3","7","332","8","29.10.12"
"710009","196","Черкаська область","Будинок культури, глядацький зал
вул.Фрунзе, 2, м.Городище, Городищенський р-н, Черкаська обл., 19500","252","66","252","15","171","15","186","","0","171","15","186","5","181","2","1","23","58","3","0","0","7","29","14","0","0","43","1","28.10.12"
"710010","196","Черкаська область","Будинок культури, глядацький зал
вул.Шкільна, 43, м.Городище, Городищенський р-н, Черкаська обл., 19500","140","27","143","11","102","11","113","","0","102","11","113","4","109","0","0","1","48","2","2","1","9","30","3","1","2","8","2","29.10.12"
"710011","196","Черкаська область","Вільшанська ЗОШ I-II ступенів, спортзал
вул.Шевченка, 196, смт Вільшана, Городищенський р-н, Черкаська обл., 19523","1624","661","1611","52","913","50","963","","0","913","50","963","43","920","3","2","12","521","5","4","3","87","31","9","1","9","226","7","28.10.12"
"710012","196","Черкаська область","школа, каб.2
вул.Шевченка, 11, смт Вільшана, Городищенський р-н, Черкаська обл., 19523","912","372","903","33","509","31","540","","0","509","31","540","14","526","2","2","8","291","5","1","2","67","23","9","3","5","107","1","29.10.12"
"710013","196","Черкаська область","Будинок культури, фойє
вул.Привокзальна, 22, смт Цвіткове, Городищенський р-н, Черкаська обл., 19537","904","368","895","46","491","45","536","","0","491","45","536","30","506","12","3","8","267","10","0","4","53","27","16","2","5","90","9","29.10.12"
"710014","196","Черкаська область","НВК, каб.2
вул.Погрібного, 74, с.Будо-Орловецька, Городищенський р-н, Черкаська обл., 19537","308","91","303","39","184","33","217","","0","184","33","217","9","208","4","2","9","131","1","1","0","8","20","11","3","0","16","2","28.10.12"
"710015","196","Черкаська область","Будинок культури, фойє
вул.Леніна, 15, с.Валява, Городищенський р-н, Черкаська обл., 19520","1416","595","1404","42","785","36","821","","0","785","36","821","36","785","16","5","12","233","10","7","4","39","97","27","2","11","314","8","29.10.12"
"710016","196","Черкаська область","Будинок культури, фойє
вул.Іриніна, 39, с.Валява, Городищенський р-н, Черкаська обл., 19520","512","230","514","28","255","27","282","","0","255","27","282","10","272","7","2","0","113","1","4","0","8","15","13","3","0","103","3","29.10.12"
"710017","196","Черкаська область","школа, каб.2
вул.Леніна, 45, с.Вербівка, Городищенський р-н, Черкаська обл., 19531","1312","377","1323","96","842","93","935","","0","842","93","935","17","918","3","1","6","667","6","5","3","5","53","8","1","1","157","2","29.10.12"
"710018","196","Черкаська область","Будинок культури, фойє
вул.Перемоги, 12, с.Воронівка, Городищенський р-н, Черкаська обл., 19532","800","247","790","105","448","105","553","","0","448","105","553","14","539","4","5","4","337","5","4","0","30","19","14","1","2","110","4","28.10.12"
"710019","196","Черкаська область","філія ПрАТ ""Райз Максимко"", каб.2
вул.Петровського, 4, с.В’язівок, Городищенський р-н, Черкаська обл., 19534","1000","363","1000","130","509","128","637","","0","509","128","637","33","604","7","3","8","279","14","7","8","43","58","23","1","5","142","6","29.10.12"
"710020","196","Черкаська область","школа, каб.2
вул.Леніна, 45, с.В’язівок, Городищенський р-н, Черкаська обл., 19534","564","188","564","43","336","40","376","","0","336","40","376","13","363","6","2","2","189","4","4","2","20","31","5","1","2","91","4","28.10.12"
"710021","196","Черкаська область","Будинок культури №2, фойє
вул.Кірова, 129, с.В’язівок, Городищенський р-н, Черкаська обл., 19534","440","149","437","55","238","53","291","","0","238","53","291","7","284","2","0","1","179","3","1","0","10","14","8","1","2","60","3","28.10.12"
"710022","196","Черкаська область","Будинок культури, фойє
вул.Устима Жука, 73, с.Дирдин, Городищенський р-н, Черкаська обл., 19509","980","423","970","34","524","33","557","","0","524","33","557","23","534","4","4","6","160","3","5","1","42","46","19","1","4","233","6","29.10.12"
"710023","196","Черкаська область","Будинок культури, фойє
вул.Леніна, 22, с.Журавка, Городищенський р-н, Черкаська обл., 19521","468","91","463","49","333","44","377","","0","333","44","377","8","369","2","4","3","246","2","0","1","8","9","4","1","1","87","1","28.10.12"
"710024","196","Черкаська область","Будинок культури, фойє
вул.Шевченка, 32, с.Зелена Діброва, Городищенський р-н, Черкаська обл., 19526","432","114","432","19","300","18","318","","0","300","18","318","1","317","2","2","4","157","15","1","4","101","3","4","0","0","24","0","29.10.12"
"710025","196","Черкаська область","Будинок культури, фойє
вул.Леніна, 1, с.Калинівка, Городищенський р-н, Черкаська обл., 19517","492","112","488","53","327","53","380","","0","327","53","380","11","369","1","0","5","294","1","0","1","10","21","2","2","4","27","1","28.10.12"
"710026","196","Черкаська область","Ксаверівський НВК, каб.2
вул.Центральна, 57/1, с.Ксаверове, Городищенський р-н, Черкаська обл., 19516","316","109","309","16","193","14","207","","0","193","14","207","4","203","1","0","1","121","2","2","1","5","16","8","0","0","43","3","28.10.12"
"710027","196","Черкаська область","школа, каб.2
вул.Симиренка, 15, с.Мліїв, Городищенський р-н, Черкаська обл., 19512","868","376","864","28","466","26","492","","0","466","26","492","23","469","11","2","8","148","16","3","2","15","81","19","2","1","157","4","29.10.12"
"710028","196","Черкаська область","школа, каб.2
вул.Данила Кушніра, 71, с.Мліїв, Городищенський р-н, Черкаська обл., 19511","1156","552","1151","72","550","54","604","","0","550","54","604","19","585","13","0","9","226","8","10","2","35","55","35","3","7","180","2","29.10.12"
"710029","196","Черкаська область","гуртожиток, фойє
вул.Свердлова, 12, с.Мліїв, Городищенський р-н, Черкаська обл., 19511","1076","528","1065","50","498","50","548","","0","498","50","548","15","533","9","9","10","190","2","3","6","30","65","32","2","1","163","11","28.10.12"
"710030","196","Черкаська область","Будинок культури, фойє
вул.Мічуріна, 1, с.Орловець, Городищенський р-н, Черкаська обл., 19515","1440","627","1418","119","712","101","813","","0","712","101","813","26","787","12","2","8","399","7","7","2","14","51","45","2","8","227","3","29.10.12"
"710031","196","Черкаська область","будинок культури, фойє
вул.Жовтнева, 4, с.Петрики, Городищенський р-н, Черкаська обл., 19522","476","62","470","101","314","100","414","","0","314","100","414","5","409","1","2","1","314","2","1","1","14","10","4","0","0","57","2","29.10.12"
"710032","196","Черкаська область","навчально-виховний комплекс, каб.2
пл.70-річчя Жовтня, 30, с.Петропавлівка, Городищенський р-н, Черкаська обл., 19530","864","330","863","42","502","32","534","","0","502","32","534","11","523","10","0","2","205","3","9","0","21","113","5","5","0","146","4","29.10.12"
"710033","196","Черкаська область","Будинок культури, фойє
вул.Леніна, 10, с.Старосілля, Городищенський р-н, Черкаська обл., 19510","1560","586","1544","120","857","117","974","","0","857","117","974","36","938","13","2","8","427","11","15","6","42","209","26","4","7","161","7","29.10.12"
"710034","196","Черкаська область","Будинок культури, фойє
вул.Молодіжна, 6, с.Товста, Городищенський р-н, Черкаська обл., 19525","576","154","570","63","359","63","422","","0","359","63","422","9","413","0","3","1","291","6","0","0","29","11","4","0","5","63","0","29.10.12"
"710035","196","Черкаська область","Будинок культури, фойє
вул.Леніна, 2, с.Хлистунівка, Городищенський р-н, Черкаська обл., 19533","1840","826","1835","71","954","60","1014","","0","954","60","1014","56","958","22","2","22","320","22","18","9","44","132","23","6","8","310","20","29.10.12"
"710263","196","Черкаська область","будинок культури, обрядова зала, 1-й поверх
вул.Центральна, 3, с.Беркозівка, Канівський р-н, Черкаська обл., 19042","360","110","357","46","212","38","250","","0","212","38","250","10","240","1","3","7","157","1","1","0","3","22","2","0","2","41","0","28.10.12"
"710266","196","Черкаська область","школа, фойє, 1-й поверх
вул.Чупилки, 1, с.Горобіївка, Канівський р-н, Черкаська обл., 19050","332","107","324","74","157","68","225","","0","157","68","225","4","221","2","1","3","152","2","0","1","7","13","13","0","1","24","2","29.10.12"
"710274","196","Черкаська область","будинок культури, фойє, 1-й поверх
вул.Центральна, 15, с.Копіювата, Канівський р-н, Черкаська обл., 19040","228","64","228","23","141","23","164","","0","141","23","164","3","161","8","2","1","86","0","0","0","22","16","5","0","3","16","2","28.10.12"
"710280","196","Черкаська область","сільська рада, зал урочистих подій, 1-й поверх
вул.206 Дивізії, 1, с.Мартинівка, Канівський р-н, Черкаська обл., 19041","964","374","950","51","545","45","590","","0","545","45","590","18","572","2","5","9","240","8","2","3","16","63","13","0","6","205","0","29.10.12"
"710281","196","Черкаська область","сільський клуб, фойє, 1-й поверх
вул.Дружби, 1, с.Дарівка, Канівський р-н, Черкаська обл., 19041","144","31","151","13","101","12","113","","0","101","12","113","8","105","2","0","5","71","1","0","0","5","3","1","0","1","16","0","28.10.12"
"710282","196","Черкаська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 2, с.Межиріч, Канівський р-н, Черкаська обл., 19035","640","195","641","43","402","43","445","","0","402","43","445","10","435","4","2","3","232","5","0","1","9","33","43","0","1","101","1","28.10.12"
"710283","196","Черкаська область","школа, хол, 1-й поверх
вул.Жовтнева, 5, с.Лука, Канівський р-н, Черкаська обл., 19035","264","65","263","30","170","29","199","","0","170","29","199","6","193","1","0","2","133","2","1","1","5","11","8","1","2","26","0","28.10.12"
"710284","196","Черкаська область","сільський клуб, фойє, 1-й поверх
вул.Колгоспна, 24, с.Бабичі, Канівський р-н, Черкаська обл., 19035","96","15","95","11","71","10","81","","0","71","10","81","2","79","0","0","1","51","0","1","0","1","4","5","0","0","15","1","28.10.12"
"710285","196","Черкаська область","будинок культури, фойє, 1-й поверх
вул.Федоренка, 42, с.Мельники, Канівський р-н, Черкаська обл., 19043","508","184","500","46","283","41","324","","0","283","41","324","13","311","5","4","1","122","2","1","0","11","17","5","2","3","131","7","29.10.12"
"710287","196","Черкаська область","школа, коридор, 1-й поверх
вул.Центральна, 101, с.Павлівка, Канівський р-н, Черкаська обл., 19044","228","84","225","18","128","16","144","","0","128","16","144","3","141","1","0","1","58","3","0","1","8","27","2","1","2","37","0","28.10.12"
"710289","196","Черкаська область","адмінбудинок, актова зала, 1-й поверх
вул.Центральна, 90, с.Полствин, Канівський р-н, Черкаська обл., 19033","220","59","218","26","136","25","161","","0","136","25","161","9","152","0","1","1","102","0","1","2","3","8","6","0","1","25","2","29.10.12"
"710290","196","Черкаська область","школа, фойє, 1-й поверх
вул.Виноградна, 14, с.Малий Ржавець, Канівський р-н, Черкаська обл., 19033","172","55","172","15","102","15","117","","0","102","15","117","3","114","0","0","3","82","1","0","0","0","12","4","0","0","11","1","29.10.12"
"710291","196","Черкаська область","будинок культури, актова зала, 1-й поверх
вул.Молодіжна, 80, с.Попівка, Канівський р-н, Черкаська обл., 19050","124","15","119","21","88","21","109","","0","88","21","109","0","109","1","0","0","90","1","0","0","2","4","1","1","1","8","0","29.10.12"
"710298","196","Черкаська область","будинок культури, глядацький зал, 1-й поверх
вул.Шевченка, 23, с.Степанці, Канівський р-н, Черкаська обл., 19031","900","379","903","31","491","30","521","","0","491","30","521","16","505","6","2","4","153","4","4","1","5","57","8","2","9","240","10","29.10.12"
"710299","196","Черкаська область","адмінбудинок лісгоспу, актова зала, 1-й поверх
пров.Кірова, 4, с.Степанці, Канівський р-н, Черкаська обл., 19031","696","304","687","43","363","29","392","","0","363","29","392","7","385","0","1","7","142","6","2","2","20","15","11","1","2","166","10","29.10.12"
"710300","196","Черкаська область","будинок культури, глядацька зала, 1-й поверх
вул.Київська, 239, с-ще Степанецьке, Канівський р-н, Черкаська обл., 19031","292","119","290","12","161","12","173","","0","161","12","173","9","164","5","3","3","55","1","0","0","2","11","5","0","0","71","8","28.10.12"
"710301","196","Черкаська область","будинок культури, фойє, 1-й поверх
вул.Федоренка, 108, с.Таганча, Канівський р-н, Черкаська обл., 19052","516","199","513","26","293","24","317","","0","293","24","317","13","304","1","1","5","82","1","1","1","14","74","19","2","3","98","2","28.10.12"
"710302","196","Черкаська область","школа, актова зала, 1-й поверх
вул.Федоренка, 46, с.Таганча, Канівський р-н, Черкаська обл., 19052","352","143","346","22","187","22","209","","0","187","22","209","6","203","1","2","2","66","0","1","0","16","38","11","1","1","62","2","29.10.12"
"710303","196","Черкаська область","фельдшерський пункт, зала, 1-й поверх
вул.Гавриленка, 35, с.Поташня, Канівський р-н, Черкаська обл., 19052","160","36","157","12","112","12","124","","0","112","12","124","7","117","0","0","1","75","0","0","0","4","15","1","0","0","21","0","28.10.12"
"710310","196","Черкаська область","будинок культури, фойє
вул.Гагаріна, 78Д, с.Бродецьке, Катеринопільський р-н, Черкаська обл., 20521","364","87","359","44","235","42","277","","0","235","42","277","3","274","2","0","2","126","0","1","1","4","22","10","1","1","102","2","28.10.12"
"710311","196","Черкаська область","Вербовецький НВК, зала
вул.Кірова, 14Б, с.Вербовець, Катеринопільський р-н, Черкаська обл., 20516","484","152","478","35","299","33","332","","0","299","33","332","7","325","3","0","2","114","2","1","0","14","34","11","0","1","143","0","28.10.12"
"710312","196","Черкаська область","Вікненська школа, фойє
вул.Третяка, 4В, с.Вікнине, Катеринопільський р-н, Черкаська обл., 20510","548","144","544","53","354","50","404","","0","354","50","404","9","395","0","0","4","132","2","0","1","38","38","9","1","1","165","4","29.10.12"
"710313","196","Черкаська область","будинок культури, зала
вул.Мічуріна, 45, с.Грушківка, Катеринопільський р-н, Черкаська обл., 20510","188","41","186","17","130","17","147","","0","130","17","147","1","146","1","0","1","95","1","1","2","9","0","3","1","0","31","1","28.10.12"
"710314","196","Черкаська область","будинок культури, к.1
вул.Тичини, 10А, с.Гончариха, Катеринопільський р-н, Черкаська обл., 20530","308","103","305","31","176","29","205","","0","176","29","205","3","202","0","2","1","63","0","4","1","18","31","7","0","1","71","3","28.10.12"
"710315","196","Черкаська область","будинок культури, к.1
вул.Молодіжна, 17, с.Ромейково, Катеринопільський р-н, Черкаська обл., 20530","228","63","224","53","113","52","165","","0","113","52","165","1","164","1","1","5","85","2","0","1","7","7","1","1","0","50","3","28.10.12"
"710316","196","Черкаська область","Гуляйпільський навчально-виховний комплекс, фойє
вул.Комарова, 1А, с.Гуляйполе, Катеринопільський р-н, Черкаська обл., 20500","416","80","413","41","296","40","336","","0","296","40","336","12","324","1","2","2","199","1","1","1","7","35","8","0","3","62","2","29.10.12"
"710317","196","Черкаська область","будинок культури, зала
вул.Пушкіна, 4, с.Єлизаветка, Катеринопільський р-н, Черкаська обл., 20544","364","105","360","34","227","32","259","","0","227","32","259","10","249","1","0","2","54","1","1","0","12","21","14","1","1","140","1","28.10.12"
"710318","196","Черкаська область","Єрківська школа, фойє
вул.Свердлова, 1А, смт Єрки, Катеринопільський р-н, Черкаська обл., 20505","1556","721","1539","34","801","34","835","","0","801","34","835","35","800","9","6","18","184","15","2","3","33","42","20","5","7","362","94","29.10.12"
"710319","196","Черкаська область","будинок культури, зала
вул.Звенигородська, 25, смт Єрки, Катеринопільський р-н, Черкаська обл., 20505","1780","733","1760","53","994","53","1047","","0","994","53","1047","36","1011","10","5","16","247","12","6","1","29","95","30","7","2","406","145","29.10.12"
"710320","196","Черкаська область","бібліотека, зала
вул.Чапаєва, 39, с.Залізнячка, Катеринопільський р-н, Черкаська обл., 20505","648","200","643","43","408","40","448","","0","408","40","448","19","429","5","2","6","197","3","0","1","20","28","17","1","2","147","0","29.10.12"
"710321","196","Черкаська область","будинок культури, зала
вул.Чапаєва, 121Б, с.Кайтанівка, Катеринопільський р-н, Черкаська обл., 20515","468","140","465","26","304","24","328","","0","304","24","328","2","326","2","2","3","74","2","2","0","19","41","5","2","2","165","7","29.10.12"
"710322","196","Черкаська область","Катеринопільська школа №1, зала
вул.Леніна, 44, смт Катеринопіль, Катеринопільський р-н, Черкаська обл., 20500","1768","692","1750","46","1043","33","1076","","0","1043","33","1076","38","1038","7","2","14","266","9","4","3","37","198","51","6","8","409","24","29.10.12"
"710323","196","Черкаська область","будинок культури, мала зала
вул.Дружби, 9, смт Катеринопіль, Катеринопільський р-н, Черкаська обл., 20500","2024","754","2011","69","1232","38","1270","","0","1232","38","1270","45","1225","4","4","9","328","12","3","5","49","215","48","3","6","519","20","28.10.12"
"710324","196","Черкаська область","Катеринопільський ліцей, зала
вул.Леніна, 38, смт Катеринопіль, Катеринопільський р-н, Черкаська обл., 20500","1256","504","760","25","735","17","752","","0","735","17","752","20","731","4","1","5","168","6","2","3","30","155","33","2","8","292","22","29.10.12"
"710325","196","Черкаська область","Киселівський НВК, к.1
вул.Шкільна, 3, с.Киселівка, Катеринопільський р-н, Черкаська обл., 20513","332","91","331","19","226","15","241","","0","226","15","241","4","237","3","1","0","83","1","1","0","28","12","4","2","1","100","1","29.10.12"
"710326","196","Черкаська область","будинок культури, зала
вул.Петровського, 9А, с.Лисича Балка, Катеринопільський р-н, Черкаська обл., 20532","388","114","390","15","261","13","274","","0","261","13","274","9","265","2","0","2","76","0","1","1","16","33","1","0","2","129","2","28.10.12"
"710327","196","Черкаська область","будинок культури, зала
вул.Б.Хмельницького, 13, с.Мокра Калигірка, Катеринопільський р-н, Черкаська обл., 20540","1460","581","1453","161","781","98","879","","0","781","98","879","21","858","8","2","14","284","4","6","3","55","78","27","5","10","342","20","29.10.12"
"710328","196","Черкаська область","будинок культури, зала
вул.Леніна, 110А, с.Новоселиця, Катеринопільський р-н, Черкаська обл., 20506","704","207","703","75","426","71","497","","0","426","71","497","11","486","4","2","11","258","4","0","0","6","70","3","3","3","106","16","28.10.12"
"710329","196","Черкаська область","будинок культури, зала
вул.Піонерська, 16, с.Пальчик, Катеринопільський р-н, Черкаська обл., 20522","484","99","479","76","312","73","385","","0","312","73","385","22","363","2","1","3","175","1","1","0","13","40","14","1","2","109","1","28.10.12"
"710330","196","Черкаська область","будинок культури, фойє
вул.Погорецького, 8, с.Петраківка, Катеринопільський р-н, Черкаська обл., 20531","560","163","553","44","353","44","397","","0","353","44","397","7","390","3","1","3","134","3","2","0","32","64","13","7","2","118","8","28.10.12"
"710331","196","Черкаська область","сільська рада, актова зала
вул.О.Кобилянської,2/2, с.Потоки, Катеринопільський р-н, Черкаська обл.,20533","248","79","247","21","149","20","169","","0","149","20","169","7","162","1","0","2","54","3","0","3","16","19","6","1","0","55","2","28.10.12"
"710332","196","Черкаська область","будинок культури, зала
вул.Постишева, 75, с.Радчиха, Катеринопільський р-н, Черкаська обл., 20511","380","54","373","49","279","47","326","","0","279","47","326","5","321","1","0","0","208","2","1","0","16","16","9","1","0","66","1","28.10.12"
"710333","196","Черкаська область","будинок культури, зала
вул.Леніна, 66, с.Розсохуватка, Катеринопільський р-н, Черкаська обл., 20507","568","59","565","81","429","80","509","","0","429","80","509","7","502","5","1","1","243","3","1","2","31","26","14","1","0","171","3","28.10.12"
"710334","196","Черкаська область","будинок культури, зала
вул.Погорецького, 20/1, с.Стійкове, Катеринопільський р-н, Черкаська обл., 20531","152","33","151","13","107","12","119","","0","107","12","119","5","114","0","0","2","46","0","0","1","7","22","0","0","0","35","1","28.10.12"
"710335","196","Черкаська область","будинок культури, зала
вул.Леніна, 12, с.Ступичне, Катеринопільський р-н, Черкаська обл., 20514","424","105","423","38","281","38","319","","0","281","38","319","7","312","2","0","5","104","0","0","0","18","47","3","2","0","127","4","28.10.12"
"710336","196","Черкаська область","будинок культури, зала
вул.Жовтнева, 71, с.Суха Калигірка, Катеринопільський р-н, Черкаська обл., 20543","348","111","342","31","206","31","237","","0","206","31","237","7","230","6","1","6","91","2","1","1","4","26","3","2","0","85","2","28.10.12"
