"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Білик
Руслан
Григорович","Буденко
Вячеслав
Євгенійович","Ковальчук
Василь
Іванович","Мельниченко
Володимир
Володимирович","Приступа
Петро
Адольфович","Товкайло
Василь
Тихонович","Шовкошитний
Володимир
Федорович","Ярема
Ростислав
Тарасович","Дата підписання протоколу"
"680464","193","Хмельницька область","будинок культури, фойє, 2-й поверх
вул.Комсомольська, 7, смт Стара Ушиця, Кам’янець-Подільський р-н, Хмельницька обл., 32385","1912","835","1894","67","1020","57","1077","","0","1020","57","1077","28","1049","11","8","24","440","38","89","35","404","29.10.12"
"680465","193","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 51, с.Гораївка, Кам’янець-Подільський р-н, Хмельницька обл., 32384","464","133","465","31","302","29","331","","0","302","29","331","11","320","3","1","1","171","33","22","11","78","03.11.12"
"680466","193","Хмельницька область","сільський клуб, глядацька зала
вул.Щорса, 32, с.Абрикосівка, Кам’янець-Подільський р-н, Хмельницька обл., 32351","456","175","444","39","244","37","281","","0","244","37","281","10","271","2","3","3","173","1","5","8","76","29.10.12"
"680467","193","Хмельницька область","будинок культури, фойє
вул.Олійника, 1А, с.Великозалісся, Кам’янець-Подільський р-н, Хмельницька обл., 32323","424","157","405","42","227","40","267","","0","227","40","267","2","265","7","0","7","160","4","14","6","67","29.10.12"
"680468","193","Хмельницька область","сільський клуб, кабінет завідуючого клубом
вул.Козацька, 1А, с.Киселівка, Кам’янець-Подільський р-н, Хмельницька обл., 32323","216","71","210","36","109","36","145","","0","109","36","145","5","140","1","1","3","107","3","4","2","19","28.10.12"
"680469","193","Хмельницька область","сільський клуб, зала
вул.Б.Хмельницького, 1А, с.Малозалісся, Кам’янець-Подільський р-н, Хмельницька обл., 32323","104","27","99","2","75","2","77","","0","75","2","77","1","76","0","0","0","45","0","1","0","30","28.10.12"
"680470","193","Хмельницька область","будинок культури, фойє
вул.Центральна, 45, с.Врублівці, Кам’янець-Подільський р-н, Хмельницька обл., 32394","608","194","600","55","361","53","414","","0","361","53","414","18","396","6","4","3","186","17","34","3","143","28.10.12"
"680471","193","Хмельницька область","сільський клуб, зала
вул.Річна, 19, с.Яруга, Кам’янець-Подільський р-н, Хмельницька обл., 32394","136","37","130","11","88","11","99","","0","88","11","99","1","98","0","2","3","59","2","2","1","29","29.10.12"
"680472","193","Хмельницька область","сільський клуб, зала
вул.Гагаріна, 1, с.Станіславівка, Кам’янець-Подільський р-н, Хмельницька обл., 32394","96","23","92","6","67","6","73","","0","67","6","73","2","71","0","1","1","48","3","6","0","12","29.10.12"
"680473","193","Хмельницька область","школа, актова зала
вул.Жовтнева, 30, с.Голосків, Кам’янець-Подільський р-н, Хмельницька обл., 32340","1360","690","1352","55","622","48","670","","0","622","48","670","30","640","13","6","19","311","9","61","30","191","29.10.12"
"680474","193","Хмельницька область","сільський клуб, актова зала
вул.Жукова, 1, с.Голосків, Кам’янець-Подільський р-н, Хмельницька обл., 32340","328","132","318","13","183","13","196","","0","183","13","196","10","186","2","1","6","89","5","11","6","66","29.10.12"
"680475","193","Хмельницька область","будинок культури, зала
вул.Ленінградська, 44, с.Пудлівці, Кам’янець-Подільський р-н, Хмельницька обл., 32342","560","194","564","25","343","23","366","","0","343","23","366","12","354","5","2","9","203","5","21","21","88","29.10.12"
"680476","193","Хмельницька область","сільський клуб, зала
вул.Польова, 4, с.Гринчук, Кам’янець-Подільський р-н, Хмельницька обл., 32378","176","74","173","13","89","13","102","","0","89","13","102","4","98","3","2","6","33","6","5","1","42","28.10.12"
"680477","193","Хмельницька область","будинок культури, зала
вул.Набережна, 1А, с.Бабшин, Кам’янець-Подільський р-н, Хмельницька обл., 32378","160","50","158","18","94","16","110","","0","94","16","110","1","109","0","0","3","67","5","8","0","26","28.10.12"
"680478","193","Хмельницька область","сільський клуб, зала
вул.Лесі Українки, 14, с.Малинівці, Кам’янець-Подільський р-н, Хмельницька обл., 32378","104","39","100","5","60","5","65","","0","60","5","65","1","64","1","1","1","35","1","0","0","25","29.10.12"
"680479","193","Хмельницька область","будинок культури, зала
вул.Суворова, 2А, с.Грушка, Кам’янець-Подільський р-н, Хмельницька обл., 32380","432","122","420","33","277","33","310","","0","277","33","310","8","302","3","2","8","153","9","15","6","106","29.10.12"
"680480","193","Хмельницька область","сільський клуб, зала
вул.Шевченка, 1А, с.Каштанівка, Кам’янець-Подільський р-н, Хмельницька обл., 32380","160","36","158","20","106","18","124","","0","106","18","124","6","118","0","1","0","47","6","6","1","57","29.10.12"
"680481","193","Хмельницька область","сільський клуб, зала
вул.Шевченка, 60А, с.Рункошів, Кам’янець-Подільський р-н, Хмельницька обл., 32382","424","161","411","34","232","31","263","","0","232","31","263","7","256","5","3","9","105","16","8","4","106","29.10.12"
"680482","193","Хмельницька область","будинок культури, фойє
вул.Першотравнева, 68, с.Гуменці, Кам’янець-Подільський р-н, Хмельницька обл., 32325","1824","725","1794","72","1030","69","1099","","0","1030","69","1099","40","1059","16","4","13","504","23","54","67","378","29.10.12"
"680483","193","Хмельницька область","сільський клуб, фойє
вул.Центральна, 5, с.Вербка, Кам’янець-Подільський р-н, Хмельницька обл., 32326","1184","499","1182","53","633","52","685","","0","633","52","685","23","662","7","1","9","354","13","43","15","220","29.10.12"
"680484","193","Хмельницька область","сільський клуб, зала
вул.317 Дивізії, 6А, с.Колубаївці, Кам’янець-Подільський р-н, Хмельницька обл., 32304","544","211","539","25","308","25","333","","0","308","25","333","12","321","8","3","5","123","13","11","14","144","29.10.12"
"680485","193","Хмельницька область","сільський клуб, зала
вул.Котовського, 11А, с.Слобідка-Гуменецька, Кам’янець-Подільський р-н, Хмельницька обл., 32112","624","203","627","43","381","40","421","","0","381","40","421","13","408","2","2","4","164","8","27","30","171","29.10.12"
"680486","193","Хмельницька область","ФАП, вітальня
вул.Гагаріна, 23, с.Лисогірка, Кам’янець-Подільський р-н, Хмельницька обл., 32112","496","157","505","15","324","15","339","","0","324","15","339","14","325","2","1","6","118","10","24","18","146","28.10.12"
"680487","193","Хмельницька область","Санаторій ""Лісова пісня"", зала
вул.Лісова, 7, с.Привороття Друге, Кам’янець-Подільський р-н, Хмельницька обл., 32326","112","54","107","1","58","0","58","","0","58","0","58","0","58","1","1","0","22","1","8","0","25","28.10.12"
"680488","193","Хмельницька область","будинок культури, актова зала
вул.Б.Хмельницького, 2, с.Дерев’яне, Кам’янець-Подільський р-н, Хмельницька обл., 32356","312","108","311","25","181","23","204","","0","181","23","204","7","197","0","0","1","133","7","3","2","51","29.10.12"
"680489","193","Хмельницька область","сільський клуб, зала
вул.Гагаріна, 42, с.Броварі, Кам’янець-Подільський р-н, Хмельницька обл., 32356","264","116","255","41","115","33","148","","0","115","33","148","1","147","0","0","0","81","1","6","6","53","29.10.12"
"680490","193","Хмельницька область","ДП ""Довжоцький спиртзавод"", клуб
вул.Унявко, 1, с.Довжок, Кам’янець-Подільський р-н, Хмельницька обл., 32343","1680","762","1643","18","902","16","918","","0","902","16","918","28","890","11","4","7","374","16","70","340","68","29.10.12"
"680491","193","Хмельницька область","школа, актова зала
вул.Шкільна, 2, с.Довжок, Кам’янець-Подільський р-н, Хмельницька обл., 32343","2048","1053","2036","21","980","15","995","","0","980","15","995","31","964","10","5","12","424","7","73","59","374","29.10.12"
"680492","193","Хмельницька область","школа, фойє
вул.Тручка, 9, с.Нагоряни, Кам’янець-Подільський р-н, Хмельницька обл., 32344","552","237","549","22","293","22","315","","0","293","22","315","12","303","3","3","0","193","8","10","14","72","29.10.12"
"680493","193","Хмельницька область","школа, актова зала
вул.Центральна, 54А, с.Думанів, Кам’янець-Подільський р-н, Хмельницька обл., 32321","704","209","712","62","434","61","495","","0","434","61","495","18","477","9","1","18","251","15","25","9","149","29.10.12"
"680494","193","Хмельницька область","будинок культури, фойє
вул.Центральна, 55, с.Жванець, Кам’янець-Подільський р-н , Хмельницька обл., 32365","1136","467","1139","66","618","51","669","","0","618","51","669","35","634","6","5","13","346","24","34","26","180","29.10.12"
"680495","193","Хмельницька область","сільський клуб, фойє
вул.Жванецька, 56, с.Брага Кам’янець-Подільський р-н, Хмельницька обл., 32365","128","38","121","9","81","9","90","","0","81","9","90","2","88","2","0","3","48","5","3","1","26","29.10.12"
"680496","193","Хмельницька область","будинок культури, зала
вул.Тернопільська, 9, с.Завалля, Кам’янець-Подільський р-н, Хмельницька обл., 32337","504","190","494","42","272","42","314","","0","272","42","314","8","306","2","1","3","239","10","5","0","46","28.10.12"
"680497","193","Хмельницька область","сільський клуб, зала
вул.Чкалова, 20, с.Вітківці, Кам’янець-Подільський р-н, Хмельницька обл., 32365","152","62","147","13","78","12","90","","0","78","12","90","7","83","1","3","1","54","6","2","0","16","28.10.12"
"680498","193","Хмельницька область","сільський клуб, зала
вул.О.Довженка, 32, с.Кудринці, Кам’янець-Подільський р-н, Хмельницька обл., 32338","240","70","238","25","149","21","170","","0","149","21","170","6","164","5","5","7","116","9","2","2","18","28.10.12"
"680499","193","Хмельницька область","школа, фойє
вул.Шкільна, 1, с.Залісся Перше, Кам’янець-Подільський р-н, Хмельницька обл., 32334","896","345","873","105","448","103","551","","0","448","103","551","11","540","5","4","8","267","17","14","13","212","29.10.12"
"680500","193","Хмельницька область","сільський клуб, зала
вул.Центральна, 2А, с.Параївка, Кам’янець-Подільський р-н, Хмельницька обл., 32334","104","35","104","5","65","4","69","","0","65","4","69","2","67","1","0","0","42","0","0","4","20","29.10.12"
"680501","193","Хмельницька область","школа, фойє
вул.Богдана Хмельницького, 93, с.Залісся Друге, Кам’янець-Подільський р-н, Хмельницька обл., 32324","504","141","496","40","325","38","363","","0","325","38","363","5","358","2","0","3","216","4","13","17","103","29.10.12"
"680502","193","Хмельницька область","ФАП, к.1
вул.Перемоги, 7, с.Дубинка, Кам’янець-Подільський р-н, Хмельницька обл., 32324","152","34","152","16","105","13","118","","0","105","13","118","1","117","1","0","3","60","3","3","2","45","29.10.12"
"680503","193","Хмельницька область","школа, спортивна зала
вул.Соборна, 42, с.Зіньківці, Кам’янець-Подільський р-н, Хмельницька обл., 32342","664","306","649","19","341","17","358","","0","341","17","358","8","350","4","4","7","153","11","23","23","125","29.10.12"
"680504","193","Хмельницька область","будинок культури, зала
вул.Шкільна, 17, с.Кадиївці, Кам’янець-Подільський р-н, Хмельницька обл., 32345","1336","561","1342","96","681","94","775","","0","681","94","775","16","759","6","2","6","521","7","33","17","167","29.10.12"
"680505","193","Хмельницька область","сільський клуб, зала
вул.Перемоги, 27, с.Суржа, Кам’янець-Подільський р-н, Хмельницька обл., 32345","176","55","179","4","117","4","121","","0","117","4","121","2","119","0","1","6","65","4","5","1","37","29.10.12"
"680506","193","Хмельницька область","сільський клуб, зала
вул.Шевченка, 28, с.Калачківці, Кам’янець-Подільський р-н, Хмельницька обл., 32395","296","97","288","16","183","16","199","","0","183","16","199","5","194","6","1","3","117","6","7","6","48","29.10.12"
"680507","193","Хмельницька область","сільський клуб, зала
вул.Михайлівська, 4, с.Демшин, Кам’янець-Подільський р-н, Хмельницька обл., 32396","504","150","507","51","305","49","354","","0","305","49","354","18","336","6","4","11","190","9","20","9","87","29.10.12"
"680508","193","Хмельницька область","сільський клуб, коридор
вул.Центральна, 10, с.Патринці, Кам’янець-Подільський р-н, Хмельницька обл., 32396","40","7","38","7","27","6","33","","0","27","6","33","1","32","0","0","1","17","3","0","0","11","29.10.12"
"680509","193","Хмельницька область","будинок культури, вестибюль
вул.Центральна, 65, с.Рогізна, Кам’янець-Подільський р-н, Хмельницька обл., 32397","528","177","537","37","314","37","351","","0","314","37","351","18","333","6","1","4","216","10","6","12","78","29.10.12"
"680510","193","Хмельницька область","сільський клуб, актова зала
вул.Миру, 15, с.Субіч, Кам’янець-Подільський р-н, Хмельницька обл., 32395","200","57","200","24","119","24","143","","0","119","24","143","3","140","3","3","8","67","9","1","1","48","28.10.12"
"680511","193","Хмельницька область","сільський клуб, зала засідань
вул.Шкільна, 6, с.Кам’янка, Кам’янець-Подільський р-н, Хмельницька обл., 32307","1736","741","1718","57","942","53","995","","0","942","53","995","36","959","12","2","12","358","18","94","79","384","29.10.12"
"680512","193","Хмельницька область","школа, актова зала
вул.Шевченка, 10, с.Китайгород, Кам’янець-Подільський р-н, Хмельницька обл., 32392","376","100","385","67","215","61","276","","0","215","61","276","6","270","6","5","7","153","10","18","12","59","29.10.12"
"680513","193","Хмельницька область","дошкільний навчальний заклад, кімната
вул.Центральна, 3, с.Вихватнівці, Кам’янець-Подільський р-н, Хмельницька обл., 32393","408","148","407","44","220","40","260","","0","220","40","260","12","248","1","0","8","120","5","5","7","102","28.10.12"
"680514","193","Хмельницька область","сільський клуб, зала
вул.І. Огієнка, 11, с.Ленівка, Кам’янець-Подільський р-н, Хмельницька обл., 32393","56","19","51","3","35","2","37","","0","35","2","37","1","36","0","1","2","24","0","3","2","4","29.10.12"
"680515","193","Хмельницька область","будинок культури, зала
вул.Центральна, 35, с.Княжпіль, Кам’янець-Подільський р-н, Хмельницька обл., 32355","576","194","570","47","335","47","382","","0","335","47","382","15","367","1","5","11","216","15","13","8","98","29.10.12"
"680516","193","Хмельницька область","будинок культури, глядацька зала
вул.Леніна, 111, с.Колибаївка, Кам’янець-Подільський р-н, Хмельницька обл., 32370","1472","680","1456","17","778","14","792","","0","778","14","792","40","752","6","7","30","255","13","57","46","338","29.10.12"
"680517","193","Хмельницька область","фельдшерський пункт, лікувальна кімната
вул.Гастело, 16, с.Вільховець, Кам’янець-Подільський р-н, Хмельницька обл., 32370","200","66","200","8","127","7","134","","0","127","7","134","4","130","1","0","2","64","3","2","1","57","29.10.12"
"680518","193","Хмельницька область","сільський клуб, глядацька зала
вул.Фрунзе, 45, с.Смотрич, Кам’янець-Подільський р-н, Хмельницька обл., 32303","1096","502","1095","22","573","21","594","","0","573","21","594","17","577","10","3","14","199","12","59","48","232","29.10.12"
"680519","193","Хмельницька область","школа, спортивний зал
вул.Ворошилова, 2, с.Червона Чагарівка, Кам’янець-Подільський р-н, Хмельницька обл., 32370","136","54","134","6","77","5","82","","0","77","5","82","6","76","0","1","1","20","2","4","2","46","29.10.12"
"680520","193","Хмельницька область","школа, спортивний зал
вул.Дністрівська, 23, с.Колодіївка, Кам’янець-Подільський р-н, Хмельницька обл., 32398","696","255","686","73","368","73","441","","0","368","73","441","14","427","5","1","9","214","25","23","8","142","28.10.12"
"680521","193","Хмельницька область","будинок культури, зала
вул.Центральна, 29, с.Крушанівка, Кам’янець-Подільський р-н, Хмельницька обл., 32390","560","156","560","26","378","26","404","","0","378","26","404","19","385","2","1","3","271","14","10","5","79","29.10.12"
"680522","193","Хмельницька область","будинок культури, зала засідань
вул.Центральна, 38, с.Кульчіївці, Кам’янець-Подільський р-н, Хмельницька обл., 32354","880","360","872","55","470","50","520","","0","470","50","520","15","505","9","1","14","217","11","49","39","165","29.10.12"
"680523","193","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 5, с.Калиня, Кам’янець-Подільський р-н, Хмельницька обл., 32354","296","117","291","22","158","21","179","","0","158","21","179","9","170","5","1","3","72","9","4","3","73","29.10.12"
"680524","193","Хмельницька область","сільський клуб, зала
вул.Лісна, 1, с.Суржинці, Кам’янець-Подільський р-н, Хмельницька обл., 32354","48","13","43","3","32","3","35","","0","32","3","35","1","34","1","1","0","16","3","0","0","13","29.10.12"
"680525","193","Хмельницька область","сільський клуб, зала
вул.Ворошилова, 5А, с.Фурманівка, Кам’янець-Подільський р-н, Хмельницька обл., 32354","248","90","245","18","143","15","158","","0","143","15","158","16","142","2","2","7","54","2","8","5","62","28.10.12"
"680526","193","Хмельницька область","дошкільний навчальний заклад, спальна кімната
вул.Івана Франка, 1Б, с.Ластівці, Кам’янець-Подільський р-н, Хмельницька обл., 32364","392","107","398","20","268","17","285","","0","268","17","285","15","270","3","1","5","187","7","9","4","54","29.10.12"
"680527","193","Хмельницька область","сільський клуб, актова зала
вул.Лесі Українки, 5А, с.Збруч, Кам’янець-Подільський р-н, Хмельницька обл., 32365","320","107","320","18","197","16","213","","0","197","16","213","5","208","0","2","19","116","6","6","3","56","28.10.12"
"680528","193","Хмельницька область","будинок культури, фойє
вул.Миру, 39А, с.Нефедівці, Кам’янець-Подільський р-н, Хмельницька обл., 32391","416","116","417","38","262","38","300","","0","262","38","300","17","283","2","0","4","168","14","4","6","85","29.10.12"
"680529","193","Хмельницька область","сільський клуб, фойє
вул.Гагаріна, 56, с.Лучки, Кам’янець-Подільський р-н, Хмельницька обл., 32391","144","43","139","9","92","9","101","","0","92","9","101","3","98","0","0","4","59","2","4","0","29","29.10.12"
"680530","193","Хмельницька область","школа, коридор
вул.Пушкіна, 1, с.Нігин, Кам’янець-Подільський р-н, Хмельницька обл., 32320","1056","406","1050","58","595","55","650","","0","595","55","650","12","638","5","2","7","260","18","47","23","276","29.10.12"
"680531","193","Хмельницька область","сільський клуб, актова зала
вул.Залізнична, 1А, с-ще Сахкамінь, Кам’янець-Подільський р-н, Хмельницька обл., 32322","760","338","750","13","409","13","422","","0","409","13","422","21","401","6","1","7","171","14","24","8","170","29.10.12"
"680532","193","Хмельницька область","будинок культури, зала
вул.Тараса Шевченка, 45, с.Оринин, Кам’янець-Подільський р-н, Хмельницька обл., 32331","1056","540","1048","25","492","24","516","","0","492","24","516","27","489","7","5","13","187","30","37","13","197","29.10.12"
"680533","193","Хмельницька область","школа, актова зала
вул.Тараса Шевченка, 130, с.Оринин, Кам’янець-Подільський р-н, Хмельницька обл., 32331","976","545","962","21","410","21","431","","0","410","21","431","15","416","4","1","8","190","14","31","19","149","29.10.12"
"680534","193","Хмельницька область","сільський клуб, зала
вул.Богдана Хмельницького, 38, с.Ріпенці, Кам’янець-Подільський р-н, Хмельницька обл., 32332","424","198","407","21","206","20","226","","0","206","20","226","10","216","3","2","13","129","2","8","10","49","28.10.12"
"680535","193","Хмельницька область","будинок культури, зала
вул.Першотравнева, 14А, с.Панівці, Кам’янець-Подільський р-н, Хмельницька обл., 32376","816","365","820","46","410","41","451","","0","410","41","451","20","431","1","2","4","161","15","26","13","209","28.10.12"
"680536","193","Хмельницька область","фельдшерський пункт, приймальня
вул.Михайлівська, 48, с.Цибулівка, Кам’янець-Подільський р-н, Хмельницька обл., 32306","504","208","496","19","277","19","296","","0","277","19","296","12","284","1","1","4","100","3","21","19","135","28.10.12"
"680537","193","Хмельницька область","будинок культури, фойє
вул.40-річчя Перемоги, 9А, с.Підпилип’я, Кам’янець-Подільський р-н, Хмельницька обл., 32330","280","99","269","12","170","11","181","","0","170","11","181","7","174","5","1","1","86","14","6","0","61","29.10.12"
"680538","193","Хмельницька область","сільський клуб, кімната ""Бойової Слави""
вул.Грушевського, 17А, с.Подоляни, Кам’янець-Подільський р-н, Хмельницька обл., 32330","176","57","177","3","116","3","119","","0","116","3","119","2","117","3","0","3","62","4","4","5","36","28.10.12"
"680539","193","Хмельницька область","школа, вестибюль
вул.І.Франка, 38, с.Подільське, Кам’янець-Подільський р-н, Хмельницька обл., 32381","560","265","572","37","258","37","295","","0","258","37","295","10","285","3","0","8","177","4","20","7","66","29.10.12"
"680540","193","Хмельницька область","будинок культури, зала
вул.Незалежності, 3, с.Привороття, Кам’янець-Подільський р-н, Хмельницька обл., 32333","608","224","592","50","344","40","384","","0","344","40","384","27","357","10","5","9","202","9","12","10","100","28.10.12"
"680541","193","Хмельницька область","сільський клуб, зала
вул.Центральна, 16, с.Адамівка, Кам’янець-Подільський р-н, Хмельницька обл., 32333","64","6","67","7","53","5","58","","0","53","5","58","4","54","1","0","0","21","4","4","1","23","29.10.12"
"680542","193","Хмельницька область","сільський клуб, зала
вул.Тараса Шевченка, 7А, с.Добровілля, Кам’янець-Подільський р-н, Хмельницька обл., 32333","192","45","186","12","136","11","147","","0","136","11","147","6","141","3","0","4","54","8","9","3","60","29.10.12"
"680543","193","Хмельницька область","сільський клуб, зала
вул.40-річчя Перемоги, 3, с.Кізя, Кам’янець-Подільський р-н, Хмельницька обл., 32333","208","55","198","19","137","16","153","","0","137","16","153","9","144","4","2","5","52","3","5","5","68","29.10.12"
"680544","193","Хмельницька область","будинок культури, зала
вул.Петровського, 136В, с.Руда, Кам’янець-Подільський р-н, Хмельницька обл., 32366","568","239","562","9","320","9","329","","0","320","9","329","13","316","4","2","9","134","9","19","14","125","29.10.12"
"680545","193","Хмельницька область","сільський клуб, зала
вул.Горького, 20А, с.Гаврилівці, Кам’янець-Подільський р-н, Хмельницька обл., 32367","600","221","597","39","341","38","379","","0","341","38","379","8","371","5","1","29","193","17","21","12","93","29.10.12"
