"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Браславець
Ольга
Василівна","Вінський
Йосип
Вікентійович","Герега
Олександр
Володимирович","Довгань
Валерій
Іванович","Купчик
Олег
Леонідович","Мусій
Мирослав
Ярославович","Орлов
Володимир
Іванович","Пятак
Галина
Василівна","Свято
Василь
Петрович","Дата підписання протоколу"
"680213","192","Хмельницька область","школа, початковий клас
вул.Коцюбинського, 21, с.Кам’янка, Городоцький р-н, Хмельницька обл., 32035","392","162","385","31","199","31","230","","0","199","31","230","5","225","4","8","154","0","1","45","7","6","0","29.10.12"
"680214","192","Хмельницька область","сільський клуб, глядацька зала
вул.Шевченка, 33, с.Спасівка, Городоцький р-н, Хмельницька обл., 32036","232","72","224","13","147","13","160","","0","147","13","160","8","152","3","20","78","0","4","43","4","0","0","29.10.12"
"680215","192","Хмельницька область","сільський будинок культури, кінозала
вул.Г.Повха, 160, с.Клинове, Городоцький р-н, Хмельницька обл., 32048","1656","836","1638","61","761","59","820","","0","761","59","820","17","803","11","36","570","5","13","103","60","5","0","29.10.12"
"680216","192","Хмельницька область","школа, фойє
вул.Грушевського, 30, с.Кремінна, Городоцький р-н, Хмельницька обл., 32047","848","241","847","83","531","76","607","","0","531","76","607","11","596","2","26","446","4","12","70","20","16","0","29.10.12"
"680217","192","Хмельницька область","сільська рада, актова зала
пл.Шевченка, 1, с.Кузьмин, Городоцький р-н, Хмельницька обл., 32027","520","141","513","61","321","58","379","","0","321","58","379","6","373","1","15","317","0","1","31","3","4","1","29.10.12"
"680218","192","Хмельницька область","сільський клуб, глядацька зала
вул.Кутузова, сільський клуб, с.Шишківці, Городоцький р-н, Хмельницька обл., 32027","168","40","168","25","105","23","128","","0","105","23","128","3","125","0","8","88","0","5","19","3","2","0","29.10.12"
"680219","192","Хмельницька область","школа, фойє
вул.Глібова, 14, с.Велика Левада, Городоцький р-н, Хмельницька обл., 32061","504","112","488","49","343","49","392","","0","343","49","392","5","387","2","19","292","1","6","65","1","1","0","29.10.12"
"680220","192","Хмельницька область","школа, фойє
вул.В’ячеслава Чорновола, 3, с.Купин, Городоцький р-н, Хмельницька обл., 32060","520","164","514","39","322","34","356","","0","322","34","356","12","344","1","17","250","1","6","50","8","10","1","29.10.12"
"680221","192","Хмельницька область","сільський будинок культури, фойє
вул.Л.Українки, 6, с.Жаглівка, Городоцький р-н, Хмельницька обл., 32014","328","78","318","32","223","27","250","","0","223","27","250","2","248","1","12","211","0","0","18","2","1","3","29.10.12"
"680222","192","Хмельницька область","фельдшерсько-акушерський пункт, фойє
вул.Шевченка, 26, с.Тарасівка, Городоцький р-н, Хмельницька обл., 32014","128","22","126","19","89","17","106","","0","89","17","106","0","106","1","2","93","0","1","4","3","2","0","29.10.12"
"680223","192","Хмельницька область","адмінбудинок ТОВ ""Лісоводське"", актова зала
вул.Ткачука, 4, с.Лісоводи, Городоцький р-н, Хмельницька обл., 32046","920","328","915","66","529","63","592","","0","529","63","592","20","572","2","42","362","8","16","85","49","8","0","29.10.12"
"680224","192","Хмельницька область","будинок творчості, фойє
вул.Сугерова, 52, с.Лісоводи, Городоцький р-н, Хмельницька обл., 32046","1200","421","1185","58","721","58","779","","0","721","58","779","17","762","3","23","482","0","14","151","72","12","5","29.10.12"
"680225","192","Хмельницька область","сільський будинок культури, глядацька зала
пров.Шкільний, 9, с.Лісогірка, Городоцький р-н, Хмельницька обл., 32053","600","190","594","58","354","56","410","","0","354","56","410","9","401","5","10","313","0","4","56","1","12","0","29.10.12"
"680226","192","Хмельницька область","школа, фойє
вул.Героя Радянського Союзу Карася, 11, с.Немиринці, Городоцький р-н, Хмельницька обл., 32010","448","106","452","82","268","74","342","","0","268","74","342","12","330","2","16","217","3","7","51","2","31","1","29.10.12"
"680227","192","Хмельницька область","фельдшерсько-акушерський пункт, фойє
вул.Пушкіна, 20А, с.Дахнівка, Городоцький р-н, Хмельницька обл., 32010","96","30","95","8","58","8","66","","0","58","8","66","1","65","0","1","60","0","0","2","1","0","1","29.10.12"
"680228","192","Хмельницька область","сільський будинок культури, кімната художньої творчості
вул.Центральна, сільський будинок культури, с.Нове Поріччя, Городоцький р-н, Хмельницька обл., 32045","432","164","427","44","229","39","268","","0","229","39","268","4","264","3","5","205","0","9","30","7","3","2","29.10.12"
"680229","192","Хмельницька область","сільський клуб, глядацька зала
вул.Народна, сільський клуб, с.Старе Поріччя, Городоцький р-н, Хмельницька обл., 32045","248","73","241","45","133","42","175","","0","133","42","175","3","172","2","15","112","3","5","33","0","2","0","29.10.12"
"680230","192","Хмельницька область","сільська бібліотека, велика читальна зала
вул.Центральна, 84, с.Новий Світ, Городоцький р-н, Хмельницька обл., 32025","200","50","193","46","107","43","150","","0","107","43","150","0","150","1","4","112","0","2","19","1","11","0","29.10.12"
"680231","192","Хмельницька область","сільський будинок культури, фойє
вул.В.Чорновола, 13, с.Тростянець, Городоцький р-н, Хмельницька обл., 32025","192","52","186","31","109","31","140","","0","109","31","140","3","137","1","13","77","0","1","30","2","12","1","28.10.12"
"680232","192","Хмельницька область","сільський клуб, глядацька зала
вул.Б.Хмельницького, 50, с.Матвійківці, Городоцький р-н, Хмельницька обл., 32025","112","40","103","18","55","17","72","","0","55","17","72","2","70","0","4","46","0","0","18","1","1","0","28.10.12"
"680233","192","Хмельницька область","сільський будинок культури, фойє
вул.Центральна, 61, с.Остапківці, Городоцький р-н, Хмельницька обл., 32022","296","87","286","30","179","30","209","","0","179","30","209","11","198","3","3","15","63","2","16","90","1","5","29.10.12"
"680234","192","Хмельницька область","адмінбудинок сільськогосподарського товариства, фойє
вул.Лесі Українки, адмінбудинок сільськогосподарського товариства, с.Калитинці, Городоцький р-н, Хмельницька обл., 32022","72","20","69","13","39","13","52","","0","39","13","52","0","52","1","7","39","0","0","3","2","0","0","29.10.12"
"680235","192","Хмельницька область","магазин районного споживчого товариства, торговельна зала
вул.Садова, магазин районного споживчого товариства, с.Слобідка-Кузьминська, Городоцький р-н, Хмельницька обл., 32022","120","40","114","16","64","16","80","","0","64","16","80","2","78","0","3","60","0","1","14","0","0","0","29.10.12"
"680236","192","Хмельницька область","школа, спортивна зала
вул.Центральна, адмінбудинок сільськогосподарського товариства, с.Пільний Олексинець, Городоцький р-н, Хмельницька обл., 32050","600","203","594","69","334","63","397","","0","334","63","397","10","387","9","29","217","2","12","96","3","16","3","29.10.12"
"680237","192","Хмельницька область","сільський клуб, кінозала
вул.Жовтнева, сільський клуб, с.Слобідка-Олексинецька, Городоцький р-н, Хмельницька обл., 32026","112","25","108","17","70","17","87","","0","70","17","87","2","85","0","4","65","3","1","11","0","1","0","29.10.12"
"680238","192","Хмельницька область","сільський будинок культури, фойє
вул.І.Франка, сільський будинок культури, с.Підлісний Олексинець, Городоцький р-н, Хмельницька обл., 32026","544","159","539","58","328","57","385","","0","328","57","385","5","380","5","35","228","1","11","84","5","10","1","29.10.12"
"680239","192","Хмельницька область","сільський клуб, фойє
вул.Молодіжна, 80, с.Борщівка, Городоцький р-н, Хмельницька обл., 32041","496","172","487","49","276","48","324","","0","276","48","324","4","320","1","7","225","1","13","49","10","13","1","29.10.12"
"680240","192","Хмельницька область","сільський будинок культури, фойє
вул.Громова-Сельського, 47, с.Радковиця, Городоцький р-н, Хмельницька обл., 32040","336","103","333","33","203","30","233","","0","203","30","233","6","227","0","11","125","0","6","74","2","9","0","29.10.12"
"680241","192","Хмельницька область","школа, актова зала
вул.В.Чорновола, 70, с.Турчинці, Городоцький р-н, Хмельницька обл., 32042","400","129","388","54","222","49","271","","0","222","49","271","10","261","4","16","183","0","4","37","2","15","0","29.10.12"
"680242","192","Хмельницька область","школа, фойє
вул.Грушевського, 154, с.Скипче, Городоцький р-н, Хмельницька обл., 32064","448","151","447","59","242","55","297","","0","242","55","297","5","292","2","25","144","1","8","94","3","12","3","29.10.12"
"680243","192","Хмельницька область","адмінбудинок ТОВ ім.Чкалова, актова зала
вул.Чкалова, 8, с.Сирватинці, Городоцький р-н, Хмельницька обл., 32065","424","131","416","32","264","29","293","","0","264","29","293","13","280","3","17","174","1","5","71","6","3","0","29.10.12"
"680244","192","Хмельницька область","школа, актова зала
вул.Шкільна, 1, с.Стара Пісочна, Городоцький р-н, Хмельницька обл., 32062","408","111","396","64","237","60","297","","0","237","60","297","5","292","0","3","249","2","0","32","1","3","2","29.10.12"
"680245","192","Хмельницька область","фельдшерсько-акушерський пункт, актова зала
пров.Проскурівський, 3А, с.Нова Пісочна, Городоцький р-н, Хмельницька обл., 32063","216","57","214","29","135","24","159","","0","135","24","159","3","156","1","1","141","0","1","7","0","5","0","29.10.12"
"680246","192","Хмельницька область","сільський будинок культури, танцювальна зала
вул.Грушевського, 68, с.Хмелівка, Городоцький р-н, Хмельницька обл., 32021","232","73","224","41","121","38","159","","0","121","38","159","6","153","0","11","100","0","0","30","5","5","2","29.10.12"
"680247","192","Хмельницька область","сільський будинок культури, глядацька зала
вул.Шевченка, 102, с.Хоптинці, Городоцький р-н, Хмельницька обл., 32012","416","140","410","23","253","23","276","","0","253","23","276","4","272","0","16","128","1","6","99","6","15","1","29.10.12"
"680248","192","Хмельницька область","сільський клуб, глядацька зала
вул.І.Кучера, 56, с.Куманів, Городоцький р-н, Хмельницька обл., 32013","344","88","334","30","226","30","256","","0","226","30","256","6","250","3","14","119","2","6","102","2","1","1","29.10.12"
"680249","192","Хмельницька область","фельдшерсько-акушерський пункт, коридор
вул.Л.Українки, фельдшерсько-акушерський пункт, с.Вигнанка, Городоцький р-н, Хмельницька обл., 32013","64","9","61","11","44","11","55","","0","44","11","55","1","54","0","0","40","0","2","12","0","0","0","29.10.12"
"680250","192","Хмельницька область","сільський будинок культури, танцювальна зала
вул.Центральна, 37, с.Чорниводи, Городоцький р-н, Хмельницька обл., 32008","1576","698","1572","117","772","106","878","","0","772","106","878","22","856","9","25","679","2","3","114","16","6","2","29.10.12"
"680251","192","Хмельницька область","сільський клуб, глядацька зала
вул.Л.Українки, 24, с.Мудриголови, Городоцький р-н, Хмельницька обл., 32009","424","166","414","24","236","22","258","","0","236","22","258","8","250","1","9","180","0","2","34","3","21","0","29.10.12"
"680252","192","Хмельницька область","сільський клуб, актова зала
вул.Шевченка, 28, с.Папірня, Городоцький р-н, Хмельницька обл., 32008","112","20","113","7","85","7","92","","0","85","7","92","2","90","0","0","66","2","2","15","2","3","0","29.10.12"
"680253","192","Хмельницька область","сільська рада, актова зала
вул.Соборна, 29, с.Юринці, Городоцький р-н, Хмельницька обл., 32030","984","422","970","26","537","25","562","","0","537","25","562","9","553","16","31","349","3","15","105","16","14","4","29.10.12"
"680254","192","Хмельницька область","школа, кабінет української мови
вул.Л.Українки, 10, с.Сатанівка, Городоцький р-н, Хмельницька обл., 32033","360","115","349","16","229","16","245","","0","229","16","245","4","241","4","17","145","0","11","54","4","6","0","29.10.12"
"680255","192","Хмельницька область","фельдшерсько-акушерський пункт, каб.1
вул.Гоголя, 2, с.Олександрівка, Городоцький р-н, Хмельницька обл., 32030","136","29","134","11","97","10","107","","0","97","10","107","2","105","2","4","58","0","3","30","1","6","1","29.10.12"
"680256","192","Хмельницька область","сільський клуб, фойє
вул.Ветеранів, 2А, с.Зверхівці, Городоцький р-н, Хмельницька обл., 32032","200","49","200","25","130","21","151","","0","130","21","151","1","150","1","12","88","0","7","34","1","6","1","29.10.12"
"680313","192","Хмельницька область","КУ ""Дунаєвецька станція юних натуралістів""
вул.Красінських, 22/1, м.Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32400","1576","719","1552","7","850","7","857","","0","850","7","857","28","829","53","175","277","3","117","182","11","5","6","29.10.12"
"680314","192","Хмельницька область","НВК гімназія, актовий зал
вул.Шевченка, 58, м.Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32400","1928","793","1936","21","1115","20","1135","","0","1115","20","1135","34","1101","65","136","406","11","185","261","14","14","9","29.10.12"
"680315","192","Хмельницька область","будинок культури, фойє
вул.Красінських, 10, м.Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32400","1848","725","1833","15","1109","14","1123","","0","1109","14","1123","28","1095","71","139","389","7","195","256","16","8","14","29.10.12"
"680316","192","Хмельницька область","школа №2, спорт зал
вул.Красінських, 1, м.Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32400","1872","716","1864","12","1144","12","1156","","0","1144","12","1156","29","1127","59","179","325","7","167","362","13","7","8","28.10.12"
"680317","192","Хмельницька область","школа №4, столова
вул.Київська, 16, м.Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32400","2440","1038","2417","28","1377","25","1402","","0","1377","25","1402","41","1361","71","161","566","9","229","239","53","16","17","29.10.12"
"680318","192","Хмельницька область","школа №3, їдальня
вул.Шевченка, 109А, м.Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32400","2008","832","1989","52","1130","46","1176","","0","1130","46","1176","62","1114","67","170","390","3","217","232","19","7","9","03.11.12"
"680319","192","Хмельницька область","зал засідань ЦРЛ, зал засідань
вул.Горького, 7, м.Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32400","648","231","655","2","415","2","417","","0","415","2","417","10","407","26","36","157","3","73","9","96","4","3","29.10.12"
"680320","192","Хмельницька область","школа, спорт зал
пров.Ювілейний, 1, с.Мушкутинці, м.Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32400","616","235","608","17","364","17","381","","0","364","17","381","21","360","16","72","169","4","49","37","2","8","3","29.10.12"
"680321","192","Хмельницька область","школа, фойє
вул.Першотравнева, 12, смт Дунаївці, Дунаєвецький р-н, Хмельницька обл., 32413","2048","818","2019","60","1170","60","1230","","0","1170","60","1230","35","1195","13","610","435","1","59","60","11","3","3","29.10.12"
"680322","192","Хмельницька область","школа, спортзал
вул.Жовтнева, 90, смт Смотрич, Дунаєвецький р-н, Хмельницька обл., 32423","832","367","817","18","448","17","465","","0","448","17","465","7","458","7","81","231","1","30","87","8","9","4","28.10.12"
"680323","192","Хмельницька область","селищна рада, фойє
вул.Радянська, 8, смт Смотрич, Дунаєвецький р-н, Хмельницька обл., 32423","936","381","948","52","507","48","555","","0","507","48","555","11","544","17","69","317","1","49","76","3","10","2","28.10.12"
"680324","192","Хмельницька область","сільський клуб, зал
вул.Леніна, 26, с.Криничани, Дунаєвецький р-н, Хмельницька обл., 32423","232","70","226","23","139","23","162","","0","139","23","162","5","157","2","12","89","2","12","36","3","0","1","28.10.12"
"680325","192","Хмельницька область","будинок культури, фойє
вул.Учительська, 16, с.Балин, Дунаєвецький р-н, Хмельницька обл., 32440","1552","652","1549","56","847","53","900","","0","847","53","900","26","874","19","92","545","5","92","105","10","3","3","29.10.12"
"680326","192","Хмельницька область","будинок культури, зал засідань
вул.Центральна, 72, с.Великий Жванчик, Дунаєвецький р-н, Хмельницька обл., 32473","1152","492","1137","64","608","52","660","","0","608","52","660","23","637","27","75","346","5","68","102","10","3","1","28.10.12"
"680327","192","Хмельницька область","фельдшерсько-акушерський пункт, оглядова
вул.Грушевського, 63, с.Малий Жванчик, Дунаєвецький р-н, Хмельницька обл., 32473","192","52","180","16","124","16","140","","0","124","16","140","0","140","0","37","73","0","14","16","0","0","0","29.10.12"
"680328","192","Хмельницька область","сільський клуб, глядацький зал
вул.Шкільна, 3, с.Велика Кужелева, Дунаєвецький р-н, Хмельницька обл., 32464","472","133","471","61","278","61","339","","0","278","61","339","12","327","7","120","127","2","23","45","2","1","0","29.10.12"
"680329","192","Хмельницька область","будинок культури, актовий зал
вул.І.Франка, 61, с.Велика Побійна, Дунаєвецький р-н, Хмельницька обл., 32471","776","216","772","79","486","74","560","","0","486","74","560","17","543","17","64","351","2","40","62","7","0","0","29.10.12"
"680330","192","Хмельницька область","будинок культури, фойє
вул.Леніна, 88, с.Вихрівка, Дунаєвецький р-н, Хмельницька обл., 32436","352","85","345","21","246","21","267","","0","246","21","267","3","264","2","23","188","1","17","30","3","0","0","28.10.12"
"680331","192","Хмельницька область","дитячий садок, ігрова кімната
вул.Войкова, 76, с.Пільний Мукарів, Дунаєвецького р-н, Хмельницька обл., 32436","280","92","276","22","167","21","188","","0","167","21","188","6","182","6","15","122","3","18","13","1","2","2","28.10.12"
"680332","192","Хмельницька область","будинок культури, актовий зал
вул.Шевченка, 58Б, с.Воробіївка, Дунаєвецький р-н, Хмельницька обл., 32450","616","178","608","41","399","39","438","","0","399","39","438","19","419","16","49","218","3","23","102","2","2","4","29.10.12"
"680333","192","Хмельницька область","школа, фойє
вул.Центральна, 15, с.Ганнівка, Дунаєвецький р-н, Хмельницька обл., 32425","520","166","517","30","324","30","354","","0","324","30","354","8","346","5","42","243","2","20","24","6","3","1","28.10.12"
"680334","192","Хмельницька область","будинок культури, танцювальний зал
вул.Центральна, 18, с.Гірчична, Дунаєвецький р-н, Хмельницька обл., 32460","512","154","503","55","306","52","358","","0","306","52","358","13","345","6","106","173","2","25","30","2","0","1","29.10.12"
"680335","192","Хмельницька область","будинок культури, танцювальний зал
вул.Шевченка, 16, с.Голозубинці, Дунаєвецький р-н, Хмельницька обл., 32466","736","250","716","14","476","10","486","","0","476","10","486","27","459","21","92","216","0","67","51","3","4","5","29.10.12"
"680336","192","Хмельницька область","сільський клуб, глядацький зал
вул.Молодіжна, 44А, с.Гута-Яцьковецька, Дунаєвецький р-н, Хмельницька обл., 32456","376","137","371","61","185","54","239","","0","185","54","239","2","237","3","44","129","3","37","19","1","1","0","28.10.12"
"680337","192","Хмельницька область","сільський клуб, глядацький зал
вул.Молодіжна, 1А, с.Ксаверівка, Дунаєвецький р-н, Хмельницька обл., 32456","168","62","163","25","81","25","106","","0","81","25","106","1","105","2","17","59","1","13","7","1","1","4","28.10.12"
"680338","192","Хмельницька область","приміщення колишньої школи, к.2
вул.Рокосовського, 1/1, с.Дем’янківці, Дунаєвецький р-н, Хмельницька обл., 32461","432","123","431","22","288","21","309","","0","288","21","309","6","303","15","49","116","1","33","81","4","3","1","29.10.12"
"680339","192","Хмельницька область","сільський клуб, глядацький зал
вул.Центральна, 39, с.Держанівка, Дунаєвецький р-н, Хмельницька обл., 32462","280","91","271","14","178","11","189","","0","178","11","189","7","182","5","30","100","1","24","20","1","0","1","28.10.12"
"680340","192","Хмельницька область","фельдшерський пункт, оглядова
вул.Нагірна, 7, с.Антонівка, Дунаєвецький р-н, Хмельницька обл., 32462","104","14","101","7","83","7","90","","0","83","7","90","1","89","1","12","59","1","6","6","2","0","2","28.10.12"
"680341","192","Хмельницька область","будинок культури, танцювальний зал
вул.Леніна, 5, с.Залісці, Дунаєвецький р-н, Хмельницька обл., 32444","976","347","969","86","547","82","629","","0","547","82","629","16","613","20","43","344","4","106","4","9","1","82","29.10.12"
"680342","192","Хмельницька область","будинок культури, фойє
вул.Центральна, 37, с.Зеленче, Дунаєвецький р-н, Хмельницька обл., 32400","864","345","854","57","465","54","519","","0","465","54","519","13","506","13","49","304","1","74","52","7","2","4","29.10.12"
"680343","192","Хмельницька область","будинок культури, фойє
вул.Шкільна, 30, с.Іванківці, Дунаєвецький р-н, Хмельницька обл., 32462","616","197","608","35","385","34","419","","0","385","34","419","11","408","7","43","248","2","42","60","2","2","2","28.10.12"
"680344","192","Хмельницька область","школа, актовий зал
вул.Шкільна, 1, с.Лисець, Дунаєвецький р-н, Хмельницька обл., 32472","684","187","682","50","447","50","497","","0","447","50","497","11","486","8","39","312","5","71","42","2","6","1","29.10.12"
"680345","192","Хмельницька область","будинок культури, актовий зал
вул.Братів Сварників, 21Б, с.Лисогірка, Дунаєвецький р-н, Хмельницька обл., 32420","280","96","284","24","160","24","184","","0","160","24","184","4","180","6","30","107","1","22","10","2","2","0","29.10.12"
"680346","192","Хмельницька область","будинок культури, глядацький зал
вул.Центральна, 116А, с.Лошківці, Дунаєвецький р-н, Хмельницька обл., 32414","808","262","817","72","475","71","546","","0","475","71","546","8","538","3","285","182","0","22","38","8","0","0","29.10.12"
"680347","192","Хмельницька область","Маківський будинок культури, танцювальний зал
вул.Чапаєва, 24, с.Маків, Дунаєвецький р-н, Хмельницька обл., 32445","2440","1133","2424","74","1249","58","1307","","0","1249","58","1307","30","1277","46","280","548","6","154","205","7","19","12","29.10.12"
"680348","192","Хмельницька область","Шатавський НВК, спортзал
вул.Хмельницьке шосе, 31, с.Шатава, Дунаєвецький р-н, Хмельницька обл., 32445","1248","562","1245","42","645","41","686","","0","645","41","686","22","664","16","161","295","4","52","118","4","7","7","29.10.12"
"680349","192","Хмельницька область","школа, фойє
вул.Хмельницьке шосе, 79, с.Слобідка-Рахнівська, Дунаєвецький р-н, Хмельницька обл., 32445","568","154","565","47","369","45","414","","0","369","45","414","8","406","12","111","163","2","57","53","3","2","3","29.10.12"
"680350","192","Хмельницька область","школа, актовий зал
вул.Спортивна, 35А, с.Маліївці, Дунаєвецький р-н, Хмельницька обл., 32432","632","208","624","76","352","72","424","","0","352","72","424","13","411","9","107","210","3","42","33","2","5","0","29.10.12"
"680351","192","Хмельницька область","сільський клуб, глядацький зал
вул.Першотравнева, 12А, с.Сприсівка, Дунаєвецький р-н, Хмельницька обл., 32432","136","36","136","17","84","16","100","","0","84","16","100","2","98","2","27","45","1","2","12","7","2","0","28.10.12"
"680352","192","Хмельницька область","школа, актовий зал
вул.Центральна, 11, с.Малий Карабчіїв, Дунаєвецький р-н, Хмельницька обл., 32411","352","108","349","31","215","29","244","","0","215","29","244","13","231","6","43","133","0","30","15","3","1","0","28.10.12"
"680353","192","Хмельницька область","будинок культури, фойє
вул.Героїв-визволителів, 8А, с.Мала Кужелівка, Дунаєвецький р-н, Хмельницька обл., 32437","432","136","418","45","253","43","296","","0","253","43","296","8","288","8","48","168","1","24","37","1","0","1","28.10.12"
"680354","192","Хмельницька область","фельдшерсько-акушерський пункт, оглядова
вул.Колгоспна, 4, с.Синяківці, Дунаєвецький р-н, Хмельницька обл., 32437","216","55","214","24","137","24","161","","0","137","24","161","2","159","3","37","97","2","7","11","2","0","0","29.10.12"
"680355","192","Хмельницька область","будинок культури, фойє
вул.Шевченка, 39, с.Мала Побіянка, Дунаєвецький р-н, Хмельницька обл., 32470","384","115","371","33","240","29","269","","0","240","29","269","6","263","5","64","135","4","26","23","2","1","3","28.10.12"
"680356","192","Хмельницька область","фельдшерський пункт, к.2
вул.Гагаріна, 32А, с.Притулівка, Дунаєвецький р-н, Хмельницька обл., 32470","112","40","108","8","64","8","72","","0","64","8","72","1","71","1","8","31","0","14","16","0","1","0","28.10.12"
"680357","192","Хмельницька область","будинок культури, актовий зал
вул.Радянська, 59/1, с.Миньківці, Дунаєвецький р-н, Хмельницька обл., 32463","744","261","742","38","447","36","483","","0","447","36","483","10","473","18","67","203","1","69","106","4","4","1","29.10.12"
"680358","192","Хмельницька область","сільський клуб, актовий зал
вул.Гагаріна, 37/1, с.Катеринівка, Дунаєвецький р-н, Хмельницька обл., 32463","128","40","130","4","85","3","88","","0","85","3","88","3","85","3","14","35","0","8","16","0","5","4","28.10.12"
"680359","192","Хмельницька область","сільський клуб, актовий зал
вул.Шкільна, 3/1, с.Городиська, Дунаєвецький р-н, Хмельницька обл., 32463","104","26","102","4","74","4","78","","0","74","4","78","2","76","3","10","39","1","11","5","2","4","1","28.10.12"
"680360","192","Хмельницька область","сільський клуб, актовий зал
вул.1-Травня, 27А, с.Блищанівка, Дунаєвецький р-н, Хмельницька обл., 32454","352","106","344","41","206","40","246","","0","206","40","246","9","237","8","61","107","0","27","25","5","3","1","28.10.12"
"680361","192","Хмельницька область","сільський клуб, актовий зал
вул.Федоришена, 77Б, с.Михайлівка, Дунаєвецький р-н, Хмельницька обл., 32454","344","123","328","33","191","30","221","","0","191","30","221","8","213","3","25","135","1","25","21","0","3","0","28.10.12"
"680362","192","Хмельницька область","будинок культури, танцювальний зал
вул.Б.Хмельницького, 34, с.Міцівці, Дунаєвецький р-н, Хмельницька обл., 32430","1136","274","1129","109","753","109","862","","0","753","109","862","14","848","6","67","639","1","70","55","6","2","2","29.10.12"
"680363","192","Хмельницька область","будинок культури, актовий зал
вул.Леніна, 22, с.Морозів, Дунаєвецький р-н, Хмельницька обл., 32434","512","131","502","39","342","39","381","","0","342","39","381","12","369","10","17","273","1","38","18","8","3","1","29.10.12"
"680364","192","Хмельницька область","сільський клуб, актовий зал
вул.1-го Травня, 7, с.Гута-Морозівська, Дунаєвецький р-н, Хмельницька обл., 32434","152","40","143","10","102","10","112","","0","102","10","112","3","109","0","7","98","0","1","2","1","0","0","29.10.12"
"680365","192","Хмельницька область","будинок культури, актовий зал
вул.Центральна, 28А, с.Нестерівці, Дунаєвецький р-н, Хмельницька обл., 32424","1008","380","997","111","527","101","628","","0","527","101","628","19","609","13","110","338","2","55","76","9","4","2","28.10.12"
"680366","192","Хмельницька область","будинок культури, актовий зал
вул.Центральна, 50, с.Підлісний Мукарів, Дунаєвецький р-н, Хмельницька обл., 32435","672","248","666","69","356","68","424","","0","356","68","424","11","413","16","62","194","1","30","103","5","2","0","29.10.12"
"680367","192","Хмельницька область","школа, хол
вул.Шкільна, 1А, с.Рахнівка, Дунаєвецький р-н, Хмельницька обл., 32452","584","156","587","20","410","18","428","","0","410","18","428","12","416","7","60","224","0","33","82","3","5","2","29.10.12"
"680368","192","Хмельницька область","сільський клуб, хол
вул.Тернавська, 1А, с.Кривчик, Дунаєвецький р-н, Хмельницька обл., 32400","472","137","470","87","248","87","335","","0","248","87","335","7","328","10","48","226","4","21","17","0","2","0","29.10.12"
"680369","192","Хмельницька область","сільський клуб, фойє
вул.Миру, 46А, с.Рачинці, Дунаєвецький р-н, Хмельницька обл., 32467","504","178","494","34","293","33","326","","0","293","33","326","14","312","15","84","161","2","17","27","2","2","2","29.10.12"
"680370","192","Хмельницька область","сільський будинок культури, танцювальний зал
вул.1-Травня, 10, с.Рудка, Дунаєвецький р-н, Хмельницька обл., 32421","568","165","559","25","379","24","403","","0","379","24","403","11","392","11","43","254","0","29","45","8","2","0","28.10.12"
"680371","192","Хмельницька область","школа, кл.2
вул.Леніна, 60, с.Сивороги, Дунаєвецький р-н, Хмельницька обл., 32465","280","80","274","26","176","24","200","","0","176","24","200","10","190","9","56","99","3","12","9","0","2","0","29.10.12"
"680372","192","Хмельницька область","фельдшерський пункт, хол
вул.Миру, 52А, с.Соснівка, Дунаєвецький р-н, Хмельницька обл., 32465","120","33","119","10","77","10","87","","0","77","10","87","0","87","2","5","59","0","7","11","3","0","0","28.10.12"
"680373","192","Хмельницька область","сільський клуб, танцювальний зал
вул.Шевченка, 15, с.Січинці, Дунаєвецький р-н, Хмельницька обл., 32451","712","201","708","31","480","31","511","","0","480","31","511","26","485","35","47","242","5","44","108","3","1","0","29.10.12"
"680374","192","Хмельницька область","сільський клуб, танцювальний зал
вул.50-річчя Перемоги, 22Г, с.Панасівка, Дунаєвецький р-н, Хмельницька обл., 32400","280","80","277","23","178","22","200","","0","178","22","200","7","193","12","26","89","0","19","39","3","2","3","28.10.12"
