"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беспалов
Дмитро
Анатолійович","Божук
Олександр
Миколайович","Гуцул
Іван
Володимирович","Кліщ
Віктор
Васильович","Коліщак
Віктор
Михайлович","Кушнір
Віктор
Миколайович","Лабазюк
Сергій
Петрович","Мазуренко
Андрій
Вікторович","Мовчан
Віталій
Андрійович","Плюта
Вадим
Олександрович","Селіфонтьєв
Сергій
Іванович","Співачук
Вадим
Володимирович","Теленько
Богдан
Петрович","Туркот
Микола
Петрович","Шевчук
Анатолій
Петрович","Шемчук
Олександр
Олександрович","Дата підписання протоколу"
"680156","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Леніна, 37, с.Поляни, Волочиський р-н, Хмельницька обл., 31244","644","185","631","53","412","47","459","","0","412","47","459","13","446","20","2","5","0","35","0","358","2","15","2","0","0","2","3","1","1","29.10.12"
"680157","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 2, с.Канівка, Волочиський р-н, Хмельницька обл., 31244","168","42","168","16","114","12","126","","0","114","12","126","3","123","2","0","2","0","2","1","114","0","1","1","0","0","0","0","0","0","29.10.12"
"680158","188","Хмельницька область","фельдшерсько-акушерський пункт, кабінет завфапом
вул.Центральна, 1, с.Петрівка, Волочиський р-н, Хмельницька обл., 31244","88","16","85","11","61","11","72","","0","61","11","72","2","70","5","0","0","1","12","1","47","1","1","0","0","0","0","2","0","0","30.10.12"
"680159","188","Хмельницька область","сільський будинок культури, фойє
вул.Шкільна, 3А, с.Попівці, Волочиський р-н, Хмельницька обл., 31222","316","32","313","35","249","35","284","","0","249","35","284","2","282","3","0","0","0","21","1","251","1","5","0","0","0","0","0","0","0","29.10.12"
"680160","188","Хмельницька область","колишня школа, фойє
вул.Центральна, 19А, с.Великі Жеребки, Волочиський р-н, Хмельницька обл., 31222","152","24","148","10","119","9","128","","0","119","9","128","3","125","11","0","4","2","21","0","78","0","7","0","0","0","0","0","1","1","29.10.12"
"680161","188","Хмельницька область","фельдшерсько-акушерський пункт, фойє
вул.Берегова, 8, с.Червоний Кут, Волочиський р-н, Хмельницька обл., 31222","104","16","100","8","80","8","88","","0","80","8","88","2","86","2","0","1","0","21","2","60","0","0","0","0","0","0","0","0","0","28.10.12"
"680162","188","Хмельницька область","школа, фойє
вул.Гагаріна, 10, с.Порохня, Волочиський р-н, Хмельницька обл., 31255","368","107","360","50","214","47","261","","0","214","47","261","4","257","17","2","3","1","33","1","183","1","12","0","0","3","0","1","0","0","29.10.12"
"680163","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 28А, с.Рябіївка, Волочиський р-н, Хмельницька обл., 31225","260","48","259","28","189","23","212","","0","189","23","212","1","211","33","2","5","1","65","2","87","0","9","1","2","1","1","0","0","2","29.10.12"
"680164","188","Хмельницька область","фельдшерсько-акушерський пункт, кабінет фельдшера
вул.Центральна, 21, с.Гонорівка, Волочиський р-н, Хмельницька обл., 31224","92","16","88","16","61","15","76","","0","61","15","76","3","73","2","0","1","2","34","0","30","0","4","0","0","0","0","0","0","0","29.10.12"
"680165","188","Хмельницька область","сільський будинок культури, фойє, 1-й поверх
вул.Центральна, 42, с.Сарнів, Волочиський р-н, Хмельницька обл., 31258","280","57","279","32","192","31","223","","0","192","31","223","4","219","6","6","1","3","50","3","143","1","4","0","1","0","0","0","0","1","28.10.12"
"680166","188","Хмельницька область","колишня школа, к.1
вул.Лесі Українки, 2, с.Куровечка, Волочиський р-н, Хмельницька обл., 31258","124","23","123","23","79","22","101","","0","79","22","101","2","99","16","0","4","2","31","1","41","1","1","0","0","0","0","1","1","0","31.10.12"
"680167","188","Хмельницька область","сільський будинок культури, танцювальна зала
вул.Центральна, 19А, с.Соломна, Волочиський р-н, Хмельницька обл., 31272","796","241","792","64","492","63","555","","0","492","63","555","19","536","49","16","6","11","140","5","237","3","35","6","0","3","4","10","0","11","29.10.12"
"680168","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 20Б, с.Гречана, Волочиський р-н, Хмельницька обл., 31273","440","164","432","18","258","18","276","","0","258","18","276","6","270","36","1","9","4","58","1","124","3","19","4","3","1","1","5","0","1","29.10.12"
"680169","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 47Б, с.Раціборівка, Волочиський р-н, Хмельницька обл., 31272","76","16","75","8","53","7","60","","0","53","7","60","2","58","5","1","1","2","16","1","17","0","5","7","0","0","0","1","1","1","29.10.12"
"680170","188","Хмельницька область","сільський будинок культури, глядацька зала, 1-й поверх
вул.Незалежності, 23, с.Тарноруда, Волочиський р-н, Хмельницька обл., 31245","456","137","447","48","276","43","319","","0","276","43","319","4","315","13","0","18","6","113","3","153","0","6","2","0","0","1","0","0","0","29.10.12"
"680171","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Центральна, 4, с.Трительники, Волочиський р-н, Хмельницька обл., 31262","220","76","219","25","124","20","144","","0","124","20","144","5","139","8","2","0","2","62","1","57","0","4","1","0","0","1","0","1","0","29.10.12"
"680172","188","Хмельницька область","сільський клуб, бібліотека
вул.Центральна, 1, с.Баглаї, Волочиський р-н, Хмельницька обл., 31263","176","41","173","29","108","27","135","","0","108","27","135","7","128","53","0","0","0","46","2","23","0","2","1","0","0","0","1","0","0","29.10.12"
"680173","188","Хмельницька область","сільський будинок культури, фойє
вул.Леніна, 14, с.Федірки, Волочиський р-н, Хмельницька обл., 31246","380","114","376","38","231","35","266","","0","231","35","266","10","256","13","2","2","2","85","2","128","0","16","0","0","0","1","3","0","2","04.11.12"
"680174","188","Хмельницька область","сільський клуб, глядацька зала
вул.Миру, 8, с.Мирівка, Волочиський р-н, Хмельницька обл., 31247","316","71","314","49","198","47","245","","0","198","47","245","2","243","22","3","1","1","41","3","158","1","11","0","0","0","1","1","0","0","29.10.12"
"680175","188","Хмельницька область","сільський клуб, фойє
вул.Чапаєва, 2, с.Ріпна, Волочиський р-н, Хмельницька обл., 31248","388","111","379","35","243","34","277","","0","243","34","277","3","274","11","1","2","0","24","3","223","0","3","1","0","0","0","6","0","0","28.10.12"
"680176","188","Хмельницька область","сільський клуб, глядацька зала
вул.Валентини Терешкової, 1, с.Холодець, Волочиський р-н, Хмельницька обл., 31223","260","47","260","8","206","7","213","","0","206","7","213","3","210","29","1","4","4","51","1","109","0","6","0","0","0","2","0","3","0","28.10.12"
"680177","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Гагаріна, 20, с.Кушнирівка, Волочиський р-н, Хмельницька обл., 31224","212","35","214","42","138","39","177","","0","138","39","177","2","175","28","0","0","3","44","1","90","0","6","2","0","0","0","1","0","0","29.10.12"
"680178","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Б.Хмельницького, 17А, с.Чернява, Волочиський р-н, Хмельницька обл., 31232","304","94","302","19","193","17","210","","0","193","17","210","6","204","22","0","9","4","38","5","109","0","6","1","0","2","3","1","2","2","29.10.12"
"680179","188","Хмельницька область","сільський клуб, глядацька зала
вул.Б.Хмельницького, 2А, с.Глядки, Волочиський р-н, Хмельницька обл., 31233","260","65","255","25","173","22","195","","0","173","22","195","7","188","17","3","1","3","40","2","115","0","2","3","0","0","0","1","1","0","29.10.12"
"680180","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Радянська, 64, с.Чухелі, Волочиський р-н, Хмельницька обл., 31221","508","129","502","53","326","53","379","","0","326","53","379","13","366","19","3","5","4","92","4","196","1","29","3","0","2","0","6","2","0","29.10.12"
"680181","188","Хмельницька область","сільський клуб, глядацька зала
вул.Анатолія Лемешка, 32, с.Левківці, Волочиський р-н, Хмельницька обл., 31221","72","18","71","8","46","8","54","","0","46","8","54","1","53","6","0","1","0","4","0","40","0","0","0","0","0","1","1","0","0","29.10.12"
"680182","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Шкільна, 3, с.Шмирки, Волочиський р-н, Хмельницька обл., 31231","276","62","270","35","181","33","214","","0","181","33","214","2","212","2","1","2","1","11","0","188","1","0","0","2","0","0","4","0","0","29.10.12"
"680183","188","Хмельницька область","сільський клуб, глядацька зала
вул.Перемоги, 2, с.Личівка, Волочиський р-н, Хмельницька обл., 31231","184","52","178","24","108","24","132","","0","108","24","132","0","132","14","0","1","1","15","0","92","0","6","1","0","0","0","2","0","0","29.10.12"
"680184","188","Хмельницька область","школа, вестибюль, 1-й поверх
вул.Шкільна, 10, с.Щаснівка, Волочиський р-н, Хмельницька обл., 31210","592","183","589","48","364","45","409","","0","364","45","409","9","400","23","0","13","3","60","1","286","1","6","0","1","0","2","0","1","3","29.10.12"
"680185","188","Хмельницька область","сільський будинок культури, фойє
вул.Центральна, 37, с.Яхнівці, Волочиський р-н, Хмельницька обл., 31212","580","212","571","70","301","67","368","","0","301","67","368","7","361","30","5","2","1","47","1","227","2","35","1","0","3","0","4","2","1","29.10.12"
"680186","188","Хмельницька область","сільський клуб, фойє
вул.ім.Примуда Станіслава Йосиповича, 17, с.Лонки, Волочиський р-н, Хмельницька обл., 31216","420","102","418","100","219","99","318","","0","219","99","318","5","313","16","2","5","2","57","0","216","1","7","2","1","1","0","3","0","0","29.10.12"
"681062","188","Хмельницька область","школа, к.2
вул.Центральна, 16, с.Андрійківці, Хмельницький р-н, Хмельницька обл., 31355","452","131","451","25","299","22","321","","0","299","22","321","17","304","14","0","16","5","124","5","110","0","8","10","2","3","2","3","2","0","28.10.12"
"681063","188","Хмельницька область","будинок культури, к.2
вул.Центральна, будинок культури, с.Антонівка, Хмельницький р-н, Хмельницька обл., 31310","392","121","378","30","241","30","271","","0","241","30","271","7","264","48","0","6","9","125","3","30","0","14","13","2","2","0","10","0","2","28.10.12"
"681064","188","Хмельницька область","сільська рада, к.2
вул.Літвінова, 6, с.Аркадіївці, Хмельницький р-н, Хмельницька обл., 31321","364","129","356","45","191","44","235","","0","191","44","235","6","229","30","3","6","5","68","4","93","2","11","1","0","1","2","1","2","0","28.10.12"
"681065","188","Хмельницька область","будинок культури, к.2
вул.Дружби Народів, будинок культури, с.Бахматівці, Хмельницький р-н, Хмельницька обл., 31344","472","160","481","77","251","61","312","","0","251","61","312","7","305","29","0","5","3","133","5","104","3","14","1","0","0","1","4","1","2","28.10.12"
"681066","188","Хмельницька область","школа, кл.2
вул.Молодіжна, 45, с.Бережанка, Хмельницький р-н, Хмельницька обл., 31332","300","83","297","42","180","37","217","","0","180","37","217","4","213","37","0","0","4","97","1","48","0","8","2","2","1","1","11","0","1","29.10.12"
"681067","188","Хмельницька область","КП ""Комунальник СБ"", к.2
вул.Першотравнева, 7/1, с-ще Богданівці, Хмельницький р-н, Хмельницька обл., 31346","1120","504","1107","10","606","10","616","","0","606","10","616","15","601","79","2","58","14","194","10","76","6","113","22","1","2","3","16","3","2","04.11.12"
"681068","188","Хмельницька область","сільський клуб, к.2
вул.Центральна, 1/3, с.Велика Калинівка, Хмельницький р-н, Хмельницька обл., 31312","296","103","291","25","175","18","193","","0","175","18","193","7","186","30","2","3","4","117","1","17","2","8","2","0","0","0","0","0","0","28.10.12"
"681069","188","Хмельницька область","школа, кл.2
вул.Центральна, 17, с.Везденьки, Хмельницький р-н, Хмельницька обл., 31306","228","67","222","24","137","24","161","","0","137","24","161","9","152","23","0","4","4","73","3","27","0","9","1","1","2","0","3","1","1","04.11.12"
"681070","188","Хмельницька область","сільський клуб, к.2
вул.Леніна, 31, с.Вищі Вовківці, Хмельницький р-н, Хмельницька обл., 31355","156","44","157","16","96","16","112","","0","96","16","112","8","104","25","0","5","1","33","0","23","0","10","3","0","1","1","0","2","0","28.10.12"
"681071","188","Хмельницька область","бібліотека, к.2
вул.Нова, 28, с.Вовча Гора, Хмельницький р-н, Хмельницька обл., 31311","784","313","785","32","446","25","471","","0","446","25","471","12","459","90","2","13","12","190","6","76","3","35","10","0","2","4","7","1","8","28.10.12"
"681072","188","Хмельницька область","школа, к.2
вул.Подільська, 9, с.Водички, Хмельницький р-н, Хмельницька обл., 31334","368","107","367","53","212","49","261","","0","212","49","261","6","255","20","0","19","7","156","2","19","2","11","4","0","2","0","12","0","1","28.10.12"
"681073","188","Хмельницька область","сільський клуб, к.2
вул.Центральна, 8, с.Волиця, Хмельницький р-н, Хмельницька обл., 31335","328","120","326","20","190","18","208","","0","190","18","208","6","202","96","0","11","4","54","1","17","0","4","8","0","0","2","3","0","2","29.10.12"
"681074","188","Хмельницька область","будинок культури, к.2
вул.Соборна, 46, с.Гвардійське, Хмельницький р-н, Хмельницька обл., 31352","1796","751","1757","60","994","51","1045","","0","994","51","1045","14","1031","176","3","40","6","253","6","392","5","92","5","0","6","36","4","2","5","28.10.12"
"681075","188","Хмельницька область","будинок культури, к.2
вул.Центральна, 58, с.Гелетинці, Хмельницький р-н, Хмельницька обл., 31351","500","163","498","89","256","81","337","","0","256","81","337","5","332","56","0","8","10","181","8","30","1","10","16","0","1","1","8","1","1","29.10.12"
"681076","188","Хмельницька область","будинок культури, к.2
вул.Центральна, 24, с.Гнатівці, Хмельницький р-н, Хмельницька обл., 31324","400","147","395","27","227","26","253","","0","227","26","253","6","247","18","1","3","8","123","2","69","0","17","0","0","1","0","5","0","0","28.10.12"
"681077","188","Хмельницька область","будинок культури, к.2
вул.Центральна, 64, с.Грузевиця, Хмельницький р-н, Хмельницька обл., 31317","1756","662","1718","45","1054","40","1094","","0","1054","40","1094","28","1066","250","5","47","20","377","16","195","9","72","22","5","4","6","24","5","9","29.10.12"
"681078","188","Хмельницька область","школа, кл.2
вул.Гавришка, 70, с.Давидківці, Хмельницький р-н, Хмельницька обл., 31341","1596","648","1579","40","909","39","948","","0","909","39","948","21","927","225","4","33","20","256","11","176","3","149","15","4","3","9","8","6","5","29.10.12"
"681079","188","Хмельницька область","магазин, к.2
вул.Висока, 5, с.Данюки, Хмельницький р-н, Хмельницька обл., 31333","136","44","135","13","80","12","92","","0","80","12","92","3","89","6","0","7","2","52","1","11","1","5","4","0","0","0","0","0","0","04.11.12"
"681080","188","Хмельницька область","школа, кл.2
пров.Шкільний, 1, с.Доброгорща, Хмельницький р-н, Хмельницька обл., 31353","516","182","507","51","285","49","334","","0","285","49","334","5","329","98","2","8","4","64","6","104","5","29","1","0","1","1","3","2","1","29.10.12"
"681081","188","Хмельницька область","школа, к.2
вул.Центральна, 14, с.Жучківці, Хмельницький р-н, Хмельницька обл., 31350","360","120","348","34","211","29","240","","0","211","29","240","10","230","19","0","7","4","146","0","22","1","13","4","0","2","1","10","0","1","29.10.12"
"681082","188","Хмельницька область","будинок культури, к.2
вул.Б.Хмельницького, 48, с.Захарівці, Хмельницький р-н, Хмельницька обл., 31307","548","204","548","52","292","52","344","","0","292","52","344","14","330","60","0","5","12","188","6","23","0","18","6","0","1","1","7","1","2","29.10.12"
"681083","188","Хмельницька область","сільський клуб, к.2
вул.Левицького, 5/1, с.Іванківці, Хмельницький р-н, Хмельницька обл., 31314","620","205","626","28","390","25","415","","0","390","25","415","7","408","59","3","32","13","123","3","74","2","72","6","1","2","4","12","1","1","29.10.12"
"681084","188","Хмельницька область","ПП ""Люкс Хоме"", к.2
вул.Пушкіна, 21, с.Карпівці, Хмельницький р-н, Хмельницька обл., 31364","512","190","505","24","300","22","322","","0","300","22","322","5","317","42","1","21","1","109","3","86","1","33","4","1","3","3","7","1","1","29.10.12"
"681085","188","Хмельницька область","сільський клуб, к.2
вул.Центральна, сільський клуб, с.Катеринівка, Хмельницький р-н, Хмельницька обл., 31310","256","67","251","19","171","18","189","","0","171","18","189","7","182","28","0","6","3","92","2","31","1","7","3","0","0","0","6","0","3","28.10.12"
"681086","188","Хмельницька область","сільський клуб, к.2
вул.Радянська, 24, с.Климашівка, Хмельницький р-н, Хмельницька обл., 31319","340","108","340","16","218","14","232","","0","218","14","232","5","227","30","2","1","11","147","3","28","0","5","0","0","0","0","0","0","0","28.10.12"
"681087","188","Хмельницька область","ФАП, к.2
вул.Тернопільська, 9, с.Климківці, Хмельницький р-н, Хмельницька обл., 31334","192","65","188","32","100","27","127","","0","100","27","127","3","124","21","1","4","3","40","2","43","0","4","1","2","2","0","0","1","0","28.10.12"
"681088","188","Хмельницька область","сільський клуб, к.2
вул.Гагаріна, 2/12, с.Колибань, Хмельницький р-н, Хмельницька обл., 31347","400","156","393","61","185","59","244","","0","185","59","244","11","233","34","3","18","4","49","3","63","2","25","19","1","2","2","7","0","1","28.10.12"
"681089","188","Хмельницька область","будинок культури, к.2
вул.Леніна, 96/1, с.Копистин, Хмельницький р-н, Хмельницька обл., 31345","1124","457","1103","24","645","22","667","","0","645","22","667","17","650","137","2","36","7","193","4","102","3","104","26","1","2","3","22","3","5","29.10.12"
"681090","188","Хмельницька область","сільський клуб, к.2
вул.Садова, 36, с.Крачки, Хмельницький р-н, Хмельницька обл., 31307","80","15","79","10","55","10","65","","0","55","10","65","2","63","21","1","0","1","12","2","12","0","2","10","0","0","0","2","0","0","04.11.12"
"681091","188","Хмельницька область","сільський клуб, к.2
вул.Шевченка, 1, с.Лапківці, Хмельницький р-н, Хмельницька обл., 31330","164","41","158","21","102","21","123","","0","102","21","123","3","120","44","1","1","3","20","3","32","1","3","3","0","0","1","7","1","0","28.10.12"
"681092","188","Хмельницька область","будинок культури, к.2
вул.Центральна, 38, с.Лісові Гринівці, Хмельницький р-н, Хмельницька обл., 31340","1780","612","1782","106","1074","94","1168","","0","1074","94","1168","18","1150","242","5","45","22","521","11","115","1","125","18","3","8","4","18","4","8","29.10.12"
"681093","188","Хмельницька область","сільський клуб, к.2
вул.Набережна, 5, с.Малі Орлинці, Хмельницький р-н, Хмельницька обл., 31306","124","37","117","13","74","13","87","","0","74","13","87","8","79","5","1","7","2","44","0","17","0","2","0","0","0","1","0","0","0","04.11.12"
"681094","188","Хмельницька область","будинок культури, к.2
вул.Котовського, 29/1, с.Малашівці, Хмельницький р-н, Хмельницька обл., 31335","460","180","456","25","263","17","280","","0","263","17","280","11","269","82","0","9","5","90","2","24","1","15","25","0","5","1","6","3","1","29.10.12"
"681095","188","Хмельницька область","будинок культури, к.2
вул.Центральна, 6, с.Малиничі, Хмельницький р-н, Хмельницька обл., 31360","808","310","810","41","468","30","497","","0","468","30","498","12","486","54","0","19","12","208","8","84","1","53","2","1","2","1","1","39","1","29.10.12"
"681096","188","Хмельницька область","сільський клуб, к.2
вул.Центральна, 1, с.Манилівка, Хмельницький р-н, Хмельницька обл., 31303","144","40","148","23","81","23","104","","0","81","23","104","3","101","4","0","1","4","76","5","8","0","0","1","0","1","0","1","0","0","28.10.12"
"681097","188","Хмельницька область","школа, кл.2
вул.Чапаєва, 41А, с.Мар’янівка, Хмельницький р-н, Хмельницька обл., 31313","1432","553","1419","60","827","52","879","","0","827","52","879","33","846","206","2","34","16","353","5","104","1","67","22","1","1","1","26","2","5","28.10.12"
"681098","188","Хмельницька область","сільський клуб, к.2
вул.Центральна, 37, с.Мартинівка, Хмельницький р-н, Хмельницька обл., 31310","276","81","277","25","173","22","195","","0","173","22","195","4","191","42","1","3","2","71","3","31","3","6","14","3","0","1","11","0","0","28.10.12"
"681099","188","Хмельницька область","школа, к.2
вул.Центральна, 47, с.Масівці, Хмельницький р-н, Хмельницька обл., 31348","712","261","709","75","386","65","451","","0","386","65","451","5","446","76","1","19","7","172","3","96","2","49","8","0","1","3","6","2","1","30.10.12"
"681100","188","Хмельницька область","сільський будинок культури, к.2
вул.Садова, 25, с.Мацьківці, Хмельницький р-н, Хмельницька обл., 31337","820","307","818","48","467","46","513","","0","467","46","513","9","504","135","2","17","9","157","14","89","0","48","9","0","2","3","8","4","7","29.10.12"
"681101","188","Хмельницька область","школа, кл.2
вул.Жовтнева, 38/1, с.Миколаїв, Хмельницький р-н, Хмельницька обл., 31303","252","78","245","29","146","28","174","","0","146","28","174","6","168","31","2","2","3","81","3","30","2","11","2","0","0","0","0","0","1","28.10.12"
"681102","188","Хмельницька область","школа, кл.2
вул.Центральна, 1, с.Моломолинці, Хмельницький р-н, Хмельницька обл., 31325","332","114","329","20","199","19","218","","0","199","19","218","7","211","17","0","5","3","73","2","78","0","25","2","1","0","1","2","2","0","28.10.12"
"681103","188","Хмельницька область","сільський клуб, к.2
вул.Жовтнева, 14, с.Нафтулівка, Хмельницький р-н, Хмельницька обл., 31352","104","27","105","7","70","7","77","","0","70","7","77","2","75","20","0","0","1","6","0","38","0","8","0","0","0","0","1","1","0","31.10.12"
"681104","188","Хмельницька область","школа, кл.2
вул.Гагаріна, 1, с.Немиченці, Хмельницький р-н, Хмельницька обл., 31354","504","226","494","10","268","10","278","","0","268","10","278","10","268","20","0","14","7","109","4","73","0","22","5","0","1","1","12","0","0","28.10.12"
"681105","188","Хмельницька область","сільський клуб, к.2
вул.Леніна, сільський клуб, с.Нижці Вовківці, Хмельницький р-н, Хмельницька обл., 31362","284","90","283","36","163","31","194","","0","163","31","194","4","190","35","0","15","5","73","4","29","2","14","5","2","1","0","3","0","2","28.10.12"
"681106","188","Хмельницька область","сільський клуб, к.2
вул.Центральна, сільський клуб, с.Олешин, Хмельницький р-н, Хмельницька обл., 31312","2020","742","1999","79","1204","74","1278","","0","1204","74","1278","26","1252","313","3","32","13","504","12","136","7","163","27","1","4","5","19","3","10","29.10.12"
"681107","188","Хмельницька область","сільський клуб, к.2
вул.Шевченка, 8, с.Олешківці, Хмельницький р-н, Хмельницька обл., 31350","128","17","126","19","92","19","111","","0","92","19","111","4","107","29","1","2","2","43","0","18","0","5","2","0","0","1","4","0","0","28.10.12"
"681108","188","Хмельницька область","школа, кл.2
вул.Лесі Українки, 43А, с.Осташки, Хмельницький р-н, Хмельницька обл., 31315","708","262","701","38","409","37","446","","0","409","37","446","11","435","64","2","15","9","230","5","58","2","32","7","1","0","2","5","0","3","28.10.12"
"681109","188","Хмельницька область","школа, кл.2
вул.Центральна, 77/2, с.Пархомівці, Хмельницький р-н, Хмельницька обл., 31342","716","294","705","42","383","39","422","","0","383","39","422","16","406","38","2","14","10","206","7","78","2","24","6","1","4","0","7","6","1","28.10.12"
"681110","188","Хмельницька область","сільський клуб, к.2
вул.Центральна, 24/1, с.Пашківці, Хмельницький р-н, Хмельницька обл., 31318","424","116","414","30","279","29","308","","0","279","29","308","7","301","32","0","6","8","195","1","28","1","14","1","0","0","1","13","1","0","28.10.12"
"681111","188","Хмельницька область","школа, кл.2
вул.Центральна, 2, с.Педоси, Хмельницький р-н, Хмельницька обл., 31332","420","126","414","41","253","41","294","","0","253","41","294","5","289","78","0","11","3","84","4","48","0","25","5","0","0","1","30","0","0","28.10.12"
"681112","188","Хмельницька область","школа, кл.2
вул.Миру, 17, с.Печеськи, Хмельницький р-н, Хмельницька обл., 31320","336","112","336","20","205","19","224","","0","205","19","224","6","218","22","0","5","5","101","3","58","1","9","5","0","1","0","6","2","0","28.10.12"
"681113","188","Хмельницька область","будинок культури, к.2
вул.Центральна, 55, с.Пирогівці, Хмельницький р-н, Хмельницька обл., 31343","1144","437","1127","43","666","41","707","","0","666","41","707","14","693","96","6","23","7","257","7","124","0","135","5","2","5","8","9","3","6","28.10.12"
"681114","188","Хмельницька область","сільський клуб, к.2
вул.Котовського, сільський клуб, с.Польові Гринівці, Хмельницький р-н, Хмельницька обл., 31301","200","58","193","26","118","24","142","","0","118","24","142","4","138","67","1","2","1","3","20","35","0","5","1","0","0","2","1","0","0","28.10.12"
"681115","188","Хмельницька область","сільський клуб, к.2
вул.Подільська, 67/2, с.Райківці, Хмельницький р-н, Хмельницька обл., 31356","1208","481","1204","52","683","44","727","","0","683","44","727","21","706","103","1","24","12","300","10","153","3","55","9","0","5","0","17","7","7","28.10.12"
"681116","188","Хмельницька область","сільський клуб, к.2
вул.Комсомольська, 15, с.Редвинці, Хмельницький р-н, Хмельницька обл., 31326","208","51","208","9","148","9","157","","0","148","9","157","7","150","39","2","0","2","38","0","39","2","13","5","0","0","2","5","3","0","28.10.12"
"681117","188","Хмельницька область","школа, кл.2
вул.Шкільна, 3, с.Кудринці, Хмельницький р-н, Хмельницька обл., 31361","400","130","393","41","231","39","270","","0","231","39","270","6","264","111","0","6","1","66","2","42","1","15","9","0","3","1","4","2","1","29.10.12"
"681118","188","Хмельницька область","школа, кл.2
вул.Мурого, 1, с.Рідкодуби, Хмельницький р-н, Хмельницька обл., 31330","536","191","529","25","326","19","345","","0","326","19","345","12","333","74","1","14","11","127","9","64","5","11","2","0","2","2","7","0","4","28.10.12"
"681119","188","Хмельницька область","будинок культури, к.2
вул.Пушкіна, 3, с.Розсоша, Хмельницький р-н, Хмельницька обл., 31362","1012","372","1005","53","591","49","640","","0","591","49","640","14","626","106","0","22","14","207","5","171","0","54","7","1","16","5","10","4","4","04.11.12"
"681120","188","Хмельницька область","будинок культури, к.2
вул.Леніна, 29, с.Ружичанка, Хмельницький р-н, Хмельницька обл., 31363","1244","510","1228","59","681","53","734","","0","681","53","734","17","717","103","1","39","5","264","6","155","8","97","19","2","4","2","5","2","5","29.10.12"
"681121","188","Хмельницька область","сільський клуб, к.2
вул.Жовтнева, 23, с.Скаржинці, Хмельницький р-н, Хмельницька обл., 31340","164","42","160","15","108","14","122","","0","108","14","122","2","120","12","1","1","3","63","3","21","1","5","2","0","0","2","5","1","0","28.10.12"
"681122","188","Хмельницька область","будинок культури, к.2
вул.Чкалова, 18, с.Ставчинці, Хмельницький р-н, Хмельницька обл., 31301","336","120","331","33","184","32","216","","0","184","32","216","0","216","27","3","5","1","121","0","40","2","8","5","0","0","0","4","0","0","28.10.12"
"681123","188","Хмельницька область","школа, кл.2
вул.Шкільна, 51, с.Стуфчинці, Хмельницький р-н, Хмельницька обл., 31323","896","261","896","78","561","74","635","","0","561","74","635","6","629","101","2","22","21","357","3","50","2","47","11","1","0","1","9","1","1","29.10.12"
"681124","188","Хмельницька область","сільська рада, к.2
вул.Центральна, 70, с.Терешівці, Хмельницький р-н, Хмельницька обл., 31326","460","175","453","52","244","41","285","","0","244","41","285","6","279","71","0","2","2","81","2","80","0","23","15","0","0","1","1","1","0","04.11.12"
"681125","188","Хмельницька область","сільський клуб, к.2
вул.Центральна, 26, с.Тиранівка, Хмельницький р-н, Хмельницька обл., 31323","104","23","103","12","69","12","81","","0","69","12","81","0","81","14","0","0","4","41","2","16","0","2","1","0","0","1","0","0","0","28.10.12"
"681126","188","Хмельницька область","ФАП, к.2
вул.Шевченка, 1/1, с.Ходаківці, Хмельницький р-н, Хмельницька обл., 31320","196","60","198","27","111","25","136","","0","111","25","136","2","134","14","0","3","0","53","0","55","0","7","1","0","0","0","1","0","0","28.10.12"
"681127","188","Хмельницька область","школа, к.2
вул.Центральна, 3, с.Чабани, Хмельницький р-н, Хмельницька обл., 31333","300","139","297","26","141","20","161","","0","141","20","161","4","157","13","0","6","5","89","4","25","2","5","3","0","0","0","2","1","2","28.10.12"
"681128","188","Хмельницька область","ФАП, к.2
вул.Олімпійського вогню, 25А, с.Червона Зірка, Хмельницький р-н, Хмельницька обл., 31343","96","33","99","5","58","5","63","","0","58","5","63","3","60","13","1","7","0","18","1","11","0","5","3","0","0","0","1","0","0","29.10.12"
