"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондар
Віктор
Васильович","Бондар
Віктор
Григорович","Гнатюк
Микола
Григорович","Дерикот
Микола
Васильович","Корнійчук
Ігор
Володимирович","Мурза
Валерій
Григорович","Притула
Михайло
Михайлович","Слободянюк
Віталій
Борисович","Чиж
Іван
Сергійович","Шпак
Василь
Володимирович","Шпак
Василь
Федорович","Дата підписання протоколу"
"680676","191","Хмельницька область","сільський клуб, актова зала
вул.Гагаріна, 69/1, с.Бохни, Летичівський р-н, Хмельницька обл., 31545","354","87","354","22","246","21","267","","0","246","21","267","7","260","80","6","6","54","8","71","0","3","1","8","23","29.10.12"
"680677","191","Хмельницька область","будинок культури, актова зала
вул.Першотравнева, 57, с.Козачки, Летичівський р-н, Хмельницька обл., 31546","444","104","438","67","281","59","340","","0","281","59","340","11","329","61","8","8","121","19","56","2","8","4","9","33","29.10.12"
"680678","191","Хмельницька область","ФАП, технічне приміщення
вул.Перемоги, 18, с.Варенка, Летичівський р-н, Хмельницька обл., 31547","120","23","117","19","81","16","97","","0","81","16","97","0","97","14","1","1","40","4","24","0","1","0","0","12","30.10.12"
"680679","191","Хмельницька область","сільський клуб, фойє
вул.Набережна, 5А, с.Кудинка, Летичівський р-н, Хмельницька обл., 31523","222","57","218","39","128","37","165","","0","128","37","165","4","161","20","4","3","58","1","44","0","6","14","4","7","29.10.12"
"680680","191","Хмельницька область","школа, фойє
вул.Квітнева, 1А, с.Рожни, Летичівський р-н, Хмельницька обл., 31523","174","47","165","16","111","16","127","","0","111","16","127","5","122","10","1","3","56","0","19","0","1","11","10","11","29.10.12"
"680681","191","Хмельницька область","ДП ""Летичівлісгосп"", актова зала
вул.50-річчя Жовтня, 54/1, смт Летичів, Летичівський р-н, Хмельницька обл., 31500","1692","627","1699","31","1042","23","1065","","0","1042","23","1065","16","1049","212","35","42","153","20","426","6","64","34","14","43","29.10.12"
"680682","191","Хмельницька область","школа №2, спортзал
вул.Радянська, 1, смт Летичів, Летичівський р-н, Хмельницька обл., 31500","2052","762","2048","30","1261","29","1290","","0","1261","29","1290","27","1263","354","26","82","202","40","401","3","80","22","14","39","29.10.12"
"680683","191","Хмельницька область","школа №1, фойє
пров.Шкільний, 5, смт Летичів, Летичівський р-н, Хмельницька обл., 31500","1980","767","1973","29","1188","25","1213","","0","1188","25","1213","26","1187","293","26","65","187","52","398","3","77","35","15","36","28.10.12"
"680684","191","Хмельницька область","автопарк, актова зала
вул.Автопарківська, 8, смт Летичів, Летичівський р-н, Хмельницька обл., 31500","870","341","867","9","521","8","529","","0","521","8","529","10","519","218","10","23","57","13","120","0","23","14","34","7","29.10.12"
"680685","191","Хмельницька область","ФГ ""Славутич-Агро"", к.2
вул.Б.Хмельницького, 5/1, смт Летичів, Летичівський р-н, Хмельницька обл., 31500","468","145","470","13","310","13","323","","0","310","13","323","3","320","139","10","14","50","5","71","1","11","9","3","7","29.10.12"
"680686","191","Хмельницька область","школа №3, актова зала
вул.Горбатюка, 3/1, смт Летичів, Летичівський р-н, Хмельницька обл., 31500","642","209","635","24","414","19","433","","0","414","19","433","11","422","180","7","6","57","9","107","0","21","7","6","22","28.10.12"
"680687","191","Хмельницька область","ТОВ ""Летичів-Агро"", актова зала
вул.Комсомольська, 20, смт Летичів, Летичівський р-н, Хмельницька обл., 31500","798","303","796","6","489","6","495","","0","489","6","495","16","479","59","14","31","95","18","165","4","40","10","14","29","29.10.12"
"680688","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 9/1, с.Майдан-Вербецький, Летичівський р-н, Хмельницька обл., 31551","186","28","185","22","136","22","158","","0","136","22","158","1","157","31","4","13","55","5","32","0","1","3","0","13","29.10.12"
"680689","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 2/1, с.Білецьке, Летичівський р-н, Хмельницька обл., 31551","114","35","112","11","69","10","79","","0","69","10","79","5","74","17","4","0","32","2","11","0","1","1","2","4","29.10.12"
"680690","191","Хмельницька область","будинок культури, фойє
вул.Жовтнева, 30, смт Меджибіж, Летичівський р-н, Хмельницька обл., 31530","1170","402","1168","65","708","60","768","","0","708","60","768","25","743","70","18","38","176","114","212","2","12","37","23","41","29.10.12"
"680691","191","Хмельницька область","школа, фойє
вул.Костроміна, 10, с.Ставниця, Летичівський р-н, Хмельницька обл., 31531","792","258","791","49","490","44","534","","0","490","44","534","30","504","154","18","20","99","28","109","2","5","19","19","31","29.10.12"
"680692","191","Хмельницька область","школа, актова зала
вул.Шкільна, 9, с.Митківці, Летичівський р-н, Хмельницька обл., 31511","366","102","364","41","229","35","264","","0","229","35","264","8","256","41","12","8","88","26","52","2","5","5","6","11","28.10.12"
"680693","191","Хмельницька область","будинок сільської ради, актова зала
вул.Центральна, 11, с.Рудня, Летичівський р-н, Хмельницька обл., 31500","252","67","256","16","169","16","185","","0","169","16","185","3","182","50","10","2","31","5","55","0","4","0","16","9","29.10.12"
"680694","191","Хмельницька область","ФАП, к.1
вул.Центральна, 13/1, с.Подільське, Летичівський р-н, Хмельницька обл., 31500","132","31","128","16","85","16","101","","0","85","16","101","2","99","26","0","3","22","4","20","0","0","3","5","16","29.10.12"
"680695","191","Хмельницька область","сільський клуб, фойє
вул.Печенюка, 2/2, с.Терлівка, Летичівський р-н, Хмельницька обл., 31542","282","76","285","27","180","26","206","","0","180","26","206","8","198","51","11","7","31","10","36","2","7","1","15","27","29.10.12"
"680696","191","Хмельницька область","будинок культури, актова зала
вул.Центральна, 35А, с.Сахни, Летичівський р-н, Хмельницька обл., 31552","240","88","230","34","128","24","152","","0","128","24","152","6","146","19","1","9","69","4","16","0","1","9","7","11","28.10.12"
"680697","191","Хмельницька область","будинок сільської ради, актова зала
вул.Колгоспна, 1, с.Снітівка, Летичівський р-н, Хмельницька обл., 31543","270","68","264","49","158","44","202","","0","158","44","202","6","196","95","10","6","44","3","14","1","5","1","5","12","29.10.12"
"680698","191","Хмельницька область","сільський клуб, актова зала
вул.Колгоспна, 1, с.Малаківщина, Летичівський р-н, Хмельницька обл., 31543","84","22","83","9","53","9","62","","0","53","9","62","0","62","7","1","1","20","0","1","4","0","1","11","16","29.10.12"
"680699","191","Хмельницька область","школа, фойє
вул.Молодіжна, 1, с.Суслівці, Летичівський р-н, Хмельницька обл., 31522","486","178","485","37","275","33","308","","0","275","33","308","10","298","115","12","12","50","10","69","1","1","13","6","9","29.10.12"
"680700","191","Хмельницька область","сільський клуб, актова зала
вул.Колгоспна, 1, с.Антонівка, Летичівський р-н, Хмельницька обл., 31523","90","24","88","11","55","11","66","","0","55","11","66","1","65","16","4","5","23","1","9","0","0","2","0","5","28.10.12"
"680701","191","Хмельницька область","сільський клуб, актова зала
вул.Горбатюка, 1, с.Копитинці, Летичівський р-н, Хмельницька обл., 31522","258","63","255","41","158","37","195","","0","158","37","195","2","193","94","3","6","17","7","31","0","2","3","5","25","29.10.12"
"680702","191","Хмельницька область","школа, фойє
вул.Центральна, 14, с.Новокостянтинів, Летичівський р-н, Хмельницька обл., 31523","432","113","442","71","256","63","319","","0","256","63","319","9","310","72","5","11","96","6","77","2","1","15","7","18","29.10.12"
"680703","191","Хмельницька область","будинок культури, фойє
вул.Колгоспна, 8, с.Попівці, Летичівський р-н, Хмельницька обл., 31522","210","36","209","12","163","11","174","","0","163","11","174","0","174","143","1","0","28","0","0","0","1","0","0","1","29.10.12"
"680704","191","Хмельницька область","школа, актова зала
вул.Гагаріна, 1/2, с.Требухівці, Летичівський р-н, Хмельницька обл., 31532","1044","382","1032","73","592","70","662","","0","591","70","661","19","642","73","19","64","177","38","198","7","14","18","9","25","29.10.12"
"680705","191","Хмельницька область","школа, актова зала
вул.Шевченка, 46/1, с.Головчинці, Летичівський р-н, Хмельницька обл., 31533","570","219","562","36","319","32","351","","0","319","32","351","22","329","82","5","31","55","13","100","1","3","7","8","24","29.10.12"
"680706","191","Хмельницька область","школа, актова зала
вул.Вишнева, 2/1, с.Лисогірка, Летичівський р-н, Хмельницька обл., 31534","732","228","727","68","438","66","504","","0","438","66","504","11","493","90","18","30","72","15","190","1","19","13","14","31","29.10.12"
"680707","191","Хмельницька область","школа, фойє
вул.Приколгоспна, 24, с.Чапля, Летичівський р-н, Хмельницька обл., 31520","198","65","190","20","117","16","133","","0","117","16","133","2","131","44","6","2","32","6","16","1","2","2","7","13","29.10.12"
"680708","191","Хмельницька область","ФАП, к.1
пров.Шкільний, 9, с.Юрченки, Летичівський р-н, Хмельницька обл., 31520","204","43","203","8","153","8","161","","0","153","8","161","7","154","57","8","4","41","3","21","0","0","4","9","7","29.10.12"
"680709","191","Хмельницька область","школа, фойє
вул.Жовтнева, 71, с.Шрубків, Летичівський р-н, Хмельницька обл., 31513","426","125","419","51","253","48","301","","0","253","48","301","17","284","33","10","13","58","7","87","2","7","23","19","25","29.10.12"
"680710","191","Хмельницька область","сільський клуб, актова зала
вул.Першина, 5, с.Западинці, Летичівський р-н, Хмельницька обл., 31514","252","51","249","26","175","26","201","","0","175","26","201","16","185","18","7","7","34","13","35","0","5","11","13","42","29.10.12"
"680711","191","Хмельницька область","будинок культури, фойє
вул.Радянська, 16А, с.Ялинівка, Летичівський р-н, Хмельницька обл., 31524","174","34","171","13","127","13","140","","0","127","13","140","9","131","21","1","3","49","5","22","1","1","19","2","7","29.10.12"
"680712","191","Хмельницька область","сільський клуб, актова зала
вул.Жовтнева, 15А, с.Вербка, Летичівський р-н, Хмельницька обл., 31525","462","149","460","34","279","34","313","","0","279","34","313","7","306","90","11","20","90","15","37","0","7","12","10","14","28.10.12"
"680713","191","Хмельницька область","сільський клуб, актова зала
пров.Лісовий, 25А, с.Лісо-Березівка, Летичівський р-н, Хмельницька обл., 31524","102","33","98","11","59","10","69","","0","59","10","69","1","68","12","1","2","30","0","11","0","1","2","1","8","29.10.12"
"680714","191","Хмельницька область","будинок магазину РСТ, к.1
вул.Центральна, 17А, с.Розсохувата, Летичівський р-н, Хмельницька обл., 31524","78","10","74","27","42","26","68","","0","42","26","68","6","62","23","1","0","21","2","5","0","0","0","2","8","29.10.12"
"680715","191","Хмельницька область","школа, актова зала
вул.Центральна, 5, с.Ярославка, Летичівський р-н, Хмельницька обл., 31512","498","128","493","65","307","63","370","","0","307","63","370","11","359","76","11","23","106","18","68","1","12","14","12","18","29.10.12"
"680890","191","Хмельницька область","сільський клуб, фойє
вул.Леніна, 25/а, с.Баглаї, Старокостянтинівський р-н, Хмельницька обл., 31175","360","129","357","25","207","24","231","","0","207","24","231","4","227","23","6","17","84","10","26","3","1","8","17","32","29.10.12"
"680891","191","Хмельницька область","фельдшерсько-акушерський пункт, веранда
вул.9 Травня, 33/а, с.Загірне, Старокостянтинівський р-н, Хмельницька обл., 31177","96","40","86","11","45","11","56","","0","45","11","56","1","55","13","1","1","9","3","20","1","1","0","0","6","28.10.12"
"680892","191","Хмельницька область","будинок культури, фойє
вул.Центральна, 1/а, с.Лажева, Старокостянтинівський р-н, Хмельницька обл., 31177","318","97","312","35","186","35","221","","0","186","35","221","6","215","22","8","28","82","9","40","0","2","4","9","11","28.10.12"
"680893","191","Хмельницька область","сільський клуб, актова зала
вул.Молодіжна, 29, с.Березне, Старокостянтинівський р-н, Хмельницька обл., 31112","114","26","112","9","81","7","88","","0","81","7","88","2","86","13","2","9","30","6","7","0","0","3","3","13","28.10.12"
"680894","191","Хмельницька область","фельдшерсько-акушерський пункт, кабінет прийому
вул.Гагаріна, 17, с.Нападівка, Старокостянтинівський р-н, Хмельницька обл., 31112","108","27","105","22","64","17","81","","0","64","17","81","3","78","1","2","11","30","4","13","1","1","0","2","13","28.10.12"
"680895","191","Хмельницька область","школа, к.2
вул.І.Мазепи, с.Пихтії, 33, Старокостянтинівський р-н, Хмельницька обл., 31112","108","23","106","6","80","5","85","","0","80","5","85","3","82","11","0","7","31","7","8","1","0","0","1","16","28.10.12"
"680896","191","Хмельницька область","школа, к.2
вул.Тичини, 20/1, с.Бутівці, Старокостянтинівський р-н, Хмельницька обл., 31113","312","115","305","33","170","27","197","","0","170","27","197","7","190","31","9","22","64","14","18","1","1","4","7","19","29.10.12"
"680897","191","Хмельницька область","сільський клуб, фойє
вул.Миру, 6/1, с.Лисенці, Старокостянтинівський р-н, Хмельницька обл., 31113","180","51","176","31","106","23","129","","0","106","23","129","6","123","26","4","6","39","23","6","0","0","3","8","8","29.10.12"
"680898","191","Хмельницька область","школа, фойє
вул.Шкільна, 3, с.Великі Мацевичі, Старокостянтинівський р-н, Хмельницька обл., 31116","426","111","368","52","268","47","315","","0","268","47","315","10","305","21","6","84","61","6","43","0","3","17","12","52","29.10.12"
"680899","191","Хмельницька область","сільський клуб, актова зала
вул.Колгоспна, 1/1, с.Малі Мацевичі, Старокостянтинівський р-н, Хмельницька обл., 31116","138","35","139","19","86","17","103","","0","86","17","103","0","103","2","2","21","32","1","11","0","1","0","10","23","28.10.12"
"680900","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 6, с.Круча, Старокостянтинівський р-н, Хмельницька обл., 31116","108","26","101","15","69","13","82","","0","69","13","82","1","81","5","0","15","25","2","13","0","1","4","7","9","29.10.12"
"680901","191","Хмельницька область","школа, спортивна зала
вул.Шкільна, 5, с.Раштівка, Старокостянтинівський р-н, Хмельницька обл., 31116","174","46","173","19","109","19","128","","0","109","19","128","3","125","12","2","83","17","2","2","0","0","0","1","6","29.10.12"
"680902","191","Хмельницька область","школа, спортивна зала
вул.Пригонова, 4, с.Великий Чернятин, Старокостянтинівський р-н, Хмельницька обл., 31122","648","281","637","44","331","36","367","","0","331","36","367","10","357","43","7","39","144","14","64","1","3","3","12","27","29.10.12"
"680903","191","Хмельницька область","школа, спортивна зала
вул.Шевченка, 5, с.Малий Чернятин, Старокостянтинівський р-н, Хмельницька обл., 31122","462","183","456","62","222","57","279","","0","222","57","279","12","267","28","10","29","112","9","45","0","4","1","7","22","29.10.12"
"680904","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 13, с.Оріхівка, Старокостянтинівський р-н, Хмельницька обл., 31122","174","45","173","18","111","18","129","","0","111","18","129","8","121","7","2","7","56","8","17","1","1","2","3","17","29.10.12"
"680905","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 23, с.Вербородинці, Старокостянтинівський р-н, Хмельницька обл., 31153","228","70","224","15","143","15","158","","0","143","15","158","6","152","15","1","11","83","11","16","1","0","1","2","11","29.10.12"
"680906","191","Хмельницька область","фельдшерсько-акушерський пункт, к.1
вул.Лесі Українки, 3, с.Гнатки, Старокостянтинівський р-н, Хмельницька обл., 31153","126","33","124","6","87","6","93","","0","87","6","93","1","92","12","1","5","36","3","14","0","0","0","5","16","28.10.12"
"680907","191","Хмельницька область","будинок культури, фойє
вул.Шкільна, 102, с.Веснянка, Старокостянтинівський р-н, Хмельницька обл., 31152","702","261","681","74","375","66","441","","0","375","66","441","13","428","32","4","63","107","59","99","1","2","11","12","38","28.10.12"
"680908","191","Хмельницька область","школа, к.2
вул.Вишнева, 2/1, с.Вишнопіль, Старокостянтинівський р-н, Хмельницька обл., 31141","546","165","545","31","353","28","381","","0","353","28","381","5","376","67","8","53","105","12","39","0","5","7","16","64","29.10.12"
"680909","191","Хмельницька область","школа, актова зала
вул.Мічуріна, 1/1, с.Мартинівка, Старокостянтинівський р-н, Хмельницька обл., 31141","342","124","338","20","200","18","218","","0","200","18","218","2","216","24","5","33","77","3","22","1","0","4","12","35","29.10.12"
"680910","191","Хмельницька область","школа, к.2
вул.Леніна, 5/1, с.Северини, Старокостянтинівський р-н, Хмельницька обл., 31141","174","49","170","17","110","15","125","","0","110","15","125","6","119","23","4","10","27","0","25","2","1","0","7","20","29.10.12"
"680911","191","Хмельницька область","школа, к.1
вул.Долина, 30, с.Волиця-Керекешина, Старокостянтинівський р-н, Хмельницька обл., 31121","378","110","372","50","224","44","268","","0","224","44","268","13","255","28","5","47","100","3","28","0","0","7","14","23","29.10.12"
"680912","191","Хмельницька область","школа, фойє
вул.Шкільна, 24, с.Григорівка, Старокостянтинівський р-н, Хмельницька обл., 31150","960","388","950","94","501","71","572","","0","501","71","572","5","567","110","21","78","194","11","75","2","2","9","16","49","29.10.12"
"680913","191","Хмельницька область","школа, фойє
вул.Ленінська, 35/1, с.Воронківці, Старокостянтинівський р-н, Хмельницька обл., 31151","798","271","791","88","445","82","527","","0","445","82","527","22","505","30","2","59","181","10","69","2","5","7","43","97","29.10.12"
"680914","191","Хмельницька область","школа, спортивна зала
вул.Садова, 1/2, с.Губча, Старокостянтинівський р-н, Хмельницька обл., 31114","282","66","282","40","179","37","216","","0","179","37","216","4","212","5","16","29","78","3","16","0","0","1","18","46","29.10.12"
"680915","191","Хмельницька область","сільський клуб, актова зала
вул.Гагаріна, 76/1, с.Зеленці, Старокостянтинівський р-н, Хмельницька обл., 31114","330","103","323","40","191","36","227","","0","191","36","227","7","220","12","0","42","105","3","27","1","1","2","4","23","28.10.12"
"680916","191","Хмельницька область","сільський клуб, актова зала
вул.Корольова, 32/1, с.Партинці, Старокостянтинівський р-н, Хмельницька обл., 31114","72","15","70","7","50","7","57","","0","50","7","57","2","55","22","0","3","11","3","2","0","0","2","1","11","29.10.12"
"680917","191","Хмельницька область","будинок культури, актова зала
вул.Жовтнева, 24, с.Ілляшівка, Старокостянтинівський р-н, Хмельницька обл., 31174","342","94","342","18","230","18","248","","0","230","18","248","8","240","37","4","24","108","9","21","0","5","12","9","11","28.10.12"
"680918","191","Хмельницька область","будинок культури, танцювальна зала
вул.Центральна, 20, с.Іршики, Старокостянтинівський р-н, Хмельницька обл., 31137","396","104","394","18","276","16","292","","0","276","16","292","12","280","29","5","33","126","16","37","0","2","0","10","22","29.10.12"
"680919","191","Хмельницька область","сільський клуб, танцювальна зала
вул.Польова, 30, с.Хижники, Старокостянтинівський р-н, Хмельницька обл., 31137","216","75","214","26","117","24","141","","0","117","24","141","7","134","28","2","13","43","4","18","0","0","1","6","19","29.10.12"
"680920","191","Хмельницька область","сільський клуб, танцювальна зала
вул.Садова, 35, с.Малишівка, Старокостянтинівський р-н, Хмельницька обл., 31137","120","32","115","9","79","9","88","","0","79","9","88","13","75","14","2","5","15","7","12","1","1","0","3","15","29.10.12"
"680921","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 28/а, с.Яремичі, Старокостянтинівський р-н, Хмельницька обл., 31137","120","34","118","18","71","15","86","","0","71","15","86","1","85","6","0","8","47","9","4","0","0","0","3","8","28.10.12"
"680922","191","Хмельницька область","сільський клуб, танцювальна зала
вул.Центральна, 13, с.Капустин, Старокостянтинівський р-н, Хмельницька обл., 31120","228","78","226","17","135","15","150","","0","135","15","150","3","147","13","2","21","59","11","14","1","0","0","10","16","29.10.12"
"680923","191","Хмельницька область","сільський клуб, актова зала
вул.Шевченка, 61/1, с.Коржівка, Старокостянтинівський р-н, Хмельницька обл., 31145","354","109","348","12","235","10","245","","0","235","10","245","13","232","40","3","9","96","6","39","0","4","3","9","23","29.10.12"
"680924","191","Хмельницька область","сільський клуб, актова зала
вул.Кірова, 4/1, с.Махаринці, Старокостянтинівський р-н, Хмельницька обл., 31145","150","34","148","8","108","8","116","","0","108","8","116","4","112","13","0","12","29","2","32","0","0","2","4","18","29.10.12"
"680925","191","Хмельницька область","будинок культури, актова зала
вул.Миру, 60/1, с.Ладиги, Старокостянтинівський р-н, Хмельницька обл., 31183","744","269","738","100","391","84","475","","0","391","84","475","10","465","85","7","77","89","21","78","1","1","20","15","71","29.10.12"
"680926","191","Хмельницька область","фельдшерсько-акушерський пункт, кімната прийому
вул.Центральна, 22/1, с.Губин, Старокостянтинівський р-н, Хмельницька обл., 31183","180","50","176","15","119","11","130","","0","119","11","130","2","128","18","0","12","20","7","58","0","1","0","0","12","29.10.12"
"680927","191","Хмельницька область","будинок культури, фойє
вул.Центральна, 17, с.Верхняки, Старокостянтинівський р-н, Хмельницька обл., 31160","390","108","381","27","258","24","282","","0","258","24","282","9","273","37","10","26","131","9","26","1","2","6","4","21","29.10.12"
"680928","191","Хмельницька область","сільський клуб, актова зала
вул.Крупської, 48, с.Миролюбне, Старокостянтинівський р-н, Хмельницька обл., 31160","294","93","291","15","188","13","201","","0","188","13","201","8","193","28","2","19","84","9","29","2","0","2","8","10","29.10.12"
"680929","191","Хмельницька область","школа, к.2
вул.Радянська, 13, с.Миролюбне, Старокостянтинівський р-н, Хмельницька обл., 31160","282","126","279","10","146","10","156","","0","146","10","156","9","147","9","4","38","39","1","20","0","0","1","9","26","29.10.12"
"680930","191","Хмельницька область","сільський клуб, актова зала
вул.Лісова, 3, с.Морозівка, Старокостянтинівський р-н, Хмельницька обл., 31170","300","112","298","18","172","16","188","","0","172","16","188","6","182","20","3","43","66","6","18","0","1","9","5","11","29.10.12"
"680931","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 5, с.Новоселиця, Старокостянтинівський р-н, Хмельницька обл., 31162","288","67","289","14","207","14","221","","0","207","14","221","8","213","23","5","51","54","6","42","0","1","2","4","25","29.10.12"
"680932","191","Хмельницька область","сільський клуб, актова зала
вул.Жовтнева, 1, с.Підгірне, Старокостянтинівський р-н, Хмельницька обл., 31170","270","90","255","15","169","11","180","","0","169","11","180","8","172","4","2","18","69","11","25","0","1","4","8","30","29.10.12"
"680933","191","Хмельницька область","будинок культури, актова зала
вул.Центральна, 11, с.Немиринці, Старокостянтинівський р-н, Хмельницька обл., 31170","240","70","233","15","160","10","170","","0","160","10","170","5","165","15","3","9","76","5","22","0","1","1","7","26","29.10.12"
"680934","191","Хмельницька область","адмінбудинок, актова зала
вул.Леніна, 10, с.Деркачі, Старокостянтинівський р-н, Хмельницька обл., 31171","252","78","247","30","147","27","174","","0","147","27","174","5","169","14","5","26","70","5","17","2","0","3","13","14","28.10.12"
"680935","191","Хмельницька область","сільський клуб, актова зала
вул.Першотравнева, 10, с.Берегелі, Старокостянтинівський р-н, Хмельницька обл., 31170","72","18","67","6","51","3","54","","0","51","3","54","3","51","5","3","5","24","3","4","0","0","1","0","6","29.10.12"
"680936","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 36, с.Громівка, Старокостянтинівський р-н, Хмельницька обл., 31130","96","22","94","14","60","14","74","","0","60","14","74","3","71","5","0","14","24","5","8","0","0","0","1","14","28.10.12"
"680937","191","Хмельницька область","сільський клуб, фойє
вул.Нагірна, 6, с.Половинники, Старокостянтинівський р-н, Хмельницька обл., 31131","168","46","166","12","111","11","122","","0","111","11","122","5","117","23","4","44","33","2","6","0","1","0","0","4","28.10.12"
"680938","191","Хмельницька область","будинок культури, актова зала
вул.Центральна, 11, с.Огіївці, Старокостянтинівський р-н, Хмельницька обл., 31131","246","67","240","16","165","14","179","","0","165","14","179","3","176","34","1","39","63","8","13","0","1","3","1","13","28.10.12"
"680939","191","Хмельницька область","школа, к.3
вул.Садова, 7, с.Писарівка, Старокостянтинівський р-н, Хмельницька обл., 31131","108","27","110","12","69","12","81","","0","69","12","81","3","78","3","1","26","20","2","15","0","0","0","1","10","29.10.12"
"680940","191","Хмельницька область","будинок культури, актова зала
вул.Центральна, 12/3, с.Пашківці, Старокостянтинівський р-н, Хмельницька обл., 31124","1002","342","980","67","599","61","660","","0","599","61","660","25","635","155","13","91","230","5","95","0","4","1","7","34","29.10.12"
