"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранов
Костянтин
Володимирович","Бойко
Володимир
Богданович","Бойко
Володимир
Іванович","Болєщук
Володимир
Михайлович","Вихрущ
Анатолій
Володимирович","Петровський
Володимир
Михайлович","Ткач
Володимир
Михайлович","Чайківський
Іван
Адамович","Шевченко
Лілія
Антонівна","Шевчук
Олексій
Панасович","Дата підписання протоколу"
"610939","165","Тернопільська область","школа, фойє
вул.Шкільна, 1, с.Почапинці, Тернопільський р-н, Тернопільська обл., 47721","480","116","480","48","319","45","364","","0","319","45","364","10","354","3","125","18","57","11","60","4","70","3","3","28.10.12"
"610940","165","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 3, с.Забойки, Тернопільський р-н, Тернопільська обл., 47721","816","185","811","67","564","67","631","","0","564","67","631","19","612","7","193","20","79","21","138","14","128","9","3","29.10.12"
"610941","165","Тернопільська область","сільський клуб, глядацький зал
вул.Б.Хмельницького, 19, с.Романівка, Тернопільський р-н, Тернопільська обл., 47715","468","127","468","27","317","24","341","","0","317","24","341","12","329","0","76","15","27","5","34","4","166","1","1","29.10.12"
"610942","165","Тернопільська область","школа, спортивний зал
вул.Шевченка, 1, с.Ангелівка, Тернопільський р-н, Тернопільська обл., 47714","498","157","495","10","332","9","341","","0","332","9","341","8","333","9","135","13","29","5","39","8","92","2","1","28.10.12"
"610943","165","Тернопільська область","школа, фойє
вул.Галицька, 3Б, с.Скоморохи, Тернопільський р-н, Тернопільська обл., 47744","456","141","448","48","271","44","315","","0","271","44","315","7","308","2","103","17","32","2","42","2","103","5","0","29.10.12"
"610944","165","Тернопільська область","сільський клуб, фойє
вул.Л.Українки, 10, с.Смолянка, Тернопільський р-н, Тернопільська обл., 47744","228","56","223","17","155","17","172","","0","155","17","172","0","172","2","63","7","18","0","27","1","51","3","0","28.10.12"
"610945","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 53, с.Прошова, Тернопільський р-н, Тернопільська обл., 47716","576","190","574","36","352","34","386","","0","352","34","386","6","380","3","174","8","38","4","37","3","110","3","0","29.10.12"
"610946","165","Тернопільська область","сільський клуб, глядацький зал
вул.С.Бандери, 25, с.Смиківці, Тернопільський р-н, Тернопільська обл., 47723","942","256","939","33","656","30","686","","0","656","30","686","13","673","8","263","26","81","11","102","14","162","4","2","28.10.12"
"610947","165","Тернопільська область","сільський клуб, глядацький зал
вул.Лесі Українки, 4, с.Стегниківці, Тернопільський р-н, Тернопільська обл., 47716","504","124","493","52","330","50","380","","0","330","50","380","53","327","3","94","13","18","6","20","8","160","4","1","28.10.12"
"610948","165","Тернопільська область","сільський клуб, глядацький зал
вул.Тернопільська, 37, с.Ступки, Тернопільський р-н, Тернопільська обл., 47718","510","115","503","28","367","28","395","","0","367","28","395","8","387","3","157","10","53","9","30","7","113","3","2","29.10.12"
"610949","165","Тернопільська область","школа, фойє
вул.Шевченка, 12, с.Товстолуг, Тернопільський р-н, Тернопільська обл., 47742","582","145","579","29","408","29","437","","0","408","29","437","19","418","6","175","18","42","11","47","11","102","1","5","29.10.12"
"610950","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 26, с.Застінка, Тернопільський р-н, Тернопільська обл., 47742","294","72","289","31","191","31","222","","0","191","31","222","11","211","2","90","7","33","0","22","2","55","0","0","29.10.12"
"610951","165","Тернопільська область","будинок культури, глядацький зал
вул.М.Михалевича, 31, с.Чернелів-Руський, Тернопільський р-н, Тернопільська обл., 47713","624","155","612","48","422","47","469","","0","422","47","469","10","459","4","180","33","48","10","40","4","129","9","2","29.10.12"
"610952","165","Тернопільська область","будинок культури, зал засідань
вул.Л.Українки, 28, с.Жовтневе, Тернопільський р-н, Тернопільська обл., 47713","504","93","499","42","374","37","411","","0","374","37","411","14","397","12","173","25","47","4","65","2","64","3","2","29.10.12"
"610953","165","Тернопільська область","школа, фойє
вул.І.Франка,5, с.Чистилів, Тернопільський р-н, Тернопільська обл., 47704","834","190","823","30","614","30","644","","0","614","30","644","12","632","11","324","21","48","24","113","7","80","2","2","29.10.12"
"610954","165","Тернопільська область","сільський клуб, глядацький зал
вул.Барвінського, 16, с.Шляхтинці, Тернопільський р-н, Тернопільська обл., 47710","1008","269","1005","49","692","47","739","","0","692","47","739","14","725","5","258","17","57","35","109","13","225","3","3","29.10.12"
"610955","165","Тернопільська область","лікарня, фойє
вул.Грушевського, 51, смт Великі Бірки, Тернопільський р-н, Тернопільська обл., 47740","72","54","20","1","17","1","18","","0","17","1","18","0","18","2","5","0","4","1","1","0","5","0","0","28.10.12"
"610956","165","Тернопільська область","лікарня, фойє
вул.Підлісна, 26А, с.Великі Гаї, Тернопільський р-н, Тернопільська обл., 47722","54","2","78","4","48","4","52","","0","48","4","52","1","51","2","11","3","2","3","9","3","16","0","2","30.10.12"
"610957","165","Тернопільська область","лікарня, фойє
вул.Т.Шевченка, 22, с.Великий Глибочок, Тернопільський р-н, Тернопільська обл., 47703","30","11","20","3","17","2","19","","0","17","2","19","0","19","0","9","1","0","0","0","0","9","0","0","28.10.12"
"610958","165","Тернопільська область","лікарня, фойє
вул.Глибочецька, 5, с.Плотича, Тернопільський р-н, Тернопільська обл., 47704","54","26","33","12","18","10","28","","0","18","10","28","0","28","4","10","2","1","4","2","0","5","0","0","29.10.12"
"611092","165","Тернопільська область","будинок культури мікрорайону ""Пронятин"", актова зала, 1-й поверх
вул.Мирна, 43, м.Тернопіль, 46012","786","265","783","19","503","18","521","","0","503","18","521","14","507","4","197","12","45","36","108","34","71","0","0","29.10.12"
"611093","165","Тернопільська область","будинок культури мікрорайону ""Кутківці"", фойє, 1-й поверх
вул.Агрономічна, 1, м.Тернопіль, 46012","2448","980","2419","22","1455","13","1468","","0","1455","13","1468","39","1429","11","435","24","508","63","203","27","145","9","4","29.10.12"
"611094","165","Тернопільська область","школа №25, фойє, 1-й поверх
вул.Хліборобна, 26, м.Тернопіль, 46012","858","363","852","3","492","3","495","","0","492","3","495","21","474","10","123","10","147","38","89","11","39","6","1","29.10.12"
"611095","165","Тернопільська область","Тернопільський національний економічний університет, корпус 3, вестибюль, 1-й поверх
майдан Перемоги, 3, м.Тернопіль, 46020","2376","1056","2381","20","1301","19","1320","","0","1301","19","1320","34","1286","49","450","27","76","177","266","31","157","45","8","29.10.12"
