"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бочаров
Михайло
Григорович","Будкевич
Андрій
Андрійович","Головко
Михайло
Йосифович","Гульовський
Володимир
Орестович","Клименко
Володимир
Олександрович","Ковальчук
Іван
Григорович","Липка
Василь
Іванович","Ломакович
Віталій
Афанасійович","Муц
Орест
Павлович","Негода
Любомир
Миколайович","Пліш
Іван
Едуардович","Самойлович
Костянтин
Альбінович","Тарасенко
Андрій
Іванович","Дата підписання протоколу"
"611061","164","Тернопільська область","сільський клуб, фойє
вул.Центральна, 31А, с.Гриньківці, Шумський р-н, Тернопільська обл., 47130","198","66","194","5","127","5","132","","0","127","5","132","1","131","1","0","50","1","19","1","0","18","41","0","0","0","0","29.10.12"
"611062","164","Тернопільська область","будинок культури, фойє
вул.Шкільна, 10, с.Матвіївці, Шумський р-н, Тернопільська обл., 47164","480","120","473","24","338","22","360","","0","338","22","360","7","353","3","1","116","1","74","2","1","42","110","0","0","3","0","29.10.12"
"611063","164","Тернопільська область","школа, каб.2
вул.Пришкільна, 12, с.Мізюринці, Шумський р-н, Тернопільська обл., 47155","234","62","224","16","156","16","172","","0","156","16","172","4","168","0","0","48","5","36","0","3","31","43","1","0","0","1","28.10.12"
"611064","164","Тернопільська область","сільська рада, бібліотека
вул.Центральна, 29, с.Онишківці, Шумський р-н, Тернопільська обл., 47174","486","132","477","40","314","40","354","","0","314","40","354","4","350","1","0","117","4","92","1","2","32","94","1","0","6","0","28.10.12"
"611065","164","Тернопільська область","будинок культури, фойє
вул.Радянська, 1, с.Підгайці, Шумський р-н, Тернопільська обл., 47162","330","88","324","17","225","17","242","","0","225","17","242","6","236","1","1","46","0","56","6","2","29","91","0","1","3","0","28.10.12"
"611066","164","Тернопільська область","фельдшерсько-акушерський пункт, приймальна
вул.Шевченка, 20, с.Кудлаївка, Шумський р-н, Тернопільська обл., 47163","174","54","168","19","102","18","120","","0","102","18","120","1","119","0","0","24","0","11","1","0","13","69","0","0","1","0","29.10.12"
"611067","164","Тернопільська область","сільський клуб, глядацький зал
вул.Лановецька, 58А, с.Піщатинці, Шумський р-н, Тернопільська обл., 47163","420","114","418","38","274","32","306","","0","274","32","306","4","302","1","2","92","3","46","1","2","22","128","2","0","3","0","30.10.12"
"611068","164","Тернопільська область","сільський клуб, глядацький зал
вул.Жовтнева, 2, с.Потуторів, Шумський р-н, Тернопільська обл., 47142","348","84","345","19","245","19","264","","0","245","19","264","6","258","2","1","98","1","82","2","2","43","23","0","0","4","0","28.10.12"
"611069","164","Тернопільська область","школа, фойє
вул.В.Матевощука, 2, с.Радошівка, Шумський р-н, Тернопільська обл., 47146","270","76","263","22","173","21","194","","0","173","21","194","7","187","3","0","42","2","67","2","2","12","53","0","0","3","1","29.10.12"
"611070","164","Тернопільська область","школа, спортивний зал
вул.І.Франка, 58, с.Рохманів, Шумський р-н, Тернопільська обл., 47105","570","129","562","28","414","27","441","","0","414","27","441","8","433","3","0","180","3","85","3","2","43","109","0","0","5","0","30.10.12"
"611071","164","Тернопільська область","школа, каб.2
вул.Дружби, 31А, с.Залужжя, Шумський р-н, Тернопільська обл., 47105","252","54","251","12","186","12","198","","0","186","12","198","4","194","1","1","55","6","48","4","1","20","54","0","1","2","1","28.10.12"
"611072","164","Тернопільська область","школа, спортивний зал
вул.Шкільна, 14, с.Обич, Шумський р-н, Тернопільська обл., 47123","558","160","542","32","371","27","398","","0","371","27","398","11","387","3","1","128","4","120","2","3","29","89","0","1","6","1","28.10.12"
"611073","164","Тернопільська область","школа, фойє
вул.Шкільна, 2, с.Садки, Шумський р-н, Тернопільська обл., 47143","372","89","370","28","258","25","283","","0","258","25","283","4","279","3","1","86","1","32","3","1","28","120","0","1","3","0","29.10.12"
"611074","164","Тернопільська область","школа, фойє
вул.Шкільна, 12, с.Бірки, Шумський р-н, Тернопільська обл., 47133","342","94","334","28","220","28","248","","0","220","28","248","2","246","1","1","88","2","69","2","4","22","49","0","0","6","2","29.10.12"
"611075","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 27, с.Соснівка, Шумський р-н, Тернопільська обл., 47132","360","103","355","31","231","26","257","","0","231","26","257","3","254","3","2","92","1","68","6","1","21","54","0","0","6","0","29.10.12"
"611076","164","Тернопільська область","сільський клуб, глядацький зал
вул.Садова, 20, с.Стіжок, Шумський р-н, Тернопільська обл., 47120","312","87","301","21","208","17","225","","0","208","17","225","2","223","4","1","102","9","46","1","2","14","42","0","0","1","1","28.10.12"
"611077","164","Тернопільська область","будинок культури, глядацький зал
вул.Рудка, 1, с.Сураж, Шумський р-н, Тернопільська обл., 47114","552","202","544","37","314","36","350","","0","314","36","350","5","345","1","4","106","2","84","2","3","37","92","1","0","11","2","28.10.12"
"611078","164","Тернопільська область","школа, спортивний зал
вул.Рудка, 56, с.Сураж, Шумський р-н, Тернопільська обл., 47114","492","171","486","21","300","21","321","","0","300","21","321","10","311","0","3","115","1","66","5","1","19","93","0","1","7","0","28.10.12"
"611079","164","Тернопільська область","сільський клуб, глядацький зал
вул.Підлісна, 73, с.Ходаки, Шумський р-н, Тернопільська обл., 47114","324","67","320","24","233","24","257","","0","233","24","257","1","256","0","0","95","5","44","2","1","18","91","0","0","0","0","28.10.12"
"611080","164","Тернопільська область","сільський клуб, глядацький зал
вул.Набережна, 1А, с.Темногайці, Шумський р-н, Тернопільська обл., 47154","444","109","443","41","299","36","335","","0","299","36","335","10","325","4","0","55","3","81","3","2","23","149","3","0","2","0","29.10.12"
"611081","164","Тернопільська область","сільський клуб, глядацький зал
вул.Миру, 1, с.Башківці, Шумський р-н, Тернопільська обл., 47124","174","42","169","29","106","26","132","","0","106","26","132","3","129","0","0","37","0","56","3","1","3","28","1","0","0","0","29.10.12"
"611082","164","Тернопільська область","сільська рада, зал засідань
вул.Миру, 29, с.Тилявка, Шумський р-н, Тернопільська обл., 47124","480","96","480","41","345","39","384","","0","345","39","384","11","373","2","1","86","1","129","3","4","35","104","3","1","3","1","29.10.12"
"611083","164","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 38, с.Угорськ, Шумський р-н, Тернопільська обл., 47121","438","123","434","36","280","35","315","","0","280","35","315","4","311","0","1","59","6","115","3","2","41","75","0","1","8","0","29.10.12"
"611084","164","Тернопільська область","сільський клуб, фойє
вул.Шевченка, 57, с.Цеценівка, Шумський р-н, Тернопільська обл., 47151","762","215","748","27","522","25","547","","0","522","25","547","5","542","1","2","130","4","102","3","2","62","235","0","1","0","0","29.10.12"
"611085","164","Тернопільська область","сільська рада, зал засідань
вул.Жовтнева, 30, с.Шкроботівка, Шумський р-н, Тернопільська обл., 47145","426","88","422","14","324","14","338","","0","324","14","338","5","333","1","3","101","3","73","4","0","15","132","0","0","1","0","29.10.12"
"611086","164","Тернопільська область","школа, каб.2
вул.Шкільна, 12, с.Новостав, Шумський р-н, Тернопільська обл., 47133","468","125","465","38","309","34","343","","0","309","34","343","5","338","1","1","123","4","106","2","3","39","52","2","2","3","0","29.10.12"
"611087","164","Тернопільська область","школа, каб.2
вул.Горбівці, 60А, с.Шумбар, Шумський р-н, Тернопільська обл., 47152","564","163","550","29","373","28","401","","0","373","28","401","11","390","3","2","72","4","177","3","2","42","80","0","0","2","3","28.10.12"
"611088","164","Тернопільська область","школа №1, фойє
вул.Українська, 45, м.Шумськ, Шумський р-н, Тернопільська обл., 47100","1848","601","1826","62","1192","55","1247","","0","1192","55","1247","15","1232","16","5","499","14","295","8","3","108","236","2","0","45","1","29.10.12"
"611089","164","Тернопільська область","школа №2, фойє
вул.Українська, 61, м.Шумськ, Шумський р-н, Тернопільська обл., 47100","1992","708","1966","51","1239","45","1284","","0","1239","45","1284","26","1258","10","4","474","17","326","13","8","160","179","1","1","64","1","29.10.12"
"611090","164","Тернопільська область","районна комунальна лікарня, актова зала
вул.Обори, 5, с.Великі Дедеркали, Шумський р-н, Тернопільська обл., 47174","54","43","21","0","11","0","11","","0","11","0","11","0","11","0","0","0","0","10","0","0","0","1","0","0","0","0","29.10.12"
"611091","164","Тернопільська область","центральна районна лікарня, актова зала
вул.Енергетична, 1, м.Шумськ, Шумський р-н, Тернопільська обл., 47100","102","67","53","21","20","15","35","","0","20","15","35","3","32","0","1","13","0","2","0","0","5","9","0","0","2","0","29.10.12"
