"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Апостол
Михайло
Володимирович","Давиденко
Андрій
Анатолійович","Люшняк
Микола
Володимирович","Півторак
Роман
Євстахійович","Савчук
Михайло
Дмитрович","Стецюк
Тетяна
Іванівна","Хоптян
Надія
Андріївна","Дата підписання протоколу"
"610193","166","Тернопільська область","школа, актова зала
вул.Центральна, 24, с.Стінка, Бучацький р-н, Тернопільська обл., 48450","1528","702","1518","90","745","81","826","","0","745","81","826","56","770","322","212","137","7","25","11","56","29.10.12"
"610194","166","Тернопільська область","сільський клуб, глядацький зал
вул.Бічна, 29, с.Млинки, Бучацький р-н, Тернопільська обл., 48450","216","57","207","15","145","14","159","","0","145","14","159","12","147","73","17","10","1","5","6","35","29.10.12"
"610195","166","Тернопільська область","Бучацький коледж Подільського державного аграрно-технічного університету, актова зала
вул.Винниченка, 4, с.Трибухівці, Бучацький р-н, Тернопільська обл., 48431","880","330","860","10","542","8","550","","0","542","8","550","13","537","221","150","127","2","9","4","24","29.10.12"
"610196","166","Тернопільська область","будинок культури, вестибюль
вул.Грушевського, 3, с.Трибухівці, Бучацький р-н, Тернопільська обл., 48431","1048","441","1033","27","581","26","607","","0","581","26","607","17","590","257","151","133","2","5","4","38","29.10.12"
"610197","166","Тернопільська область","школа, їдальня
вул.Грушевського, 1, с.Трибухівці, Бучацький р-н, Тернопільська обл., 48431","1160","401","1144","35","726","33","759","","0","726","33","759","34","725","272","245","158","2","6","4","38","29.10.12"
"610198","166","Тернопільська область","сільський клуб, глядацький зал
вул.Ринок, 16, с.Цвітова, Бучацький р-н, Тернопільська обл., 48480","472","136","468","32","305","31","336","","0","305","31","336","15","321","78","133","52","1","1","7","49","29.10.12"
"610199","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 25, с.Язловець, Бучацький р-н, Тернопільська обл., 48467","440","143","438","39","258","39","297","","0","258","39","297","3","294","126","55","75","0","5","0","33","29.10.12"
"610200","166","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 27, с.Броварі, Бучацький р-н, Тернопільська обл., 48467","264","77","258","24","163","24","187","","0","163","24","187","8","179","50","44","41","1","3","0","40","29.10.12"
"610201","166","Тернопільська область","сільський клуб, глядацький зал
вул.Церковна, 1, с.Новосілка, Бучацький р-н, Тернопільська обл., 48461","408","126","404","31","253","29","282","","0","253","29","282","11","271","71","147","34","1","3","1","14","29.10.12"
"610202","166","Тернопільська область","Поліклінічне відділення Бучацької центральної комунальної районної лікарні, зала засідань
вул.Галицька, 40, м.Бучач, Тернопільська обл., 48400","56","25","47","27","18","13","31","","0","18","13","31","4","27","5","3","4","0","0","1","14","29.10.12"
"610203","166","Тернопільська область","фельдшерсько-акушерський пункт, к.1
вул.Троянівська, 5, с.Боднарівка, Гусятинський р-н, Тернопільська обл., 48207","104","20","99","13","71","13","84","","0","71","13","84","1","83","17","33","3","0","6","1","23","29.10.12"
"610204","166","Тернопільська область","сільський клуб, концертний зал
вул.Грушевського, 2, с.Буцики, Гусятинський р-н, Тернопільська обл., 48210","320","59","317","14","248","13","261","","0","248","13","261","5","256","78","68","60","2","10","1","37","29.10.12"
"610205","166","Тернопільська область","будинок культури, фойє
вул.Незалежності, 32, с.Васильківці, Гусятинський р-н, Тернопільська обл., 48257","1048","327","1040","70","651","70","721","","0","651","70","721","26","695","193","318","90","3","12","3","76","29.10.12"
"610206","166","Тернопільська область","сільський клуб, концертний зал
вул.Грушевського, 42, с.Верхівці, Гусятинський р-н, Тернопільська обл., 48245","336","70","334","25","241","25","266","","0","241","25","266","8","258","65","66","84","4","4","0","35","29.10.12"
"610207","166","Тернопільська область","сільський клуб, каб.1
вул.Підлісна, 55А, с.Вигода, Гусятинський р-н, Тернопільська обл., 48273","144","26","140","6","112","6","118","","0","112","6","118","3","115","63","18","12","1","3","1","17","29.10.12"
"610208","166","Тернопільська область","сільський клуб, концертний зал
вул.Набережна, 54, с.Волиця, Гусятинський р-н, Тернопільська обл., 48233","224","71","217","26","130","23","153","","0","130","23","153","7","146","43","38","15","0","6","3","41","29.10.12"
"610209","166","Тернопільська область","будинок культури, концертний зал
вул.Центральна, 136А, с.Вікно, Гусятинський р-н, Тернопільська обл., 48217","888","304","869","56","528","56","584","","0","528","56","584","20","564","161","196","112","11","4","1","79","29.10.12"
"610210","166","Тернопільська область","сільська рада, кабінет голови
вул.І.Франка, 19, с.Вільхівчик, Гусятинський р-н, Тернопільська обл., 48254","496","118","492","29","349","29","378","","0","349","29","378","8","370","128","128","49","5","16","4","40","29.10.12"
"610211","166","Тернопільська область","школа, фойє
вул.Залізнична, 8, с.Гадинківці, Гусятинський р-н, Тернопільська обл., 48273","760","237","753","72","454","69","523","","0","454","69","523","11","512","314","94","17","2","8","0","77","29.10.12"
"610212","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 1, с.Глібів, Гусятинський р-н, Тернопільська обл., 48216","736","244","730","68","428","64","492","","0","428","64","492","17","475","118","149","108","2","46","1","51","29.10.12"
"610213","166","Тернопільська область","будинок культури, концертний зал
пл.І.Пулюя, 1, смт Гримайлів, Гусятинський р-н, Тернопільська обл., 48210","1528","542","1513","79","914","72","986","","0","914","72","986","20","966","308","158","189","5","125","11","170","29.10.12"
"610214","166","Тернопільська область","будинок культури, танцювальний зал
вул.Центральна, 330Б, с.Городниця, Гусятинський р-н, Тернопільська обл., 48237","1208","291","1198","100","820","97","917","","0","820","97","917","31","886","354","203","241","5","30","3","50","29.10.12"
"610215","166","Тернопільська область","будинок культури, танцювальний зал
вул.Наливайка, 2, смт Гусятин, Гусятинський р-н, Тернопільська обл., 48201","2504","865","2492","28","1616","23","1639","","0","1616","23","1639","25","1614","400","381","214","12","325","20","262","29.10.12"
"610216","166","Тернопільська область","школа, фойє
вул.Шевченка, 2, смт Гусятин, Гусятинський р-н, Тернопільська обл., 48201","2512","875","2486","14","1623","14","1637","","0","1623","14","1637","33","1604","447","371","244","10","334","12","186","29.10.12"
"610217","166","Тернопільська область","будинок культури, танцювальний зал
вул.Центральна, 191, с.Жабинці, Гусятинський р-н, Тернопільська обл., 48271","464","99","460","45","321","44","365","","0","321","44","365","5","360","186","71","39","2","22","1","39","29.10.12"
"610218","166","Тернопільська область","сільський клуб, каб.1
вул.Заремба Підлісна, 50А, с.Вигода, Гусятинський р-н, Тернопільська обл., 48273","72","17","68","13","43","12","55","","0","43","12","55","1","54","22","10","3","0","0","1","18","29.10.12"
"610219","166","Тернопільська область","сільський клуб, концертний зал
вул.Центральна, 46, с.Зелене, Гусятинський р-н, Тернопільська обл., 48230","328","67","321","21","240","21","261","","0","240","21","261","6","255","34","132","26","0","8","1","54","29.10.12"
"610220","166","Тернопільська область","сільський клуб, концертний зал
вул.Сатанівська, 27, с.Калагарівка, Гусятинський р-н, Тернопільська обл., 48233","472","124","468","56","292","56","348","","0","292","56","348","9","339","103","134","38","1","14","4","45","29.10.12"
"610221","166","Тернопільська область","сільський клуб, концертний зал
вул.Міцкевича, 1, с.Карашинці, Гусятинський р-н, Тернопільська обл., 48240","392","103","386","28","261","28","289","","0","261","28","289","5","284","69","157","36","0","3","1","18","29.10.12"
"610222","166","Тернопільська область","школа, фойє
вул.Шкільна, 3, с.Клювинці, Гусятинський р-н, Тернопільська обл., 48246","960","210","948","68","682","68","750","","0","682","68","750","30","720","200","223","98","2","7","0","190","29.10.12"
"610223","166","Тернопільська область","фельдшерсько-акушерський пункт, к.1
вул.Центральна, 436, с.Козина, Гусятинський р-н, Тернопільська обл., 48231","128","34","123","7","87","7","94","","0","87","7","94","7","87","26","26","3","0","0","0","32","28.10.12"
"610224","166","Тернопільська область","фельдшерсько-акушерський пункт, к.1
вул.Висока, 41, с.Кокошинці, Гусятинський р-н, Тернопільська обл., 48215","104","22","101","21","61","21","82","","0","61","21","82","2","80","45","16","10","0","0","2","7","29.10.12"
"610225","166","Тернопільська область","будинок культури, танцювальний зал
вул.Шевченка, 13, м.Копичинці, Гусятинський р-н, Тернопільська обл., 48260","1840","686","1817","18","1142","12","1154","","0","1142","12","1154","32","1122","511","273","171","1","27","11","128","29.10.12"
"610226","166","Тернопільська область","кінотеатр, фойє
вул.Чортківська, 5, м.Копичинці, Гусятинський р-н, Тернопільська обл., 48260","1832","739","1811","37","1059","34","1093","","0","1059","34","1093","19","1074","434","382","131","2","22","12","91","29.10.12"
"610227","166","Тернопільська область","школа №2, фойє
вул.Л.Українки, 7, м.Копичинці, Гусятинський р-н, Тернопільська обл., 48260","1632","638","1622","64","935","59","994","","0","935","59","994","22","972","392","370","108","6","24","6","66","29.10.12"
"610228","166","Тернопільська область","будинок культури, фойє
вул.Шевченка, 1Б, с.Котівка, Гусятинський р-н, Тернопільська обл., 48270","760","249","752","35","479","32","511","","0","479","32","511","9","502","261","114","45","1","18","5","58","29.10.12"
"610229","166","Тернопільська область","школа, фойє
вул.Зелений кут, 3, с.Коцюбинці, Гусятинський р-н, Тернопільська обл., 48271","1336","233","1325","111","992","111","1103","","0","992","111","1103","22","1081","627","283","59","6","20","3","83","29.10.12"
"610230","166","Тернопільська область","школа, фойє
вул.Центральна, 1, с.Красне, Гусятинський р-н, Тернопільська обл., 48231","464","114","458","30","323","27","350","","0","323","27","350","13","337","169","51","16","1","7","1","92","29.10.12"
"610231","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 5, с.Крогулець, Гусятинський р-н, Тернопільська обл., 48256","672","202","655","31","439","31","470","","0","439","31","470","21","449","143","156","44","5","14","2","85","29.10.12"
"610232","166","Тернопільська область","сільський клуб, концертний зал
вул.Л.Українки, 105, с.Лежанівка, Гусятинський р-н, Тернопільська обл., 48210","216","73","208","27","116","27","143","","0","116","27","143","2","141","63","31","30","0","1","16","0","29.10.12"
"610233","166","Тернопільська область","будинок культури, фойє
вул.Замісця, 3, с.Личківці, Гусятинський р-н, Тернопільська обл., 48253","1608","405","1596","137","1066","137","1203","","0","1066","137","1203","25","1178","447","371","201","5","37","4","113","28.10.12"
"610234","166","Тернопільська область","сільський клуб, концертний зал
вул.Центральна, 114, с.Майдан, Гусятинський р-н, Тернопільська обл., 48266","192","67","186","16","112","13","125","","0","112","13","125","5","120","46","41","5","0","1","0","27","29.10.12"
"610235","166","Тернопільська область","сільський клуб, концертний зал
вул.Шевченка, 40, с.Малі Бірки, Гусятинський р-н, Тернопільська обл., 48234","296","71","295","33","192","33","225","","0","192","33","225","4","221","65","93","20","0","4","1","38","29.10.12"
"610236","166","Тернопільська область","сільська рада, зал засідань
вул.І.Левицького, 25, с.Мала Лука, Гусятинський р-н, Тернопільська обл., 48215","264","66","261","17","182","16","198","","0","182","16","198","3","195","42","76","7","2","4","2","62","29.10.12"
"610237","166","Тернопільська область","сільський клуб, концертний зал
вул.Центр, 31, с.Целіїв, Гусятинський р-н, Тернопільська обл., 48250","480","159","479","38","285","36","321","","0","285","36","321","14","307","84","84","43","4","7","2","83","29.10.12"
"610238","166","Тернопільська область","сільський клуб, концертний зал
вул.Польова, 3, с.Монастериха, Гусятинський р-н, Тернопільська обл., 48215","176","41","169","25","110","25","135","","0","110","25","135","8","127","48","20","19","1","1","1","37","29.10.12"
"610239","166","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 1, с.Нижбірок, Гусятинський р-н, Тернопільська обл., 48255","960","338","946","50","576","46","622","","0","576","46","622","29","593","233","147","39","2","8","2","162","29.10.12"
"610240","166","Тернопільська область","фельдшерсько-акушерський пункт, к.1
вул.Л.Українки, 28, с.Новосілка, Гусятинський р-н, Тернопільська обл., 48234","184","52","175","20","112","20","132","","0","112","20","132","1","131","36","58","9","1","6","0","21","30.10.12"
"610241","166","Тернопільська область","сільський клуб, концертний зал
вул.Шкільна, 2, с.Оленівка, Гусятинський р-н, Тернопільська обл., 48210","272","65","267","31","178","29","207","","0","178","29","207","5","202","58","41","40","2","2","2","57","28.10.12"
"610242","166","Тернопільська область","будинок культури, фойє
вул.Лесі Українки, 28, с.Оришківці, Гусятинський р-н, Тернопільська обл., 48272","1160","428","1093","54","679","53","732","","0","679","53","732","10","722","365","185","74","1","9","5","83","29.10.12"
"610243","166","Тернопільська область","сільський клуб, концертний зал
вул.Нова, 21, с.Паївка, Гусятинський р-н, Тернопільська обл., 48230","352","83","347","29","240","29","269","","0","240","29","269","4","265","78","127","17","0","3","0","40","29.10.12"
"610244","166","Тернопільська область","будинок культури, фойє
вул.Незалежності, 2, с.Перемилів, Гусятинський р-н, Тернопільська обл., 48245","928","247","909","52","629","52","681","","0","629","52","681","20","661","221","183","110","3","65","5","74","29.10.12"
"610245","166","Тернопільська область","сільська рада, кабінет секретаря
вул.Нижння, 18, с.Пізнанка, Гусятинський р-н, Тернопільська обл., 48216","232","63","223","7","162","7","169","","0","162","7","169","3","166","73","49","10","0","8","0","26","29.10.12"
"610246","166","Тернопільська область","будинок культури, фойє
вул.Раків Кут, 11Б, с.Постолівка, Гусятинський р-н, Тернопільська обл., 48236","1040","243","1031","91","708","89","797","","0","708","89","797","32","765","317","117","76","6","128","4","117","29.10.12"
"610247","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 250, с.Раштівці, Гусятинський р-н, Тернопільська обл., 48235","560","133","551","51","380","47","427","","0","380","47","427","12","415","174","95","66","5","13","1","61","29.10.12"
"610248","166","Тернопільська область","сільський клуб, концертний зал
вул.Незалежності, 32, с.Саджівка, Гусятинський р-н, Тернопільська обл., 48231","296","39","293","30","227","30","257","","0","227","30","257","11","246","96","43","46","0","20","0","41","29.10.12"
"610249","166","Тернопільська область","будинок культури, танцювальний зал
вул.Петра Козака, 18, с.Самолусківці, Гусятинський р-н, Тернопільська обл., 48251","784","154","770","40","591","39","630","","0","591","39","630","14","616","256","205","75","2","28","7","43","29.10.12"
"610250","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 39, с.Сидорів, Гусятинський р-н, Тернопільська обл., 48208","872","219","861","67","593","60","653","","0","593","60","653","7","646","288","132","81","4","35","2","104","29.10.12"
"610251","166","Тернопільська область","будинок культури, концертний зал
вул.Центральна, 25А, с.Сорока, Гусятинський р-н, Тернопільська обл., 48238","608","142","599","37","429","37","466","","0","429","37","466","17","449","79","78","153","6","19","3","111","29.10.12"
"610252","166","Тернопільська область","сільський клуб, концертний зал
вул.Центральна, 362, с.Ставки, Гусятинський р-н, Тернопільська обл., 48231","64","22","56","5","38","4","42","","0","38","4","42","1","41","16","6","7","1","0","0","11","29.10.12"
"610253","166","Тернопільська область","будинок культури, зал урочистих подій
вул.Шевченка, 23, с.Старий Нижбірок, Гусятинський р-н, Тернопільська обл., 48252","776","174","764","48","554","48","602","","0","554","48","602","12","590","203","180","50","2","9","1","145","29.10.12"
"610254","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 13, с.Суходіл, Гусятинський р-н, Тернопільська обл., 48207","512","120","502","40","353","39","392","","0","353","39","392","7","385","97","82","59","2","27","2","116","29.10.12"
"610255","166","Тернопільська область","сільський клуб, концертний зал
вул.Заньковецької, 4, с.Сухостав, Гусятинський р-н, Тернопільська обл., 48265","720","249","703","71","400","71","471","","0","400","71","471","18","453","215","100","76","3","7","0","52","29.10.12"
"610256","166","Тернопільська область","сільський клуб, концертний зал
вул.Центральна, 1Б, с.Теклівка, Гусятинський р-н, Тернопільська обл., 48270","160","27","158","10","123","10","133","","0","123","10","133","2","131","65","34","4","1","2","0","25","29.10.12"
"610257","166","Тернопільська область","сільська рада, зал засідань, 2-й поверх
вул.Боднарівка, 2, с.Товсте, Гусятинський р-н, Тернопільська обл., 48232","576","147","572","79","352","77","429","","0","352","77","429","10","419","155","148","50","0","12","1","53","29.10.12"
"610258","166","Тернопільська область","сільська рада, зал засідань, 2-й поверх
вул.Центральна, 10, с.Тудорів, Гусятинський р-н, Тернопільська обл., 48266","376","104","375","42","231","41","272","","0","231","41","272","9","263","74","97","18","1","3","2","68","29.10.12"
"610259","166","Тернопільська область","школа, актова зала
вул.Миру, 103, с.Увисла, Гусятинський р-н, Тернопільська обл., 48206","1032","230","1025","87","718","84","802","","0","718","84","802","15","787","428","58","252","4","15","0","30","29.10.12"
"610260","166","Тернопільська область","будинок культури, концертний зал
вул.Шевченка, 234Г, с.Хлопівка, Гусятинський р-н, Тернопільська обл., 48247","904","241","889","53","610","53","663","","0","610","53","663","22","641","214","148","183","3","9","3","81","29.10.12"
"610261","166","Тернопільська область","будинок культури, фойє
вул.Івасюка, 19, м.Хоростків, Гусятинський р-н, Тернопільська обл., 48240","1336","468","1317","37","831","37","868","","0","831","37","868","18","850","312","247","193","3","39","6","50","29.10.12"
"610262","166","Тернопільська область","школа №1, фойє
вул.Івасюка, 3, м.Хоростків, Гусятинський р-н, Тернопільська обл., 48240","1136","471","1132","21","645","20","665","","0","645","20","665","23","642","249","207","126","3","19","1","37","29.10.12"
"610263","166","Тернопільська область","школа №2, фойє
вул.Незалежності, 17, м.Хоростків, Гусятинський р-н, Тернопільська обл., 48240","1512","567","1497","22","924","21","945","","0","924","21","945","32","913","336","294","183","4","26","6","64","29.10.12"
"610264","166","Тернопільська область","Хоростківський спиртовий завод, фойє
вул.Незалежності, 21, м.Хоростків, Гусятинський р-н, Тернопільська обл., 48240","1496","595","1493","26","875","26","901","","0","875","26","901","35","866","280","275","181","2","43","5","80","29.10.12"
"610265","166","Тернопільська область","сільський клуб, концертний зал
вул.Гора, 1А, с.Целіїв, Гусятинський р-н, Тернопільська обл., 48250","592","177","578","47","370","45","415","","0","370","45","415","19","396","142","148","35","2","4","1","64","29.10.12"
"610266","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 421А, с.Чабарівка, Гусятинський р-н, Тернопільська обл., 48258","896","240","881","53","605","51","656","","0","605","51","656","12","644","157","255","153","8","22","2","47","29.10.12"
"610267","166","Тернопільська область","сільський клуб, концертний зал
вул.Центральна, 2А, с.Чагарі, Гусятинський р-н, Тернопільська обл., 48271","200","37","197","10","153","10","163","","0","153","10","163","3","160","37","57","22","1","6","1","36","29.10.12"
"610268","166","Тернопільська область","сільський клуб, концертний зал
вул.Садова, 4, с.Шидлівці, Гусятинський р-н, Тернопільська обл., 48208","144","24","144","17","103","17","120","","0","103","17","120","5","115","38","31","1","1","1","0","43","29.10.12"
"610269","166","Тернопільська область","школа, фойє
вул.Грушевського, 42, с.Яблунів, Гусятинський р-н, Тернопільська обл., 48265","1536","453","1519","125","958","125","1083","","0","958","125","1083","25","1058","508","150","268","9","21","3","99","29.10.12"
"610270","166","Тернопільська область","Копичинецька виправна колонія №112, кімната психоемоційного розвантаження
вул.Шевченка, 96, м.Копичинці, Гусятинський р-н, Тернопільська обл., 48260","1000","17","984","0","983","0","983","","0","983","0","983","202","781","110","66","109","35","42","79","340","29.10.12"
"610665","166","Тернопільська область","районний палац культури, глядацький зал
вул.Шкільна, 2, м.Монастириська, Монастириський р-н, Тернопільська обл., 48300","1440","514","1412","16","910","16","926","","0","910","16","926","26","900","449","150","166","2","20","35","78","29.10.12"
"610666","166","Тернопільська область","бібліотека, фойє
вул.Шевченка, 18, м.Монастириська, Монастириський р-н, Тернопільська обл., 48300","1056","358","1038","15","683","15","698","","0","683","15","698","27","671","317","78","170","1","27","23","55","29.10.12"
"610667","166","Тернопільська область","школа, фойє
вул.Долішня, 4, м.Монастириська, Монастириський р-н, Тернопільська обл., 48300","1008","354","994","10","645","9","654","","0","645","9","654","18","636","403","61","125","4","7","6","30","29.10.12"
"610668","166","Тернопільська область","КП ""Монастириський комунсервіс"", зал засідань
вул.Підгородня, 5, м.Монастириська, Монастириський р-н, Тернопільська обл., 48300","1184","491","1158","15","678","15","693","","0","678","15","693","15","678","375","90","150","2","14","15","32","29.10.12"
"610669","166","Тернопільська область","сільська рада, фойє
вул.Шевченка, 12, с.Чехів, Монастириський р-н, Тернопільська обл., 48324","232","57","224","15","161","14","175","","0","161","14","175","3","172","57","46","34","2","19","2","12","29.10.12"
"610670","166","Тернопільська область","сільський клуб, глядацький зал
вул.Відродження, 30, с.Тростянці, Монастириський р-н, Тернопільська обл., 48333","256","82","256","23","151","23","174","","0","151","23","174","6","168","81","25","40","3","3","1","15","29.10.12"
"610671","166","Тернопільська область","дитячий садок, ігрова кімната
вул.Лесі Українки, 2А, с.Гончарівка, Монастириський р-н, Тернопільська обл., 48332","824","275","817","41","509","40","549","","0","509","40","549","24","525","306","67","91","3","13","7","38","29.10.12"
"610672","166","Тернопільська область","школа, спортивний зал
вул.Шевченка, 7А, с.Вербка, Монастириський р-н, Тернопільська обл., 48360","360","135","345","37","189","36","225","","0","189","36","225","6","219","96","49","53","1","0","7","13","29.10.12"
"610673","166","Тернопільська область","школа, актова зала
вул.Зелена, 25, с.Діброва, Монастириський р-н, Тернопільська обл., 48370","264","88","262","30","146","30","176","","0","146","30","176","3","173","70","25","45","5","5","3","20","29.10.12"
"610674","166","Тернопільська область","школа, спортивний зал
вул.Шевченка, 54, с.Доброводи, Монастириський р-н, Тернопільська обл., 48321","536","174","530","34","330","32","362","","0","330","32","362","18","344","148","37","106","5","5","6","37","29.10.12"
"610675","166","Тернопільська область","школа, спортивний зал
вул.Центральна, 39, с.Дубенка, Монастириський р-н, Тернопільська обл., 48350","496","154","490","48","298","44","342","","0","298","44","342","18","324","157","108","36","2","2","4","15","28.10.12"
"610676","166","Тернопільська область","школа, спортивний зал
вул.Центральна, 38, с.Завадівка, Монастириський р-н, Тернопільська обл., 48313","160","45","156","5","110","5","115","","0","110","5","115","6","109","39","34","20","0","1","0","15","29.10.12"
"610677","166","Тернопільська область","школа-сад, ігрова кімната
вул.Центральна, 10, с.Маркова, Монастириський р-н, Тернопільська обл., 48382","336","100","326","30","206","30","236","","0","206","30","236","12","224","120","45","37","0","2","1","19","29.10.12"
"610678","166","Тернопільська область","школа, актова зала
вул.Івана Франка, 1, с.Коржова, Монастириський р-н, Тернопільська обл., 48313","240","73","235","16","152","15","167","","0","152","15","167","5","162","55","16","74","0","0","2","15","29.10.12"
"610679","166","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 49, с.Лазарівка, Монастириський р-н, Тернопільська обл., 48342","336","107","332","18","213","16","229","","0","213","16","229","7","222","135","46","21","0","5","0","15","29.10.12"
"610680","166","Тернопільська область","фельдшерсько-акушерський пункт, фойє
вул.Кути, 1, с.Низьколизи, Монастириський р-н, Тернопільська обл., 48340","112","26","104","19","69","17","86","","0","69","17","86","0","86","57","9","5","0","0","0","15","28.10.12"
"610681","166","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 9, с.Лядське, Монастириський р-н, Тернопільська обл., 48343","312","65","301","55","192","55","247","","0","192","55","247","7","240","159","65","7","0","0","4","5","29.10.12"
"610682","166","Тернопільська область","сільський клуб, глядацький зал
вул.Гора, 3, с.Бобрівники, Монастириський р-н, Тернопільська обл., 48343","208","55","202","14","139","14","153","","0","139","14","153","8","145","58","50","6","4","1","0","26","29.10.12"
"610683","166","Тернопільська область","сільський клуб, глядацький зал
вул.Добромишля, 38, с.Бобрівники, Монастириський р-н, Тернопільська обл., 48343","80","18","80","4","58","4","62","","0","58","4","62","1","61","35","7","5","0","1","0","13","29.10.12"
"610684","166","Тернопільська область","школа, спортивний зал
вул.Центральна, 180, с.Ковалівка, Монастириський р-н, Тернопільська обл., 48322","896","246","886","50","600","50","650","","0","600","50","650","53","597","282","84","170","5","6","2","48","29.10.12"
"610685","166","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 29, с.Олеша, Монастириський р-н, Тернопільська обл., 48323","280","67","277","14","199","14","213","","0","199","14","213","8","205","57","41","65","5","8","2","27","29.10.12"
"610686","166","Тернопільська область","сільський клуб, глядацький зал
вул.Підлісна, 1А, с.Савелівка, Монастириський р-н, Тернопільська обл., 48322","192","50","188","10","133","9","142","","0","133","9","142","4","138","43","32","50","1","2","0","10","28.10.12"
"610687","166","Тернопільська область","будинок культури, глядацький зал
вул.Незалежності, 2, с.Горигляди, Монастириський р-н, Тернопільська обл., 48372","896","468","884","34","404","24","428","","0","404","24","428","25","403","156","57","144","1","4","11","30","29.10.12"
"610688","166","Тернопільська область","школа, актова зала
вул.Марка Каганця, 28, смт Коропець, Монастириський р-н, Тернопільська обл., 48370","1432","618","1414","66","752","62","814","","0","752","62","814","18","796","477","95","134","4","34","8","44","28.10.12"
"610689","166","Тернопільська область","школа, к.1
вул.Шевченка, 180, смт Коропець, Монастириський р-н, Тернопільська обл., 48370","760","275","747","55","432","53","485","","0","432","53","485","15","470","247","123","59","5","8","6","22","29.10.12"
"610690","166","Тернопільська область","будинок культури, глядацький зал
вул.Ів-Франка, 110, смт Коропець, Монастириський р-н, Тернопільська обл., 48370","456","163","450","31","262","31","293","","0","262","31","293","11","282","154","55","40","0","1","8","24","28.10.12"
"610691","166","Тернопільська область","школа, фойє
вул.Вадівська, 46А, с.Світле, Монастириський р-н, Тернопільська обл., 48370","224","119","218","18","92","13","105","","0","92","13","105","2","103","64","20","9","1","3","2","4","29.10.12"
"610692","166","Тернопільська область","сільський клуб, глядацький зал
вул.Черешнева, 49Б, с.Стигла, Монастириський р-н, Тернопільська обл., 48370","224","98","217","13","114","12","126","","0","114","12","126","7","119","66","13","26","1","4","4","5","29.10.12"
"610693","166","Тернопільська область","школа, спортивний зал
вул.Центральна, 16, с.Комарівка, Монастириський р-н, Тернопільська обл., 48352","272","81","267","28","164","27","191","","0","164","27","191","8","183","77","25","37","5","9","6","24","29.10.12"
"610694","166","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 105А, с.Красіїв, Монастириський р-н, Тернопільська обл., 48334","568","165","558","62","341","62","403","","0","341","62","403","21","382","264","35","35","2","18","2","26","29.10.12"
"610695","166","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 28А, с.Горішня Слобідка, Монастириський р-н, Тернопільська обл., 48315","608","167","602","30","411","30","441","","0","411","30","441","15","426","232","52","114","2","5","4","17","29.10.12"
"610696","166","Тернопільська область","сільський клуб, глядацький зал
вул.Миру, 31А, с.Нова-Гута, Монастириський р-н, Тернопільська обл., 48300","184","61","164","14","109","14","123","","0","109","14","123","2","121","72","14","25","1","1","0","8","29.10.12"
"610697","166","Тернопільська область","школа, спортивний зал
вул.Грушевського, 36, с.Вістря, Монастириський р-н, Тернопільська обл., 48371","768","267","760","31","471","30","501","","0","471","30","501","14","487","207","49","162","3","9","3","54","28.10.12"
"610698","166","Тернопільська область","сільська рада, зал засідань
вул.Шевченка, 17, с.Задарів, Монастириський р-н, Тернопільська обл., 48340","816","273","800","49","499","44","543","","0","499","44","543","19","524","377","50","54","1","8","4","30","29.10.12"
"610699","166","Тернопільська область","школа, фойє
вул.Шевченка, 11, с.Сеньків, Монастириський р-н, Тернопільська обл., 48340","168","56","166","5","107","5","112","","0","107","5","112","7","105","49","18","15","1","1","3","18","29.10.12"
"610700","166","Тернопільська область","сільська рада, фойє
вул.Шевченка, 101, с.Григорів, Монастириський р-н, Тернопільська обл., 48324","488","140","481","29","320","28","348","","0","320","28","348","8","340","122","121","70","2","2","1","22","29.10.12"
