"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Борисюк
Тарас
Григорович","Гайдаєв
Юрій
Олександрович","Герасимова
Ірина
Дмитрівна","Добруцький
Ігор
Ігорович","Зубко
Ігор
Миколайович","Кавунець
Андрій
Володимирович","Катеринчук
Микола
Дмитрович","Климчук
Олександр
Миколайович","Коваль
Тарас
Іванович","Негруб
Микола
Іванович","Оніщенко
Сергій
Вікторович","Палій
Ліна
Миколаївна","Сусла
Василь
Станіславович","Черній
Василь
Васильович","Шепелев
Олександр
Олександрович","Юрчишин
Петро
Васильович","Яремчук
Юрій
Якович","Дата підписання протоколу"
"050375","13","Вінницька область","школа, актова зала
вул.Леніна, 17А, с.Байківка, Калинівський р-н, Вінницька обл., 22430","384","57","385","38","291","36","327","","0","291","36","327","7","320","2","46","2","3","9","2","213","0","0","0","0","0","0","3","1","37","2","29.10.12"
"050376","13","Вінницька область","школа, актова зала
вул.Перемоги, 32, с.Грушківці, Калинівський р-н, Вінницька обл., 22430","392","100","389","30","266","26","292","","0","266","26","292","4","288","0","34","2","0","9","1","180","1","0","0","0","0","0","2","2","56","1","29.10.12"
"050377","13","Вінницька область","школа, спортивний зал
вул.Леніна, 6, с.Глинськ, Калинівський р-н, Вінницька обл., 22425","1008","322","1002","42","647","39","686","","0","647","39","686","10","676","2","160","2","6","10","4","339","4","0","1","0","0","1","16","6","123","2","29.10.12"
"050378","13","Вінницька область","будинок культури, зал
вул.Весела, 5, с.Панасівка, Калинівський р-н, Вінницька обл., 22425","44","13","42","0","31","0","31","","0","31","0","31","1","30","0","11","0","0","0","1","7","0","0","1","0","0","0","7","0","3","0","28.10.12"
"050379","13","Вінницька область","будинок культури, зал
вул.Леніна, 40, с.Голубівка, Калинівський р-н, Вінницька обл., 22442","220","62","216","21","137","21","158","","0","137","21","158","1","157","0","30","1","0","4","2","106","0","0","0","0","0","0","1","4","8","1","28.10.12"
"050380","13","Вінницька область","школа, актова зала
вул.Жовтнева, 5, с.Червоний Степ, Калинівський р-н, Вінницька обл., 22441","584","180","581","45","364","40","404","","0","364","40","404","10","394","2","42","2","1","13","4","272","0","2","4","0","1","0","12","1","36","2","29.10.12"
"050381","13","Вінницька область","школа, спортивний зал
вул.Леніна, 85, с.Гущинці, Калинівський р-н, Вінницька обл., 22434","1844","596","1833","71","1190","58","1248","","0","1190","58","1248","20","1228","1","278","6","5","34","18","728","3","2","8","1","0","0","13","17","107","7","29.10.12"
"050382","13","Вінницька область","сільський клуб, зал
вул.Шкільна, 50, с.Кам’яногірка, Калинівський р-н, Вінницька обл., 22435","256","53","255","19","186","17","203","","0","186","17","203","7","196","1","16","2","0","24","5","128","1","1","0","4","1","0","0","3","8","2","29.10.12"
"050383","13","Вінницька область","школа, спортивний зал
вул.Леніна, 54, с.Дружелюбівка, Калинівський р-н, Вінницька обл., 22450","612","138","612","43","434","40","474","","0","434","40","474","3","471","3","51","1","1","52","3","297","0","0","0","0","1","0","7","1","53","1","28.10.12"
"050384","13","Вінницька область","будинок культури, зал
вул.Першотравнева, 1А, с.Дружне, Калинівський р-н, Вінницька обл., 22453","516","113","513","48","359","44","403","","0","359","44","403","8","395","0","142","3","0","12","4","182","1","0","4","0","2","0","21","9","13","2","31.10.12"
"050385","13","Вінницька область","будинок культури, зал
вул.Леніна, 28, с.Жигалівка, Калинівський р-н, Вінницька обл., 22423","412","72","406","53","291","49","340","","0","291","49","340","9","331","0","95","3","0","4","2","180","3","1","0","0","0","0","4","0","38","1","28.10.12"
"050386","13","Вінницька область","будинок культури, хол
вул.Калініна, 15, с.Заливанщина, Калинівський р-н, Вінницька обл., 22440","580","204","576","15","363","13","376","","0","363","13","376","7","369","2","50","3","1","13","2","200","2","0","1","0","0","1","5","5","84","0","28.10.12"
"050387","13","Вінницька область","сільська рада, зал засідань
вул.Свинаря, 17, с.Іванів, Калинівський р-н, Вінницька обл., 22432","1588","703","1572","28","857","28","885","","0","857","28","885","19","866","2","122","3","7","66","7","553","5","2","2","1","1","2","5","7","75","6","29.10.12"
"050388","13","Вінницька область","ПрАТ ""Зернопродукт"", хол
вул.Леніна, 1, с.Іванів, Калинівський р-н, Вінницька обл., 22432","1664","698","1650","41","926","40","966","","0","926","40","966","16","950","1","163","5","1","53","3","658","4","1","1","0","0","0","8","3","47","2","29.10.12"
"050389","13","Вінницька область","школа, спортивний зал
вул.Руданського, 95А, с.Слобідка, Калинівський р-н, Вінницька обл., 22433","552","150","543","53","350","52","402","","0","350","52","402","4","398","1","138","1","1","10","2","208","2","1","1","1","1","0","3","4","24","0","29.10.12"
"050390","13","Вінницька область","будинок культури, зал засідань
вул.Леніна, 3, с.Кіровка, Калинівський р-н, Вінницька обл., 22451","432","143","432","40","251","38","289","","0","251","38","289","6","283","1","36","1","4","7","10","176","3","1","0","0","2","1","11","5","22","3","28.10.12"
"050391","13","Вінницька область","СВК ""Колос"", зал засідань
вул.Леніна, 3, с.Польова Лисіївка, Калинівський р-н, Вінницька обл., 22451","308","105","305","16","189","14","203","","0","189","14","203","3","200","1","6","0","2","3","6","160","0","0","0","0","0","0","2","0","20","0","29.10.12"
"050392","13","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Суворова, 1, с.Червона Трибунівка, Калинівський р-н, Вінницька обл., 22451","124","37","126","11","76","11","87","","0","76","11","87","9","78","0","6","3","0","8","2","47","0","1","0","0","0","1","2","1","6","1","30.10.12"
"050393","13","Вінницька область","школа, спортивний зал, 1-й поверх
вул.Київська, 1Б, с.Корделівка, Калинівський р-н, Вінницька обл., 22445","2228","940","2195","41","1254","34","1288","","0","1254","34","1288","21","1267","5","273","7","4","34","17","741","8","7","3","3","3","2","10","9","132","9","29.10.12"
"050394","13","Вінницька область","сільський клуб, зал
вул.40-річчя Перемоги, 1, с.Загребельня, Калинівський р-н, Вінницька обл., 22446","460","127","469","10","323","10","333","","0","323","10","333","1","332","0","78","1","3","16","2","197","4","4","0","0","1","0","3","2","21","0","31.10.12"
"050395","13","Вінницька область","будинок культури, зал
вул.Леніна, 25А, с.Комунарівка, Калинівський р-н, Вінницька обл., 22426","956","321","951","39","596","39","635","","0","596","39","635","12","623","2","91","4","7","22","6","367","6","1","0","0","1","2","11","7","96","0","29.10.12"
"050396","13","Вінницька область","будинок культури, зал
вул.Леніна, 18А, с.Котюжинці, Калинівський р-н, Вінницька обл., 22447","492","147","485","42","314","31","345","","0","314","31","345","9","336","4","36","1","0","23","4","191","3","3","0","1","1","0","5","5","52","7","29.10.12"
"050397","13","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Пушкіна, 60, с-ще Гулівці, Калинівський р-н, Вінницька обл., 22447","324","113","323","12","202","9","211","","0","202","9","211","3","208","1","7","2","4","9","2","122","1","0","0","0","0","0","3","2","54","1","29.10.12"
"050398","13","Вінницька область","школа, хол
вул.Шкільна, 14, с.Лемешівка, Калинівський р-н, Вінницька обл., 22410","440","104","451","33","303","33","336","","0","303","33","336","3","333","0","31","3","1","22","4","188","3","0","0","0","1","0","1","6","71","2","29.10.12"
"050399","13","Вінницька область","сільський клуб, зал
вул.Леніна, 2, с.Райки, Калинівський р-н, Вінницька обл., 22410","288","70","289","18","201","17","218","","0","201","17","218","5","213","0","7","0","2","4","2","135","0","0","0","0","1","0","6","1","55","0","28.10.12"
"050400","13","Вінницька область","сільський клуб, зал
вул.Леніна, 8, с.Малі Кутища, Калинівський р-н, Вінницька обл., 22410","260","14","272","27","219","27","246","","0","219","27","246","3","243","0","10","0","0","1","1","136","2","0","3","1","0","0","4","0","85","0","28.10.12"
"050401","13","Вінницька область","школа, спортивний зал
вул.Вінницька, 2, с.Лісова Лисіївка, Калинівський р-н, Вінницька обл., 22461","1008","329","936","71","611","68","679","","0","611","68","679","23","656","5","179","3","1","21","6","362","3","2","2","1","2","2","6","3","53","5","29.10.12"
"050402","13","Вінницька область","будинок культури, зал
вул.Леніна, 25, с.Люлинці, Калинівський р-н, Вінницька обл., 22411","596","156","603","60","381","59","440","","0","381","59","440","4","436","2","8","0","0","5","4","240","2","1","0","1","0","0","4","3","166","0","28.10.12"
"050403","13","Вінницька область","сільська рада, зал засідань
вул.Гагаріна, 1, с.Мізяків, Калинівський р-н, Вінницька обл., 22437","532","200","528","58","278","54","332","","0","278","54","332","10","322","1","37","2","1","5","6","193","2","4","1","2","0","0","4","9","54","1","29.10.12"
"050404","13","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Свердлова, 40А, с.Мізяківська Слобідка, Калинівський р-н, Вінницька обл., 22437","140","27","139","18","96","17","113","","0","96","17","113","4","109","0","6","0","0","0","3","84","1","0","0","0","0","0","5","1","9","0","31.10.12"
"050405","13","Вінницька область","будинок культури, зал
вул.Першотравнева, 4, с.Нападівка, Калинівський р-н, Вінницька обл., 22413","272","81","272","18","175","16","191","","0","175","16","191","5","186","1","17","1","1","7","1","128","1","0","0","0","1","2","1","1","24","0","29.10.12"
"050406","13","Вінницька область","сільський клуб, зал
вул.Садова, 1, с.Мончинці, Калинівський р-н, Вінницька обл., 22413","168","23","167","19","127","18","145","","0","127","18","145","3","142","1","2","1","0","0","1","106","0","1","0","0","0","0","5","1","23","1","29.10.12"
"050407","13","Вінницька область","будинок культури, зал
вул.Шкільна, 5, с.Нова Гребля, Калинівський р-н, Вінницька обл., 22452","792","288","787","72","435","69","504","","0","435","69","504","20","484","1","42","1","6","13","18","330","6","4","1","3","2","1","9","11","31","5","29.10.12"
"050408","13","Вінницька область","сільський клуб, зал
вул.Комуністична, 17, с.Пиків, Калинівський р-н, Вінницька обл., 22420","796","223","788","84","494","79","573","","0","494","79","573","5","568","1","80","2","1","31","10","368","4","1","0","0","2","0","14","2","51","1","29.10.12"
"050409","13","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Сонячна, 1, с.Пиків, Калинівський р-н, Вінницька обл., 22420","540","157","539","60","331","52","383","","0","331","52","383","7","376","2","54","0","2","18","6","238","3","0","1","1","0","0","7","3","41","0","29.10.12"
"050410","13","Вінницька область","сільський клуб, зал
вул.8 Березня, 14, с.Шепіївка, Калинівський р-н, Вінницька обл., 22421","360","70","354","40","250","40","290","","0","250","40","290","5","285","0","77","1","1","1","3","178","1","0","0","0","0","0","3","1","17","2","29.10.12"
"050411","13","Вінницька область","будинок культури, зал
вул.Леніна, 211, с.Павлівка, Калинівський р-н, Вінницька обл., 22436","1684","548","1685","101","1052","84","1136","","0","1052","84","1136","21","1115","1","218","0","4","131","12","646","6","8","4","1","2","0","8","14","56","4","29.10.12"
"050412","13","Вінницька область","школа, спортивний зал
вул.Шкільна, 18, с.Павлівка, Калинівський р-н, Вінницька обл., 22436","1352","478","1350","85","800","74","874","","0","800","74","874","12","862","5","195","3","2","54","6","517","3","2","1","1","0","0","8","2","62","1","29.10.12"
"050413","13","Вінницька область","сільський клуб, зал
вул.Щорса, 1, с.Писарівка, Калинівський р-н, Вінницька обл., 22407","632","194","629","29","409","29","438","","0","409","29","438","12","426","2","41","3","0","6","0","275","0","3","1","0","0","0","8","2","81","4","29.10.12"
"050414","13","Вінницька область","ПП ""Радівське"", зал засідань
вул.Центральна, 1, с.Радівка, Калинівський р-н, Вінницька обл., 22415","828","212","823","44","573","43","616","","0","573","43","616","13","603","1","165","2","5","9","4","273","0","4","2","0","0","1","13","3","115","6","29.10.12"
"050415","13","Вінницька область","школа, спортивний зал
вул.Жовтнева, 1, с.Сальник, Калинівський р-н, Вінницька обл., 22460","1428","525","1423","44","863","40","903","","0","863","40","903","19","884","2","161","0","4","62","13","565","4","1","0","1","2","1","7","5","52","4","29.10.12"
"050416","13","Вінницька область","школа, спортивний зал
вул.Шкільна, 3А, с.Уладівське, Калинівський р-н, Вінницька обл., 22422","708","211","702","46","458","39","497","","0","458","39","497","8","489","1","48","0","3","12","9","280","1","2","0","0","0","0","29","4","96","4","29.10.12"
"050417","13","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Леніна, 86, с.Жовтневе, Калинівський р-н, Вінницька обл., 22412","328","80","327","36","212","36","248","","0","212","36","248","2","246","1","9","1","1","0","4","190","1","0","0","0","0","0","14","1","24","0","29.10.12"
"050418","13","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Шкільна, 4, с.Антонопіль, Калинівський р-н, Вінницька обл., 22412","228","56","235","26","148","24","172","","0","148","24","172","3","169","1","9","0","0","2","3","117","0","0","1","2","0","0","9","2","22","1","29.10.12"
"050419","13","Вінницька область","будинок культури, зал
вул.Першотравнева, 2, с.Хомутинці, Калинівський р-н, Вінницька обл., 22424","472","114","474","49","315","43","358","","0","315","43","358","1","357","0","18","0","2","13","5","220","2","0","0","0","0","0","7","13","75","2","29.10.12"
"050420","13","Вінницька область","сільська рада, зал засідань
вул.Леніна, 29, с.Чернятин, Калинівський р-н, Вінницька обл., 22444","256","72","263","14","173","11","184","","0","173","11","184","3","181","0","12","1","1","7","7","130","1","1","0","0","0","0","3","1","15","2","28.10.12"
"050421","13","Вінницька область","будинок культури, зал
вул.Лермонтова, 1, с.Чернятин, Калинівський р-н, Вінницька обл., 22444","204","73","191","9","126","5","131","","0","126","5","131","2","129","1","6","4","0","1","3","96","0","0","0","0","1","0","5","1","8","3","29.10.12"
"050422","13","Вінницька область","сільська рада, зал засідань
вул.Леніна, 5, с.Черепашинці, Калинівський р-н, Вінницька обл., 22443","1048","315","1047","95","652","81","733","","0","652","81","733","15","718","0","143","4","3","29","11","404","1","0","1","0","0","1","4","3","107","7","29.10.12"
"050423","13","Вінницька область","ВАТ ""Вінніфрут"", зал засідань, 1-й поверх
вул.Фрунзе, 45, м.Калинівка, Калинівський р-н, Вінницька обл., 22400","1960","722","1944","39","1207","31","1238","","0","1207","31","1238","26","1212","5","6","140","12","42","17","813","8","4","2","2","4","1","19","1","124","12","29.10.12"
"050424","13","Вінницька область","будинок культури ПТУ-21, хол
вул.Леніна, 87, м.Калинівка, Калинівський р-н, Вінницька обл., 22400","1884","663","1870","39","1187","34","1221","","0","1187","34","1221","21","1200","1","192","2","5","34","30","785","0","9","11","1","1","0","7","4","112","6","29.10.12"
