"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойдаченко
Антон
Павлович","Волковський
Володимир
Григорович","Заболотний
Григорій
Михайлович","Капітан
Олександр
Олександрович","Кирилюк
Максим
Анатолійович","Кольцов
Микола
Гнатович","Кучер
Микола
Іванович","Мальченко
Олександр
Андрійович","Мельник
Юрій
Іванович","Попенко
Ігор
Петрович","Чумак
Сергій
Вікторович","Дата підписання протоколу"
"050072","17","Вінницька область","школа №3, актова зала
вул.Червоноармійська, 56, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","2346","980","2306","26","1348","18","1366","","0","1348","18","1366","33","1333","116","2","881","15","12","7","291","0","5","2","2","29.10.12"
"050073","17","Вінницька область","школа №1, фойє
вул.50 років ВЛКСМ, 15, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","2466","1062","2419","15","1391","13","1404","","0","1391","13","1404","41","1363","124","7","910","15","15","13","266","3","4","3","3","30.10.12"
"050074","17","Вінницька область","районний будинок культури, фойє
вул.Червоноармійська, 5, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","2381","1038","2368","8","1335","8","1343","","0","1335","8","1343","29","1314","119","3","871","26","21","10","250","1","5","4","4","29.10.12"
"050075","17","Вінницька область","будинок культури спиртзаводу, фойє
вул.50 років Жовтня, 3, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","1332","539","1321","4","790","3","793","","0","790","3","793","26","767","79","0","463","14","12","7","187","2","2","0","1","29.10.12"
"050076","17","Вінницька область","будинок культури цукрозаводу, фойє
вул.50 років Жовтня, 212, м.Бершадь, Бершадський р-н, Вінницька обл., 24400","2082","924","2049","19","1144","14","1158","","0","1144","14","1158","41","1117","84","3","578","17","29","16","368","2","6","3","11","29.10.12"
"050077","17","Вінницька область","будинок культури, фойє
050077 вул.Перемоги, 3, с.Баланівка, Бершадський р-н, Вінницька обл., 24413","1656","593","1647","26","1037","26","1063","","0","1037","26","1063","28","1035","53","1","432","29","2","4","510","1","2","1","0","29.10.12"
"050078","17","Вінницька область","школа, фойє
050078 вул.Перемоги, 15, с.Баланівка, Бершадський р-н, Вінницька обл., 24413","960","390","953","7","563","7","570","","0","563","7","570","15","555","21","0","225","10","2","2","290","1","1","0","3","29.10.12"
"050079","17","Вінницька область","школа, фойє
вул.Леніна, 285, с.Бирлівка, Бершадський р-н, Вінницька обл., 24414","1758","602","1741","55","1104","52","1156","","0","1104","52","1156","32","1124","45","2","488","6","4","3","561","5","6","3","1","29.10.12"
"050080","17","Вінницька область","будинок культури, фойє
вул.Шевченка, 50, с.Велика Киріївка, Бершадський р-н, Вінницька обл., 24455","1416","522","1419","55","842","52","894","","0","842","52","894","23","871","62","4","593","17","8","6","170","6","4","0","1","29.10.12"
"050081","17","Вінницька область","школа, фойє
вул.Леніна, 17, с.Війтівка, Бершадський р-н, Вінницька обл., 24412","1656","667","1636","9","981","8","989","","0","981","8","989","15","974","29","1","600","3","8","3","312","8","4","5","1","01.11.12"
"050082","17","Вінницька область","будинок культури, фойє
вул.Леніна, 50, с.Війтівка, Бершадський р-н, Вінницька обл., 24412","1620","568","1611","11","1045","7","1052","","0","1045","7","1052","36","1016","69","3","576","12","17","2","317","4","6","5","5","29.10.12"
"050083","17","Вінницька область","будинок культури, фойє
вул.Центральна, 80А, с.Голдашівка, Бершадський р-н, Вінницька обл., 24464","588","204","573","49","336","48","384","","0","336","48","384","12","372","3","1","276","2","2","0","86","0","2","0","0","30.10.12"
"050084","17","Вінницька область","школа, фойє
вул.Некрасова, 10, с.Джулинка, Бершадський р-н, Вінницька обл., 24450","1356","567","1353","30","759","30","789","","0","759","30","789","27","762","124","4","328","12","14","4","260","0","5","8","3","29.10.12"
"050085","17","Вінницька область","будинок культури, фойє
вул.Центральна, 32, с.Джулинка, Бершадський р-н, Вінницька обл., 24450","1440","537","1427","46","857","46","903","","0","857","46","903","33","870","150","0","424","4","5","7","261","5","0","9","5","29.10.12"
"050086","17","Вінницька область","школа, фойє
пров.Шкільний, 6, с.Берізки-Бершадські, Бершадський р-н, Вінницька обл., 24451","642","191","635","46","406","45","451","","0","406","45","451","23","428","0","6","265","13","3","2","136","0","0","3","0","29.10.12"
"050087","17","Вінницька область","будинок культури, фойє
вул.Миру, 2, с.Дяківка, Бершадський р-н, Вінницька обл., 24444","462","113","466","21","329","20","349","","0","329","20","349","7","342","5","2","185","13","3","3","127","1","0","0","3","29.10.12"
"050088","17","Вінницька область","будинок культури, фойє
вул.Ковальчука, 1, с.Кидрасівка, Бершадський р-н, Вінницька обл., 24465","360","79","360","59","224","57","281","","0","224","57","281","6","275","4","2","233","0","1","0","35","0","0","0","0","28.10.12"
"050089","17","Вінницька область","будинок культури, фойє
вул.Лесі Українки, 30А, с.Кошаринці, Бершадський р-н, Вінницька обл., 24411","468","135","465","26","307","26","333","","0","307","26","333","12","321","26","0","91","5","7","4","181","1","2","1","3","28.10.12"
"050090","17","Вінницька область","будинок культури, фойє
вул.Незалежності, 40, с.Красносілка, Бершадський р-н, Вінницька обл., 24421","1470","499","1465","40","931","40","971","","0","931","40","971","15","956","123","2","422","7","11","4","319","1","3","61","3","29.10.12"
"050091","17","Вінницька область","будинок культури, фойє
вул.Кушніра, 2А, с.Лісниче, Бершадський р-н, Вінницька обл., 24462","870","293","853","43","534","43","577","","0","534","43","577","2","575","9","2","457","7","3","0","93","0","3","0","1","29.10.12"
"050092","17","Вінницька область","школа, фойє
вул.Дружби, 61А, с.Вовчок, Бершадський р-н, Вінницька обл., 24462","282","70","278","2","210","2","212","","0","210","2","212","4","208","3","3","136","9","1","1","55","0","0","0","0","29.10.12"
"050093","17","Вінницька область","будинок культури, фойє
вул.Шкільна, 24В, с.Маньківка, Бершадський р-н, Вінницька обл., 24422","1146","378","1138","28","746","22","768","","0","746","22","768","35","733","32","2","505","5","14","2","143","7","0","20","3","29.10.12"
"050094","17","Вінницька область","сільська рада, хол
вул.Миру, 42А, с.Крушинівка, Бершадський р-н, Вінницька обл., 24423","828","277","822","24","534","17","551","","0","534","17","551","20","531","20","2","371","5","9","0","118","0","0","5","1","29.10.12"
"050095","17","Вінницька область","сільська рада, хол
вул.Шевченка, 70А, с.Шумилів, Бершадський р-н, Вінницька обл., 24424","474","132","468","39","306","36","342","","0","306","36","342","9","333","14","2","196","5","3","3","109","0","0","1","0","29.10.12"
"050096","17","Вінницька область","будинок культури, фойє
вул.Лещенка, 4, с.Михайлівка, Бершадський р-н, Вінницька обл., 24463","576","152","571","53","371","53","424","","0","371","53","424","8","416","3","2","289","2","0","0","118","0","0","1","1","28.10.12"
"050097","17","Вінницька область","будинок культури, фойє
вул.Соборна, 1, с.Романівка, Бершадський р-н, Вінницька обл., 24463","222","34","213","25","163","25","188","","0","163","25","188","6","182","5","1","103","0","7","0","66","0","0","0","0","30.10.12"
"050098","17","Вінницька область","сільський клуб, фойє
вул.Гагаріна, 1, с.М’якохід, Бершадський р-н, Вінницька обл., 24420","600","171","587","27","402","27","429","","0","402","27","429","11","418","22","3","198","0","6","2","176","1","5","5","0","30.10.12"
"050099","17","Вінницька область","сільський клуб, фойє
вул.Л.Медвідя, 45, с.М’якохід, Бершадський р-н, Вінницька обл., 24420","300","59","293","20","221","20","241","","0","221","20","241","13","228","21","1","104","2","2","0","97","0","1","0","0","28.10.12"
"050100","17","Вінницька область","будинок культури, фойє
вул.Леніна, 86, с.Осіївка, Бершадський р-н, Вінницька обл., 24456","930","343","920","60","529","58","587","","0","529","58","587","13","574","17","1","337","14","4","1","189","3","1","4","3","29.10.12"
"050101","17","Вінницька область","сільський клуб, фойє
вул.Бугова, 18, с.Осіївка, Бершадський р-н, Вінницька обл., 24456","138","32","134","14","92","14","106","","0","92","14","106","3","103","0","0","37","2","0","0","63","0","0","1","0","28.10.12"
"050102","17","Вінницька область","сільський клуб, фойє
вул.Солтановського, 60, с.Мала Киріївка, Бершадський р-н, Вінницька обл., 24457","492","167","486","45","281","44","325","","0","281","44","325","6","319","5","2","191","6","7","0","104","0","1","3","0","29.10.12"
"050103","17","Вінницька область","будинок культури, фойє
вул.Головна, 65, с.Поташня, Бершадський р-н, Вінницька обл., 24461","1044","350","1031","59","637","57","694","","0","637","57","694","15","679","2","1","416","23","5","2","219","5","5","0","1","29.10.12"
"050104","17","Вінницька область","будинок культури, фойє
вул.Леніна, 181, с.П’ятківка, Бершадський р-н, Вінницька обл., 24415","1236","445","1219","40","753","38","791","","0","753","38","791","13","778","10","2","152","7","16","1","586","1","2","0","1","28.10.12"
"050105","17","Вінницька область","будинок культури, фойє
вул.Горького, 14, с.Глинське, Бершадський р-н, Вінницька обл., 24415","168","31","169","19","121","16","137","","0","121","16","137","2","135","2","0","40","1","7","0","83","2","0","0","0","28.10.12"
"050106","17","Вінницька область","будинок культури, фойє
вул.Гагаріна, 48, с.Серебрія, Бершадський р-н, Вінницька обл., 24441","360","106","353","17","237","17","254","","0","237","17","254","10","244","7","2","132","1","0","0","92","2","6","1","1","29.10.12"
"050107","17","Вінницька область","школа, фойє
вул.Леніна, 7, с.Березівка, Бершадський р-н, Вінницька обл., 24442","366","158","360","1","207","1","208","","0","207","1","208","6","202","10","0","69","2","2","0","116","0","0","1","2","05.11.12"
"050108","17","Вінницька область","будинок культури, фойє
вул.Маковійчука, 2, с.Серединка, Бершадський р-н, Вінницька обл., 24440","588","179","579","31","380","29","409","","0","380","29","409","18","391","11","3","155","1","5","3","203","0","1","6","3","29.10.12"
"050109","17","Вінницька область","будинок культури, фойє
вул.Центральна, 60, с.Ставки, Бершадський р-н, Вінницька обл., 24452","954","396","945","18","542","16","558","","0","542","16","558","27","531","32","1","272","5","9","2","194","1","5","1","9","29.10.12"
"050110","17","Вінницька область","будинок культури, фойє
вул.Радянська, 4А, с.Сумівка, Бершадський р-н, Вінницька обл., 24410","822","223","810","55","545","54","599","","0","545","54","599","19","580","23","2","263","3","4","1","272","1","1","8","2","28.10.12"
"050111","17","Вінницька область","будинок культури, фойє
вул.Центральна, 36А, с.Тирлівка, Бершадський р-н, Вінницька обл., 24434","396","103","399","16","278","15","293","","0","278","15","293","7","286","5","4","144","4","8","0","112","5","2","1","1","29.10.12"
"050112","17","Вінницька область","будинок культури, фойє
вул.Святкова, 21, с.Тернівка, Бершадський р-н, Вінницька обл., 24443","822","296","809","68","458","68","526","","0","458","68","526","11","515","5","2","315","3","18","2","164","2","1","1","2","29.10.12"
"050113","17","Вінницька область","будинок культури, фойє
вул.Центральна, 2, с.Устя, Бершадський р-н, Вінницька обл., 24453","1056","351","1043","28","679","26","705","","0","679","26","705","14","691","68","1","468","8","7","5","128","1","2","1","2","29.10.12"
"050114","17","Вінницька область","АТП ТОВ ""Устя"", фойє
вул.Перемоги, 109, с.Устя, Бершадський р-н, Вінницька обл., 24453","750","252","741","27","473","25","498","","0","473","25","498","11","487","14","1","380","6","5","4","72","1","1","1","2","29.10.12"
"050115","17","Вінницька область","сільський клуб, фойє
пров.Піонерський, 1, с.Лугова, Бершадський р-н, Вінницька обл., 24454","390","111","385","17","264","15","279","","0","264","15","279","5","274","22","1","156","5","3","1","81","0","2","0","3","29.10.12"
"050116","17","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Зеленогайська, 126, с.Флорине, Бершадський р-н, Вінницька обл., 24405","1080","486","1067","16","579","15","594","","0","579","15","594","18","576","21","1","376","7","7","4","154","1","1","1","3","29.10.12"
"050117","17","Вінницька область","школа, фойє
вул.Чкалова, 106, с.Флорине, Бершадський р-н, Вінницька обл., 24405","2478","1023","2459","6","1449","6","1455","","0","1449","6","1455","39","1416","82","5","957","11","14","4","333","0","0","2","8","29.10.12"
