"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власюк
Віктор
Васильович","Гнатюк
Юрій
Петрович","Жеребнюк
Віктор
Миколайович","Загороднюк
Юрій
Вікторович","Закусилова
Лідія
Олексіївна","Зелена
Катерина
Вітославівна","Козловський
Юрій
Борисович","Кривак
Іван
Васильович","Мельничук
Іван
Іванович","Онопенко
Василь
Васильович","Погодін
Олексій
Олександрович","Дата підписання протоколу"
"050037","14","Вінницька область","будинок культури, актова зала
вул.Леніна, 20, с.Гайове, Барський р-н, Вінницька обл., 23012","324","99","317","22","204","21","225","","0","204","21","225","3","222","1","3","109","1","9","4","5","1","64","24","1","29.10.12"
"050038","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 38, с.Колосівка, Барський р-н, Вінницька обл., 23012","144","39","139","6","99","6","105","","0","99","6","105","5","100","0","0","39","0","6","4","1","0","39","11","0","29.10.12"
"050039","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 2, с.Шпирки, Барський р-н, Вінницька обл., 23000","390","121","387","17","253","16","269","","0","253","16","269","6","263","1","4","85","3","11","5","11","1","109","32","1","29.10.12"
"050040","14","Вінницька область","будинок культури, актова зала
вул.Дзержинського, 1, с.Журавлівка, Барський р-н, Вінницька обл., 23025","588","208","577","37","345","35","380","","0","345","35","380","14","366","7","18","152","3","15","14","0","3","133","19","2","30.10.12"
"050041","14","Вінницька область","школа, фойє
вул.Пролетарська, 16, с.Сеферівка, Барський р-н, Вінницька обл., 23029","234","62","231","10","163","9","172","","0","163","9","172","4","168","0","2","49","2","5","3","1","3","69","34","0","29.10.12"
"050042","14","Вінницька область","сільський клуб, актова зала
вул.Карла Маркса, 3, с.Буцні, Барський р-н, Вінницька обл., 23000","180","51","178","17","112","17","129","","0","112","17","129","5","124","2","4","31","2","1","1","1","2","55","24","1","29.10.12"
"050043","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 12, с.Лядова, Барський р-н, Вінницька обл., 23043","150","39","146","11","102","9","111","","0","102","9","111","3","108","0","4","38","2","6","1","1","1","32","23","0","29.10.12"
"050044","14","Вінницька область","будинок культури, актова зала
вул.Леніна, 12, с.Іванівці, Барський р-н, Вінницька обл., 23013","1122","435","1110","55","632","55","687","","0","632","55","687","22","665","8","25","168","1","16","35","39","10","271","91","1","29.10.12"
"050045","14","Вінницька область","школа, спортивний зал
вул.Горького, 1В, с.Каришків, Барський р-н, Вінницька обл., 23062","684","235","676","63","389","60","449","","0","389","60","449","10","439","3","6","91","1","46","12","1","1","112","165","1","29.10.12"
"050046","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 19А, с.Червоне, Барський р-н, Вінницька обл., 23063","354","62","352","42","252","40","292","","0","252","40","292","5","287","3","4","49","0","8","2","0","2","53","166","0","29.10.12"
"050047","14","Вінницька область","будинок культури, актова зала
вул.Врублевського, 5А, с.Комарівці, Барський р-н, Вінницька обл., 23010","786","357","776","28","401","28","429","","0","401","28","429","11","418","2","12","85","13","21","19","5","4","185","69","3","29.10.12"
"050048","14","Вінницька область","будинок культури, мала актова зала
вул.Леніна, 7, с.Кузьминці, Барський р-н, Вінницька обл., 23040","528","166","517","26","336","26","362","","0","336","26","362","11","351","4","9","109","7","23","17","10","6","99","67","0","29.10.12"
"050049","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 82, с.Мартинівка, Барський р-н, Вінницька обл., 23000","210","47","210","16","147","16","163","","0","147","16","163","6","157","0","2","81","2","14","1","1","1","41","14","0","29.10.12"
"050050","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 29А, с.Голубівка, Барський р-н, Вінницька обл., 23040","210","56","205","14","141","13","154","","0","141","13","154","4","150","0","6","67","2","7","5","4","1","47","10","1","29.10.12"
"050051","14","Вінницька область","сільський клуб, актова зала
вул.Жовтнева, 12, с.Лісове, Барський р-н, Вінницька обл., 23061","336","100","332","14","222","14","236","","0","222","14","236","9","227","2","7","111","1","8","3","2","0","59","33","1","29.10.12"
"050052","14","Вінницька область","ФАП, хол
вул.Радянська, 18, с.Польове, Барський р-н, Вінницька обл., 23061","144","30","143","11","103","11","114","","0","103","11","114","3","111","1","11","32","0","7","5","0","2","37","15","1","29.10.12"
"050053","14","Вінницька область","будинок культури, малий зал
вул.Котовського, 13, с.Лука Барська, Барський р-н, Вінницька обл., 23015","738","270","729","79","390","78","468","","0","390","78","468","7","461","3","9","185","8","15","18","5","2","163","49","4","29.10.12"
"050054","14","Вінницька область","сільський клуб, актова зала
вул.Жовтнева, 21, с.Васютинці, Барський р-н, Вінницька обл., 23015","294","89","288","18","187","18","205","","0","187","18","205","5","200","4","5","83","3","11","3","3","3","68","15","2","29.10.12"
"050055","14","Вінницька область","будинок культури, фойє
вул.Леніна, 10, с.Мальчівці, Барський р-н, Вінницька обл., 23034","390","91","385","35","268","31","299","","0","268","31","299","13","286","5","8","108","0","14","9","2","2","108","28","2","29.10.12"
"050056","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 1А, с.Степанки, Барський р-н, Вінницька обл., 23035","264","55","257","36","175","34","209","","0","175","34","209","1","208","2","4","89","3","11","5","2","2","66","24","0","29.10.12"
"050057","14","Вінницька область","будинок культури, фойє
вул.Леніна, 27А, с.Маньківці, Барський р-н, Вінницька обл., 23030","750","304","745","62","394","52","446","","0","394","52","446","15","431","4","12","151","1","23","18","6","8","126","80","2","29.10.12"
"050058","14","Вінницька область","школа, актова зала
вул.Польова, 4, с.Матейків, Барський р-н, Вінницька обл., 23050","600","208","594","54","341","51","392","","0","341","51","392","9","383","4","11","150","14","29","20","5","1","88","60","1","29.10.12"
"050059","14","Вінницька область","школа, актова зала
вул.Жовтнева, 2А, с.Трудолюбівка, Барський р-н, Вінницька обл., 23050","204","44","203","46","114","46","160","","0","114","46","160","6","154","2","26","37","2","17","1","0","2","60","7","0","29.10.12"
"050060","14","Вінницька область","сільський клуб, фойє
вул.Привокзальна, 1, с.Митки, Барський р-н, Вінницька обл., 23036","546","124","539","56","366","56","422","","0","366","56","422","7","415","2","12","154","5","23","7","6","3","154","47","2","29.10.12"
"050061","14","Вінницька область","сільський клуб, актова зала
вул.Першотравнева, 26Б, с.Киянівка, Барський р-н, Вінницька обл., 23037","336","58","331","17","261","17","278","","0","261","17","278","4","274","1","4","106","5","23","17","4","4","87","22","1","29.10.12"
"050062","14","Вінницька область","будинок культури, актова зала
вул.Жовтнева, 3А, с.Підлісний Ялтушків, Барський р-н, Вінницька обл., 23043","492","159","487","56","278","55","333","","0","278","55","333","14","319","3","12","61","4","14","6","1","2","119","93","4","29.10.12"
"050063","14","Вінницька область","клуб консервного заводу, актова зала
вул.Восьмого Березня, 7, с.Попівці, Барський р-н, Вінницька обл., 23051","942","511","927","42","397","34","431","","0","397","34","431","16","415","7","13","104","7","33","17","0","1","143","88","2","29.10.12"
"050064","14","Вінницька область","будинок культури, актова зала
вул.Леніна, 85, с.Кошаринці, Барський р-н, Вінницька обл., 23052","492","233","482","9","250","9","259","","0","250","9","259","18","241","3","6","69","5","25","11","2","3","67","49","1","29.10.12"
"050065","14","Вінницька область","актова зала
вул.Грушевського, 43, с.Супівка, Барський р-н, Вінницька обл., 23045","348","129","338","35","184","35","219","","0","184","35","219","5","214","1","4","60","1","3","4","0","2","70","68","1","29.10.12"
"050066","14","Вінницька область","школа, фойє
вул.Шкільна, 7, с.Терешки, Барський р-н, Вінницька обл., 23027","774","270","763","22","482","22","504","","0","482","22","504","11","493","5","4","267","5","24","8","2","4","136","35","3","29.10.12"
"050067","14","Вінницька область","будинок культури, танцювальна зала
вул.Леніна, 13А, с.Гавришівка, Барський р-н, Вінницька обл., 23027","378","130","374","0","248","0","248","","0","248","0","248","6","242","1","4","80","1","10","5","3","0","100","37","1","29.10.12"
"050068","14","Вінницька область","сільський клуб, актова зала
вул.Жовтнева, 27, с.Семенки, Барський р-н, Вінницька обл., 23027","270","78","267","14","178","14","192","","0","178","14","192","3","189","0","1","96","0","4","3","1","1","63","18","2","29.10.12"
"050069","14","Вінницька область","будинок культури, малий зал
вул.Леніна, 4, с.Гулі, Барський р-н, Вінницька обл., 23042","486","182","482","29","278","26","304","","0","278","26","304","17","287","2","10","114","6","10","6","6","0","82","50","1","29.10.12"
"050070","14","Вінницька область","сільський клуб, актова зала
вул.Леніна, 23Б, с.Слобода-Гулівська, Барський р-н, Вінницька обл., 23042","240","72","241","1","167","1","168","","0","167","1","168","3","165","3","4","55","2","2","9","3","0","57","29","1","29.10.12"
"050071","14","Вінницька область","Барська центральна районна лікарня, ординаторська психо-неврологічного відділення
вул.Рози Люксембург, 34, м.Бар, Вінницька обл., 23000","228","173","63","56","7","48","55","","0","7","48","55","1","54","0","2","9","0","2","0","1","1","19","20","0","29.10.12"
"050261","14","Вінницька область","школа, спортзал, 1-й поверх
вул.Чайковського, 18, смт Браїлів, Жмеринський р-н, Вінницька обл., 23130","1410","529","1381","23","858","23","881","","0","858","23","881","29","852","24","22","249","2","46","31","1","4","296","173","4","29.10.12"
"050262","14","Вінницька область","селищна рада, актовий зал, 2-й поверх
вул.Гагаріна, 4, смт Браїлів, Жмеринський р-н, Вінницька обл., 23130","1206","466","1192","29","711","29","740","","0","711","29","740","9","731","23","15","269","4","41","24","0","2","290","62","1","29.10.12"
"050263","14","Вінницька область","школа, спортзал, 1-й поверх
вул.Островського, 1, смт Браїлів, Жмеринський р-н, Вінницька обл., 23130","1566","662","1564","68","842","62","904","","0","842","62","904","29","875","30","13","309","6","55","43","10","2","255","145","7","29.10.12"
"050264","14","Вінницька область","ТОВ ""Кристал"", актовий зал, 2-й поверх
вул.Чайковського, 106, с-ще Браїлів, Жмеринський р-н, Вінницька обл., 23130","294","72","305","12","213","9","222","","0","213","9","222","2","220","13","1","70","1","9","8","1","1","70","46","0","29.10.12"
"050265","14","Вінницька область","сільський клуб, актовий зал, 1-й поверх
вул.Леніна, 110, с.Сьомаки, Жмеринський р-н, Вінницька обл., 23131","480","153","474","51","276","51","327","","0","276","51","327","6","321","14","5","125","2","34","12","0","3","67","59","0","29.10.12"
"050266","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Кругова, 20, с.Біликівці, Жмеринський р-н, Вінницька обл., 23133","360","58","361","18","285","17","302","","0","285","17","302","10","292","2","4","62","3","20","2","0","7","170","22","0","28.10.12"
"050267","14","Вінницька область","сільський будинок культури, обрядова зала, 1-й поверх
вул.Кармелюківська, 15, с.Лопатинці, Жмеринський р-н, Вінницька обл., 23137","258","40","261","32","191","27","218","","0","191","27","218","12","206","1","2","106","4","18","3","0","0","43","29","0","29.10.12"
"050268","14","Вінницька область","будинок культури МПД ДП ""Укрспирт"", обрядова зала, 1-й поверх
вул.Леніна, 8, с.Мартинівка, Жмеринський р-н, Вінницька обл., 23134","552","132","547","10","412","8","420","","0","412","8","420","3","417","5","12","167","2","26","18","0","5","135","45","2","29.10.12"
"050269","14","Вінницька область","сільський будинок культури, обрядова зала, 1-й поверх
вул.Шкільна, 27, с.Демидівка, Жмеринський р-н, Вінницька обл., 23140","666","232","660","43","401","33","434","","0","401","33","434","13","421","14","14","93","7","24","19","0","8","196","44","2","29.10.12"
"050270","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
пл.Перемоги, 1А, с.Могилівка, Жмеринський р-н, Вінницька обл., 23141","1152","415","1132","58","685","52","737","","0","685","52","737","15","722","11","17","194","6","27","37","7","10","313","97","3","29.10.12"
"050271","14","Вінницька область","сільський будинок культури, обрядова зала, 1-й поверх
вул.Леніна, 25, с.Дубова, Жмеринський р-н, Вінницька обл., 23110","438","115","429","32","291","32","323","","0","291","32","323","5","318","15","4","135","2","15","8","1","2","88","46","2","29.10.12"
"050272","14","Вінницька область","сільський будинок культури, обрядова зала, 1-й поверх
вул.Кірова, 147, с.Жуківці, Жмеринський р-н, Вінницька обл., 23143","648","183","640","46","419","46","465","","0","419","46","465","11","454","1","5","263","0","16","7","2","1","49","109","1","29.10.12"
"050273","14","Вінницька область","сільський клуб, фойє, 2-й поверх
вул.Садова, 1А, с.Сідава, Жмеринський р-н, Вінницька обл., 23143","294","88","291","20","187","19","206","","0","187","19","206","4","202","2","2","110","2","9","7","0","3","57","9","1","29.10.12"
"050274","14","Вінницька область","сільський клуб, кімната зал, 1-й поверх
вул.Одеська, 3, с.Щучинці, Жмеринський р-н, Вінницька обл., 23144","258","59","249","22","182","17","199","","0","182","17","199","2","197","1","1","123","2","9","0","0","0","24","37","0","29.10.12"
"050275","14","Вінницька область","сільський клуб, кімната зал, 1-й поверх
вул.Піонерська, 38, с.Ярошенка, Жмеринський р-н, Вінницька обл., 23144","78","18","76","2","58","2","60","","0","58","2","60","0","60","0","1","45","0","3","0","0","0","8","3","0","28.10.12"
"050276","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Кооперативна, 4, с.Кам’яногірка, Жмеринський р-н, Вінницька обл., 23163","462","119","453","34","309","34","343","","0","309","34","343","15","328","4","3","116","3","32","5","49","0","53","60","3","07.11.12"
"050277","14","Вінницька область","сільський клуб, фойє, 1-й поверх
вул.Леніна, 66, с.Олексіївка, Жмеринський р-н, Вінницька обл., 23163","192","44","188","22","126","22","148","","0","126","22","148","1","147","1","2","28","0","14","0","0","82","19","1","0","31.10.12"
"050278","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Центральна, 3, с.Кармалюкове, Жмеринський р-н, Вінницька обл., 23120","546","188","531","22","339","19","358","","0","339","19","358","8","350","3","10","146","2","18","15","1","8","113","32","2","29.10.12"
"050279","14","Вінницька область","сільський клуб, фойє, 1-й поверх
вул.Колгоспна, 4, с.Петрані, Жмеринський р-н, Вінницька обл., 23120","108","35","104","6","67","6","73","","0","67","6","73","3","70","0","2","49","1","3","2","0","1","2","10","0","29.10.12"
"050280","14","Вінницька область","школа, актова зала, 1-й поверх
вул.Миру, 1, с.Кацмазів, Жмеринський р-н, Вінницька обл., 23153","654","254","644","64","340","60","400","","0","340","60","400","7","393","4","5","213","0","14","8","3","60","54","30","2","29.10.12"
"050281","14","Вінницька область","сільська рада, зал засідань, 2-й поверх
вул.Шевченка, 7, с.Коростівці, Жмеринський р-н, Вінницька обл., 23150","426","135","421","20","271","20","291","","0","271","20","291","9","282","3","4","112","4","36","6","0","2","70","45","0","29.10.12"
"050282","14","Вінницька область","сільський клуб, танцювальний зал, 1-й поверх
вул.Б.Хмельницького, 11А, с.Слобода-Носковецька, Жмеринський р-н, Вінницька обл., 23151","120","28","126","18","75","17","92","","0","75","17","92","0","92","0","0","54","0","6","1","0","1","18","12","0","29.10.12"
"050283","14","Вінницька область","сільський клуб, танцювальний зал, 1-й поверх
вул.Лісова, 36, с-ще Чапаєвка, Жмеринський р-н, Вінницька обл., 23150","108","17","113","11","81","10","91","","0","81","10","91","1","90","0","0","61","0","4","0","1","0","9","14","1","28.10.12"
"050284","14","Вінницька область","школа, фойє, 1-й поверх
вул.Леніна, 1, с.Курилівці, Жмеринський р-н, Вінницька обл., 23114","258","72","252","22","166","20","186","","0","166","20","186","9","177","3","5","108","1","11","5","0","3","19","21","1","29.10.12"
"050285","14","Вінницька область","сільський клуб, танцювальний зал, 1-й поверх
вул.Радянська, 27, с.Новоселиця, Жмеринський р-н, Вінницька обл., 23114","240","51","237","21","168","21","189","","0","168","21","189","5","184","4","4","43","3","15","14","0","2","75","24","0","29.10.12"
"050286","14","Вінницька область","сільська рада, зал засідань, 1-й поверх
вул.Леніна, 32, с.Леляки, Жмеринський р-н, Вінницька обл., 23108","588","211","585","18","359","18","377","","0","359","18","377","7","370","4","6","172","5","35","7","0","1","80","57","3","30.10.12"
"050287","14","Вінницька область","адмінбудинок ДП ""Кастор"", зал засідань, 1-й поверх
вул.Леніна, 66, с.Мала Жмеринка, Жмеринський р-н, Вінницька обл., 23109","684","334","672","15","335","15","350","","0","335","15","350","11","339","1","8","173","2","32","9","4","6","76","28","0","29.10.12"
"050288","14","Вінницька область","сільський клуб, актовий зал, 1-й поверх
вул.Зої Космодем’янської, 44, с.Подільське, Жмеринський р-н, Вінницька обл., 23100","222","54","225","19","150","18","168","","0","150","18","168","6","162","1","3","96","1","4","2","0","1","48","6","0","29.10.12"
"050289","14","Вінницька область","сільський клуб, актовий зал, 1-й поверх
вул.Вербівська, 1А, с.Тартак, Жмеринський р-н, Вінницька обл., 23100","258","74","258","17","167","17","184","","0","167","17","184","4","180","1","5","82","1","15","5","0","0","48","23","0","29.10.12"
"050290","14","Вінницька область","сільський клуб, актовий зал, 1-й поверх
вул.Леніна, 7, с.Лисогірка, Жмеринський р-н, Вінницька обл., 23112","252","59","249","29","166","27","193","","0","166","27","193","5","188","2","5","110","2","9","4","1","8","20","27","0","29.10.12"
"050291","14","Вінницька область","школа, актовий зал, 1-й поверх
вул.Шкільна, 5, с.Людавка, Жмеринський р-н, Вінницька обл., 23132","492","171","486","44","279","42","321","","0","279","42","321","5","316","5","7","141","2","7","8","0","1","119","25","1","29.10.12"
"050292","14","Вінницька область","сільський клуб, глядацький зал, 1-й поверх
вул.Центральна, 5, с.Лука-Мовчанська, Жмеринський р-н, Вінницька обл., 23155","408","43","400","26","343","22","365","","0","343","22","365","4","361","2","1","188","1","28","4","1","10","61","64","1","29.10.12"
"050293","14","Вінницька область","сільський клуб, зала клубу, 1-й поверх
вул.Гагаріна, 13, с.Гута-Мовчанська, Жмеринський р-н, Вінницька обл., 23155","66","17","66","2","48","1","49","","0","48","1","49","1","48","0","1","23","0","8","0","0","0","12","4","0","28.10.12"
"050294","14","Вінницька область","сільська рада, фойє, 1-й поверх
вул.Шевченка, 16, с.Мовчани, Жмеринський р-н, Вінницька обл., 23154","360","64","356","26","271","25","296","","0","271","25","296","10","286","4","3","96","1","48","8","1","2","65","58","0","29.10.12"
"050295","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Леніна, 8, с.Носківці, Жмеринський р-н, Вінницька обл., 23151","1218","406","1194","91","746","66","812","","0","746","66","812","28","784","9","12","326","5","54","20","5","39","159","152","3","29.10.12"
"050296","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
просп.Шевченка, 9, с.Олександрівка, Жмеринський р-н, Вінницька обл., 23127","888","283","876","81","525","80","605","","0","525","80","605","4","601","11","9","305","7","21","36","1","12","127","71","1","29.10.12"
"050297","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Лесі Українки, 45, с.Кудіївці, Жмеринський р-н, Вінницька обл., 23128","666","178","660","45","446","42","488","","0","446","42","488","16","472","4","8","212","0","33","22","3","8","135","46","1","28.10.12"
"050298","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Центральна, 13, с.Потоки, Жмеринський р-н, Вінницька обл., 23142","414","105","411","62","249","60","309","","0","249","60","309","8","301","11","6","170","4","13","5","0","3","36","52","1","29.10.12"
"050299","14","Вінницька область","адмінбудинок сільської ради, к.1, 1-й поверх
вул.Шевченка, 18, с.Рижавка, Жмеринський р-н, Вінницька обл., 23142","180","63","173","6","111","6","117","","0","111","6","117","1","116","3","1","54","0","9","4","0","0","26","19","0","29.10.12"
"050300","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Леніна, 2, с.Почапинці, Жмеринський р-н, Вінницька обл., 23112","480","99","477","36","345","36","381","","0","345","36","381","12","369","11","8","150","2","28","7","3","7","71","77","5","29.10.12"
"050301","14","Вінницька область","сільський клуб, зал клубу, 1-й поверх
вул.Травнева, 19, с.Зоринці, Жмеринський р-н, Вінницька обл., 23112","204","55","198","18","131","18","149","","0","131","18","149","4","145","3","6","55","2","7","3","1","13","21","34","0","29.10.12"
"050302","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Будьонного, 78, с.Рів, Жмеринський р-н, Вінницька обл., 23135","510","142","503","30","339","29","368","","0","339","29","368","6","362","5","3","182","1","20","18","2","3","59","68","1","29.10.12"
"050303","14","Вінницька область","сільський клуб, глядацький зал, 1-й поверх
вул.Сербинівська, 60, с.Межирів, Жмеринський р-н, Вінницька обл., 23136","240","111","235","19","111","18","129","","0","111","18","129","1","128","0","0","84","1","8","2","1","0","15","17","0","29.10.12"
"050304","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Леніна, 31, с.Северинівка, Жмеринський р-н, Вінницька обл., 23126","1416","638","1398","47","734","44","778","","0","734","44","778","22","756","11","5","221","7","28","50","0","21","210","202","1","29.10.12"
"050305","14","Вінницька область","сільський клуб, фойє, 1-й поверх
вул.Центральна, 10, с.Голубівка, Жмеринський р-н, Вінницька обл., 23126","144","33","141","14","97","14","111","","0","97","14","111","2","109","1","2","63","0","4","1","0","2","26","10","0","29.10.12"
"050306","14","Вінницька область","сільський будинок культури, фойє, 1-й поверх
вул.Леніна, 60, с.Сербинівці, Жмеринський р-н, Вінницька обл., 23122","882","253","871","51","586","43","629","","0","586","43","629","0","629","2","5","298","0","33","15","6","30","159","79","2","29.10.12"
"050307","14","Вінницька область","сільський клуб, зал засідань, 1-й поверх
вул.Центральна, 42, с.Слобода-Межирівська, Жмеринський р-н, Вінницька обл., 23123","390","124","386","7","261","5","266","","0","261","5","266","4","262","3","3","127","2","13","10","0","2","74","28","0","29.10.12"
"050308","14","Вінницька область","школа, спортзал, 1-й поверх
вул.Леніна, 2, с.Станіславчик, Жмеринський р-н, Вінницька обл., 23160","1152","393","1141","64","707","52","759","","0","707","52","759","18","741","6","10","292","7","38","26","1","53","214","91","3","29.10.12"
"050309","14","Вінницька область","сільський будинок культури, актовий зал, 1-й поверх
вул.Леніна, 4, с.Станіславчик, Жмеринський р-н, Вінницька обл., 23160","1086","324","1077","63","712","50","762","","0","712","50","762","10","752","3","3","275","4","42","15","1","58","158","191","2","29.10.12"
"050310","14","Вінницька область","сільський клуб, кімната клубу, 1-й поверх
вул.Щорса, 3, с.Стодульці, Жмеринський р-н, Вінницька обл., 23121","492","130","500","53","312","50","362","","0","312","50","362","5","357","7","9","198","6","24","11","1","5","57","39","0","29.10.12"
"050311","14","Вінницька область","клуб-бібліотека, танцювальний зал, 1-й поверх
вул.Гагаріна, 6, с.Рожепи, Жмеринський р-н, Вінницька обл., 23121","186","48","184","20","120","18","138","","0","120","18","138","7","131","1","3","52","2","9","3","0","0","35","26","0","29.10.12"
"050312","14","Вінницька область","сільський клуб, глядацький зал, 1-й поверх
вул.Колгоспна, 109, с.Тарасівка, Жмеринський р-н, Вінницька обл., 23161","450","134","441","52","268","48","316","","0","268","48","316","5","311","4","4","115","1","15","9","0","10","98","55","0","29.10.12"
"050313","14","Вінницька область","школа, к.1, 1-й поверх
вул.Котовського, 8, с.Будьки, Жмеринський р-н, Вінницька обл., 23162","408","125","405","25","258","25","283","","0","258","25","283","18","265","1","7","85","3","38","13","1","5","66","46","0","29.10.12"
"050314","14","Вінницька область","сільський клуб-бібліотека, к.1, 1-й поверх
вул.Першотравнева, 20, с.Вознівці, Жмеринський р-н, Вінницька обл., 23161","222","53","214","24","147","22","169","","0","147","22","169","5","164","2","1","76","0","15","9","0","0","35","25","1","29.10.12"
"050315","14","Вінницька область","сільський клуб, глядацький зал, 1-й поверх
вул.Центральна, 19, с.Телелинці, Жмеринський р-н, Вінницька обл., 23152","348","50","348","34","267","31","298","","0","267","31","298","7","291","0","4","119","1","12","3","1","28","81","42","0","29.10.12"
"050316","14","Вінницька область","школа, актовий зал, 1-й поверх
вул.Першотравнева, 14, с.Чернятин, Жмеринський р-н, Вінницька обл., 23124","984","275","965","64","653","56","709","","0","653","56","709","15","694","4","13","310","1","35","24","5","10","163","126","3","29.10.12"
"050317","14","Вінницька область","сільський клуб, глядацький зал, 1-й поверх
вул.Карла Маркса, 24А, с.Слобода-Чернятинська, Жмеринський р-н, Вінницька обл., 23124","174","23","180","18","138","13","151","","0","138","13","151","3","148","0","5","106","0","9","0","0","0","13","15","0","29.10.12"
"050318","14","Вінницька область","сільський будинок культури, глядацький зал, 1-й поверх
вул.Центральна, 36А, с.Токарівка, Жмеринський р-н, Вінницька обл., 23125","378","61","375","35","282","35","317","","0","282","35","317","2","315","6","5","129","0","8","7","1","1","126","31","1","29.10.12"
"050607","14","Вінницька область","школа №1, спортзал
вул.Радянська, 17, смт Літин, Літинський р-н, Вінницька обл., 22300","2304","869","2271","29","1411","24","1435","","0","0","0","1435","30","1405","7","33","223","5","92","51","5","7","709","265","8","30.10.12"
"050608","14","Вінницька область","школа №2, фойє
вул.Леніна, 44, смт Літин, Літинський р-н, Вінницька обл., 22300","1452","537","1437","13","902","13","915","","0","902","13","915","27","888","5","30","142","3","66","21","1","1","428","187","4","29.10.12"
"050609","14","Вінницька область","спорткомплекс, зал 2
вул.Кармалюка, 27, смт Літин, Літинський р-н, Вінницька обл., 22300","2136","761","2107","33","1348","27","1375","","0","1348","27","1375","25","1350","4","51","184","7","101","53","2","5","762","177","4","29.10.12"
"050610","14","Вінницька область","будинок культури, зал
вул.Цимбалюка, 2, с.Багринівці, Літинський р-н, Вінницька обл., 22350","642","154","643","50","440","48","488","","0","440","48","488","16","472","0","9","134","5","28","8","1","1","249","36","1","29.10.12"
"050611","14","Вінницька область","школа, зал
вул.Леніна, 89, с.Багринівці, Літинський р-н, Вінницька обл., 22350","684","218","675","42","428","38","466","","0","428","38","466","3","463","5","7","82","2","20","4","1","1","284","56","1","29.10.12"
"050612","14","Вінницька область","фельдшерсько-акушерський пункт, к.1
вул.Кірова, 18, с.Гончарівка, Літинський р-н, Вінницька обл., 22350","102","21","99","19","63","18","81","","0","63","18","81","2","79","0","1","23","0","5","0","0","1","33","16","0","29.10.12"
"050613","14","Вінницька область","будинок культури, зал
вул.Гагаріна, 52, с.Бірків, Літинський р-н, Вінницька обл., 22352","444","123","438","25","297","24","321","","0","297","24","321","6","315","2","6","78","3","21","7","0","2","124","70","2","29.10.12"
"050614","14","Вінницька область","фельдшерсько-акушерський пункт, к.2
вул.І.Богуна, 2А, с.Залужне, Літинський р-н, Вінницька обл., 22352","186","36","183","31","119","31","150","","0","119","31","150","3","147","1","2","45","0","4","3","1","0","57","33","1","29.10.12"
"050615","14","Вінницька область","сільський клуб, зал
вул.Леніна, 22, с.Бруслинів, Літинський р-н, Вінницька обл., 22334","678","196","665","64","419","63","482","","0","0","0","482","243","239","7","16","144","3","17","13","1","2","7","27","2","31.10.12"
"050616","14","Вінницька область","магазин-столова, зал
вул.Ювілейна, 22А, с.Вербівка, Літинський р-н, Вінницька обл., 22334","330","98","324","44","188","44","232","","0","188","44","232","3","229","8","11","57","2","15","5","1","1","80","48","1","29.10.12"
"050617","14","Вінницька область","школа, к.1
вул.Шкільна, 16, с.Новоселиця, Літинський р-н, Вінницька обл., 22334","294","98","287","38","160","36","196","","0","160","36","196","6","190","3","9","41","2","25","9","2","0","65","33","1","29.10.12"
"050618","14","Вінницька область","сільська рада, зал
вул.Кірова, 65, с.Горбівці, Літинський р-н, Вінницька обл., 22351","252","59","246","35","160","33","193","","0","160","33","193","4","189","0","4","54","2","25","0","1","1","69","33","0","29.10.12"
