"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балдинюк
Василь
Михайлович","Болотенюк
Степан
Васильович","Братанюк
Леонід
Євгенович","Власюк
Олександр
Іванович","Вовк
Анатолій
Іванович","Демчак
Андрій
Васильович","Калетнік
Григорій
Миколайович","Квашук
Олександр
Євгенович","Кошиль
Андрій
Григорович","Куровський
Станіслав
Євгенович","Манжуловський
Олександр
Феофанович","Миролюб
Наталія
Анатоліївна","Стамбула
Геннадій
Станіславович","Філонова
Анна
Валентинівна","Чечель
Микола
Йосипович","Якименко
Костянтин
Вячеславович","Дата підписання протоколу"
"050337","18","Вінницька область","клуб, фойє
вул.Перемоги, 46, с.Чортория, Іллінецький р-н, Вінницька обл., 22754","384","57","387","37","291","36","327","","0","291","36","327","11","316","3","3","2","0","1","5","131","10","1","3","3","1","1","6","0","146","29.10.12"
"050338","18","Вінницька область","сільська рада, зал засідань
вул.Першотравнева, 81, с.Жадани, Іллінецький р-н, Вінницька обл., 22730","524","165","522","37","323","36","359","","0","323","36","359","9","350","4","0","4","3","3","14","180","10","0","12","9","3","1","15","0","92","29.10.12"
"050339","18","Вінницька область","будинок культури, фойє
вул.Гагаріна, 1А, с.Сорока, Іллінецький р-н, Вінницька обл., 22731","616","207","611","43","369","40","409","","0","369","40","409","10","399","3","3","5","0","1","7","161","10","2","16","16","3","2","12","0","158","29.10.12"
"050340","18","Вінницька область","школа, їдальня
вул.Бойка, 9, с.Жорнище, Іллінецький р-н, Вінницька обл., 22721","732","211","719","42","481","40","521","","0","481","40","521","10","511","2","1","4","2","2","6","223","5","0","126","2","3","1","7","4","123","29.10.12"
"050341","18","Вінницька область","будинок тваринника, загальна кімната
вул.Чехова, 2, с.Шевченкове, Іллінецький р-н, Вінницька обл., 22721","80","12","77","8","61","7","68","","0","61","7","68","2","66","1","0","1","0","0","1","24","0","1","38","0","0","0","0","0","0","28.10.12"
"050342","18","Вінницька область","клуб, зал
вул.Леніна, 6А, с.Іллінецьке, Іллінецький р-н, Вінницька обл., 22712","528","174","517","14","341","13","354","","0","341","13","354","12","342","3","2","5","4","0","9","190","9","3","8","6","3","0","7","1","92","28.10.12"
"050343","18","Вінницька область","будинок культури, зал
вул.Миру, 70А, с.Романово-Хутір, Іллінецький р-н, Вінницька обл., 22712","292","53","285","30","209","30","239","","0","209","30","239","2","237","0","0","5","1","0","10","136","1","0","14","5","2","2","7","0","54","29.10.12"
"050344","18","Вінницька область","будинок культури, фойє
вул.Братів Западинських, 1А, с.Кальник, Іллінецький р-н, Вінницька обл., 22732","872","268","862","50","554","50","604","","0","554","50","604","7","597","4","0","2","1","2","26","220","24","1","49","24","9","3","38","2","192","29.10.12"
"050345","18","Вінницька область","клуб, зал
вул.Люсі Яворської, 20А, с.Шабельня, Іллінецький р-н, Вінницька обл., 22733","244","51","239","23","170","23","193","","0","170","23","193","5","188","0","1","0","1","0","6","114","2","0","4","6","6","0","3","1","44","29.10.12"
"050346","18","Вінницька область","будинок культури, зал
вул.Калашника, 22, с.Кантелина, Іллінецький р-н, Вінницька обл., 22734","460","144","457","42","275","41","316","","0","275","41","316","14","302","7","1","3","0","1","9","180","7","0","6","15","10","0","9","0","54","28.10.12"
"050347","18","Вінницька область","будинок культури, малий зал
вул.Гагаріна, 54, с.Китайгород, Іллінецький р-н, Вінницька обл., 22751","916","189","897","62","672","55","727","","0","672","55","727","18","709","12","1","6","2","6","11","394","25","1","17","10","7","1","11","0","205","29.10.12"
"050348","18","Вінницька область","клуб, фойє
вул.Центральна, 85, с.Кам’яногірка, Іллінецький р-н, Вінницька обл., 22751","668","232","660","35","401","35","436","","0","401","35","436","11","425","4","4","1","5","3","7","161","11","2","9","3","3","3","2","2","205","29.10.12"
"050349","18","Вінницька область","будинок культури, фойє
вул.Кооперативна, 5А, с.Копіївка, Іллінецький р-н, Вінницька обл., 22741","404","106","400","32","268","30","298","","0","268","30","298","11","287","2","2","3","1","3","3","173","4","1","3","3","2","0","7","4","76","29.10.12"
"050350","18","Вінницька область","клуб, зал
вул.Кирилюка, 1, с.Іванівка, Іллінецький р-н, Вінницька обл., 22741","124","34","121","12","78","12","90","","0","78","12","90","6","84","0","0","1","0","1","0","50","0","0","0","1","1","3","4","0","23","28.10.12"
"050351","18","Вінницька область","будинок культури, фоїє
вул.Леніна, 28, с.Красненьке, Іллінецький р-н, Вінницька обл., 22722","444","97","434","31","322","25","347","","0","322","25","347","7","340","0","2","4","2","2","5","205","2","1","16","7","1","0","0","1","92","29.10.12"
"050352","18","Вінницька область","клуб-бібліотека, малий зал
вул.Радянська, 110, с.Лиса Гора, Іллінецький р-н, Вінницька обл., 22723","284","60","288","27","201","23","224","","0","201","23","224","4","220","0","0","0","1","0","5","166","2","1","3","1","1","0","9","1","30","29.10.12"
"050353","18","Вінницька область","школа, вчительська
вул.Жовтнева, 60, с.Криштопівка, Іллінецький р-н, Вінницька обл., 22742","332","99","300","33","203","30","233","","0","203","30","233","2","231","1","1","1","2","2","3","107","4","0","4","6","0","0","3","1","96","29.10.12"
"050354","18","Вінницька область","ТОВ ""Гренвіс"", бухгалтерія
вул.Хутірська, 3, с-ще Криштопівське, Іллінецький р-н, Вінницька обл., 22742","152","31","149","11","111","10","121","","0","111","10","121","2","119","0","0","0","1","0","2","50","1","0","1","0","3","0","2","1","58","29.10.12"
"050355","18","Вінницька область","клуб, фойє
вул.Радянська, 67, с-ще Вербівка, Іллінецький р-н, Вінницька обл., 22743","364","91","364","17","256","17","273","","0","256","17","273","9","264","1","0","3","2","1","12","109","12","0","4","10","1","5","5","0","99","29.10.12"
"050356","18","Вінницька область","сілький клуб, зал
вул.Шевченка, 1В, с.Купчинці, Іллінецький р-н, Вінницька обл., 22735","432","106","430","41","286","40","326","","0","286","40","326","7","319","2","1","0","2","1","7","98","1","1","5","3","29","0","2","0","167","29.10.12"
"050357","18","Вінницька область","ФАП, к.1
вул.Травнева, 1/4, с.Волошкове, Іллінецький р-н, Вінницька обл., 22735","84","19","81","5","60","5","65","","0","60","5","65","2","63","0","0","1","1","1","0","25","1","0","0","0","1","0","1","1","31","29.10.12"
"050358","18","Вінницька область","будинок культури, зал
вул.Леніна, 7, с.Яструбинці, Іллінецький р-н, Вінницька обл., 22736","340","106","337","18","216","18","234","","0","216","18","234","9","225","0","2","4","0","1","0","112","5","1","3","11","8","2","6","1","69","29.10.12"
"050359","18","Вінницька область","будинок культури, зал
вул.Петровського, 7А, с.Леухи, Іллінецький р-н, Вінницька обл., 22756","940","192","934","62","691","57","748","","0","691","57","748","19","729","2","3","10","4","1","19","301","18","2","18","13","10","0","4","0","324","29.10.12"
"050360","18","Вінницька область","будинок культури, кімната бойової слави
вул.60-річчя Жовтня, 98, с.Павлівка, Іллінецький р-н, Вінницька обл., 22713","448","119","446","35","295","34","329","","0","295","34","329","11","318","3","8","2","2","0","11","126","9","0","20","6","2","2","8","1","118","28.10.12"
"050361","18","Вінницька область","клуб-бібліотека, зал
вул.Чкалова, 6, с.Слобідка, Іллінецький р-н, Вінницька обл., 22713","180","30","179","17","134","16","150","","0","134","16","150","6","144","0","3","1","1","3","5","79","4","0","5","2","1","0","4","1","35","29.10.12"
"050362","18","Вінницька область","школа, актовий зал
вул.Леніна, 58А, с.Паріївка, Іллінецький р-н, Вінницька обл., 22726","456","71","452","30","355","30","385","","0","355","30","385","8","377","4","4","2","2","0","6","258","5","0","10","16","1","0","10","0","59","29.10.12"
"050363","18","Вінницька область","школа, кл.1
вул.Шевченка, 25А, с.Райки, Іллінецький р-н, Вінницька обл., 22700","236","65","242","4","168","3","171","","0","168","3","171","13","158","3","1","3","1","2","3","94","5","2","4","6","0","0","0","2","32","29.10.12"
"050364","18","Вінницька область","клуб, фойє
вул.Щорса, 41, с.Росоховата, Іллінецький р-н, Вінницька обл., 22750","372","47","366","38","291","34","325","","0","291","34","325","7","318","0","1","3","1","1","2","192","1","2","1","1","0","1","8","0","104","29.10.12"
"050365","18","Вінницька область","клуб, фойє
вул.Леніна, 35, с.Слободище, Іллінецький р-н, Вінницька обл., 22755","688","192","679","40","458","38","496","","0","458","38","496","8","488","6","1","4","1","1","23","187","10","0","8","5","5","2","3","1","231","29.10.12"
"050366","18","Вінницька область","будинок культури, фойє
вул.Леніна, 7А, с.Тягун, Іллінецький р-н, Вінницька обл., 22710","396","102","385","25","271","23","294","","0","271","23","294","6","288","1","1","4","0","1","9","179","4","3","14","0","1","0","5","0","66","28.10.12"
"050367","18","Вінницька область","СТОВ ""Маяк"", актовий зал
вул.Леніна, 1Б, с.Володимирівка, Іллінецький р-н, Вінницька обл., 22711","280","57","275","22","203","20","223","","0","203","20","223","8","215","1","0","4","3","0","18","72","2","1","9","6","2","3","6","1","87","28.10.12"
"050368","18","Вінницька область","сільська рада, кімната засідань
вул.Першотравнева, 92, с.Хрінівка, Іллінецький р-н, Вінницька обл., 22724","440","114","439","32","295","31","326","","0","295","31","326","0","326","1","0","3","1","1","13","166","9","0","8","6","1","1","3","0","113","28.10.12"
"050369","18","Вінницька область","клуб, зал
вул.Леніна, 72А, с.Пархомівка, Іллінецький р-н, Вінницька обл., 22725","280","51","279","27","202","27","229","","0","202","27","229","6","223","1","1","2","1","1","5","172","4","1","3","5","0","1","2","0","24","29.10.12"
"050370","18","Вінницька область","будинок культури, зал
пл.Перемоги, 10, с.Якубівка, Іллінецький р-н, Вінницька обл., 22720","292","73","284","14","205","14","219","","0","205","14","219","5","214","1","1","2","1","0","5","79","4","0","26","3","2","0","6","1","83","28.10.12"
"050371","18","Вінницька область","клуб, зал
вул.1 Травня, 5Б, с.Лугова, Іллінецький р-н, Вінницька обл., 22720","72","5","72","6","61","6","67","","0","61","6","67","0","67","0","0","0","0","0","0","36","0","0","3","3","0","0","2","1","22","28.10.12"
"050372","18","Вінницька область","клуб, зал
вул.Некрасова, 1, с.Уланівка, Іллінецький р-н, Вінницька обл., 22720","160","39","156","10","111","10","121","","0","111","10","121","2","119","0","2","1","0","0","1","67","0","1","15","2","0","0","1","0","29","28.10.12"
"050373","18","Вінницька область","клуб РТМО, актовий зал
вул.Енгельса, 48, м.Іллінці, Іллінецький р-н, Вінницька обл., 22700","104","5","107","33","72","27","99","","0","72","27","99","2","97","0","0","1","0","1","3","78","0","0","5","0","0","0","0","0","9","29.10.12"
"050374","18","Вінницька область","поліклініка, фойє
вул.Пирогова, 2, смт Дашів, Іллінецький р-н, Вінницька обл., 22740","60","0","60","43","17","43","60","","0","17","43","60","0","60","0","0","0","0","0","0","58","0","0","0","0","0","0","0","0","2","29.10.12"
"050551","18","Вінницька область","районний будинок культури, актовий зал
вул.Шевченка, 2, м.Липовець, Липовецький р-н, Вінницька обл., 22500","1576","562","1553","37","979","35","1014","","0","979","35","1014","40","974","37","1","10","4","2","31","270","27","2","59","5","3","1","39","7","476","29.10.12"
"050552","18","Вінницька область","дитячо-юнацька спортивна школа, спортивний зал
вул.Шевченка, 6, м.Липовець, Липовецький р-н, Вінницька обл., 22500","1208","434","1191","24","751","23","774","","0","751","23","774","21","753","19","2","8","6","3","22","257","45","4","31","7","2","3","17","2","325","29.10.12"
"050553","18","Вінницька область","школа, каб.1
вул.Ілліча, 3, м.Липовець, Липовецький р-н, Вінницька обл., 22500","436","132","430","23","282","22","304","","0","282","22","304","5","299","10","0","1","1","1","10","124","20","0","8","1","1","2","10","1","109","29.10.12"
"050554","18","Вінницька область","школа №3, спортивний зал
вул.1 Травня, 1, м.Липовець, Липовецький р-н, Вінницька обл., 22500","2020","717","1995","93","1234","69","1303","","0","1234","69","1303","41","1262","44","2","11","11","1","60","344","53","3","83","6","8","2","53","3","578","29.10.12"
"050555","18","Вінницька область","школа №1, їдальня
вул.Шкільна, 2, м.Липовець, Липовецький р-н, Вінницька обл., 22500","1392","581","1370","69","748","63","811","","0","748","63","811","26","785","18","0","7","3","2","28","230","48","4","42","7","6","2","21","0","367","29.10.12"
"050556","18","Вінницька область","КП ""Комунсервіс"", бухгалтерія
вул.Леніна, 105, м.Липовець, Липовецький р-н, Вінницька обл., 22500","1084","373","1072","32","683","28","711","","0","683","28","711","30","681","13","1","5","6","2","24","158","38","0","37","3","3","4","29","1","357","29.10.12"
"050557","18","Вінницька область","школа, спортивний зал
вул.Волинська, 4А, с.Богданівка, Липовецький р-н, Вінницька обл., 22543","220","37","216","20","163","20","183","","0","163","20","183","1","182","6","0","0","0","0","6","115","8","1","4","0","1","1","2","9","29","28.10.12"
"050558","18","Вінницька область","сільський будинок культури, актовий зал
вул.Радянська, 10, с.Війтівці, Липовецький р-н, Вінницька обл., 22553","328","66","321","36","227","35","262","","0","227","35","262","8","254","2","1","2","1","0","3","167","1","2","5","2","1","0","6","0","61","29.10.12"
"050559","18","Вінницька область","сільський будинок культури, актовий зал
вул.Котовського, 80, с.Іваньки, Липовецький р-н, Вінницька обл., 22554","316","74","284","26","220","22","242","","0","220","22","242","8","234","6","0","4","1","1","0","121","4","1","33","2","1","0","2","1","57","29.10.12"
"050560","18","Вінницька область","клуб-бібліотека, актовий зал
вул.Делегатська, 3, с.Пісочин, Липовецький р-н, Вінницька обл., 22554","40","8","39","4","28","4","32","","0","28","4","32","2","30","4","1","0","0","0","0","14","3","1","1","0","1","0","2","0","3","29.10.12"
"050561","18","Вінницька область","Лозуватська сільська рада, кімната для засідань
вул.Леніна, 48, с.Лозувата, Липовецький р-н, Вінницька обл., 22533","352","87","343","31","234","31","265","","0","234","31","265","11","254","7","1","3","3","1","9","147","11","1","2","0","2","1","9","1","56","28.10.12"
"050562","18","Вінницька область","сільський будинок культури, актовий зал
вул.Першотравнева, 1, с.Лукашівка, Липовецький р-н, Вінницька обл., 22534","508","141","499","30","339","28","367","","0","339","28","367","16","351","13","0","5","0","0","8","149","3","1","10","4","0","0","12","0","146","29.10.12"
"050563","18","Вінницька область","сільський клуб, актовий зал
вул.Лесі Українки, 19, с.Берестівка, Липовецький р-н, Вінницька обл., 22534","276","84","279","28","168","24","192","","0","168","24","192","5","187","10","2","2","4","1","10","68","13","1","7","1","0","0","15","0","53","29.10.12"
"050564","18","Вінницька область","школа, актовий зал
вул.Перемоги, 18А, с.Нарцизівка, Липовецький р-н, Вінницька обл., 22535","184","49","179","22","115","20","135","","0","115","20","135","3","132","4","0","0","1","0","2","79","4","1","0","0","0","0","8","0","33","28.10.12"
"050565","18","Вінницька область","сільський клуб, актовий зал
вул.Піонерська, 1, с.Ясенки, Липовецький р-н, Вінницька обл., 22536","336","89","330","24","224","23","247","","0","224","23","247","14","233","12","1","3","1","0","8","121","6","0","2","0","1","0","11","1","66","29.10.12"
"050566","18","Вінницька область","ПСП ""Агрофірма ""Нападівська"", актовий зал
вул.Калініна, 27, с.Нападівка, Липовецький р-н, Вінницька обл., 22541","556","178","552","39","342","36","378","","0","342","36","378","18","360","14","3","3","1","2","9","235","15","3","8","0","2","1","10","0","54","29.10.12"
"050567","18","Вінницька область","фельдшерсько-акушерський пункт, каб.2
вул.Карла Маркса, 35, с.Вікентіївка, Липовецький р-н, Вінницька обл., 22500","136","35","137","13","89","12","101","","0","89","12","101","2","99","2","0","2","1","0","10","64","5","0","1","0","0","0","1","0","13","30.10.12"
"050568","18","Вінницька область","сільський будинок культури, актовий зал
вул.Леніна, 21, с.Попівка, Липовецький р-н, Вінницька обл., 22551","376","103","371","26","247","26","273","","0","247","26","273","6","267","12","1","3","1","1","14","138","30","1","1","0","3","1","20","3","38","28.10.12"
"050569","18","Вінницька область","сільський будинок культури, актовий зал
вул.Карла Маркса, 20А, с.Росоша, Липовецький р-н, Вінницька обл., 22542","1772","521","1756","133","1126","125","1251","","0","1126","125","1251","30","1221","22","2","3","2","2","29","746","8","0","9","3","3","1","26","0","365","29.10.12"
"050570","18","Вінницька область","ТОВ ""Липовецький елеватор"", актовий зал
вул.Привокзальна, 18, с-ще Липовець, Липовецький р-н, Вінницька обл., 22544","324","95","323","18","211","18","229","","0","211","18","229","2","227","6","1","1","1","1","5","137","12","0","3","1","0","1","3","1","54","29.10.12"
"050571","18","Вінницька область","школа, актовий зал
вул.Садова, 30, с.Скитка, Липовецький р-н, Вінницька обл., 22545","444","143","439","55","249","52","301","","0","249","52","301","4","297","9","2","4","2","1","5","148","13","0","5","1","3","0","4","0","100","29.10.12"
"050572","18","Вінницька область","фельдшерсько-акушерський пункт, каб.2
вул.Струтинського, 13, с.Хороша, Липовецький р-н, Вінницька обл., 22545","340","86","336","29","226","28","254","","0","226","28","254","5","249","6","1","2","0","1","11","91","17","1","7","0","1","2","11","0","98","29.10.12"
"050573","18","Вінницька область","сільський будинок культури, актовий зал
вул.Леніна, 5, с.Славна, Липовецький р-н, Вінницька обл., 22540","328","110","324","18","201","17","218","","0","201","17","218","5","213","7","3","4","1","2","11","96","7","1","7","2","2","1","6","1","62","29.10.12"
"050574","18","Вінницька область","сільський клуб, актовий зал
вул.Леніна, 26, с.Ганнівка, Липовецький р-н, Вінницька обл., 22540","112","34","108","3","77","1","78","","0","77","1","78","1","77","4","1","0","0","0","1","52","2","0","2","1","0","0","1","0","13","29.10.12"
"050575","18","Вінницька область","СТОВ ""Дружба"", кімната для засідань
вул.Леніна, 20, с.Улянівка, Липовецький р-н, Вінницька обл., 22540","52","9","50","10","33","10","43","","0","33","10","43","0","43","2","0","0","0","0","2","28","0","0","1","0","0","0","0","0","10","28.10.12"
"050576","18","Вінницька область","сільський будинок культури, актовий зал
вул.Гагаріна, 2, с.Струтинка, Липовецький р-н, Вінницька обл., 22550","368","89","366","65","222","57","279","","0","222","57","279","7","272","4","1","3","0","0","6","148","7","1","28","2","2","0","9","0","61","29.10.12"
"050577","18","Вінницька область","сільський клуб, актовий зал
вул.Шкільна, 35, с.Троща, Липовецький р-н, Вінницька обл., 22552","340","93","333","35","215","32","247","","0","215","32","247","3","244","4","0","1","1","0","3","111","4","1","11","1","1","0","5","1","100","28.10.12"
"050578","18","Вінницька область","сільський будинок культури, актовий зал
вул.Будьонного, 1Е, с.Щаслива, Липовецький р-н, Вінницька обл., 22532","684","201","679","51","436","47","483","","0","436","47","483","17","466","15","2","2","1","4","10","243","7","3","34","4","2","0","12","0","127","29.10.12"
"050579","18","Вінницька область","сільський клуб, актовий зал
вул.Поповича, 29А, с.Білозерівка, Липовецький р-н, Вінницька обл., 22532","140","41","138","17","82","17","99","","0","82","17","99","4","95","2","1","0","0","0","1","21","5","0","7","0","1","0","4","0","53","29.10.12"
"050580","18","Вінницька область","будинок комунальної власності, загальна кімната
вул.Садова, 42А, с.Королівка, Липовецький р-н, Вінницька обл., 22532","88","11","88","12","66","11","77","","0","66","11","77","3","74","4","1","2","0","0","0","37","2","0","2","1","0","0","4","0","21","29.10.12"
"050581","18","Вінницька область","Турбівська селищна рада, кімната для засідань
вул.Миру, 42, смт Турбів, Липовецький р-н, Вінницька обл., 22513","1748","677","1739","62","1014","57","1071","","0","1014","57","1071","35","1036","45","4","14","9","4","56","315","55","4","29","5","5","6","28","3","454","29.10.12"
"050582","18","Вінницька область","школа №2, актовий зал
вул.Миру, 80, смт Турбів, Липовецький р-н, Вінницька обл., 22513","1624","608","1610","57","961","55","1016","","0","961","55","1016","17","999","56","1","11","9","3","38","376","23","1","33","3","2","1","27","2","413","29.10.12"
"050583","18","Вінницька область","школа №1, актовий зал
вул.Миру, 24, смт Турбів, Липовецький р-н, Вінницька обл., 22513","1144","392","1130","70","691","61","752","","0","691","61","752","15","737","49","5","12","4","2","22","359","24","2","10","2","6","2","19","4","215","29.10.12"
"050584","18","Вінницька область","САТ ""Турбівське"", актовий зал
пров.І Шевченка, 43, смт Турбів, Липовецький р-н, Вінницька обл., 22513","984","341","978","49","596","47","643","","0","596","47","643","32","611","62","5","17","5","3","29","225","27","6","12","4","3","4","19","2","188","29.10.12"
"050585","18","Вінницька область","сільський клуб, актовий зал
вул.Леніна, 51, с.Біла, Липовецький р-н, Вінницька обл., 22520","240","40","233","25","178","22","200","","0","178","22","200","8","192","2","0","0","1","0","1","156","6","0","0","0","1","2","5","0","18","29.10.12"
"050586","18","Вінницька область","фельдшерсько-акушерський пункт, каб.2
вул.Щорса, 38, с.Шендерівка, Липовецький р-н, Вінницька обл., 22520","140","27","136","12","102","11","113","","0","102","11","113","4","109","0","0","0","1","0","8","89","1","1","0","2","0","0","1","1","5","29.10.12"
"050587","18","Вінницька область","сільський будинок культури, актовий зал
вул.Леніна, 69, с.Брицьке, Липовецький р-н, Вінницька обл., 22523","348","106","339","38","212","30","242","","0","212","30","242","6","236","7","0","5","3","1","12","143","12","0","20","0","2","0","6","0","25","28.10.12"
"050588","18","Вінницька область","сільський будинок культури, актовий зал
вул.60-річчя Жовтня, 4, с.Вахнівка, Липовецький р-н, Вінницька обл., 22524","884","386","883","49","454","44","498","","0","454","44","498","16","482","22","3","9","4","0","15","248","16","6","11","2","2","2","12","1","129","29.10.12"
"050589","18","Вінницька область","СФГ ""Ольга"", кімната для засідань
вул.60-річчя Жовтня, 148, с.Вахнівка, Липовецький р-н, Вінницька обл., 22524","372","126","370","26","225","21","246","","0","225","21","246","5","241","14","2","6","2","2","2","101","8","1","9","0","1","0","6","0","87","29.10.12"
"050590","18","Вінницька область","сільський клуб, актовий зал
вул.Перемоги, 1 А, с.Журава, Липовецький р-н, Вінницька обл., 22524","240","91","240","17","133","16","149","","0","133","16","149","11","138","6","0","2","0","0","4","62","6","1","14","1","1","1","4","0","36","29.10.12"
"050591","18","Вінницька область","сільський будинок культури, актовий зал
вул.Леніна, 53, с.Вербівка, Липовецький р-н, Вінницька обл., 22522","336","82","334","24","234","20","254","","0","234","20","254","5","249","6","0","2","1","1","4","169","5","2","7","2","1","1","8","0","40","29.10.12"
"050592","18","Вінницька область","сільський будинок культури, актовий зал
вул.Леніна, 47, с.Зозів, Липовецький р-н, Вінницька обл., 22525","1080","338","1071","100","642","100","742","","0","642","100","742","16","726","25","3","14","9","2","41","240","19","1","20","2","2","1","24","1","322","28.10.12"
"050593","18","Вінницька область","сільський клуб, актовий зал
вул.Будьонного, 9, с.Зозівка, Липовецький р-н, Вінницька обл., 22521","344","97","252","31","221","26","247","","0","221","26","247","7","240","6","0","1","1","0","11","171","3","0","1","1","1","0","7","3","34","29.10.12"
"050594","18","Вінницька область","сільський будинок культури, актовий зал
вул.Перемоги, 17, с.Козинці, Липовецький р-н, Вінницька обл., 22530","264","42","261","31","192","30","222","","0","192","30","222","6","216","6","2","4","2","1","3","139","1","0","2","1","0","1","2","0","52","29.10.12"
"050595","18","Вінницька область","сільський клуб, актовий зал
вул.50-річчя Перемоги, 12, с.Кобильня, Липовецький р-н, Вінницька обл., 22530","216","26","222","25","166","24","190","","0","166","24","190","8","182","4","0","0","0","0","9","113","10","0","0","0","1","2","6","1","36","29.10.12"
"050596","18","Вінницька область","сільський клуб, актовий зал
вул.Першотравнева, 48, с.Коханівка, Липовецький р-н, Вінницька обл., 22530","288","47","286","29","212","29","241","","0","212","29","241","4","237","2","0","1","1","1","4","170","8","0","0","0","0","0","3","2","45","29.10.12"
"050597","18","Вінницька область","сільський будинок культури, актовий зал
вул.Миру, 32, с.Свердлівка, Липовецький р-н, Вінницька обл., 22530","272","60","273","33","179","33","212","","0","179","33","212","3","209","7","1","2","2","1","4","137","11","4","3","0","0","0","5","0","32","29.10.12"
"050598","18","Вінницька область","Костянтинівська сільська рада, кімната засідань
вул.Миру, 31, с.Костянтинівка, Липовецький р-н, Вінницька обл., 22510","488","132","486","40","319","37","356","","0","319","37","356","10","346","12","0","5","4","2","10","189","10","2","7","5","4","2","4","0","90","29.10.12"
"050599","18","Вінницька область","будинок тваринника, загальна кімната
вул.Жовтневої Революції, 18, с.Петрівка, Липовецького р-н, Вінницька обл., 22510","56","8","54","5","43","5","48","","0","43","5","48","3","45","0","0","0","0","0","1","33","2","0","1","0","1","0","1","0","6","29.10.12"
"050600","18","Вінницька область","фельдшерсько-акушерський пункт, каб.2
вул.Революційна, 35, с.Чупринівка, Липовецький р-н, Вінницька обл., 22510","84","21","81","4","59","4","63","","0","59","4","63","2","61","3","0","0","0","0","0","45","4","0","0","0","0","1","2","0","6","29.10.12"
"050601","18","Вінницька область","сільський будинок культури, актовий зал
вул.Першотравнева, 47, с.Нова Прилука, Липовецький р-н, Вінницька обл., 22512","1368","434","1373","91","860","74","934","","0","860","74","934","12","922","38","3","11","0","3","17","407","25","2","13","1","7","3","20","5","367","28.10.12"
"050602","18","Вінницька область","школа, спортивний зал
вул.Івана Франка, 1, с.Приборівка, Липовецький р-н, Вінницька обл., 22515","928","272","916","58","603","53","656","","0","603","53","656","5","651","3","0","3","0","0","3","534","2","0","0","0","1","0","1","0","104","29.10.12"
"050603","18","Вінницька область","сільський клуб, актовий зал
вул.Шкільна, 16, с.Косаківка, Липовецький р-н, Вінницька обл., 22515","244","50","245","15","179","15","194","","0","179","15","194","2","192","16","1","1","0","0","3","109","13","2","1","0","2","2","3","1","38","29.10.12"
"050604","18","Вінницька область","сільський клуб, актовий зал
вул.60-річчя Жовтня, 98, с.Сиваківці, Липовецький р-н, Вінницька обл., 22514","812","183","806","87","544","85","629","","0","544","85","629","26","603","4","2","14","1","0","28","360","10","1","40","0","7","2","7","0","127","29.10.12"
"050605","18","Вінницька область","Староприлуцька сільська рада, кімната для засідань
вул.Гагаріна, 54, с.Стара Прилука, Липовецький р-н, Вінницька обл., 22511","1008","276","1004","84","654","78","732","","0","654","78","732","5","727","22","4","2","1","1","2","439","2","0","3","1","4","1","12","0","233","30.10.12"
"050606","18","Вінницька область","центральна районна лікарня, актовий зал
вул.Пирогова, 9, м.Липовець, Липовецький р-н, Вінницька обл., 22500","128","46","92","18","70","12","82","","0","70","12","82","2","80","1","0","1","0","0","0","56","2","0","1","0","0","1","0","0","18","28.10.12"
"050770","18","Вінницька область","будинок культури, хол
вул.Горького, 89, м.Немирів, Немирівський р-н, Вінницька обл., 22800","1820","659","1818","36","1129","32","1161","","0","1129","32","1161","39","1122","30","0","10","7","2","23","339","79","4","66","3","13","4","36","2","504","30.10.12"
"050771","18","Вінницька область","будівельний технікум, актовий зал
вул.Луначарського, 29, м.Немирів, Немирівський р-н, Вінницька обл., 22800","1784","660","1770","16","1110","14","1124","","0","1110","14","1124","33","1091","32","5","9","5","2","29","331","74","0","77","13","8","4","21","2","479","29.10.12"
"050772","18","Вінницька область","будинок культури спиртзаводу, зал
вул.Горького, 31, м.Немирів, Немирівський р-н, Вінницька обл., 22800","1312","390","1311","33","890","32","922","","0","890","32","922","25","897","16","6","6","2","5","33","241","68","3","75","5","5","1","13","2","416","29.10.12"
"050773","18","Вінницька область","спортивний комплекс, спотивний зал
вул.Леніна, 78, м.Немирів, Немирівський р-н, Вінницька обл., 22800","1700","523","1692","29","1150","27","1177","","0","1150","27","1177","12","1165","19","4","7","12","7","44","298","70","6","76","14","8","1","45","2","552","29.10.12"
"050774","18","Вінницька область","школа-інтернат, спортивний зал
вул.Горького, 191, м.Немирів, Немирівський р-н, Вінницька обл., 22800","1856","729","1855","18","1109","18","1127","","0","1109","18","1127","29","1098","19","2","11","8","5","33","295","77","1","72","14","5","2","26","3","525","29.10.12"
