"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боровська
Наталя
Дмитрівна","Грабар
Іван
Григорович","Довбиш
Юрій
Григорович","Кізін
Сидор
Васильович","Козел
Василь
Васильович","Кропивницький
Володимир
Миколайович","Развадовський
Віктор
Йосипович","Самчик
Максим
Юрійович","Солоп
Михайло
Павлович","Дата підписання протоколу"
"000001","67","Житомирська область","клуб
с. Дениші, Житомирський р-н, Житомирська обл., 12422","488","434","306","0","54","0","54","","0","54","0","54","2","52","3","0","2","9","0","15","20","1","2","28.10.12"
"180292","67","Житомирська область","клуб, зала
вул.Ватутіна, 31, с.Березівка, Житомирський р-н, Житомирська обл., 12411","936","380","932","46","514","42","556","","0","514","42","556","7","549","8","6","25","92","1","74","295","11","37","29.10.12"
"180293","67","Житомирська область","клуб, фойє
вул.Центральна, 5, с.Березівка, Житомирський р-н, Житомирська обл., 12499","496","203","490","4","290","3","293","","0","290","3","293","8","285","5","2","6","41","3","54","167","4","3","29.10.12"
"180294","67","Житомирська область","клуб, фойє
вул.Залізнична, 43, с.Дубовець, Житомирський р-н, Житомирська обл., 12411","328","134","317","24","170","24","194","","0","170","24","194","3","191","0","3","4","27","2","36","111","6","2","28.10.12"
"180295","67","Житомирська область","будинок культури, читальна зала
вул.Славгородського, 3, с.Черемошне, Житомирський р-н, Житомирська обл., 12499","352","167","343","30","158","27","185","","0","158","27","185","5","180","2","2","10","22","2","14","125","3","0","28.10.12"
"180296","67","Житомирська область","будинок культури, зала
вул.Л.Українки, 1А, с.Буки, Житомирський р-н, Житомирська обл., 12498","352","116","348","17","220","16","236","","0","220","16","236","7","229","5","11","7","51","3","57","88","1","6","29.10.12"
"180297","67","Житомирська область","фельдшерський пункт, дитяча кімната
вул.Чуднівська, 34А, с.Нова Рудня, Житомирський р-н, Житомирська обл., 12498","312","127","311","31","154","31","185","","0","154","31","185","11","174","4","4","6","26","1","36","82","2","13","29.10.12"
"180298","67","Житомирська область","клуб, зала
вул.Нова, 1, с.Болярка, Житомирський р-н, Житомирська обл., 12414","224","87","222","12","125","12","137","","0","125","12","137","8","129","3","11","6","23","0","36","43","3","4","29.10.12"
"180299","67","Житомирська область","будинок культури, зала
вул.Центральна, 6, с.Василівка, Житомирський р-н, Житомирська обл., 12413","664","297","656","50","318","49","367","","0","318","49","367","1","366","4","23","3","79","4","85","158","2","8","29.10.12"
"180300","67","Житомирська область","будинок народної творчості, фойє
вул.Леніна, 16А, с.Вереси, Житомирський р-н, Житомирська обл., 12401","1376","586","1360","58","734","56","790","","0","734","56","790","12","778","12","9","64","11","163","188","282","31","18","29.10.12"
"180301","67","Житомирська область","школа, фойє
вул.Дружби, 54А, с.Вертокиївка, Житомирський р-н, Житомирська обл., 12450","592","242","585","27","323","27","350","","0","323","27","350","5","345","13","1","10","96","3","55","145","10","12","29.10.12"
"180302","67","Житомирська область","клуб, зала
вул.Кооперативна, 1, с.Городище, Житомирський р-н, Житомирська обл., 12450","136","51","134","14","77","8","85","","0","77","8","85","1","84","0","0","3","12","1","24","40","2","2","28.10.12"
"180303","67","Житомирська область","будинок культури, зала
вул.Рад, 1, с.Іванківці, Житомирський р-н, Житомирська обл., 12451","368","130","362","24","215","23","238","","0","215","23","238","5","233","3","6","8","23","1","65","123","0","4","29.10.12"
"180304","67","Житомирська область","школа №1, фойє
вул.Полупанова, 1, с.Висока Піч, Житомирський р-н, Житомирська обл., 12424","416","170","410","21","227","19","246","","0","227","19","246","6","240","3","1","5","53","5","57","111","2","3","28.10.12"
"180305","67","Житомирська область","будинок культури, фойє
вул.Воронкіна, 1, с.Висока Піч, Житомирський р-н, Житомирскька обл., 12424","1360","624","1335","3","734","2","736","","0","734","2","736","8","728","5","9","18","86","17","101","445","15","32","29.10.12"
"180306","67","Житомирська область","клуб, фойє
вул.Шевченка, 1, с.Старошийка, Житомирський р-н, Житомирська обл., 12424","352","158","342","19","181","13","194","","0","181","13","194","4","190","1","1","4","29","6","32","113","3","1","28.10.12"
"180307","67","Житомирська область","клуб, фойє
вул.Московська, 1, с.Покостівка, Житомирський р-н, Житомирська обл., 12424","136","52","133","5","79","5","84","","0","79","5","84","2","82","2","1","2","25","1","16","33","0","2","29.10.12"
"180308","67","Житомирська область","школа, спортивна зала
вул.Шкільна, 1, с.Головенка, Житомирський р-н, Житомирська обл., 12464","592","281","585","44","269","42","311","","0","269","42","311","8","303","4","1","17","86","2","32","142","11","8","29.10.12"
"180309","67","Житомирська область","будинок культури, зала
вул.Леніна, 2, с.Глибочок, Житомирський р-н, Житомирська обл., 12498","424","168","415","56","208","48","256","","0","208","48","256","15","241","3","0","5","22","2","48","152","5","4","29.10.12"
"180310","67","Житомирська область","школа, фойє молодших класів
вул.40 років Перемоги, 3, с.Глибочиця, Житомирський р-н, Житомирська обл., 12403","2312","1123","2293","27","1164","25","1189","","0","1164","25","1189","36","1153","12","14","82","239","137","204","418","22","25","29.10.12"
"180311","67","Житомирська область","школа, їдальня
вул.Вишнева, 2А, с.Гадзинка, Житомирський р-н, Житомирська обл., 12404","472","211","461","32","231","30","261","","0","231","30","261","6","255","4","2","11","14","41","107","65","8","3","29.10.12"
"180312","67","Житомирська область","школа, фойє їдальні
вул.Київська, 28, с.Березина, Житомирський р-н, Житомирська обл., 12404","472","176","473","25","273","23","296","","0","273","23","296","5","291","2","1","13","45","89","72","63","6","0","28.10.12"
"180313","67","Житомирська область","школа, спортивна зала
вул.Садова, 10, с.Дениші, Житомирський р-н, Житомирська обл., 12422","984","443","962","22","524","17","541","","0","524","17","541","13","528","6","16","25","114","8","82","221","10","46","29.10.12"
"180314","67","Житомирська область","будинок культури, зала
вул.Центральна, 17, с.Улянівка, Житомирський р-н, Житомирська обл., 12422","208","83","202","15","110","15","125","","0","110","15","125","2","123","1","0","0","32","1","25","57","4","3","29.10.12"
"180315","67","Житомирська область","будинок культури, зала
пров.Шкільний, 11, с.Зарічани, Житомирський р-н, Житомирська обл., 12440","2056","870","2029","37","1149","37","1186","","0","1149","37","1186","33","1153","46","23","123","321","17","233","305","39","46","29.10.12"
"180316","67","Житомирська область","клуб, зала
вул.Шевченка, 2А, с.Заможне, Житомирський р-н, Житомирська обл., 12498","224","97","218","9","119","8","127","","0","119","8","127","3","124","2","3","3","14","2","17","78","2","3","29.10.12"
"180317","67","Житомирська область","клуб, зала
вул.Островського, 58Г, с.Іванівка, Житомирський р-н, Житомирська обл., 12415","1536","704","1514","43","793","39","832","","0","793","39","832","27","805","21","7","60","238","24","123","292","20","20","29.10.12"
"180318","67","Житомирська область","геріатричний пансіонат, 2-й поверх, хол
вул.Інтернатна, 1, с.Іванівка, Житомирський р-н, Житомирська обл., 12415","216","32","204","70","121","63","184","","0","121","63","184","24","160","6","9","3","25","4","31","69","7","6","28.10.12"
"180319","67","Житомирська область","школа, спортивна зала
вул.1 Травня, 39, с.Барашівка, Житомирський р-н, Житомирська обл., 12416","856","422","853","64","372","62","434","","0","372","62","434","14","420","15","3","31","63","11","62","210","9","16","29.10.12"
"180320","67","Житомирська область","клуб, зала
вул.22 Партз’їзду, 32А, с.Давидівка, Житомирський р-н, Житомирська обл., 12415","272","98","268","10","164","10","174","","0","164","10","174","2","172","1","1","10","23","2","28","54","15","38","06.11.12"
"180321","67","Житомирська область","будинок культури, зала
вул.Тинюкова, 10, с.Кам’янка, Житомирський р-н, Житомирська обл., 12410","560","261","552","13","286","13","299","","0","286","13","299","4","295","4","2","15","93","7","46","104","20","4","29.10.12"
"180322","67","Житомирська область","клуб, зала
вул.Сінна, 14А, с.Довжик, Житомирський р-н, Житомирська обл., 10004","824","323","832","15","486","15","501","","0","486","15","501","14","487","21","11","61","151","3","56","139","24","21","29.10.12"
"180323","67","Житомирська область","клуб, зала
вул.Чкалова, 42Б, с.Сонячне, Житомирський р-н, Житомирська обл., 10031","448","175","448","3","270","3","273","","0","270","3","273","6","267","6","9","14","58","2","83","77","16","2","28.10.12"
"180324","67","Житомирська область","будинок культури, фойє
вул.Грабовського, 20, с.Кодня, Житомирський р-н, Житомирська обл., 12452","1600","724","1586","82","804","72","876","","0","804","72","876","30","846","17","5","23","183","9","128","466","3","12","29.10.12"
"180325","67","Житомирська область","школа, фойє
вул.Леніна, 10, с.Корчак, Житомирський р-н, Житомирська обл., 12421","408","161","399","27","222","25","247","","0","222","25","247","7","240","2","0","3","29","8","56","133","0","9","29.10.12"
