"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Івчук
Станіслав
Станіславович","Іскра
Микола
Миколайович","Карпович
Віктор
Васильович","Кужко
Михайло
Михайлович","Невмержицький
Анатолій
Васильович","Озерчук
Андрій
Миколайович","Пехов
Володимир
Анатолійович","Тимошенко
Микола
Михайлович","Чорний
Валерій
Іванович","Дата підписання протоколу"
"180363","64","Житомирська область","сільрада, фойє
вул.Козака, 1, с.Берестовець, Коростенський р-н, Житомирська обл., 11532","152","40","112","11","101","11","112","","0","101","11","112","3","109","0","0","1","0","1","8","65","33","1","30.10.12"
"180364","64","Житомирська область","сільрада, актова зала
вул.Жовтнева, 22Е, с.Бехи, Коростенський р-н, Житомирська обл., 11521","408","157","398","32","219","32","251","","0","219","32","251","9","242","2","3","1","1","5","70","96","64","0","29.10.12"
"180365","64","Житомирська область","клуб, актова зала
вул.Суворова, 1А, с.Вороневе, Коростенський р-н, Житомирська обл., 11521","136","42","126","9","85","9","94","","0","85","9","94","1","93","0","1","1","0","0","27","51","13","0","29.10.12"
"180366","64","Житомирська область","адмінприміщення Бехівського кар’єру, актова зала
вул.Вокзальна, 5, с-ще Сокорики, Коростенський р-н, Житомирська обл., 11521","184","68","182","10","107","9","116","","0","107","9","116","4","112","1","2","3","0","2","17","57","30","0","29.10.12"
"180367","64","Житомирська область","будинок культури, актова зала
вул.Просолова, 1, с.Білка, Коростенський р-н, Житомирська обл., 11564","400","126","391","20","257","17","274","","0","257","17","274","10","264","3","5","3","0","1","61","82","108","1","29.10.12"
"180368","64","Житомирська область","будинок культури, к.2
вул.Леніна, 35Б, с.Бондарівка, Коростенський р-н, Житомирська обл., 11562","288","99","292","33","157","32","189","","0","157","32","189","5","184","0","27","1","3","4","50","49","48","2","28.10.12"
"180369","64","Житомирська область","школа, фойє
вул.Гришка, 27, с.Гулянка, Коростенський р-н, Житомирська обл., 11562","576","226","560","30","320","30","350","","0","320","30","350","8","342","5","26","4","2","4","105","109","86","1","29.10.12"
"180370","64","Житомирська область","приміщення дошкільного навчального закладу ""Пролісок"", актова зала
вул.Молодіжна, 10, с.Гулянка, Коростенський р-н, Житомирська обл., 11562","616","255","597","3","358","3","361","","0","358","3","361","8","353","5","52","1","6","3","139","81","65","1","28.10.12"
"180371","64","Житомирська область","клуб, актова зала
вул.Маяковського, 38А, с.Охотівка, Коростенський р-н, Житомирська обл., 11562","200","47","195","37","117","36","153","","0","117","36","153","2","151","3","9","1","1","0","28","53","56","0","29.10.12"
"180372","64","Житомирська область","клуб, актова зала
вул.Гагаріна, 63, с.Ушиця, Коростенський р-н, Житомирська обл., 11562","136","51","132","20","68","17","85","","0","68","17","85","4","81","3","9","3","0","0","8","44","14","0","29.10.12"
"180373","64","Житомирська область","будинок культури, актова зала
вул.Першотравнева, 36, с.Васьковичі, Коростенський р-н, Житомирська обл., 11522","784","335","759","39","413","36","449","","0","413","36","449","11","438","7","22","5","2","19","133","94","155","1","29.10.12"
"180374","64","Житомирська область","будинок культури, к.1
вул.Щорса, 12В, с.Веселівка, Коростенський р-н, Житомирська обл., 11572","432","163","420","20","251","18","269","","0","251","18","269","5","264","3","3","6","2","2","50","77","118","3","29.10.12"
"180375","64","Житомирська область","школа, фойє
вул.Рози Люксембург, 20Б, с.Розівка, Коростенський р-н, Житомирська обл., 11572","176","62","173","3","111","3","114","","0","111","3","114","3","111","0","3","1","0","1","26","58","22","0","29.10.12"
"180376","64","Житомирська область","школа, к.2
вул.Миру, 48А, с.Іванівка, Коростенський р-н, Житомирська обл., 11572","232","77","226","19","140","15","155","","0","140","15","155","4","151","1","3","1","1","2","54","60","27","2","28.10.12"
"180377","64","Житомирська область","сільрада, актова зала
вул.Першотравнева, 16, с.Вигів, Коростенський р-н, Житомирська обл., 11554","328","115","323","36","181","32","213","","0","181","32","213","8","205","4","5","3","1","0","43","82","66","1","29.10.12"
"180378","64","Житомирська область","клуб, актова зала
вул.Центральна, 36, с.Боровиця, Коростенський р-н, Житомирська обл., 11554","96","30","92","5","61","5","66","","0","61","5","66","4","62","1","3","2","0","0","24","22","10","0","29.10.12"
"180379","64","Житомирська область","сільрада, актова зала
вул.Центральна, 31, с.Горщик, Коростенський р-н, Житомирська обл., 11560","616","253","612","31","334","29","363","","0","334","29","363","5","358","6","24","5","4","5","96","118","99","1","29.10.12"
"180380","64","Житомирська область","будинок культури, актова зала
вул.Молодіжна, 13, с.Горщик, Коростенський р-н, Житомирська обл., 11560","1056","505","1040","31","523","28","551","","0","523","28","551","15","536","10","18","6","5","7","194","187","106","3","29.10.12"
"180381","64","Житомирська область","фельдшерський пункт, каб.1
вул.Радянська, 53А, с.Березівка, Коростенський р-н, Житомирська обл., 11560","168","64","161","12","92","12","104","","0","92","12","104","1","103","0","2","0","0","1","27","42","31","0","29.10.12"
"180382","64","Житомирська область","сільрада, актова зала
вул.Центральна, 32А, с.Давидки, Коростенський р-н, Житомирська обл., 11553","280","112","282","37","134","34","168","","0","134","34","168","0","168","0","1","4","1","0","37","86","39","0","29.10.12"
"180383","64","Житомирська область","клуб, бібліотека
вул.Парнівська, 98, с.Дідковичі, Коростенський р-н, Житомирська обл., 11520","296","129","290","27","145","22","167","","0","145","22","167","5","162","3","9","5","1","1","21","80","41","1","29.10.12"
"180384","64","Житомирська область","сільрада, актова зала
вул.Потапова, 60, с.Каленське, Коростенський р-н, Житомирська обл., 11534","368","132","362","35","210","26","236","","0","210","26","236","4","232","2","5","1","1","3","58","83","77","2","29.10.12"
"180385","64","Житомирська область","сільрада, актова зала
вул.Центральна, 8, с.Калинівка, Коростенський р-н, Житомирська обл., 11554","120","50","113","22","50","20","70","","0","50","20","70","0","70","0","2","1","2","1","37","18","8","1","29.10.12"
"180386","64","Житомирська область","клуб, актова зала
вул.Травнева, 2, с.Радянське, Коростенський р-н, Житомирська обл., 11554","104","40","96","8","57","7","64","","0","57","7","64","1","63","0","1","2","0","2","29","12","17","0","29.10.12"
"180387","64","Житомирська область","клуб, фойє
вул.Мельника, 3А, с.Ковалі, Коростенський р-н, Житомирська обл., 11583","256","56","254","14","186","14","200","","0","186","14","200","3","197","3","4","1","2","1","38","114","34","0","29.10.12"
"180388","64","Житомирська область","сільрада, актова зала
вул.Центральна, 31, с.Кожухівка, Коростенський р-н, Житомирська обл., 11550","264","113","247","5","149","2","151","","0","149","2","151","8","143","1","7","0","2","4","32","68","29","0","29.10.12"
"180389","64","Житомирська область","бібліотека, каб.1
вул.Центральна, 47, с.Клочеве, Коростенський р-н, Житомирська обл., 11550","112","38","109","0","74","0","74","","0","74","0","74","3","71","3","1","1","0","0","12","49","5","0","28.10.12"
"180390","64","Житомирська область","школа, фойє
вул.Поварова, 49, с.Купище, Коростенський р-н, Житомирська обл., 11552","216","76","216","17","128","12","140","","0","128","12","140","4","136","1","2","2","0","3","30","69","29","0","29.10.12"
"180391","64","Житомирська область","клуб, актова зала
вул.Юрасова, 60, с.Жабче, Коростенський р-н, Житомирська обл., 11552","352","146","347","20","188","18","206","","0","188","18","206","10","196","1","4","5","1","1","34","92","56","2","29.10.12"
"180392","64","Житомирська область","сільрада, актова зала
вул.Житомирська, 48, с.Лісівщина, Коростенський р-н, Житомирська обл., 11580","656","273","648","46","347","36","383","","0","347","36","383","17","366","4","7","4","5","5","99","129","111","2","29.10.12"
"180393","64","Житомирська область","сільрада, каб.1
вул.Леніна, 10, с.Мала Зубівщина, Коростенський р-н, Житомирська обл., 11535","416","193","223","9","214","9","223","","0","214","9","223","7","216","4","4","3","2","3","73","64","62","1","29.10.12"
"180394","64","Житомирська область","фельдшерський пункт, каб.1
вул.Новаківська, 1, с.Зубівщина, Коростенський р-н, Житомирська обл., 11535","144","41","142","8","95","8","103","","0","95","8","103","2","101","0","1","0","0","1","53","29","16","1","29.10.12"
"180395","64","Житомирська область","сільрада, актова зала
вул.Жовтнева, 88А, с.Мединівка, Коростенський р-н, Житомирська обл., 11533","176","39","173","27","110","27","137","","0","110","27","137","4","133","1","1","2","1","0","33","63","32","0","29.10.12"
"180396","64","Житомирська область","сільрада, актова зала
вул.Трипольського, 4, с.Межирічка, Коростенський р-н, Житомирська обл., 11524","152","47","153","25","80","25","105","","0","80","25","105","2","103","0","3","0","3","1","44","34","17","1","29.10.12"
"180397","64","Житомирська область","будинок культури, актова зала
вул.40-річчя Перемоги, 10, с.Мелені, Коростенський р-н, Житомирська обл., 11576","688","253","676","61","383","52","435","","0","383","52","435","12","423","4","15","5","3","11","80","166","138","1","29.10.12"
"180398","64","Житомирська область","клуб, актова зала
вул.Терехова, 13, с.Граби, Коростенський р-н, Житомирська обл., 11576","136","46","136","16","76","14","90","","0","76","14","90","5","85","1","2","0","0","1","12","49","19","1","29.10.12"
"180399","64","Житомирська область","фельдшерський пункт, каб.2
вул.Дружби, 8, с.Полянка, Коростенський р-н, Житомирська обл., 11576","88","27","85","12","50","11","61","","0","50","11","61","0","61","0","0","0","1","1","20","28","11","0","29.10.12"
"180400","64","Житомирська область","будинок культури, актова зала
вул.Вишняки, 23В, с.Михайлівка, Коростенський р-н, Житомирська обл., 11523","872","452","861","19","402","18","420","","0","402","18","420","15","405","1","6","6","1","11","65","161","153","1","29.10.12"
"180401","64","Житомирська область","сільрада, актова зала
вул.Слави, 1А, с.Новаки, Коростенський р-н, Житомирська обл., 11543","472","167","465","41","268","37","305","","0","268","37","305","2","303","6","12","2","2","5","69","126","79","2","29.10.12"
"180402","64","Житомирська область","сільрада, актова зала
вул.Жовтнева, 7, с.Обиходи, Коростенський р-н, Житомирська обл., 11531","72","18","69","2","52","2","54","","0","52","2","54","2","52","0","3","1","0","0","15","19","14","0","29.10.12"
"180403","64","Житомирська область","будинок культури, актова зала
вул.Жмаченка, 48, с.Поліське, Коростенський р-н, Житомирська обл., 11555","880","332","863","28","525","23","548","","0","525","23","548","8","540","8","31","6","3","13","177","154","143","5","29.10.12"
"180404","64","Житомирська область","сільрада, актова зала
вул.Черкашина, 1, с.Ришавка, Коростенський р-н, Житомирська обл., 11566","272","86","268","34","156","30","186","","0","156","30","186","6","180","2","9","5","1","3","43","75","41","1","29.10.12"
"180405","64","Житомирська область","сільрада, актова зала
вул.Центральна, 24, с.Новина, Коростенський р-н, Житомирська обл., 11566","232","91","230","19","125","16","141","","0","125","16","141","7","134","0","7","1","1","0","46","36","43","0","29.10.12"
"180406","64","Житомирська область","клуб, актова зала
вул.Жовтнева, 17, с.Ставище, Коростенський р-н, Житомирська обл., 11582","256","87","254","12","159","10","169","","0","159","10","169","3","166","2","5","2","0","3","46","71","37","0","29.10.12"
"180407","64","Житомирська область","сільрада, актова зала
вул.Центральна, 45, с.Сушки, Коростенський р-н, Житомирська обл., 11565","384","124","380","33","234","26","260","","0","234","26","260","12","248","6","4","1","2","3","99","105","28","0","29.10.12"
"180408","64","Житомирська область","клуб, актова зала
вул.Садова, 1А, с.Кам’яна Гора, Коростенський р-н, Житомирська обл., 11565","64","34","58","9","24","6","30","","0","24","6","30","3","27","1","0","1","0","0","7","13","5","0","28.10.12"
"180409","64","Житомирська область","сільрада, актова зала
вул.Жовтнева, 1, с.Сарновичі, Коростенський р-н, Житомирська обл., 11525","192","50","188","33","110","32","142","","0","110","32","142","2","140","2","5","1","1","0","54","63","14","0","29.10.12"
"180410","64","Житомирська область","сільрада, актова зала
вул.Радянська, 5, с.Сингаї, Коростенський р-н, Житомирська обл., 11541","480","204","473","11","265","11","276","","0","265","11","276","6","270","5","8","1","1","0","119","83","50","3","29.10.12"
"180411","64","Житомирська область","гімназія, фойє
вул.Шкільна, 6, с.Грозине, Коростенський р-н, Житомирська обл., 11541","920","385","901","6","529","6","535","","0","529","6","535","30","505","4","21","6","5","7","218","121","118","5","29.10.12"
"180412","64","Житомирська область","фельдшерський пункт, каб.1
вул.Центральна, 9, с.Немирівка, Коростенський р-н, Житомирська обл., 11541","160","58","155","12","92","10","102","","0","92","10","102","0","102","4","3","0","1","3","27","39","24","1","28.10.12"
"180413","64","Житомирська область","фельдшерський пункт, каб.1
вул.Перемоги, 9, с.Шатрище, Коростенський р-н, Житомирська обл., 11541","320","129","315","22","170","21","191","","0","170","21","191","6","185","0","6","2","2","4","37","89","44","1","29.10.12"
"180414","64","Житомирська область","фельдшерський пункт, каб.1
вул.Центральна, 124А, с.Купеч, Коростенський р-н, Житомирська обл., 11541","96","32","95","6","58","6","64","","0","58","6","64","0","64","0","1","1","0","0","21","20","21","0","29.10.12"
"180415","64","Житомирська область","сільрада, актова зала
вул.Центральна, 25, с.Стремигород, Коростенський р-н, Житомирська обл., 11545","336","116","330","23","197","23","220","","0","197","23","220","7","213","2","4","7","0","6","49","94","51","0","29.10.12"
"180416","64","Житомирська область","фельдшерський пункт, каб.2
вул.Лісова, 20, с.Діброва, Коростенський р-н, Житомирська обл., 11545","112","22","119","22","68","22","90","","0","68","22","90","2","88","0","4","2","1","0","30","32","19","0","29.10.12"
"180417","64","Житомирська область","клуб, каб.2
вул.Польова, 2, с.Майданівка, Коростенський р-н, Житомирська обл., 11545","104","27","98","20","57","20","77","","0","57","20","77","1","76","0","1","0","0","1","18","42","14","0","29.10.12"
"180418","64","Житомирська область","будинок культури, актова зала
вул.Леніна, 1, с.Ушомир, Коростенський р-н, Житомирська обл., 11571","984","319","967","34","631","34","665","","0","631","34","665","13","652","2","50","6","5","9","185","112","283","0","29.10.12"
"180419","64","Житомирська область","будинок-інтернат, актова зала
вул.Центральна, 1, с.Березневе, Коростенський р-н, Житомирська обл., 11571","104","41","97","6","57","6","63","","0","57","6","63","0","63","0","1","0","0","0","8","22","32","0","29.10.12"
"180420","64","Житомирська область","клуб, актова зала
вул.Центральна, 60А, с.Заріччя, Коростенський р-н, Житомирська обл., 11571","168","53","163","5","110","5","115","","0","110","5","115","4","111","1","2","0","0","1","31","36","40","0","29.10.12"
"180421","64","Житомирська область","клуб, актова зала
вул.Чкалова, 10А, с.Ковбащина, Коростенський р-н, Житомирська обл., 11571","248","64","245","13","171","13","184","","0","172","12","184","10","174","1","2","0","0","1","68","37","65","0","29.10.12"
"180422","64","Житомирська область","клуб, актова зала
вул.Центральна, 20А, с.Пугачівка, Коростенський р-н, Житомирська обл., 11571","200","81","191","30","91","28","119","","0","91","28","119","4","115","2","0","0","0","1","23","36","53","0","29.10.12"
"180423","64","Житомирська область","клуб, актова зала
вул.Центральна, 42А, с.Сантарка, Коростенський р-н, Житомирська обл., 11571","160","80","154","5","75","5","80","","0","75","5","80","0","80","1","2","0","1","1","12","21","42","0","29.10.12"
"180424","64","Житомирська область","школа, спортивна зала
вул.Центральна, 19, с.Холосне, Коростенський р-н, Житомирська обл., 11574","336","101","333","15","222","13","235","","0","222","13","235","9","226","1","3","3","1","0","54","114","50","0","29.10.12"
"180425","64","Житомирська область","школа, спортивна зала
вул.Шкільна, 4, с.Злобичі, Коростенський р-н, Житомирська обл., 11574","216","67","208","26","125","24","149","","0","125","24","149","1","148","2","5","0","0","0","41","53","47","0","29.10.12"
"180426","64","Житомирська область","клуб, актова зала
вул.Шляхівська, 11А, с.Нивки, Коростенський р-н, Житомирська обл., 11574","80","17","81","6","58","5","63","","0","58","5","63","0","63","0","0","3","0","0","16","29","14","1","29.10.12"
"180427","64","Житомирська область","клуб, актова зала
вул.Центральна, 50А, с.Ходаки, Коростенський р-н, Житомирська обл., 11540","200","37","204","22","141","22","163","","0","141","22","163","8","155","4","1","1","0","2","27","62","55","3","29.10.12"
"180428","64","Житомирська область","клуб, актова зала
вул.Центральна, 20А, с.Субине, Коростенський р-н, Житомирська обл., 11540","64","24","58","0","40","0","40","","0","40","0","40","0","40","0","1","0","1","0","12","14","12","0","29.10.12"
"180429","64","Житомирська область","клуб, актова зала
вул.Радянська, 8, с.Хотинівка, Коростенський р-н, Житомирська обл., 11544","392","135","382","33","229","28","257","","0","229","28","257","6","251","1","3","2","2","3","81","87","70","2","30.10.12"
"180430","64","Житомирська область","фельдшерський пункт, каб.2
вул.Злобицька, 1, с.Домолоч, Коростенський р-н, Житомирська обл., 11544","80","18","83","2","60","2","62","","0","60","2","62","2","60","0","3","1","0","0","16","30","10","0","29.10.12"
"180431","64","Житомирська область","школа, фойє
вул.Козака, 7, с.Іскорость, Коростенський р-н, Житомирська обл., 11544","216","83","211","14","119","14","133","","0","119","14","133","5","128","3","5","0","0","2","25","55","36","2","29.10.12"
"180432","64","Житомирська область","фельдшерський пункт, каб.2
вул.Центральна, 47А, с.Соболівка, Коростенський р-н, Житомирська обл., 11544","88","25","84","10","54","9","63","","0","54","9","63","2","61","0","2","1","1","1","27","12","17","0","01.11.12"
"180433","64","Житомирська область","клуб, актова зала
вул.Клубна, 26А, с.Розтяжин, Коростенський р-н, Житомирська обл., 11544","112","17","95","8","87","8","95","","0","87","8","95","2","93","0","7","1","0","0","32","32","20","1","29.10.12"
"180434","64","Житомирська область","сільрада, актова зала
вул.Гагаріна, 63А, с.Шершні, Коростенський р-н, Житомирська обл., 11581","216","50","213","21","147","19","166","","0","147","19","166","5","161","1","5","5","2","1","46","65","35","1","29.10.12"
"180435","64","Житомирська область","фельдшерський пункт, каб.1
вул.Центральна, 2А, с.Десятини, Коростенський р-н, Житомирська обл., 11581","64","22","64","5","37","5","42","","0","37","5","42","1","41","0","2","3","0","1","8","21","6","0","29.10.12"
"180436","64","Житомирська область","клуб, актова зала
вул.Центральна, 1А, с.Старики, Коростенський р-н, Житомирська обл., 11581","336","89","327","24","225","22","247","","0","225","22","247","8","239","4","14","5","3","0","73","99","40","1","29.10.12"
"180437","64","Житомирська область","сільрада, актова зала
вул.Площа Миру, 2, с.Щорсівка, Коростенський р-н, Житомирська обл., 11570","568","226","559","23","321","21","342","","0","321","21","342","8","334","7","10","2","4","7","67","142","94","1","29.10.12"
"180438","64","Житомирська область","дільнична лікарня, каб.1
вул.Наумова, 9, с.Ушомир, Коростенський р-н, Житомирська обл., 11571","32","9","23","0","23","0","23","","0","23","0","23","0","23","0","1","0","0","1","9","4","8","0","29.10.12"
"180439","64","Житомирська область","дільнична лікарня, фойє
вул.Першотравнева, 7, с.Васьковичі, Коростенський р-н, Житомирська обл., 11522","24","4","34","1","19","1","20","","0","19","1","20","0","20","2","1","0","0","0","5","7","5","0","28.10.12"
"180487","64","Житомирська область","районний будинок культури, фойє
вул.Горького, 12, смт Лугини, Лугинський р-н, Житомирська обл., 11301","1704","804","1676","18","886","14","900","","0","886","14","900","13","887","270","16","12","5","8","211","174","183","8","29.10.12"
"180488","64","Житомирська область","будинок дитячої творчості, актова зала
вул.Карла Маркса, 3, смт Лугини, Лугинський р-н, Житомирська обл., 11301","1584","722","1567","16","850","12","862","","0","850","12","862","17","845","273","18","15","4","5","211","176","138","5","29.10.12"
"180489","64","Житомирська область","районна санітарно-епідеміологічна служба, каб.1
вул.Армійська, 9, смт Лугини, Лугинський р-н, Житомирська обл., 11301","376","169","370","1","206","1","207","","0","206","1","207","4","203","55","2","1","1","0","33","90","20","1","28.10.12"
"180490","64","Житомирська область","клуб, фойє
вул.Колгоспна, 38А, с.Лугинки, Лугинський р-н, Житомирська обл., 11300","304","134","295","8","163","7","170","","0","163","7","170","1","169","22","0","0","3","0","39","85","19","1","29.10.12"
"180491","64","Житомирська область","школа, каб.1
вул.Залізнична, 19, с.Станційне, Лугинський р-н, Житомирська обл., 11300","304","129","299","5","170","5","175","","0","170","5","175","10","165","20","6","7","2","0","26","49","53","2","29.10.12"
"180492","64","Житомирська область","будинок культури, фойє
вул.Карла Маркса, 37, с.Липники, Лугинський р-н, Житомирська обл., 11320","1264","544","1237","27","696","24","720","","0","696","24","720","23","697","80","19","13","2","13","256","182","126","6","29.10.12"
"180493","64","Житомирська область","фельдшерський пункт, приймальня
вул.Центральна, 63, с.Березовий Груд, Лугинський р-н, Житомирська обл., 11342","96","32","91","8","57","7","64","","0","57","7","64","1","63","1","1","2","0","0","26","23","10","0","29.10.12"
"180494","64","Житомирська область","сільський клуб, каб.1
вул.Центральна, 31, с.Будо-Літки, Лугинський р-н, Житомирська обл., 11342","120","30","112","8","82","8","90","","0","82","8","90","4","86","4","1","0","1","1","23","35","21","0","28.10.12"
"180495","64","Житомирська область","будинок культури, фойє
вул.Центральна, 11, с.Радогоща, Лугинський р-н, Житомирська обл., 11343","224","53","223","23","149","22","171","","0","149","22","171","2","169","4","4","3","0","0","31","58","66","3","29.10.12"
"180496","64","Житомирська область","сільська рада, зала урочистих подій
вул.Молодіжна, 11, с.Старосілля, Лугинський р-н, Житомирська обл., 11330","304","120","298","13","173","11","184","","0","173","11","184","6","178","22","7","3","0","2","43","71","29","1","28.10.12"
"180497","64","Житомирська область","сільська рада, зала урочистих подій
вул.Шевченка, 59, с.Путиловичі, Лугинський р-н, Житомирська обл., 11341","560","181","554","23","359","20","379","","0","359","20","379","16","363","30","5","7","3","0","164","101","51","2","29.10.12"
"180498","64","Житомирська область","сільська рада, зала урочистих подій
вул.Центральна, 2, с.Остапи, Лугинський р-н, Житомирська обл., 11341","280","77","272","6","197","6","203","","0","197","6","203","4","199","1","4","3","1","0","83","57","47","3","29.10.12"
"180499","64","Житомирська область","сільська рада, зала урочистих подій
вул.Леніна, 45, с.Великий Дивлин, Лугинський р-н, Житомирська обл., 11331","560","212","554","26","322","26","348","","0","322","26","348","10","338","15","6","3","0","2","148","78","84","2","29.10.12"
"180500","64","Житомирська область","школа, каб.1
вул.Шевченко, 9, с.Малий Дивлин, Лугинський р-н, Житомирська обл., 11332","112","42","113","8","62","8","70","","0","62","8","70","1","69","15","0","4","0","0","24","18","8","0","29.10.12"
"180501","64","Житомирська область","магазин, каб.1
пров.Лісовий, 3, с.Вербівка, Лугинський р-н, Житомирська обл., 11331","80","25","76","6","49","6","55","","0","49","6","55","2","53","9","0","0","0","1","21","13","9","0","29.10.12"
"180502","64","Житомирська область","клуб, фойє
вул.Центральна, 56, с.Топільня, Лугинський р-н, Житомирська обл., 11310","288","85","282","16","187","16","203","","0","187","16","203","3","200","2","4","2","2","0","102","58","30","0","28.10.12"
"180503","64","Житомирська область","клуб, фойє
вул.Центральна, 18, с.Чапаєвка, Лугинський р-н, Житомирська обл., 11312","144","39","140","6","99","6","105","","0","99","6","105","7","98","0","2","0","1","2","50","35","6","2","28.10.12"
"180504","64","Житомирська область","сільська рада, зала урочистих подій
вул.Центральна, 31, с.Красностав, Лугинський р-н, Житомирська обл., 11335","336","134","335","7","197","5","202","","0","197","5","202","7","195","19","7","4","3","2","34","73","53","0","29.10.12"
"180505","64","Житомирська область","будинок культури, танцювальна зала
вул.Центральна, 78, с.Бовсуни, Лугинський р-н, Житомирська обл., 11323","688","249","677","12","428","11","439","","0","428","11","439","12","427","30","6","15","0","4","117","135","116","4","29.10.12"
"180506","64","Житомирська область","фельдшерський пункт, приймальня
вул.Колгоспна, 6, с.Солов’ї, Лугинський р-н, Житомирська обл., 11323","136","70","128","4","62","4","66","","0","62","4","66","7","59","5","1","0","0","3","18","19","12","1","28.10.12"
"180507","64","Житомирська область","сільська рада, зала урочистих подій
вул.Центральна, 57, с.Степанівка, Лугинський р-н, Житомирська обл., 11322","280","71","276","26","187","22","209","","0","187","22","209","4","205","4","2","3","0","1","126","21","48","0","29.10.12"
"180508","64","Житомирська область","сільська рада, зала урочистих подій
вул.Центральна, 80, с.Повч, Лугинський р-н, Житомирська обл., 11321","328","108","322","9","212","8","220","","0","212","8","220","5","215","14","1","3","2","4","60","76","54","1","29.10.12"
"180509","64","Житомирська область","сільська рада, зала урочистих подій
вул.Центральна, 5, с.Літки, Лугинський р-н, Житомирська обл., 11325","448","178","442","21","253","17","270","","0","253","17","270","4","266","54","10","26","2","2","76","50","46","0","28.10.12"
"180510","64","Житомирська область","сільська рада, зала урочистих подій
вул.Шкільна, 5, с.Кремне, Лугинський р-н, Житомирська обл., 11334","784","346","777","23","418","20","438","","0","418","20","438","13","425","17","11","6","4","4","151","111","119","2","29.10.12"
"180511","64","Житомирська область","будинок культури, фойє
вул.Заводська, 6, смт Жовтневе, Лугинський р-н, Житомирська обл., 11310","520","204","517","9","307","9","316","","0","307","9","316","3","313","10","5","9","0","6","117","77","82","7","28.10.12"
"180512","64","Житомирська область","сільська рада, зала урочистих подій
вул.Шкільна, 17, с.Калинівка, Лугинський р-н, Житомирська обл., 11340","480","221","478","23","244","15","259","","0","244","15","259","5","254","15","12","7","0","3","98","56","62","1","29.10.12"
"180513","64","Житомирська область","будинок культури, фойє
вул.Т.Шевченка, 56Б, с.Червона Волока, Лугинський р-н, Житомирська обл., 11313","736","252","727","12","472","12","484","","0","472","12","484","12","472","5","5","1","0","1","354","51","55","0","29.10.12"
"180514","64","Житомирська область","сільська рада, сесійна зала
вул.Шкільна, 27, с.Жеревці, Лугинський р-н, Житомирська обл., 11312","296","92","295","2","202","2","204","","0","202","2","204","5","199","2","4","4","0","1","109","47","32","0","29.10.12"
"180515","64","Житомирська область","клуб, каб.1
вул.Молодіжна, 15, с.Зарічка, Лугинський р-н, Житомирська обл., 11312","264","94","257","1","169","1","170","","0","169","1","170","3","167","3","10","2","1","0","94","42","15","0","29.10.12"
"180516","64","Житомирська область","клуб, каб.1
вул.Центральна, 39, с.Запілля, Лугинський р-н, Житомирська обл., 11312","248","84","243","1","163","1","164","","0","163","1","164","7","157","6","2","3","2","2","75","28","38","1","29.10.12"
"180517","64","Житомирська область","центральна районна лікарня, актова зала
вул.Червона Гірка, 23, смт Лугини, Лугинський р-н, Житомирська обл., 11301","96","71","38","5","23","2","25","","0","23","2","25","1","24","8","0","0","0","0","4","9","3","0","29.10.12"
"180518","64","Житомирська область","дільнична лікарня, фойє
вул.Садова, 1А, с.Липники, Лугинський р-н, Житомирська обл., 11320","16","0","20","0","16","0","16","","0","16","0","16","0","16","0","0","0","0","0","5","8","3","0","28.10.12"
"180707","64","Житомирська область","будинок культури, фойє
вул.Радянська, 46, м.Овруч, Овруцький р-н, Житомирська обл., 11101","1808","776","1797","30","1007","25","1032","","0","1007","25","1032","29","1003","7","17","6","33","128","229","243","331","9","29.10.12"
"180708","64","Житомирська область","гімназія, спортивна зала
вул.Франка, 7, м.Овруч, Овруцький р-н, Житомирська обл., 11101","1896","981","1856","25","892","23","915","","0","892","23","915","21","894","4","17","1","10","90","305","133","331","3","29.10.12"
"180709","64","Житомирська область","школа №1, фойє
вул.Франка, 33, м.Овруч, Овруцький р-н, Житомирська обл., 11101","2248","1087","2231","44","1127","34","1161","","0","1127","34","1161","23","1138","9","26","9","18","107","351","270","346","2","29.10.12"
"180710","64","Житомирська область","школа №4, їдальня
вул.Фрунзе, 11, м.Овруч, Овруцький р-н, Житомирська обл., 11101","2328","1123","2265","26","1185","20","1205","","0","1185","20","1205","46","1159","8","27","10","25","156","276","256","395","6","29.10.12"
"180711","64","Житомирська область","ВАТ ""Молочно-консервний комбінат"", актова зала
вул.Б.Хмельницького, 92, м.Овруч, Овруцький р-н, Житомирська обл., 11101","1104","557","1071","13","538","9","547","","0","538","9","547","20","527","5","22","1","5","40","139","123","191","1","29.10.12"
