"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранівський
Олександр
Петрович","Білозір
Оксана
Володимирівна","Венчагов
Валентин
Володимирович","Гречаний
Сергій
Анатолійович","Добряк
Євген
Дмитрович","Журавський
Віталій
Станіславович","Іванова
Світлана
Олексіївна","Михайлюта
Олександр
Олександрович","Мішин
Віталій
Миколайович","Рудченко
Микола
Миколайович","Рябенко
Петро
Константинович","Тильчик
Галина
Климівна","Дата підписання протоколу"
"180155","66","Житомирська область","гімназія, спортивна зала
вул.Полякова, 1А, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","714","313","707","6","395","6","401","","0","395","6","401","6","395","4","25","13","18","56","169","5","6","0","44","55","0","29.10.12"
"180156","66","Житомирська область","управління агропромрозвитку, зала засідань
вул.Калініна, 14, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","1098","481","1080","4","616","1","617","","0","616","1","617","14","603","3","52","27","27","67","217","5","3","3","71","126","2","28.10.12"
"180157","66","Житомирська область","будинок культури, фойє
вул.1-го Травня, 17, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","1128","570","1116","12","546","12","558","","0","546","12","558","15","543","5","85","13","31","75","192","7","9","1","80","45","0","29.10.12"
"180158","66","Житомирська область","центр дитячої та юнацької творчості ""Мрія"", актова зала
вул.Лермонтова, 5, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","1140","532","1140","22","593","15","608","","0","593","15","608","16","592","5","55","25","26","75","190","11","13","1","105","83","3","28.10.12"
"180159","66","Житомирська область","школа, актова зала
вул.Леніна, 22, с.Водотиї, Брусилівський р-н, Житомирська обл., 12624","324","104","330","15","208","12","220","","0","208","12","220","6","214","21","28","5","7","26","75","4","2","0","31","12","3","29.10.12"
"180160","66","Житомирська область","фельдшерський пункт, зала
вул.Леніна, 62, с.Болячів, Брусилівський р-н, Житомирська обл., 12624","90","29","92","9","54","7","61","","0","54","7","61","4","57","2","0","0","3","12","21","2","0","1","16","0","0","28.10.12"
"180161","66","Житомирська область","школа, зала
вул.Калинівка, 30, с.Дивин, Брусилівський р-н, Житомирська обл., 12641","204","67","206","11","126","11","137","","0","126","11","137","9","128","7","10","2","5","12","33","8","8","1","38","2","2","28.10.12"
"180162","66","Житомирська область","сільська рада, актова зала
вул.Шевченка, 1, с.Карабачин, Брусилівський р-н, Житомирська обл., 12622","180","47","183","21","112","21","133","","0","112","21","133","8","125","4","32","3","4","6","50","2","3","0","17","2","2","28.10.12"
"180163","66","Житомирська область","клуб, зала
вул.Колгоспна, 6, с.Лазарівка, Брусилівський р-н, Житомирська обл., 12615","474","171","468","10","293","10","303","","0","293","10","303","4","299","10","32","7","15","29","56","22","2","2","79","45","0","28.10.12"
"180164","66","Житомирська область","сільська рада, актова зала
вул.Шляхова, 3, с.Містечко, Брусилівський р-н, Житомирська обл., 12613","198","74","193","21","105","19","124","","0","105","19","124","4","120","3","12","2","6","33","21","5","2","2","29","4","1","28.10.12"
"180165","66","Житомирська область","школа, фойє
вул.Миру, 3, с.Морозівка, Брусилівський р-н, Житомирська обл., 12634","876","405","864","27","446","25","471","","0","446","25","471","11","460","4","34","32","24","55","83","10","2","1","153","59","3","29.10.12"
"180166","66","Житомирська область","школа, актова зала
вул.Леніна, 48А, с.Нові Озеряни, Брусилівський р-н, Житомирська обл., 12620","378","112","381","54","216","50","266","","0","216","50","266","7","259","3","24","6","6","38","54","4","1","1","86","35","1","31.10.12"
"180167","66","Житомирська область","будинок культури, зала
вул.Леніна, 18А, с.Озера, Брусилівський р-н, Житомирська обл., 12642","234","88","233","9","139","7","146","","0","139","7","146","5","141","3","8","0","6","10","35","3","0","1","62","12","1","29.10.12"
"180168","66","Житомирська область","будинок культури, зала
вул.Житомирська, 155Б, с.Биків, Брусилівський р-н, Житомирська обл., 12642","222","77","219","18","128","17","145","","0","128","17","145","0","145","3","7","0","5","28","32","1","0","1","61","7","0","29.10.12"
"180169","66","Житомирська область","будинок культури, зала
вул.Червона, 1А, с.Осівці, Брусилівський р-н, Житомирська обл., 12606","450","172","438","27","252","26","278","","0","252","26","278","9","269","9","55","8","6","35","60","6","2","1","50","34","3","29.10.12"
"180170","66","Житомирська область","фермерське господарство, актова зала
вул.Леніна, 19А, с.Покришів, Брусилівський р-н, Житомирська обл., 12625","270","96","267","14","162","12","174","","0","162","12","174","3","171","1","15","10","7","30","30","2","0","1","66","9","0","29.10.12"
"180171","66","Житомирська область","будинок культури, зала
вул.Центральна, 1, с.Привороття, Брусилівський р-н, Житомирська обл., 12621","558","216","555","40","304","38","342","","0","304","38","342","2","340","2","26","1","9","33","103","5","9","5","84","61","2","28.10.12"
"180172","66","Житомирська область","будинок культури, зала
вул.Центральна, 43, с.Романівка, Брусилівський р-н, Житомирська обл., 12623","186","48","184","15","123","15","138","","0","123","15","138","1","137","2","12","0","1","8","47","0","2","1","62","2","0","28.10.12"
"180173","66","Житомирська область","школа-сад, хол
вул.Леніна, 25, с.Пилипонка, Брусилівський р-н, Житомирська обл., 12623","198","46","195","12","142","10","152","","0","142","10","152","3","149","0","14","0","7","15","29","0","2","0","77","5","0","28.10.12"
"180174","66","Житомирська область","школа, зала
вул.Дяківка, 1Б, с.Скочище, Брусилівський р-н, Житомирська обл., 12643","330","123","326","0","207","0","207","","0","207","0","207","13","194","13","33","0","7","42","61","7","2","1","14","14","0","28.10.12"
"180175","66","Житомирська область","дитячий садок, зала
вул.Центральна, 29Б, с.Соболівка, Брусилівський р-н, Житомирська обл., 12640","198","70","195","9","120","8","128","","0","120","8","128","7","121","3","23","2","5","19","24","3","1","0","22","17","2","28.10.12"
"180176","66","Житомирська область","будинок культури, фойє
вул.Центральна, 26Г, с.Долинівка, Брусилівський р-н, Житомирська обл., 12640","276","94","277","21","161","21","182","","0","161","21","182","8","174","4","62","2","4","20","38","1","3","2","32","6","0","28.10.12"
"180177","66","Житомирська область","школа, спортивна зала
вул.Центральна, 19А, с.Соловіївка, Брусилівський р-н, Житомирська обл., 12633","582","211","536","40","333","38","371","","0","333","38","371","13","358","7","27","13","10","44","166","12","2","2","57","15","3","28.10.12"
"180178","66","Житомирська область","школа, зала
вул.Леніна, 103, с.Ставище, Брусилівський р-н, Житомирська обл., 12610","402","162","394","20","222","18","240","","0","222","18","240","7","233","5","35","3","12","51","70","7","0","5","35","7","3","29.10.12"
"180179","66","Житомирська область","школа, зала
вул.Радянська, 35, с.Йосипівка, Брусилівський р-н, Житомирська обл., 12610","156","60","157","11","86","10","96","","0","86","10","96","9","87","2","9","0","3","17","18","2","2","1","27","6","0","29.10.12"
"180180","66","Житомирська область","приватний будинок, кімната столової
вул.Перемоги, 136, с.Високе, Брусилівський р-н, Житомирська обл., 12610","294","131","289","12","152","11","163","","0","152","11","163","6","157","12","26","0","7","37","39","5","0","0","18","9","4","28.10.12"
"180181","66","Житомирська область","фельдшерсько-акушерський пункт, хол
вул.Леніна, 5, с.Костівці, Брусилівський р-н, Житомирська обл., 12615","66","9","68","6","51","6","57","","0","51","6","57","8","49","1","3","1","2","17","20","1","0","0","3","1","0","29.10.12"
"180182","66","Житомирська область","сільська рада, актова зала
вул.Центральна, 1Б, с.Хомутець, Брусилівський р-н, Житомирська обл., 12630","948","419","932","39","490","39","529","","0","490","39","529","15","514","15","118","1","27","69","140","11","5","5","56","64","3","28.10.12"
"180183","66","Житомирська область","фермерське господарство, хол
вул.Лесі Українки, 2А, с.Вільшка, Брусилівський р-н, Житомирська обл., 12630","114","40","110","14","60","14","74","","0","60","14","74","1","73","1","8","0","0","33","17","2","0","0","6","5","1","28.10.12"
"180184","66","Житомирська область","школа, спортивна зала
вул.Леніна, 77, с.Яструбенька, Брусилівський р-н, Житомирська обл., 12614","240","79","242","27","138","23","161","","0","138","23","161","4","157","24","4","1","6","34","20","2","0","12","50","4","0","29.10.12"
"180185","66","Житомирська область","центральна районна лікарня, конференц-зала
вул.Лермонтова, 41, смт Брусилів, Брусилівський р-н, Житомирська обл., 12601","102","61","65","10","36","5","41","","0","36","5","41","1","40","1","3","1","1","12","14","2","0","0","3","3","0","28.10.12"
"180186","66","Житомирська область","районний Будинок культури, фойє
вул.Червона площа, 7, смт Володарськ-Волинський, Володарсько-Волинський р-н, Житомирська обл., 12101","1620","684","1590","19","920","16","936","","0","920","16","936","20","916","30","121","4","27","161","310","32","7","0","157","63","4","29.10.12"
"180187","66","Житомирська область","навчально-виховний комплекс №1, актова зала
вул.Володарського, 34, смт Володарськ-Волинський, Володарсько-Волинський р-н, Житомирська обл., 12101","2160","847","2135","101","1221","92","1313","","0","1221","92","1313","30","1283","31","178","1","54","286","367","25","4","3","228","103","3","29.10.12"
"180188","66","Житомирська область","клуб, актова зала
вул.Карла Маркса, 65/1, смт Володарськ-Волинський, Володарсько-Волинський р-н, Житомирська обл., 12101","1626","727","1608","10","890","9","899","","0","890","9","899","15","884","27","112","3","44","165","284","15","12","1","138","80","3","29.10.12"
"180189","66","Житомирська область","дитячо-юнацька спортивна школа, спортивна зала
вул.Карла Маркса, 4, смт Володарськ-Волинський, Володарсько-Волинський р-н, Житомирська обл., 12101","1176","548","1158","15","616","12","628","","0","616","12","628","17","611","25","68","1","31","93","214","13","5","0","113","47","1","29.10.12"
"180190","66","Житомирська область","селищна рада, сесійна зала
вул.Гулія, 7, смт Іршанськ, Володарсько-Волинський р-н, Житомирська обл., 12110","1110","399","1094","27","684","27","711","","0","684","27","711","28","683","33","82","2","22","106","198","30","9","2","130","63","6","29.10.12"
"180191","66","Житомирська область","Палац культури ""Титан"", лекційна зала
вул.Шевченка, 13, смт Іршанськ, Володарсько-Волинський р-н, Житомирська обл., 12110","1614","645","1597","20","952","17","969","","0","952","17","969","27","942","46","124","2","38","128","288","28","6","3","170","99","10","29.10.12"
"180192","66","Житомирська область","кінотеатр, фойє
вул.Шевченка, 15, смт Іршанськ, Володарсько-Волинський р-н, Житомирська обл., 12110","2412","1006","2388","16","1392","14","1406","","0","1392","14","1406","31","1375","57","178","2","60","236","371","34","12","3","217","188","17","29.10.12"
"180193","66","Житомирська область","Будинок культури, танцювальна зала
вул.Леніна, 11, смт Нова Борова, Володарсько-Волинський р-н, Житомирська обл., 12114","2058","905","2040","59","1104","49","1153","","0","1104","49","1153","37","1116","50","125","5","57","174","415","38","5","8","166","65","8","29.10.12"
"180194","66","Житомирська область","музична школа, концертна зала
вул.Кірова, 2А, смт Нова Борова, Володарсько-Волинський р-н, Житомирська обл., 12114","2154","853","2122","31","1275","26","1301","","0","1275","26","1301","29","1272","53","107","2","63","261","384","29","12","5","291","61","4","29.10.12"
"180195","66","Житомирська область","клуб, танцювальна зала
вул.Комарова, 19, с.Березівка, Володарсько-Волинський р-н, Житомирська обл., 12142","336","133","328","22","184","19","203","","0","184","19","203","2","201","13","30","0","15","26","37","2","1","1","60","16","0","29.10.12"
"180196","66","Житомирська область","Будинок культури, танцювальна зала
вул.Леніна, 34, с.Грушки, Володарсько-Волинський р-н, Житомирська обл., 12142","402","123","396","44","237","42","279","","0","237","42","279","3","276","14","26","0","16","55","69","15","2","1","72","6","0","29.10.12"
"180197","66","Житомирська область","сільська рада, зала засідань
вул.Щорса, 2, с.Давидівка, Володарсько-Волинський р-н, Житомирська обл., 12143","420","167","410","18","237","16","253","","0","237","16","253","4","249","15","31","2","10","23","114","5","0","1","35","12","1","28.10.12"
"180198","66","Житомирська область","сільська рада, кімната депутата
вул.Чкалова, 7, с.Дашинка, Володарсько-Волинський р-н, Житомирська обл., 12124","510","186","504","58","268","56","324","","0","268","56","324","6","318","35","42","3","4","62","66","5","0","1","83","16","1","28.10.12"
"180199","66","Житомирська область","Палац культури, обрядова зала
вул.Леніна, 22, с.Дворище, Володарсько-Волинський р-н, Житомирська обл., 12140","432","149","430","27","259","24","283","","0","259","24","283","5","278","12","37","2","14","21","91","6","2","1","69","22","1","03.11.12"
"180200","66","Житомирська область","клуб, фойє
вул.Карла Маркса, 1, с.Солодирі, Володарсько-Волинський р-н, Житомирська обл., 12141","270","89","271","15","166","15","181","","0","166","15","181","4","177","9","23","0","7","40","45","7","0","0","43","3","0","29.10.12"
"180201","66","Житомирська область","Будинок культури, концертна зала
вул.Леніна, 40А, с.Добринь, Володарсько-Волинський р-н, Житомирська обл., 12112","552","286","544","12","257","9","266","","0","257","9","266","17","249","7","25","4","6","18","65","2","2","1","107","11","1","29.10.12"
"180202","66","Житомирська область","сільська рада, зала засідань
вул.Пушкіна, 24, с.Зубринка, Володарсько-Волинський р-н, Житомирська обл., 12125","564","268","555","21","275","21","296","","0","275","21","296","10","286","15","90","2","17","26","58","8","0","0","46","23","1","29.10.12"
"180203","66","Житомирська область","клуб, танцювальна зала
вул.Папаніна, 26, с.Ставки, Володарсько-Волинський р-н, Житомирська обл., 12126","300","117","298","30","153","30","183","","0","153","30","183","5","178","4","51","2","5","22","56","4","2","0","23","6","3","29.10.12"
"180204","66","Житомирська область","сільська рада, актова зала
вул.Надії Мельниченко, 7, с.Краївщина, Володарсько-Волинський р-н, Житомирська обл., 12120","516","292","511","19","208","16","224","","0","208","16","224","4","220","13","43","2","5","29","53","4","2","0","62","4","3","28.10.12"
"180205","66","Житомирська область","Будинок культури, танцювальна зала
вул.Рад, 35, с.Кропивня, Володарсько-Волинський р-н, Житомирська обл., 12111","558","254","550","43","264","40","304","","0","264","40","304","7","297","19","58","4","8","9","65","3","0","4","108","15","4","29.10.12"
"180206","66","Житомирська область","клуб, танцювальна зала
вул.Корольова, 56, с.Гацьківка, Володарсько-Волинський р-н, Житомирська обл., 12111","144","48","143","12","84","12","96","","0","84","12","96","1","95","5","16","0","0","20","28","3","0","1","1","19","2","29.10.12"
"180207","66","Житомирська область","Будинок культури, танцювальна зала
вул.Щорса, 2, с.Небіж, Володарсько-Волинський р-н, Житомирська обл., 12130","324","108","323","8","208","8","216","","0","208","8","216","7","209","25","37","1","8","25","49","8","1","0","44","9","2","29.10.12"
"180208","66","Житомирська область","Будинок культури, танцювальна зала
вул.Леніна, 28, с.Поромівка, Володарсько-Волинський р-н, Житомирська обл., 12132","720","308","709","45","375","37","412","","0","375","37","412","3","409","23","53","2","12","32","106","16","3","0","130","31","1","29.10.12"
"180209","66","Житомирська область","сільська рада, обрядова зала
вул.Щорса, 2А, с.Радичі, Володарсько-Волинський р-н, Житомирська обл., 12115","336","127","330","15","195","14","209","","0","195","14","209","5","204","43","36","1","6","16","55","5","0","0","36","4","2","29.10.12"
"180210","66","Житомирська область","клуб, танцювальна зала
вул.Радянська, 6, с.Катеринівка, Володарсько-Волинський р-н, Житомирська обл., 12115","210","58","210","18","135","17","152","","0","135","17","152","3","149","44","9","1","3","12","36","1","1","2","30","10","0","29.10.12"
"180211","66","Житомирська область","клуб, актова зала
вул.Кутузова, 58, с.Рижани, Володарсько-Волинський р-н, Житомирська обл., 12122","1026","427","1017","82","530","69","599","","0","530","69","599","18","581","60","77","4","13","100","186","12","4","2","97","25","1","29.10.12"
"180212","66","Житомирська область","клуб, актова зала
вул.Кірова, 1, с.Волянщина, Володарсько-Волинський р-н, Житомирська обл., 12122","276","113","275","23","143","20","163","","0","143","20","163","7","156","8","28","3","3","15","49","4","3","0","33","10","0","29.10.12"
"180213","66","Житомирська область","клуб, актова зала
вул.Леніна, 21А, с.Знам’янка, Володарсько-Волинський р-н, Житомирська обл., 12122","402","156","398","28","219","27","246","","0","219","27","246","10","236","8","57","1","5","33","77","12","1","0","38","4","0","29.10.12"
"180214","66","Житомирська область","сільська рада, зала засідань
вул.Леніна, 1А, с.Сколобів, Володарсько-Волинський р-н, Житомирська обл., 12144","420","184","415","25","218","18","236","","0","218","18","236","9","227","16","45","0","2","26","29","15","2","0","80","0","12","29.10.12"
"180215","66","Житомирська область","сільська рада, актова зала
вул.Кірова, 5, с.Суховоля, Володарсько-Волинський р-н, Житомирська обл., 12121","360","140","354","12","209","11","220","","0","209","11","220","5","215","19","27","3","1","48","48","3","0","2","49","15","0","29.10.12"
"180216","66","Житомирська область","Будинок культури, танцювальна зала
вул.Леніна, 83А, с.Топорище, Володарсько-Волинський р-н, Житомирська обл., 12134","528","193","526","33","309","26","335","","0","309","26","335","23","312","40","51","1","11","35","81","7","3","1","60","22","0","28.10.12"
"180217","66","Житомирська область","клуб, танцювальна зала
вул.Рози Люксембург, 10А, с.Галинівка, Володарсько-Волинський р-н, Житомирська обл., 12134","210","83","206","10","118","9","127","","0","118","9","127","6","121","18","32","0","6","18","21","3","0","0","19","3","1","29.10.12"
"180218","66","Житомирська область","фельдшерський пункт, оглядовий кабінет
вул.Комінтерна, 9А, с.Комарівка, Володарсько-Волинський р-н, Житомирська обл., 12134","204","62","204","17","127","15","142","","0","127","15","142","2","140","14","16","0","8","29","42","8","0","0","14","9","0","29.10.12"
"180219","66","Житомирська область","клуб, танцювальна зала
вул.Леніна, 1, с-ще Червоногранітне, Володарсько-Волинський р-н, Житомирська обл., 12135","468","188","463","23","259","21","280","","0","259","21","280","12","268","26","36","1","14","28","79","16","2","1","44","21","0","29.10.12"
"180220","66","Житомирська область","клуб, танцювальна зала
вул.Богдана Хмельницького, 39Г, с.Фасова, Володарсько-Волинський р-н, Житомирська обл., 12131","330","160","324","12","160","10","170","","0","160","10","170","7","163","11","24","2","6","5","37","5","0","2","67","4","0","28.10.12"
"180221","66","Житомирська область","клуб, танцювальна зала
вул.Леніна, 68А, с.Кам’яний Брід, Володарсько-Волинський р-н, Житомирська обл., 12131","162","56","160","7","100","6","106","","0","100","6","106","2","104","2","15","3","3","17","14","1","1","0","41","4","3","29.10.12"
"180222","66","Житомирська область","клуб, танцювальна зала
вул.Молодіжна, 16А, с.Ягодинка, Володарсько-Волинський р-н, Житомирська обл., 12113","330","137","332","32","163","30","193","","0","163","30","193","7","186","9","22","0","7","38","63","7","0","0","31","5","4","29.10.12"
"180223","66","Житомирська область","клуб, танцювальна зала
вул.Леніна, 36, с.Старий Бобрик, Володарсько-Волинський р-н, Житомирська обл., 12114","300","114","297","15","174","12","186","","0","174","12","186","11","175","6","12","2","3","18","75","9","1","2","39","5","3","29.10.12"
"180224","66","Житомирська область","клуб, танцювальна зала
вул.Калініна, 54А, с.Турчинка, Володарсько-Волинський р-н, Житомирська обл., 12114","252","76","247","48","134","42","176","","0","134","42","176","5","171","8","21","1","5","8","67","6","0","0","47","6","2","29.10.12"
"180225","66","Житомирська область","центральна районна лікарня, актова зала
вул.Комсомольська, 3Б, смт Володарськ-Волинський, Володарсько-Волинський р-н, Житомирська обл., 12101","114","87","38","13","22","5","27","","0","22","5","27","0","27","1","3","0","0","8","7","2","0","0","6","0","0","29.10.12"
"180440","66","Житомирська область","будинок культури, вестибюль
вул.Червона Площа, 20, м.Коростишів, Коростишівський р-н, Житомирська обл., 12501","2208","948","2197","45","1219","41","1260","","0","1219","41","1260","36","1224","42","165","1","93","249","292","21","12","5","187","89","68","29.10.12"
"180441","66","Житомирська область","спортивний клуб ""Отаман"", спортивна зала
вул.Пролетарська, 16, м.Коростишів, Коростишівський р-н, Житомирська обл., 12501","1464","691","1451","27","752","21","773","","0","752","21","773","25","748","21","117","3","60","150","163","29","6","2","96","74","27","29.10.12"
"180442","66","Житомирська область","ВАТ ""Коростишівський кар’єр"", актова зала
вул.Червоних Партизан, 29, м.Коростишів, Коростишівський р-н, Житомирська обл., 12502","522","265","510","2","255","2","257","","0","255","2","257","12","245","7","28","1","33","34","57","13","3","4","39","21","5","29.10.12"
"180443","66","Житомирська область","ДП ""Коростишівський лісгосп"", актова зала
вул.Щорса, 29, м.Коростишів, Коростишівський р-н, Житомирська обл., 12502","558","258","567","8","292","8","300","","0","292","8","300","10","290","9","20","2","14","51","106","17","4","0","37","24","6","29.10.12"
"180444","66","Житомирська область","школа №1, вестибюль
вул.Шевченка, 37, м.Коростишів, Коростишівський р-н, Житомирська обл., 12501","2040","878","2045","35","1137","25","1162","","0","1137","25","1162","38","1124","23","118","4","84","265","209","33","7","4","204","125","48","29.10.12"
"180445","66","Житомирська область","школа №6, кл.2
вул.Пушкіна, 10, м.Коростишів, Коростишівський р-н, Житомирська обл., 12502","258","87","269","1","170","1","171","","0","170","1","171","8","163","4","4","0","7","22","93","3","0","0","19","2","9","29.10.12"
"180446","66","Житомирська область","стоматполіклініка, актова зала
вул.Карла Маркса, 55, м.Коростишів, Коростишівський р-н, Житомирська обл., 12501","2202","1033","2177","26","1148","21","1169","","0","1148","21","1169","23","1146","31","161","1","100","269","195","23","7","2","193","90","74","29.10.12"
"180447","66","Житомирська область","школа №9, фойє
вул.Мануільського, 14, м.Коростишів, Коростишівський р-н, Житомирська обл., 12504","2454","1077","2437","41","1340","37","1377","","0","1340","37","1377","40","1337","49","165","3","112","301","293","35","14","4","185","118","58","29.10.12"
"180448","66","Житомирська область","автопідприємство №0652, актова зала
вул.Шелушкова, 47, м.Коростишів, Коростишівський р-н, Житомирська обл., 12504","2058","1041","2048","34","993","24","1017","","0","993","24","1017","28","989","33","163","3","83","191","177","13","14","5","148","79","80","29.10.12"
"180449","66","Житомирська область","гімназія №5, вестибюль
вул.Свердлова, 33, м.Коростишів, Коростишівський р-н, Житомирська обл., 12504","1782","788","1767","38","966","28","994","","0","966","28","994","17","977","29","108","0","78","209","201","23","10","3","155","88","73","29.10.12"
"180450","66","Житомирська область","педколедж ім.І.Я.Франка, клуб
вул.Леніна, 29, м.Коростишів, Коростишівський р-н, Житомирська обл., 12501","2322","1104","2311","31","1191","27","1218","","0","1191","27","1218","31","1187","30","143","3","93","223","234","22","17","1","230","98","93","29.10.12"
"180451","66","Житомирська область","професійно-аграрний ліцей, актова зала
вул.Леніна, 118, м.Коростишів, Коростишівський р-н, Житомирська обл., 12505","2430","1231","2427","31","1179","20","1199","","0","1179","20","1199","22","1177","44","130","5","62","254","330","23","15","5","156","111","42","29.10.12"
"180452","66","Житомирська область","будинок культури, зала
вул.Леніна, 13А, с.Теснівка, Коростишівський р-н, Житомирська обл., 12505","240","92","241","16","134","14","148","","0","134","14","148","4","144","2","17","0","6","14","25","2","3","0","62","10","3","28.10.12"
"180453","66","Житомирська область","будинок культури, вестибюль
вул.Леніна, 60, с.Більківці, Коростишівський р-н, Житомирська обл., 12521","726","332","716","33","364","30","394","","0","364","30","394","15","379","15","78","3","17","52","103","14","7","4","63","13","10","29.10.12"
"180454","66","Житомирська область","клуб, актова зала
вул.Леніна, 27, с.Козак, Коростишівський р-н, Житомирська обл., 12531","96","26","99","1","69","1","70","","0","69","1","70","4","66","0","9","0","0","20","19","1","0","0","11","6","0","28.10.12"
"180455","66","Житомирська область","клуб, зала
вул.Леніна, 23, с.Віленька, Коростишівський р-н, Житомирська обл., 12516","138","34","139","24","84","20","104","","0","84","20","104","2","102","2","18","1","4","5","15","2","0","1","43","10","1","03.11.12"
"180456","66","Житомирська область","школа, спортивна зала
вул.Садова, 92, с.Вільнянка, Коростишівський р-н, Житомирська обл., 12536","192","67","189","23","105","20","125","","0","105","20","125","6","119","1","17","0","11","12","22","2","3","0","48","0","3","28.10.12"
"180457","66","Житомирська область","клуб, зала
вул.Леніна, 5, с.Вільня, Коростишівський р-н, Житомирська обл., 12536","228","70","226","25","138","20","158","","0","138","20","158","5","153","5","22","2","0","14","70","11","4","0","18","5","2","28.10.12"
"180458","66","Житомирська область","клуб, зала
вул.Матюшенко, 1А, с.Городське, Коростишівський р-н, Житомирська обл., 12523","414","208","411","13","196","10","206","","0","196","10","206","8","198","4","36","1","6","25","61","16","3","1","38","2","5","28.10.12"
"180459","66","Житомирська область","школа, їдальня
вул.Леніна, 2, с.Гуменники, Коростишівський р-н, Житомирська обл., 12520","378","137","370","55","191","50","241","","0","191","50","241","5","236","6","19","2","9","38","108","5","1","0","42","2","4","29.10.12"
"180460","66","Житомирська область","клуб, зала
вул.Міненка, 11, с.Здвижка, Коростишівський р-н, Житомирська обл., 12536","180","47","180","19","118","15","133","","0","118","15","133","5","128","5","23","1","8","10","36","2","1","1","37","2","2","29.10.12"
"180461","66","Житомирська область","будинок культури, фойє
вул.Зарічна, 6, с.Кам’яний Брід, Коростишівський р-н, Житомирська обл., 12511","582","200","573","61","326","56","382","","0","326","56","382","7","375","5","57","3","14","39","59","9","0","0","150","38","1","28.10.12"
"180462","66","Житомирська область","клуб, фойє
вул.Партизанська, 40А, с.Квітневе, Коростишівський р-н, Житомирська обл., 12530","282","124","277","9","150","8","158","","0","150","8","158","11","147","1","33","0","15","13","40","4","0","0","35","4","2","29.10.12"
"180463","66","Житомирська область","бібліотека, читальна зала
вул.Київська, 34Б, с.Царівка, Коростишівський р-н, Житомирська обл., 12530","144","52","147","12","83","9","92","","0","83","9","92","5","87","1","10","0","3","13","18","2","0","0","36","3","1","29.10.12"
"180464","66","Житомирська область","фельдшерсько-акушерський пункт, фойє
вул.Східна, 20А, с.Красилівка, Коростишівський р-н, Житомирська обл., 12530","72","21","74","11","40","11","51","","0","40","11","51","0","51","4","3","1","2","7","13","2","0","0","15","3","1","28.10.12"
"180465","66","Житомирська область","музей образотворчого мистецтва, зала засідань
вул.Леніна, 42, с.Кмитів, Коростишівський р-н, Житомирська обл., 12526","396","133","397","14","249","14","263","","0","249","14","263","9","254","7","64","0","19","18","50","8","2","2","75","5","4","29.10.12"
"180466","66","Житомирська область","школа, спортивна зала
вул.Шкільна, 3А, с.Великі Кошарища, Коростишівський р-н, Житомирська обл., 12526","480","185","479","28","276","19","295","","0","276","19","295","11","284","3","28","1","17","23","74","13","0","1","116","6","2","28.10.12"
"180467","66","Житомирська область","сільська рада, актова зала
вул.50-річччя Жовтня, 4, с.Козіївка, Коростишівський р-н, Житомирська обл., 12522","378","133","378","34","213","32","245","","0","213","32","245","7","238","4","26","2","7","31","79","2","0","0","73","8","6","29.10.12"
"180468","66","Житомирська область","навчально-виховний комплекс, їдальня
вул.Молодіжна, 1А, с.Кропивня, Коростишівський р-н, Житомирська обл., 12533","366","129","362","27","210","27","237","","0","210","27","237","9","228","13","25","0","9","51","53","8","1","1","49","11","7","29.10.12"
"180469","66","Житомирська область","клуб, зала
вул.Олега Кошового, 17А, с.Голубівка, Коростишівський р-н, Житомирська обл., 12533","114","39","113","3","72","3","75","","0","72","3","75","1","74","6","10","0","2","4","31","3","0","0","14","1","3","29.10.12"
"180470","66","Житомирська область","клуб, зала
вул.Шевченка, 21, с.Минійки, Коростишівський р-н, Житомирська обл., 12514","276","65","279","40","171","40","211","","0","171","40","211","0","211","5","29","0","5","60","49","3","3","0","53","4","0","28.10.12"
"180471","66","Житомирська область","клуб, фойє
вул.Митькіна, 25Б, с.Садове, Коростишівський р-н, Житомирська обл., 12513","330","81","329","28","221","28","249","","0","221","28","249","10","239","0","42","0","0","17","64","4","0","3","89","16","4","29.10.12"
"180472","66","Житомирська область","клуб, зала
вул.Миру, 2А, с.Травневе, Коростишівський р-н, Житомирська обл., 12513","156","54","159","8","98","4","102","","0","98","4","102","3","99","1","20","2","6","18","29","2","2","0","19","0","0","02.11.12"
