"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Грушевський
Віталій
Анатолійович","Дем’янчук
Вікторія
Олександрівна","Діденко
Олег
Валентинович","Колючий
Володимир
Данилович","Кропівка
Анатолій
Федосійович","Литвин
Юрій
Олексійович","Маральов
Юрій
Васильович","Ролінський
Володимир
Іванович","Супрун
Людмила
Павлівна","Сухін
Юрій
Михайлович","Чорноіваненко
Олександр
Анатолійович","Дата підписання протоколу"
"350065","101","Кіровоградська область","школа №3, фойє
вул.Шкільна, 11, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1458","691","1450","46","721","46","767","","0","721","46","767","20","747","247","33","99","2","0","31","2","1","95","78","159","29.10.12"
"350066","101","Кіровоградська область","комбінат комунальних послуг, каб.1А
вул.Запотоцького, 3, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1086","477","1090","40","577","32","609","","0","577","32","609","13","596","110","40","70","4","0","22","1","5","93","93","158","29.10.12"
"350067","101","Кіровоградська область","машинобудівний технікум, новий корпус, коридор
вул.Карла Маркса, 94, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1548","699","1557","36","817","32","849","","0","817","32","849","35","814","128","58","112","2","6","36","0","9","114","156","193","29.10.12"
"350068","101","Кіровоградська область","молодіжний клуб ""Оріон"", зал
вул.Леніна, 37, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","2460","1168","2404","58","1249","43","1292","","0","1249","43","1292","21","1271","197","115","148","2","4","34","7","4","142","301","317","29.10.12"
"350069","101","Кіровоградська область","професійний аграрний ліцей, їдальня
вул.Чапаєва, 14, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1728","795","1707","27","909","24","933","","0","909","24","933","30","903","114","78","134","3","4","35","3","3","67","216","246","29.10.12"
"350070","101","Кіровоградська область","районний будинок культури, фойє
вул.Кірова, 17, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","2148","1015","2139","30","1107","26","1133","","0","1107","26","1133","28","1105","145","45","131","10","4","58","2","5","110","300","295","29.10.12"
"350071","101","Кіровоградська область","школа №1, хол
вул.Куйбишева, 74, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1962","914","1934","46","1014","34","1048","","0","1014","34","1048","28","1020","161","60","118","9","4","34","6","10","82","209","327","29.10.12"
"350072","101","Кіровоградська область","школа, каб.1Б
вул.40 років Перемоги, 8, смт Завалля, Гайворонський р-н, Кіровоградська обл., 26334","1662","736","1636","37","891","35","926","","0","891","35","926","27","899","345","64","128","4","6","33","15","0","70","47","187","29.10.12"
"350073","101","Кіровоградська область","управління ПАТ ЗКГ, каб.2
вул.Жовтнева, 14, смт Завалля, Гайворонський р-н, Кіровоградська обл., 26334","1536","752","1512","29","756","28","784","","0","756","28","784","21","763","233","32","115","2","2","31","7","4","66","49","222","29.10.12"
"350074","101","Кіровоградська область","будинок культури, зала
вул.Леніна, 14, смт Завалля, Гайворонський р-н, Кіровоградська обл., 26334","504","145","534","34","328","31","359","","0","328","31","359","15","344","150","12","40","3","3","16","9","0","21","21","69","29.10.12"
"350075","101","Кіровоградська область","будинок культури, мала зала
вул.Заводська, 2, смт Салькове, Гайворонський р-н, Кіровоградська обл., 26332","1296","467","1291","95","734","95","829","","0","734","95","829","26","803","319","70","43","6","2","33","4","1","78","63","184","29.10.12"
"350076","101","Кіровоградська область","будинок культури, вестибюль
вул.Леніна, 147, с.Бандурове, Гайворонський р-н, Кіровоградська обл., 26325","1290","513","1269","146","648","129","777","","0","648","129","777","35","742","276","28","63","4","3","48","4","2","73","120","121","29.10.12"
"350077","101","Кіровоградська область","сільська рада, каб.2
вул.Леніна, 30, с.Берестяги, Гайворонський р-н, Кіровоградська обл., 26311","342","123","339","17","204","15","219","","0","204","15","219","11","208","79","14","18","1","0","15","0","1","22","15","43","29.10.12"
"350078","101","Кіровоградська область","сільська рада, каб.2
вул.Леніна, 6, с.Вікнина, Гайворонський р-н, Кіровоградська обл., 26310","582","194","576","55","333","55","388","","0","333","55","388","13","375","112","23","21","4","0","25","0","1","54","36","99","28.10.12"
"350079","101","Кіровоградська область","будинок культури, урочистий зал
вул.Зімоліна, 9, с.Долинівка, Гайворонський р-н, Кіровоградська обл., 26313","732","242","717","83","409","81","490","","0","409","81","490","16","474","177","16","27","0","1","20","1","3","53","80","96","10.11.12"
"350080","101","Кіровоградська область","будинок культури, зала
вул.Радгоспна, 6, с.Жакчик, Гайворонський р-н, Кіровоградська обл., 26334","252","81","245","12","160","11","171","","0","160","11","171","4","167","39","10","16","1","2","10","0","1","50","8","30","28.10.12"
"350081","101","Кіровоградська область","школа, спортивний зал
вул.Шкільна, 18, с.Казавчин, Гайворонський р-н, Кіровоградська обл., 26322","744","270","724","58","416","58","474","","0","416","58","474","18","456","129","12","31","1","3","41","12","2","107","43","75","29.10.12"
"350082","101","Кіровоградська область","сільська бібліотека, читальний зал
вул.Горького, 61, с.Бугове, Гайворонський р-н, Кіровоградська обл., 26328","258","98","252","17","143","17","160","","0","143","17","160","5","155","23","11","9","0","0","5","1","0","7","68","31","29.10.12"
"350083","101","Кіровоградська область","будинок культури, зала
вул.Котовського, 70, с.Котовка, Гайворонський р-н, Кіровоградська обл., 26324","492","155","488","52","286","51","337","","0","286","51","337","14","323","116","12","29","0","1","13","1","3","42","44","62","28.10.12"
"350084","101","Кіровоградська область","будинок культури, каб.2
вул.Леніна, 95, с.Могильне, Гайворонський р-н, Кіровоградська обл., 26333","642","246","641","49","348","48","396","","0","348","48","396","9","387","98","14","28","2","0","41","0","1","97","37","69","29.10.12"
"350085","101","Кіровоградська область","клуб ПОСП ""Славутич"", каб.2
вул.Щорса, 48, с.Могильне, Гайворонський р-н, Кіровоградська обл., 26333","930","334","916","64","539","57","596","","0","539","57","596","17","579","200","27","20","4","4","24","2","1","81","57","159","29.10.12"
"350086","101","Кіровоградська область","будинок культури, фойє
вул.Карла Маркса, 22, с.Мощене, Гайворонський р-н, Кіровоградська обл., 26314","498","126","490","32","340","32","372","","0","340","32","372","18","354","133","14","10","1","1","16","1","0","71","49","58","28.10.12"
"350087","101","Кіровоградська область","сільська рада, каб.5
вул.Центральна, 7, с.Солгутове, Гайворонський р-н, Кіровоградська обл., 26320","1086","397","1077","53","641","48","689","","0","641","48","689","20","669","184","31","77","4","2","38","4","1","58","96","174","29.10.12"
"350088","101","Кіровоградська область","сільська рада, каб.3
вул.Чапаєва, 23-А, с.Соломія, Гайворонський р-н, Кіровоградська обл., 26321","342","121","340","19","202","19","221","","0","202","19","221","7","214","80","12","8","1","0","20","1","0","17","29","46","28.10.12"
"350089","101","Кіровоградська область","адміністративне приміщення, контора, 2-й поверх, каб.11
вул.8-го Березня, 1, с.Таужне, Гайворонський р-н, Кіровоградська обл., 26330","1362","529","1346","141","702","131","833","","0","702","131","833","17","816","286","32","60","5","4","48","7","3","95","103","173","29.10.12"
"350090","101","Кіровоградська область","будинок культури, фойє
вул.Комуністична, 22, с.Тополі, Гайворонський р-н, Кіровоградська обл., 26315","366","119","357","31","216","31","247","","0","216","31","247","10","237","84","8","16","2","4","23","2","1","7","29","61","29.10.12"
"350091","101","Кіровоградська область","будинок культури, урочиста зала
вул.Леніна, 48, с.Хащувате, Гайворонський р-н, Кіровоградська обл., 26331","1632","643","1617","70","927","62","989","","0","927","62","989","41","948","185","40","112","3","3","78","9","8","128","170","212","29.10.12"
"350092","101","Кіровоградська область","будинок культури, фойє
вул.Ценральна, 3, с.Чемерпіль, Гайворонський р-н, Кіровоградська обл., 26335","660","171","648","38","454","35","489","","0","454","35","489","11","478","191","10","19","1","2","31","6","0","118","16","84","29.10.12"
"350093","101","Кіровоградська область","будинок культури, зала
вул.Леніна, 36, с.Березівка, Гайворонський р-н, Кіровоградська обл., 26335","222","104","219","17","105","13","118","","0","105","13","118","4","114","36","5","11","1","0","2","1","0","26","5","27","10.11.12"
"350094","101","Кіровоградська область","школа, каб.7
вул.Центральна, 9, с.Червоне, Гайворонський р-н, Кіровоградська обл., 26312","786","286","769","45","457","43","500","","0","457","43","500","18","482","95","17","50","1","2","35","6","3","121","45","107","28.10.12"
"350095","101","Кіровоградська область","СТК ОСО Україна, вестибюль ""ДОСААФ""
вул.Леніна, 88А, смт Голованівськ, Голованівський р-н, Кіровоградська обл., 26500","1464","589","1438","46","829","46","875","","0","829","46","875","28","847","230","25","198","2","7","43","3","4","117","48","170","29.10.12"
"350096","101","Кіровоградська область","районний будинок культури, фойє
вул.Суворова, 6, смт Голованівськ, Голованівський р-н, Кіровоградська обл., 26500","1848","708","1851","74","1072","68","1140","","0","1072","68","1140","27","1113","344","20","197","5","5","83","6","6","132","53","262","29.10.12"
"350097","101","Кіровоградська область","ВАТ ""Агропостач"", магазин, торговий зал
вул.Пушкіна, 7А, смт Голованівськ, Голованівський р-н, Кіровоградська обл., 26500","1392","492","1385","25","875","25","900","","0","875","25","900","35","865","213","42","142","4","7","48","3","4","122","38","242","29.10.12"
"350098","101","Кіровоградська область","школа, вестибюль
вул.Радянська, 50, с-ще Голованівськ, Голованівський р-н, Кіровоградська обл., 26508","534","133","533","15","386","15","401","","0","386","15","401","10","391","117","7","40","0","1","44","0","2","103","8","69","28.10.12"
"350099","101","Кіровоградська область","будинок культури, ""Музична вітальня""
вул.Театральна, 4, смт Побузьке, Голованівський р-н, Кіровоградська обл., 26555","2322","1101","2300","37","1187","34","1221","","0","1187","34","1221","31","1190","452","155","146","4","8","60","6","7","125","13","214","29.10.12"
"350100","101","Кіровоградська область","будинок культури, фойє
вул.Театральна, 4, смт Побузьке, Голованівський р-н, Кіровоградська обл., 26555","2328","1064","2298","42","1232","32","1264","","0","1232","32","1264","19","1245","567","152","141","5","2","59","6","8","126","6","173","29.10.12"
"350101","101","Кіровоградська область","сільський будинок культури, актова зала
вул.Івана Франка, 34, с.Вербове, Голованівський р-н, Кіровоградська обл., 26509","366","103","353","28","236","27","263","","0","236","27","263","8","255","84","5","15","0","0","10","1","1","95","3","41","28.10.12"
"350102","101","Кіровоградська область","сільський будинок культури, зал
вул.Миру, 12А, с.Грузьке, Голованівський р-н, Кіровоградська обл., 26526","690","107","683","45","538","45","583","","0","538","45","583","5","578","430","0","0","0","0","10","18","30","40","15","35","28.10.12"
"350103","101","Кіровоградська область","сільський будинок культури, глядацька зала
вул.Леніна, 30, с.Ємилівка, Голованівський р-н, Кіровоградська обл., 26532","450","145","454","31","274","31","305","","0","274","31","305","5","300","141","13","22","2","0","15","0","0","68","5","34","28.10.12"
"350104","101","Кіровоградська область","навчально-виховний комплекс, спортивний зал
вул.Енгельса, 1, с-ще Ємилівка, Голованівський р-н, Кіровоградська обл., 26533","402","104","406","29","271","27","298","","0","271","27","298","5","293","102","13","32","0","2","28","10","1","30","5","70","29.10.12"
"350105","101","Кіровоградська область","сільський будинок культури, актова зала
вул.Зарічна, 7А, с.Журавлинка, Голованівський р-н, Кіровоградська обл., 26531","414","126","429","25","265","23","288","","0","265","23","288","7","281","117","17","12","0","1","17","0","1","79","3","34","29.10.12"
"350106","101","Кіровоградська область","сільський будинок культури, актова зала
вул.Леніна, 100, с.Капітанка, Голованівський р-н, Кіровоградська обл., 26554","954","429","956","30","504","21","525","","0","504","21","525","13","512","172","42","60","6","3","57","2","4","65","6","95","28.10.12"
"350107","101","Кіровоградська область","сільський будинок культури, актова зала
вул.Терешкової, 29, с.Клинове, Голованівський р-н, Кіровоградська обл., 26525","588","96","605","15","478","14","492","","0","478","14","492","12","480","213","6","16","1","0","22","0","4","184","0","34","08.11.12"
"350108","101","Кіровоградська область","сільський будинок культури, актова зала
вул.Тельмана, 51, с.Красногірка, Голованівський р-н, Кіровоградська обл., 26540","528","170","524","47","314","44","358","","0","314","44","358","12","346","121","20","38","2","1","35","1","0","69","22","37","28.10.12"
"350109","101","Кіровоградська область","сільський будинок культури, актова зала
вул.Леніна, 3, с.Крутеньке, Голованівський р-н, Кіровоградська обл., 26520","492","115","479","50","327","50","377","","0","327","50","377","13","364","148","7","22","1","1","41","0","2","96","3","43","28.10.12"
"350110","101","Кіровоградська область","сільська рада, актова зала
вул.Шкільна, 1, с.Лебединка, Голованівський р-н, Кіровоградська обл., 26524","432","126","426","53","253","53","306","","0","253","53","306","13","293","141","2","12","0","2","17","1","1","66","8","43","28.10.12"
"350111","101","Кіровоградська область","сільська рада, актова зала
вул.Шубіна, 1, с.Липовеньке, Голованівський р-н, Кіровоградська обл., 26552","432","125","449","40","267","40","307","","0","267","40","307","2","305","124","9","17","0","3","38","2","1","59","3","49","29.10.12"
"350112","101","Кіровоградська область","школа, актова зала
вул.Центральна, 4, с.Люшнювате, Голованівський р-н, Кіровоградська обл., 26544","366","113","367","29","224","29","253","","0","224","29","253","5","248","152","4","17","1","0","26","0","1","25","3","19","28.10.12"
"350113","101","Кіровоградська область","сільська рада, актова зала
вул.К.Маркса, 22, с.Межирічка, Голованівський р-н, Кіровоградська обл., 26510","876","348","868","23","509","19","528","","0","509","19","528","4","524","296","6","38","2","2","24","2","1","56","7","90","29.10.12"
"350114","101","Кіровоградська область","сільський клуб, актова зала
вул.Леніна, 2, с.Краснопілля, Голованівський р-н, Кіровоградська обл., 26511","156","43","150","6","108","5","113","","0","108","5","113","2","111","49","2","6","0","0","8","0","0","22","4","20","29.10.12"
"350115","101","Кіровоградська область","сільський будинок культури, глядацька зала
вул.Суворова, 65, с.Молдовка, Голованівський р-н, Кіровоградська обл., 26543","456","129","460","35","298","29","327","","0","298","29","327","5","322","80","9","46","3","4","43","1","1","67","8","60","28.10.12"
"350116","101","Кіровоградська область","контора АФ ""Хлібороб"" ТОВ, актова зала
вул.Центральна, 3, с.Наливайка, Голованівський р-н, Кіровоградська обл., 26512","438","143","429","16","279","16","295","","0","279","16","295","0","295","147","10","17","1","1","19","0","0","71","3","26","28.10.12"
"350117","101","Кіровоградська область","магазин, к.1
вул.Кошового, 24, с.Перегонівка, Голованівський р-н, Кіровоградська обл., 26522","858","349","873","21","488","21","509","","0","488","21","509","17","492","140","18","44","3","3","48","0","3","113","9","111","28.10.12"
"350118","101","Кіровоградська область","сільський будинок культури, фойє
вул.Енгельса, 11, с.Перегонівка, Голованівський р-н, Кіровоградська обл., 26522","1542","667","1534","95","782","93","875","","0","782","93","875","21","854","271","30","88","1","6","42","0","15","185","3","213","28.10.12"
"350119","101","Кіровоградська область","школа, їдальня
вул.Шевченка, 25, с.Полонисте, Голованівський р-н, Кіровоградська обл., 26523","228","69","222","10","149","10","159","","0","149","10","159","5","154","77","3","5","0","3","22","1","10","14","3","16","29.10.12"
"350120","101","Кіровоградська область","сільський клуб, фойє
вул.Польова, 3, с.Давидівка, Голованівський р-н, Кіровоградська обл., 26523","138","35","137","14","90","13","103","","0","90","13","103","5","98","58","1","6","0","2","9","0","1","10","1","10","28.10.12"
"350121","101","Кіровоградська область","дошкільний навчальний заклад, актова зала
вул.Данилюка, 26, с.Пушкове, Голованівський р-н, Кіровоградська обл., 26553","336","105","331","15","217","14","231","","0","217","14","231","3","228","135","5","12","0","1","13","0","0","23","3","36","28.10.12"
"350122","101","Кіровоградська область","сільський клуб, глядацька зала
вул.Леніна, 44, с.Новосілка, Голованівський р-н, Кіровоградська обл., 26551","408","86","411","43","279","43","322","","0","279","43","322","2","320","175","27","10","1","2","24","0","3","42","2","34","29.10.12"
"350123","101","Кіровоградська область","навчально-виховний комплекс, актова зала
вул.Садова, 31, с.Розкішне, Голованівський р-н, Кіровоградська обл., 26550","186","38","185","21","130","18","148","","0","130","18","148","6","142","79","9","7","0","2","5","0","0","19","2","19","08.11.12"
"350124","101","Кіровоградська область","сільський клуб, фойє
вул.Каньовського, 34, с.Маринопіль, Голованівський р-н, Кіровоградська обл., 26551","120","30","119","18","73","17","90","","0","73","17","90","6","84","39","9","2","1","1","12","0","1","5","0","14","29.10.12"
"350125","101","Кіровоградська область","сільський клуб, актова зала
вул.Одеська, 1, с.Роздол, Голованівський р-н, Кіровоградська обл., 26541","312","99","305","15","199","14","213","","0","199","14","213","8","205","90","6","17","0","1","25","1","3","29","5","28","28.10.12"
"350126","101","Кіровоградська область","сільський будинок культури, березова зала
вул.Перемоги, 25, с.Свірневе, Голованівський р-н, Кіровоградська обл., 26542","612","273","602","14","325","14","339","","0","325","14","339","14","325","95","5","43","2","0","22","2","0","128","7","21","28.10.12"
"350127","101","Кіровоградська область","школа, вестибюль
вул.Шкільна, 3, с.Семидуби, Голованівський р-н, Кіровоградська обл., 26521","282","77","280","25","185","20","205","","0","185","20","205","4","201","114","3","9","0","0","11","0","0","46","2","16","28.10.12"
"350128","101","Кіровоградська область","сільська рада, зал засідань
вул.Центральна, 25, с.Троянка, Голованівський р-н, Кіровоградська обл., 26530","546","200","539","38","312","34","346","","0","312","34","346","6","340","203","7","18","0","1","28","0","1","43","6","33","28.10.12"
"350129","101","Кіровоградська область","школа, спортивна зала
вул.Леніна, 1А, с.Шепилове, Голованівський р-н, Кіровоградська обл., 26534","534","186","526","15","333","15","348","","0","333","15","348","6","342","124","6","31","2","1","25","0","0","80","9","64","28.10.12"
"350322","101","Кіровоградська область","ветеринарна лікарня, актова зала
вул.Горького, 30, м.Мала Виска, Маловисківський р-н, Кіровоградська обл., 26200","1620","817","1593","31","773","30","803","","0","773","30","803","32","771","261","44","62","2","1","19","5","3","150","45","179","28.10.12"
"350323","101","Кіровоградська область","школа №3, вестибюль
вул.20 років Жовтня, 3, м.Мала Виска, Маловисківський р-н, Кіровоградська обл., 26200","2118","1014","2028","104","1048","56","1104","","0","1048","56","1104","28","1076","364","76","120","5","6","33","10","3","163","67","229","08.11.12"
"350324","101","Кіровоградська область","районний будинок культури, танцювальна зала
вул.Жовтнева, 63, м.Мала Виска, Маловисківський р-н, Кіровоградська обл., 26200","1728","804","1708","41","900","24","924","","0","900","24","924","27","897","237","79","92","4","8","14","10","4","166","54","229","29.10.12"
"350325","101","Кіровоградська область","професійно-технічне училище №16, вестибюль
вул.Шевченка, 56/1, м.Мала Виска, Маловисківський р-н, Кіровоградська обл., 26200","960","474","950","8","480","6","486","","0","480","6","486","12","474","148","21","56","0","1","21","1","0","82","19","125","29.10.12"
"350326","101","Кіровоградська область","районний агротехсервіс, актова зала
пров.Авіаційний, 1Б, м.Мала Виска, Маловисківський р-н, Кіровоградська обл., 26200","1368","754","1363","21","594","20","614","","0","594","20","614","20","594","186","42","60","4","3","16","2","1","119","26","135","29.10.12"
"350327","101","Кіровоградська область","школа №4, коридор, 1-й поверх
вул.40 років Жовтня, 17, м.Мала Виска, Маловисківський р-н, Кіровоградська обл., 26200","1530","845","1515","24","667","18","685","","0","667","18","685","20","665","216","44","57","0","2","29","2","0","112","47","156","28.10.12"
"350328","101","Кіровоградська область","дитячий садок ""Ластівка"", ігрова кімната
вул.Садова, 3, с-ще Комсомольське, Маловисківський р-н, Кіровоградська обл., 26200","132","65","124","0","67","0","67","","0","67","0","67","3","64","10","1","7","1","0","4","0","0","26","0","15","28.10.12"
"350329","101","Кіровоградська область","школа, вестибюль
пров.Мічуріна, 9, с.Краснопілка, Маловисківський р-н, Кіровоградська обл., 26205","276","121","275","13","142","13","155","","0","142","13","155","2","153","43","8","10","3","0","20","1","0","26","3","39","28.10.12"
"350330","101","Кіровоградська область","селищний клуб, глядацька зала
вул.50 років Жовтня, 23/24, с-ще Улянівка, Маловисківський р-н, Кіровоградська обл., 26200","210","85","210","0","125","0","125","","0","125","0","125","3","122","50","9","3","0","2","16","0","2","9","3","28","28.10.12"
"350331","101","Кіровоградська область","управління геолого-розвідувальної експедиції №47, кімната бухгалтерії
вул.Геологів, 79, смт Смоліне, Маловисківський р-н, Кіровоградська обл., 26223","822","381","812","10","432","9","441","","0","432","9","441","8","433","190","38","40","4","1","17","0","2","52","23","66","29.10.12"
"350332","101","Кіровоградська область","школа №1, їдальня
вул.Будівельників, 1, смт Смоліне, Маловисківський р-н, Кіровоградська обл., 26223","744","322","760","19","406","16","422","","0","406","16","422","11","411","177","16","43","8","1","7","4","3","77","13","62","29.10.12"
"350333","101","Кіровоградська область","дитячо-юнацький центр, вестибюль
вул.Казакова, 33, смт Смоліне, Маловисківський р-н, Кіровоградська обл., 26223","2100","1067","2070","7","1026","7","1033","","0","1026","7","1033","12","1021","518","34","79","8","6","33","10","4","90","54","185","29.10.12"
"350334","101","Кіровоградська область","гуртожиток шахти, актова зала
вул.Казакова, 10, смт Смоліне, Маловисківський р-н, Кіровоградська обл., 26223","1902","954","1877","17","937","11","948","","0","937","11","948","32","916","472","40","72","1","6","20","8","8","68","52","169","29.10.12"
"350335","101","Кіровоградська область","будинок культури, актова зала
вул.Ватутіна, будинок культури, с.Березівка, Маловисківський р-н, Кіровоградська обл., 26222","774","358","767","64","359","57","416","","0","359","57","416","12","404","131","29","37","1","8","19","2","3","80","13","81","29.10.12"
"350336","101","Кіровоградська область","будинок культури, танцювальна зала
вул.Леніна, 84, с.Велика Виска, Маловисківський р-н, Кіровоградська обл., 26241","1698","764","1675","88","857","77","934","","0","857","77","934","26","908","410","57","92","5","5","101","1","4","63","23","147","29.10.12"
