"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрющенко
Богдан
Вікторович","Березкін
Станіслав
Семенович","Гранатова
Ольга
Арсентіївна","Гук
Вадим
Ігорович","Дорохіна
Людмила
Володимирівна","Іванченко
Павло
Петрович","Манженко
Євгеній
Іванович","Подорожний
Сергій
Михайлович","Порубай
Валерій
Юрійович","Секрет
Зоя
Федорівна","Сіненко
Ігор
Михайлович","Дата підписання протоколу"
"350461","100","Кіровоградська область","палац культури ""Ювілейний"", вестибюль, 1-й поверх
вул.Леніна, 55, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","1842","907","1833","39","905","30","935","","0","905","30","935","36","899","28","308","326","10","13","1","104","8","9","81","11","29.10.12"
"350462","100","Кіровоградська область","школа №6, спортзал, 1-й поверх
вул.Леніна, 75, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","1656","775","1647","33","850","31","881","","0","850","31","881","40","841","35","321","304","11","14","3","72","15","6","55","5","29.10.12"
"350463","100","Кіровоградська область","будинок культури №3, вестибюль, 1-й поверх
вул.Метелькова, 28, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","1260","584","1248","30","648","28","676","","0","648","28","676","40","636","21","220","211","12","14","2","76","9","5","54","12","28.10.12"
"350464","100","Кіровоградська область","міжшкільний навчально-виробничий комбінат, вестибюль
вул.К.Маркса, 56, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","1428","706","1410","46","679","43","722","","0","679","43","722","24","698","23","232","266","6","11","4","76","11","6","57","6","28.10.12"
"350465","100","Кіровоградська область","ВАТ ""Кіровоградгаз"" Новоукраїнська дільниця, актова зала
вул.Колгоспна, 2, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","912","456","909","29","427","29","456","","0","427","29","456","17","439","9","195","145","1","9","0","33","15","3","26","3","28.10.12"
"350466","100","Кіровоградська область","школа №8, спортзал, 1-й поверх
вул.К.Маркса, 14, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","2262","1399","2251","32","839","24","863","","0","839","24","863","42","821","22","262","307","14","23","5","90","21","5","57","15","29.10.12"
"350467","100","Кіровоградська область","школа №4, вестибюль, 1-й поверх
вул.Толстого, 7А, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","1566","753","1558","25","793","20","813","","0","793","20","813","31","782","14","238","327","6","11","4","102","16","1","56","7","29.10.12"
"350468","100","Кіровоградська область","школа, вестибюль, 1-й поверх
вул.Сільськогосподарська, 4, с.Звірівка, Новоукраїнський р-н, Кіровоградська обл., 27100","756","373","746","16","370","13","383","","0","370","13","383","20","363","18","140","103","1","6","1","23","34","2","31","4","28.10.12"
"350469","100","Кіровоградська область","будинок культури, вестибюль
вул.Центральна, 6, с.Ганнівка, Новоукраїнський р-н, Кіровоградська обл., 27165","450","205","446","20","229","16","245","","0","229","16","245","15","230","60","52","51","10","4","3","8","9","1","29","3","29.10.12"
"350470","100","Кіровоградська область","будинок культури, танцювальна зала
вул.Калініна, 44, с.Глодоси, Новоукраїнський р-н, Кіровоградська обл., 27110","768","359","760","79","335","74","409","","0","335","74","409","21","388","33","103","144","3","14","4","29","9","4","41","4","29.10.12"
"350471","100","Кіровоградська область","сільський клуб №2, фойє
вул.Мічуріна, 33, с.Глодоси, Новоукраїнський р-н, Кіровоградська обл., 27110","870","449","862","65","364","57","421","","0","364","57","421","18","403","19","106","172","3","7","1","19","11","7","44","14","29.10.12"
"350472","100","Кіровоградська область","сільський клуб, актова зала
вул.Ольшанського, 72А, с.Вербівка, Новоукраїнський р-н, Кіровоградська обл., 27117","336","113","340","68","161","62","223","","0","161","62","223","10","213","6","74","79","1","3","2","15","7","2","22","2","29.10.12"
"350473","100","Кіровоградська область","сільський клуб, фойє
вул.Центральна, 69, с.Григорівка, Новоукраїнський р-н, Кіровоградська обл., 27166","390","148","385","29","215","27","242","","0","215","27","242","12","230","39","71","63","1","5","5","21","6","4","10","5","29.10.12"
"350474","100","Кіровоградська область","будинок культури, фойє
вул.Алексєєва, 27, с.Димине, Новоукраїнський р-н, Кіровоградська обл., 27131","480","211","474","33","240","29","269","","0","240","29","269","12","257","14","103","62","1","10","4","17","8","9","25","4","31.10.12"
"350475","100","Кіровоградська область","будинок культури, фойє
вул.Клубна, 21, с.Захарівка, Новоукраїнський р-н, Кіровоградська обл., 27132","576","284","563","26","269","23","292","","0","269","23","292","16","276","13","103","90","6","4","3","16","6","1","32","2","29.10.12"
"350476","100","Кіровоградська область","будинок культури, фойє, 1-й поверх
вул.Центральна, 57, с.Іванівка, Новоукраїнський р-н, Кіровоградська обл., 27130","858","430","848","54","381","47","428","","0","381","47","428","21","407","13","200","96","3","6","3","31","8","1","42","4","29.10.12"
"350477","100","Кіровоградська область","сільський клуб, фойє
вул.Центральна, 38, с.Квітка, Новоукраїнський р-н, Кіровоградська обл., 27130","378","219","371","37","130","29","159","","0","130","29","159","13","146","8","69","47","1","3","1","9","1","1","4","2","28.10.12"
"350478","100","Кіровоградська область","будинок культури, фойє
пров.Шкільний, 2, с.Комишувате, Новоукраїнський р-н, Кіровоградська обл., 27152","906","457","904","57","398","51","449","","0","398","51","449","20","429","13","212","109","5","11","1","29","12","3","30","4","29.10.12"
"350479","100","Кіровоградська область","сільський клуб, гримерна кімната
вул.Інтернаціональна, 1, с.Кропивницьке, Новоукраїнський р-н, Кіровоградська обл., 27153","294","82","289","35","180","32","212","","0","180","32","212","5","207","8","79","65","5","6","2","5","6","1","28","2","28.10.12"
"350480","100","Кіровоградська область","будинок культури, кабінет музики
вул.Українська, 38, с.Кропивницьке, Новоукраїнський р-н, Кіровоградська обл., 27154","432","186","424","39","216","30","246","","0","216","30","246","11","235","9","91","70","5","2","2","19","9","4","22","2","29.10.12"
"350481","100","Кіровоградська область","сільська рада, к.3
вул.Шевченка, 78, с.Козакова Балка, Новоукраїнський р-н, Кіровоградська обл., 27116","276","96","272","29","152","28","180","","0","152","28","180","10","170","6","86","43","1","3","0","9","2","0","18","2","29.10.12"
"350482","100","Кіровоградська область","будинок культури, актова зала, 1-й поверх
вул.Жовтневої революції, 29, с.Мала Помічна, Новоукраїнський р-н, Кіровоградська обл., 27141","516","234","510","72","218","64","282","","0","218","64","282","11","271","8","139","52","0","12","3","22","6","4","21","4","29.10.12"
"350483","100","Кіровоградська область","сільський клуб, актова зала
вул.Лісова, 3, с.Мала Тимошівка, Новоукраїнський р-н, Кіровоградська обл., 27142","534","273","541","35","234","27","261","","0","234","27","261","9","252","17","109","57","3","8","6","15","2","6","25","4","29.10.12"
"350484","100","Кіровоградська область","сільський клуб, актова зала
вул.Центральна, 54, с.Мар’янопіль, Новоукраїнський р-н, Кіровоградська обл., 27123","420","160","416","43","221","39","260","","0","221","39","260","10","250","14","108","73","3","4","4","7","2","0","30","5","04.11.12"
"350485","100","Кіровоградська область","будинок культури, актова зала, 1-й поверх
вул.Леніна, 12, с.Новоєгорівка, Новоукраїнський р-н, Кіровоградська обл., 27150","426","161","423","26","245","20","265","","0","245","20","265","15","250","5","145","46","2","10","1","11","10","3","14","3","28.10.12"
"350486","100","Кіровоградська область","сільський клуб, актова зала
вул.Лесі Українки, 18, с.Веселий Кут, Новоукраїнський р-н, Кіровоградська обл., 27151","270","106","267","74","129","35","164","","0","129","35","164","4","160","8","91","28","3","3","2","5","6","1","11","2","29.10.12"
"350487","100","Кіровоградська область","будинок культури, зала хореографії
вул.Кірова, 18, с.Новомиколаївка, Новоукраїнський р-н, Кіровоградська обл., 27120","486","139","485","40","317","30","347","","0","317","30","347","18","329","13","139","66","3","9","4","11","4","5","71","4","29.10.12"
"350488","100","Кіровоградська область","сільський клуб, фойє, 1-й поверх
вул.Перемоги, 2А, с.Петрівка, Новоукраїнський р-н, Кіровоградська обл., 27121","294","150","289","33","118","26","144","","0","114","26","140","3","137","2","62","30","3","5","1","9","3","0","21","1","31.10.12"
"350489","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Центральна, 18, с.Войнівка, Новоукраїнський р-н, Кіровоградська обл., 27121","162","56","157","19","97","9","106","","0","97","9","106","3","103","3","47","15","3","1","2","3","2","1","24","2","29.10.12"
"350490","100","Кіровоградська область","будинок культури, фойє
вул.Гагаріна, 111, с.Помічна, Новоукраїнський р-н, Кіровоградська обл., 27140","864","388","862","96","390","86","476","","0","390","86","476","20","456","13","181","123","5","10","2","40","10","6","58","8","29.10.12"
"350491","100","Кіровоградська область","школа, спортзал
вул.Маршала Конєва, 1, с.Приют, Новоукраїнський р-н, Кіровоградська обл., 27134","702","267","701","57","386","49","435","","0","386","49","435","16","419","10","156","155","8","10","3","30","13","4","25","5","29.10.12"
"350492","100","Кіровоградська область","школа №5, фойє, 1-й поверх
вул.Щорса, 23, с.Рівне, Новоукраїнський р-н, Кіровоградська обл., 27160","1104","519","1092","38","549","36","585","","0","549","36","585","37","548","31","123","201","5","8","9","45","9","9","106","2","29.10.12"
"350493","100","Кіровоградська область","будинок культури, фойє
вул.Кірова, 125, с.Рівне, Новоукраїнський р-н, Кіровоградська обл., 27160","1416","715","1401","71","642","59","701","","0","642","59","701","22","679","38","212","229","4","16","14","62","10","4","83","7","29.10.12"
