"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безпятий
Анатолій
Олексійович","Бойко
Ярослав
Вікторович","Глазунов
Сергій
Миколайович","Далія
Сергій
Олександрович","Костромський
Максим
Васильович","Свергун
Олександр
Григорович","Чорний
Дмитро
Сергійович","Дата підписання протоколу"
"120082","34","Дніпропетровська область","школа, кабінет рідної мови
вул.Г.Прокоф’євої, 2, с.Правобережне, Верхньодніпровський р-н, Дніпропетровська обл., 51613","360","129","355","31","202","29","231","","0","202","29","231","5","226","14","15","90","9","93","2","3","28.10.12"
"120083","34","Дніпропетровська область","сільська рада, зала засідань
вул.Центральна, 8, с.Бородаївка, Верхньодніпровський р-н, Дніпропетровська обл., 51611","592","223","586","40","331","38","369","","0","331","38","369","11","358","30","13","160","37","114","3","1","29.10.12"
"120084","34","Дніпропетровська область","школа, актова зала
вул.78 Гвардійської Дивізії, 4, с.Водяне, Верхньодніпровський р-н, Дніпропетровська обл., 51633","792","339","773","87","369","84","453","","0","369","84","453","19","434","21","15","206","44","143","2","3","29.10.12"
"120085","34","Дніпропетровська область","школа, к.1
вул.Шкільна, 25, с.Андріївка, Верхньодніпровський р-н, Дніпропетровська обл., 51635","320","122","316","12","188","10","198","","0","188","10","198","10","188","7","5","64","9","99","2","2","29.10.12"
"120086","34","Дніпропетровська область","сільський клуб, фойє
вул.Янцева, 61А, с.Ганнівка, Верхньодніпровський р-н, Дніпропетровська обл., 51620","488","185","483","19","288","15","303","","0","288","15","303","8","295","32","10","147","20","83","1","2","29.10.12"
"120087","34","Дніпропетровська область","школа, фойє
вул.Центральна, 9, с.Заполички, Верхньодніпровський р-н, Дніпропетровська обл., 51620","224","90","219","22","118","16","134","","0","118","16","134","5","129","3","5","72","4","42","2","1","29.10.12"
"120088","34","Дніпропетровська область","школа, спортивна зала
вул.Шкільна, 1, с.Дніпровокам’янка, Верхньодніпровський р-н, Дніпропетровська обл., 51612","672","284","660","86","306","82","388","","0","306","82","388","17","371","36","15","190","24","99","4","3","29.10.12"
"120089","34","Дніпропетровська область","відділення поштового зв’язку, сортувальна дільниця
вул.Бульвар Миру, 12, м.Вільногірськ, Верхньодніпровський р-н, Дніпропетровська обл., 51700","624","276","612","46","303","45","348","","0","303","45","348","10","338","37","11","136","43","93","9","9","29.10.12"
"120090","34","Дніпропетровська область","сільська рада, зала засідань
вул.Радянська, 9, с.Дмитрівка, Верхньодніпровський р-н, Дніпропетровська обл., 51643","608","244","611","44","321","43","364","","0","321","43","364","23","341","23","13","177","18","104","2","4","29.10.12"
"120091","34","Дніпропетровська область","сільська рада, зала засідань
вул.Кленова, 3, с.Заріччя, Верхньодніпровський р-н, Дніпропетровська обл., 51630","432","195","430","20","217","20","237","","0","217","20","237","15","222","15","5","72","22","102","4","2","29.10.12"
"120092","34","Дніпропетровська область","сільський клуб, актова зала
вул.Центральна, 4, с.Якимівка, Верхньодніпровський р-н, Дніпропетровська обл., 51632","280","116","272","23","141","23","164","","0","141","23","164","5","159","13","8","58","9","67","4","0","29.10.12"
"120093","34","Дніпропетровська область","диспансер центральної районної лікарні, актова зала
вул.Шкільна, 2, с.Домоткань, Верхньодніпровський р-н, Дніпропетровська обл., 51631","224","83","216","20","121","20","141","","0","121","20","141","6","135","17","8","61","12","29","4","4","29.10.12"
"120094","34","Дніпропетровська область","сільська рада, актова зала
вул.Центральна, 45, с.Малоолександрівка, Верхньодніпровський р-н, Дніпропетровська обл., 51670","408","164","402","48","201","43","244","","0","201","43","244","8","236","8","4","148","8","64","0","4","28.10.12"
"120095","34","Дніпропетровська область","сільський клуб, актова зала
вул.Сахалінська, 51, с.Полівське, Верхньодніпровський р-н, Дніпропетровська обл., 51670","248","91","249","42","123","34","157","","0","123","34","157","9","148","9","4","83","9","41","1","1","28.10.12"
"120096","34","Дніпропетровська область","школа, спортивна зала
вул.Юдіна, 22, с.Мишурин Ріг, Верхньодніпровський р-н, Дніпропетровська обл., 51610","1240","554","1227","80","621","65","686","","0","621","65","686","43","643","52","19","200","47","315","5","5","29.10.12"
"120097","34","Дніпропетровська область","будинок культури, актова зала
вул.Громова, 121А, с.Підлужжя, Верхньодніпровський р-н, Дніпропетровська обл., 51640","296","107","285","11","179","10","189","","0","179","10","189","8","181","10","3","109","19","34","1","5","28.10.12"
"120098","34","Дніпропетровська область","сільська рада, актова зала
вул.Шевченка, 18, с.Перше Травня, Верхньодніпровський р-н, Дніпропетровська обл., 51640","464","210","457","33","226","28","254","","0","226","28","254","2","252","16","9","131","14","78","1","3","29.10.12"
"120099","34","Дніпропетровська область","сільський клуб, актова зала
вул.Перемоги, 38В, с.Новогригорівка, Верхньодніпровський р-н, Дніпропетровська обл., 51640","176","84","167","12","81","11","92","","0","81","11","92","5","87","11","1","48","4","21","1","1","28.10.12"
"120100","34","Дніпропетровська область","школа, спортивна зала
вул.В.Ілляшевської, 20, с.Пушкарівка, Верхньодніпровський р-н, Дніпропетровська обл., 51606","1456","665","1339","87","721","70","791","","0","721","70","791","32","759","64","26","304","66","287","5","7","29.10.12"
"120101","34","Дніпропетровська область","будинок культури, фойє
вул.В.Ілляшевської, 33, с.Пушкарівка, Верхньодніпровський р-н, Дніпропетровська обл., 51606","1208","560","1185","90","583","65","648","","0","583","65","648","20","628","73","22","251","57","207","8","10","29.10.12"
"120102","34","Дніпропетровська область","Верхньодніпровська центральна районна лікарня, терапевтичний корпус, хол
вул.Гагаріна, 16, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","248","13","244","42","199","36","235","","0","199","36","235","4","231","15","5","125","17","65","2","2","29.10.12"
"120441","34","Дніпропетровська область","відділення поштового зв’язку, актова зала
вул.Мірошниченка, 107, м.П’ятихатки, П’ятихатський р-н, Дніпропетровська обл., 52100","1336","747","1335","25","572","17","589","","0","572","17","589","21","568","85","5","179","36","249","4","10","29.10.12"
"120442","34","Дніпропетровська область","школа №2, фойє
вул.Саксаганська, 90, м.П’ятихатки, П’ятихатський р-н, Дніпропетровська обл., 52100","2040","1096","2020","46","905","39","944","","0","905","39","944","33","911","93","5","299","58","440","4","12","06.11.12"
"120443","34","Дніпропетровська область","центр учнівської молоді, фойє
вул.Желєзнякова, 109, м.П’ятихатки, П’ятихатський р-н, Дніпропетровська обл., 52100","2056","1174","2043","64","835","47","882","","0","835","47","882","45","837","89","8","297","55","378","4","6","29.10.12"
"120444","34","Дніпропетровська область","районний будинок культури, фойє
вул.Олександрійська, 65, м.П’ятихатки, П’ятихатський р-н, Дніпропетровська обл., 52100","2064","1092","2038","48","932","40","972","","0","932","40","972","35","937","115","9","298","84","415","5","11","29.10.12"
"120445","34","Дніпропетровська область","школа №1, фойє
вул.Шатрова, 9, м.П’ятихатки, П’ятихатський р-н, Дніпропетровська обл., 52100","2120","1094","2091","16","1014","12","1026","","0","1014","12","1026","31","995","102","16","342","82","423","13","17","29.10.12"
"120446","34","Дніпропетровська область","дистанція сигналізації та зв’язку, зала
вул.Переїзна, 142, м.П’ятихатки, П’ятихатський р-н, Дніпропетровська обл., 52100","1952","1053","1919","37","873","26","899","","0","873","26","899","33","866","131","13","288","62","339","15","18","29.10.12"
"120447","34","Дніпропетровська область","школа №3, фойє
вул.Петровського, 169, м.П’ятихатки, П’ятихатський р-н, Дніпропетровська обл., 52100","1952","1126","1932","54","782","44","826","","0","782","44","826","31","795","119","15","218","54","358","9","22","31.10.12"
"120448","34","Дніпропетровська область","будинок культури, актова зала
вул.Центральна, 47, смт Вишневе, П’ятихатський р-н, Дніпропетровська обл., 52151","1824","797","1796","41","987","40","1027","","0","987","40","1027","48","979","103","16","295","88","448","10","19","29.10.12"
"120449","34","Дніпропетровська область","школа, спортивна зала
вул.Леніна, 8, смт Лихівка, П’ятихатський р-н, Дніпропетровська обл., 52120","1608","801","1603","147","680","127","807","","0","680","127","807","24","783","138","29","239","32","320","13","12","29.10.12"
"120450","34","Дніпропетровська область","школа, спортивна зала
вул.Шкільна, 1, с.Комунарівка, П’ятихатський р-н, Дніпропетровська обл., 52123","448","183","450","41","226","39","265","","0","226","39","265","7","258","22","8","150","22","53","1","2","29.10.12"
"120451","34","Дніпропетровська область","будинок культури, фойє
вул.Жалдака, 22А, с.Біленщина, П’ятихатський р-н, Дніпропетровська обл., 52113","488","140","480","58","293","55","348","","0","293","55","348","7","341","23","4","162","24","123","2","3","28.10.12"
"120452","34","Дніпропетровська область","сільський клуб, танцювальна зала
вул.Жовтнева, 6А, с.Богдано-Надеждівка, П’ятихатський р-н, Дніпропетровська обл., 52160","480","195","475","55","240","45","285","","0","240","45","285","6","279","58","7","129","12","64","6","3","29.10.12"
"120453","34","Дніпропетровська область","сільський клуб, глядацька зала
вул.Б.Хмельницька, 111Б, с.Миролюбівка, П’ятихатський р-н, Дніпропетровська обл., 52160","320","136","315","48","144","40","184","","0","144","40","184","4","180","28","10","111","4","24","2","1","28.10.12"
"120454","34","Дніпропетровська область","сільський клуб, кабінет директора
вул.Б.Хмельницького, 49, с-ще Мирне, П’ятихатський р-н, Дніпропетровська обл., 52161","296","122","287","29","153","21","174","","0","153","21","174","7","167","23","2","74","8","53","2","5","29.10.12"
"120455","34","Дніпропетровська область","школа, клас біології
вул.Шкільна, 1, с.Виноградівка, П’ятихатський р-н, Дніпропетровська обл., 52141","376","132","367","21","230","14","244","","0","230","14","244","6","238","16","3","167","7","42","2","1","28.10.12"
"120456","34","Дніпропетровська область","школа, фойє
вул.Поштова, 15, с.Чистопіль, П’ятихатський р-н, Дніпропетровська обл., 52140","232","85","228","12","135","12","147","","0","135","12","147","4","143","7","4","78","3","48","1","2","29.10.12"
"120457","34","Дніпропетровська область","сільська рада, актова зала
вул.Шевченка, 36, с.Грушуватка, П’ятихатський р-н, Дніпропетровська обл., 52171","720","340","725","80","312","68","380","","0","312","68","380","21","359","34","5","175","17","116","6","6","29.10.12"
