"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барановський
Володимир
Миколайович","Булкін
Дмитро
Валерійович","Волосянко
Микола
Іванович","Дацько
Тетяна
Федорівна","Самойленко
Юрій
Павлович","Синенко
Світлана
Іванівна","Дата підписання протоколу"
"120058","39","Дніпропетровська область","будинок культури, зала
вул.Кірова, 100, с.Павлівка, Васильківський р-н, Дніпропетровська обл., 52640","1352","651","1335","97","610","91","701","","0","610","91","701","23","678","14","36","84","123","403","18","29.10.12"
"120059","39","Дніпропетровська область","сільський клуб, фойє
вул.Леніна, 28, с.Новогригорівка, Васильківський р-н, Дніпропетровська обл., 52643","352","103","349","36","215","34","249","","0","215","34","249","2","247","13","61","26","34","106","7","29.10.12"
"120060","39","Дніпропетровська область","будинок культури, фойє
вул.Голондія, 53, с.Шевченкове, Васильківський р-н, Дніпропетровська обл., 52650","544","200","535","58","289","55","344","","0","289","55","344","11","333","9","37","47","42","182","16","28.10.12"
"120061","39","Дніпропетровська область","сільський клуб, фойє
вул.Молодіжна, 7, с.Хуторо-Чаплине, Васильківський р-н, Дніпропетровська обл., 52651","368","158","354","39","172","38","210","","0","172","38","210","11","199","4","41","17","12","119","6","30.10.12"
"120242","39","Дніпропетровська область","школа, хол
вул.Садова, 19, с.Вознесенське, Межівський р-н, Дніпропетровська обл., 52906","136","53","136","8","75","8","83","","0","75","8","83","5","78","0","15","15","3","44","1","29.10.12"
"120243","39","Дніпропетровська область","школа, хол
вул.Леніна, 35, с.Українка, Межівський р-н, Дніпропетровська обл., 52905","568","248","562","54","268","52","320","","0","268","52","320","11","309","4","57","39","20","181","8","29.10.12"
"120244","39","Дніпропетровська область","школа №1, хол
вул.Учительська, 7, смт Межова, Межівський р-н, Дніпропетровська обл., 52900","1712","751","1688","86","884","77","961","","0","884","77","961","30","931","17","120","116","103","562","13","29.10.12"
"120245","39","Дніпропетровська область","аграрний ліцей-інтернат, хол
вул.Сонячна, 8, смт Межова, Межівський р-н, Дніпропетровська обл., 52900","1296","572","1282","30","695","29","724","","0","695","29","724","19","705","15","70","109","88","412","11","29.10.12"
"120246","39","Дніпропетровська область","будинок культури, хол
просп.Карла Маркса, 8, смт Межова, Межівський р-н, Дніпропетровська обл., 52900","1424","713","1401","69","651","60","711","","0","651","60","711","22","689","10","84","109","83","391","12","29.10.12"
"120247","39","Дніпропетровська область","школа №2, хол
вул.Будьонного, 33, смт Межова, Межівський р-н, Дніпропетровська обл., 52900","1952","871","1948","85","998","83","1081","","0","998","83","1081","46","1035","18","132","143","146","577","19","29.10.12"
"120248","39","Дніпропетровська область","школа, коридор
вул.Чапаєва, 18, с.Зоряне, Межівський р-н, Дніпропетровська обл., 52910","824","387","814","50","401","36","437","","0","401","36","437","17","420","4","63","27","35","282","9","29.10.12"
"120249","39","Дніпропетровська область","навчально-виробничий комбінат, ігрова кімната
пров.Шкільний, 1, с.Новопетровське, Межівський р-н, Дніпропетровська обл., 52910","352","128","345","33","193","31","224","","0","193","31","224","8","216","2","33","21","18","139","3","28.10.12"
"120250","39","Дніпропетровська область","будинок культури, коридор
вул.Шевченка, 3, с.Слов’янка, Межівський р-н, Дніпропетровська обл., 52911","1784","734","1767","62","996","54","1050","","0","996","54","1050","28","1022","11","106","117","77","688","23","29.10.12"
"120251","39","Дніпропетровська область","школа, хол
вул.Центральна, 109, с.Новогригорівка, Межівський р-н, Дніпропетровська обл., 52912","568","133","562","69","366","69","435","","0","366","69","435","14","421","8","33","36","17","323","4","28.10.12"
"120252","39","Дніпропетровська область","селищна рада, актова зала
вул.Центральна, 16, смт Демурине, Межівський р-н, Дніпропетровська обл., 52921","856","358","850","78","424","74","498","","0","424","74","498","20","478","17","47","46","83","274","11","29.10.12"
"120253","39","Дніпропетровська область","школа, спортивна зала
вул.Комсомольська, 22, с.Володимирівка, Межівський р-н, Дніпропетровська обл., 52924","632","235","623","51","346","51","397","","0","346","51","397","14","383","5","26","50","91","202","9","29.10.12"
"120254","39","Дніпропетровська область","школа, коридор
вул.Центральна, 4, с.Богданівка, Межівський р-н, Дніпропетровська обл., 52931","544","192","541","55","297","55","352","","0","297","55","352","15","337","7","41","19","25","236","9","29.10.12"
"120255","39","Дніпропетровська область","школа, хол
вул.Піонерська, 1, с.Антонівське, Межівський р-н, Дніпропетровська обл., 52932","328","125","324","19","185","18","203","","0","185","18","203","10","193","7","29","9","11","132","5","28.10.12"
"120256","39","Дніпропетровська область","школа, хол
вул.Капустіна, 6, с.Веселе, Межівський р-н, Дніпропетровська обл., 52930","744","261","742","66","426","57","483","","0","426","57","483","10","473","9","69","47","39","300","9","29.10.12"
"120257","39","Дніпропетровська область","медичний пункт, приймальня
вул.Комсомольська, 1, с.Олександрівка, Межівський р-н, Дніпропетровська обл., 52932","152","41","147","14","97","14","111","","0","97","14","111","3","108","3","25","3","1","74","2","29.10.12"
"120258","39","Дніпропетровська область","будинок культури, хол
вул.Леніна, 49А, с.Іванівка, Межівський р-н, Дніпропетровська обл., 52952","848","281","843","61","510","57","567","","0","510","57","567","19","548","14","94","64","24","338","14","29.10.12"
"120259","39","Дніпропетровська область","будинок культури, коридор
вул.Карпінського, 24, с.Новопавлівка, Межівський р-н, Дніпропетровська обл., 52950","1344","584","1327","90","671","89","760","","0","671","89","760","37","723","13","120","66","129","376","19","29.10.12"
"120260","39","Дніпропетровська область","школа №2, актова зала
вул.Комунарівська, 44, с.Новопавлівка, Межівський р-н, Дніпропетровська обл., 52951","896","360","886","89","454","82","536","","0","454","82","536","21","515","2","78","49","90","285","11","28.10.12"
"120261","39","Дніпропетровська область","школа, спортивна зала
вул.Центральна, 14, с.Преображенка, Межівський р-н, Дніпропетровська обл., 52920","616","202","610","50","367","47","414","","0","367","47","414","8","406","14","41","34","27","279","11","28.10.12"
"120262","39","Дніпропетровська область","будинок культури, актова зала
вул.Котовського, 36, с.Райполе, Межівський р-н, Дніпропетровська обл., 52940","760","277","755","69","414","69","483","","0","414","69","483","18","465","4","27","41","22","359","12","29.10.12"
"120263","39","Дніпропетровська область","школа, актова зала
вул.Леніна, 25, с.Новопідгородне, Межівський р-н, Дніпропетровська обл., 52941","648","217","639","42","389","42","431","","0","389","42","431","12","419","6","26","29","36","314","8","28.10.12"
"120392","39","Дніпропетровська область","будинок культури, фойє
вул.Радянська, 70, смт Петропавлівка, Петропавлівський р-н, Дніпропетровська обл., 52700","2352","984","2328","50","1318","50","1368","","0","1318","50","1368","49","1319","25","204","174","223","670","23","29.10.12"
"120393","39","Дніпропетровська область","їдальня ТОВ АФ ""Нібас"", зал
вул.Карла Маркса, 128, смт Петропавлівка, Петропавлівський р-н, Дніпропетровська обл., 52700","2352","1033","2337","50","1271","48","1319","","0","1271","48","1319","50","1269","26","174","150","221","667","31","30.10.12"
"120394","39","Дніпропетровська область","школа №1, зал
вул.Карла Маркса, 11, смт Петропавлівка, Петропавлівський р-н, Дніпропетровська обл., 52700","2376","1148","2353","36","1193","35","1228","","0","1193","35","1228","55","1173","33","171","153","180","605","31","29.10.12"
"120395","39","Дніпропетровська область","школа, актовий зал
вул.Польова, 23, смт Брагинівка, Петропавлівський р-н, Дніпропетровська обл., 52730","480","190","474","4","286","4","290","","0","286","4","290","8","282","15","29","30","50","148","10","29.10.12"
"120396","39","Дніпропетровська область","школа, вестибюль
вул.Леніна, 1, с.Брагинівка, Петропавлівський р-н, Дніпропетровська обл., 52705","1488","476","1479","96","918","94","1012","","0","918","94","1012","29","983","36","95","102","289","432","29","29.10.12"
"120397","39","Дніпропетровська область","школа, актовий зал
вул.Молодіжна, 2, с-ще Васильківське, Петропавлівський р-н, Дніпропетровська обл., 52751","1192","541","1174","54","605","46","651","","0","605","46","651","33","618","27","53","65","129","324","20","29.10.12"
"120398","39","Дніпропетровська область","школа, їдальня
вул.Центральна, 60, с.Чумаки, Петропавлівський р-н, Дніпропетровська обл., 52743","368","134","360","74","164","70","234","","0","164","70","234","3","231","2","24","56","18","121","10","29.10.12"
"120399","39","Дніпропетровська область","середня школа, вестибюль
вул.Шкільна, 30, с.Дмитрівка, Петропавлівський р-н, Дніпропетровська обл., 52740","1696","647","1681","100","956","93","1049","","0","956","93","1049","35","1014","31","211","172","146","418","36","29.10.12"
"120400","39","Дніпропетровська область","будинок культури, фойє
вул.Гагаріна, 29А, с.Дмитрівка, Петропавлівський р-н, Дніпропетровська обл., 52740","976","344","963","22","612","20","632","","0","612","20","632","24","608","25","97","85","90","290","21","29.10.12"
"120401","39","Дніпропетровська область","школа, їдальня
вул.Шкільна, 1, с.Олефірівка, Петропавлівський р-н, Дніпропетровська обл., 52742","640","221","638","25","395","24","419","","0","395","24","419","14","405","18","47","79","52","195","14","29.10.12"
"120402","39","Дніпропетровська область","школа, актовий зал
вул.Ленінська, 70, с.Лозове, Петропавлівський р-н, Дніпропетровська обл., 52750","568","192","559","50","327","49","376","","0","327","49","376","15","361","6","33","29","38","249","6","29.10.12"
"120403","39","Дніпропетровська область","дитсадок ""Берізка"", ігровий зал
вул.Водяна, 47А, с.Миколаївка, Петропавлівський р-н, Дніпропетровська обл., 52744","1504","582","1497","53","869","53","922","","0","869","53","922","35","887","40","143","115","137","406","46","29.10.12"
"120404","39","Дніпропетровська область","будинок культури, фойє
вул.Першотравнева, 174, с.Миколаївка, Петропавлівський р-н, Дніпропетровська обл., 52744","1664","669","1630","42","954","41","995","","0","954","41","995","41","954","43","147","152","147","422","43","29.10.12"
"120405","39","Дніпропетровська область","дитсадок ""Малятко"", ігровий зал
вул.Першотравнева, 52, с.Миколаївка, Петропавлівський р-н, Дніпропетровська обл., 52744","872","339","860","30","505","28","533","","0","505","28","533","31","502","34","70","68","84","226","20","29.10.12"
"120406","39","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 3, с.Олександропіль, Петропавлівський р-н, Дніпропетровська обл., 52713","616","199","609","39","382","35","417","","0","382","35","417","13","404","8","40","41","35","267","13","29.10.12"
"120407","39","Дніпропетровська область","будинок культури, фойє
пров.Центральний, 1, с.Осадче, Петропавлівський р-н, Дніпропетровська обл., 52711","480","182","472","33","270","28","298","","0","270","28","298","15","283","6","32","38","62","138","7","29.10.12"
"120408","39","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 23А, с.Маломиколаївка, Петропавлівський р-н, Дніпропетровська обл., 52733","288","88","279","12","190","10","200","","0","190","10","200","4","196","6","20","18","21","127","4","29.10.12"
"120409","39","Дніпропетровська область","будинок культури, фойє
вул.Орджонікідзе, 23А, с.Петрівка, Петропавлівський р-н, Дніпропетровська обл., 52732","352","84","344","20","248","20","268","","0","248","20","268","5","263","4","21","40","35","154","9","29.10.12"
"120410","39","Дніпропетровська область","будинок культури, актовий зал
вул.Леніна, 39, с.Мар’їна Роща, Петропавлівський р-н, Дніпропетровська обл., 52732","560","160","556","37","371","29","400","","0","371","29","400","17","383","20","67","48","38","197","13","28.10.12"
"120411","39","Дніпропетровська область","сільська рада, актовий зал
вул.Карла Маркса, 2, с.Самарське, Петропавлівський р-н, Дніпропетровська обл., 52722","864","294","854","57","516","54","570","","0","516","54","570","19","551","13","121","57","50","296","14","29.10.12"
"120412","39","Дніпропетровська область","сільська рада, актовий зал
вул.Радянська, 14, с.Троїцьке, Петропавлівський р-н, Дніпропетровська обл., 52723","680","235","674","29","418","27","445","","0","418","27","445","20","425","7","40","49","55","255","19","29.10.12"
"120413","39","Дніпропетровська область","офіс ТОВ ""Гарант-Агро4"", зал
вул.Широка, 101, с.Троїцьке, Петропавлівський р-н, Дніпропетровська обл., 52723","448","174","435","41","236","38","274","","0","236","38","274","11","263","10","18","19","25","185","6","29.10.12"
"120414","39","Дніпропетровська область","будинок культури, фойє
вул.Радянська, 1, с-ще Українське, Петропавлівський р-н, Дніпропетровська обл., 52720","976","402","963","49","531","43","574","","0","531","43","574","28","546","10","60","72","81","314","9","29.10.12"
"120415","39","Дніпропетровська область","контора СВК ""Мрія"", актовий зал
вул.Гагаріна, 31, с.Мар’янка, Петропавлівський р-н, Дніпропетровська обл., 52720","248","61","244","18","175","12","187","","0","175","12","187","11","176","6","22","20","30","92","6","29.10.12"
"120416","39","Дніпропетровська область","будинок культури, зал
вул.50 років Жовтневої революції, 17, с.Хороше, Петропавлівський р-н, Дніпропетровська обл., 52710","872","302","865","80","492","78","570","","0","492","78","570","18","552","15","64","46","86","330","11","28.10.12"
"120417","39","Дніпропетровська область","школа, актовий зал
вул.Першотравнева, 1, с.Коханівка, Петропавлівський р-н, Дніпропетровська обл., 52712","304","87","300","27","190","27","217","","0","190","27","217","9","208","11","22","9","24","135","7","29.10.12"
"120418","39","Дніпропетровська область","будинок культури, танцювальна зала
вул.Центральна, 1А, с.Андріївка, Покровський р-н, Дніпропетровська обл., 53640","1192","516","1174","118","560","116","676","","0","560","116","676","27","649","26","75","85","70","371","22","29.10.12"
"120419","39","Дніпропетровська область","будинок культури, танцювальна зала, 1-й поверх
вул.Центральна, 2, с.Березове, Покровський р-н, Дніпропетровська обл., 53624","952","381","948","75","500","71","571","","0","500","71","571","16","555","11","71","31","171","261","10","28.10.12"
"120420","39","Дніпропетровська область","школа, хол, 1-й поверх
вул.Шевченка, 5, с.Великомихайлівка, Покровський р-н, Дніпропетровська обл., 53621","1736","755","1719","100","884","97","981","","0","884","97","981","40","941","18","122","162","172","446","21","29.10.12"
"120421","39","Дніпропетровська область","будинок культури, хол, 1-й поверх
вул.Леніна, 10, с.Вишневе, Покровський р-н, Дніпропетровська обл., 53642","1040","395","1057","64","585","60","645","","0","585","60","645","20","625","16","119","65","67","344","14","29.10.12"
"120422","39","Дніпропетровська область","школа, коридор, 1-й поверх
вул.Центральна, 31, с.Водяне, Покровський р-н, Дніпропетровська обл., 53606","400","141","404","52","211","48","259","","0","211","48","259","11","248","8","71","25","29","110","5","29.10.12"
