"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабич
Лариса
Ігорівна","Бахчевников
Олександр
Анатолійович","Демошенко
Геннадій
Валентинович","Дідич
Валентин
Володимирович","Козирський
Микола
Анатолійович","Рязанцев
Іван
Михайлович","Царьов
Олег
Анатолійович","Шебанов
Вадим
Анатолійович","Яковіткін
Олександр
Валентинович","Дата підписання протоколу"
"120199","40","Дніпропетровська область","сільський клуб, глядацька зала
вул.Центральна, 20, с.Маломихайлівка, Криничанський р-н, Дніпропетровська обл., 52342","656","263","648","56","337","56","393","","0","337","56","393","9","384","4","9","3","96","1","63","205","0","3","29.10.12"
"120200","40","Дніпропетровська область","Степанівський будинок культури, глядацька зала
вул.Радянська, 107Б, с.Степанівка, Криничанський р-н, Дніпропетровська обл., 52314","1184","634","1162","118","444","106","550","","0","444","106","550","19","531","12","29","10","58","4","158","254","0","6","29.10.12"
"120201","40","Дніпропетровська область","Покровський будинок культури, фойє
вул.Центральна, 11, с.Покровка, Криничанський р-н, Дніпропетровська обл., 52351","888","374","883","131","392","122","514","","0","392","122","514","15","499","10","18","5","30","1","101","329","1","4","29.10.12"
"120202","40","Дніпропетровська область","школа, спортивна зала
вул.Центральна, 36А, с.Преображенка, Криничанський р-н, Дніпропетровська обл., 52360","600","243","591","56","304","53","357","","0","304","53","357","8","349","4","12","3","44","1","37","218","1","29","29.10.12"
"120203","40","Дніпропетровська область","будинок культури, глядацька зала
вул.Кооперативна, 51, с.Вітрівка, Криничанський р-н, Дніпропетровська обл., 52361","384","143","382","27","221","20","241","","0","221","20","241","7","234","3","11","4","29","1","23","157","1","5","29.10.12"
"120204","40","Дніпропетровська область","школа, їдальня, 1-й поверх
вул.І.Богатиря, 11, с.Світлогірське, Криничанський р-н, Дніпропетровська обл., 52340","1368","690","1347","40","650","28","678","","0","650","28","678","25","653","17","72","10","116","5","151","269","1","12","29.10.12"
"120205","40","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 21А, с.Семенівка, Криничанський р-н, Дніпропетровська обл., 52315","1216","586","1202","91","555","75","630","","0","555","75","630","15","615","12","30","8","115","3","158","283","5","1","29.10.12"
"120206","40","Дніпропетровська область","будинок культури, фойє, 1-й поверх
вул.Шевченка, 59Б, с.Українка, Криничанський р-н, Дніпропетровська обл., 52313","912","465","903","17","436","11","447","","0","436","11","447","16","431","13","14","9","109","3","90","182","5","6","29.10.12"
"120207","40","Дніпропетровська область","сільський клуб, актова зала
вул.Радянська, 7, с.Червоноіванівка, Криничанський р-н, Дніпропетровська обл., 52330","760","353","745","61","350","57","407","","0","350","57","407","10","397","5","23","8","79","1","58","221","2","0","29.10.12"
"120208","40","Дніпропетровська область","школа, фойє, 1-й поверх
вул.Шкільна, 1А, с.Червоний Промінь, Криничанський р-н, Дніпропетровська обл., 52341","712","316","708","36","364","32","396","","0","364","32","396","12","384","11","20","7","60","1","73","209","2","1","29.10.12"
"120523","40","Дніпропетровська область","школа, їдальня
вул.Горького, 9, с.Башмачка, Солонянський р-н, Дніпропетровська обл., 52462","1280","617","1242","48","619","44","663","","0","619","44","663","25","638","19","95","7","40","5","125","327","14","6","29.10.12"
"120524","40","Дніпропетровська область","бібліотека, читальна зала
вул.Шевченко, 18А, с.Любимівка, Солонянський р-н, Дніпропетровська обл., 52463","376","152","372","43","182","42","224","","0","182","42","224","6","218","5","17","6","11","3","64","108","2","2","29.10.12"
"120525","40","Дніпропетровська область","будинок культури, актова зала
вул.Адміністративна, 1А, с.Березнуватівка, Солонянський р-н, Дніпропетровська обл., 52412","696","296","687","40","361","39","400","","0","361","39","400","27","373","10","57","6","26","2","102","161","3","6","29.10.12"
"120526","40","Дніпропетровська область","будинок культури, фойє
вул.Стремського, 1, с.Василівка, Солонянський р-н, Дніпропетровська обл., 52460","960","504","950","8","448","8","456","","0","448","8","456","28","428","8","31","5","34","1","118","221","7","3","29.10.12"
"120527","40","Дніпропетровська область","бібліотека, читальна зала
вул.Шевченко, 86, с.Кам’яне, Солонянський р-н, Дніпропетровська обл., 52461","584","278","577","35","273","33","306","","0","273","33","306","8","298","11","49","7","28","0","46","155","0","2","29.10.12"
"120528","40","Дніпропетровська область","сільська рада, актова зала, 2-й поверх
вул.Миронова, 9, с.Військове, Солонянський р-н, Дніпропетровська обл., 52472","632","260","632","43","335","37","372","","0","335","37","372","15","357","10","39","4","40","5","105","152","1","1","29.10.12"
"120529","40","Дніпропетровська область","школа, вестибюль
вул.Компанійця, 70А, с.Калинівка, Солонянський р-н, Дніпропетровська обл., 52473","560","202","558","50","308","50","358","","0","308","50","358","10","348","10","24","4","27","1","105","176","1","0","29.10.12"
"120530","40","Дніпропетровська область","школа, фойє
вул.Шкільна, 1, с.Дзержинівка, Солонянський р-н, Дніпропетровська обл., 52421","536","226","521","57","257","53","310","","0","257","53","310","6","304","9","31","3","21","0","76","159","3","2","28.10.12"
"120531","40","Дніпропетровська область","школа, коридор
вул.Центральна, 1, с.Мала Калинівка, Солонянський р-н, Дніпропетровська обл., 52421","336","134","329","41","161","41","202","","0","161","41","202","4","198","12","15","3","23","2","42","97","2","2","29.10.12"
"120532","40","Дніпропетровська область","школа, фойє
вул.Шкільна, 41, с.Миропіль, Солонянський р-н, Дніпропетровська обл., 52422","312","112","305","32","168","32","200","","0","168","32","200","4","196","2","9","1","10","0","55","115","1","3","29.10.12"
"120533","40","Дніпропетровська область","амбулаторія, хол
вул.Центральна, 8Б, с-ще Єлізарове, Солонянський р-н, Дніпропетровська обл., 52433","1344","751","1317","45","559","34","593","","0","559","34","593","28","565","31","41","40","10","1","126","304","4","8","29.10.12"
"120534","40","Дніпропетровська область","школа, коридор
вул.Нова, 1, с.Малозахарине, Солонянський р-н, Дніпропетровська обл., 52451","264","87","258","7","170","7","177","","0","170","7","177","12","165","1","16","0","6","0","34","107","0","1","29.10.12"
"120535","40","Дніпропетровська область","школа, фойє
вул.Центральна, 13, с.Микільське-на-Дніпрі, Солонянський р-н, Дніпропетровська обл., 52470","608","216","600","16","378","14","392","","0","378","14","392","15","377","5","35","7","22","5","148","146","6","3","29.10.12"
"120536","40","Дніпропетровська область","контора СТОВ ""Прогрес"", актова зала
вул.Центральна, 1, с.Звонецьке, Солонянський р-н, Дніпропетровська обл., 52470","224","73","216","10","141","10","151","","0","141","10","151","5","146","4","3","5","12","1","28","91","1","1","29.10.12"
"120537","40","Дніпропетровська область","будинок культури, актова зала
вул.Нова, 13, с.Оріхове, Солонянський р-н, Дніпропетровська обл., 52423","344","86","342","18","240","18","258","","0","240","18","258","1","257","3","8","1","7","1","117","118","2","0","29.10.12"
"120538","40","Дніпропетровська область","школа, фойє
вул.Кооперативна, 2А, с.Звонецький Хутір, Солонянський р-н, Дніпропетровська обл., 52470","288","104","279","25","159","25","184","","0","159","25","184","6","178","3","12","2","13","3","37","105","2","1","29.10.12"
"120539","40","Дніпропетровська область","школа, коридор
вул.Центральна, 1, с.Мопрівське, Солонянський р-н, Дніпропетровська обл., 52450","560","244","547","63","257","59","316","","0","257","59","316","13","303","7","17","3","12","2","108","153","0","1","29.10.12"
"120540","40","Дніпропетровська область","будинок культури, актова зала
вул.Центральна, 59А, с.Григорівка, Солонянський р-н, Дніпропетровська обл., 52451","240","81","238","48","116","43","159","","0","116","43","159","6","153","3","12","3","12","0","63","59","0","1","28.10.12"
"120541","40","Дніпропетровська область","школа, хол
вул.Жовтнева, 35А, с.Незабудине, Солонянський р-н, Дніпропетровська обл., 52432","672","317","666","49","306","49","355","","0","306","49","355","11","344","2","14","2","28","0","85","207","2","4","29.10.12"
"120542","40","Дніпропетровська область","бібліотека, читальна зала
вул.Колгоспна, 30Г, с.Новомар’ївка, Солонянський р-н, Дніпропетровська обл., 52420","704","376","696","36","303","25","328","","0","303","25","328","6","322","9","19","3","54","2","72","156","3","4","29.10.12"
"120543","40","Дніпропетровська область","школа, вестибюль
вул.Радянська, 1, смт Новопокровка, Солонянський р-н, Дніпропетровська обл., 52441","1408","674","1392","87","665","69","734","","0","665","69","734","28","706","17","62","6","45","1","206","359","5","5","29.10.12"
"120544","40","Дніпропетровська область","школа, коридор
вул.Леніна, 13, с.Котлярівка, Солонянський р-н, Дніпропетровська обл., 52441","320","148","319","30","142","30","172","","0","142","30","172","1","171","3","6","2","5","0","81","70","1","3","29.10.12"
"120545","40","Дніпропетровська область","будинок культури, актова зала
вул.Радянська, 8А, с.Олександропіль, Солонянський р-н, Дніпропетровська обл., 52423","680","301","662","35","346","33","379","","0","346","33","379","10","369","6","22","6","15","3","80","233","2","2","29.10.12"
