"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","Latitude","Longitude","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Акашев
Валентин
Анатолійович","Вітушко
Олег
Вікторович","Гудов
Іван
Ілліч","Корж
Євген
Юрійович","Кравченко
Микола
Васильович","Пономаренко
Ілля
Миколайович","Пономарьов
Андрій
Вікторович","Сурін
Андрій
Миколайович","Герасимчук
Анатолій
Андрійович","Коваленко
Василь
Васильович","Міщенко
Ігор
Іванович","Раковський
Олександр
Степанович","Риженков
Олександр
Миколайович","Філіндаш
Сергій
Миколайович","Ясько
Геннадій
Геннадійович","Борковець
Алла
Олексіївна","Васильєв
Олександр
Андрійович","Прилепський
Віктор
Володимирович","Сучков
Олексій
Анатолійович","Шанова
Людмила
Миколаївна","Асєєв
Олег
Анатолійович","Білий
Олексій
Петрович","Гудзюк
Сергій
Степанович","Дейнєс
Віталій
Геннадійович","Конишев
Геннадій
Аркадійович","Красновський
Сергій
Борисович","Решетняк
Ігор
Миколайович","Тіхонова
Лілія
Валентинівна","Асєєв
Ігор
Анатолійович","Забавін
Дмитро
В’ячеславович","Матвієнков
Сергій
Анатолійович","Мороз
Анатолій
Михайлович","Пуговкін
Дмитро
Юрійович","Романюк
Олександр
Володимирович","Щербаков
Сергій
Андрійович","Яременко
Микола
Дмитрович","Бакуліна
Наталія
Василівна","Борт
Віталій
Петрович","Молоков
Денис
Геннадійович","Наумов
Олександр
Олександрович","Новаковський
Іван
Сергійович","Поліванов
Олег
Олександрович","Ткачук
Лариса
Віталіївна","Бєліков
Юрій
Миколайович","Кисельов
Юрій
Анатолійович","Ложечкін
Вадим
Сергійович","Нагорний
Тимофій
Олександрович","Новиков
Станіслав
Олегович","Омельченко
Валерій
Павлович","Волинець
Євгеній
Валерійович","Здор
Костянтин
Семенович","Кушніров
Олександр
Леонідович","Лук’янов
Владислав
Валентинович","Півень
Микола
Іванович","Подорожко
Євген
Сергійович","Романченко
Олексій
Віталійович","Волошин
Геннадій
Якович","Литвинов
Леонід
Федорович","Славгородський
Ігор
Васильович","Стужук
Микола
Олександрович","Другашов
Дмитро
Олександрович","Жмурко
Андрій
Анатолійович","Поддубний
Володимир
Анатолійович","Подколзін
Тимур
Сергійович","Попов
Василь
Миколайович","Проценко
Володимир
Васильович","Рибак
Володимир
Іванович","Рижков
Анатолій
Іванович","Шкіря
Ігор
Миколайович","Алишев
Олександр
Миколайович","Антип
Петро
Іванович","Березовий
Микола
Вікторович","Весьолкін
Володимир
Юрійович","Вініченко
Сергій
Вікторович","Герасимов
Артур
Володимирович","Гончаров
Анатолій
Дмитрович","Карпушев
Олексій
Олександрович","Поляков
Віталій
Дмитрійович","Попов
Роман
Валентинович","П’ятько
Роман
Анатолійович","Черненко
Віталій
Григорович","Шило
Віталій
Олександрович","Байсаров
Леонід
Володимирович","Єлін
Ілля
Костянтинович","Єрмоленко
Олена
Олександрівна","Яструбенко
Олександр
Васильович","Гур
Юлія
Олександрівна","Омельянович
Денис
Сергійович","Ходус
Микола
Олександрович","Шипілов
Олег
Федорович","Боярський
Юрій
Іванович","Гордієнко
Сергій
Леонідович","Городенський
Максим
Олексійович","Корнієнко
Сергій
Миколайович","Кривошеєв
Дмитро
Олексійович","Ржавський
Володимир
Іванович","Сопельник
Віктор
Іванович","Азаров
Олексій
Миколайович","Бондарєв
Вадим
Анатолійович","Вєкуа
Фрідон
Напойович","Єрмак
Олег
Віталійович","Зонтов
Олег
Вячеславович","Казацький
Дмитро
Геннадійович","Котенко
Олег
Олексійович","Мельник
Віталій
Володимирович","Підлісний
Ігор
Павлович","Хмельовий
Анатолій
Петрович","Єрдакій
Олег
Миколайович","Каплунов
Денис
Вікторович","Капля
Вадим
Вікторович","Клюєв
Сергій
Петрович","Матейченко
Костянтин
Володимирович","Теплицький
Валерій
Павлович","Волкова
Ольга
Іванівна","Гришко
Олег
Борисович","Звягільський
Юхим
Леонідович","Сінілов
Олександр
Валерійович","Топузов
Олександр
Юрійович","Волинко
Микола
Миколайович","Жнівін
Сергій
Юрійович","Кравченко
Анатолій
Васильович","Левицький
Євген
Леонідович","Левченко
Микола
Олександрович","Лигін
Роман
Олександрович","Лягін
Роман
Вікторович","Нікітін
Станіслав
Олександрович","Симоненко
Олександр
Борисович","Абрамчук
Євген
Миколайович","Бунтовський
Сергій
Юрійович","Вельдяксова
Ольга
Олександрівна","Волков
Роман
Юрійович","Екштейн
Інна
Миколаївна","Коваленко
Юрій
Тимофійович","Кутепов
Микола
Леонідович","Ландик
Валентин
Іванович","Лівочка
Олександр
Васильович","Рищенко
Наталя
Ашотовна","Анікушин
Сергій
Ігорович","Бахтеєва
Тетяна
Дмитрівна","Лук’янець
Володимир
Васильович","Талишев
Євген
Іванович","Шейко
Вольга
Василівна","Юрчак
Вадим
Олександрович","Бобков
Олександр
Михайлович","Деркач
Володимир
Григорович","Заярний
Артем
Олексійович","Скакун
Павло
Петрович","Дата підписання протоколу"
"141171","59","Донецька область","пров.Красноармійський, 48, м.Гірник, м.Селидове, Донецька обл., 85487","48.28008","37.18277","1624","743","1602","53","829","52","881","","0","829","52","881","52","829","","","","","","","","","","","","","","","","185","489","71","47","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05.11.12"
"141172","59","Донецька область","пров.Котовського, 28, м.Гірник, м.Селидове, Донецька обл., 85487","48.02779","37.83449","1544","869","1525","23","653","22","675","","0","653","22","675","50","625","","","","","","","","","","","","","","","","148","379","52","21","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141173","59","Донецька область","вул.Ватутіна, 7, м.Українськ, м.Селидове, Донецька обл., 85485","48.1005361","37.3622184","2480","1235","2446","46","1207","38","1245","","0","1207","38","1245","96","1149","","","","","","","","","","","","","","","","245","674","137","56","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141174","59","Донецька область","вул.Ватутіна, 7, м.Українськ, м.Селидове, Донецька обл., 85485","48.1005361","37.3622184","1656","836","1648","44","782","38","820","","0","782","38","820","66","754","","","","","","","","","","","","","","","","70","561","70","20","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141177","59","Донецька область","вул.Чапаєва, 20, м.Українськ, м.Селидове, Донецька обл., 85485","48.14204","37.2952","744","298","744","13","434","12","446","","0","434","12","446","25","421","","","","","","","","","","","","","","","","86","246","53","10","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"141179","59","Донецька область","вул.Миру, 17, смт Курахівка, м.Селидове, Донецька обл., 85490","48.15262","37.32607","1264","581","1222","81","604","79","683","","0","604","79","683","33","650","","","","","","","","","","","","","","","","134","388","73","21","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"1","58","Донецька область","вул.Італійська, 86, м.Маріуполь, Донецька обл., 87500","47.0922499","37.550033","48","27","21","0","21","0","21","","0","21","0","21","2","19","","","","","","","","","","","","","","","","","","","","","2","14","0","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"142227","58","Донецька область","вул.Грецька, 219, м.Маріуполь, Донецька обл., 87507","47.1133745","37.5779755","1144","562","1130","22","560","22","582","","0","560","22","582","27","555","","","","","","","","","","","","","","","","","","","","","36","328","9","106","6","12","49","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142228","58","Донецька область","вул.Грецька, 219, м.Маріуполь, Донецька обл., 87507","47.1133745","37.5779755","1136","641","1139","18","477","18","495","","0","477","18","495","19","476","","","","","","","","","","","","","","","","","","","","","34","300","9","74","7","12","28","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142229","58","Донецька область","вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","47.109844","37.561743","1640","790","1611","16","836","14","850","","0","836","14","850","49","801","","","","","","","","","","","","","","","","","","","","","75","376","17","172","17","24","89","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142230","58","Донецька область","вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","47.109844","37.561743","1656","740","1626","10","906","10","916","","0","906","10","916","35","881","","","","","","","","","","","","","","","","","","","","","63","426","12","208","31","25","91","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142231","58","Донецька область","вул.Артема, 140, м.Маріуполь, Донецька обл., 87549","47.109844","37.561743","1280","744","1269","9","528","8","536","","0","528","8","536","22","514","","","","","","","","","","","","","","","","","","","","","44","271","12","98","11","21","42","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142232","58","Донецька область","прсп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549","47.110502","37.5566366","2192","936","2148","21","1241","15","1256","","0","1241","15","1256","60","1196","","","","","","","","","","","","","","","","","","","","","135","575","16","236","29","40","136","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142233","58","Донецька область","вул.Артема, 95, м.Маріуполь, Донецька обл., 87549","47.105762","37.5605045","2088","1058","2076","19","1014","16","1030","","0","1014","16","1030","53","977","","","","","","","","","","","","","","","","","","","","","92","500","16","192","20","38","96","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142234","58","Донецька область","вул.Артема, 95, м.Маріуполь, Донецька обл., 87549","47.105762","37.5605045","1392","602","1375","18","774","16","790","","0","774","16","790","26","764","","","","","","","","","","","","","","","","","","","","","86","364","14","161","19","15","86","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142235","58","Донецька область","вул.Євпаторійська, 56, м.Маріуполь, Донецька обл., 87515","47.1019466","37.5538805","2311","1176","2277","11","1124","11","1135","","0","1124","11","1135","62","1073","","","","","","","","","","","","","","","","","","","","","141","511","19","207","29","17","128","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142236","58","Донецька область","вул.Торгова, 9, м.Маріуполь, Донецька обл., 87515","47.1051095","37.5642235","2424","1361","2400","41","1025","38","1063","","0","1024","38","1062","45","1017","","","","","","","","","","","","","","","","","","","","","87","511","13","224","22","21","114","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142237","58","Донецька область","просп.Металургів, 19, м.Маріуполь, Донецька обл., 87500","47.0893756","37.5430426","1208","508","1197","16","685","15","700","","0","685","15","700","38","662","","","","","","","","","","","","","","","","","","","","","69","314","6","135","18","14","97","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142238","58","Донецька область","вул.Пушкіна, 51, м.Маріуполь, Донецька обл., 87515","47.091482","37.5474071","1208","554","1186","20","636","18","654","","0","636","18","654","31","623","","","","","","","","","","","","","","","","","","","","","66","269","12","141","14","14","89","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142239","58","Донецька область","просп.Леніна, 79, м.Маріуполь, Донецька обл., 87500","47.1608793","37.4847265","2376","1019","2345","28","1331","26","1357","","0","1331","26","1357","60","1297","","","","","","","","","","","","","","","","","","","","","139","633","14","246","42","30","163","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142240","58","Донецька область","просп.Металургів, 54, м.Маріуполь, Донецька обл., 87500","47.0951035","37.5422875","1688","870","1674","26","793","25","818","","0","793","25","818","29","789","","","","","","","","","","","","","","","","","","","","","84","350","16","166","29","20","101","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142241","58","Донецька область","вул.Георгіївська, 69 м.Маріуполь, Донецька обл., 87532","47.0941995","37.547723","768","326","766","19","424","18","442","","0","424","18","442","21","421","","","","","","","","","","","","","","","","","","","","","33","217","8","91","11","8","47","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"142242","58","Донецька область","вул.Харлампіївська, 17/25, м.Маріуполь, Донецька обл., 87500","47.0937641","37.556648","2160","1082","2136","22","1056","22","1078","","0","1056","22","1078","49","1029","","","","","","","","","","","","","","","","","","","","","99","481","13","207","29","27","152","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142243","58","Донецька область","вул.Грецька, 44, м.Маріуполь, Донецька обл., 87515","47.09658","37.553899","1400","604","1391","15","781","15","796","","0","781","15","796","23","773","","","","","","","","","","","","","","","","","","","","","105","336","14","175","15","17","100","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142244","58","Донецька область","бульв.Богдана Хмельницького, 22, м.Маріуполь, Донецька обл., 87500","47.09526","37.5267405","1976","848","1951","36","1095","33","1128","","0","1093","33","1126","36","1090","","","","","","","","","","","","","","","","","","","","","88","514","20","218","30","42","147","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142245","58","Донецька область","бульв.Богдана Хмельницького, 22, м.Маріуполь, Донецька обл., 87500","47.09526","37.5267405","1640","689","1621","36","918","33","951","","0","918","33","951","43","908","","","","","","","","","","","","","","","","","","","","","82","471","12","187","19","27","96","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142246","58","Донецька область","вул.Апатова, 132, м.Маріуполь, Донецька обл., 87500","47.0928265","37.5412516","1728","749","1715","25","957","22","979","","0","957","22","979","43","936","","","","","","","","","","","","","","","","","","","","","85","424","16","180","46","40","112","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142247","58","Донецька область","вул.Леваневського, 7, м.Маріуполь, Донецька обл., 87500","47.105724","37.5312226","1456","602","1451","14","841","13","854","","0","841","13","854","24","830","","","","","","","","","","","","","","","","","","","","","76","396","5","171","17","24","122","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142248","58","Донецька область","вул.Леваневського, 7, м.Маріуполь, Донецька обл., 87500","47.105724","37.5312226","1920","802","1891","16","1107","11","1118","","0","1106","11","1117","46","1071","","","","","","","","","","","","","","","","","","","","","93","505","20","225","16","22","159","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142249","58","Донецька область","вул.Казанцева, 25А, м.Маріуполь, Донецька обл., 87515","47.1039215","37.5443854","2288","1052","2249","28","1209","27","1236","","0","1209","27","1236","61","1175","","","","","","","","","","","","","","","","","","","","","124","576","20","244","26","36","128","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142250","58","Донецька область","вул.Казанцева, 25А, м.Маріуполь, Донецька обл., 87515","47.1039215","37.5443854","1552","676","1542","20","857","19","876","","0","857","19","876","38","838","","","","","","","","","","","","","","","","","","","","","85","406","14","182","25","17","93","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142251","58","Донецька область","вул.Митрополитська, 61, м.Маріуполь, Донецька обл., 87500","47.1017145","37.5470955","1272","530","1266","4","738","4","742","","0","738","4","742","40","702","","","","","","","","","","","","","","","","","","","","","54","375","14","131","19","17","73","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142252","58","Донецька область","просп.Металургів, 75, м.Маріуполь, Донецька обл., 87539","47.1042475","37.5534761","2216","900","2171","13","1305","11","1316","","0","1304","11","1315","57","1258","","","","","","","","","","","","","","","","","","","","","130","614","15","262","24","29","151","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142253","58","Донецька область","просп.Металургів, 75, м.Маріуполь, Донецька обл., 87539","47.1042475","37.5534761","2384","1046","2367","20","1322","16","1338","","0","1321","16","1337","43","1294","","","","","","","","","","","","","","","","","","","","","147","569","26","296","27","32","160","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142254","58","Донецька область","бульв.Богдана Хмельницького, 22, м.Маріуполь, Донецька обл., 87500","47.09526","37.5267405","2152","900","2126","65","1192","60","1252","","0","1192","60","1252","39","1213","","","","","","","","","","","","","","","","","","","","","97","661","20","246","19","30","116","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142255","58","Донецька область","вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534","47.092855","37.5188991","2112","985","2093","49","1080","47","1127","","0","1080","47","1127","42","1085","","","","","","","","","","","","","","","","","","","","","99","516","18","217","25","53","123","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142256","58","Донецька область","вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534","47.092855","37.5188991","2184","1004","2158","45","1137","43","1180","","0","1137","43","1180","50","1130","","","","","","","","","","","","","","","","","","","","","87","578","14","224","22","40","138","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142257","58","Донецька область","вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534","47.092855","37.5188991","2088","933","2062","49","1111","44","1155","","0","1111","44","1155","50","1105","","","","","","","","","","","","","","","","","","","","","93","531","19","226","42","47","120","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142258","58","Донецька область","вул.Гризодубової, 1, м.Маріуполь, Донецька обл., 87534","47.0950825","37.513967","1088","522","1077","3","563","3","566","","0","563","3","566","26","540","","","","","","","","","","","","","","","","","","","","","76","201","13","94","15","31","98","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142259","58","Донецька область","вул.Купріна, 9А, м.Маріуполь, Донецька обл., 87537","47.1016686","37.5110227","2480","993","2447","20","1469","18","1487","","0","1469","18","1487","40","1447","","","","","","","","","","","","","","","","","","","","","80","969","14","159","24","49","129","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142260","58","Донецька область","вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537","47.1059129","37.5177602","2320","1027","2270","22","1272","21","1293","","0","1272","21","1293","48","1245","","","","","","","","","","","","","","","","","","","","","90","656","21","242","40","39","124","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142261","58","Донецька область","вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537","47.1059129","37.5177602","2352","959","2310","20","1374","19","1393","","0","1374","19","1393","83","1310","","","","","","","","","","","","","","","","","","","","","118","690","24","235","35","30","143","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142262","58","Донецька область","вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537","47.1059129","37.5177602","2272","917","2256","27","1330","25","1355","","0","1330","25","1355","53","1302","","","","","","","","","","","","","","","","","","","","","103","754","30","208","23","34","125","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"142263","58","Донецька область","пров.Трамвайний, 22, м.Маріуполь, Донецька обл., 87548","47.103136","37.520923","2352","1015","2319","32","1307","30","1337","","0","1307","30","1337","64","1273","","","","","","","","","","","","","","","","","","","","","100","662","19","261","25","35","139","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
