"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","Latitude","Longitude","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Демішкан
Володимир
Федорович","Запорожець
Іван
Іванович","Ільїнова
Лідія
Рефатівна","Кравченко
Ольга
Ігнатівна","Сивоконь
Тетяна
Семенівна","Черенков
Олександр
Павлович","Чудовський
Андрій
Ігорович","Штомпель
Віталій
Олександрович","Мілейко
Володимир
Володимирович","Слєпцов
Микола
Миколайович","Тихонов
Віктор
Миколайович","Холопов
Олександр
Володимирович","Шакун
Сергій
Вікторович","Юник
Володимир
Йосипович","Біленький
Олександр
Юрійович","Бобошко
Микола
Михайлович","Бухалов
Олександр
Юрійович","Іоффе
Юлій
Якович","Клименко
Дмитро
Володимирович","Козюберда
Костянтин
Григорійович","Костєв
Микола
Михайлович","Радченко
Ігор
Олександрович","Сичова
Олена
Іванівна","Сінченко
Сергій
Григорович","Хохлов
Юрій
Миколайович","Баркасов
Олексій
Володимирович","Бондарєв
Віктор
Леонідович","Гайдей
Олександр
Петрович","Доровський
Юрій
Михайлович","Ільченко
Костянтин
Григорійович","Коваль
Олександр
Іванович","Степанець
Олена
Миколаївна","Бебешко
Олександр
Миколайович","Горулько
Юлія
Олександрівна","Жученко
Олександр
Вікторович","Іванов
Дмитро
Валерійович","Кириченко
Микола
Єгорович","Лисянський
Павло
Леонідович","Саліхов
Артем
Романович","Чуб
Володимир
Євгенович","Бойко
Володимир
Олександрович","Букаєва
Марина
Володимирівна","Данієлян
Вадим
Романович","Дудник
Олена
Григорівна","Кісельов
Олег
Валентинович","Корнієвський
Аркадій
Юрійович","Кривобоков
Артем
Анатолійович","Лозко
Ігор
Якович","Макаров
Костянтин
Костянтинович","Макаров
Олександр
Костянтинович","Медяник
Володимир
Юрійович","Моравський
Юрій
Вікторович","Павлінський
Олексій
Вікторович","Пригеба
Григорій
Валентинович","Рєзнік
Микола
Миколайович","Суглобов
Євген
Валерійович","Андріянов
Олександр
Олександрович","Гуславський
Володимир
Станіславович","Заіка
Артем
Миколайович","Кириченко
Людмила
Федорівна","Колесніков
Володимир
Анатолійович","Мошенський
Валерій
Захарович","Підгорний
Володимир
Миколайович","Ржавський
Олександр
Миколайович","Сафонова
Дар’я
Євгеніївна","Терніков
Юрій
Миколайович","Федоров
Василь
Васильович","Фролов
Володимир
Миколайович","Чередник
Геннадій
Олександрович","Аннушак
Сергій
Васильович","Гладких
Валентин
Валерійович","Дунаєв
Сергій
Володимирович","Єфіменко
Євгеній
Олегович","Кримцев
Віктор
Олексійович","Крисанов
Леонід
Дмитрович","Слєсарєв
Ігор
Едуардович","Теросипов
Вячеслав
Михайлович","Філь
Сергій
Олександрович","Шахов
Сергій
Володимирович","Шведов
Віталій
Миколайович","Беркут
Ігор
Віталійович","Грицишин
Геннадій
Андрійович","Казаков
Олег
Іванович","Казаков
Сергій
Вікторович","Карацуба
Павло
Васильович","Комчадалов
Євгеній
Євгенович","Корчагін
Павло
Петрович","Кунченко
Олексій
Петрович","Луговцов
Олексій
Сергійович","Припотень
Володимир
Юрійович","Самарський
Сергій
Вікторович","Сідєльнікова
Галина
Анатоліївна","Фурман
Юрій
Анатолійович","Хітько
Ірина
Сергіївна","Шахов
Сергій
Олександрович","Шевчук
Вячеслав
Анатолійович","Барвіна
Наталія
Олександрівна","Вікторов
Андрій
Сергійович","Горохов
Сергій
Олександрович","Жданова
Валентина
Олександрівна","Кривобоков
Владислав
Анатолійович","Мошенський
Сергій
Захарович","Попов
Володимир
Євгенович","Скіріч
Андрій
Степанович","Тамашев
Геннадій
Анатолійович","Чаленко
Максим
Михайлович","Василенко
Ольга
Дмитрівна","Василенко
Сергій
Петрович","Гейченко
Ігор
Васильович","Гончаров
Володимир
Олександрович","Гончаров
Олег
Борисович","Гончарук
Тетяна
Сергіївна","Гринюк
Світлана
Петрівна","Давидов
Сергій
Іванович","Демидович
Ірина
Володимирівна","Денищенко
Денис
Вікторович","Євлашин
Володимир
Анатолійович","Жароїд
Костянтин
Анатолійович","Зуєва
Карина
Олександрівна","Клєшнін
Роман
Євгенович","Ковальов
Павло
Олексійович","Криштов
Євген
Федорович","Мартиненков
Ігор
Миколайович","Масюк
Олег
Віталійович","Морочко
Юрій
Петрович","Пащук
Михайло
Федорович","Прокошин
Олександр
Ігорович","Сердюков
Василь
Михайлович","Струк
Володимир
Олексійович","Уманець Віталій Костянтинович","Філіпський Олександр Михайлович","Шаповалов Андрій Анатолійович","Шаповалов Віталій Олександрович","Шахов Володимир Миколайович","Дата підписання протоколу"
"441070","112","Луганська область","вул.Будівельників, 32, м.Рубіжне, Луганська обл., 93012","49.0325874","38.3569206","2298","1218","2280","18","1067","13","1080","","0","1067","13","1080","40","1040","","","","","","","","","","","","","","","","4","1","115","660","2","51","6","119","5","12","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441071","112","Луганська область","вул.Леніна, 51, м.Рубіжне, Луганська обл., 93012","49.0429171","38.3704662","2316","1232","2278","9","1076","8","1084","","0","1076","8","1084","33","1051","","","","","","","","","","","","","","","","0","7","134","627","4","49","7","143","8","17","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441072","112","Луганська область","просп.Кірова, 28, м.Рубіжне, Луганська обл., 93011","49.0343797","38.3723855","2382","1086","2347","31","1270","26","1296","","0","1270","26","1296","28","1268","","","","","","","","","","","","","","","","7","1","117","801","13","96","3","117","6","23","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441073","112","Луганська область","вул.Мєндєлєєва, 49, м.Рубіжне, Луганська обл., 93010","49.0267428","38.3794143","2364","1288","2342","51","1026","50","1076","","0","1026","50","1076","35","1041","","","","","","","","","","","","","","","","5","9","111","609","2","75","5","130","14","14","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"441074","112","Луганська область","вул.Мєндєлєєва, 47А, м.Рубіжне, Луганська обл., 93010","49.0267391","38.379442","2484","1184","2450","54","1254","46","1300","","0","1254","46","1300","62","1238","","","","","","","","","","","","","","","","1","6","95","792","3","59","10","161","15","15","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441075","112","Луганська область","вул.Визволителів, 53, м.Рубіжне, Луганська обл., 93010","49.0335086","38.3802568","2454","1189","2415","58","1221","44","1265","","0","1221","44","1265","56","1209","","","","","","","","","","","","","","","","6","3","104","704","4","75","12","132","6","22","141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.10.12"
"441076","112","Луганська область","вул.Смирнова, 27, м.Рубіжне, Луганська обл., 93003","49.0153388","38.3730373","2496","1345","2466","50","1112","39","1151","","0","1112","39","1151","37","1114","","","","","","","","","","","","","","","","2","8","110","663","6","68","5","123","11","11","107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441077","112","Луганська область","вул.Свердлова, 9, м.Рубіжне, Луганська обл., 93008","48.9638924","38.3356396","2483","1328","2451","51","1115","40","1155","","0","1115","40","1155","37","1118","","","","","","","","","","","","","","","","1","4","67","730","4","69","8","131","7","0","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441078","112","Луганська область","вул.Чехова, 11, м.Рубіжне, Луганська обл., 93001","48.9688649","38.3481669","1536","645","1518","48","851","40","891","","0","851","40","891","47","844","","","","","","","","","","","","","","","","7","5","58","475","29","64","9","93","15","17","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441079","112","Луганська область","вул.Чехова, 11, м.Рубіжне, Луганська обл., 93001","48.9688649","38.3481669","1644","754","1637","56","843","47","890","","0","843","47","890","25","865","","","","","","","","","","","","","","","","5","1","75","489","3","83","9","111","12","13","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441080","112","Луганська область","вул.Будівельників, 28, м.Рубіжне, Луганська обл., 93012","49.0325874","38.3569206","2208","1069","2153","31","1110","29","1139","","0","1110","29","1139","26","1113","","","","","","","","","","","","","","","","3","6","99","741","2","66","7","101","8","11","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441081","112","Луганська область","вул.Будівельників, 28, м.Рубіжне, Луганська обл., 93012","49.0325874","38.3569206","2316","1054","2292","26","1238","24","1262","","0","1238","24","1262","55","1207","","","","","","","","","","","","","","","","5","2","91","803","5","61","6","128","5","23","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441082","112","Луганська область","пл.Леніна, 1, м.Рубіжне, Луганська обл., 93010","49.0295448","38.3649816","2010","991","1986","40","983","36","1019","","0","983","36","1019","35","984","","","","","","","","","","","","","","","","2","6","36","651","8","64","5","116","35","6","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441083","112","Луганська область","пл.Леніна, 1, м.Рубіжне, Луганська обл., 93010","49.0295448","38.3649816","2130","1026","2098","38","1072","32","1104","","0","1072","32","1104","43","1061","","","","","","","","","","","","","","","","2","8","68","660","2","93","4","115","12","20","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441084","112","Луганська область","вул.Мєндєлєєва, 35, м.Рубіжне, Луганська обл., 93010","49.0267317","38.3794976","2490","1205","2475","70","1229","56","1285","","0","1229","56","1285","52","1233","","","","","","","","","","","","","","","","5","6","66","816","8","69","5","134","13","15","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441085","112","Луганська область","пров.Клубний, 12, м.Рубіжне, Луганська обл., 93003","49.0174708","38.3716468","2454","1298","2428","63","1101","55","1156","","0","1101","55","1156","30","1126","","","","","","","","","","","","","","","","5","5","58","775","5","49","3","101","17","18","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441086","112","Луганська область","вул.Померанчука, 28, м.Рубіжне, Луганська обл., 93009","49.0211468","38.3565813","2292","1131","2319","75","1095","66","1161","","0","1095","66","1161","35","1126","","","","","","","","","","","","","","","","9","4","138","701","10","52","12","101","7","24","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441087","112","Луганська область","вул.Леніна, 19, м.Рубіжне, Луганська обл., 93009","49.0295448","38.3649816","2358","1274","2338","62","1030","54","1084","","0","1030","54","1084","39","1045","","","","","","","","","","","","","","","","1","2","106","642","5","58","3","115","18","13","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441088","112","Луганська область","вул.Леніна, 31, м.Рубіжне, Луганська обл., 93009","49.0297433","38.3636056","2322","1118","2280","66","1148","56","1204","","0","1148","56","1204","42","1162","","","","","","","","","","","","","","","","3","3","58","780","5","78","4","114","9","19","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441089","112","Луганська область","вул.Будівельників, 39, м.Рубіжне, Луганська обл., 93009","49.0325874","38.3569206","1638","812","1632","15","815","11","826","","0","815","11","826","40","786","","","","","","","","","","","","","","","","3","1","82","478","1","48","5","89","16","13","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441090","112","Луганська область","вул.Будівельників, 39, м.Рубіжне, Луганська обл., 93009","49.0325874","38.3569206","1590","921","1597","19","653","16","669","","0","653","16","669","34","635","","","","","","","","","","","","","","","","4","2","115","367","5","33","5","48","1","11","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441091","112","Луганська область","вул.Студентська, 19, м.Рубіжне, Луганська обл., 93009","49.0232438","38.3568494","102","57","46","27","18","27","45","","0","18","27","45","0","45","","","","","","","","","","","","","","","","0","0","4","20","1","5","1","9","1","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"441487","112","Луганська область","вул.Залізняка, 6Б, м.Брянка, Луганська обл., 94106","48.4987498","38.6469413","180","12","180","0","168","0","168","","0","168","0","168","5","163","","","","","","","","","","","","","","","","5","5","6","122","3","0","2","7","9","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"1","111","Луганська область","вул.Субботіна, 85А, смт Дзержинський, м.Ровеньки, Луганська обл.","","","16","0","16","0","16","0","16","","0","16","0","16","2","14","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","2","0","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440001","111","Луганська область","вул.Колгоспна, палац культури, с.Бобрикове, Антрацитівський р-н, Луганська обл., 94694","47.92916107","39.23321152","712","115","705","54","546","51","597","","0","546","51","597","17","580","","","","","","","","","","","","","","","","","","","","","","","","","","","4","46","29","15","2","474","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440006","111","Луганська область","пл.Леніна, 10, с.Дякове, Антрацитівський р-н, Луганська обл., 94690","47.9480254","39.1406983","2120","895","2081","109","1147","78","1225","","0","1147","78","1225","37","1188","","","","","","","","","","","","","","","","","","","","","","","","","","","25","230","128","30","4","746","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440022","111","Луганська область","вул.Комсомольська, 5, смт Нижній Нагольчик, Антрацитівський р-н, Луганська обл., 94686","48.01522827","39.06716919","1264","399","1245","82","787","78","865","","0","787","78","865","29","836","","","","","","","","","","","","","","","","","","","","","","","","","","","17","59","149","15","0","580","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440023","111","Луганська область","вул.Підлісна, 27А, с.Рафайлівка, Антрацитівський р-н, Луганська обл, 94682","48.12203","39.2016","864","264","849","66","535","65","600","","0","535","65","600","20","580","","","","","","","","","","","","","","","","","","","","","","","","","","","11","121","72","5","4","365","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440029","111","Луганська область","вул.Первомайська, 6А, с.Червона Поляна, Антрацитівський р-н, Луганська обл., 94660","48.24197","39.1034099","1312","455","1281","82","775","82","857","","0","775","82","857","27","830","","","","","","","","","","","","","","","","","","","","","","","","","","","24","99","101","14","1","577","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440030","111","Луганська область","вул.Первомайська, 12, с.Червона Поляна, Антрацитівський р-н, Луганська обл., 94660","48.24197","39.1034099","1136","384","1102","87","675","77","752","","0","675","77","752","21","731","","","","","","","","","","","","","","","","","","","","","","","","","","","23","85","77","7","6","515","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440031","111","Луганська область","вул.Центральна, фельдшерський пункт, с.Зеленодільське, Антрацитівський р-н, Луганська обл., 94663","48.21633148","39.20088959","152","43","148","7","102","7","109","","0","102","7","109","3","106","","","","","","","","","","","","","","","","","","","","","","","","","","","0","31","11","1","0","61","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"441016","111","Луганська область","вул.Алмазна, 8, м.Ровеньки, Луганська обл., 94706","48.0593079","39.3230583","2376","1104","2343","91","1192","80","1272","","0","1192","80","1272","68","1204","","","","","","","","","","","","","","","","","","","","","","","","","","","16","279","354","29","22","467","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441018","111","Луганська область","вул.Ціолковського, 19, м.Ровеньки, Луганська обл., 94706","48.0696261","39.2994095","560","182","560","42","338","40","378","","0","338","40","378","12","366","","","","","","","","","","","","","","","","","","","","","","","","","","","6","55","83","2","16","200","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"441021","111","Луганська область","вул.Чехова, 1, м.Ровеньки, Луганська обл., 94703","48.0737243","39.3513711","2320","1067","2288","72","1196","57","1253","","0","1196","57","1253","51","1202","","","","","","","","","","","","","","","","","","","","","","","","","","","30","306","218","28","13","574","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441022","111","Луганська область","вул.Комуністична, 9, м.Ровеньки, Луганська обл., 94701","48.0737243","39.3513711","1896","876","1880","62","962","58","1020","","0","962","58","1020","45","975","","","","","","","","","","","","","","","","","","","","","","","","","","","18","237","178","37","12","473","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441023","111","Луганська область","вул.Капанеллі, 3, м.Ровеньки, Луганська обл., 94701","48.0863675","39.3688161","1768","729","1745","57","997","42","1039","","0","997","42","1039","39","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","16","228","198","18","12","474","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441024","111","Луганська область","вул.Комуністична, 5, м.Ровеньки, Луганська обл., 94701","48.0874807","39.3660772","960","418","951","25","521","21","542","","0","521","21","542","23","519","","","","","","","","","","","","","","","","","","","","","","","","","","","6","132","74","20","4","264","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441025","111","Луганська область","вул.Енгельса, 8, м.Ровеньки, Луганська обл., 94701","48.0884689","39.3603902","1496","773","1462","40","692","31","723","","0","692","31","723","24","699","","","","","","","","","","","","","","","","","","","","","","","","","","","9","194","127","16","5","325","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441026","111","Луганська область","вул.Леніна, школа №5, м.Ровеньки, Луганська обл., 94701","48.0840956","39.3752183","928","317","916","47","567","44","611","","0","567","44","611","18","593","","","","","","","","","","","","","","","","","","","","","","","","","","","5","130","137","20","5","278","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441027","111","Луганська область","вул.Леніна, 112, м.Ровеньки, Луганська обл., 94701","48.0852126","39.373984","1432","654","1419","40","750","28","778","","0","750","28","778","30","748","","","","","","","","","","","","","","","","","","","","","","","","","","","8","177","127","21","11","380","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441028","111","Луганська область","вул.Карла Маркса, 153, м.Ровеньки, Луганська обл., 94701","48.0849901","39.3782969","720","315","721","44","369","36","405","","0","369","36","405","12","393","","","","","","","","","","","","","","","","","","","","","","","","","","","2","104","61","9","7","200","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441029","111","Луганська область","вул.Лісна, 1, м.Ровеньки, Луганська обл., 94701","48.0892014","39.3983443","192","10","199","96","100","82","182","","0","100","82","182","6","176","","","","","","","","","","","","","","","","","","","","","","","","","","","0","29","5","2","1","138","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441031","111","Луганська область","вул.Молодіжна, 48, м.Ровеньки, Луганська обл., 94702","48.1024531","39.3760985","2176","985","2145","50","1147","44","1191","","0","1146","44","1190","38","1152","","","","","","","","","","","","","","","","","","","","","","","","","","","16","296","211","30","9","563","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441032","111","Луганська область","вул.Шевченка, 38, м.Ровеньки, Луганська обл., 94701","48.0844233","39.3948353","1240","556","1216","27","662","22","684","","0","662","22","684","34","650","","","","","","","","","","","","","","","","","","","","","","","","","","","11","136","106","18","4","354","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441033","111","Луганська область","вул.Українська, 5А, м.Ровеньки, Луганська обл., 94707","48.0716961","39.3859363","1920","920","1904","65","943","57","1000","","0","943","57","1000","46","954","","","","","","","","","","","","","","","","","","","","","","","","","","","10","253","131","27","6","491","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"441034","111","Луганська область","вул.Тимирязєва, 3, м.Ровеньки, Луганська обл., 94701","48.0789226","39.3992064","1088","468","1083","38","589","31","620","","0","589","31","620","33","587","","","","","","","","","","","","","","","","","","","","","","","","","","","7","125","132","8","3","303","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"441035","111","Луганська область","вул.Дзержинського, 2, м.Ровеньки, Луганська обл., 94707","48.0698478","39.396034","1192","524","1189","29","644","24","668","","0","644","24","668","26","642","","","","","","","","","","","","","","","","","","","","","","","","","","","5","155","99","22","8","322","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
