"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Височанський
Роман
Романович","Гдичинський
Богдан
Петрович","Доній
Олександр
Сергійович","Левицький
Олександр
Михайлович","Панчук
Роман
Теодорович","Сава
Андрій
Богданович","Церковнюк
Дарія
Юріївна","Дата підписання протоколу"
"260340","88","Івано-Франківська область","клуб, актова зала
вул.Шкільна, 19, с.Сідлище, Коломийський р-н, Івано-Франківська обл., 78233","672","297","666","89","291","84","375","","0","291","84","375","8","367","16","104","65","164","6","2","10","29.10.12"
"260341","88","Івано-Франківська область","будинок культури, актова зала
вул.Жовтнева, 28, с.Лісний Хлібичин, Коломийський р-н, Івано-Франківська обл., 78234","1752","720","1728","58","982","50","1032","","0","982","50","1032","33","999","18","89","182","691","13","4","2","29.10.12"
"260342","88","Івано-Франківська область","клуб, актова зала
вул.Тараса Шевченка, 19А, с.Скопівка, Коломийський р-н, Івано-Франківська обл., 78235","328","118","324","7","205","5","210","","0","205","5","210","15","195","4","23","34","129","3","0","2","29.10.12"
"260343","88","Івано-Франківська область","будинок культури, актова зала
вул.Шкільна, 34, с.Товмачик, Коломийський р-н, Івано-Франківська обл., 78250","1256","553","1244","62","648","55","703","","0","648","55","703","13","690","10","185","260","207","12","12","4","29.10.12"
"260344","88","Івано-Франківська область","клуб, актова зала
вул.Центральна, 8А, с.Іванівці, Коломийський р-н, Івано-Франківська обл., 78251","1008","387","1007","66","560","61","621","","0","560","61","621","20","601","13","289","196","78","5","14","6","29.10.12"
"260345","88","Івано-Франківська область","школа, їдальня
вул.Незалежності, 2А, с.Коршів, Коломийський р-н, Івано-Франківська обл., 78240","1896","782","1884","104","1013","101","1114","","0","1013","101","1114","32","1082","12","113","325","613","3","7","9","29.10.12"
"260346","88","Івано-Франківська область","школа, спортзал
вул.П.Сагайдачного, 1Б, с.Ліски, Коломийський р-н, Івано-Франківська обл., 78242","704","186","697","37","482","36","518","","0","482","36","518","14","504","5","58","211","220","2","6","2","29.10.12"
"260347","88","Івано-Франківська область","клуб, актова зала
вул.Січових Стрільців, 11А, с.Казанів, Коломийський р-н, Івано-Франківська обл., 78241","824","313","809","46","466","45","511","","0","466","45","511","8","503","5","88","145","260","3","1","1","29.10.12"
"260348","88","Івано-Франківська область","адмінбудинок сільської ради, актова зала
вул.Л.Українки, 1А, с.Жукотин, Коломийський р-н, Івано-Франківська обл., 78237","824","343","813","50","431","50","481","","0","431","50","481","22","459","10","157","158","118","4","9","3","29.10.12"
"260349","88","Івано-Франківська область","клуб, актова зала
вул.Шевченка, 20, с.Богородичин, Коломийський р-н, Івано-Франківська обл., 78238","328","118","322","27","188","22","210","","0","188","22","210","7","203","1","50","56","88","8","0","0","29.10.12"
"260350","88","Івано-Франківська область","клуб, актова зала
вул.Українська, 41А, с.Черемхів, Коломийський р-н, Івано-Франківська обл., 78236","1160","527","1149","40","596","37","633","","0","596","37","633","24","609","13","73","123","385","6","4","5","29.10.12"
"260351","88","Івано-Франківська область","адмінбудинок сільської ради, зал засідань
пл.Героїв, 2, с.Торговиця, Коломийський р-н, Івано-Франківська обл., 78226","1208","584","1204","19","605","19","624","","0","605","19","624","16","608","8","46","78","459","8","3","6","01.11.12"
"260352","88","Івано-Франківська область","клуб, актова зала
вул.Т.Шевченка, 51, с.Закрівці, Коломийський р-н, Івано-Франківська обл., 78226","624","212","609","19","393","19","412","","0","393","19","412","3","409","3","48","46","311","1","0","0","01.11.12"
"260353","88","Івано-Франківська область","Інститут природничих наук Прикарпатського університету, ауд.203, 2-й поверх
вул.Олександра Мічуріна, 18, с.П’ядики, Коломийський р-н, Івано-Франківська обл., 78254","728","340","714","19","369","19","388","","0","369","19","388","9","379","3","81","145","140","5","3","2","29.10.12"
"260354","88","Івано-Франківська область","будинок культури, фойє
вул.Мирослава Ірчана, 2, с.П’ядики, Коломийський р-н, Івано-Франківська обл., 78254","2080","956","2055","45","1082","42","1124","","0","1082","42","1124","42","1082","16","268","381","389","8","14","6","29.10.12"
"260355","88","Івано-Франківська область","клуб, актова зала
вул.Михайла Грушевського, 2Д, с.Годи-Добровідка, Коломийський р-н, Івано-Франківська обл., 78246","784","252","776","40","494","38","532","","0","494","38","532","17","515","8","99","285","106","2","4","11","29.10.12"
"260356","88","Івано-Франківська область","клуб, актова зала
вул.Незалежності, 33, с.Мала Кам’янка, Коломийський р-н, Івано-Франківська обл., 78247","448","159","446","38","253","36","289","","0","253","36","289","15","274","3","74","95","96","1","1","4","29.10.12"
"260357","88","Івано-Франківська область","адмінбудинок сільської ради, актова зала
вул.Центральна, 45А, с.Лісна Слобідка, Коломийський р-н, Івано-Франківська обл., 78257","1256","517","1245","82","657","82","739","","0","657","82","739","18","721","7","119","139","441","5","3","7","29.10.12"
"260358","88","Івано-Франківська область","школа, спортзал
вул.Семена Височана, 2, с.Раківчик, Коломийський р-н, Івано-Франківська обл., 78248","832","331","820","52","450","51","501","","0","450","51","501","18","483","3","105","245","120","3","6","1","29.10.12"
"260359","88","Івано-Франківська область","народний дім, актова зала
вул.Тараса Шевченка, 135, с.Шепарівці, Коломийський р-н, Івано-Франківська обл., 78249","1272","493","1252","59","723","56","779","","0","723","56","779","8","771","3","120","430","188","3","22","5","30.10.12"
"260360","88","Івано-Франківська область","школа, актова зала
вул.Січових Стрільців, 37А, с.Велика Кам’янка, Коломийський р-н, Івано-Франківська обл., 78244","1664","700","1648","166","808","156","964","","0","808","156","964","40","924","15","98","473","307","4","9","18","29.10.12"
"260361","88","Івано-Франківська область","клуб, актова зала
вул.Грушевського, 2А, с.Фатовець, Коломийський р-н, Івано-Франківська обл., 78244","304","132","297","29","144","28","172","","0","144","28","172","7","165","2","33","79","51","0","0","0","29.10.12"
"260362","88","Івано-Франківська область","школа, спортзал
вул.Галицька, 2, с.Турка, Коломийський р-н, Івано-Франківська обл., 78253","2000","1007","1978","87","910","83","993","","0","910","83","993","44","949","9","296","231","379","12","11","11","29.10.12"
"260363","88","Івано-Франківська область","школа, спортзал
вул.Українська, 75А, с.Джурків, Коломийський р-н, Івано-Франківська обл., 78252","1168","490","1157","33","648","30","678","","0","648","30","678","25","653","9","297","71","265","1","8","2","29.10.12"
"260364","88","Івано-Франківська область","адмінбудинок сільської ради, актова зала
вул.Українська, 3, смт Гвіздець, Коломийський р-н, Івано-Франківська обл., 78260","1336","525","1312","55","763","48","811","","0","763","48","811","15","796","12","146","389","229","8","5","7","29.10.12"
"260365","88","Івано-Франківська область","ТзОВ АПФ""Левада"", їдальня
вул.Польова, ТзОВ АПФ""Левада"", с.Берем’яни, Коломийський р-н, Івано-Франківська обл., 78260","96","34","94","3","59","3","62","","0","59","3","62","2","60","0","19","22","18","1","0","0","29.10.12"
"260366","88","Івано-Франківська область","клуб, актова зала
вул.Івана Франка, 60, с.Остапківці, Коломийський р-н, Івано-Франківська обл., 78262","552","212","545","24","316","24","340","","0","316","24","340","7","333","2","110","123","87","2","6","3","29.10.12"
"260367","88","Івано-Франківська область","магазин ""Мирослава"", к.1
вул.Тараса Шевченка, 15, с.Чехова, Коломийський р-н, Івано-Франківська обл., 78262","272","86","266","22","164","22","186","","0","164","22","186","6","180","4","29","43","90","6","8","0","29.10.12"
"260368","88","Івано-Франківська область","будинок культури, фойє
вул.Незалежності, 19, смт Печеніжин, Коломийський р-н, Івано-Франківська обл., 78284","2096","917","2087","51","1128","51","1179","","0","1128","51","1179","13","1166","3","162","781","198","5","11","6","29.10.12"
"260369","88","Івано-Франківська область","школа, фойє
вул.Шевченка, 1, смт Печеніжин, Коломийський р-н, Івано-Франківська обл., 78284","1912","832","1910","56","1024","56","1080","","0","1024","56","1080","33","1047","10","155","655","210","9","4","4","29.10.12"
"260370","88","Івано-Франківська область","адмінбудинок сільської ради, фойє
вул.Січових Стрільців, 68, с.Молодятин, Коломийський р-н, Івано-Франківська обл., 78271","1384","675","1363","34","675","34","709","","0","675","34","709","28","681","5","128","325","190","2","24","7","29.10.12"
"260371","88","Івано-Франківська область","школа, фойє
вул.Тараса Шевченка, 64, с.Княждвір, Коломийський р-н, Івано-Франківська обл., 78294","1576","708","1548","95","782","86","868","","0","782","86","868","33","835","16","186","302","289","11","17","14","29.10.12"
"260372","88","Івано-Франківська область","школа, спортзал
вул.Тараса Шевченка, 15А, с.Кийданці, Коломийський р-н, Івано-Франківська обл., 78270","768","275","752","41","456","37","493","","0","456","37","493","18","475","2","122","155","188","3","2","3","29.10.12"
"260373","88","Івано-Франківська область","адмінбудинок сільської ради, актова зала
вул.Шкільна, 27, с.Королівка, Коломийський р-н, Івано-Франківська обл., 78214","880","300","883","16","564","16","580","","0","564","16","580","7","573","7","101","279","168","4","14","0","29.10.12"
"260374","88","Івано-Франківська область","народний дім, фойє
вул.Тараса Шевченка, 40Б, с.Воскресинці, Коломийський р-н, Івано-Франківська обл., 78213","1784","663","1751","46","1080","41","1121","","0","1080","41","1121","23","1098","5","160","604","298","6","24","1","29.10.12"
"260375","88","Івано-Франківська область","будинок культури, актова зала
вул.Перемоги, 24, с.Корнич, Коломийський р-н, Івано-Франківська обл., 78215","1656","675","1642","60","923","58","981","","0","923","58","981","27","954","8","179","430","312","6","11","8","29.10.12"
"260376","88","Івано-Франківська область","клуб, актова зала
вул.Тараса Шевченка, 63, с.Грушів, Коломийський р-н, Івано-Франківська обл., 78285","168","44","164","10","114","10","124","","0","114","10","124","4","120","4","46","43","22","4","1","0","29.10.12"
"260377","88","Івано-Франківська область","будинок культури, актова зала
вул.Відродження, 5А, с.Матеївці, Коломийський р-н, Івано-Франківська обл., 78267","840","244","829","40","559","37","596","","0","559","37","596","8","588","11","187","170","209","4","5","2","29.10.12"
"260378","88","Івано-Франківська область","народний дім, актова зала
вул.Івана Франка, 2, с.Перерив, Коломийський р-н, Івано-Франківська обл., 78268","568","161","551","18","391","16","407","","0","391","16","407","3","404","6","93","119","166","6","14","0","29.10.12"
"260379","88","Івано-Франківська область","клуб, актова зала
пров.Клубний, 1А, с.Семаківці, Коломийський р-н, Івано-Франківська обл., 78291","800","242","798","50","508","50","558","","0","508","50","558","9","549","3","478","37","31","0","0","0","29.10.12"
"260380","88","Івано-Франківська область","будинок культури, актова зала
вул.Шевченка, 4Б, с.Замулинці, Коломийський р-н, Івано-Франківська обл., 78292","760","191","743","56","513","56","569","","0","513","56","569","8","561","3","357","75","117","3","3","3","29.10.12"
"260381","88","Івано-Франківська область","адмінбудинок сільської ради, зал засідань
вул.Н.Яремчука, 11, с.Дебеславці, Коломийський р-н, Івано-Франківська обл., 78290","696","268","688","53","380","48","428","","0","380","48","428","11","417","5","107","176","119","6","3","1","29.10.12"
"260382","88","Івано-Франківська область","народний дім, актова зала
вул.Клубна, 2, с.Залуччя, Коломийський р-н, Івано-Франківська обл., 78284","528","172","523","23","335","21","356","","0","335","21","356","36","320","2","95","118","95","3","6","1","29.10.12"
"260383","88","Івано-Франківська область","клуб, актова зала
вул.Шевченка, 1, с.Ганнів, Коломийський р-н, Івано-Франківська обл., 78283","216","82","213","6","129","5","134","","0","129","5","134","1","133","3","48","52","28","1","1","0","29.10.12"
"260384","88","Івано-Франківська область","народний дім, актова зала
вул.Українська, 54, с.Пилипи, Коломийський р-н, Івано-Франківська обл., 78281","440","132","436","29","281","27","308","","0","281","27","308","4","304","1","69","154","77","0","2","1","29.10.12"
"260385","88","Івано-Франківська область","клуб, актова зала
вул.Січових Стрільців, 46, с.Кропивище, Коломийський р-н, Івано-Франківська обл., 78282","400","150","394","12","238","12","250","","0","238","12","250","9","241","10","83","81","59","4","4","0","29.10.12"
"260386","88","Івано-Франківська область","клуб, актова зала
вул.Миру, 2, с.Тростянка, Коломийський р-н, Івано-Франківська обл., 78286","400","139","389","24","237","24","261","","0","237","24","261","9","252","3","62","132","54","0","0","1","29.10.12"
"260387","88","Івано-Франківська область","школа, спортзал
вул.Шашкевича, 98А, с.Спас, Коломийський р-н, Івано-Франківська обл., 78219","1032","538","1031","22","472","22","494","","0","472","22","494","15","479","13","101","230","122","6","4","3","29.10.12"
"260388","88","Івано-Франківська область","народний дім, актова зала
вул.Шашкевича, 261А, с.Спас, Коломийський р-н, Івано-Франківська обл., 78219","1224","555","1209","17","653","16","669","","0","653","16","669","27","642","23","168","267","178","0","4","2","29.10.12"
"260389","88","Івано-Франківська область","будинок культури, фойє
вул.Шахтарська, 17, с.Ковалівка, Коломийський р-н, Івано-Франківська обл., 78293","1072","361","1052","34","678","33","711","","0","677","33","710","17","693","14","117","344","185","4","21","8","29.10.12"
"260390","88","Івано-Франківська область","народний дім, актова зала
вул.Січових Стрільців, 40, с.Мишин, Коломийський р-н, Івано-Франківська обл., 78280","1096","513","1095","36","554","29","583","","0","554","29","583","11","572","60","74","243","185","5","4","1","29.10.12"
"260391","88","Івано-Франківська область","школа, актова зала
вул.Січових Стрільців, 96, с.Мишин, Коломийський р-н, Івано-Франківська обл., 78280","1080","515","1067","29","537","28","565","","0","537","28","565","8","557","44","124","257","120","2","7","3","29.10.12"
"260392","88","Івано-Франківська область","школа, спортзал
вул.Відродження, 3, с.Великий Ключів, Коломийський р-н, Івано-Франківська обл., 78276","1400","782","1381","15","603","15","618","","0","603","15","618","21","597","47","60","349","126","5","9","1","29.10.12"
"260393","88","Івано-Франківська область","школа, актова зала
вул.Відродження, 3, с.Великий Ключів, Коломийський р-н, Івано-Франківська обл., 78276","1240","655","1227","13","572","13","585","","0","572","13","585","24","561","44","47","346","120","3","1","0","29.10.12"
"260394","88","Івано-Франківська область","клуб, актова зала
вул.Тараса Шевченка, 24Б, с.Верхній Вербіж, Коломийський р-н, Івано-Франківська обл., 78216","1176","508","1158","41","627","41","668","","0","627","41","668","18","650","11","105","321","205","4","3","1","29.10.12"
"260395","88","Івано-Франківська область","школа, фойє
вул.Українська, 113А, с.Нижній Вербіж, Коломийський р-н, Івано-Франківська обл., 78218","2112","871","2084","66","1176","65","1241","","0","1176","65","1241","30","1211","11","203","679","284","4","23","7","29.10.12"
"260396","88","Івано-Франківська область","будинок культури, актова зала
вул.Василя Стефаника, 40, с.Сопів, Коломийський р-н, Івано-Франківська обл., 78217","2144","902","2133","76","1176","66","1242","","0","1176","66","1242","24","1218","8","147","719","310","15","12","7","29.10.12"
"260397","88","Івано-Франківська область","клуб, актова зала
вул.Січових Стрільців, 2, с.Малий Ключів, Коломийський р-н, Івано-Франківська обл., 78266","984","503","980","44","439","42","481","","0","439","42","481","28","453","10","116","169","130","3","24","1","29.10.12"
"260398","88","Івано-Франківська область","адмінбудинок сільської ради, зал засідань
вул.Січових Стрільців, 88, с.Марківка, Коломийський р-н, Івано-Франківська обл., 78273","840","370","828","28","444","26","470","","0","444","26","470","16","454","3","96","227","113","4","10","1","29.10.12"
"260399","88","Івано-Франківська область","школа, актова зала
вул.Т.Шевченка, 65, с.Рунгури, Коломийський р-н, Івано-Франківська обл., 78272","1968","930","1940","78","987","51","1038","","0","987","51","1038","24","1014","6","124","458","408","11","4","3","29.10.12"
"260400","88","Івано-Франківська область","народний дім, актова зала
вул.Івана Франка, 39, с.Слобода, Коломийський р-н, Івано-Франківська обл., 78278","840","342","842","40","459","39","498","","0","459","39","498","13","485","9","75","147","245","2","3","4","29.10.12"
"260401","88","Івано-Франківська область","будинок культури, актова зала
вул.Українська, 66, с.Ценява, Коломийський р-н, Івано-Франківська обл., 78255","1256","563","1239","51","651","42","693","","0","651","42","693","15","678","9","157","163","305","11","28","5","29.10.12"
"260402","88","Івано-Франківська область","школа, актова зала
вул.Тараса Шевченка, 15, с.Підгайчики, Коломийський р-н, Івано-Франківська обл., 78256","2064","965","2050","55","1046","53","1099","","0","1046","53","1099","34","1065","6","332","393","313","5","11","5","29.10.12"
"260403","88","Івано-Франківська область","школа, актова зала
вул.Українська, 13А, с.Загайпіль, Коломийський р-н, Івано-Франківська обл., 78264","592","203","576","31","362","27","389","","0","362","27","389","5","384","4","180","130","64","3","2","1","29.10.12"
"260404","88","Івано-Франківська область","школа, актова зала
вул.Шевченка, 1А, с.Назірна, Коломийський р-н, Івано-Франківська обл., 78265","296","77","291","12","207","12","219","","0","207","12","219","8","211","4","53","83","65","2","1","3","29.10.12"
