"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Виноградник
Тарас
Теофілович","Волощук
Ігор
Іванович","Галига
Петро
Степанович","Гергелюк
Володимир
Іванович","Зелінський
Микола
Романович","Круховська
Галина
Василівна","Круць
Микола
Федорович","Купчак
Володимир
Романович","Людера
Володимир
Ярославович","Мельник
Василь
Іванович","Олексюк
Олег
Миколайович","Пилянська
Марта
Ігорівна","Поліш
Володимир
Віталійович","Симак
Дмитро
Михайлович","Фученко
Василь
Павлович","Шевчук
Євген
Вільямович","Дата підписання протоколу"
"260145","84","Івано-Франківська область","сільський клуб, зал засідань
вул.Івасюка, 3 с.Куничі, Галицький р-н, Івано-Фраківська обл., 77110","160","12","161","18","130","18","148","","0","130","18","148","1","147","1","3","1","6","0","0","27","81","1","0","3","0","4","20","0","0","29.10.12"
"260146","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Січових Стрільців, 2, с.Нові Скоморохи, Галицький р-н, Івано-Франківська обл., 77123","452","164","443","63","235","53","288","","0","235","53","288","14","274","0","5","3","7","1","1","81","75","2","0","5","1","22","71","0","0","29.10.12"
"260147","84","Івано-Франківська область","школа, актовий зал
вул.Воїнів УПА, 18, с.Старі Скоморохи, Галицький р-н, Івано-Франківська обл., 77124","276","106","277","42","129","41","170","","0","129","41","170","4","166","0","7","0","10","0","0","37","42","0","0","0","0","1","69","0","0","28.10.12"
"260148","84","Івано-Франківська область","сільський клуб, зал
вул.І.Франка, 122А, с.Озеряни, Галицький р-н, Івано-Франківська обл., 77120","352","128","350","8","216","8","224","","0","216","8","224","2","222","1","8","0","23","2","4","55","72","3","1","5","2","16","29","0","1","29.10.12"
"260149","84","Івано-Франківська область","сільський клуб, зал
вул.Т.Шевченка, 106А, с.Слобода, Галицький р-н, Івано-Франківська обл., 77121","332","61","340","16","256","15","271","","0","256","15","271","5","266","2","8","3","15","25","1","40","99","2","0","4","1","11","53","0","2","29.10.12"
"260150","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Зелена, сільський клуб, с.Перлівці, Галицький р-н, Івано-Франківська обл., 77150","84","14","85","8","62","8","70","","0","62","8","70","1","69","0","6","0","0","0","0","6","47","0","0","1","0","4","5","0","0","29.10.12"
"260151","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Центральна, 114, с.Острів, Галицький р-н, Івано-Франківська обл., 77151","120","26","118","11","83","11","94","","0","83","11","94","1","93","3","3","1","4","1","0","21","41","0","2","4","0","4","8","0","1","28.10.12"
"260152","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Шевченка, 17, с.Суботів, Галицький р-н, Івано-Франківська обл., 77151","68","15","67","11","42","11","53","","0","42","11","53","1","52","0","4","0","1","0","0","13","29","0","0","2","0","1","2","0","0","29.10.12"
"260153","84","Івано-Франківська область","сільський клуб, зал
вул.Лесі Українки, 58А, с.Поділля, Галицький р-н, Івано-Франківська обл., 77125","268","95","261","0","173","0","173","","0","173","0","173","8","165","3","8","0","8","1","1","42","78","1","2","0","0","3","18","0","0","29.10.12"
"260155","84","Івано-Франківська область","сільський клуб, зал
вул.Польова, 1, с.Старий Мартинів, Галицький р-н, Івано-Франківська обл., 77130","376","103","373","33","240","33","273","","0","240","33","273","4","269","1","11","1","7","2","1","27","169","1","2","1","0","6","40","0","0","29.10.12"
"260156","84","Івано-Франківська область","сільський клуб, зал
вул.Шевченка, сільський клуб, с.Різдвяни, Галицький р-н, Івано-Франківська обл., 77130","148","29","147","15","104","15","119","","0","104","15","119","7","112","0","7","0","9","0","1","23","61","3","0","1","1","3","3","0","0","29.10.12"
"260157","84","Івано-Франківська область","сільський клуб, зал
вул.Шевченка, 12, с.Новий Мартинів, Галицький р-н, Івано-Франківська обл., 77130","320","79","296","19","224","17","241","","0","224","17","241","12","229","4","6","0","16","1","1","70","80","4","1","2","2","3","39","0","0","29.10.12"
"260158","84","Івано-Франківська область","адмінбудинок сільської ради, зал засідань
вул.Івана Франка, 20, с.Тенетники, Галицький р-н, Івано-Франківська обл., 77116","396","108","395","35","257","31","288","","0","257","31","288","0","288","4","8","1","13","1","0","75","102","1","3","5","2","10","62","1","0","29.10.12"
"260159","84","Івано-Франківська область","сільський клуб, зал
вул.Центральна, 114А, с.Тумир, Галицький р-н, Івано-Франківська обл., 77182","540","232","536","48","260","48","308","","0","260","48","308","10","298","0","3","3","22","7","2","141","81","1","0","8","1","1","28","0","0","29.10.12"
"260160","84","Івано-Франківська область","будинок культури, танцювальний зал
просп.Незалежності, 2, с.Тустань, Галицький р-н, Івано-Франківська обл., 77170","1040","296","1027","39","705","39","744","","0","705","39","744","13","731","4","6","5","42","7","1","206","381","3","0","4","2","12","51","4","3","29.10.12"
"260161","84","Івано-Франківська область","сільський клуб, зал
вул.Шевченка, 1, с.Яблунів, Галицький р-н, Івано-Франківська обл., 77144","388","87","383","44","257","44","301","","0","257","44","301","3","298","2","1","0","14","0","1","53","200","1","0","1","0","11","14","0","0","28.10.12"
"260162","84","Івано-Франківська область","центральна районна лікарня, вестибюль
вул.Я.Осмомисла, 15, м.Галич, Галицький р-н, Івано-Франківська обл., 77100","156","128","33","20","13","15","28","","0","13","15","28","0","28","0","2","0","3","1","0","4","14","0","0","0","0","1","3","0","0","29.10.12"
"260163","84","Івано-Франківська область","Бурштинська міська лікарня, бібліотека
вул.Романа Шухевича, 18, м.Бурштин, Галицький р-н, Івано-Франківська обл., 77111","144","122","24","8","14","8","22","","0","14","8","22","1","21","1","0","0","1","0","0","3","11","0","0","1","0","0","4","0","0","29.10.12"
"260164","84","Івано-Франківська область","Галицька виправна колонія №128, клуб
вул.Шевченка, 3, с.Маріямпіль, Галицький р-н, Івано-Франківська обл., 77181","224","14","220","0","210","0","210","","0","210","0","210","16","194","2","26","0","7","2","2","97","22","0","3","2","0","25","4","0","2","29.10.12"
"260727","84","Івано-Франківська область","центр культури та дозвілля ""Відродження"", зал
вул.Галицька, 32, м.Тисмениця, Тисменицький р-н, Івано-Франківська обл., 77400","1588","612","1573","38","941","35","976","","0","941","35","976","24","952","5","64","68","56","26","4","91","521","3","16","6","1","78","8","4","1","29.10.12"
"260728","84","Івано-Франківська область","народний дім, фойє
вул.Галицька, 15, м.Тисмениця, Тисменицький р-н, Івано-Франківська обл., 77400","1028","363","1034","13","654","11","665","","0","654","11","665","11","654","3","34","54","46","13","4","74","328","0","14","3","0","72","6","3","0","29.10.12"
"260729","84","Івано-Франківська область","хутрофірма ""Тисмениця"", зал
вул.Вербова, 9, м.Тисмениця, Тисменицький р-н, Івано-Франківська обл., 77400","1818","722","1801","14","1084","12","1096","","0","1084","12","1096","15","1081","1","26","111","64","7","0","129","575","0","22","8","1","112","15","7","3","29.10.12"
"260730","84","Івано-Франківська область","школа, фойє
вул.Липова, 14, м.Тисмениця, Тисменицький р-н, Івано-Франківська обл., 77400","1784","780","1767","8","998","6","1004","","0","998","6","1004","18","986","9","46","69","87","28","7","122","469","4","30","8","3","66","12","25","1","29.10.12"
"260731","84","Івано-Франківська область","клуб ""Слобода"", зал
вул.Слобода, 2, м.Тисмениця, Тисменицький р-н, Івано-Франківська обл., 77400","764","272","761","11","481","11","492","","0","481","11","492","6","486","2","19","37","22","10","1","88","250","1","15","1","0","30","5","4","1","29.10.12"
"260732","84","Івано-Франківська область","ТзОВ ""Будгаз"", зал
вул.Шевченка, 51, м.Тисмениця, Тисменицький р-н, Івано-Франківська обл., 77400","996","274","999","13","709","13","722","","0","709","13","722","18","704","0","15","70","23","13","1","42","420","6","13","0","0","79","12","10","0","29.10.12"
"260733","84","Івано-Франківська область","народний дім, зал
вул.С.Бандери, 54, смт Єзупіль, Тисменицький р-н, Івано-Франківська обл., 77411","2248","617","2232","100","1535","96","1631","","0","1535","96","1631","39","1592","20","29","9","149","127","8","265","813","7","10","10","4","69","70","1","1","29.10.12"
"260734","84","Івано-Франківська область","будинок культури, актовий зал
вул.Січових Стрільців, 48, смт Лисець, Тисменицький р-н, Івано-Франківська обл., 77455","2268","780","2243","60","1434","54","1488","","0","1434","54","1488","36","1452","18","56","13","192","74","12","216","693","6","20","23","9","66","33","8","13","29.10.12"
"260735","84","Івано-Франківська область","школа, спортзал
вул.Т.Шевченка, 23, с.Березівка, Тисменицький р-н, Івано-Франківська обл., 77461","1048","289","1054","24","735","24","759","","0","735","24","759","14","745","8","9","6","68","53","4","197","351","1","7","5","4","11","19","0","2","29.10.12"
"260736","84","Івано-Франківська область","школа, спортзал
вул.Т.Шевченка, 89, с.Братківці, Тисменицький р-н, Івано-Франківська обл., 77462","1780","553","1774","63","1167","60","1227","","0","1167","60","1227","30","1197","9","10","5","135","120","1","203","611","2","26","26","2","15","31","0","1","29.10.12"
"260737","84","Івано-Франківська область","будинок культури, зал
вул.Осередок, 95, с.Вільшаниця, Тисменицький р-н, Івано-Франківська обл., 77440","1276","401","1268","83","798","77","875","","0","798","77","875","19","856","7","17","9","58","107","2","199","378","2","13","14","1","30","16","1","2","29.10.12"
"260738","84","Івано-Франківська область","будинок культури, зал
вул.Незалежності, 2А, с.Ганнусівка, Тисменицький р-н, Івано-Франківська обл., 77431","944","298","940","64","584","62","646","","0","584","62","646","14","632","7","8","6","57","57","4","135","323","0","8","5","1","15","6","0","0","29.10.12"
"260739","84","Івано-Франківська область","сільський клуб, зал
вул.Т.Шевченка, 38, с.Добровляни, Тисменицький р-н, Івано-Франківська обл., 77434","144","21","146","10","113","10","123","","0","113","10","123","2","121","3","1","0","7","1","0","30","72","1","0","0","0","0","5","0","1","29.10.12"
"260740","84","Івано-Франківська область","сільський клуб, зал
вул.Лесі Українки, 29, с.Довге, Тисменицький р-н, Івано-Франківська обл., 77433","504","163","505","53","292","49","341","","0","292","49","341","3","338","0","15","2","12","14","1","46","131","1","1","2","1","106","6","0","0","29.10.12"
"260741","84","Івано-Франківська область","будинок культури, зал
вул.Незалежності, 77, с.Драгомирчани, Тисменицький р-н, Івано-Франківська обл., 77454","1400","474","1390","34","900","26","926","","0","900","26","926","22","904","4","13","2","87","16","3","103","567","1","12","16","2","38","33","2","5","29.10.12"
"260742","84","Івано-Франківська область","будинок культури, зал-фойє
вул.Липова-Осада, 22Г, с.Загвіздя, Тисменицький р-н, Івано-Франківська обл., 77450","1528","556","1513","44","929","43","972","","0","929","43","972","26","946","6","14","3","99","40","4","161","527","12","4","36","1","10","22","4","3","29.10.12"
"260743","84","Івано-Франківська область","будинок культури, бібліотека
вул.Липова-Осада, 22Г, с.Загвіздя, Тисменицький р-н, Івано-Франківська обл., 77450","1524","505","1522","26","995","24","1019","","0","995","24","1019","20","999","11","14","8","112","37","4","186","503","16","11","45","0","23","24","1","4","29.10.12"
"260744","84","Івано-Франківська область","сільська рада, депутатська кімната
вул.Миру, 1, с.Клубівці, Тисменицький р-н, Івано-Франківська обл., 77443","1104","400","1095","37","668","36","704","","0","668","36","704","16","688","11","25","17","40","43","0","152","339","3","8","2","3","30","12","3","0","29.10.12"
"260745","84","Івано-Франківська область","сільська рада, зал урочистих подій
вул.Лесі Українки, 26А, с.Клузів, Тисменицький р-н, Івано-Франківська обл., 77423","436","103","432","6","327","6","333","","0","327","6","333","2","331","1","11","0","11","9","2","171","107","0","5","3","0","3","7","0","1","29.10.12"
"260746","84","Івано-Франківська область","сільська рада, зал
вул.Незалежності, 23, с.Козина, Тисменицький р-н, Івано-Франківська обл., 77410","508","120","506","26","363","25","388","","0","363","25","388","12","376","4","27","1","17","33","0","146","121","1","3","4","0","8","11","0","0","29.10.12"
"260747","84","Івано-Франківська область","школа, їдальня
вул.Лесі Українки, 1, с.Колодіївка, Тисменицький р-н, Івано-Франківська обл., 77435","456","137","454","25","298","21","319","","0","298","21","319","6","313","2","8","0","11","16","1","83","182","2","0","3","0","1","3","0","1","29.10.12"
"260748","84","Івано-Франківська область","будинок культури, зал
вул.Незалежності, 4, с.Липівка, Тисменицький р-н, Івано-Франківська обл., 77463","1756","695","1745","59","1003","58","1061","","0","1003","58","1061","28","1033","36","25","7","119","64","5","152","504","4","26","8","6","19","51","3","4","29.10.12"
"260749","84","Івано-Франківська область","школа, хол
вул.Січових Стрільців, 1, с.Майдан, Тисменицький р-н, Івано-Франківська обл., 77420","848","145","835","77","628","75","703","","0","628","75","703","9","694","4","85","2","43","247","5","32","249","0","1","1","2","6","16","0","1","29.10.12"
"260750","84","Івано-Франківська область","сільський клуб, хол
вул.Суха ліщина, 6, с.Нова Гута, Тисменицький р-н, Івано-Франківська обл., 77420","128","37","122","5","86","5","91","","0","86","5","91","2","89","0","12","3","5","6","0","20","35","0","0","2","0","0","4","2","0","29.10.12"
"260751","84","Івано-Франківська область","школа, хол
вул.Шкільна, 1А, с.Марківці, Тисменицький р-н, Івано-Франківська обл., 77470","804","267","794","48","489","48","537","","0","489","48","537","6","531","5","9","7","49","22","6","110","263","0","23","9","1","7","18","0","2","29.10.12"
"260752","84","Івано-Франківська область","сільський клуб, зал
вул.Слобідська, сільський клуб, с.Одаї, Тисменицький р-н, Івано-Франківська обл., 77470","456","169","453","19","269","18","287","","0","269","18","287","9","278","8","23","1","27","4","1","30","142","1","21","2","0","11","4","2","1","29.10.12"
"260753","84","Івано-Франківська область","сільський клуб, зал
вул.Просвіта, сільський клуб, с.Милування, Тисменицький р-н, Івано-Франківська обл., 77437","812","181","810","45","586","45","631","","0","586","45","631","14","617","0","27","14","49","26","4","116","333","0","8","4","0","18","11","4","3","29.10.12"
"260754","84","Івано-Франківська область","будинок культури, малий зал
вул.Грушевського, 6А, с.Нові Кривотули, Тисменицький р-н, Івано-Франківська обл., 77473","796","256","790","29","514","26","540","","0","514","26","540","5","535","8","29","4","15","12","1","97","347","1","5","1","0","9","4","0","2","29.10.12"
"260755","84","Івано-Франківська область","школа, спортзал
вул.Центральна, 16А, с.Терновиця, Тисменицький р-н, Івано-Франківська обл., 77473","252","72","251","14","166","14","180","","0","166","14","180","4","176","3","10","0","6","1","1","40","102","0","5","0","0","7","1","0","0","29.10.12"
"260756","84","Івано-Франківська область","школа, спортзал
вул.Павла Кочуга, 4, с.Павлівка, Тисменицький р-н, Івано-Франківська обл., 77421","1728","465","1723","100","1188","75","1263","","0","1188","75","1263","10","1253","5","18","19","63","365","1","207","475","1","9","5","4","35","38","5","3","29.10.12"
"260757","84","Івано-Франківська область","будинок культури, зал
вул.Т.Шевченка, 94, с.Підлісся, Тисменицький р-н, Івано-Франківська обл., 77451","1888","648","1891","65","1178","62","1240","","0","1178","62","1240","34","1206","17","14","10","115","24","4","360","543","6","5","14","6","42","38","1","7","29.10.12"
"260758","84","Івано-Франківська область","будинок культури, зал
вул.Шевченка, 27, с.Підлужжя, Тисменицький р-н, Івано-Франківська обл., 77442","1432","379","1424","44","1009","44","1053","","0","1009","44","1053","38","1015","14","27","11","87","38","9","187","514","3","7","18","12","35","46","2","5","29.10.12"
"260759","84","Івано-Франківська область","будинок культури, великий зал
вул.Січових Стрільців, 2, с.Підпечери, Тисменицький р-н, Івано-Франківська обл., 77441","2064","552","2057","93","1420","92","1512","","0","1420","92","1512","32","1480","13","20","154","37","9","8","248","796","3","16","14","6","97","47","3","9","29.10.12"
"260760","84","Івано-Франківська область","сільський клуб, актовий зал
вул.Т.Шевченка, 100, с.Побережжя, Тисменицький р-н, Івано-Франківська обл., 77430","1464","435","1458","97","934","95","1029","","0","934","95","1029","21","1008","3","23","23","125","251","4","114","406","2","8","7","0","10","27","0","5","29.10.12"
"260761","84","Івано-Франківська область","сільська рада, кімната
вул.Монастирська, 6, с.Посіч, Тисменицький р-н, Івано-Франківська обл., 77452","84","29","83","0","55","0","55","","0","55","0","55","0","55","0","0","1","8","1","1","28","14","0","0","1","0","1","0","0","0","28.10.12"
"260762","84","Івано-Франківська область","школа, спортзал
вул.Івана Франка, 10, с.Пшеничники, Тисменицький р-н, Івано-Франківська обл., 77407","1072","377","1063","45","650","45","695","","0","650","45","695","15","680","10","15","5","82","12","0","221","267","2","48","0","1","8","5","2","2","29.10.12"
"260763","84","Івано-Франківська область","школа, хол
вул.Т.Шевченка, 40, с.Радча, Тисменицький р-н, Івано-Франківська обл., 77457","2408","692","2392","80","1637","79","1716","","0","1637","79","1716","45","1671","14","39","10","176","18","7","305","949","8","22","23","5","35","52","0","8","29.10.12"
"260764","84","Івано-Франківська область","сільський клуб, зал
вул.І.Франка, 57А, с.Рибне, Тисменицький р-н, Івано-Франківська обл., 77421","248","35","248","15","200","13","213","","0","200","13","213","3","210","0","8","0","8","0","1","99","73","1","2","1","1","5","11","0","0","29.10.12"
"260765","84","Івано-Франківська область","адмінбудинок, актовий зал
вул.Гостинець, 99А, с.Рошнів, Тисменицький р-н, Івано-Франківська обл., 77436","648","191","644","48","409","48","457","","0","409","48","457","11","446","1","29","15","19","31","2","148","166","0","6","2","0","18","8","0","1","29.10.12"
"260766","84","Івано-Франківська область","будинок культури, фойє
вул.Зузука, 7, с.Сілець, Тисменицький р-н, Івано-Франківська обл., 77414","1040","233","1033","22","788","19","807","","0","788","19","807","5","802","3","12","2","52","63","1","209","384","1","3","11","1","16","42","1","1","29.10.12"
"260767","84","Івано-Франківська область","школа, фойє
вул.Незалежності, 50, с.Слобідка, Тисменицький р-н, Івано-Франківська обл., 77472","960","289","952","47","624","47","671","","0","624","47","671","16","655","5","48","4","31","14","2","224","257","0","44","6","0","8","11","0","1","29.10.12"
"260768","84","Івано-Франківська область","школа, актовий зал
вул.Лесі Українки, 9, с.Старі Кривотули, Тисменицький р-н, Івано-Франківська обл., 77474","1544","562","1537","45","939","43","982","","0","939","43","982","13","969","4","35","4","49","16","1","312","462","1","44","5","1","18","12","3","2","29.10.12"
"260769","84","Івано-Франківська область","сільський клуб, актовий зал
вул.І.Франка, 1, с.Красилівка, Тисменицький р-н, Івано-Франківська обл., 77474","884","308","881","34","546","30","576","","0","546","30","576","19","557","5","10","5","49","8","6","195","214","2","9","1","2","37","12","0","2","29.10.12"
"260770","84","Івано-Франківська область","будинок культури, зал 1
вул.Франка, 86А, с.Старий Лисець, Тисменицький р-н, Івано-Франківська обл., 77452","660","244","652","3","413","3","416","","0","413","3","416","13","403","7","9","3","71","15","0","66","180","2","14","9","4","13","4","2","4","29.10.12"
"260771","84","Івано-Франківська область","будинок культури, зал 2
вул.Франка, 86А, с.Старий Лисець, Тисменицький р-н, Івано-Франківська обл., 77452","2384","912","2370","38","1435","37","1472","","0","1435","37","1472","35","1437","6","39","7","164","34","6","252","749","6","72","11","2","49","29","2","9","29.10.12"
"260772","84","Івано-Франківська область","школа, спортзал
вул.Центральна, 51А, с.Стебник, Тисменицький р-н, Івано-Франківська обл., 77453","624","182","627","28","415","27","442","","0","415","27","442","16","426","5","14","5","26","4","2","193","114","4","10","5","0","22","19","2","1","29.10.12"
"260773","84","Івано-Франківська область","школа, спортзал
вул.Шкільна, 28, с.Стриганці, Тисменицький р-н, Івано-Франківська обл., 77432","692","169","685","41","487","36","523","","0","487","36","523","10","513","2","24","1","42","48","1","113","244","0","12","0","1","15","7","1","2","29.10.12"
"260774","84","Івано-Франківська область","будинок культури, зал
вул.Галицька, 5Б, с.Тязів, Тисменицький р-н, Івано-Франківська обл., 77415","944","206","935","47","691","47","738","","0","691","47","738","14","724","2","26","3","54","75","1","178","343","2","5","7","1","4","23","0","0","29.10.12"
"260775","84","Івано-Франківська область","будинок культури, зал
вул.Незалежності, 223А, с.Угринів, Тисменицький р-н, Івано-Франківська обл., 77423","2168","741","2166","30","1399","28","1427","","0","1399","28","1427","31","1396","7","26","7","160","97","11","263","671","2","21","28","11","34","45","4","9","29.10.12"
"260776","84","Івано-Франківська область","школа, спортзал
вул.Незалежності, 188А, с.Угринів, Тисменицький р-н, Івано-Франківська обл., 77423","1044","360","1045","25","662","22","684","","0","662","22","684","13","671","0","29","5","55","98","3","113","268","1","11","8","4","37","32","1","6","29.10.12"
"260777","84","Івано-Франківська область","школа, актовий зал
вул.Молодіжна, 14, с.Узин, Тисменицький р-н, Івано-Франківська обл., 77434","696","243","686","40","414","39","453","","0","414","39","453","25","428","13","39","3","23","32","2","115","171","0","6","3","7","6","2","1","5","29.10.12"
"260778","84","Івано-Франківська область","будинок культури, зал
вул.Шевченка, 26, с.Хом’яківка, Тисменицький р-н, Івано-Франківська обл., 77408","696","228","694","28","441","27","468","","0","441","27","468","10","458","0","17","19","23","4","0","60","179","0","110","1","2","23","16","1","3","29.10.12"
"260779","84","Івано-Франківська область","будинок культури, зал
вул.Січових Стрільців, 9, с.Черніїв, Тисменицький р-н, Івано-Франківська обл., 77460","1372","490","1359","28","856","26","882","","0","856","26","882","29","853","13","13","4","92","38","7","129","495","1","14","5","6","7","24","3","2","29.10.12"
"260780","84","Івано-Франківська область","школа, спортзал
вул.Грушевського, 7, с.Черніїв, Тисменицький р-н, Івано-Франківська обл., 77460","1792","676","1777","40","1079","37","1116","","0","1079","37","1116","30","1086","29","20","9","137","46","5","139","591","5","3","12","5","18","50","5","12","29.10.12"
"260781","84","Івано-Франківська область","школа, фойє
вул.Незалежності, 1А, с.Чорнолізці, Тисменицький р-н, Івано-Франківська обл., 77471","2356","848","2347","119","1391","117","1508","","0","1391","117","1508","9","1499","6","32","10","81","31","8","677","404","0","119","7","0","70","54","0","0","29.10.12"
"260782","84","Івано-Франківська область","будинок культури, зал
вул.Клубна, 1А, с.Чукалівка, Тисменицький р-н, Івано-Франківська обл., 77458","1336","439","1336","23","875","22","897","","0","875","22","897","19","878","6","10","13","113","12","5","186","451","3","10","17","4","16","23","4","5","29.10.12"
"260783","84","Івано-Франківська область","школа, фойє
вул.Галицька, 55, с.Ямниця, Тисменицький р-н, Івано-Франківська обл., 77422","1184","238","1173","51","895","51","946","","0","895","51","946","12","934","3","13","2","22","427","2","217","189","2","1","4","1","14","35","0","2","29.10.12"
"260784","84","Івано-Франківська область","школа, спортзал
вул.Галицька, 55, с.Ямниця, Тисменицький р-н, Івано-Франківська обл., 77422","1492","349","1478","50","1094","49","1143","","0","1094","49","1143","17","1126","2","5","3","30","584","3","207","239","3","2","7","0","13","28","0","0","29.10.12"
"260785","84","Івано-Франківська область","протитуберкульозний диспансер, актовий зал
вул.К.Левицького, 81А, м.Тисмениця, Тисменицький р-н, Івано-Франківська обл., 77400","80","22","75","13","51","7","58","","0","51","7","58","1","57","0","9","1","2","0","0","17","20","0","1","1","2","2","0","2","0","29.10.12"
"260786","84","Івано-Франківська область","центральна районна лікарня, конферензал
вул.Радчанська, 10, смт Лисець, Тисменицький р-н, Івано-Франківська обл., 77455","152","114","50","4","36","2","38","","0","36","2","38","5","33","0","4","1","1","3","1","5","14","0","0","0","0","1","2","0","1","29.10.12"
"260787","84","Івано-Франківська область","народний дім, фойє
вул.Грушевського, 2, м.Тлумач, Тлумацький р-н, Івано-Франківська обл., 78000","1580","679","1558","16","885","16","901","","0","885","16","901","26","875","13","13","6","131","24","25","94","396","1","19","8","0","110","16","5","14","29.10.12"
"260788","84","Івано-Франківська область","школа, актовий зал
вул.Макуха, 11, м.Тлумач, Тлумацький р-н, Івано-Франківська обл., 78000","1664","746","1610","13","905","13","918","","0","905","13","918","27","891","15","13","12","190","30","12","82","381","2","10","6","2","114","6","2","14","29.10.12"
"260789","84","Івано-Франківська область","дитячий садок ""Дюймовочка"", актовий зал
вул.Берегового, 2, м.Тлумач, Тлумацький р-н, Івано-Франківська обл., 78000","1540","594","1520","11","936","10","946","","0","936","10","946","22","924","10","6","5","135","26","8","66","488","11","13","7","1","128","11","1","8","29.10.12"
"260790","84","Івано-Франківська область","дитячий садок ""Сонечко"", спортзал
вул.Шевченка, 18, м.Тлумач, Тлумацький р-н, Івано-Франківська обл., 78000","1776","745","1748","9","1024","7","1031","","0","1024","7","1031","23","1008","4","10","2","192","52","19","99","472","4","13","1","1","112","14","6","7","29.10.12"
"260791","84","Івано-Франківська область","школа, їдальня
вул.Хотимирська, 2А, смт Обертин, Тлумацький р-н, Івано-Франківська обл., 78060","1228","476","1222","64","692","60","752","","0","692","60","752","21","731","5","15","4","86","30","14","118","342","1","25","3","2","38","43","0","5","29.10.12"
"260792","84","Івано-Франківська область","народний дім, зал
вул.Незалежності, 11, смт Обертин, Тлумацький р-н, Івано-Франківська обл., 78060","1356","555","1335","75","732","69","801","","0","732","69","801","18","783","14","8","4","67","45","22","185","275","1","45","3","1","54","55","1","3","29.10.12"
"260793","84","Івано-Франківська область","школа, спортзал
вул.Січових Стрільців, 92, с.Гончарів, Тлумацький р-н, Івано-Франківська обл., 78060","396","127","396","24","245","24","269","","0","245","24","269","8","261","16","9","2","21","1","4","90","92","0","3","1","1","11","9","0","1","29.10.12"
"260794","84","Івано-Франківська область","народний дім, фойє
вул.Перемоги, 13, с.Бортники, Тлумацький р-н, Івано-Франківська обл., 78033","812","255","807","54","505","52","557","","0","505","52","557","10","547","13","6","9","61","9","7","110","289","2","4","0","0","29","3","3","2","29.10.12"
"260795","84","Івано-Франківська область","школа, актовий зал
вул.Гора, 28, с.Братишів, Тлумацький р-н, Івано-Франківська обл., 78014","740","171","734","51","522","47","569","","0","522","47","569","15","554","5","7","6","54","157","6","119","151","1","6","2","0","22","14","2","2","28.10.12"
"260796","84","Івано-Франківська область","клуб, зал
вул.Шевченка, 15А, с.Будзин, Тлумацький р-н, Івано-Франківська обл., 78022","640","324","629","97","229","87","316","","0","229","87","316","2","314","1","2","2","16","1","5","62","96","1","3","0","1","96","25","2","1","29.10.12"
"260797","84","Івано-Франківська область","клуб, зал
вул.І.Франка, 39, с.Одаїв, Тлумацький р-н, Івано-Франківська обл., 78022","232","78","230","40","114","40","154","","0","114","40","154","7","147","4","2","7","9","0","2","27","76","1","6","0","1","11","0","1","0","28.10.12"
"260798","84","Івано-Франківська область","клуб, зал
вул.М.Підгірянки, 79Д, с.Вікняни, Тлумацький р-н, Івано-Франківська обл., 78021","588","186","578","46","358","44","402","","0","358","44","402","3","399","6","1","2","16","79","6","53","119","1","5","2","1","89","10","7","2","29.10.12"
"260799","84","Івано-Франківська область","клуб, зал
вул.Л.Українки, 67, с.Гавриляк, Тлумацький р-н, Івано-Франківська обл., 78052","444","158","439","14","272","14","286","","0","272","14","286","18","268","2","12","2","15","0","16","150","44","0","9","1","0","6","10","0","1","28.10.12"
"260800","84","Івано-Франківська область","народний дім, фойє
вул.Шевченка, 1Б, с.Гарасимів, Тлумацький р-н, Івано-Франківська обл., 78051","1036","495","1031","58","487","54","541","","0","487","54","541","16","525","3","14","4","38","11","16","260","128","0","9","3","1","15","17","1","5","29.10.12"
"260801","84","Івано-Франківська область","клуб, зал
вул.Василенчука, 5А, с.Гостів, Тлумацький р-н, Івано-Франківська обл., 78032","748","258","747","55","435","55","490","","0","435","55","490","5","485","7","6","3","19","1","3","136","277","0","2","1","0","21","5","1","3","29.10.12"
"260802","84","Івано-Франківська область","школа, актовий зал
вул.Грушевського, 53, с.Гринівці, Тлумацький р-н, Івано-Франківська обл., 78006","924","335","908","57","533","56","589","","0","533","56","589","13","576","3","6","4","66","24","17","120","274","1","2","4","0","35","7","4","9","29.10.12"
