"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Келестин
Валерій
Васильович","Нижник
Олег
Богданович","Питлик
Василь
Михайлович","Сікора
Ольга
Мирославівна","Стула
Володимир
Михайлович","Турчин
Василь
Васильович","Федорів
Тарас
Федорович","Дата підписання протоколу"
"260289","85","Івано-Франківська область","народний дім, глядацька зала
вул.Івана Франка, 1А, с.Степанівка, Калуський р-н, Івано-Франківська обл., 77323","336","80","332","25","231","25","256","","0","231","25","256","10","246","47","46","16","114","0","21","2","28.10.12"
"260290","85","Івано-Франківська область","народний дім, актова зала
вул.Данила Галицького, 305А, с.Завій, Калуський р-н, Івано-Франківська обл., 77356","1544","428","1532","72","1044","72","1116","","0","1044","72","1116","41","1075","110","98","129","658","14","59","7","29.10.12"
"260291","85","Івано-Франківська область","школа, спортивний зал
вул.Тараса Шевченка, 111, с.Грабівка, Калуський р-н, Івано-Франківська обл., 77357","696","192","692","63","442","62","504","","0","442","62","504","17","487","75","34","72","293","2","10","1","29.10.12"
"260292","85","Івано-Франківська область","народний дім, зала для виступів
вул.Молодіжна, 48, с.Збора, Калуський р-н, Івано-Франківська обл., 77322","1128","445","1121","21","662","21","683","","0","662","21","683","27","656","72","182","45","305","12","34","6","29.10.12"
"260293","85","Івано-Франківська область","народний дім, кімната завідувача народним домом
вул.Зелена, 15А, с.Кулинка, Калуський р-н, Івано-Франківська обл., 77322","224","69","222","8","147","8","155","","0","147","8","155","5","150","38","19","7","80","0","4","2","29.10.12"
"260294","85","Івано-Франківська область","народний дім, актова зала
вул.Івана Франка, 78, с.Кадобна, Калуський р-н, Івано-Франківська обл., 77341","1016","246","993","56","714","56","770","","0","714","56","770","15","755","45","71","27","567","3","40","2","29.10.12"
"260295","85","Івано-Франківська область","народний дім, фойє
вул.50-річчя УПА, 1, с.Копанки, Калуський р-н, Івано-Франківська обл., 77341","1600","619","1589","71","910","71","981","","0","910","71","981","18","963","86","218","113","435","16","85","10","30.10.12"
"260296","85","Івано-Франківська область","народний дім, актова зала
вул.Івана Франка, 159, с.Кропивник, Калуський р-н, Івано-Франківська обл., 77340","1744","563","1726","80","1105","76","1181","","0","1105","76","1181","17","1164","49","173","73","805","2","55","7","29.10.12"
"260297","85","Івано-Франківська область","народний дім, актова зала
вул.Михайла Грушевського, 79, с.Лука, Калуський р-н, Івано-Франківська обл., 77310","368","121","362","38","209","38","247","","0","209","38","247","5","242","29","30","29","130","6","16","2","28.10.12"
"260298","85","Івано-Франківська область","народний дім, актова зала
вул.Безруких, 29, с.Діброва, Калуський р-н, Івано-Франківська обл., 77310","112","29","110","11","72","11","83","","0","72","11","83","3","80","8","5","3","60","2","1","1","28.10.12"
"260299","85","Івано-Франківська область","школа, фойє
вул.Тараса Шевченка, 26, с.Цвітова, Калуський р-н, Івано-Франківська обл., 77310","328","104","324","25","200","24","224","","0","200","24","224","11","213","34","17","19","128","6","9","0","29.10.12"
"260300","85","Івано-Франківська область","народний дім, актова зала
вул.Робітнича, 14, с.Мостище, Калуський р-н, Івано-Франківська обл., 77331","800","206","793","32","563","31","594","","0","563","31","594","14","580","34","102","62","330","5","41","6","29.10.12"
"260301","85","Івано-Франківська область","школа, актовий зал
вул.Підгірна, 65, с.Негівці, Калуський р-н, Івано-Франківська обл., 77325","992","311","984","51","631","50","681","","0","631","50","681","26","655","85","127","76","342","4","16","5","29.10.12"
"260302","85","Івано-Франківська область","народний дім, актова зала
вул.Чорновола, 99, с.Гуменів, Калуський р-н, Івано-Франківська обл., 77326","424","103","426","27","294","27","321","","0","294","27","321","16","305","66","79","27","119","2","12","0","29.10.12"
"260303","85","Івано-Франківська область","навчально-виховний комплекс, їдальня
вул.Тараса Шевченка, 64, с.Новиця, Калуський р-н, Івано-Франківська обл., 77360","1544","573","1534","46","927","44","971","","0","927","44","971","33","938","107","153","88","537","12","32","9","29.10.12"
"260304","85","Івано-Франківська область","народний дім, малий зал
вул.Тараса Шевченка, 75А, с.Новиця, Калуський р-н, Івано-Франківська обл., 77360","1456","566","1440","41","854","36","890","","0","854","36","890","26","864","81","178","96","441","8","36","24","29.10.12"
"260305","85","Івано-Франківська область","сільська рада, актова зала
вул.Незалежності, 7, с.Перевозець, Калуський р-н, Івано-Франківська обл., 77332","768","281","761","52","435","52","487","","0","435","52","487","16","471","46","47","79","254","7","35","3","29.10.12"
"260306","85","Івано-Франківська область","школа, класна кімната
вул.Лесі Українки, 3А, с.Кудлатівка, Калуський р-н, Івано-Франківська обл., 77332","376","79","369","14","283","14","297","","0","283","14","297","4","293","33","32","17","188","13","10","0","29.10.12"
"260307","85","Івано-Франківська область","народний дім, актова зала
вул.Миру, 18Б, с.Павликівка, Калуський р-н, Івано-Франківська обл., 77332","176","57","169","10","110","9","119","","0","110","9","119","5","114","8","7","8","74","11","6","0","28.10.12"
"260308","85","Івано-Франківська область","фельдшерсько-акушерський пункт, каб.2
вул.Тараса Шевченка, 6, с.Слобідка, Калуський р-н, Івано-Франківська обл., 77333","448","124","441","13","311","13","324","","0","311","13","324","11","313","27","44","26","189","7","19","1","29.10.12"
"260309","85","Івано-Франківська область","школа, спортивний зал
вул.Скородинського, 130, с.Підмихайля, Калуський р-н, Івано-Франківська обл., 77352","2264","658","2252","69","1539","67","1606","","0","1539","67","1606","44","1562","361","309","165","579","48","88","12","29.10.12"
"260310","85","Івано-Франківська область","школа, спортивний зал
вул.Михайла Грушевського, 76, с.Бережниця, Калуський р-н, Івано-Франківська обл., 77353","768","198","763","53","519","51","570","","0","519","51","570","24","546","94","89","69","258","6","26","4","29.10.12"
"260311","85","Івано-Франківська область","школа, їдальня
вул.Михайла Грушевського, 76, с.Пійло, Калуський р-н, Івано-Франківська обл., 77344","1696","610","1681","69","1023","63","1086","","0","1023","63","1086","32","1054","113","152","95","622","6","61","5","29.10.12"
"260312","85","Івано-Франківська область","народний дім, актова зала
вул.Лесі Українки, 95, с.Довге-Калуське, Калуський р-н, Івано-Франківська обл., 77345","680","251","667","29","401","28","429","","0","401","28","429","8","421","48","44","42","222","3","57","5","29.10.12"
"260313","85","Івано-Франківська область","народний дім, актова зала
вул.Івана Франка, 9, с.Ріп’янка, Калуський р-н, Івано-Франківська обл., 77354","552","145","539","34","373","34","407","","0","373","34","407","11","396","106","31","22","200","15","18","4","28.10.12"
"260314","85","Івано-Франківська область","народний дім, актова зала
вул.Степана Бандери, 10А, с.Мислів, Калуський р-н, Івано-Франківська обл., 77355","608","134","607","37","437","37","474","","0","437","37","474","7","467","106","42","77","211","6","19","6","29.10.12"
"260315","85","Івано-Франківська область","народний дім, актова зала
вул.Лесі Українки, 47А, с.Яворівка, Калуський р-н, Івано-Франківська обл., 77354","288","63","284","23","202","23","225","","0","202","23","225","6","219","78","29","26","74","2","10","0","29.10.12"
"260316","85","Івано-Франківська область","народний дім, актова зала
вул.Тараса Шевченка, 123, с.Середній Угринів, Калуський р-н, Івано-Франківська обл., 77363","616","211","602","42","363","42","405","","0","363","42","405","32","373","51","45","28","187","2","26","34","29.10.12"
"260317","85","Івано-Франківська область","народний дім, актова зала
вул.Саєвича, 4, с.Старий Угринів, Калуський р-н, Івано-Франківська обл., 77362","760","294","756","24","442","24","466","","0","442","24","466","14","452","25","41","39","213","6","35","93","29.10.12"
"260318","85","Івано-Франківська область","народний дім, кімната урочистих подій
вул.Центральна, 65А, с.Сівка-Войнилівська, Калуський р-н, Івано-Франківська обл., 77311","408","121","393","35","254","33","287","","0","254","33","287","7","280","38","21","27","169","9","16","0","29.10.12"
"260319","85","Івано-Франківська область","народний дім, актова зала
вул.Терешкової, 15А, с.Довжка, Калуський р-н, Івано-Франківська обл., 77311","168","35","169","19","114","19","133","","0","114","19","133","8","125","54","7","7","45","11","1","0","28.10.12"
"260320","85","Івано-Франківська область","народний дім, актова зала
вул.Братів Косарів, 32А, с.Мошківці, Калуський р-н, Івано-Франківська обл., 77311","232","79","235","24","129","24","153","","0","129","24","153","6","147","39","27","16","56","4","3","2","29.10.12"
"260321","85","Івано-Франківська область","народний дім, актова зала
вул.Івана Франка, 49, с.Сівка-Калуська, Калуський р-н, Івано-Франківська обл., 77342","1280","343","1276","27","912","25","937","","0","912","25","937","22","915","47","114","44","671","5","26","8","29.10.12"
"260322","85","Івано-Франківська область","народний дім, актова зала
вул.Галицька, 211, с.Станькова, Калуський р-н, Івано-Франківська обл., 77321","1032","410","1026","65","557","65","622","","0","557","65","622","31","591","46","219","36","261","7","17","5","29.10.12"
"260323","85","Івано-Франківська область","народний дім, актова зала
вул.Панаса Мирного, 5, с.Студінка, Калуський р-н, Івано-Франківська обл., 77334","1320","419","1323","46","855","46","901","","0","855","46","901","34","867","58","128","52","482","114","29","4","29.10.12"
"260324","85","Івано-Франківська область","народний дім, актова зала
вул.Степана Бандери, 5, с.Середній Бабин, Калуський р-н, Івано-Франківська обл., 77335","416","104","412","28","284","28","312","","0","284","28","312","7","305","18","41","29","190","24","2","1","29.10.12"
"260325","85","Івано-Франківська область","народний дім, актова зала
вул.Гургули, 66, с.Томашівці, Калуський р-н, Івано-Франківська обл., 77327","1008","406","997","76","529","73","602","","0","529","73","602","25","577","77","75","44","314","11","52","4","29.10.12"
"260326","85","Івано-Франківська область","народний дім, актова зала
вул.Тараса Шевченка, 44, с.Перекоси, Калуський р-н, Івано-Франківська обл., 77328","576","192","568","34","350","34","384","","0","350","34","384","8","376","34","37","21","266","6","10","2","29.10.12"
"260327","85","Івано-Франківська область","народний дім, актова зала
вул.Якубова, 8, с.Тужилів, Калуський р-н, Івано-Франківська обл., 77346","1400","543","1382","57","802","55","857","","0","802","55","857","14","843","53","58","47","403","5","272","5","29.10.12"
"260328","85","Івано-Франківська область","лікарня, хол
вул.Богдана Хмельницького, 6, смт Войнилів, Калуський р-н, Івано-Франківська обл., 77312","56","17","51","0","39","0","39","","0","39","0","39","6","33","7","4","5","13","2","2","0","29.10.12"
"260538","85","Івано-Франківська область","товариство сприяння обороні України, фойє
вул.Миру, 1, м.Рогатин, Рогатинський р-н, Івано-Франківська обл., 77000","448","178","435","8","263","7","270","","0","263","7","270","11","259","80","44","10","121","0","1","3","29.10.12"
"260539","85","Івано-Франківська область","будинок школяра, зала
вул.Галицька, 36, м.Рогатин, Рогатинський р-н, Івано-Франківська обл., 77000","2320","984","2302","33","1307","29","1336","","0","1307","29","1336","28","1308","392","144","37","703","16","13","3","29.10.12"
"260540","85","Івано-Франківська область","агроколедж, актова зала
вул.Шашкевича, 61, м.Рогатин, Рогатинський р-н, Івано-Франківська обл., 77000","2472","954","2446","15","1506","12","1518","","0","1506","12","1518","31","1487","442","113","39","856","19","9","9","29.10.12"
"260541","85","Івано-Франківська область","будинок культури, фойє
вул.Шевченка, 136, м.Рогатин, Рогатинський р-н, Івано-Франківська обл., 77000","1344","461","1328","38","850","33","883","","0","850","33","883","28","855","236","68","19","517","8","3","4","29.10.12"
"260542","85","Івано-Франківська область","народний дім, зала
вул.Чорновола, 21, смт Букачівці, Рогатинський р-н, Івано-Франківська обл., 77065","1384","523","1350","45","818","43","861","","0","818","43","861","36","825","130","108","62","498","8","13","6","30.10.12"
"260543","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 22А, с.Посвірж, Рогатинський р-н, Івано-Франківська обл., 77065","160","34","157","17","109","17","126","","0","109","17","126","6","120","14","12","6","86","1","1","0","28.10.12"
"260544","85","Івано-Франківська область","сільський клуб, зала
вул.Бандери, 156, с.Бабухів, Рогатинський р-н, Івано-Франківська обл., 77037","824","137","814","64","623","64","687","","0","623","64","687","19","668","148","53","10","444","4","5","4","29.10.12"
"260545","85","Івано-Франківська область","сільський клуб, зала
вул.Р.Левицького, 263, с.Васючин, Рогатинський р-н, Івано-Франківська обл., 77033","608","166","602","47","398","44","442","","0","398","44","442","13","429","63","32","12","315","1","3","3","29.10.12"
"260546","85","Івано-Франківська область","ФАП, каб.1
вул.Ватутіна, 335А, с.Вільхова, Рогатинський р-н, Івано-Франківська обл., 77050","128","43","122","17","69","16","85","","0","69","16","85","4","81","9","0","5","60","5","1","1","29.10.12"
"260547","85","Івано-Франківська область","сільський клуб, зала
вул.С.Городецького, 14А, с.Вербилівці, Рогатинський р-н, Івано-Франківська обл., 77005","592","161","586","25","406","25","431","","0","406","25","431","7","424","136","45","11","226","3","2","1","29.10.12"
"260548","85","Івано-Франківська область","сільський клуб, зала
вул.С.Бандери, 24А, с.Залужжя, Рогатинський р-н, Івано-Франківська обл., 77006","784","226","778","32","528","30","558","","0","528","30","558","17","541","127","46","13","345","5","4","1","29.10.12"
"260549","85","Івано-Франківська область","будинок культури, зала
вул.Центральна, 11А, с.Верхня Липиця, Рогатинський р-н, Івано-Франківська обл., 77043","1064","332","1047","88","646","86","732","","0","646","86","732","20","712","139","48","11","502","9","2","1","28.10.12"
"260550","85","Івано-Франківська область","ФАП, каб.1
вул.Центральна, 21А, с.Гоноратівка, Рогатинський р-н, Івано-Франківська обл., 77043","72","16","74","8","48","8","56","","0","48","8","56","0","56","31","3","0","21","0","1","0","29.10.12"
"260551","85","Івано-Франківська область","сільський клуб, зала
вул.Л.Українки, 25А, с.Зеленів, Рогатинський р-н, Івано-Франківська обл., 77043","200","61","204","32","107","32","139","","0","107","32","139","10","129","53","16","1","57","1","1","0","28.10.12"
"260552","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 2А, с.Малинівка, Рогатинський р-н, Івано-Франківська обл., 77043","160","61","153","16","83","16","99","","0","83","16","99","3","96","35","7","4","48","0","2","0","28.10.12"
"260553","85","Івано-Франківська область","сільський клуб, зала
вул.Центральна, 30А, с.Лопушня, Рогатинський р-н, Івано-Франківська обл., 77044","224","60","215","8","156","8","164","","0","156","8","164","9","155","33","10","8","97","4","3","0","29.10.12"
"260554","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 52, с.Виспа, Рогатинський р-н, Івано-Франківська обл., 77010","152","39","150","11","102","11","113","","0","102","11","113","4","109","28","4","5","67","2","3","0","29.10.12"
"260555","85","Івано-Франківська область","школа, актова зала
вул.Зелена, 59А, с.Любша, Рогатинський р-н, Івано-Франківська обл., 77010","168","46","160","7","115","7","122","","0","115","7","122","4","118","39","4","10","61","1","2","1","29.10.12"
"260556","85","Івано-Франківська область","ФАП, каб.1
вул.Золота, 8, с.Мельна, Рогатинський р-н, Івано-Франківська обл., 77010","96","26","95","21","50","20","70","","0","50","20","70","2","68","13","7","6","35","2","4","1","28.10.12"
"260557","85","Івано-Франківська область","сільський клуб, зала
вул.Гора, 188, с.Вишнів, Рогатинський р-н, Івано-Франківська обл., 77063","384","89","350","25","270","25","295","","0","270","25","295","12","283","151","14","1","115","0","1","1","07.11.12"
"260558","85","Івано-Франківська область","відділення зв’язку, зала
вул.Бічна, 2, с.Воронів, Рогатинський р-н, Івано-Франківська обл., 77020","96","11","88","2","83","2","85","","0","83","2","85","1","84","61","3","0","19","1","0","0","28.10.12"
"260559","85","Івано-Франківська область","будинок культури, зала
пл.Містечок, 1, с.Липівка, Рогатинський р-н, Івано-Франківська обл., 77020","616","111","608","25","482","23","505","","0","482","23","505","21","484","244","14","13","204","2","2","5","29.10.12"
"260560","85","Івано-Франківська область","сільський клуб, зала
вул.Долішня Кривня, 10А, с.Кривня, Рогатинський р-н, Івано-Франківська обл., 77020","128","32","122","8","88","8","96","","0","88","8","96","3","93","24","5","3","61","0","0","0","28.10.12"
"260561","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 11А, с.Кліщівна, Рогатинський р-н, Івано-Франківська обл., 77021","328","49","325","31","251","28","279","","0","251","28","279","10","269","120","18","16","108","3","0","4","29.10.12"
