"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондаренко
Микола
Васильович","Горбик
Володимир
Миколайович","Довгаль
Олександр
Петрович","Запара
Микола
Іванович","Кравченко
Василь
Віталійович","Мисак
Ігор
Миколайович","Онищук
Любов
Іванівна","Опришко
Олександр
Миколайович","Поплавський
Михайло
Михайлович","Пустова
Тамара
Вікторівна","Сольвар
Руслан
Миколайович","Суслов
Олександр
Іванович","Токар
Валерій
Олексійович","Чулков
Олександр
Володимирович","Дата підписання протоколу"
"320634","91","Київська область","навчально-виробничий комбінат, фойє
вул.Паширова, 2, с.Хотів, Києво-Святошинський р-н, Київська обл., 08171","1758","796","1758","0","962","0","962","","0","962","0","962","33","929","23","22","6","4","14","1","218","4","199","6","405","12","7","8","29.10.12"
"320635","91","Київська область","ДГ ""Чабани"", їдальня
вул.Кірова, 5А, смт Чабани, Києво-Святошинський р-н, Київська обл., 08162","1404","546","1412","2","856","2","858","","0","856","2","858","28","830","10","7","6","2","5","2","187","2","184","2","397","7","4","15","29.10.12"
"320636","91","Київська область","Інститут землеробства, фойє
вул.Машинобудівників, 2Б, смт Чабани, Києво-Святошинський р-н, Київська обл., 08162","2070","688","2040","2","1380","2","1382","","0","1380","2","1382","36","1346","17","28","22","7","13","0","335","8","153","9","687","11","12","44","29.10.12"
"320637","91","Київська область","будинок культури, фойє
вул.Озерна, 6, с.Новосілки, Києво-Святошинський р-н, Київська обл., 03027","1044","354","1042","3","687","3","690","","0","687","3","690","21","669","20","24","11","1","8","2","277","1","66","5","204","12","30","8","30.10.12"
"320638","91","Київська область","будинок культури, фойє
вул.Леніна, 8, с.Шпитьки, Києво-Святошинський р-н, Київська обл., 08122","1860","760","1828","32","1071","29","1100","","0","1071","29","1100","34","1066","11","36","19","3","17","4","260","6","185","14","475","6","4","26","30.10.12"
"320639","91","Київська область","сільський клуб, фойє
вул.Лісна, 12, с.Лісне, Києво-Святошинський р-н, Київська обл., 08122","468","155","452","2","311","2","313","","0","311","2","313","9","304","6","10","14","2","3","1","36","1","72","0","149","4","2","4","30.10.12"
"320640","91","Київська область","сільський клуб, фойє
вул.Островського, 2А, с.Горбовичі, Києво-Святошинський р-н, Київьска обл., 08122","198","46","207","5","147","5","152","","0","147","5","152","5","147","4","2","2","1","2","0","37","1","41","2","52","3","0","0","30.10.12"
"320642","91","Київська область","будинок культури, фойє
вул.Озерна, 6, с.Новосілки, Києво-святошинський р-н, Київська обл., 03027","2214","727","2217","8","1481","6","1487","","0","1481","6","1487","47","1440","24","45","11","9","14","1","597","4","189","18","358","24","108","38","30.10.12"
"320645","91","Київська область","школа, спортивна зала
вул.Ковпака, 44, смт Кодра, Макарівський р-н, Київська обл., 08010","1098","357","1087","38","706","35","741","","0","706","35","741","14","727","1","54","5","0","1","1","63","1","117","5","461","2","1","15","29.10.12"
"320646","91","Київська область","дитячий садок, актова зала
пров.Партизанський, 2, смт Кодра, Макарівський р-н, Київська обл., 08010","168","65","160","20","83","20","103","","0","83","20","103","3","100","0","10","1","0","3","0","9","0","20","0","52","1","0","4","29.10.12"
"320647","91","Київська область","дитячий навчальний заклад ""Веселка"", актова зала
вул.Спортивна, 4, с.Калинівка, Макарівський р-н, Київська обл., 08000","720","279","713","21","420","21","441","","0","420","21","441","15","426","5","37","4","1","1","0","58","1","40","3","266","2","3","5","29.10.12"
"320648","91","Київська область","школа №2, актова зала
вул.Ватутіна, 10, смт Макарів, Макарівський р-н, Київська обл., 08000","2460","957","2451","6","1498","5","1503","","0","1498","5","1503","34","1469","4","154","8","4","2","0","153","10","84","7","997","12","1","33","30.10.12"
"320649","91","Київська область","будинок культури, обрядова зала
вул.Фрунзе, 27, смт Макарів, Макарівський р-н, Київська обл., 08000","2388","900","2415","27","1468","20","1488","","0","1468","20","1488","22","1466","2","111","10","0","0","0","161","1","138","3","1008","10","0","22","30.10.12"
"320650","91","Київська область","центр творчості, актова зала
вул.Фрунзе, 37, смт Макарів, Макарівський р-н, Київська обл., 08000","1578","597","1575","16","969","12","981","","0","969","12","981","16","965","2","67","4","0","0","0","83","2","59","2","722","8","5","11","30.10.12"
"320651","91","Київська область","школа №1, вестибюль
вул.Піонерська, 3, смт Макарів, Макарівський р-н, Київська обл., 08000","1926","670","1887","12","1245","11","1256","","0","1245","11","1256","13","1243","2","105","12","0","3","0","93","3","74","5","918","2","2","24","30.10.12"
"320652","91","Київська область","школа, спортивна зала
вул.Шевченка, 1, с.Андріївка, Макарівський р-н, Київська обл., 08013","822","267","815","110","454","101","555","","0","454","101","555","16","539","6","47","2","1","9","1","71","1","51","4","316","8","2","20","28.10.12"
"320653","91","Київська область","школа, коридор
вул.Леніна, 6, с.Бишів, Макарівський р-н, Київська обл., 08072","2496","1072","2481","30","1407","17","1424","","0","1407","17","1424","41","1383","6","67","7","1","0","1","226","3","121","29","861","12","2","47","29.10.12"
"320654","91","Київська область","будинок культури, актова зала
вул.Леніна, 29А, с.Борівка, Макарівський р-н, Київська обл., 08023","468","134","468","39","296","38","334","","0","296","38","334","7","327","1","16","1","1","1","0","14","1","104","1","180","3","1","3","30.10.12"
"320655","91","Київська область","школа, спортивна зала
вул.Перемоги, 2, с.Великий Карашин, Макарівський р-н, Київська обл., 08050","588","233","588","40","320","35","355","","0","320","35","355","19","336","3","26","10","2","0","0","43","0","85","2","159","2","1","3","29.10.12"
"320656","91","Київська область","сільська рада, актова зала
вул.Перемоги, 1А, с.Великий Карашин, Макарівський р-н, Київська обл., 08050","318","117","311","9","193","8","201","","0","193","8","201","3","198","0","37","5","0","1","1","22","0","40","1","89","0","0","2","29.10.12"
"320657","91","Київська область","сільська рада, актова зала
вул.Ілліча, 45, с.Вільне, Макарівський р-н, Київська обл., 08055","594","259","606","15","325","10","335","","0","325","10","335","10","325","4","43","5","1","2","0","32","2","65","0","165","3","2","1","30.10.12"
"320658","91","Київська область","будинок культури, актова зала
вул.Київська, 22Б, с.Гавронщина, Макарівський р-н, Київська обл., 08003","708","259","704","35","419","30","449","","0","419","30","449","21","428","4","56","3","1","2","0","83","8","39","3","222","3","0","4","28.10.12"
"320659","91","Київська область","будинок культури, актова зала
вул.Піонерська, 13Б, с.Грузьке, Макарівський р-н, Київська обл., 08052","690","275","697","46","374","41","415","","0","374","41","415","19","396","7","51","23","1","3","2","51","1","80","7","156","6","3","5","31.10.12"
"320660","91","Київська область","будинок культури, актова зала
вул.Леніна, 14В, с.Весела Слобідка, Макарівський р-н, Київська обл., 08052","90","26","88","3","61","3","64","","0","61","3","64","8","56","1","7","2","0","0","0","17","1","6","0","15","1","0","6","31.10.12"
"320661","91","Київська область","сільська рада, актова зала
вул.Жовтнева, 12, с.Забуяння, Макарівський р-н, Київська обл., 08011","690","226","684","65","414","50","464","","0","414","50","464","13","451","1","40","2","2","3","0","80","2","51","1","264","3","0","2","30.10.12"
"320662","91","Київська область","сільська рада, актова зала
вул.Леніна, 1, с.Козичанка, Макарівський р-н, Київська обл., 08053","186","40","179","27","119","27","146","","0","119","27","146","5","141","2","6","1","0","0","0","4","0","22","5","97","3","0","1","30.10.12"
"320663","91","Київська область","будинок культури, зала засідань
вул.Шевченка, 2, с.Колонщина, Макарівський р-н, Київська обл., 08032","696","229","712","56","413","54","467","","0","413","54","467","12","455","4","40","42","1","3","3","51","1","102","5","190","4","2","7","31.10.12"
"320664","91","Київська область","фельдшерсько-акушерський пункт, актова зала
вул.Житомирська, 25, с.Березівка, Макарівський р-н, Київська обл., 08032","222","79","225","12","132","11","143","","0","132","11","143","5","138","3","7","26","1","1","0","23","0","33","2","39","1","0","2","29.10.12"
"320665","91","Київська область","будинок культури, актова зала
вул.Леніна, 27, с.Комарівка, Макарівський р-н, Київська обл., 08020","468","152","465","35","281","35","316","","0","281","35","316","5","311","1","36","2","1","3","1","26","2","32","5","190","6","0","6","29.10.12"
"320666","91","Київська область","школа, актова зала
вул.Жовтнева, 84, с.Копилів, Макарівський р-н, Київська обл., 08033","1002","408","1010","11","586","8","594","","0","586","8","594","14","580","3","44","8","2","0","0","50","1","49","0","415","4","0","4","29.10.12"
"320667","91","Київська область","бібліотека, зала засідань
вул.Леніна, 7, с.Северинівка, Макарівський р-н, Київська обл., 08033","192","73","187","12","107","12","119","","0","107","12","119","2","117","1","14","1","2","0","1","23","0","67","1","5","1","0","1","31.10.12"
"320668","91","Київська область","школа, актова зала
вул.Клубна, 2, с.Королівка, Макарівський р-н, Київська обл., 08012","672","277","676","36","364","31","395","","0","364","31","395","16","379","2","41","4","2","0","0","35","0","51","2","241","1","0","0","29.10.12"
"320669","91","Київська область","сільський клуб, актова зала
вул.Будьоного, 1, с.Ферма, Макарівський р-н, Київська обл., 08012","84","17","87","7","60","7","67","","0","60","7","67","1","66","0","9","0","0","2","1","4","1","17","0","32","0","0","0","28.10.12"
"320670","91","Київська область","школа, актова зала
вул.Шевченка, 44, с.Липівка, Макарівський р-н, Київська обл., 08014","834","278","849","75","486","70","556","","0","486","70","556","10","546","3","52","6","1","2","3","102","0","75","1","284","6","0","11","29.10.12"
"320671","91","Київська область","школа, актова зала
вул.Київська, 12А, с.Лишня, Макарівський р-н, Київська обл., 08063","414","140","412","10","265","9","274","","0","265","9","274","12","262","3","26","10","0","0","2","22","1","86","2","100","2","0","8","30.10.12"
"320672","91","Київська область","будинок культури, актова зала
вул.Горького, 6, с.Осикове, Макарівський р-н, Київська обл., 08063","246","90","239","16","140","16","156","","0","140","16","156","7","149","2","14","3","3","0","1","73","0","19","2","27","1","0","4","30.10.12"
"320673","91","Київська область","сільська рада, актова зала
пров.Калинівський, 30, с.Людвинівка, Макарівський р-н, Київська обл., 08045","342","94","342","45","209","39","248","","0","209","39","248","8","240","3","25","11","2","2","0","33","0","41","1","115","0","1","6","29.10.12"
"320674","91","Київська область","школа, спортивна зала
вул.Леніна, 46, с.Маковище, Макарівський р-н, Київська обл., 08034","660","229","682","27","410","21","431","","0","410","21","431","6","425","5","68","7","0","1","0","47","3","22","2","262","1","1","6","30.10.12"
"320675","91","Київська область","сільська рада, актова зала
вул.Леніна, 1, с.Мар’янівка, Макарівський р-н, Київська обл., 08051","564","239","562","14","311","14","325","","0","311","14","325","15","310","3","29","10","1","1","1","32","1","64","2","153","4","0","9","28.10.12"
"320676","91","Київська область","сільський клуб, актова зала
вул.Леніна, 8, с.Мостище, Макарівський р-н, Київська обл., 08071","246","76","244","6","165","5","170","","0","165","5","170","3","167","0","11","2","0","1","0","23","0","37","3","87","2","0","1","31.10.12"
"320677","91","Київська область","ліцей, актова зала
вул.Василя Довгича, 2, с.Мотижин, Макарівський р-н, Київська обл., 08060","840","357","833","37","453","30","483","","0","453","30","483","22","461","10","53","17","0","0","2","91","3","86","2","186","7","0","4","31.10.12"
"320678","91","Київська область","школа, вестибюль
вул.Леніна, 117Б, с.Наливайківка, Макарівський р-н, Київська обл., 08022","618","179","624","64","387","52","439","","0","387","52","439","8","431","4","24","3","0","1","0","35","0","47","2","301","6","2","6","29.10.12"
"320679","91","Київська область","будинок культури, актова зала
вул.Леніна, 11, с.Небелиця, Макарівський р-н, Київська обл., 08024","390","149","384","17","224","17","241","","0","224","17","241","7","234","6","32","1","3","3","2","43","1","32","0","105","3","2","1","30.10.12"
"320680","91","Київська область","будинок культури, актова зала
вул.Підсухи, 44, с.Ніжиловичі, Макарівський р-н, Київська обл., 08021","546","138","535","36","372","36","408","","0","372","36","408","6","402","0","17","2","0","1","0","25","0","75","2","271","2","0","7","29.10.12"
"320681","91","Київська область","сільська рада, актова зала
вул.Кучеренка, 43, с.Новосілки, Макарівський р-н, Київська обл., 08070","690","245","688","30","416","29","445","","0","416","29","445","22","423","6","17","3","0","4","2","52","2","118","4","208","2","1","4","29.10.12"
"320682","91","Київська область","сільська рада, актова зала
вул.Кібенка, 4, с.Нові Опачичі, Макарівський р-н, Київська обл., 08035","288","83","281","16","193","12","205","","0","193","12","205","5","199","0","10","0","2","0","0","10","0","63","36","76","1","0","1","30.10.12"
"320683","91","Київська область","школа, актова зала
вул.Кірова, 2, с.Пашківка, Макарівський р-н, Київська обл., 08062","780","287","767","58","441","52","493","","0","441","52","493","16","477","4","40","13","0","1","1","58","1","68","2","279","4","2","4","29.10.12"
"320684","91","Київська область","школа, актова зала
вул.Кавказька, 34, с.Плахтянка, Макарівський р-н, Київська обл., 08030","534","155","529","24","359","20","379","","0","359","20","379","8","371","1","40","5","1","1","0","38","0","77","1","200","0","1","6","29.10.12"
"320685","91","Київська область","будинок культури, актова зала
вул.Червона Площа, 2, с.Рожів, Макарівський р-н, Київська обл., 08043","372","111","366","35","228","33","261","","0","228","33","261","5","256","3","25","0","0","3","2","60","2","63","1","94","1","0","2","30.10.12"
"320686","91","Київська область","сільська рада, актова зала
вул.Леніна, 125А, с.Ситняки, Макарівський р-н, Київська обл., 08040","534","174","529","47","317","43","360","","0","317","43","360","6","354","1","33","4","1","1","0","56","0","55","2","190","8","2","1","29.10.12"
"320687","91","Київська область","сільськогосподарське товариство з обмеженою відповідальністю ""Зоря"", актова зала
вул.Леніна, 40, с.Соснівка, Макарівський р-н, Київська обл., 08054","468","158","468","37","286","24","310","","0","286","24","310","14","296","2","20","4","1","2","0","21","1","50","3","182","8","0","2","29.10.12"
"320688","91","Київська область","будинок культури, актова зала
вул.Франка, 1, с.Фасова, Макарівський р-н, Київська обл., 08044","534","153","528","42","341","40","381","","0","341","40","381","7","374","1","22","12","0","2","1","38","0","49","2","236","5","0","6","29.10.12"
"320689","91","Київська область","сільський клуб, актова зала
вул.Леніна, 87, с.Чорногородка, Макарівський р-н, Київська обл., 08074","480","185","475","27","269","26","295","","0","269","26","295","10","285","3","46","3","0","3","1","72","0","84","3","66","0","0","4","28.10.12"
"320690","91","Київська область","будинок культури, актова зала
вул.70-річчя Жовтня, 91, с.Червона Слобода, Макарівський р-н, Київська обл., 08042","336","113","334","15","208","15","223","","0","208","15","223","3","220","0","26","1","1","1","0","58","0","26","1","104","2","0","0","29.10.12"
"320691","91","Київська область","будинок культури, актова зала
вул.Леніна, 29, с.Юрів, Макарівський р-н, Київська обл., 08041","420","169","411","25","228","23","251","","0","228","23","251","6","245","1","22","1","1","1","1","36","0","17","1","151","6","2","5","29.10.12"
"320692","91","Київська область","будинок культури, актова зала
пров.Солов’їний, 5, с.Завалівка, Макарівський р-н, Київська обл., 08041","150","44","148","8","98","8","106","","0","98","8","106","1","105","0","11","0","0","0","0","19","0","33","1","36","1","4","0","28.10.12"
"320693","91","Київська область","сільський клуб, зала засідань
вул.Радянська, 1, с.Яблунівка, Макарівський р-н, Київська обл., 08073","516","189","513","22","306","21","327","","0","306","21","327","12","315","3","18","5","3","2","0","58","1","50","0","166","1","2","6","30.10.12"
"320694","91","Київська область","будинок культури, зала засідань
вул.Київська, 33, с.Ясногородка, Макарівський р-н, Київська обл., 08061","438","133","433","40","267","38","305","","0","267","38","305","10","295","3","34","11","0","18","0","38","4","61","3","113","2","1","7","29.10.12"
"320695","91","Київська область","районна лікарня, лікувальний корпус, вестибюль
вул.Б.Хмельницького, 56, смт Макарів, Макарівський р-н, Київська обл., 08000","228","158","85","28","56","14","70","","0","56","14","70","7","63","3","6","3","0","1","0","4","1","5","2","36","1","0","1","28.10.12"
"320872","91","Київська область","школа, спортзал
вул.Першотравнева, 4, с.Буки, Сквирський р-н, Київська обл., 09022","420","171","416","23","228","21","249","","0","228","21","249","6","243","2","6","3","2","0","1","14","0","53","1","23","133","0","5","30.10.12"
"320873","91","Київська область","школа, історичний клас
вул.Леніна, 1, с.Великі Єрчики, Сквирський р-н, Київська обл., 09024","414","131","407","3","280","3","283","","0","280","3","283","11","272","8","7","4","0","3","2","102","2","31","4","84","23","0","2","28.10.12"
"320874","91","Київська область","школа, вестибюль
вул.Леніна, 65А, с.Великополовецьке, Сквирський р-н, Київська обл., 09030","1830","696","1828","120","1018","116","1134","","0","1018","116","1134","25","1109","10","24","11","1","4","1","271","6","74","5","632","46","1","23","29.10.12"
"320878","91","Київська область","будинок культури, фойє
вул.Леніна, 233А, с.Дулицьке, Сквирський р-н, Київська обл., 09025","510","153","502","43","322","35","357","","0","322","35","357","9","348","7","6","3","1","2","3","101","1","77","2","113","24","0","8","30.10.12"
"320879","91","Київська область","фельдшерсько-акушерський пункт, к.1
вул.Шевченка, 50А, с.Безпечна, Сквирський р-н, Київська обл., 09025","252","76","176","30","146","30","176","","0","146","30","176","7","169","0","1","3","0","2","5","33","2","64","1","46","9","0","3","28.10.12"
"320883","91","Київська область","школа, вестибюль
вул.Леніна, 4А, с.Красноліси, Сквирський р-н, Київська обл., 09021","306","92","302","25","189","25","214","","0","189","25","214","8","206","1","6","0","1","1","0","40","1","54","2","96","4","0","0","30.10.12"
"320884","91","Київська область","будинок культури, фойє
вул.Сквирська, 87В, с.Кривошиїнці, Сквирський р-н, Київська обл., 09013","798","305","789","42","452","41","493","","0","452","41","493","22","471","5","10","1","3","3","1","98","1","40","2","273","16","3","15","30.10.12"
"320885","91","Київська область","сільський клуб, фойє
вул.Березнева, 76А, с.Цапіївка, Сквирський р-н, Київська обл., 09013","192","52","181","5","135","5","140","","0","135","5","140","11","129","2","3","1","0","0","0","35","1","21","0","56","7","1","2","29.10.12"
"320887","91","Київська область","будинок культури, вестибюль
вул.Леніна, 6, с.Малі Єрчики, Сквирський р-н, Київська обл., 09010","270","69","272","19","184","17","201","","0","184","17","201","6","195","2","5","1","1","1","0","45","4","86","0","39","9","0","2","28.10.12"
"320888","91","Київська область","школа, фойє
вул.Ленінська, 7, с.Малі Лисівці, Сквирський р-н, Київська обл., 09011","276","69","276","30","179","28","207","","0","179","28","207","8","199","3","1","0","5","0","0","59","1","57","0","55","17","0","1","29.10.12"
"320889","91","Київська область","сільський клуб, фойє
вул.Перемоги, 21А, с.Миньківці, Сквирський р-н, Київська обл., 09012","426","111","416","7","309","6","315","","0","309","6","315","10","305","4","2","4","2","0","1","56","1","127","0","87","13","0","8","29.10.12"
"320893","91","Київська область","школа, спортзал
вул.Леніна, 122, с.Пищики, Сквирський р-н, Київська обл., 09031","1074","378","1058","38","659","37","696","","0","659","37","696","13","683","5","6","4","0","1","2","164","6","96","9","344","35","2","9","31.10.12"
"320894","91","Київська область","сільський клуб, фойє
вул.Шевченка, 120А, с.Безугляки, Сквирський р-н, Київська обл., 09031","306","80","307","22","205","21","226","","0","205","21","226","7","219","1","1","1","0","1","0","78","2","32","6","83","13","0","1","29.10.12"
"320896","91","Київська область","школа, їдальня
вул.Леніна, 17, с.Рогізна, Сквирський р-н, Київська обл., 09020","408","114","294","34","260","34","294","","0","260","34","294","15","279","1","6","1","0","3","2","19","4","91","1","116","30","1","4","31.10.12"
"320897","91","Київська область","Товариство з додатковою відповідальністю ""Шамраївський цукровий завод"", актова зала
вул.Заводська, 27, с.Руда, Сквирський р-н, Київська обл., 09035","600","225","597","19","357","18","375","","0","357","18","375","8","367","6","5","4","2","1","0","101","0","61","1","147","33","0","6","30.10.12"
