"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балога
Віктор
Іванович","Гулачі
Гейза
Людвигович","Ільтьо
Сергій
Васильович","Ланьо
Олександр
Олександрович","Ленд’єл
Золтан
Золтанович","Переста
Олександр
Михайлович","Федака
Павло
Павлович","Шевченко
Віктор
Федорович","Шутко
Вячеслав
Ласлович","Дата підписання протоколу"
"210174","69","Закарпатська область","будинок культури, зала
вул.Центральна, 48, с.Кушниця, Іршавський р-н, Закарпатська обл., 90151","1336","799","1324","21","516","21","537","","0","516","21","537","6","531","342","7","5","50","2","80","2","18","25","29.10.12"
"210175","69","Закарпатська область","школа, спортивна зала
вул.Шкільна, 29, с.Кушниця, Іршавський р-н, Закарпатська обл., 90151","2104","1403","2088","38","663","38","701","","0","663","38","701","22","679","446","29","4","44","1","88","6","17","44","29.10.12"
"210176","69","Закарпатська область","сільська рада, зала засідань
152, с.Бронька, Іршавський р-н, Закарпатська обл., 90152","1296","742","1279","15","539","15","554","","0","539","15","554","11","543","400","15","3","29","1","16","4","16","59","28.10.12"
"210177","69","Закарпатська область","школа, фойє
171, с.Суха, Іршавський р-н, Закарпатська обл., 90153","1448","786","1435","26","636","26","662","","0","636","26","662","33","629","533","16","9","9","3","18","4","11","26","28.10.12"
"210178","69","Закарпатська область","Вищий економічний коледж ""Бакалавр"", лекційна зала
вул.Перемоги, 72, с.Довге, Іршавський р-н, Закарпатська обл., 90154","1768","1216","1758","7","546","6","552","","0","546","6","552","16","536","326","16","3","40","11","81","4","10","45","29.10.12"
"210179","69","Закарпатська область","будинок культури, зала
пл.П’яц, будинок культури, с.Довге, Іршавський р-н, Закарпатська обл., 90154","1728","1003","1715","17","708","17","725","","0","708","17","725","30","695","398","28","7","63","11","127","6","10","45","28.10.12"
"210180","69","Закарпатська область","школа, вестибюль
вул.Куклівська, 54, с.Довге, Іршавський р-н, Закарпатська обл., 90154","1760","1138","1743","9","614","8","622","","0","614","8","622","22","600","354","26","7","57","5","94","6","10","41","28.10.12"
"210203","69","Закарпатська область","сільська рада, зала засідань
вул.Жовтнева, 2, с.Загаття, Іршавський р-н, Закарпатська обл., 90112","1232","695","1217","50","490","47","537","","0","490","47","537","11","526","445","9","5","7","6","27","5","7","15","29.10.12"
"210204","69","Закарпатська область","школа, актова зала
вул.Колоднянська, 151А, с.Загаття, Іршавський р-н, Закарпатська обл., 90112","632","262","627","20","350","20","370","","0","350","20","370","11","359","275","3","1","4","2","31","0","3","40","28.10.12"
"210205","69","Закарпатська область","сільський клуб, зала
20А, с.Климовиця, Іршавський р-н, Закарпатська обл., 90112","360","138","356","9","215","7","222","","0","215","7","222","1","221","179","5","0","4","3","7","0","2","21","29.10.12"
"210206","69","Закарпатська область","сільський клуб, зала
113, с.Івашковиця, Іршавський р-н, Закарпатська обл., 90112","256","66","248","15","175","15","190","","0","175","15","190","9","181","128","3","1","7","1","14","0","1","26","01.11.12"
"210207","69","Закарпатська область","сільський клуб, зала
56, с.Дуби, Іршавський р-н, Закарпатська обл., 90112","128","42","127","8","78","8","86","","0","78","8","86","4","82","58","1","1","1","0","7","0","2","12","28.10.12"
"210208","69","Закарпатська область","школа, спортивна зала
137, с.Чорний Потік, Іршавський р-н, Закарпатська обл., 90110","752","367","743","24","362","23","385","","0","362","23","385","13","372","315","5","1","4","0","25","1","3","18","28.10.12"
"210209","69","Закарпатська область","сільський клуб, танцювальна зала
29, с.Крайня Мартинка, Іршавський р-н, Закарпатська обл., 90110","440","211","432","27","202","27","229","","0","202","27","229","4","225","172","3","5","7","0","21","0","2","15","28.10.12"
"210210","69","Закарпатська область","школа, фойє
вул.Перемоги, 1, с.Підгірне, Іршавський р-н, Закарпатська обл., 90111","800","365","798","61","379","56","435","","0","379","56","435","26","409","298","7","1","22","10","22","3","5","41","01.11.12"
"210211","69","Закарпатська область","школа, їдальня
48, с.Смологовиця, Іршавський р-н, Закарпатська обл., 90110","272","115","263","10","148","9","157","","0","148","9","157","5","152","128","1","0","2","0","1","0","0","20","28.10.12"
"210212","69","Закарпатська область","школа, кл.1
45, с.Локіть, Іршавський р-н, Закарпатська обл., 90110","216","80","210","5","131","5","136","","0","131","5","136","7","129","71","1","1","12","1","17","0","1","25","28.10.12"
"210223","69","Закарпатська область","сільський клуб, зала
166А, с.Мідяниця, Іршавський р-н, Закарпатська обл., 90122","624","409","615","13","207","8","215","","0","207","8","215","16","199","148","7","0","6","4","8","0","3","23","28.10.12"
"210224","69","Закарпатська область","школа, фойє
91, с.Дунковиця, Іршавський р-н, Закарпатська обл., 90121","608","282","596","13","313","13","326","","0","313","13","326","19","307","230","5","4","14","2","32","5","14","1","28.10.12"
"210225","69","Закарпатська область","школа, спортивна зала
440, с.Арданово, Іршавський р-н, Закарпатська обл., 90120","1136","598","1061","64","477","61","538","","0","477","61","538","22","516","420","17","3","14","11","21","1","2","27","28.10.12"
"210226","69","Закарпатська область","школа, фойє
вул.Шевченка, 94А, с.Горбок, Іршавський р-н, Закарпатська обл., 90119","560","228","552","22","311","21","332","","0","311","21","332","12","320","243","6","3","11","4","18","1","11","23","28.10.12"
"210227","69","Закарпатська область","сільська рада, актова зала
вул.Миру, 12, с.Доробратово, Іршавський р-н, Закарпатська обл., 90113","1512","754","1495","35","730","28","758","","0","730","28","758","23","735","504","10","28","26","13","67","2","6","79","29.10.12"
"210228","69","Закарпатська область","сільський клуб, зала
вул.Майдан Миру, 4, с.Негрово, Іршавський р-н, Закарпатська обл., 90114","800","365","789","27","409","26","435","","0","409","26","435","12","423","357","2","2","20","1","17","1","5","18","29.10.12"
"210303","69","Закарпатська область","школа мистецтв, актова зала
вул.Мукачівська, 96, с.Великі Лучки, Мукачівський р-н, Закарпатська обл., 89625","1928","1293","1910","23","626","9","635","","0","626","9","635","47","588","363","26","1","42","33","69","7","6","41","29.10.12"
"210304","69","Закарпатська область","сільська рада, зала засідань
вул.Гагаріна, 37, с.Великі Лучки, Мукачівський р-н, Закарпатська обл., 89625","2088","1369","2072","15","706","13","719","","0","706","13","719","55","664","418","11","6","68","27","62","10","13","49","29.10.12"
"210305","69","Закарпатська область","школа, спортивна зала
вул.Гагаріна, 49, с.Великі Лучки, Мукачівський р-н, Закарпатська обл., 89625","1376","638","1345","15","723","15","738","","0","723","15","738","6","732","584","11","5","44","10","44","5","8","21","29.10.12"
"210306","69","Закарпатська область","школа, спортивна зала
вул.Головна, 72, с.Великі Лучки, Мукачівський р-н, Закарпатська обл., 89625","1416","917","1409","91","412","87","499","","0","412","87","499","15","484","390","6","7","22","12","20","0","4","23","29.10.12"
"210307","69","Закарпатська область","сільська рада, зала засідань
вул.Духновича, 64, с.Горонда, Мукачівський р-н, Закарпатська обл., 89656","2160","1353","2143","13","796","11","807","","0","796","11","807","41","766","464","25","12","49","33","76","6","31","70","29.10.12"
"210308","69","Закарпатська область","школа, актова зала
вул.Духновича, 68, с.Горонда, Мукачівський р-н, Закарпатська обл., 89656","1008","685","998","4","319","4","323","","0","319","4","323","11","312","189","27","3","17","11","28","2","7","28","29.10.12"
"210309","69","Закарпатська область","будинок культури, балетна зала
вул.Ракоці, 91А, с.Дерцен, Мукачівський р-н, Закарпатської обл., 89671","2184","1129","2164","18","1037","18","1055","","0","1036","18","1054","37","1017","137","198","3","8","1","8","2","7","653","29.10.12"
"210310","69","Закарпатська область","сільський клуб, глядацька зала
вул.Миру, 131А, с.Жнятино, Мукачівський р-н, Закарпатська обл., 89657","1720","1036","1709","9","676","8","684","","0","676","8","684","32","652","328","262","3","10","6","11","2","2","28","28.10.12"
"210311","69","Закарпатська область","сільський клуб, глядацька зала
вул.Миру, 26, с.Жуково, Мукачівський р-н, Закарпатська обл., 89634","456","225","451","16","215","16","231","","0","215","16","231","8","223","136","8","3","7","2","9","1","2","55","29.10.12"
