"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балога
Іван
Іванович","Бушко
Іван
Іванович","Кінч
Габор
Йожефович","Ковач
Микола
Миколайович","Ленд’єл
Олександра
Олександрівна","Петрушка
Іштван
Шімонович","Пуканич
Едуард
Володимирович","Разгулов
Валерій
Михайлович","Сочка
Микола
Іванович","Дата підписання протоколу"
"210085","73","Закарпатська область","будинок культури, частина танцювальної зали
вул.Червоноармійська, 121, с.Веряця, Виноградівський р-н, Закарпатська обл., 90336","1572","662","1568","4","906","4","910","","0","906","4","910","16","894","519","260","1","21","43","42","0","4","4","29.10.12"
"210086","73","Закарпатська область","школа, навчальний клас
вул.Заводська, 109, с.Горбки, Виноградівський р-н, Закарпатська обл., 90336","462","181","454","8","274","7","281","","0","274","7","281","5","276","89","166","0","3","4","14","0","0","0","28.10.12"
"210087","73","Закарпатська область","будинок культури, танцювальна зала
вул.Миру, 68, с.Вербовець, Виноградівський р-н, Закарпатська обл., 90332","1788","765","1781","50","987","36","1023","","0","987","36","1023","43","980","296","525","6","110","18","22","1","0","2","28.10.12"
"210088","73","Закарпатська область","будинок культури, танцювальна зала
вул.Севлюська, 56А, с.Дротинці, Виноградівський р-н, Закарпатська обл., 90353","1506","730","1492","13","763","13","776","","0","763","13","776","15","761","294","428","2","8","20","6","0","1","2","28.10.12"
"210089","73","Закарпатська область","будинок культури, актова зала
вул.Л.Кошута, 181, с.Дюла, Виноградівський р-н, Закарпатська обл., 90364","1116","306","1114","20","790","20","810","","0","790","20","810","25","785","63","567","2","134","7","10","1","1","0","29.10.12"
"210090","73","Закарпатська область","школа, спортивна зала
вул.Центральна, 42, с.Мала Копаня, Виноградівський р-н, Закарпатська обл., 90331","954","392","941","26","536","26","562","","0","536","26","562","7","555","321","198","0","5","13","14","1","1","2","28.10.12"
"210091","73","Закарпатська область","будинок культури, фойє
вул.Головна, 2А, с.Матійово, Виноградівський р-н, Закарпатська обл., 90326","1212","467","1198","34","714","31","745","","0","714","31","745","27","718","307","271","1","85","37","12","2","3","0","28.10.12"
"210092","73","Закарпатська область","школа, фойє
вул.Фогодо, 34, с.Неветленфолу, Виноградівський р-н, Закарпатська обл., 90365","1194","600","1188","17","579","15","594","","0","579","15","594","22","572","63","287","3","192","13","13","0","0","1","29.10.12"
"210093","73","Закарпатська область","будинок культури, актова зала
вул.Головна, 119, с.Ботар, Виноградівський р-н, Закарпатська обл., 90365","654","227","652","14","413","14","427","","0","413","14","427","14","413","44","262","1","83","4","13","0","3","3","28.10.12"
"210094","73","Закарпатська область","будинок культури, актова зала
вул.Кальвина, 35, с.Оклі, Виноградівський р-н, Закарпатська обл., 90365","282","124","283","1","157","1","158","","0","157","1","158","6","152","11","80","0","57","0","4","0","0","0","29.10.12"
"210095","73","Закарпатська область","школа, спортивна зала
вул.Чолнокі, 26, с.Оклі Гедь, Виноградівський р-н, Закарпатська обл., 90365","420","163","418","0","257","0","257","","0","257","0","257","15","242","10","137","2","80","1","11","1","0","0","28.10.12"
"210096","73","Закарпатська область","школа, фойє
вул.Шевченка, 48, с.Нове Клинове, Виноградівський р-н, Закарпатська обл., 90365","222","100","221","4","118","4","122","","0","118","4","122","4","118","30","54","0","21","2","9","0","2","0","28.10.12"
"210097","73","Закарпатська область","будинок культури, фойє
вул.Шевченка, 68, с.Новоселиця, Виноградівський р-н, Закарпатська обл., 90341","972","341","967","44","589","42","631","","0","589","42","631","20","611","254","315","3","7","14","13","3","2","0","28.10.12"
"210098","73","Закарпатська область","будинок культури, фойє
вул.Центральна, 155, с.Нове Село, Виноградівський р-н, Закарпатська обл., 90350","1392","650","1382","16","730","12","742","","0","730","12","742","41","701","258","320","1","80","20","20","0","1","1","29.10.12"
