"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бульба
Вячеслав
Свиридович","Ворона
Петро
Васильович","Домашенко
Тетяна
Михайлівна","Корнієнко
Сергій
Юрійович","Коряк
Василь
Васильович","Костюк
Віктор
Михайлович","Кравецький
Віктор
Миколайович","Пилипенко
Володимир
Пилипович","Сарана
Віктор
Володимирович","Сірик
Ігор
Володимирович","Чаповський
Олександр
Якович","Дата підписання протоколу"
"530001","148","Полтавська область","школа, коридор
пров.Леніна, 5, смт Велика Багачка, Великобагачанський р-н, Полтавська обл., 38300","2358","923","2331","85","1358","77","1435","","0","1358","77","1435","50","1385","13","499","36","11","51","20","92","567","15","76","5","29.10.12"
"530002","148","Полтавська область","школа мистецтв, актовий зал
вул.Леніна, 22, смт Велика Багачка, Великобагачанський р-н, Полтавська обл., 38300","2172","1028","2164","76","1075","69","1144","","0","1075","69","1144","34","1110","12","378","28","12","43","13","81","435","11","91","6","29.10.12"
"530003","148","Полтавська область","школа, коридор
вул.Миру, 59А, с.Бутова Долина, Великобагачанський р-н, Полтавська обл., 38300","336","132","330","39","165","39","204","","0","165","39","204","11","193","1","37","5","4","3","5","39","78","3","16","2","28.10.12"
"530004","148","Полтавська область","фельдшерсько-акушерський пункт, каб.2
вул.Комсомольська, 26, с.Довгалівка, Великобагачанський р-н, Полтавська обл., 38300","378","138","367","54","187","53","240","","0","187","53","240","5","235","1","60","5","2","2","0","23","120","8","14","0","29.10.12"
"530005","148","Полтавська область","сільський клуб, приміщення для засідань
пров.Щорса, 1, с.Байрак, Великобагачанський р-н, Полтавська обл., 38305","312","84","306","19","210","18","228","","0","210","18","228","11","217","3","57","4","2","4","4","24","99","2","18","0","29.10.12"
"530006","148","Полтавська область","фельдшерсько-акушерський пункт, каб.2
пров.Леніна, 14, с.Затон, Великобагачанський р-н, Полтавська обл., 38300","180","59","175","28","93","28","121","","0","93","28","121","3","118","0","32","6","0","2","2","4","63","3","5","1","29.10.12"
"530007","148","Полтавська область","школа, коридор
вул.Жовтнева, 2А, с.Багачка Перша, Великобагачанський р-н, Полтавська обл., 38330","342","85","340","48","211","46","257","","0","211","46","257","6","251","1","47","4","4","3","1","11","163","2","11","4","28.10.12"
"530008","148","Полтавська область","фельдшерсько-акушерський пункт, кім.2
вул.Комарова, 16, с.Пушкареве, Великобагачанський р-н, Полтавська обл., 38330","162","40","158","6","116","6","122","","0","116","6","122","9","113","2","29","4","3","2","2","10","47","3","9","2","29.10.12"
"530009","148","Полтавська область","школа, коридор
вул.Щорса, 20, с.Семенівка, Великобагачанський р-н, Полтавська обл., 38331","222","72","218","19","131","19","150","","0","131","19","150","12","138","2","45","2","0","5","2","11","58","5","5","3","29.10.12"
"530010","148","Полтавська область","будинок культури, приміщення для засідань
вул.Станіслава Горєва, 27, смт Гоголеве, Великобагачанський р-н, Полтавська обл., 38310","2046","762","2020","110","1193","91","1284","","0","1193","91","1284","31","1253","18","429","13","11","38","11","53","589","20","67","4","29.10.12"
"530011","148","Полтавська область","школа, коридор
вул.Леніна, 2, с.Балаклія, Великобагачанський р-н, Полтавська обл., 38334","468","121","464","51","301","46","347","","0","301","46","347","19","328","4","69","8","11","17","9","23","143","5","39","0","29.10.12"
"530012","148","Полтавська область","школа, коридор
вул.Леніна, 9, с.Білоцерківка, Великобагачанський р-н, Полтавська обл., 38340","690","207","685","97","392","91","483","","0","392","91","483","18","465","5","93","4","5","8","3","34","285","3","24","1","29.10.12"
"530013","148","Полтавська область","школа, коридор
вул.Гоголя, 39, с.Красногорівка, Великобагачанський р-н, Полтавська обл., 38341","762","232","761","68","463","67","530","","0","463","67","530","10","520","2","159","32","7","32","1","26","240","5","15","1","29.10.12"
"530014","148","Полтавська область","фельдшерсько-акушерський пункт, кім.2
вул.Леніна, 22, с.Дзюбівщина, Великобагачанський р-н, Полтавська обл., 38341","222","60","217","16","146","16","162","","0","146","16","162","9","153","1","51","8","6","8","2","4","61","3","9","0","28.10.12"
"530015","148","Полтавська область","школа, коридор
вул.Перемоги, 39, с.Бірки, Великобагачанський р-н, Полтавська обл., 38342","444","142","432","37","266","36","302","","0","266","36","302","9","293","5","55","4","6","5","3","22","157","6","28","2","28.10.12"
"530016","148","Полтавська область","будинок культури, приміщення для засідань
вул.Леніна, 112А, с.Кротівщина, Великобагачанський р-н, Полтавська обл., 38321","618","226","599","60","342","50","392","","0","342","50","392","18","374","4","80","10","8","2","7","21","220","8","12","2","29.10.12"
"530017","148","Полтавська область","клуб, приміщення для засідань
вул.Калініна, 15, с.Мостовівщина, Великобагачанський р-н, Полтавська обл., 38351","318","70","311","22","226","22","248","","0","226","22","248","4","244","0","52","5","5","1","2","17","149","6","7","0","28.10.12"
"530018","148","Полтавська область","клуб, приміщення для засідань
вул.Шкільна, 4А, с.Попове, Великобагачанський р-н, Полтавська обл., 38352","336","82","329","26","228","26","254","","0","228","26","254","14","240","7","56","7","6","1","4","21","124","1","12","1","28.10.12"
"530019","148","Полтавська область","клуб, приміщення для засідань
вул.Леніна, 36А, с.Корнієнки, Великобагачанський р-н, Полтавська обл., 38350","276","47","268","24","205","24","229","","0","205","24","229","4","225","0","37","6","6","2","4","44","111","2","13","0","28.10.12"
"530020","148","Полтавська область","школа, коридор
вул.Першотравнева, 1, с.Матяшівка, Великобагачанський р-н, Полтавська обл., 38314","642","239","636","28","379","24","403","","0","379","24","403","11","392","3","79","15","4","2","6","28","212","2","39","2","29.10.12"
"530021","148","Полтавська область","школа, коридор
вул.Шкільна, 3, с.Михайлівка, Великобагачанський р-н, Полтавська обл., 38312","402","175","394","43","184","43","227","","0","184","43","227","5","222","4","29","3","3","2","1","9","157","0","13","1","28.10.12"
"530022","148","Полтавська область","школа, коридор
вул.Котляревського, 2, с.Мар’янське, Великобагачанський р-н, Полтавська обл., 38313","156","53","152","17","86","17","103","","0","86","17","103","1","102","0","17","3","0","0","0","10","62","1","8","1","29.10.12"
"530023","148","Полтавська область","будинок культури, приміщення для засідань
вул.Жовтнева, 1, с.Остап’є, Великобагачанський р-н, Полтавська обл., 38354","1146","452","1132","107","599","95","694","","0","599","95","694","9","685","9","275","8","9","9","3","19","311","10","28","4","28.10.12"
"530024","148","Полтавська область","школа, коридор
вул.Леніна, 38, с.Поділ, Великобагачанський р-н, Полтавська обл., 38343","474","141","465","60","278","55","333","","0","278","55","333","10","323","2","66","4","0","1","0","8","233","1","8","0","28.10.12"
"530025","148","Полтавська область","клуб, приміщення для засідань
вул.Ворошилова, 55, с.Огирівка, Великобагачанський р-н, Полтавська обл., 38343","252","62","248","40","153","37","190","","0","153","37","190","8","182","0","30","4","2","2","0","4","130","4","6","0","29.10.12"
"530026","148","Полтавська область","школа, коридор
вул.Шкільна, 1, с.Радивонівка, Великобагачанський р-н, Полтавська обл., 38333","1104","517","1089","78","515","72","587","","0","515","72","587","12","575","2","101","6","10","41","5","38","340","3","28","1","28.10.12"
"530027","148","Полтавська область","фельдшерсько-акушерський пункт, каб.2
вул.Шевченка, 40, с.Кравченки, Великобагачанський р-н, Полтавська обл., 38353","180","62","170","27","91","27","118","","0","91","27","118","7","111","0","10","8","0","2","0","21","63","2","5","0","28.10.12"
"530028","148","Полтавська область","школа, коридор
вул.Зелена, 18, с.Рокита, Великобагачанський р-н, Полтавська обл., 38353","678","207","670","50","421","50","471","","0","421","50","471","7","464","4","134","31","9","3","3","34","215","12","18","1","29.10.12"
