"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бульба
Степан
Степанович","Дмитренко
Григорій
Миколайович","Жуковець
Сергій
Павлович","Крат
Ірма
Миколаївна","Кривошей
Михайло
Михайлович","Кутовий
Тарас
Вікторович","Овчаренко
Людмила
Миколаївна","Полупан
Володимир
Артемович","Свиридюк
Роман
Володимирович","Туник
Іван
Семенович","Дата підписання протоколу"
"530036","151","Полтавська область","гімназія №1, фоє
вул.Гетьманська, 35, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1698","672","1660","24","1004","22","1026","","0","1004","22","1026","42","984","18","28","120","79","125","345","258","3","5","3","30.10.12"
"530037","151","Полтавська область","училище культури, танцювальний зал
пл.Соборна, 9, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1110","469","1100","42","602","39","641","","0","602","39","641","18","623","20","27","58","40","74","213","183","3","4","1","29.10.12"
"530038","151","Полтавська область","школа №2, спортивний зал
вул.Українки Лесі, 8, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1410","621","1397","22","769","20","789","","0","769","20","789","24","765","14","29","59","63","86","265","239","2","5","3","29.10.12"
"530039","151","Полтавська область","школа №3, спортивний зал
вул.Степаненка, 41, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1650","707","1614","47","907","36","943","","0","907","36","943","45","898","22","15","100","49","92","339","273","1","4","3","29.10.12"
"530040","151","Полтавська область","професійний аграрний ліцей, навчальний клас
вул.50 років Жовтня, 88, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1620","639","1610","36","950","31","981","","0","950","31","981","35","946","18","22","83","73","136","343","263","2","4","2","29.10.12"
"530041","151","Полтавська область","гуртожиток училища культури, актова зала
вул.Драгоманова, 16, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1758","781","1741","25","953","24","977","","0","953","24","977","36","941","15","20","68","67","147","362","248","6","8","0","29.10.12"
"530042","151","Полтавська область","Інститут бджільництва імені П.І.Прокоповича, фоє
вул.Тельмана, 29, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1650","747","1617","30","875","28","903","","0","875","28","903","32","871","24","20","95","64","112","306","239","3","7","1","28.10.12"
"530043","151","Полтавська область","школа №4, фоє
вул.Швидкого, 2, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1872","803","1859","135","948","121","1069","","0","948","121","1069","32","1037","24","20","81","97","212","364","234","0","4","1","29.10.12"
"530044","151","Полтавська область","гуртожиток, актова зала
вул.50 років Жовтня, 17А, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1680","696","1671","23","963","21","984","","0","963","21","984","21","963","19","37","58","97","126","357","258","2","7","2","29.10.12"
"530045","151","Полтавська область","ВАТ ""АТП-15337"", актова зала
вул.Кіндратенка, 25, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","984","418","970","19","550","16","566","","0","550","16","566","17","549","5","21","72","45","90","166","145","3","1","1","28.10.12"
"530046","151","Полтавська область","територіальний центр соціального обслуговування, актова зала
вул.Леніна, 5, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1242","531","1241","48","666","45","711","","0","666","45","711","30","681","13","18","59","45","79","269","192","2","2","2","28.10.12"
"530047","151","Полтавська область","районна спілка споживчих товариств, актова зала
вул.Вокзальна, 1, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1098","453","1088","36","615","30","645","","0","615","30","645","15","630","13","10","101","50","74","214","160","3","4","1","29.10.12"
"530048","151","Полтавська область","школа, хол
вул.Гагаріна, 4А, с.Березова Лука, Гадяцький р-н, Полтавська обл., 37342","1050","345","1026","121","591","114","705","","0","591","114","705","25","680","11","23","9","23","149","283","177","2","0","3","28.10.12"
"530049","151","Полтавська область","школа, хол
пл.40-річчя Перемоги, 3, с.Біленченківка, Гадяцький р-н, Полтавська обл., 37306","906","337","898","96","476","93","569","","0","476","93","569","13","556","15","30","76","50","73","202","99","2","5","4","30.10.12"
"530050","151","Полтавська область","школа, хол
вул.ім.Комарова, 38, с.Осняги, Гадяцький р-н, Полтавська обл., 37306","288","69","282","53","169","50","219","","0","169","50","219","14","205","6","9","10","4","54","69","52","1","0","0","28.10.12"
"530051","151","Полтавська область","Бобрицька сільська рада, зал засідань
вул.Леніна, 50, с.Бобрик, Гадяцький р-н, Полтавська обл., 37360","594","132","584","58","412","50","462","","0","412","50","462","16","446","14","15","17","15","110","205","67","2","0","1","28.10.12"
"530052","151","Полтавська область","школа, спортивний зал
вул.Жовтнева, 32, с.Великі Будища, Гадяцький р-н, Полтавська обл., 37320","744","245","729","72","431","68","499","","0","431","68","499","11","488","12","18","17","32","65","142","196","2","4","0","28.10.12"
"530053","151","Полтавська область","школа, хол
вул.Шкільна, 1, с.Вельбівка, Гадяцький р-н, Полтавська обл., 37350","1026","433","1008","103","493","100","593","","0","493","100","593","12","581","24","8","41","33","133","159","178","3","1","1","28.10.12"
"530054","151","Полтавська область","приміщення колишньої школи, класна кімната
вул.Зарічна, 15, с.Тепле, Гадяцький р-н, Полтавська обл., 37351","384","138","379","62","184","62","246","","0","184","62","246","4","242","8","8","6","18","34","58","106","1","2","1","28.10.12"
"530055","151","Полтавська область","школа, актова зала
вул.Васюти, 57, с.Веприк, Гадяцький р-н, Полтавська обл., 37362","2046","904","2015","125","1043","99","1142","","0","1043","99","1142","78","1064","21","38","57","56","210","299","365","2","5","11","29.10.12"
"530056","151","Полтавська область","школа, класна кімната
вул.Сумська, 31, с.Гречанівка, Гадяцький р-н, Полтавська обл., 37310","360","124","357","31","206","30","236","","0","206","30","236","3","233","9","23","15","2","62","69","50","1","1","1","28.10.12"
"530057","151","Полтавська область","школа, спортивний зал
вул.Клубна, 2, с.Качанове, Гадяцький р-н, Полтавська обл., 37331","786","320","774","84","382","84","466","","0","382","84","466","18","448","13","15","20","24","50","181","141","1","2","1","28.10.12"
"530058","151","Полтавська область","сільський будинок культури, фоє
вул.Леніна, 26, с.Красна Лука, Гадяцький р-н, Полтавська обл., 37315","936","267","923","95","578","91","669","","0","578","91","669","19","650","29","22","49","67","54","214","206","2","3","4","29.10.12"
"530059","151","Полтавська область","школа, фоє
вул.Жовтнева, 2, с.Хитці, Гадяцький р-н, Полтавська обл., 37371","510","159","498","53","299","52","351","","0","299","52","351","11","340","13","10","33","36","26","111","109","1","1","0","29.10.12"
"530060","151","Полтавська область","школа, спортивний зал
пров.Дзержинського, 3, с.Краснознаменка, Гадяцький р-н, Полтавська обл., 37332","822","279","813","121","427","116","543","","0","427","116","543","23","520","21","10","21","19","77","186","183","2","1","0","29.10.12"
"530061","151","Полтавська область","контора СТОВ ""Лободіно"", зал засідань
вул.Шкільна, 12, с.Лободине, Гадяцький р-н, Полтавська обл., 37332","210","74","202","61","78","58","136","","0","78","58","136","0","136","3","6","6","6","32","40","43","0","0","0","28.10.12"
"530062","151","Полтавська область","школа, спортивний зал
вул.Шкільна, 10, с.Книшівка, Гадяцький р-н, Полтавська обл., 37322","684","212","681","60","415","57","472","","0","415","57","472","16","456","19","10","34","18","73","178","121","0","2","1","29.10.12"
"530063","151","Полтавська область","сільський клуб, зал
вул.Червоноармійська, 11, с.Броварки, Гадяцький р-н, Полтавська обл., 37324","294","79","287","35","180","35","215","","0","180","35","215","12","203","2","6","21","33","27","35","79","0","0","0","29.10.12"
"530064","151","Полтавська область","фельдшерсько-акушерський пункт, хол
вул.Кірова, 44, с.Лисівка, Гадяцький р-н, Полтавська обл., 37344","432","158","423","44","233","41","274","","0","233","41","274","9","265","7","7","6","16","32","103","91","0","3","0","28.10.12"
"530065","151","Полтавська область","сільський клуб, зал
вул.Набережна, 1, с.Млини, Гадяцький р-н, Полтавська обл., 37344","90","18","85","10","65","7","72","","0","65","7","72","3","69","2","3","1","4","20","23","16","0","0","0","28.10.12"
"530066","151","Полтавська область","фельдшерсько-акушерський пункт, хол
вул.Центральна, 49, с.Мала Обухівка, Гадяцький р-н, Полтавська обл., 37344","90","18","87","18","55","17","72","","0","55","17","72","5","67","1","3","2","3","4","11","41","0","2","0","29.10.12"
"530067","151","Полтавська область","сільський будинок культури, фоє
вул.Дружби, 59, с.Лютенька, Гадяцький р-н, Полтавська обл., 37353","1260","533","1251","75","677","50","727","","0","677","50","727","29","698","20","24","40","46","115","179","263","5","3","3","29.10.12"
"530068","151","Полтавська область","школа, фоє
вул.Дружби, 61, с.Лютенька, Гадяцький р-н, Полтавська обл., 37353","1200","521","1185","65","626","53","679","","0","626","53","679","24","655","8","21","32","33","107","190","255","3","4","2","29.10.12"
"530069","151","Полтавська область","сільський будинок культури, фоє
вул.Роменська, 27, с.Мала Побиванка, Гадяцький р-н, Полтавська обл., 37311","402","123","393","41","242","37","279","","0","242","37","279","2","277","3","5","6","17","73","127","46","0","0","0","28.10.12"
"530070","151","Полтавська область","сільський будинок культури, фоє, 2-й поверх
пл.Перемоги, 3, с.Мартинівка, Гадяцький р-н, Полтавська обл., 37361","888","310","869","73","509","69","578","","0","509","69","578","16","562","10","13","15","17","176","221","106","2","2","0","29.10.12"
"530071","151","Полтавська область","школа, хол
вул.Жовтнева, 17, с.Петрівка-Роменська, Гадяцький р-н, Полтавська обл., 37333","1248","623","1234","63","565","60","625","","0","565","60","625","27","598","15","22","37","35","72","193","217","0","3","4","29.10.12"
"530072","151","Полтавська область","сільський будинок культури, глядацький зал
вул.Леніна, 6, с.Петрівка-Роменська, Гадяцький р-н, Полтавська обл., 37333","864","350","847","37","477","37","514","","0","477","37","514","19","495","21","21","20","35","66","116","211","0","4","1","28.10.12"
"530073","151","Полтавська область","школа, хол
вул.Леніна, 33, с.Плішивець, Гадяцький р-н, Полтавська обл., 37323","720","272","712","80","374","74","448","","0","374","74","448","27","421","8","14","21","33","100","99","141","2","1","2","29.10.12"
"530074","151","Полтавська область","сільський будинок культури, фоє
вул.Леніна, 67А, с.Рашівка, Гадяцький р-н, Полтавська обл., 37343","1464","516","1455","208","764","184","948","","0","764","184","948","24","924","10","20","52","49","145","269","365","3","6","5","29.10.12"
"530075","151","Полтавська область","школа, фоє
вул.Леніна, 63, с.Римарівка, Гадяцький р-н, Полтавська обл., 37314","870","279","858","92","512","79","591","","0","512","79","591","17","574","20","19","28","77","51","242","127","2","6","2","28.10.12"
"530076","151","Полтавська область","школа, фоє
вул.Леніна, 21, с.Розбишівка, Гадяцький р-н, Полтавська обл., 37330","888","266","876","101","525","97","622","","0","525","97","622","14","608","1","5","15","12","105","314","156","0","0","0","29.10.12"
"530077","151","Полтавська область","сільський будинок культури, фоє
вул.Леніна, 27, с.Ручки, Гадяцький р-н, Полтавська обл., 37336","576","222","563","46","311","43","354","","0","311","43","354","18","336","10","9","14","14","59","97","128","0","4","1","29.10.12"
"530078","151","Полтавська область","сільський будинок культури, фоє
пл.Леніна, 9, с.Сари, Гадяцький р-н, Полтавська обл., 37340","1104","461","1095","48","596","47","643","","0","596","47","643","26","617","17","16","74","64","86","182","171","2","3","2","28.10.12"
"530079","151","Полтавська область","сільський клуб, зал
вул.Жданова, 32, с.Сари, Гадяцький р-н, Полтавська обл., 37340","678","287","672","42","358","33","391","","0","358","33","391","14","377","9","8","54","20","52","99","132","2","1","0","29.10.12"
"530080","151","Полтавська область","сільський клуб, зал
пров.Шкільний, 5, с.Малі Будища, Гадяцький р-н, Полтавська обл., 37340","348","127","341","30","192","29","221","","0","192","29","221","8","213","5","23","9","12","36","45","82","0","1","0","28.10.12"
"530081","151","Полтавська область","сільський будинок культури, зал
вул.Леніна, 55, с.Сватки, Гадяцький р-н, Полтавська обл., 37312","594","199","586","33","363","32","395","","0","363","32","395","16","379","8","11","15","15","93","130","106","1","0","0","28.10.12"
"530082","151","Полтавська область","школа, хол
вул.Комуністична, 19, с.Бірки, Гадяцький р-н, Полтавська обл., 37313","210","59","206","13","140","11","151","","0","140","11","151","7","144","5","7","2","5","31","34","59","0","1","0","28.10.12"
"530083","151","Полтавська область","Середняківська сільська рада, актова зала
вул.Леніна, 64, с.Середняки, Гадяцький р-н, Полтавська обл., 37334","384","108","377","45","233","43","276","","0","233","43","276","7","269","13","4","9","11","29","126","74","1","2","0","28.10.12"
"530084","151","Полтавська область","сільський клуб, фоє
вул.Перемоги, 34, с.Коновалове, Гадяцький р-н, Полтавська обл., 37334","264","77","258","59","128","59","187","","0","128","59","187","5","182","0","14","5","8","37","40","77","0","1","0","28.10.12"
"530085","151","Полтавська область","школа, спортивний зал
вул.Леніна, 107, с.Соснівка, Гадяцький р-н, Полтавська обл., 37352","744","247","724","59","442","55","497","","0","442","55","497","11","486","16","10","32","26","80","166","153","2","0","1","29.10.12"
"530086","151","Полтавська область","сільський будинок культури, фоє
вул.Першотравнева, 3, с.Харківці, Гадяцький р-н, Полтавська обл., 37341","516","154","506","46","322","40","362","","0","322","40","362","14","348","4","7","11","23","34","108","156","3","2","0","28.10.12"
"530087","151","Полтавська область","приміщення колишньої школи, класна кімната
вул.Гагаріна, 4А, с.Круглик, Гадяцький р-н, Полтавська обл., 37341","174","52","173","29","98","24","122","","0","98","24","122","3","119","1","6","6","3","29","29","44","1","0","0","28.10.12"
"530088","151","Полтавська область","школа, спортивний зал
вул.Ватутіна, 6, с.Ціпки, Гадяцький р-н, Полтавська обл., 37321","528","114","530","76","346","68","414","","0","346","68","414","11","403","16","0","12","19","102","146","103","2","2","1","28.10.12"
"530146","151","Полтавська область","школа №2, коридор
вул.Городищенська, 1, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","954","350","931","42","567","37","604","","0","567","37","604","17","587","19","21","6","3","45","245","243","1","4","0","29.10.12"
"530147","151","Полтавська область","будинок школяра, актова зала
вул.50 років Жовтня, 8, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","654","268","644","19","370","16","386","","0","370","16","386","18","368","6","39","2","3","28","157","130","2","0","1","28.10.12"
"530148","151","Полтавська область","будинок культури, фойє
вул.Жовтнева, 13, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","876","329","862","28","521","26","547","","0","521","26","547","10","537","24","22","4","1","63","234","175","6","5","3","28.10.12"
"530149","151","Полтавська область","спортивний комплекс, фойє
пров.Спортивний, 2А, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","1092","459","1080","33","600","33","633","","0","600","33","633","17","616","27","21","9","2","51","294","199","6","6","1","28.10.12"
"530150","151","Полтавська область","11 дистанція сигналізації та зв’язку, зал засідань
вул.Калініна, 11, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","768","336","760","34","400","32","432","","0","400","32","432","9","423","20","17","2","1","31","197","144","4","5","2","28.10.12"
"530151","151","Полтавська область","гімназія №3, фойє
вул.Петровського, 118, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","1176","398","1156","32","749","29","778","","0","749","29","778","12","766","37","47","11","3","90","294","269","4","8","3","28.10.12"
"530152","151","Полтавська область","школа №4, актова зала
вул.Петровського, 120, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","1320","486","1298","8","827","7","834","","0","827","7","834","43","791","32","39","17","5","82","358","246","2","8","2","28.10.12"
"530153","151","Полтавська область","пасажирське вагонне депо, червоний куточок
вул.Шевченка, 1, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","1488","708","1483","30","754","26","780","","0","754","26","780","34","746","33","54","5","7","54","313","264","6","8","2","28.10.12"
"530154","151","Полтавська область","будинок культури локомотивного депо, фойє
вул.Крупської, 2, м.Гребінка, Гребінківський р-н, Полтавська обл., 37400","978","375","967","20","585","18","603","","0","585","18","603","23","580","13","13","9","7","38","257","237","1","4","1","29.10.12"
"530155","151","Полтавська область","сільська рада, зал засідань
вул.Перемоги, 28, с.Березівка, Гребінківський р-н, Полтавська обл., 37441","282","113","276","22","148","21","169","","0","148","21","169","7","162","5","2","2","1","13","69","68","0","0","2","28.10.12"
"530156","151","Полтавська область","дитячий садок, ігрова кімната
вул.Перемоги, 91, с.Корніївка, Гребінківський р-н, Полтавська обл., 37441","426","172","417","32","227","27","254","","0","227","27","254","9","245","4","8","7","2","23","119","81","0","1","0","28.10.12"
"530157","151","Полтавська область","школа, коридор
вул.Миру, 66А, с.Григорівка, Гребінківський р-н, Полтавська обл., 37450","300","110","297","42","153","37","190","","0","153","37","190","7","183","6","3","0","0","21","57","92","1","1","2","29.10.12"
"530158","151","Полтавська область","школа, коридор 1 поверх
вул.Леніна, 61В, с.Короваї, Гребінківський р-н, Полтавська обл., 37430","786","301","775","57","429","56","485","","0","429","56","485","19","466","24","9","6","7","41","232","142","2","1","2","29.10.12"
"530159","151","Полтавська область","школа, фойє
вул.Леніна, 13Б, с.Кулажинці, Гребінківський р-н, Полтавська обл., 37431","348","120","336","28","205","23","228","","0","205","23","228","6","222","4","10","6","1","30","79","88","2","2","0","28.10.12"
"530160","151","Полтавська область","школа, фойє
вул.Дзержинського, 1В, с.Майорщина, Гребінківський р-н, Полтавська обл., 37420","570","197","566","40","333","40","373","","0","333","40","373","13","360","5","14","7","1","68","138","124","2","1","0","28.10.12"
"530161","151","Полтавська область","школа, фойє
вул.Шевченка, 130, с.Сліпорід-Іванівка, Гребінківський р-н, Полтавська обл., 37421","396","130","387","34","239","27","266","","0","239","27","266","11","255","3","5","2","1","79","105","57","0","1","2","28.10.12"
"530162","151","Полтавська область","сільський клуб, фойє
вул.Леніна, 24А, с.Мар’янівка, Гребінківський р-н, Полтавська обл., 37412","444","145","437","33","269","30","299","","0","269","30","299","7","292","12","14","4","1","30","104","125","0","2","0","28.10.12"
"530163","151","Полтавська область","будинок культури, актова зала
вул.Броваря, 81, с.Олексіївка, Гребінківський р-н, Полтавська обл., 37411","474","172","467","46","261","41","302","","0","261","41","302","3","299","5","8","11","2","12","124","127","3","7","0","28.10.12"
"530164","151","Полтавська область","школа, спортивний зал
вул.Леніна, 45В, с.Овсюки, Гребінківський р-н, Полтавська обл., 37460","624","210","608","50","370","44","414","","0","370","44","414","15","399","8","12","6","0","18","231","121","1","0","2","28.10.12"
"530165","151","Полтавська область","сільський клуб, актова зала
вул.Леніна, 27, с.Покровщина, Гребінківський р-н, Полтавська обл., 37460","156","35","156","20","103","18","121","","0","103","18","121","2","119","3","3","1","1","4","66","41","0","0","0","28.10.12"
"530166","151","Полтавська область","школа, клас-музей
вул.Леніна, 39, с.Олександрівка, Гребінківський р-н, Полтавська обл., 37440","564","242","558","92","236","86","322","","0","236","86","322","8","314","16","20","11","1","31","133","98","2","1","1","29.10.12"
"530167","151","Полтавська область","школа, спортивний зал
пров.Шкільний, 1А, с.Рудка, Гребінківський р-н, Полтавська обл., 37461","522","176","520","42","305","41","346","","0","305","41","346","12","334","3","20","8","2","37","139","122","0","1","2","28.10.12"
"530168","151","Полтавська область","школа, фойє
вул.Миру, 24, с.Сербинівка, Гребінківський р-н, Полтавська обл., 37433","564","219","558","56","290","55","345","","0","290","55","345","13","332","8","6","6","1","86","59","165","1","0","0","28.10.12"
"530169","151","Полтавська область","школа, спортивний зал
вул.Перемоги, 85А, с.Слободо-Петрівка, Гребінківський р-н, Полтавська обл., 37432","792","294","786","51","449","49","498","","0","449","49","498","15","483","14","29","3","5","65","131","229","1","5","1","29.10.12"
"530170","151","Полтавська область","магазин, торговий зал
вул.Вишнева, 111А, с.Загребелля, Гребінківський р-н, Полтавська обл., 37400","306","138","307","20","148","20","168","","0","148","20","168","6","162","2","8","2","0","13","83","53","0","0","1","28.10.12"
"530171","151","Полтавська область","будинок культури, фойє
вул.Леніна, 18А, с.Стукалівка, Гребінківський р-н, Полтавська обл., 37451","306","109","295","22","180","17","197","","0","180","17","197","4","193","6","6","4","4","18","94","60","0","0","1","28.10.12"
"530172","151","Полтавська область","будинок культури, фойє
вул.Леніна, 1Б, с.Тарасівка, Гребінківський р-н, Полтавська обл., 37422","696","257","682","76","370","69","439","","0","370","69","439","20","419","8","10","8","5","37","164","182","3","1","1","28.10.12"
"530173","151","Полтавська область","школа, фойє
вул.Тімірязєва, 39, с.Тополеве, Гребінківський р-н, Полтавська обл., 37400","384","130","378","26","234","20","254","","0","234","20","254","10","244","6","17","7","2","35","104","69","0","2","2","28.10.12"
"530174","151","Полтавська область","фельдшерсько-акушерський пункт, кабінет завідувача
пров.Шкільний, 5, с.Світанок, Гребінківський р-н, Полтавська обл., 37400","426","188","417","35","207","31","238","","0","207","31","238","19","219","3","20","7","0","12","72","99","2","4","0","29.10.12"
"530175","151","Полтавська область","будинок культури, мала актова зала
вул.Лесі Українки, 29, с.Ульяновка, Гребінківський р-н, Полтавська обл., 37423","768","352","752","41","380","36","416","","0","380","36","416","16","400","12","18","2","1","28","214","121","0","4","0","29.10.12"
"530176","151","Полтавська область","сільський клуб, актова зала
вул.Жовтнева, 32, с.Жовтневе, Гребінківський р-н, Полтавська обл., 37423","108","43","101","4","62","3","65","","0","62","3","65","2","63","7","2","0","0","8","19","27","0","0","0","29.10.12"
"530417","151","Полтавська область","Лохвицький райавтодор, актовий зал
вул.Шевченка, 108, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200","1506","522","1494","67","925","59","984","","0","925","59","984","27","957","21","10","14","9","119","584","190","1","3","6","29.10.12"
"530418","151","Полтавська область","гімназія №1, вестибюль
вул.60-річчя Жовтня, 10, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200","2484","921","2469","65","1504","59","1563","","0","1504","59","1563","33","1530","12","39","19","4","203","914","327","2","4","6","29.10.12"
"530419","151","Полтавська область","районний будинок культури, фойє
вул.Перемоги, 2, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200","2484","945","2444","74","1481","58","1539","","0","1481","58","1539","41","1498","20","44","19","19","207","864","301","5","7","12","29.10.12"
"530420","151","Полтавська область","школа №2, вестибюль
вул.Петровського, 8, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200","2088","767","2066","72","1258","63","1321","","0","1258","63","1321","29","1292","13","24","14","11","213","739","266","0","5","7","29.10.12"
"530421","151","Полтавська область","професійно-технічне училище №27, вестибюль
вул.Леніна, 49, м.Лохвиця, Лохвицький р-н, Полтавська обл., 37200","954","359","948","14","584","11","595","","0","584","11","595","17","578","2","17","6","8","80","368","89","1","2","5","28.10.12"
"530422","151","Полтавська область","школа, вестибюль
вул.Вавілова, 6, с.Криниця, Лохвицький р-н, Полтавська обл., 37205","360","127","359","10","225","8","233","","0","225","8","233","9","224","3","9","2","2","33","110","63","1","0","1","29.10.12"
"530423","151","Полтавська область","будинок культури №1, фойє
вул.Матросова, 15, м.Червонозаводське, Лохвицький р-н, Полтавська обл., 37240","2070","889","2050","87","1098","83","1181","","0","1098","83","1181","37","1144","21","47","14","18","85","602","341","1","9","6","29.10.12"
"530424","151","Полтавська область","професійно-технічне училище №32, актовий зал
вул.Леніна, 10, м.Червонозаводське, Лохвицький р-н, Полтавська обл., 37240","1848","752","1827","109","1005","91","1096","","0","1005","91","1096","24","1072","26","38","10","9","97","549","333","0","6","4","29.10.12"
