"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Кіріца
Юрій
Іванович","Клімов
Леонід
Михайлович","Мадон
Ігор
Іванович","Мартинюк
Сергій
Яковлевич","Салтановський
Микола
Васильович","Сокерчак
В’ячеслав
Михайлович","Сорока
Віктор
Петрович","Дата підписання протоколу"
"510450","137","Одеська область","сільська рада, зала засідань
вул.Леніна, сільська рада, с.Будеї, Кодимський р-н, Одеська обл., 66022","808","317","798","95","404","87","491","","0","404","87","491","15","476","49","271","20","13","43","48","32","29.10.12"
"510451","137","Одеська область","будинок культури, фойє
вул.Громазюка, будинок культури, с.Грабове, Кодимський р-н, Одеська обл., 66030","928","445","917","15","470","13","483","","0","470","13","483","27","456","44","233","15","8","65","64","27","29.10.12"
"510452","137","Одеська область","школа, їдальня
вул.Пташенчука, школа, с.Котовці, Кодимський р-н, Одеська обл., 66032","152","50","149","10","93","9","102","","0","93","9","102","4","98","11","40","3","7","9","11","17","28.10.12"
"510453","137","Одеська область","сільська рада, зала засідань, 1-й поверх
вул.Піонерська, 22А, с.Загнітків, Кодимський р-н, Одеська обл., 66012","1007","402","1008","58","548","57","605","","0","548","57","605","37","568","66","327","27","21","19","32","76","29.10.12"
"510454","137","Одеська область","школа, фойє, 1-й поверх
вул.Партизанська, 22, с.Загнітків, Кодимський р-н, Одеська обл., 66012","976","360","966","74","547","69","616","","0","546","69","615","31","584","96","291","46","17","32","17","85","29.10.12"
"510455","137","Одеська область","будинок культури, актова зала
вул.Леніна, будинок культури, с.Івашків, Кодимський р-н, Одеська обл., 66020","912","352","907","94","475","85","560","","0","475","85","560","19","541","76","229","12","19","51","52","102","30.10.12"
"510456","137","Одеська область","сільська рада, зала засідань
вул.Центральна, сільська рада, с.Круті, Кодимський р-н, Одеська обл., 66042","480","180","480","31","269","31","300","","0","269","31","300","8","292","29","187","11","2","24","30","9","30.10.12"
"510457","137","Одеська область","фельдшерський пункт, кабінет лікаря, 1-й поверх
вул.Центральна, фельдшерський пункт, с.Семенівка, Кодимський р-н, Одеська обл., 66042","120","47","118","6","68","5","73","","0","68","5","73","3","70","6","46","1","0","9","5","3","29.10.12"
"510458","137","Одеська область","будинок культури, мала зала
вул.Леніна, будинок культури, с.Лабушне, Кодимський р-н, Одеська обл., 66033","864","454","851","50","364","46","410","","0","364","46","410","14","396","29","172","10","10","95","28","52","29.10.12"
"510459","137","Одеська область","школа, фойє
вул.Сушкевича, 1, с.Лисогірка, Кодимський р-н, Одеська обл., 66004","648","280","640","33","339","29","368","","0","339","29","368","16","352","35","177","6","9","64","35","26","29.10.12"
"510460","137","Одеська область","сільський клуб, фойє
вул.Братів Урсулів, сільський клуб, с.Федорівка, Кодимський р-н, Одеська обл., 66004","152","44","156","12","97","11","108","","0","97","11","108","1","107","10","78","4","0","2","2","11","31.10.12"
"510461","137","Одеська область","школа, фойє
вул.Шкільна, 5, с.Мала Слобідка, Кодимський р-н, Одеська обл., 66051","408","210","401","18","184","14","198","","0","184","14","198","14","184","26","78","7","4","17","29","23","29.10.12"
"510462","137","Одеська область","будинок культури, актова зала
вул.О.Кошового, 17А, с.Олексіївка, Кодимський р-н, Одеська обл., 66013","616","331","602","20","272","13","285","","0","272","13","285","30","255","29","123","14","11","32","11","35","29.10.12"
"510463","137","Одеська область","сільська рада, актова зала
вул.10-річчя Конституції, сільська рада, с.Петрівка, Кодимський р-н, Одеська обл., 66040","344","140","349","14","190","14","204","","0","190","14","204","12","192","22","93","13","6","28","9","21","29.10.12"
"510464","137","Одеська область","сільський клуб, актова зала
вул.Л.Українки, сільський клуб, с.Олександрівка, Кодимський р-н, Одеська обл., 66040","160","65","157","9","86","9","95","","0","86","9","95","5","90","5","59","2","1","2","4","17","29.10.12"
"510465","137","Одеська область","сільський клуб, актова зала
вул.Леніна, сільський клуб, с.Стримба, Кодимський р-н, Одеська обл., 66041","184","53","180","16","115","16","131","","0","115","16","131","1","130","22","69","7","1","16","9","6","28.10.12"
"510466","137","Одеська область","будинок культури, актова зала
вул.Шевченка, 5В, с.Пиріжна, Кодимський р-н, Одеська обл., 66021","904","383","889","32","501","20","521","","0","501","20","521","27","494","50","255","18","12","45","31","83","29.10.12"
"510467","137","Одеська область","будинок культури, мала зала
вул.Перемоги, 40, с.Писарівка, Кодимський р-н, Одеська обл., 66031","1144","570","1137","75","501","73","574","","0","501","73","574","25","549","53","236","35","23","97","59","46","29.10.12"
"510468","137","Одеська область","будинок культури, фойє
пров.Шкільний, будинок культури, с.Серби, Кодимський р-н, Одеська обл., 66011","1256","487","1250","64","709","60","769","","0","709","60","769","37","732","42","495","35","10","50","41","59","31.10.12"
"510469","137","Одеська область","школа, каб.3
вул.Шкільна, 1А, с.Смолянка, Кодимський р-н, Одеська обл., 66023","240","76","233","29","138","26","164","","0","138","26","164","6","158","21","61","14","3","24","9","26","29.10.12"
"510470","137","Одеська область","будинок культури, фойє
вул.Л.Українки, 12, с.Тимкове, Кодимський р-н, Одеська обл., 66052","528","244","517","29","258","26","284","","0","258","26","284","11","273","22","166","18","13","30","9","15","29.10.12"
"510471","137","Одеська область","сільський клуб, актова зала
вул.Центральна, 8, с.Кирилівка, Кодимський р-н, Одеська обл., 66052","40","8","38","1","31","1","32","","0","31","1","32","0","32","2","17","0","1","5","1","6","29.10.12"
"510472","137","Одеська область","школа, фойє
вул.Леніна, 7, с.Шершенці, Кодимський р-н, Одеська обл., 66034","1008","502","1000","43","463","43","506","","0","463","43","506","23","483","22","327","17","7","56","22","32","29.10.12"
"510524","137","Одеська область","школа №1, актова зала, 1-й поверх
вул.Шкільна, 20, с.Борщі, Котовський р-н, Одеська обл., 66321","288","93","287","26","170","25","195","","0","170","25","195","4","191","37","127","3","0","11","9","4","29.10.12"
"510525","137","Одеська область","школа-інтернат, будинок культури, актова зала, 1-й поверх
вул.Жовтневої Революції, 1, с-ще Борщі, Котовський р-н, Одеська обл., 66320","816","338","793","14","465","13","478","","0","465","13","478","22","456","95","179","14","17","49","61","41","28.10.12"
"510526","137","Одеська область","ПУЖКХ, актова зала, 1-й поверх
вул.Каштанова, 9, с-ще Борщі, Котовський р-н, Одеська обл., 66320","376","135","378","19","223","18","241","","0","223","18","241","8","233","32","131","0","4","11","26","29","28.10.12"
"510527","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Шкільна, 22, с.Зелений Кут, Котовський р-н, Одеська обл., 66320","208","65","209","24","120","23","143","","0","120","23","143","2","141","13","97","1","4","4","7","15","28.10.12"
"510528","137","Одеська область","школа, актова зала, 1-й поверх
вул.Шевченка, 29, с.Дібрівка, Котовський р-н, Одеська обл., 66322","248","81","248","17","151","16","167","","0","151","16","167","7","160","13","108","3","7","11","12","6","29.10.12"
"510529","137","Одеська область","школа, актова зала, 1-й поверх
вул.Леніна, 74, с.Бочманівка, Котовський р-н, Одеська обл., 66361","704","253","692","46","406","45","451","","0","406","45","451","19","432","42","264","12","16","38","24","36","29.10.12"
"510530","137","Одеська область","сільська рада, фойє, 1-й поверх
вул.Перемоги, 7, с.Великий Фонтан, Котовський р-н, Одеська обл., 66323","120","28","124","8","84","8","92","","0","84","8","92","7","85","22","40","1","1","14","5","2","29.10.12"
"510531","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Незалежна, 8, с.Гидерим, Котовський р-н, Одеська обл., 66324","584","210","573","74","306","68","374","","0","306","68","374","27","347","169","135","1","3","13","20","6","29.10.12"
"510532","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 68, с.Малий Фонтан, Котовський р-н, Одеська обл., 66383","760","304","736","60","398","58","456","","0","398","58","456","13","443","133","187","7","9","38","40","29","29.10.12"
"510533","137","Одеська область","ФГ ""Фенікс"", актова зала, 1-й поверх
вул.Котовського, 2, с.Миколаївка Перша, Котовський р-н, Одеська обл., 66323","112","21","118","12","79","12","91","","0","79","12","91","4","87","13","63","0","0","1","8","2","28.10.12"
"510534","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 91В, с.Гонората, Котовський р-н, Одеська обл., 66325","464","63","456","40","361","40","401","","0","361","40","401","8","393","40","303","2","3","11","10","24","28.10.12"
"510535","137","Одеська область","ФАП, фойє, 1-й поверх
вул.Колгоспна, 2, с.Затишшя, Котовський р-н, Одеська обл., 66325","128","11","121","14","103","14","117","","0","103","14","117","0","117","5","97","0","2","3","9","1","28.10.12"
"510536","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 14, с.Велика Кіндратівка, Котовський р-н, Одеська обл., 66302","128","21","123","14","93","14","107","","0","93","14","107","4","103","10","66","2","4","1","8","12","28.10.12"
"510537","137","Одеська область","сільська рада, фойє, 1-й поверх
вул.Центральна, 34, с.Качурівка, Котовський р-н, Одеська обл., 66370","432","127","422","41","268","37","305","","0","268","37","305","14","291","23","176","6","8","7","27","44","28.10.12"
"510538","137","Одеська область","приватний будинок гр.Волощук В.М., 1-й поверх
вул.Магістральна, 7, с.Оброчне, Котовський р-н, Одеська обл., 66302","40","3","40","3","34","3","37","","0","34","3","37","3","34","5","19","0","0","2","2","6","29.10.12"
"510539","137","Одеська область","приватний будинок гр.Ширкової Е.Є., 1-й поверх
вул.Степова, 1, с.Поплавка, Котовський р-н, Одеська обл., 66302","24","6","21","5","16","2","18","","0","16","2","18","1","17","0","14","0","1","0","1","1","28.10.12"
"510540","137","Одеська область","приватний будинок гр.Баташан К.Ф., 1-й поверх
вул.Колгоспна, 27, с.Велике Бурилове, Котовський р-н, Одеська обл., 66330","80","10","77","8","62","8","70","","0","62","8","70","0","70","1","65","1","0","1","1","1","29.10.12"
"510541","137","Одеська область","будинок культури, актова зала, 1-й поверх
пров.Колгоспний, 4, с.Домниця, Котовський р-н, Одеська обл., 66331","224","82","218","7","136","6","142","","0","136","6","142","9","133","15","98","2","3","4","4","7","28.10.12"
"510542","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 2, с.Климентове, Котовський р-н, Одеська обл., 66330","192","50","185","14","128","14","142","","0","128","14","142","4","138","7","115","1","2","2","9","2","29.10.12"
"510543","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Михайла Грушевського, 9, с.Коси, Котовський р-н, Одеська обл., 66344","824","376","812","33","422","26","448","","0","422","26","448","27","421","54","262","7","15","27","24","32","28.10.12"
"510544","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 4, с.Коси-Слобідка, Котовський р-н, Одеська обл., 66344","88","9","83","4","75","4","79","","0","75","4","79","0","79","10","59","0","0","1","8","1","28.10.12"
"510545","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Леніна, 24, с.Куяльник, Котовський р-н, Одеська обл., 66350","656","284","648","36","337","35","372","","0","337","35","372","20","352","59","173","4","9","32","49","26","29.10.12"
"510546","137","Одеська область","школа, актова зала, 1-й поверх
вул.Леніна, 65А, с.Куяльник, Котовський р-н, Одеська обл., 66350","1256","564","1248","46","655","37","692","","0","655","37","692","33","659","109","319","9","12","63","87","60","29.10.12"
"510547","137","Одеська область","школа, актова зала, 1-й поверх
вул.Шевченка, 2А, с.Олександрівка, Котовський р-н, Одеська обл., 66351","288","112","284","18","158","18","176","","0","158","18","176","8","168","18","104","3","6","8","13","16","28.10.12"
"510548","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Південна, 26А, с.Чапаєвка, Котовський р-н, Одеська обл., 66350","448","178","431","55","217","53","270","","0","217","53","270","6","264","28","142","2","9","45","18","20","28.10.12"
"510549","137","Одеська область","ФАП, фойє, 1-й поверх
вул.Монастирська, 48, с.Куйбишевське, Котовський р-н, Одеська обл., 66352","56","2","63","5","50","4","54","","0","50","4","54","4","50","1","33","1","2","3","3","7","29.10.12"
"510550","137","Одеська область","школа №1, актова зала, 1-й поверх
вул.Леніна, 173Е, с.Липецьке, Котовський р-н, Одеська обл., 66353","504","74","490","50","384","46","430","","0","384","46","430","19","411","29","302","10","6","19","19","26","29.10.12"
"510551","137","Одеська область","школа, актова зала, 1-й поверх
вул.Леніна, 327Б, с.Липецьке, Котовський р-н, Одеська обл., 66353","1224","403","1209","120","705","116","821","","0","705","116","821","61","760","66","529","13","21","25","54","52","28.10.12"
"510552","137","Одеська область","школа №2, актова зала, 1-й поверх
вул.Леніна, 463А, с.Липецьке, Котовський р-н, Одеська обл., 66353","696","189","685","82","433","74","507","","0","433","74","507","39","468","38","321","16","8","29","34","22","29.10.12"
"510553","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Котовського, 10А, с.Любомирка, Котовський р-н, Одеська обл., 66340","848","106","848","61","681","61","742","","0","681","61","742","9","733","87","508","7","11","27","54","39","29.10.12"
"510554","137","Одеська область","школа, актова зала, 1-й поверх
вул.Горького, 81/1, с.Мурована, Котовський р-н, Одеська обл., 66341","312","14","312","48","251","47","298","","0","251","47","298","2","296","29","201","5","1","40","16","4","28.10.12"
"510555","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Леніна, 21, с.Мардарівка, Котовський р-н, Одеська обл., 66373","928","313","917","52","565","50","615","","0","565","50","615","8","607","42","397","20","13","45","57","33","29.10.12"
"510556","137","Одеська область","магазин, фойє, 1-й поверх
вул.Шевченка, 16, с.Перешори, Котовський р-н, Одеська обл., 66373","56","12","51","4","40","4","44","","0","40","4","44","3","41","1","35","0","1","2","2","0","28.10.12"
"510557","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Шкільна, 36, с.Нестоїта, Котовський р-н, Одеська обл., 66332","1232","264","1211","118","851","117","968","","0","851","117","968","31","937","68","659","15","9","50","76","60","29.10.12"
"510558","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 46А, с.Нова Кульна, Котовський р-н, Одеська обл., 66332","120","21","112","13","86","13","99","","0","86","13","99","0","99","11","53","2","2","13","2","16","28.10.12"
"510559","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 37, с.Романівка, Котовський р-н, Одеська обл., 66332","96","12","93","12","72","12","84","","0","72","12","84","0","84","2","63","1","0","3","5","10","29.10.12"
"510560","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 34, с.Гертопи, Котовський р-н, Одеська обл., 66344","72","26","68","8","39","7","46","","0","39","7","46","0","46","1","39","0","0","2","2","2","29.10.12"
"510561","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Чеська, 46, с.Мала Олександрівка, Котовський р-н, Одеська обл., 66302","168","62","170","18","89","17","106","","0","89","17","106","6","100","7","60","1","2","15","4","11","29.10.12"
"510562","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Насінницька, 3А, с.Новоселівка, Котовський р-н, Одеська обл., 66360","1224","596","1205","81","569","59","628","","0","569","59","628","14","614","65","293","8","9","100","67","72","29.10.12"
"510563","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Зелена, 30, с.Розалівка, Котовський р-н, Одеська обл., 66302","184","62","182","6","116","6","122","","0","116","6","122","0","122","15","79","2","1","6","7","12","28.10.12"
"510564","137","Одеська область","школа - садок, актова зала, 1-й поверх
вул.Польова, 3, с.Соболівка, Котовський р-н, Одеська обл., 66381","536","268","525","18","252","16","268","","0","252","16","268","15","253","28","111","10","5","57","20","22","28.10.12"
"510565","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Томачівська, 32, с.Федорівка, Котовський р-н, Одеська обл., 66363","312","146","306","28","141","25","166","","0","141","25","166","12","154","23","85","2","1","19","7","17","28.10.12"
"510566","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Привокзальна, 31, с-ще Чубівка, Котовський р-н, Одеська обл., 66362","432","175","421","47","215","42","257","","0","215","42","257","13","244","19","89","3","7","46","30","50","28.10.12"
"510567","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Миру, 24, с.Глибочок, Котовський р-н, Одеська обл., 66343","368","145","361","20","203","20","223","","0","203","20","223","8","215","24","119","9","9","12","27","15","29.10.12"
"510568","137","Одеська область","ФАП, фойє, 1-й поверх
вул.Центральна, 19, с.Миколаївка, Котовський р-н, Одеська обл., 66343","64","14","71","10","40","10","50","","0","40","10","50","1","49","4","28","0","2","1","8","6","28.10.12"
"510569","137","Одеська область","школа, фойє, 1-й поверх
вул.Котовського, 3, с.Олексіївка, Котовський р-н, Одеська обл., 66342","248","38","239","11","200","10","210","","0","200","10","210","0","210","2","173","0","0","2","15","18","29.10.12"
"510570","137","Одеська область","приватний будинок гр.Ковригіної М.Є., 1-й поверх
вул.Зелена, 2, с.Гор’ївка, Котовський р-н, Одеська обл., 66302","32","9","29","0","23","0","23","","0","23","0","23","0","23","0","19","0","1","1","2","0","29.10.12"
"510571","137","Одеська область","будинок культури, актова зала, 1-й поверх
пл.Перемоги, 1, с.Мала Кіндратівка, Котовський р-н, Одеська обл., 66372","184","78","175","17","94","12","106","","0","94","12","106","3","103","7","79","1","4","1","3","8","28.10.12"
"510572","137","Одеська область","сільська рада, фойє, 1-й поверх
вул.Ради, 29, с.Петрівка, Котовський р-н, Одеська обл., 66371","168","48","157","9","111","9","120","","0","111","9","120","4","116","7","94","1","1","6","3","4","28.10.12"
"510573","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Центральна, 56А, с.Станіславка, Котовський р-н, Одеська обл., 66333","840","176","826","62","605","59","664","","0","605","59","664","19","645","31","475","12","6","30","46","45","29.10.12"
"510574","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Комарівська, 16А, с.Станіславка, Котовський р-н, Одеська обл., 66333","120","39","117","27","54","27","81","","0","54","27","81","4","77","5","61","0","1","2","3","5","29.10.12"
"510575","137","Одеська область","будинок культури, актова зала, 1-й поверх
вул.Станіславська, 19, с.Стара Кульна, Котовський р-н, Одеська обл., 66334","728","67","737","101","562","99","661","","0","562","99","661","18","643","19","525","11","6","33","31","18","29.10.12"
"510576","137","Одеська область","школа, спортивний зал, 1-й поверх
вул.Центральна, 39, с.Вишневе, Котовський р-н, Одеська обл., 66356","168","34","164","36","98","36","134","","0","98","36","134","2","132","18","82","1","2","8","8","13","28.10.12"
"510577","137","Одеська область","приватний будинок гр.Міщенко С.М., 1-й поверх
вул.Шевченка, 8, с.Грекове Перше, Котовський р-н, Одеська обл., 66355","64","12","63","6","46","6","52","","0","46","6","52","0","52","3","30","1","1","4","2","11","29.10.12"
"510578","137","Одеська область","ФАП, фойє, 1-й поверх
вул.Степова, 23, с.Новий Мир, Котовський р-н, Одеська обл., 66355","176","30","171","42","104","42","146","","0","104","42","146","7","139","5","109","2","1","3","5","14","28.10.12"
"510579","137","Одеська область","ТОВ ""Едем"", актова зала, 1-й поверх
вул.Лісна, 21, с.Чапаєвка, Котовський р-н, Одеська обл., 66355","224","46","219","28","150","28","178","","0","150","28","178","6","172","18","113","2","0","7","14","18","28.10.12"
"510580","137","Одеська область","навчально-виховний комплекс, фойє
вул.Комарова, 21, смт Красні Окни, Красноокнянський р-н, Одеська обл., 67900","2264","1204","2244","81","988","72","1060","","0","988","72","1060","34","1026","157","373","11","19","137","205","124","29.10.12"
"510581","137","Одеська область","районний будинок культури, фойє
вул.Горького, 12, смт Красні Окни, Красноокнянський р-н, Одеська обл., 67900","2160","1088","2141","80","1008","64","1072","","0","1008","64","1072","50","1022","156","337","15","18","173","170","153","29.10.12"
"510582","137","Одеська область","школа, фойє
школа, с.Флора, Красноокнянський р-н, Одеська обл., 67903","336","167","332","31","140","29","169","","0","140","29","169","9","160","22","104","1","3","12","12","6","28.10.12"
"510583","137","Одеська область","навчально-виховний комплекс, фойє
навчально-виховний комплекс, с.Антонівка, Красноокнянський р-н, Одеська обл., 67941","648","234","634","50","367","47","414","","0","367","47","414","22","392","30","291","9","6","24","11","21","28.10.12"
"510584","137","Одеська область","сільський клуб, актовий зал
сільський клуб, с.Володимирівка, Красноокнянський р-н, Одеська обл., 67941","152","39","151","18","97","16","113","","0","97","16","113","3","110","4","91","2","0","1","2","10","28.10.12"
"510585","137","Одеська область","сільський клуб, фойє
сільський клуб, с.Гавиноси, Красноокнянський р-н, Одеська обл., 67912","504","240","496","51","227","37","264","","0","227","37","264","19","245","33","110","7","6","9","45","35","29.10.12"
"510586","137","Одеська область","навчально-виховний комплекс, фойє
навчально-виховний комплекс, с.Гулянка, Красноокнянський р-н, Одеська обл., 67950","576","279","566","29","279","18","297","","0","279","18","297","15","282","24","123","4","5","31","37","58","29.10.12"
"510587","137","Одеська область","навчально-виховний комплекс, фойє
навчально-виховний комплекс, с.Тригради, Красноокнянський р-н, Одеська обл., 67951","200","82","197","2","116","2","118","","0","116","2","118","4","114","13","73","0","1","13","8","6","28.10.12"
"510588","137","Одеська область","сільський клуб, актовий зал
сільський клуб, с.Довжанка, Красноокнянський р-н, Одеська обл., 67930","632","248","621","46","342","42","384","","0","342","42","384","9","375","39","191","4","8","54","56","23","28.10.12"
"510589","137","Одеська область","навчально-виховний комплекс, фойє
навчально-виховний комплекс, с.Артирівка, Красноокнянський р-н, Одеська обл., 67931","224","90","218","16","121","13","134","","0","121","13","134","4","130","9","57","7","1","12","33","11","28.10.12"
"510590","137","Одеська область","навчально-виховний комплекс, фойє
навчально-виховний комплекс, с.Дубове, Красноокнянський р-н, Одеська обл., 67933","264","111","265","20","138","15","153","","0","138","15","153","7","146","4","103","2","3","13","8","13","29.10.12"
"510591","137","Одеська область","сільський клуб, фойє
сільський клуб, с.Ткаченка, Красноокнянський р-н, Одеська обл., 67934","424","201","421","14","212","11","223","","0","212","11","223","10","213","19","143","4","8","9","10","20","29.10.12"
"510592","137","Одеська область","сільський клуб, фойє
сільський клуб, с.Малаївці, Красноокнянський р-н, Одеська обл., 67932","616","246","603","40","331","39","370","","0","331","39","370","10","360","34","161","6","6","94","33","26","28.10.12"
"510593","137","Одеська область","сільський клуб, фойє
сільський клуб, с-ще Червоний Орач, Красноокнянський р-н, Одеська обл., 67900","72","22","73","7","44","6","50","","0","44","6","50","1","49","7","16","3","5","5","8","5","28.10.12"
