"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андріанов
Ігор
Юрійович","Бабіч
Олег
Іванович","Боделан
Володимир
Русланович","Болозович
Ярослав
Олегович","Георгієв
Іван
Васильович","Дубенко
Георгій
Миколайович","Загорюк
Сергій
Севастьянович","Келіогло
Василь
Григорійович","Крук
Юрій
Борисович","Онос
Юрій
Васильович","Пастух
Ігор
Миколайович","Руссу
Роман
Степанович","Страшилін
В’ячеслав
Михайлович","Чепой
Іван
Григорійович","Дата підписання протоколу"
"510382","143","Одеська область","будинок культури, фойє
вул.Болградська, 94А, с.Броска, Ізмаїльський р-н, Одеська обл., 68663","1422","693","1411","35","697","32","729","","0","697","32","729","28","701","2","145","72","4","4","14","5","54","220","36","82","21","37","5","29.10.12"
"510383","143","Одеська область","Бросківська школа, фойє
вул.Болградська, 90, с.Броска, Ізмаїльський р-н, Одеська обл., 68663","1386","719","1357","30","641","26","667","","0","641","26","667","17","650","7","168","80","2","2","26","3","42","186","28","74","8","11","13","29.10.12"
"510384","143","Одеська область","будинок культури, фойє
вул.Леніна, 7, с.Каланчак, Ізмаїльський р-н, Одеська обл., 68642","1068","589","1057","34","448","31","479","","0","448","31","479","18","461","3","60","87","1","2","5","1","30","177","21","24","21","12","17","28.10.12"
"510385","143","Одеська область","будинок культури, зала
вул.Леніна, 94, с.Кам’янка, Ізмаїльський р-н, Одеська обл., 68643","1314","690","1297","59","566","58","624","","0","566","58","624","33","591","6","72","173","4","7","2","2","35","152","47","47","21","7","16","28.10.12"
"510386","143","Одеська область","сільська рада, актова зала
вул.Суворова, 4Г, с.Кам’янка, Ізмаїльський р-н, Одеська обл., 68643","1464","882","1452","38","548","34","582","","0","548","34","582","28","554","4","65","189","4","3","2","1","39","124","50","37","20","4","12","29.10.12"
"510387","143","Одеська область","будинок культури, к.2
вул.Комсомольська, 16Б, с.Комишівка, Ізмаїльський р-н, Одеська обл., 68653","2490","1756","2464","29","709","25","734","","0","709","25","734","51","683","7","94","72","5","4","3","3","35","255","57","39","16","4","89","29.10.12"
"510388","143","Одеська область","будинок культури, зала
вул.Шкільна, 2, с.Кирнички, Ізмаїльський р-н, Одеська обл., 68650","1728","929","1707","66","745","54","799","","0","745","54","799","29","770","5","140","158","7","10","5","2","65","227","39","52","18","26","16","28.10.12"
"510389","143","Одеська область","будинок культури, актова зала
вул.Кірова, 59, с.Кислиця, Ізмаїльський р-н, Одеська обл., 68655","2130","1159","2104","37","951","20","971","","0","951","20","971","62","909","5","253","111","7","6","28","0","87","197","54","89","31","14","27","29.10.12"
"510390","143","Одеська область","недіюча школа, фойє
вул.Радянська, 2А, с.Ларжанка, Ізмаїльський р-н, Одеська обл., 68662","1704","833","1673","39","836","35","871","","0","836","35","871","41","830","3","111","52","3","4","20","0","44","231","49","246","6","10","51","29.10.12"
"510391","143","Одеська область","будинок культури, фойє
вул.Ізмаїльська, 64А, с.Лощинівка, Ізмаїльський р-н, Одеська обл., 68644","1164","649","1137","27","490","25","515","","0","490","25","515","23","492","2","92","76","4","4","5","0","31","144","58","38","13","6","19","29.10.12"
"510392","143","Одеська область","Матроська школа, фойє
вул.Пушкіна, 26А, с.Матроська, Ізмаїльський р-н, Одеська обл., 68664","1752","875","1736","29","850","27","877","","0","850","27","877","34","843","7","175","100","4","4","13","1","45","233","50","175","7","22","7","29.10.12"
"510393","143","Одеська область","будинок культури, фойє
вул.Кутузова, 17, с.Муравлівка, Ізмаїльський р-н, Одеська обл., 68652","798","365","783","27","412","21","433","","0","412","21","433","28","405","3","80","91","1","2","3","2","17","103","22","64","3","3","11","29.10.12"
"510394","143","Одеська область","будинок культури, мала зала
вул.Леніна, 67А, с.Нова Некрасівка, Ізмаїльський р-н, Одеська обл., 68661","1482","681","1468","39","769","32","801","","0","769","32","801","27","774","9","62","138","4","2","8","1","43","170","35","247","14","26","15","29.10.12"
"510395","143","Одеська область","будинок культури, зала
вул.Радянська, 45, с.Нова Покровка, Ізмаїльський р-н, Одеська обл., 68651","636","231","622","49","361","44","405","","0","361","44","405","13","392","2","37","31","0","1","5","1","8","272","18","1","9","0","7","28.10.12"
"510396","143","Одеська область","Озерненська школа, фойє, праве крило
вул.1 Травня, 29А, с.Озерне, Ізмаїльський р-н, Одеська обл., 68660","1932","1198","1904","16","719","15","734","","0","719","15","734","51","683","3","191","63","5","7","14","4","89","183","12","47","22","13","30","29.10.12"
