"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Заботкін
Микола
Олександрович","Задорожнюк
Василь
Миколайович","Кісловський
Андрій
В’ячеславович","Ніколайчук
Юрій
Володимирович","Тімонін
Олександр
Олександрович","Фурсін
Іван
Геннадійович","Дата підписання протоколу"
"000001","138","Одеська область","
вул.Леніна, 45, м. Ананьїв, Одеська обл., 66400","88","25","63","9","54","9","63","","0","54","9","63","7","56","2","3","10","0","5","36","29.10.12"
"000002","138","Одеська область","
вул.Леніна, 47, смт Любашівка, Любашівський р-н, Одеська обл., 66502","136","108","32","18","10","18","28","","0","10","18","28","0","28","0","3","4","0","2","19","28.10.12"
"510001","138","Одеська область","міська рада, сесійна зала
вул.Незалежності, 20, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","1248","716","1226","31","504","28","532","","0","504","28","532","19","513","9","70","67","4","60","303","28.10.12"
"510002","138","Одеська область","школа-інтернат, коридор, 1-й поверх
вул.Аносова, 44, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","864","463","853","15","391","10","401","","0","391","10","401","19","382","9","54","53","13","39","214","28.10.12"
"510003","138","Одеська область","гімназія, коридор, 1-й поверх
вул.Пушкіна, 36, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","2128","1138","2100","24","969","21","990","","0","969","21","990","32","958","13","157","140","22","123","503","29.10.12"
"510004","138","Одеська область","Ананьївський професійний ліцей, актовий зал клубу
вул.Ніщинського, 7, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","592","301","586","19","275","16","291","","0","275","16","291","18","273","3","42","38","4","31","155","29.10.12"
"510005","138","Одеська область","ліцей, актова зала
вул.Пушкіна, 52, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","1008","539","1005","11","461","8","469","","0","461","8","469","22","447","9","80","70","8","48","232","29.10.12"
"510006","138","Одеська область","технікум, бібліотека нижнього корпусу
вул.Гагаріна, 1, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","792","443","782","10","342","7","349","","0","342","7","349","11","338","3","59","53","1","38","184","29.10.12"
"510007","138","Одеська область","сільська рада, к.5
вул.Леніна, 23, с.Ананьїв, Ананьївський р-н, Одеська обл., 66421","912","575","900","16","326","11","337","","0","326","11","337","18","319","6","40","47","5","25","196","28.10.12"
"510008","138","Одеська область","школа №6, спортивний зал
вул.Котовського, 20, с.Ананьїв, Ананьївський р-н, Одеська обл., 66424","848","519","833","16","313","16","329","","0","313","16","329","34","295","4","48","35","8","39","161","29.10.12"
"510009","138","Одеська область","ФАП, робоча кімната
вул.Центральна, 26, с.Селиванівка, Ананьївський р-н, Одеська обл., 66427","120","44","117","13","66","10","76","","0","66","10","76","0","76","2","14","6","2","6","46","28.10.12"
"510010","138","Одеська область","сільська рада, сесійний зал
вул.Пушкіна, 2, с.Ананьїв, Ананьївський р-н, Одеська обл., 66422","896","509","892","37","362","25","387","","0","362","25","387","30","357","15","57","38","13","34","200","29.10.12"
"510011","138","Одеська область","будинок культури, зал урочистих подій
вул.Шевченко, 211, с.Ананьїв, Ананьївський р-н, Одеська обл., 66422","328","164","314","11","158","6","164","","0","158","6","164","11","153","3","26","18","8","14","84","28.10.12"
"510012","138","Одеська область","школа №5, к.1
вул.Шевченко, 68, с.Ананьїв, Ананьївський р-н, Одеська обл., 66423","408","177","409","24","211","20","231","","0","211","20","231","11","220","1","17","20","6","19","157","29.10.12"
"510013","138","Одеська область","школа, коридор, 1-й поверх
вул.Тараса Шевченка, 51, с.Байтали, Ананьївський р-н, Одеська обл., 66412","496","208","483","39","255","33","288","","0","255","33","288","15","273","5","61","54","5","18","130","30.10.12"
"510014","138","Одеська область","школа І-ІІІ ст., навчальна кімната
вул.Леніна, 128, с.Гандрабури, Ананьївський р-н, Одеська обл., 66428","784","412","775","25","349","23","372","","0","349","23","372","26","346","3","19","24","5","16","279","28.10.12"
"510015","138","Одеська область","школа І-ІІ ст., ігровий зал
вул.Щорса, 9, с.Гандрабури, Ананьївський р-н, Одеська обл., 66428","888","472","868","25","397","19","416","","0","397","19","416","27","389","6","34","20","9","18","302","28.10.12"
"510016","138","Одеська область","школа №4, коридор, 1-й поверх
вул.Центральна, 115, с.Долинське, Ананьївський р-н, Одеська обл., 66442","392","201","382","44","147","44","191","","0","147","44","191","7","184","5","24","31","4","13","107","29.10.12"
"510017","138","Одеська область","сільська рада, зал урочистих подій
вул.Центральна, 2, с.Долинське, Ананьївський р-н, Одеська обл., 66442","664","316","657","24","324","24","348","","0","324","24","348","11","337","5","51","49","6","45","181","28.10.12"
"510018","138","Одеська область","колишня школа №5, спортивний зал
вул.Маркса Карла, 208А, с.Долинське, Ананьївський р-н, Одеська обл., 66442","472","264","468","33","176","32","208","","0","176","32","208","15","193","2","16","3","2","21","149","28.10.12"
"510019","138","Одеська область","колишня школа №3, навчальний кабінет
вул.Кірова, 63А, с.Долинське, Ананьївський р-н, Одеська обл., 66442","480","255","471","37","190","35","225","","0","190","35","225","17","208","3","7","18","1","6","173","28.10.12"
"510020","138","Одеська область","ДП ""Украгросоюз"", робочий кабінет
вул.Кірова, 8, с.Долинське, Ананьївський р-н, Одеська обл., 66442","664","333","656","33","299","32","331","","0","299","32","331","10","321","10","42","19","11","14","225","29.10.12"
"510021","138","Одеська область","школа №1, фойє
вул.Октябрська, 43, с.Жеребкове, Ананьївський р-н, Одеська обл., 66410","1328","790","1300","40","508","30","538","","0","508","30","538","26","512","18","59","110","15","33","277","29.10.12"
"510022","138","Одеська область","школа №2, коридор, 1-й поверх
вул.Пушкінська, 38, с.Жеребкове, Ананьївський р-н, Одеська обл., 66410","736","297","732","9","433","6","439","","0","433","6","439","12","427","4","34","47","8","14","320","29.10.12"
"510023","138","Одеська область","магазин, торговий зал
вул.Комсомольська, 4, с.Михайлівка, Ананьївський р-н, Одеська обл., 66411","168","84","161","14","74","10","84","","0","74","10","84","9","75","5","19","8","4","2","37","29.10.12"
"510024","138","Одеська область","сільська рада, зал засідань
вул.Лермонтова, 19, с.Коханівка, Ананьївський р-н, Одеська обл., 66440","576","305","564","55","223","48","271","","0","223","48","271","5","266","4","33","27","9","28","165","28.10.12"
"510025","138","Одеська область","сільська рада, зал засідань
вул.Центральна, 1А, с.Кохівка, Ананьївський р-н, Одеська обл., 66430","456","157","449","67","237","62","299","","0","237","62","299","7","292","1","34","22","4","11","220","28.10.12"
"510026","138","Одеська область","клуб, актовий зал
вул.Л.Українки, 107Б, с.Шелехове, Ананьївський р-н, Одеська обл., 66431","416","131","410","61","234","51","285","","0","234","51","285","7","278","2","30","39","2","13","192","28.10.12"
"510027","138","Одеська область","сільська рада, зал засідань
вул.Радянська, 69А, с.Новогеоргіївка, Ананьївський р-н, Одеська обл., 66420","568","271","560","43","257","40","297","","0","257","40","297","16","281","10","48","33","6","24","160","28.10.12"
"510028","138","Одеська область","школа, коридор, 1-й поверх
вул.Т.Г.Шевченка, 4/1, с.Новоселівка, Ананьївський р-н, Одеська обл., 66441","496","237","488","47","217","42","259","","0","217","42","259","15","244","5","39","16","8","19","157","29.10.12"
"510029","138","Одеська область","будинок культури, кінозал
вул.Миру, 67, с.Новоолександрівка, Ананьївський р-н, Одеська обл., 66434","496","163","497","37","298","35","333","","0","298","35","333","12","321","11","19","10","3","17","261","28.10.12"
"510030","138","Одеська область","школа, навчальна кімната
вул.Центральна, 3, с.Точилове, Ананьївський р-н, Одеська обл., 66413","720","327","709","49","348","45","393","","0","348","45","393","10","383","4","20","21","6","15","317","28.10.12"
"510031","138","Одеська область","школа, коридор, 1-й поверх
вул.Центральна, 49, с.Романівка, Ананьївський р-н, Одеська обл., 66433","504","169","501","48","288","47","335","","0","288","47","335","10","325","9","67","37","5","17","190","28.10.12"
"510032","138","Одеська область","магазин, торговий зал
вул.Леніна, 55, с.Шимкове, Ананьївський р-н, Одеська обл., 66432","488","219","480","30","239","30","269","","0","239","30","269","4","265","4","45","24","6","8","178","29.10.12"
"510118","138","Одеська область","будинок культури, фойє
вул.Центральна, 61, с.Анатолівка, Березівський р-н, Одеська обл., 67320","488","237","478","4","249","2","251","","0","249","2","251","17","234","4","60","16","6","12","136","29.10.12"
"510119","138","Одеська область","школа, класна к.1
вул.Центральна, 33, с.Антонівка, Березівський р-н, Одеська обл., 67321","120","55","119","7","59","6","65","","0","0","0","65","2","63","0","16","10","2","1","34","31.10.12"
"510120","138","Одеська область","контора, к.1
вул.Леніна, 27, с.Балайчук, Березівський р-н, Одеська обл., 67334","264","126","258","9","129","9","138","","0","129","9","138","6","132","1","50","16","0","7","58","28.10.12"
"510121","138","Одеська область","районний будинок культури, фойє
вул.Матросова, 1, м.Березівка, Березівський р-н, Одеська обл., 67300","1280","635","1264","11","638","7","645","","0","638","7","645","24","621","14","268","97","2","34","206","28.10.12"
"510122","138","Одеська область","кінотеатр ""Побєда"", фойє
пл.Генерала Плієва, 19, м.Березівка, Березівський р-н, Одеська обл., 67300","960","520","941","8","432","8","440","","0","432","8","440","16","424","5","156","47","9","16","191","28.10.12"
"510123","138","Одеська область","школа №2, спортивний зал
вул.К. Маркса, 4, м.Березівка, Березівський р-н, Одеська обл., 67300","1232","701","1214","5","526","5","531","","0","526","5","531","17","514","6","218","43","7","25","215","28.10.12"
"510124","138","Одеська область","школа №3, фойє
вул.К. Маркса, 5, м.Березівка, Березівський р-н, Одеська обл., 67300","1872","964","1847","9","899","9","908","","0","897","9","906","37","869","6","361","100","18","54","330","29.10.12"
"510125","138","Одеська область","Березівський професійний аграрний ліцей, фойє
вул.Побєди, 15, м.Березівка, Березівський р-н, Одеська обл., 67300","1552","702","1523","32","823","27","850","","0","823","27","850","18","832","11","357","82","8","42","332","28.10.12"
"510126","138","Одеська область","кафе ""Українські страви"", обідня зала
вул.Пристанційна, 7, м.Березівка, Березівський р-н, Одеська обл., 67300","552","288","541","7","257","7","264","","0","257","7","264","5","259","3","55","29","6","20","146","29.10.12"
"510127","138","Одеська область","школа, фойє
вул.Леніна, 34Б, с.Веселинівка, Березівський р-н, Одеська обл., 67314","144","40","140","1","103","1","104","","0","103","1","104","0","104","0","9","7","1","0","87","29.10.12"
"510128","138","Одеська область","школа, фойє
вул.Островського, 15А, с.Виноградне, Березівський р-н, Одеська обл., 67341","952","428","947","45","485","39","524","","0","485","39","524","23","501","13","86","67","5","23","307","29.10.12"
"510129","138","Одеська область","сільська рада, актова зала
вул.Лермонтова, 1, с.Вікторівка, Березівський р-н, Одеська обл., 67350","560","241","552","26","297","22","319","","0","297","22","319","17","302","11","75","56","2","14","144","28.10.12"
"510130","138","Одеська область","сільський клуб, глядацький зал
вул.Молодіжна, 6А, с.Вовкове, Березівський р-н, Одеська обл., 67352","184","69","181","18","97","18","115","","0","97","18","115","3","112","4","20","0","18","6","64","28.10.12"
"510131","138","Одеська область","будинок культури, фойє
вул.Гагаріна, 5, с.Гуляївка, Березівський р-н, Одеська обл., 67353","520","274","510","6","240","6","246","","0","240","6","246","18","228","4","47","24","2","5","146","28.10.12"
"510132","138","Одеська область","сільська рада, каб.4
вул.Першотравнева, 31, с.Демидове, Березівський р-н, Одеська обл., 67312","744","359","731","38","350","35","385","","0","350","35","385","16","369","2","64","24","6","12","261","29.10.12"
"510133","138","Одеська область","контора ТОВ ""АФ Основа"", каб.1
вул.Виноградна, 1А, с.Донське, Березівський р-н, Одеська обл., 67351","160","81","152","11","69","10","79","","0","69","10","79","6","73","1","17","9","0","2","44","28.10.12"
"510134","138","Одеська область","початкова школа, кл.2
вул.Дачна, 11, с.Жовтнівка, Березівський р-н, Одеська обл., 67315","280","120","275","3","158","2","160","","0","158","2","160","8","152","2","40","14","1","4","91","29.10.12"
"510135","138","Одеська область","будинок культури, фойє
вул.Леніна, 34, с.Заводівка, Березівський р-н, Одеська обл., 67313","728","345","721","34","355","28","383","","0","355","28","383","15","368","10","90","53","5","16","194","29.10.12"
"510136","138","Одеська область","сільський клуб, фойє
вул.Шевченко, 5А, с.Зброжківка, Березівський р-н, Одеська обл., 67330","256","105","248","10","142","9","151","","0","142","9","151","10","141","2","31","31","1","5","71","29.10.12"
"510137","138","Одеська область","будинок культури, фойє
вул.Чапаєва, 1, с.Зеленопілля, Березівський р-н, Одеська обл., 67360","144","70","140","1","73","1","74","","0","73","1","74","4","70","2","24","7","1","3","33","28.10.12"
"510138","138","Одеська область","будинок культури, хол
вул.Шевченка, 149, с.Софіївка, Березівський р-н, Одеська обл., 67354","544","148","540","41","361","35","396","","0","361","35","396","16","380","7","51","9","6","12","295","29.10.12"
"510139","138","Одеська область","дитячий навчальний заклад, вестибюль
вул.Леніна, 18А, с.Котовське, Березівський р-н, Одеська обл., 67324","240","85","231","11","146","9","155","","0","146","9","155","3","152","4","41","23","2","7","75","29.10.12"
"510140","138","Одеська область","школа, актова зала
вул.Одеська, 1А, с.Кудрявка, Березівський р-н, Одеська обл., 67310","160","73","153","3","85","2","87","","0","85","2","87","2","85","2","15","10","3","11","44","28.10.12"
"510141","138","Одеська область","сільський клуб, зал
вул.Ворошилова, 32А, с.Ланове, Березівський р-н, Одеська обл., 67307","136","26","132","1","109","1","110","","0","106","1","107","0","107","3","27","5","0","1","71","29.10.12"
"510142","138","Одеська область","школа, спортивний зал
вул.Леніна, 82, с.Маринове, Березівський р-н, Одеська обл., 67333","744","294","740","35","415","35","450","","0","415","35","450","21","429","13","133","29","15","30","209","28.10.12"
"510143","138","Одеська область","сільський клуб, глядацький зал
вул.Першотравнева, 15, с.Мар’янівка, Березівський р-н, Одеська обл., 67350","248","96","247","8","144","8","152","","0","144","8","152","3","149","1","23","15","2","2","106","28.10.12"
"510144","138","Одеська область","школа, фойє
вул.Леніна, 40, с.Михайло-Олександрівка, Березівський р-н, Одеська обл., 67314","416","180","405","17","220","16","236","","0","220","16","236","6","230","2","41","12","3","9","163","29.10.12"
"510145","138","Одеська область","сільський клуб, глядацький зал
вул.Леніна, 67, с.Нейкове, Березівський р-н, Одеська обл., 67323","296","130","283","1","165","1","166","","0","165","1","166","9","157","0","46","7","0","8","96","28.10.12"
"510146","138","Одеська область","будинок культури, фойє
вул.Миру, 1Г, с.Новоселівка, Березівський р-н, Одеська обл., 67330","1136","662","1124","42","442","32","474","","0","442","32","474","21","453","8","86","59","12","30","258","28.10.12"
"510147","138","Одеська область","сільський клуб, глядацький зал
вул.Центральна, 22А, с.Онорівка, Березівський р-н, Одеська обл., 67324","104","41","103","4","59","4","63","","0","59","4","63","5","58","1","16","7","1","6","27","28.10.12"
"510148","138","Одеська область","будинок культури, фойє
вул.Леніна, 22, с.Основа, Березівський р-н, Одеська обл., 67361","152","27","148","0","125","0","125","","0","125","0","125","3","122","2","37","2","1","7","73","28.10.12"
"510149","138","Одеська область","школа, фойє
вул.Шкільна, 7, с.Петрівка, Березівський р-н, Одеська обл., 67361","400","195","389","19","186","19","205","","0","186","19","205","7","198","3","38","27","4","14","112","29.10.12"
"510150","138","Одеська область","дитячий навчальний заклад, кл.3
вул.Кірова, 27, с.Рівне, Березівський р-н, Одеська обл., 67322","184","99","179","1","84","1","85","","0","84","1","85","3","82","1","28","0","2","0","51","28.10.12"
"510151","138","Одеська область","школа, їдальня
вул.Совєтська, 3А, смт Раухівка, Березівський р-н, Одеська обл., 67308","2000","1236","1978","7","759","5","764","","0","759","5","764","33","731","21","161","89","21","56","383","29.10.12"
"510152","138","Одеська область","сільський клуб, зал
вул.Ломоносова, 35А, с.Роздол, Березівський р-н, Одеська обл., 67307","640","287","625","6","348","5","353","","0","348","5","353","15","338","3","51","46","7","21","210","28.10.12"
"510153","138","Одеська область","школа, спортивний зал
вул.Миру, 40, с.Розквіт, Березівський р-н, Одеська обл., 67324","968","464","955","37","468","36","504","","0","468","36","504","12","492","5","179","20","10","22","256","29.10.12"
"510154","138","Одеська область","школа, фойє
вул.Фрунзе, 6, с.Ряснопіль, Березівський р-н, Одеська обл., 67360","648","274","643","37","337","37","374","","0","337","37","374","11","363","9","105","43","11","19","176","28.10.12"
"510155","138","Одеська область","сільський клуб, зал
вул.Центральна, 1, с.Семихатки, Березівський р-н, Одеська обл., 67340","232","73","223","6","154","5","159","","0","154","5","159","5","154","3","39","28","1","6","77","28.10.12"
"510156","138","Одеська область","сільська рада, зал урочистих подій
вул.Центральна, 7, с.Ставкове, Березівський р-н, Одеська обл., 67322","944","430","937","11","504","10","514","","0","504","10","514","29","485","3","123","34","6","42","277","28.10.12"
"510157","138","Одеська область","будинок культури, глядацький зал
вул.Котовського, 12Б, с.Степанівка, Березівський р-н, Одеська обл., 67351","352","113","347","7","232","7","239","","0","232","7","239","4","235","3","78","21","1","9","123","29.10.12"
"510158","138","Одеська область","сільський клуб, зал
вул.Леніна, 21, с.Травневе, Березівський р-н, Одеська обл., 67340","176","72","175","4","100","4","104","","0","100","4","104","5","99","2","26","25","2","6","38","28.10.12"
"510159","138","Одеська область","сільський клуб, зал
вул.Миру, 24, с.Улянівка, Березівський р-н, Одеська обл., 67340","120","37","114","5","79","4","83","","0","79","4","83","1","82","1","31","4","1","1","44","29.10.12"
"510160","138","Одеська область","сільський клуб, зал
вул.Кірова, 1А, с.Червоний Агроном, Березівський р-н, Одеська обл., 67324","88","25","87","4","60","3","63","","0","60","3","63","1","62","0","38","3","0","4","17","28.10.12"
"510161","138","Одеська область","школа, кімната відпочинку, 1-й поверх
вул.Миру, 23А, с.Червоноармійське, Березівський р-н, Одеська обл., 67340","376","108","366","10","259","9","268","","0","259","9","268","3","265","2","38","30","7","15","173","29.10.12"
"510162","138","Одеська область","сільський клуб, глядацький зал
вул.Шевченка, 28А, с.Червоноволодимирівка, Березівський р-н, Одеська обл., 67311","440","176","441","31","241","23","264","","0","241","23","264","5","259","4","78","24","5","6","142","29.10.12"
"510163","138","Одеська область","сільський клуб, фойє
вул.Річна, 36, с.Чижове, Березівський р-н, Одеська обл., 67315","312","129","306","11","173","10","183","","0","173","10","183","10","173","2","31","46","2","7","85","28.10.12"
"510164","138","Одеська область","сільський клуб, глядацький зал
вул.Щорса, 40А, с.Чорногірка, Березівський р-н, Одеська обл., 67352","392","110","387","10","273","9","282","","0","273","9","282","10","272","5","73","68","6","14","106","28.10.12"
"510165","138","Одеська область","школа, фойє
вул.Маркевича, 1А, с.Шевченкове, Березівський р-н, Одеська обл., 67331","544","216","539","3","325","3","328","","0","325","3","328","12","316","0","86","46","7","14","163","29.10.12"
"510166","138","Одеська область","будинок культури, актова зала
вул.Ціммера, 3А, с.Яснопілля, Березівський р-н, Одеська обл., 67310","280","113","274","8","163","4","167","","0","163","4","167","6","161","4","45","15","2","15","80","29.10.12"
"510167","138","Одеська область","Березівська центральна районна лікарня, актова зала
вул.Больнична, 6, м.Березівка, Березівський р-н, Одеська обл., 67300","24","0","68","10","21","3","24","","0","21","3","24","0","24","1","5","2","0","1","15","28.10.12"
"510345","138","Одеська область","сільський клуб, зала
вул.20 років Жовтня, 76, с.Адамівка, Іванівський р-н, Одеська обл., 67233","240","87","243","27","127","26","153","","0","127","26","153","2","151","2","9","14","1","6","119","29.10.12"
"510346","138","Одеська область","сільський клуб, фойє
вул.Чапаєва, 9, с.Баланини, Іванівський р-н, Одеська обл., 67200","120","26","121","6","88","6","94","","0","88","6","94","6","88","0","24","18","1","4","41","29.10.12"
"510347","138","Одеська область","приміщення сільської ради, зала засідань
вул.Центральна, 39, с.Баранове, Іванівський р-н, Одеська обл., 67230","704","284","708","26","396","24","420","","0","396","24","420","20","400","10","38","88","4","29","231","28.10.12"
"510348","138","Одеська область","будинок культури, зала
вул.Стрекалова, 65А, с.Білка, Іванівський р-н, Одеська обл., 67231","696","331","692","26","342","23","365","","0","342","23","365","15","350","5","55","52","8","28","202","28.10.12"
"510349","138","Одеська область","Будинок культури, мала зала
пров.Проспект Миру, 8, с.Благоєве, Іванівський р-н, Одеська обл., 67224","1216","737","1220","39","447","32","479","","0","447","32","479","42","437","7","34","44","10","20","322","29.10.12"
"510350","138","Одеська область","сільський клуб, зала
вул.Пролетарська, сільський клуб, с.Блонське, Іванівський р-н, Одеська обл., 67231","128","44","126","0","84","0","84","","0","84","0","84","0","84","1","5","26","1","6","45","28.10.12"
"510351","138","Одеська область","сільський клуб, зала
вул.Леніна, 82, с.Богунове, Іванівський р-н, Одеська обл., 67220","576","246","580","26","305","25","330","","0","305","25","330","11","319","2","68","56","7","33","153","29.10.12"
"510352","138","Одеська область","будинок культури, зала
вул.Жовтнева, 134, с.Бузинове, Іванівський р-н, Одеська обл., 67200","744","352","739","29","365","27","392","","0","365","27","392","17","375","6","96","67","6","30","170","29.10.12"
"510353","138","Одеська область","філія Бузинівської школи, актова зала
вул.Ворошилова, 8А, с.Верхній Куяльник, Іванівський р-н, Одеська обл., 67233","192","95","188","11","87","10","97","","0","87","10","97","9","88","1","13","24","1","2","47","28.10.12"
"510354","138","Одеська область","Гудевичевська школа, спортивна зала
вул.Леніна, 35А, с.Гудевичеве, Іванівський р-н, Одеська обл., 67223","464","210","463","24","231","23","254","","0","231","23","254","12","242","2","24","50","8","11","147","29.10.12"
"510355","138","Одеська область","Джугастрівська школа, спортивна зала
вул.Леніна, 35А, с.Джугастрове, Іванівський р-н, Одеська обл., 67222","368","165","359","8","195","8","203","","0","195","8","203","8","195","4","29","21","1","19","121","29.10.12"
"510356","138","Одеська область","будинок культури, велика зала
вул.Леніна, 95, смт Іванівка, Іванівський р-н, Одеська обл., 67200","1720","748","1688","20","958","14","972","","0","957","14","971","44","927","15","266","218","13","103","312","29.10.12"
"510357","138","Одеська область","Іванівська школа, вестибюль
вул.Новоселів, 18А, смт Іванівка, Іванівський р-н, Одеська обл., 67200","920","410","904","15","498","12","510","","0","497","12","509","13","496","5","149","112","8","48","174","29.10.12"
"510358","138","Одеська область","Калинівська школа, актова зала
вул.30 років Перемоги, 15А, с.Калинівка, Іванівський р-н, Одеська обл., 67221","344","133","332","28","184","27","211","","0","184","27","211","19","192","2","38","36","1","14","101","28.10.12"
"510359","138","Одеська область","будинок культури, мала зала
вул.30-річчя Перемоги, 49, с.Конопляне, Іванівський р-н, Одеська обл., 67220","1536","769","1531","39","729","38","767","","0","729","38","767","43","724","11","160","154","13","95","291","29.10.12"
"510360","138","Одеська область","сільський клуб, зала
вул.Олейникова, 26, с.Лізинка, Іванівський р-н, Одеська обл., 67224","104","39","102","0","65","0","65","","0","65","0","65","1","64","1","11","17","1","2","32","28.10.12"
"510361","138","Одеська область","сільський клуб, зала
вул.Шкільна, 38, с.Люботаївка, Іванівський р-н, Одеська обл., 67220","120","45","115","13","62","13","75","","0","62","13","75","5","70","2","12","16","1","3","36","29.10.12"
"510362","138","Одеська область","сільська рада, вестибюль
вул.Леніна, 25А, с.Михайлопіль, Іванівський р-н, Одеська обл., 67210","584","164","582","71","351","69","420","","0","351","69","420","6","414","5","57","73","5","16","258","28.10.12"
"510363","138","Одеська область","магазин, торгова зала
вул.Радянської Армії, 1А, с.Нові Шомполи, Іванівський р-н, Одеська обл., 67244","432","229","428","4","199","4","203","","0","199","4","203","13","190","5","31","31","8","11","104","28.10.12"
"510364","138","Одеська область","будинок культури, вестибюль
вул.Леніна, 35, с.Павлинка, Іванівський р-н, Одеська обл., 67243","416","189","412","0","227","0","227","","0","227","0","227","10","217","4","40","18","4","18","133","28.10.12"
"510365","138","Одеська область","Петрівська школа №1, вестибюль
вул.Шкільна, 4А, смт Петрівка, Іванівський р-н, Одеська обл., 67240","1008","578","984","13","419","11","430","","0","419","11","430","20","410","5","53","73","8","17","254","28.10.12"
"510366","138","Одеська область","клуб КХП, зала
вул.Котовського, 1Б, смт Петрівка, Іванівський р-н, Одеська обл., 67240","1520","959","1531","17","544","17","561","","0","544","17","561","22","539","6","38","149","7","24","315","29.10.12"
"510367","138","Одеська область","Петрівська школа №2, вестибюль
вул.Калініна, 3, смт Петрівка, Іванівський р-н, Одеська обл., 67240","1416","855","1411","1","561","0","561","","0","561","0","561","17","544","14","59","79","13","40","339","29.10.12"
"510368","138","Одеська область","сільський клуб, зала
вул.Садова, 1, с.Прохорове, Іванівський р-н, Одеська обл., 67200","328","124","325","6","198","6","204","","0","198","6","204","12","192","4","35","42","5","14","92","28.10.12"
"510369","138","Одеська область","Радісненська школа, вестибюль
вул.Миру, 4, смт Радісне, Іванівський р-н, Одеська обл., 67212","1528","794","1515","19","718","16","734","","0","718","16","734","26","708","8","144","202","15","54","285","29.10.12"
