"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бернацький
Павло
Васильович","Вознюк
Олександр
Михайлович","Корилкевич
Данило
Михайлович","Королюк
Валентин
Анатолійович","Костючко
Сергій
Степанович","Кравець
Дмитро
Володимирович","Кушнірук
Борис
Борисович","Пшеюк
Ігор
Леонідович","Семенюк
Роман
Володимирович","Тимощук
Василь
Олексійович","Дата підписання протоколу"
"560868","154","Рівненська область","спеціалізована школа №5
вул.Пушкіна, 3, м.Дубно, Рівненська обл., 35604","1494","648","1471","9","837","9","846","","0","837","9","846","23","823","4","43","212","360","82","11","9","2","6","94","29.10.12"
"560869","154","Рівненська область","школа №6, фойє
вул.М.Грушевського, 182, м.Дубно, Рівненська обл., 35604","1656","663","1632","24","976","17","993","","0","976","17","993","35","958","3","56","292","401","84","20","5","2","6","89","28.10.12"
"560870","154","Рівненська область","ТЗОВ ""Агролен"", клуб
вул.М.Грушевського, 184, м.Дубно, Рівненська обл., 35604","1728","648","1698","16","1066","14","1080","","0","1066","14","1080","20","1060","6","19","308","453","103","28","8","1","3","131","28.10.12"
"560871","154","Рівненська область","управління меліоративних систем, кабінет ДВК
пров.П.Шумовського, 7А, м.Дубно, Рівненська обл., 35602","1476","684","1459","9","783","9","792","","0","783","9","792","24","768","4","21","230","361","52","18","0","3","2","77","29.10.12"
"560872","154","Рівненська область","міський будинок культури
пров.Шкільний, 5, м.Дубно, Рівненська обл., 35602","1536","533","1516","16","988","15","1003","","0","988","15","1003","16","987","3","19","573","275","35","8","0","3","0","71","29.10.12"
"560873","154","Рівненська область","Міський клуб
вул.Страклівська, 55, м.Дубно, Рівненська обл., 35602","1410","571","1411","96","781","58","839","","0","781","58","839","29","810","6","26","344","254","72","10","9","4","4","81","29.10.12"
"560874","154","Рівненська область","""ДТСАФ""
вул.Страклівська, 113, м.Дубно, Рівненська обл., 35602","1314","483","1299","13","818","13","831","","0","818","13","831","20","811","2","13","397","264","43","16","2","1","1","72","29.10.12"
"560875","154","Рівненська область","Дубенська міська лікарня матері та дитини
вул.М.Грушевського, 103, м.Дубно, Рівненська обл., 35604","84","51","35","1","32","1","33","","0","32","1","33","0","33","0","2","18","9","2","0","1","0","0","1","28.10.12"
"560876","154","Рівненська область","Дубенський медичний коледж Рівненської обласної ради, відділення паліоативної медицини
вул.Шевченка, 51, м.Дубно, Рівненська обл., 35603","48","17","47","29","18","13","31","","0","18","13","31","0","31","1","4","12","8","2","2","0","0","0","2","29.10.12"
"560877","154","Рівненська область","Дубенський диспансер психосоціальної реабілітації
вул.Тараса Бульби, 3, м.Дубно, Рівненська обл., 35603","36","0","55","0","36","0","36","","0","36","0","36","0","36","1","2","26","5","2","0","0","0","0","0","29.10.12"
"560878","154","Рівненська область","Дубенська виховна колонія
вул.Садова, 7, м.Дубно, Рівненська обл., 35604","90","16","74","0","74","0","74","","0","74","0","74","1","73","0","0","66","5","0","1","1","0","0","0","28.10.12"
