"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вознюк
Юрій
Володимирович","Заєць
Іван
Олександрович","Лебедюк
Назарій
Віталійович","Музичко
Олександр
Іванович","Нікішин
Олександр
Олександрович","Хахльов
Олексій
Володимирович","Шавурський
Валентин
Броніславович","Юхименко
Анатолій
Олексійович","Дата підписання протоколу"
"560105","153","Рівненська область","школа, фойє
вул.Радянська, 4, смт Гоща, Гощанський р-н, Рівненська обл., 35400","2136","842","2102","19","1275","19","1294","","0","1275","19","1294","45","1249","629","87","8","6","6","100","46","367","29.10.12"
"560106","153","Рівненська область","ДЮСШ, фойє
вул.Незалежності, 9, смт Гоща, Гощанський р-н, Рівненська обл., 35400","1968","808","1921","22","1138","22","1160","","0","1138","22","1160","42","1118","625","76","12","11","4","103","38","249","29.10.12"
"560107","153","Рівненська область","клуб, актовий зал
вул.Паркова, 2А, с.Бабин, Гощанський р-н, Рівненська обл., 35431","1832","766","1811","46","1030","36","1066","","0","1030","36","1066","41","1025","514","79","9","6","4","127","33","253","29.10.12"
"560108","153","Рівненська область","клуб, актовий зал
вул.Шевченка, 19А, с.Підліски, Гощанський р-н, Рівненська обл., 35432","208","78","198","3","128","2","130","","0","128","2","130","7","123","37","3","2","1","1","53","1","25","28.10.12"
"560109","153","Рівненська область","клуб, актовий зал
вул.В.Клімчука, 60А, с.Бочаниця, Гощанський р-н, Рівненська обл., 35409","784","338","771","11","437","9","446","","0","437","9","446","16","430","153","18","2","4","5","82","7","159","29.10.12"
"560110","153","Рівненська область","агротехнічний ліцей, кабінет іноземної мови
вул.Шкільна, 15, с.Бугрин, Гощанський р-н, Рівненська обл., 35442","1456","570","1438","64","830","56","886","","0","830","56","886","12","874","436","64","5","8","0","104","18","239","29.10.12"
"560111","153","Рівненська область","школа, кабінет фізичної підготовки
вул.Шкільна, 8А, с.Угільці, Гощанський р-н, Рівненська обл., 35442","328","97","323","19","216","15","231","","0","216","15","231","5","226","134","4","1","2","2","38","1","44","29.10.12"
"560112","153","Рівненська область","школа, класна кімната
вул.Шевченківська, 10, с.Новоставці, Гощанський р-н, Рівненська обл., 35443","336","117","331","25","202","17","219","","0","202","17","219","5","214","80","28","2","0","3","41","2","58","29.10.12"
"560113","153","Рівненська область","школа, кабінет початкових класів
вул.О.Євтушенка, 33, с.Вільгір, Гощанський р-н, Рівненська обл., 35444","544","185","548","33","331","28","359","","0","331","28","359","7","352","216","25","0","0","0","59","2","50","29.10.12"
"560114","153","Рівненська область","школа, фойє
вул.Молодіжна, 27, с.Воскодави, Гощанський р-н, Рівненська обл., 35423","512","144","507","11","358","10","368","","0","358","10","368","10","358","151","18","6","3","2","78","5","95","29.10.12"
"560115","153","Рівненська область","центр народної творчості та дозвіллєвої роботи, фойє
вул.Шкільна, 15, с.Горбаків, Гощанський р-н, Рівненська обл., 35433","1520","666","1507","17","837","17","854","","0","837","17","854","37","817","447","70","15","13","7","102","29","134","29.10.12"
"560116","153","Рівненська область","школа, фойє
вул.Гудкова, 102А, с.Дорогобуж, Гощанський р-н, Рівненська обл., 35434","496","207","484","5","289","0","289","","0","289","0","289","10","279","133","20","3","1","1","48","10","63","29.10.12"
"560117","153","Рівненська область","школа, актовий зал
вул.Центральна, 7, с.Іллін, Гощанський р-н, Рівненська обл., 35465","376","109","370","5","262","5","267","","0","262","5","267","3","264","171","7","3","2","1","49","4","27","29.10.12"
"560118","153","Рівненська область","школа, вчительська
вул.40-річчя Перемоги, 45, с.Мнишин, Гощанський р-н, Рівненська обл., 35472","400","107","397","35","264","29","293","","0","264","29","293","11","282","144","27","1","3","2","47","2","56","29.10.12"
"560119","153","Рівненська область","клуб, службова кімната
вул.Набережна, 44А, с.Подоляни, Гощанський р-н, Рівненська обл., 35434","136","41","130","4","91","4","95","","0","91","4","95","3","92","39","5","1","0","0","23","1","23","29.10.12"
"560120","153","Рівненська область","клуб, актовий зал
вул.Центральна, 6А, с.Томахів, Гощанський р-н, Рівненська обл., 35435","360","130","361","4","226","4","230","","0","226","4","230","9","221","150","12","4","3","2","12","1","37","29.10.12"
"560121","153","Рівненська область","школа, класна кімната
вул.Шкільна, 2А, с.Микулин, Гощанський р-н, Рівненська обл., 35471","312","110","306","24","184","18","202","","0","184","18","202","4","198","95","6","3","0","0","36","1","57","29.10.12"
"560122","153","Рівненська область","клуб, актовий зал
вул.Мирна, 4А, с.Дроздів, Гощанський р-н, Рівненська обл., 35416","272","67","264","27","182","23","205","","0","182","23","205","6","199","91","23","1","0","0","34","6","44","29.10.12"
"560123","153","Рівненська область","ФАП, оглядовий кабінет
вул.Мирна, 19, с.Горбів, Гощанський р-н, Рівненська обл., 35416","184","60","179","17","109","15","124","","0","109","15","124","4","120","45","4","1","0","0","21","0","49","29.10.12"
"560124","153","Рівненська область","клуб, фойє
вул.Шевченка, 26, с.Дуліби, Гощанський р-н, Рівненська обл., 35463","192","63","187","11","121","8","129","","0","121","8","129","7","122","44","2","1","0","0","51","1","23","28.10.12"
"560125","153","Рівненська область","клуб, актовий зал
вул.М.Дацюка, 16, с.Жаврів, Гощанський р-н, Рівненська обл., 35454","488","149","487","36","307","32","339","","0","307","32","339","11","328","110","14","2","1","2","119","5","75","29.10.12"
"560126","153","Рівненська область","ФАП, фойє
вул.Мирна, 3А, с.Витків, Гощанський р-н, Рівненська обл., 35461","264","70","253","19","176","18","194","","0","176","18","194","8","186","101","10","3","1","2","19","4","46","28.10.12"
"560127","153","Рівненська область","ФАП, фойє
вул.Шевченка, 19А, с.Красносілля, Гощанський р-н, Рівненська обл., 35424","408","115","408","13","282","11","293","","0","282","11","293","6","287","135","16","0","2","1","45","2","86","29.10.12"
"560128","153","Рівненська область","центр народної творчості та дозвіллєвої роботи, фойє
вул.Перемоги, 9, с.Чудниця, Гощанський р-н, Рівненська обл., 35425","424","135","421","10","279","10","289","","0","279","10","289","12","277","112","19","3","1","0","61","19","62","29.10.12"
"560129","153","Рівненська область","сільська рада, зал засідань
вул.Шевченка, 26А, с.Кринички, Гощанський р-н, Рівненська обл., 35410","160","42","160","13","105","13","118","","0","105","13","118","2","116","51","12","1","2","2","15","3","30","28.10.12"
"560130","153","Рівненська область","клуб, актовий зал
вул.Центральна, 50А, с.Річиця, Гощанський р-н, Рівненська обл., 35473","384","131","379","53","204","49","253","","0","204","49","253","6","247","88","12","3","9","0","39","4","92","29.10.12"
"560131","153","Рівненська область","школа, спортзал
вул.Радянська, 7А, с.Курозвани, Гощанський р-н, Рівненська обл., 35451","888","297","874","26","566","25","591","","0","566","25","591","21","570","293","21","3","6","2","72","8","165","29.10.12"
"560132","153","Рівненська область","школа, спортивна кімната
вул.М.Вершила, 53А, с.Андрусіїв, Гощанський р-н, Рівненська обл., 35421","424","192","415","25","214","18","232","","0","214","18","232","6","226","96","12","1","2","1","18","4","92","29.10.12"
"560133","153","Рівненська область","школа, класна кімната
вул.М.Грушевського, 46А, с.Вовкошів, Гощанський р-н, Рівненська обл., 35420","264","99","258","19","149","16","165","","0","149","16","165","12","153","93","14","0","0","0","25","1","20","29.10.12"
"560134","153","Рівненська область","сільська рада, актовий зал
вул.Миру, 2, с.Липки, Гощанський р-н, Рівненська обл., 35420","312","102","307","29","184","26","210","","0","184","26","210","6","204","60","10","0","1","1","39","6","87","29.10.12"
"560135","153","Рівненська область","клуб, фойє
вул.Шкільна, 14, с.Майків, Гощанський р-н, Рівненська обл., 35453","432","158","431","36","244","30","274","","0","244","30","274","13","261","104","20","4","5","1","56","15","56","29.10.12"
"560136","153","Рівненська область","школа, фойє
вул.Шкільна, 150, с.Малинівка, Гощанський р-н, Рівненська обл., 35422","496","192","488","19","290","14","304","","0","290","14","304","19","285","129","27","3","1","2","42","7","74","29.10.12"
"560137","153","Рівненська область","ФАП, кабінет оглядовий
вул.Зелена, 1А, с.Воронів, Гощанський р-н, Рівненська обл., 35422","128","42","120","3","83","3","86","","0","83","3","86","4","82","36","3","1","2","0","13","2","25","29.10.12"
"560138","153","Рівненська область","сільська рада, кабінет голови сільської ради
вул.Шевченка, 2А, с.Малятин, Гощанський р-н, Рівненська обл., 35413","336","119","324","1","216","1","217","","0","216","1","217","8","209","101","6","0","1","1","17","12","71","29.10.12"
"560139","153","Рівненська область","клуб, актовий зал
вул.Лісова, 17А, с.Матіївка, Гощанський р-н, Рівненська обл., 35414","144","44","137","4","97","3","100","","0","97","3","100","6","94","50","3","0","0","0","4","1","36","28.10.12"
"560140","153","Рівненська область","школа, фойє
вул.Лісова, 19, с.Малятин, Гощанський р-н, Рівненська обл., 35413","272","95","272","4","173","4","177","","0","173","4","177","10","167","86","13","1","1","2","20","3","41","29.10.12"
"560141","153","Рівненська область","школа, класна кімната
вул.Бочаницька, 19А, с.М’ятин, Гощанський р-н, Рівненська обл., 35440","248","54","245","27","169","25","194","","0","169","25","194","3","191","89","10","0","2","0","27","1","62","29.10.12"
"560142","153","Рівненська область","клуб, малий зал
вул.Центральна, 21, с.Посягва, Гощанський р-н, Рівненська обл., 35440","336","110","326","32","197","29","226","","0","197","29","226","7","219","106","11","1","2","1","32","3","63","29.10.12"
"560143","153","Рівненська область","ФАП, оглядовий кабінет
вул.Молодіжна, 39А, с.Сергіївка, Гощанський р-н, Рівненська обл., 35440","224","58","220","24","144","22","166","","0","144","22","166","2","164","75","4","3","0","1","32","1","48","29.10.12"
"560144","153","Рівненська область","центр народної творчості та дозвіллєвої роботи, актовий зал
вул.Центральна, 44Б, с.Русивель, Гощанський р-н, Рівненська обл., 35452","504","211","497","14","279","14","293","","0","279","14","293","14","279","108","12","1","5","4","62","7","80","29.10.12"
"560145","153","Рівненська область","ФАП, кабінет завідуючого
вул.Л.Українки, 46Б, с.Пашуки, Гощанський р-н, Рівненська обл., 35452","152","47","149","9","96","9","105","","0","96","9","105","4","101","48","1","0","0","0","16","1","35","28.10.12"
"560146","153","Рівненська область","школа, спортзал
вул.Радянська, 11А, с.Рясники, Гощанський р-н, Рівненська обл., 35430","512","189","504","31","294","29","323","","0","294","29","323","16","307","109","23","0","4","1","63","7","100","29.10.12"
"560147","153","Рівненська область","школа, фізичний клас
вул.Шкільна, 41, с.Дмитрівка, Гощанський р-н, Рівненська обл., 35462","296","96","290","10","190","10","200","","0","190","10","200","9","191","72","10","1","1","1","49","3","54","30.10.12"
"560148","153","Рівненська область","школа, фойє
вул.Шкільна, 4, с.Садове, Гощанський р-н, Рівненська обл., 35411","376","166","369","8","202","8","210","","0","202","8","210","13","197","87","10","3","0","0","30","5","62","28.10.12"
"560149","153","Рівненська область","ФАП, кабінет оглядовий
вул.Центральна, 3, с.Люцинів, Гощанський р-н, Рівненська обл., 35466","144","50","144","21","77","17","94","","0","77","17","94","7","87","35","2","0","1","0","21","1","27","29.10.12"
"560150","153","Рівненська область","центр народної творчості та дозвіллєвої роботи, великий зал
вул.Юзикевичів, 1А, с.Симонів, Гощанський р-н, Рівненська обл., 35408","992","321","973","63","611","60","671","","0","611","60","671","27","644","397","35","7","6","3","70","8","118","29.10.12"
"560151","153","Рівненська область","сільська рада, кабінет діловода
вул.Вишнева, 11, с.Франівка, Гощанський р-н, Рівненська обл., 35408","784","235","785","58","501","48","549","","0","501","48","549","28","521","326","20","2","10","2","47","13","101","29.10.12"
"560152","153","Рівненська область","сільська рада, обрядовий зал
вул.Вишнева, 1, с.Синів, Гощанський р-н, Рівненська обл., 35426","648","219","640","36","397","32","429","","0","397","32","429","15","414","244","18","4","1","0","39","1","107","29.10.12"
"560153","153","Рівненська область","клуб, фойє
вул.17 Вересня, 80А, с.Терентіїв, Гощанський р-н, Рівненська обл., 35474","280","108","276","11","161","11","172","","0","161","11","172","5","167","73","11","0","0","0","6","5","72","29.10.12"
"560154","153","Рівненська область","центр народної творчості та дозвіллєвої роботи, фойє
вул.Першотравнева, 1, с.Тучин, Гощанський р-н, Рівненська обл., 35415","1800","698","1762","107","1016","86","1102","","0","1016","86","1102","60","1042","521","96","14","10","3","127","34","237","29.10.12"
"560155","153","Рівненська область","ФАП, оглядова кімната
вул.Будьонного, 81, с.Полівці, Гощанський р-н, Рівненська обл., 35415","200","61","194","23","117","22","139","","0","117","22","139","3","136","74","15","1","0","0","22","2","22","29.10.12"
"560156","153","Рівненська область","центр народної творчості та дозвіллєвої роботи, фойє
вул.Шевченка, 7, с.Федорівка, Гощанський р-н, Рівненська обл., 35450","480","129","473","20","332","19","351","","0","332","19","351","14","337","168","29","0","6","1","55","7","71","29.10.12"
"560403","153","Рівненська область","школа №3, вестибюль
вул.Київська, 26, м.Корець, Корецький р-н, Рівненська обл., 34700","2264","1037","2251","24","1209","18","1227","","0","1209","18","1227","39","1188","613","82","5","11","8","151","62","256","29.10.12"
"560404","153","Рівненська область","будинок культури, танцювальна зала
вул.Київська, 65, м.Корець, Корецький р-н, Рівненська обл., 34700","2208","964","2171","26","1223","21","1244","","0","1223","21","1244","72","1172","632","76","8","6","6","114","39","291","29.10.12"
"560405","153","Рівненська область","лікарня, велика актова зала
вул.Володимирська, 14А, м.Корець, Корецький р-н, Рівненська обл., 34700","1976","919","1956","39","1031","26","1057","","0","1031","26","1057","42","1015","574","74","8","2","3","89","20","245","29.10.12"
"560406","153","Рівненська область","будинок культури, танцювальна зала
вул.Центральна, 27, с.Бриків, Корецький р-н, Рівненська обл., 34743","320","99","322","16","207","14","221","","0","207","14","221","3","218","64","2","0","1","1","24","1","125","28.10.12"
"560407","153","Рівненська область","клуб, танцювальна зала
вул.Центральна, 1, с.Черниця, Корецький р-н, Рівненська обл., 34743","480","149","470","30","302","29","331","","0","302","29","331","9","322","79","11","2","0","1","30","3","196","28.10.12"
"560408","153","Рівненська область","школа, спортивна зала
вул.Центральна, 1, с.Богданівка, Корецький р-н, Рівненська обл., 34743","432","95","427","24","315","22","337","","0","315","22","337","4","333","56","8","2","0","0","23","1","243","29.10.12"
"560409","153","Рівненська область","будинок культури, танцювальна зала
вул.Корецька, 66, с.Весняне, Корецький р-н, Рівненська обл., 34713","600","198","603","18","389","13","402","","0","389","13","402","16","386","141","23","6","6","0","79","3","128","29.10.12"
"560410","153","Рівненська область","школа, фойє
вул.Центральна, 5, с.Велика Клецька, Корецький р-н, Рівненська обл., 34711","424","113","420","37","274","37","311","","0","274","37","311","10","301","74","2","0","0","1","85","6","133","29.10.12"
"560411","153","Рівненська область","клуб, танцювальна зала
вул.Зелена, 13, с.Топча, Корецький р-н, Рівненська обл., 34712","128","26","129","19","86","16","102","","0","86","16","102","2","100","31","5","0","0","0","25","4","35","29.10.12"
"560412","153","Рівненська область","школа-гімназія, кабінет біології
вул.Шкільна, 1, с.Великі Межирічі, Корецький р-н, Рівненська обл., 34725","1592","642","1562","77","877","73","950","","0","877","73","950","34","916","330","73","3","3","2","118","21","366","29.10.12"
"560413","153","Рівненська область","бібліотека, читальна зала
вул.Шевченка, 35Б, с.Застав’я, Корецький р-н, Рівненська обл., 34725","384","128","375","33","228","28","256","","0","228","28","256","8","248","125","17","1","0","0","32","0","73","28.10.12"
