"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Войтович
Віталій
Володимирович","Загрева
Борис
Юхимович","Іванченко
Олександр
Анатолійович","Карпюк
Роман
Петрович","Красуля
Володимир
Анатолійович","Мартиняк
Сергій
Васильович","Маткобожик
Анатолій
Андрійович","Українець
Михайло
Григорович","Дата підписання протоколу"
"070103","20","Волинська область","сільський клуб, актова зала
вул.Центральна, 1, с.Лемешів, Горохівський р-н, Волинська обл., 45731","368","82","363","37","250","36","286","","0","250","36","286","6","280","3","33","33","71","15","112","2","11","29.10.12"
"070104","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Центральна, 20, с.Козятин, Горохівський р-н, Волинська обл., 45731","168","47","169","19","103","18","121","","0","103","18","121","2","119","3","7","5","68","3","31","1","1","29.10.12"
"070105","20","Волинська область","будинок культури, фойє
вул.Незалежності, 29А, с.Лобачівка, Горохівський р-н, Волинська обл., 45760","600","198","596","34","368","34","402","","0","368","34","402","4","398","5","87","13","111","10","169","2","1","29.10.12"
"070106","20","Волинська область","школа, спортивна зала
вул.Миру, 42А, с.Волиця-Лобачівська, Горохівський р-н, Волинська обл., 45760","232","54","226","8","170","8","178","","0","170","8","178","1","177","3","58","6","21","3","80","6","0","29.10.12"
"070107","20","Волинська область","школа, спортивна зала
вул.Грушевського, 59А, с.Колмів, Горохівський р-н, Волинська обл., 45760","176","51","172","22","103","22","125","","0","103","22","125","3","122","0","13","4","21","1","82","1","0","29.10.12"
"070108","20","Волинська область","будинок культури, фойє
вул.Б.Хмельницького, 15А, с.Мерва, Горохівський р-н, Волинська обл., 45766","416","129","406","15","272","15","287","","0","272","15","287","10","277","8","41","9","79","5","124","2","9","29.10.12"
"070109","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Майданська, 11А, с.Буркачі, Горохівський р-н, Волинська обл., 45766","264","47","262","29","191","26","217","","0","191","26","217","3","214","4","17","5","124","2","57","2","3","29.10.12"
"070110","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Лісова, 2А, с.Диковини, Горохівський р-н, Волинська обл., 45766","216","70","217","24","122","24","146","","0","122","24","146","2","144","1","50","3","39","2","44","2","3","29.10.12"
"070111","20","Волинська область","школа, спортивна зала
вул.Молодіжна, 28А, с.Кутрів, Горохівський р-н, Волинська обл., 45781","408","120","401","33","256","32","288","","0","256","32","288","9","279","4","38","13","81","14","122","4","3","29.10.12"
"070112","20","Волинська область","школа, спортивна зала
вул.Хорольського, 2, с.Мирків, Горохівський р-н, Волинська обл., 45732","480","128","469","31","324","28","352","","0","324","28","352","3","349","6","83","26","77","5","143","4","5","29.10.12"
"070113","20","Волинська область","будинок культури, фойє
вул.Леніна, 19, с.Мирне, Горохівський р-н, Волинська обл., 45711","944","356","928","81","512","76","588","","0","512","76","588","4","584","4","40","9","453","17","57","4","0","29.10.12"
"070114","20","Волинська область","сільська рада, зала засідань
вул.Молодіжна, 1, с.Михлин, Горохівський р-н, Волинська обл., 45714","240","61","235","16","163","16","179","","0","163","16","179","5","174","5","51","5","55","2","48","6","2","29.10.12"
"070115","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Центральна, 9, с.Загаї, Горохівський р-н, Волинська обл., 45714","88","10","94","5","73","5","78","","0","73","5","78","1","77","2","6","2","34","1","32","0","0","29.10.12"
"070116","20","Волинська область","школа, спортивна зала
вул.Паркова, 5, с.Новосілки, Горохівський р-н, Волинська обл., 45754","384","112","373","29","243","29","272","","0","243","29","272","8","264","2","51","10","89","10","93","3","6","29.10.12"
"070117","20","Волинська область","школа, спортивна зала
вул.Центральна, 22, с.Мислині, Горохівський р-н, Волинська обл., 45754","240","78","236","17","146","16","162","","0","146","16","162","6","156","4","36","6","39","8","58","2","3","29.10.12"
"070118","20","Волинська область","будинок культури, фойє
вул.Шкільна, 12, с.Перемиль, Горохівський р-н, Волинська обл., 45763","776","261","768","65","451","64","515","","0","451","64","515","12","503","16","106","47","155","26","134","7","12","29.10.12"
"070119","20","Волинська область","школа, спортивна зала
вул.Богуна, 8, с.Богунівка, Горохівський р-н, Волинська обл., 45763","88","17","82","4","67","4","71","","0","67","4","71","0","71","2","1","2","34","0","31","1","0","29.10.12"
"070120","20","Волинська область","адміністративний будинок, зала засідань
вул.Промислова, 15, с.Гумнище, Горохівський р-н, Волинська обл., 45763","232","55","223","16","161","16","177","","0","161","16","177","3","174","4","74","9","16","4","61","4","2","29.10.12"
"070121","20","Волинська область","сільський клуб, актова зала
вул.Луцька, 21, с.Липа, Горохівський р-н, Волинська обл., 45763","232","54","231","27","151","27","178","","0","151","27","178","6","172","9","39","7","41","1","63","6","6","29.10.12"
"070122","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Берестецька, 20, с.Старики, Горохівський р-н, Волинська обл., 45764","464","130","446","20","314","20","334","","0","314","20","334","7","327","6","25","19","110","6","153","5","3","29.10.12"
"070123","20","Волинська область","школа, спортивна зала
вул.Пришкільна, 33, с.Печихвости, Горохівський р-н, Волинська обл., 45734","688","231","683","59","398","59","457","","0","398","59","457","11","446","17","51","35","180","13","128","9","13","29.10.12"
"070124","20","Волинська область","школа, спортивна зала
вул.Центральна, 61, с.Стрільче, Горохівський р-н, Волинська обл., 45734","272","56","262","32","184","32","216","","0","184","32","216","2","214","5","102","5","37","4","55","6","0","29.10.12"
"070125","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Центральна, 58, с.Полюхне, Горохівський р-н, Волинська обл., 45734","136","31","135","16","89","16","105","","0","89","16","105","2","103","3","11","4","35","2","44","3","1","29.10.12"
"070126","20","Волинська область","сільська рада, фойє
вул.Центральна, 7, с.Підбереззя, Горохівський р-н, Волинська обл., 45730","744","244","729","57","445","55","500","","0","445","55","500","14","486","14","79","36","185","47","110","8","7","29.10.12"
"070127","20","Волинська область","будинок культури, актова зала
вул.Перемоги, 9, с.Пірванче, Горохівський р-н, Волинська обл., 45732","504","156","502","43","305","43","348","","0","305","43","348","4","344","11","46","33","138","9","94","6","7","30.10.12"
"070128","20","Волинська область","будинок культури, фойє
вул.Бродська, 103, с.Піски, Горохівський р-н, Волинська обл., 45767","592","206","577","50","337","49","386","","0","337","49","386","9","377","5","47","18","101","8","192","2","4","29.10.12"
"070129","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Центральна, 82, с.Антонівка, Горохівський р-н, Волинська обл., 45765","128","33","129","10","85","10","95","","0","85","10","95","4","91","2","18","4","17","4","43","2","1","29.10.12"
"070130","20","Волинська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Центральна, 63, с.Гектари, Горохівський р-н, Волинська обл., 45765","160","52","157","9","99","9","108","","0","99","9","108","4","104","2","29","2","16","6","46","2","1","02.11.12"
"070131","20","Волинська область","сільська рада, зала засідань
вул.Центральна, 2, с.Пустомити, Горохівський р-н, Волинська обл., 45720","456","185","448","18","253","18","271","","0","253","18","271","8","263","6","135","3","65","7","44","1","2","28.10.12"
"070132","20","Волинська область","сільський клуб, актова зала
вул.Східна, 15, с.Уманці, Горохівський р-н, Волинська обл., 45720","240","62","236","37","141","37","178","","0","141","37","178","3","175","2","52","4","51","3","59","3","1","29.10.12"
"070133","20","Волинська область","школа, спортивна зала
вул.Шкільна, 5, с.Рачин, Горохівський р-н, Волинська обл., 45721","272","70","267","21","182","20","202","","0","182","20","202","10","192","5","20","12","41","9","97","3","5","29.10.12"
"070134","20","Волинська область","школа, спортивна зала
вул.Шкільна, 6, с.Озерці, Горохівський р-н, Волинська обл., 45722","408","112","405","30","266","30","296","","0","266","30","296","3","293","5","71","15","46","18","132","1","5","29.10.12"
"070135","20","Волинська область","школа, фойє
вул.Центральна, 43, с.Скірче, Горохівський р-н, Волинська обл., 45710","432","144","425","51","237","51","288","","0","237","51","288","6","282","13","56","6","66","10","122","4","5","29.10.12"
"070136","20","Волинська область","будинок культури, фойє
вул.Весела, 12, с.Скобелка, Горохівський р-н, Волинська обл., 45703","1192","409","1179","52","735","48","783","","0","735","48","783","13","770","11","88","23","358","54","221","5","10","29.10.12"
"070137","20","Волинська область","сільський клуб, актова зала
вул.Молодіжна, 10А, с.Бистровиця, Горохівський р-н, Волинська обл., 45703","208","64","205","22","124","20","144","","0","124","20","144","3","141","3","14","4","40","3","73","1","3","29.10.12"
"070138","20","Волинська область","школа, спортивна зала
вул.Луцька, 59, с.Марковичі, Горохівський р-н, Волинська обл., 45703","248","76","240","13","159","13","172","","0","159","13","172","2","170","1","17","4","78","3","62","0","5","29.10.12"
"070139","20","Волинська область","сільський клуб, актова зала
вул.Центральна, 5, с.Скригове, Горохівський р-н, Волинська обл., 45772","240","56","239","13","173","11","184","","0","173","11","184","2","182","3","67","7","40","4","56","3","2","29.10.12"
"070140","20","Волинська область","школа, спортивна зала
вул.Шкільна, 2, с.Пильгани, Горохівський р-н, Волинська обл., 45772","192","51","190","22","123","18","141","","0","123","18","141","3","138","1","44","0","14","2","70","2","5","29.10.12"
"070141","20","Волинська область","школа, спортивна зала
вул.Л.Українки, 10, с.Смолява, Горохівський р-н, Волинська обл., 45761","512","164","503","48","304","44","348","","0","304","44","348","8","340","13","91","15","51","6","154","2","8","29.10.12"
"070142","20","Волинська область","школа, спортивна зала
вул.Берестецька, 31, с.Зелене, Горохівський р-н, Волинська обл., 45762","344","89","338","35","220","35","255","","0","220","35","255","4","251","1","82","5","80","5","72","1","5","29.10.12"
"070143","20","Волинська область","будинок культури, фойє
вул.Хуторянська, 1, с.Терешківці, Горохівський р-н, Волинська обл., 45724","352","53","351","35","265","34","299","","0","265","34","299","0","299","3","56","13","86","5","132","1","3","29.10.12"
"070144","20","Волинська область","сільський клуб, актова зала
вул.Шкільна, 3, с.Ощів, Горохівський р-н, Волинська обл., 45724","376","76","369","46","254","46","300","","0","254","46","300","1","299","9","41","29","114","11","89","3","3","29.10.12"
"070145","20","Волинська область","школа, спортивна зала
вул.Шевченка, 6, с.Угринів, Горохівський р-н, Волинська обл., 45715","552","143","543","37","374","35","409","","0","374","35","409","9","400","9","58","15","170","20","118","4","6","29.10.12"
"070146","20","Волинська область","сільський клуб, актова зала
вул.Центральна, 21, с.Дубова Корчма, Горохівський р-н, Волинська обл., 45715","120","15","125","13","92","13","105","","0","92","13","105","2","103","6","1","1","49","4","41","1","0","29.10.12"
"070147","20","Волинська область","будинок культури, фойє
вул.Центральна, 30, с.Холонів, Горохівський р-н, Волинська обл., 45740","776","164","771","65","548","64","612","","0","548","64","612","15","597","14","52","25","148","104","237","9","8","29.10.12"
"070148","20","Волинська область","сільський клуб, актова зала
вул.Центральна, 30, с.Цегів, Горохівський р-н, Волинська обл., 45741","752","311","737","29","412","29","441","","0","412","29","441","15","426","11","66","38","143","21","133","6","8","29.10.12"
"070149","20","Волинська область","школа, спортивна зала
вул.Шкільна, 5, с.Борочиче, Горохівський р-н, Волинська обл., 45742","960","333","940","40","587","40","627","","0","587","40","627","14","613","6","76","27","186","103","185","14","16","29.10.12"
"070150","20","Волинська область","сільський клуб, актова зала
вул.Центральна, 5А, с.Сільце, Горохівський р-н, Волинська обл., 45743","560","171","550","74","318","71","389","","0","318","71","389","6","383","8","48","29","108","13","162","6","9","29.10.12"
"070151","20","Волинська область","сільський клуб, актова зала
вул.Паркова, 10, с.Широке, Горохівський р-н, Волинська обл., 45744","312","88","305","20","204","20","224","","0","204","20","224","2","222","5","30","6","60","7","112","2","0","29.10.12"
"070152","20","Волинська область","будинок культури, фойє
вул.Центральна, 58, с.Шклинь, Горохівський р-н, Волинська обл., 45712","672","187","654","48","438","47","485","","0","438","47","485","3","482","4","47","9","245","55","115","5","2","29.10.12"
"070153","20","Волинська область","школа, фойє
вул.Ветеранів, 30А, с.Шклинь Другий, Горохівський р-н, Волинська обл., 45712","104","18","108","6","80","6","86","","0","80","6","86","4","82","1","14","3","36","1","26","0","1","29.10.12"
"070154","20","Волинська область","центральна районна лікарня, фойє
вул.Паркова, 22, м.Горохів, Горохівський р-н, Волинська обл., 45700","208","159","76","29","29","20","49","","0","29","20","49","0","49","3","6","2","19","1","17","1","0","29.10.12"
"070155","20","Волинська область","районна лікарня №2, фойє
вул.Незалежності, 71, м.Берестечко, Горохівський р-н, Волинська обл., 45765","104","65","44","30","14","25","39","","0","14","25","39","0","39","0","1","1","14","3","19","1","0","29.10.12"
"070436","20","Волинська область","районний будинок культури, фойє
вул.1 Травня, 42, смт Локачі, Локачинський р-н, Волинська обл., 45500","928","420","917","22","488","20","508","","0","488","20","508","13","495","6","173","36","107","36","109","8","20","29.10.12"
"070437","20","Волинська область","селищна рада, зала
вул.Миру, 23, смт Локачі, Локачинський р-н, Волинська обл., 45500","856","312","845","13","535","9","544","","0","535","9","544","10","534","14","162","43","125","32","129","7","22","29.10.12"
"070438","20","Волинська область","школа-ліцей, фойє
вул.Миру, 30, смт Локачі, Локачинський р-н, Волинська обл., 45500","1016","397","995","11","609","10","619","","0","609","10","619","7","612","1","216","38","137","36","151","15","18","29.10.12"
"070439","20","Волинська область","сільський клуб, актовий зал
вул.Центральна, 23, с.Білопіль, Локачинський р-н, Волинська обл., 45552","248","62","242","14","174","12","186","","0","174","12","186","1","185","3","61","8","35","3","64","2","9","29.10.12"
"070440","20","Волинська область","фельшерсько-акушерський пункт, каб.2
вул.Набережна, 11, с.Кути, Локачинський р-н, Волинська обл., 45552","56","7","57","10","39","10","49","","0","39","10","49","3","46","0","21","0","8","1","16","0","0","29.10.12"
"070441","20","Волинська область","сільський клуб, зала
вул.Шкільна, 14, с.Бубнів, Локачинський р-н, Волинська обл., 45541","352","74","350","35","247","31","278","","0","247","31","278","5","273","3","251","0","4","1","11","2","1","29.10.12"
"070442","20","Волинська область","школа, спортзал
вул.Шкільна, 4, с.Линів, Локачинський р-н, Волинська обл., 45541","248","72","245","25","151","25","176","","0","151","25","176","8","168","2","108","1","17","2","37","0","1","29.10.12"
"070443","20","Волинська область","сільська рада, зала
вул.Миру, 1, с.Війниця, Локачинський р-н, Волинська обл., 45510","216","62","215","8","146","8","154","","0","146","8","154","2","152","0","34","1","47","4","61","3","2","29.10.12"
"070444","20","Волинська область","будинок культури, фойє
вул.Ковальчука, 7, с.Губин, Локачинський р-н, Волинська обл., 45513","504","163","497","20","324","17","341","","0","324","17","341","6","335","11","93","17","74","10","122","2","6","29.10.12"
"070445","20","Волинська область","фельшерсько-акушерський пункт, каб.2
вул.Колгоспна, 46, с.Михайлівка, Локачинський р-н, Волинська обл., 45510","184","40","181","10","135","9","144","","0","135","9","144","2","142","1","34","13","50","8","32","2","2","29.10.12"
"070446","20","Волинська область","школа, актовий зал
вул.Паламарчука, 1, с.Павловичі, Локачинський р-н, Волинська обл., 45511","456","185","450","14","257","14","271","","0","257","14","271","7","264","5","37","20","66","11","120","3","2","29.10.12"
"070447","20","Волинська область","сільський клуб, зала
вул.Шевченка, 11, с.Тумин, Локачинський р-н, Волинська обл., 45512","256","65","253","12","179","12","191","","0","179","12","191","3","188","2","38","9","56","8","67","5","3","29.10.12"
"070448","20","Волинська область","будинок культури, зала
вул.Центральна, 19, с.Дорогиничі, Локачинський р-н, Волинська обл., 45530","448","113","442","44","294","41","335","","0","294","41","335","6","329","4","116","22","51","18","106","4","8","29.10.12"
"070449","20","Волинська область","будинок культури, зала
вул.Дорогиничівська, 12, с.Низькі Цевеличі, Локачинський р-н, Волинська обл., 45500","112","50","104","8","55","7","62","","0","55","7","62","0","62","5","21","0","11","2","21","1","1","29.10.12"
"070450","20","Волинська область","школа, актовий зал
вул.Локачинська, 22, с.П’ятикори, Локачинський р-н, Волинська обл., 45500","320","85","314","22","214","21","235","","0","214","21","235","2","233","1","59","5","27","15","122","1","3","29.10.12"
"070451","20","Волинська область","школа, коридор
вул.Шкільна, 1, с.Замличі, Локачинський р-н, Волинська обл., 45531","216","67","211","20","129","20","149","","0","129","20","149","1","148","4","39","7","32","4","56","3","3","29.10.12"
"070452","20","Волинська область","фельшерсько-акушерський пункт, каб.2
вул.Центральна, 13, с.Бермешів, Локачинський р-н, Волинська обл., 45531","112","13","111","7","92","7","99","","0","92","7","99","1","98","2","31","4","18","5","34","1","3","29.10.12"
"070453","20","Волинська область","школа, кабінет 1-2 класу
вул.Центральна, 4, с.Залужне, Локачинський р-н, Волинська обл., 45531","192","63","191","19","113","16","129","","0","113","16","129","4","125","3","24","7","22","3","61","2","3","29.10.12"
"070454","20","Волинська область","будинок культури, зала
вул.Липинського, 54, с.Затурці, Локачинський р-н, Волинська обл., 45523","1336","460","1336","87","797","79","876","","0","797","79","876","18","858","12","197","51","334","59","187","8","10","29.10.12"
"070455","20","Волинська область","сільський клуб, зала
вул.Шевченка, 15, с.Великий Окорськ, Локачинський р-н, Волинська обл., 45524","344","127","336","31","189","28","217","","0","189","28","217","3","214","5","45","12","65","5","76","4","2","29.10.12"
"070456","20","Волинська область","фельшерсько-акушерський пункт, веранда
вул.Приозерна, 44, с.Вілька-Садівська, Локачинський р-н, Волинська обл., 45523","80","24","77","14","44","12","56","","0","44","12","56","2","54","6","22","1","7","0","13","3","2","29.10.12"
"070457","20","Волинська область","фельшерсько-акушерський пункт, кімната
вул.Центральна, 32, с.Юнівка, Локачинський р-н, Волинська обл., 45523","152","38","146","14","102","12","114","","0","102","12","114","5","109","5","19","5","23","15","38","3","1","29.10.12"
"070458","20","Волинська область","будинок культури, зала
вул.Жовтнева, 43, с.Заячиці, Локачинський р-н, Волинська обл., 45532","344","100","338","19","225","19","244","","0","225","19","244","7","237","9","63","8","45","4","94","4","10","29.10.12"
"070459","20","Волинська область","школа, класна кімната
вул.Колгоспна, 6, с.Кремеш, Локачинський р-н, Волинська обл., 45532","232","48","229","20","164","20","184","","0","164","20","184","3","181","3","63","3","18","5","76","1","12","29.10.12"
"070460","20","Волинська область","сільський клуб, зала
вул.Шкільна, 1, с.Зубильне, Локачинський р-н, Волинська обл., 45521","456","172","447","22","265","19","284","","0","265","19","284","6","278","14","82","23","72","9","69","3","6","29.10.12"
"070461","20","Волинська область","фельшерсько-акушерський пункт, маніпуляційна
вул.І.Франка, 30, с.Сірнички, Локачинський р-н, Волинська обл., 45521","64","18","59","4","42","4","46","","0","42","4","46","0","46","2","10","3","7","0","22","0","2","29.10.12"
"070462","20","Волинська область","будинок культури, бібліотека
вул.40-річчя Перемоги, 15, с.Кисилин, Локачинський р-н, Волинська обл., 45514","240","87","235","6","148","5","153","","0","148","5","153","7","146","3","42","9","38","7","39","4","4","29.10.12"
"070463","20","Волинська область","фельшерсько-акушерський пункт, приймальня
вул.Л.Українки, 14, с.Твердині, Локачинський р-н, Волинська обл., 45514","104","35","99","8","63","6","69","","0","63","6","69","1","68","1","18","3","10","9","26","1","0","29.10.12"
"070464","20","Волинська область","будинок культури, фойє
вул.Центральна, 14, с.Козлів, Локачинський р-н, Волинська обл., 45533","328","99","324","15","214","15","229","","0","214","15","229","6","223","6","64","7","32","5","97","7","5","29.10.12"
"070465","20","Волинська область","сільський клуб, зала
вул.Центральна, 27, с.Цевеличі, Локачинський р-н, Волинська обл., 45533","176","47","173","8","122","7","129","","0","122","7","129","5","124","0","37","3","8","2","73","0","1","29.10.12"
"070466","20","Волинська область","фельшерсько-акушерський пункт, каб.2
вул.Миру, 2, с.Твориничі, Локачинський р-н, Волинська обл., 45532","160","60","154","3","97","3","100","","0","97","3","100","1","99","2","41","3","19","2","27","2","3","29.10.12"
"070467","20","Волинська область","будинок культури, фойє
вул.Шевченка, 13, с.Колпитів, Локачинський р-н, Волинська обл., 45551","432","109","423","36","288","35","323","","0","288","35","323","11","312","12","131","8","54","6","83","0","18","29.10.12"
"070468","20","Волинська область","сільський клуб, фойє
вул.Лесі Українки, 13А, с.Конюхи, Локачинський р-н, Волинська обл., 45550","592","185","587","35","375","32","407","","0","375","32","407","4","403","6","148","7","38","11","183","5","5","30.10.12"
"070469","20","Волинська область","будинок культури, фойє
вул.Луцька, 44А, с.Крухиничі, Локачинський р-н, Волинська обл., 45508","504","150","497","60","299","55","354","","0","299","55","354","9","345","4","111","11","53","12","137","7","10","29.10.12"
"070470","20","Волинська область","сільський клуб, зала
вул.Центральна, 54А, с.Марковичі, Локачинський р-н, Волинська обл., 45500","264","54","256","27","185","25","210","","0","185","25","210","7","203","4","46","9","51","6","82","0","5","29.10.12"
"070471","20","Волинська область","фельшерсько-акушерський пункт, маніпуляційна
вул.Центральна, 11, с.Міжгір’я, Локачинський р-н, Волинська обл., 45540","56","12","56","3","42","2","44","","0","42","2","44","1","43","1","28","1","4","0","8","0","1","29.10.12"
"070472","20","Волинська область","сільська рада, зала
вул.Набережна, 17, с.Озютичі, Локачинський р-н, Волинська обл., 45515","288","88","284","20","182","18","200","","0","182","18","200","4","196","4","43","3","24","4","117","0","1","29.10.12"
"070473","20","Волинська область","школа, фойє
вул.Центральна, 2, с.Запуст, Локачинський р-н, Волинська обл., 45514","64","16","66","3","45","3","48","","0","45","3","48","2","46","3","4","0","9","2","27","1","0","29.10.12"
"070474","20","Волинська область","будинок культури, фойє
вул.Центральна, 74, с.Привітне, Локачинський р-н, Волинська обл., 45543","920","308","911","43","569","43","612","","0","569","43","612","15","597","5","235","17","137","26","147","16","14","29.10.12"
"070475","20","Волинська область","будинок культури, фойє
вул.Ярмошука, 10, с.Коритниця, Локачинський р-н, Волинська обл., 45544","472","156","468","32","286","30","316","","0","286","30","316","13","303","4","111","12","48","6","109","7","6","29.10.12"
"070476","20","Волинська область","будинок культури, фойє
вул.Молодіжна, 13, с.Старий Загорів, Локачинський р-н, Волинська обл., 45534","520","164","514","39","317","39","356","","0","317","39","356","6","350","8","170","2","28","70","67","1","4","29.10.12"
"070477","20","Волинська область","будинок культури, фойє
вул.Шевченка, 4, с.Новий Загорів, Локачинський р-н, Волинська обл., 45535","392","95","391","37","263","34","297","","0","263","34","297","2","295","5","184","3","14","12","71","4","2","29.10.12"
"070478","20","Волинська область","сільський клуб, зала
вул.Центральна, 3, с.Хорів, Локачинський р-н, Волинська обл., 45534","240","63","234","17","163","14","177","","0","163","14","177","3","174","1","63","5","15","14","72","2","2","29.10.12"
"070479","20","Волинська область","будинок культури, фойє
вул.Нова, 1, с.Холопичі, Локачинський р-н, Волинська обл., 45520","504","261","496","38","208","35","243","","0","208","35","243","6","237","8","81","15","30","2","94","2","5","29.10.12"
"070480","20","Волинська область","сільський клуб, зала
вул.Шевченка, 23, с.Журавець, Локачинський р-н, Волинська обл., 45514","64","22","58","5","37","5","42","","0","37","5","42","2","40","2","3","4","9","0","19","2","1","29.10.12"
"070481","20","Волинська область","школа, фойє
вул.Луцька, 6, с.Маньків, Локачинський р-н, Волинська обл., 45522","624","250","622","58","320","54","374","","0","320","54","374","10","364","8","98","16","80","8","142","6","6","29.10.12"
"070482","20","Волинська область","школа, клас
вул.Садова, 30, с.Мовчанів, Локачинський р-н, Волинська обл., 45510","128","30","124","12","86","12","98","","0","86","12","98","3","95","1","28","1","10","1","50","3","1","29.10.12"
"070483","20","Волинська область","будинок культури, фойє
вул.Центральна, 46, с.Шельвів, Локачинський р-н, Волинська обл., 45540","400","142","390","42","222","36","258","","0","222","36","258","0","258","4","89","12","34","3","106","2","8","29.10.12"
"070484","20","Волинська область","будинок культури, фойє
вул.Нова, 1, с.Войнин, Локачинський р-н, Волинська обл., 45540","272","54","265","19","201","17","218","","0","201","17","218","2","216","3","78","4","31","2","96","1","1","29.10.12"
"070485","20","Волинська область","школа, класна кімната
вул.Центральна, 20, с.Гранатів, Локачинський р-н, Волинська обл., 45540","144","45","142","26","81","18","99","","0","81","18","99","1","98","0","8","3","15","6","60","5","1","29.10.12"
"070486","20","Волинська область","Локачинська центральна районна лікарня, актовий зал
вул.І.Франка, 19, смт Локачі, Локачинський р-н, Волинська обл., 45500","80","37","49","11","34","9","43","","0","34","9","43","0","43","0","9","3","11","4","15","1","0","29.10.12"
"070487","20","Волинська область","будинок культури, фойє
вул.Шкільна, 1, смт Рокині, Луцький р-н, Волинська обл., 45626","1160","362","1139","35","763","35","798","","0","763","35","798","15","783","25","111","80","275","37","232","9","14","02.11.12"
"070488","20","Волинська область","клуб, фойє
вул.Миру, 54, с.Брище, Луцький р-н, Волинська обл., 45626","280","84","272","8","189","7","196","","0","189","7","196","7","189","10","26","26","59","9","51","3","5","29.10.12"
"070489","20","Волинська область","будинок культури, фойє
вул.Незалежності, 52, смт Торчин, Луцький р-н, Волинська обл., 45612","1728","635","1712","40","1054","39","1093","","0","1054","39","1093","31","1062","35","180","66","299","46","406","12","18","30.10.12"
"070490","20","Волинська область","школа, фойє
вул.Незалежності, 50, смт Торчин, Луцький р-н, Волинська обл., 45612","1568","650","1542","42","877","41","918","","0","877","41","918","28","890","25","134","50","230","39","383","15","14","29.10.12"
"070491","20","Волинська область","сільська рада, обрядовий зал
вул.Перемоги, 37, с.Баїв, Луцький р-н, Волинська обл., 45643","696","236","684","28","433","27","460","","0","433","27","460","10","450","18","50","26","91","83","169","4","9","29.10.12"
"070492","20","Волинська область","будинок культури, фойє
вул.Миру, 85, с.Городище, Луцький р-н, Волинська обл., 45607","720","224","713","17","483","13","496","","0","483","13","496","14","482","13","98","55","140","23","144","3","6","01.11.12"
"070493","20","Волинська область","будинок культури, актова зала
вул.Перемоги, 9, с.Баківці, Луцький р-н, Волинська обл., 45665","304","92","297","16","196","16","212","","0","196","16","212","7","205","5","47","12","47","15","72","1","6","02.11.12"
"070494","20","Волинська область","клуб, актова зала
вул.Жовтнева, 27А, с.Озеряни, Луцький р-н, Волинська обл., 45664","224","62","216","11","152","10","162","","0","152","10","162","3","159","5","31","2","43","5","71","0","2","29.10.12"
"070495","20","Волинська область","будинок культури с.Білосток, актова зала
вул.Мирна, 1, с.Білосток, Луцький р-н, Волинська обл., 45641","488","156","475","33","301","31","332","","0","301","31","332","15","317","8","57","20","100","13","105","9","5","29.10.12"
"070496","20","Волинська область","будинок культури, глядацький зал
вул.40 років Перемоги, 57, с.Боголюби, Луцький р-н, Волинська обл., 45634","744","237","734","28","485","22","507","","0","485","22","507","9","498","26","57","63","142","9","176","9","16","29.10.12"
"070497","20","Волинська область","фельдшерсько-акушерський пункт, каб.1
вул.Миру, 14А, с.Богушівка, Луцький р-н, Волинська обл., 45634","184","66","182","8","111","7","118","","0","111","7","118","5","113","11","47","8","27","0","19","0","1","29.10.12"
"070498","20","Волинська область","школа, каб.1
вул.Жовтнева, 21, с.Тарасове, Луцький р-н, Волинська обл., 45625","760","264","758","9","488","8","496","","0","488","8","496","11","485","27","77","59","163","20","115","9","15","29.10.12"
"070499","20","Волинська область","школа, спортивний зал
вул.Центральна, 6А, с.Боратин, Луцький р-н, Волинська обл., 45605","952","337","936","16","599","16","615","","0","599","16","615","23","592","25","58","80","217","46","138","11","17","29.10.12"
"070500","20","Волинська область","клуб с.Новостав, фойє
вул.Центральна, 105, с.Боратин, Луцький р-н, Волинська обл., 45605","784","282","773","31","474","28","502","","0","474","28","502","11","491","20","76","71","169","35","110","3","7","29.10.12"
