"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бущик
Петро
Григорович","Грицюк
Анатолій
Петрович","Грицюк
Андрій
Іванович","Єремеєв
Ігор
Миронович","Козік
Ігор
Петрович","Кононенко
Дмитро
Євгенович","Лондар
Олексій
Сергійович","Олешко
Петро
Степанович","Прохоренко
Володимир
Анатолійович","Розтока
Андрій
Вячеславович","Дата підписання протоколу"
"000001","23","Волинська область","актовий зал
вул.Романівська, 91, смт Колки, Маневицький р-н, Волинська обл., 44661","54","23","33","0","31","0","31","","0","31","0","31","2","29","4","10","4","8","0","1","1","0","0","1","29.10.12"
"070206","23","Волинська область","будинок культури, актова зала
пл.Культури, 1, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","2280","1032","2263","27","1224","24","1248","","0","1224","24","1248","36","1212","39","422","42","346","98","18","197","5","2","43","29.10.12"
"070207","23","Волинська область","Камінь-Каширське вище професійне училище, актова зала
вул.Воля, 44, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","2466","1174","2437","30","1265","27","1292","","0","1265","27","1292","43","1249","28","475","65","322","88","28","186","8","3","46","29.10.12"
"070208","23","Волинська область","школа №2, актова зала
вул.Шевченка, 68, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","1878","856","1866","16","1006","16","1022","","0","1006","16","1022","38","984","60","349","33","219","64","10","216","3","1","29","29.10.12"
"070209","23","Волинська область","будинок дитячої юнацької творчості, актова зала
вул.Гагаріна, 3, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","1602","737","1576","18","849","16","865","","0","849","16","865","21","844","26","258","27","240","43","21","194","4","1","30","29.10.12"
"070210","23","Волинська область","школа, фойє
вул.Савчука, 7, с.Підцир’я, Камінь-Каширський р-н, Волинська обл., 44506","1182","459","1162","8","717","6","723","","0","717","6","723","15","708","31","266","21","166","121","6","78","3","1","15","29.10.12"
"070211","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 93А, с.Боровне, Камінь-Каширський р-н, Волинська обл., 44562","576","123","562","19","434","19","453","","0","434","19","453","14","439","51","159","25","155","8","10","9","8","3","11","29.10.12"
"070212","23","Волинська область","сільський клуб, актова зала
вул.Шкільна, 2А, с.Житнівка, Камінь-Каширський р-н, Волинська обл., 44562","324","85","315","7","232","7","239","","0","232","7","239","8","231","26","67","15","107","1","3","7","1","0","4","29.10.12"
"070213","23","Волинська область","сільський клуб, фойє
вул.Шевченка, 1, с.Кримне, Камінь-Каширський р-н, Волинська обл., 44535","1350","566","1339","37","752","32","784","","0","752","32","784","28","756","16","330","36","230","16","3","91","3","1","30","29.10.12"
"070214","23","Волинська область","сільський клуб, актова зала
вул.Лесі Українки, 4, с.Бузаки, Камінь-Каширський р-н, Волинська обл., 44523","786","268","780","6","512","6","518","","0","512","6","518","9","509","36","140","11","240","10","3","64","0","0","5","29.10.12"
"070215","23","Волинська область","сільський клуб, актова зала
вул.Івана Франка, 43, с.Краснилівка, Камінь-Каширський р-н, Волинська обл., 44523","366","88","365","11","267","11","278","","0","267","11","278","3","275","1","79","16","123","3","0","44","1","0","8","28.10.12"
"070216","23","Волинська область","сільський клуб, актова зала
вул.Партизанська, 17, с.Великий Обзир, Камінь-Каширський р-н, Волинська обл., 44523","468","157","463","45","273","38","311","","0","273","38","311","7","304","1","14","68","185","10","5","11","3","2","5","29.10.12"
"070217","23","Волинська область","фельдшерсько-акушерський пункт, кабінет медпрацівника
вул.Центральна, 1, с.Стобихва, Камінь-Каширський р-н, Волинська обл., 44571","42","14","37","1","27","1","28","","0","27","1","28","2","26","0","9","0","15","0","2","0","0","0","0","29.10.12"
"070218","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 3А, с.Верхи, Камінь-Каширський р-н, Волинська обл., 44570","408","132","401","16","261","15","276","","0","261","15","276","14","262","22","54","8","151","7","3","9","1","1","6","29.10.12"
"070219","23","Волинська область","сільська рада, актова зала
вул.Ковельська, 143, с.Видерта, Камінь-Каширський р-н, Волинська обл., 44520","1596","634","1567","52","915","47","962","","0","915","47","962","33","929","75","137","40","325","40","11","268","4","4","25","29.10.12"
"070220","23","Волинська область","сільський клуб, фойє
вул.Центральна, 59, с.Видричі, Камінь-Каширський р-н, Волинська обл., 44516","498","168","490","0","330","0","330","","0","330","0","330","6","324","7","48","6","222","9","2","24","0","0","6","29.10.12"
"070221","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 11, с.Дубровиця, Камінь-Каширський р-н, Волинська обл., 44516","264","72","255","4","188","4","192","","0","188","4","192","14","178","3","36","7","117","1","4","6","0","0","4","29.10.12"
"070222","23","Волинська область","школа, спортзал
вул.Шевченка, 49, с.Теклине, Камінь-Каширський р-н, Волинська обл., 44517","378","152","370","8","218","8","226","","0","218","8","226","11","215","3","33","4","136","5","3","22","1","1","7","29.10.12"
"070223","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 3, с.Воєгоща, Камінь-Каширський р-н, Волинська обл., 44534","1116","393","1108","17","706","17","723","","0","706","17","723","14","709","26","303","38","189","23","5","103","5","1","16","29.10.12"
"070224","23","Волинська область","сільський клуб, фойє
вул.Центральна, 60, с.Ворокомле, Камінь-Каширський р-н, Волинська обл., 44530","1314","490","1293","31","795","29","824","","0","795","29","824","34","790","63","211","38","287","35","7","137","1","1","10","29.10.12"
"070225","23","Волинська область","сільська рада, зал засідань
пл.Соціальна, 6, с.Грудки, Камінь-Каширський р-н, Волинська обл., 44521","1392","629","1383","17","746","17","763","","0","746","17","763","16","747","25","169","26","344","38","8","122","2","0","13","29.10.12"
"070226","23","Волинська область","сільський клуб, фойє
вул.Довга Нива, 13, с.Гута-Боровенська, Камінь-Каширський р-н, Волинська обл., 44553","690","257","676","22","412","21","433","","0","412","21","433","14","419","62","103","11","167","13","12","31","4","2","14","29.10.12"
"070227","23","Волинська область","фельдшерсько-акушерський пункт, каб.2
вул.Хутір, 1, с.Малі Голоби, Камінь-Каширський р-н, Волинська обл., 44553","192","50","190","4","139","3","142","","0","139","3","142","2","140","9","22","10","69","4","5","14","0","5","2","29.10.12"
"070228","23","Волинська область","сільський клуб, актова зала
вул.Набережна, 28, с.Добре, Камінь-Каширський р-н, Волинська обл., 44513","894","234","883","4","656","4","660","","0","656","4","660","15","645","3","89","24","448","7","8","53","4","2","7","29.10.12"
"070229","23","Волинська область","сільський клуб, фойє
вул.Радянська, 81, с.Залісся, Камінь-Каширський р-н, Волинська обл., 44541","930","476","919","14","442","12","454","","0","442","12","454","9","445","16","108","23","235","47","3","7","0","0","6","29.10.12"
"070230","23","Волинська область","сільський клуб, фойє
вул.Молодіжна, 26, с.Карасин, Камінь-Каширський р-н, Волинська обл., 44572","504","147","497","11","346","11","357","","0","346","11","357","12","345","9","89","15","204","7","6","9","0","0","6","29.10.12"
"070231","23","Волинська область","лісництво, зал засідань
вул.Незалежності, 4, с.Карпилівка, Камінь-Каширський р-н, Волинська обл., 44573","480","111","468","17","352","17","369","","0","352","17","369","12","357","13","147","21","140","6","1","12","2","2","13","29.10.12"
"070232","23","Волинська область","школа, спортзал
вул.Центральна, 40, с.Качин, Камінь-Каширський р-н, Волинська обл., 44542","594","211","574","62","327","56","383","","0","327","56","383","18","365","7","126","13","155","7","8","33","2","1","13","29.10.12"
"070233","23","Волинська область","фельдшерсько-акушерський пункт, каб.3
вул.Центральна, 13, с.Ставище, Камінь-Каширський р-н, Волинська обл., 44542","84","22","82","6","56","6","62","","0","56","6","62","0","62","1","30","2","28","0","0","0","0","0","1","29.10.12"
"070234","23","Волинська область","школа, кл.3
вул.Шевченка, 57, с.Олександрія, Камінь-Каширський р-н, Волинська обл., 44542","150","37","146","7","108","5","113","","0","108","5","113","8","105","2","55","7","27","3","2","5","1","1","2","29.10.12"
"070235","23","Волинська область","сільський клуб, актова зала
вул.8 Березня, 2, с.Клітицьк, Камінь-Каширський р-н, Волинська обл., 44550","432","133","423","4","295","4","299","","0","295","4","299","6","293","17","57","9","150","18","2","33","0","0","7","29.10.12"
"070236","23","Волинська область","сільський клуб, актова зала
вул.Перемоги, 7, с.Гута-Камінська, Камінь-Каширський р-н, Волинська обл., 44551","354","123","353","6","225","6","231","","0","225","6","231","5","226","2","58","15","109","10","4","21","1","0","6","29.10.12"
"070237","23","Волинська область","сільський клуб, фойє
вул.Незалежності, 1б, с.Личини, Камінь-Каширський р-н, Волинська обл., 44544","468","143","457","33","297","28","325","","0","297","28","325","5","320","15","142","15","98","15","7","24","1","0","3","29.10.12"
"070238","23","Волинська область","сільський клуб, фойє
вул.Ладана, 3, с.Мельники-Мостище, Камінь-Каширський р-н, Волинська обл., 44514","534","192","515","8","334","8","342","","0","334","8","342","1","341","7","49","13","223","6","1","29","3","2","8","29.10.12"
"070239","23","Волинська область","сільський клуб, фойє
вул.Нова, 4, с.Мостище, Камінь-Каширський р-н, Волинська обл., 44515","474","190","469","0","284","0","284","","0","284","0","284","9","275","14","31","8","191","6","12","4","2","1","6","29.10.12"
"070240","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 20, с.Нові Червища, Камінь-Каширський р-н, Волинська обл., 44560","846","198","841","45","606","42","648","","0","606","42","648","22","626","80","229","45","160","36","18","41","4","3","10","29.10.12"
"070241","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 52, с.Рудка-Червинська, Камінь-Каширський р-н, Волинська обл., 44561","426","101","422","21","305","20","325","","0","305","20","325","5","320","31","118","28","105","7","7","15","1","1","7","29.10.12"
"070242","23","Волинська область","школа, спортзал
вул.Лесі Українки, 84, с.Нуйно, Камінь-Каширський р-н, Волинська обл., 44540","1170","526","1149","8","638","6","644","","0","638","6","644","21","623","18","171","25","319","24","6","26","2","4","28","29.10.12"
"070243","23","Волинська область","сільський клуб, актова зала
вул.Торгова, 98А, с.Оленине, Камінь-Каширський р-н, Волинська обл., 44563","750","339","740","28","383","28","411","","0","383","28","411","20","391","26","108","11","179","7","7","36","4","1","12","29.10.12"
"070244","23","Волинська область","сільський клуб, фойє
вул.Центральна, 35, с.Осівці, Камінь-Каширський р-н, Волинська обл., 44522","1032","440","1025","22","571","21","592","","0","571","21","592","14","578","10","107","25","363","16","15","27","3","1","11","29.10.12"
"070245","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 90, с.Піщане, Камінь-Каширський р-н, Волинська обл., 44565","924","354","912","21","549","21","570","","0","549","21","570","16","554","10","117","14","330","43","4","15","1","9","11","29.10.12"
"070246","23","Волинська область","сільський клуб, актова зала
вул.Центральна, 1, с.Пнівне, Камінь-Каширський р-н, Волинська обл., 44531","474","145","465","9","320","9","329","","0","320","9","329","4","325","17","76","10","189","5","3","16","1","0","8","29.10.12"
"070247","23","Волинська область","школа, вестибюль
вул.Травнева, 11, с.Волиця, Камінь-Каширський р-н, Волинська обл., 44533","642","232","629","39","371","39","410","","0","371","39","410","9","401","83","83","18","201","5","3","4","0","0","4","29.10.12"
"070248","23","Волинська область","школа, спортзал
вул.1-ше Травня, 29, с.Соснівка, Камінь-Каширський р-н, Волинська обл., 44531","384","136","381","15","233","15","248","","0","233","15","248","6","242","8","73","11","135","1","2","6","1","1","4","29.10.12"
"070249","23","Волинська область","школа, вестибюль
вул.Миру, 20, с.Фаринки, Камінь-Каширський р-н, Волинська обл., 44532","510","186","503","5","319","5","324","","0","319","5","324","9","315","15","64","11","191","4","6","17","2","0","5","29.10.12"
"070250","23","Волинська область","сільський клуб, актова зала
вул.Шкільна, 4А, с.Полиці, Камінь-Каширський р-н, Волинська обл., 44552","540","145","535","11","384","11","395","","0","384","11","395","18","377","14","75","11","184","8","9","68","0","2","6","29.10.12"
"070251","23","Волинська область","сільський клуб, актова зала
вул.Селищна, 1, с.Іваномисль, Камінь-Каширський р-н, Волинська обл., 44552","294","69","292","10","215","10","225","","0","215","10","225","6","219","8","53","18","107","3","1","20","0","2","7","29.10.12"
"070252","23","Волинська область","сільський клуб, актова зала
вул.Ветеранів, 109, с.Раків Ліс, Камінь-Каширський р-н, Волинська обл., 44524","2400","1009","2375","38","1354","37","1391","","0","1354","37","1391","36","1355","40","489","77","492","41","19","159","9","4","25","29.10.12"
"070253","23","Волинська область","школа, вестибюль
вул.Миру, 1, с.Підріччя, Камінь-Каширськийр-н, Волинська обл., 44525","450","144","440","6","301","5","306","","0","301","5","306","16","290","7","66","19","73","36","4","76","3","2","4","29.10.12"
"070254","23","Волинська область","сільський клуб, фойє
вул.Ковельська, 98, с.Сошичне, Камінь-Каширський р-н, Волинська обл., 44543","1428","481","1420","57","895","52","947","","0","895","52","947","24","923","20","336","46","429","18","12","23","5","3","31","29.10.12"
"070255","23","Волинська область","школа, кл.2
вул.Лесі Українки, 44, с.Запруддя, Камінь-Каширський р-н, Волинська обл., 44543","174","35","171","16","124","15","139","","0","124","15","139","4","135","9","50","4","58","1","2","9","1","0","1","29.10.12"
"070256","23","Волинська область","сільський клуб, фойє
вул.Незалежності, 89А, с.Стобихівка, Камінь-Каширський р-н, Волинська обл., 44575","576","127","568","12","437","12","449","","0","437","12","449","19","430","7","212","30","141","6","6","15","1","1","11","29.10.12"
"070257","23","Волинська область","сільський клуб, фойє
вул.Миру, 21А, с.Радошинка, Камінь-Каширський р-н, Волинська обл., 44573","150","48","147","4","100","2","102","","0","100","2","102","7","95","1","39","3","36","3","1","3","1","1","7","29.10.12"
"070258","23","Волинська область","школа, вестибюль
вул.Миру, 5, с.Тоболи, Камінь-Каширський р-н, Волинська обл., 44554","774","234","767","38","502","38","540","","0","502","38","540","9","531","125","148","27","169","6","7","38","2","1","8","29.10.12"
"070259","23","Волинська область","сільський клуб, фойє
вул.Жовтнева, 39, с.Старі Червища, Камінь-Каширський р-н, Волинська обл., 44554","276","58","275","8","210","8","218","","0","210","8","218","4","214","26","74","9","91","5","2","2","1","0","4","29.10.12"
"070260","23","Волинська область","сільський клуб, актова зала
вул.Глинянка, 2, с.Хотешів, Камінь-Каширський р-н, Волинська обл., 44512","1230","339","1204","46","852","39","891","","0","852","39","891","19","872","22","216","34","482","11","15","73","4","1","14","29.10.12"
"070261","23","Волинська область","сільський клуб, актова зала
вул.Шкільна, 2, с.Котуш, Камінь-Каширський р-н, Волинська обл., 44512","174","60","171","2","112","2","114","","0","112","2","114","1","113","10","31","9","56","0","0","4","0","0","3","29.10.12"
"070262","23","Волинська область","сільський клуб, фойє
вул.Шкільна, 4, с.Черче, Камінь-Каширський р-н, Волинська обл., 44510","1176","381","1166","39","759","36","795","","0","759","36","795","23","772","61","332","41","208","14","22","71","5","5","13","29.10.12"
"070263","23","Волинська область","школа, кл.2А
вул.Вишнева, 23, с.Острівок, Камінь-Каширський р-н, Волинська обл., 44510","246","103","244","3","142","1","143","","0","142","1","143","0","143","5","46","7","65","6","9","3","1","0","1","29.10.12"
"070264","23","Волинська область","школа, кл.2
вул.Шкільна, 14, с.Підбороччя, Камінь-Каширський р-н, Волинська обл., 44511","384","112","376","18","254","18","272","","0","254","18","272","8","264","9","114","14","108","3","2","7","0","1","6","29.10.12"
"070265","23","Волинська область","центральна районна лікарня, фойє поліклініки
вул.Шевченка, 43, м.Камінь-Каширський, Камінь-Каширський р-н, Волинська обл., 44500","204","92","123","39","79","33","112","","0","79","33","112","4","108","6","29","1","50","7","2","8","2","0","3","29.10.12"
"070266","23","Волинська область","школа №1, коридор, 1-й поверх
вул.Київська, 43, м.Ківерці, Ківерцівський р-н, Волинська обл., 45200","1872","703","1849","22","1149","20","1169","","0","1149","20","1169","33","1136","33","399","41","545","4","11","24","25","2","52","29.10.12"
"070267","23","Волинська область","районний будинок культури ім.Ковальова, фойє, 2-й поверх
вул.Шевченка, 29, м.Ківерці, Ківерцівський р-н, Волинська обл., 45200","1782","682","1761","14","1088","12","1100","","0","1088","12","1100","28","1072","22","369","34","514","5","11","30","20","2","65","29.10.12"
