"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баскевич
Ігор
Володимирович","Бауер
Михайло
Йозефович","Лисюк
Олександр
Михайлович","Любимський
Василь
Олексійович","Манчуленко
Георгій
Манолійович","Назаренко
Клавдія
Дмитрівна","Рибак
Іван
Петрович","Серецький
Михайло
Миколайович","Токарюк
Володимир
Семенович","Фищук
Олександр
Георгійович","Швигар
Леонід
Володимирович","Дата підписання протоколу"
"730207","202","Чернівецька область","клуб, зал
вул.Т.Шевченка, 24, с.Коростувата, Кіцманський р-н, Чернівецька обл., 59355","168","59","164","10","99","10","109","","0","99","10","109","2","107","5","29","0","0","1","10","26","0","0","35","1","29.10.12"
"730208","202","Чернівецька область","школа, їдальня
вул.Шкільна, 10, с.Давидівці, Кіцманського р-н, Чернівецька обл., 59309","822","280","819","25","521","21","542","","0","521","21","542","16","526","7","138","5","2","4","17","93","5","0","247","8","30.10.12"
"730209","202","Чернівецька область","школа, спортзал
вул.Т.Шевченка, 53А, с.Драчинці, Кіцманського р-н, Чернівецької обл., 59353","1908","955","1890","34","926","27","953","","0","926","27","953","43","910","20","211","5","7","16","54","282","5","9","293","8","30.10.12"
"730210","202","Чернівецька область","школа, спортзал
вул.Головна, 32, с.Нові Драчинці, Кіцманського р-н, Чернівецької обл., 59353","450","200","440","36","214","36","250","","0","214","36","250","25","225","8","95","7","2","6","8","40","1","4","51","3","29.10.12"
"730211","202","Чернівецька область","клуб, зал
вул.Т.Шевченка, 6, с.Дубівці, Кіцманський р-н, Чернівецька обл., 59334","1020","330","1011","70","626","64","690","","0","626","64","690","17","673","15","132","0","4","23","22","70","2","1","396","8","29.10.12"
"730212","202","Чернівецька область","клуб, актовий зал
вул.Центральна, 33, с.Гаврилівці, Кіцманський р-н, Чернівецька обл., 59320","252","59","253","22","173","20","193","","0","173","20","193","10","183","4","26","1","10","1","7","33","0","2","97","2","29.10.12"
"730213","202","Чернівецька область","школа, спортзал
вул.Головна, 71, с.Іванківці, Кіцманський р-н, Чернівецька обл., 59320","1044","421","1032","38","585","38","623","","0","585","38","623","25","598","10","153","11","3","16","25","99","3","4","264","10","29.10.12"
"730214","202","Чернівецька область","будинок культури, зал
вул.Велико-Володимирівська, 87А, с.Киселів, Кіцманський р-н, Чернівецька обл., 59310","2214","859","2197","72","1291","64","1355","","0","1291","64","1355","35","1320","13","223","5","1","3","22","116","1","8","921","7","29.10.12"
"730215","202","Чернівецька область","будинок культури, актовий зал
вул.Шкільна, 3, с.Кліводин, Кіцманський р-н, Чернівецька обл., 59308","1266","497","1261","43","731","38","769","","0","731","38","769","29","740","10","138","11","11","6","32","240","2","4","266","20","29.10.12"
"730216","202","Чернівецька область","клуб, актовий зал
вул.Крикливця, 47Б, с.Витилівка, Кіцманського р-н, Чернівецька обл., 59323","792","320","786","31","441","31","472","","0","441","31","472","16","456","14","144","2","6","3","20","35","4","0","222","6","30.10.12"
"730217","202","Чернівецька область","будинок культури, зал
вул.Головна, 44, с.Лашківка, Кіцманського р-н, Чернівецка обл., 59323","1296","561","1287","41","695","40","735","","0","695","40","735","25","710","19","161","3","10","8","27","104","2","1","357","18","29.10.12"
"730218","202","Чернівецька область","школа, фойє
вул.Дружби Народів, 14, с.Малятинці, Кіцманський р-н, Чернівецька обл., 59314","900","259","903","50","591","50","641","","0","591","50","641","19","622","5","146","6","4","7","9","162","1","2","268","12","29.10.12"
"730219","202","Чернівецька область","школа №2, фойє
вул.О.Кобилянської, 2, с.Мамаївці, Кіцманський р-н, Чернівецька обл., 59343","2010","781","1977","59","1170","59","1229","","0","1170","59","1229","39","1190","18","200","3","11","15","78","228","6","9","493","129","29.10.12"
"730220","202","Чернівецька область","будинок культури, актовий зал
вул.Т.Шевченка, 164, с.Мамаївці, Кіцманський р-н, Чернівецька обл., 59343","1728","704","1719","48","976","48","1024","","0","976","48","1024","21","1003","25","142","1","25","8","66","126","3","2","541","64","29.10.12"
"730221","202","Чернівецька область","школа №1, актовий зал
вул.Конституції, 24, с.Мамаївці, Кіцманський р-н, Чернівецька обл., 59343","1194","458","1182","51","685","51","736","","0","685","51","736","17","719","19","96","5","7","3","35","74","2","8","414","56","29.10.12"
"730222","202","Чернівецька область","клуб, актовий зал
вул.Б.Хмельницького, 66, с.Брусенки, Кіцманський р-н, Чернівецька обл., 59357","888","268","879","39","581","39","620","","0","581","39","620","13","607","19","195","2","5","5","33","45","33","6","251","13","29.10.12"
"730223","202","Чернівецька область","сільська рада, зал засідань
вул.Незалежності, 40, с.Нижні Станівці, Кіцманський р-н, Чернівецька обл., 59357","1362","465","1377","87","814","83","897","","0","814","83","897","23","874","40","215","5","11","14","78","87","19","2","395","8","29.10.12"
"730224","202","Чернівецька область","будинок культури, глядацький зал
вул.Незалежності, 98, с.Оршівці, Кіцманського р-н, Черніівецька обл., 59321","1752","530","1738","64","1158","64","1222","","0","1158","64","1222","26","1196","24","248","11","6","11","78","182","9","9","613","5","29.10.12"
"730225","202","Чернівецька область","будинок культури, фойє
вул.Незалежності, 90, с.Ошихліби, Кіцманський р-н, Чернівецька обл., 59322","1620","516","1612","66","1041","63","1104","","0","1041","63","1104","21","1083","25","189","9","14","5","36","339","5","2","433","26","29.10.12"
"730226","202","Чернівецька область","будинок культури, фойє
вул.Головна, 54, с.Ставчани, Кіцманський р-н, Чернівецька обл., 59316","1674","526","1655","103","1047","101","1148","","0","1047","101","1148","16","1132","17","223","4","5","61","35","151","1","0","620","15","29.10.12"
"730227","202","Чернівецька область","клуб, глядацький зал
вул.Головна, 18А, с.Бурдей, Кіцманський р-н, Чернівецька обл., 59345","240","83","236","10","147","10","157","","0","147","10","157","2","155","1","33","0","4","1","7","31","0","2","73","3","29.10.12"
"730228","202","Чернівецька область","будинок культури, фойє
вул.Центральна, 49, с.Ревне, Кіцманський р-н, Чернівецька обл., 59345","798","330","792","10","458","10","468","","0","458","10","468","15","453","8","42","5","5","5","46","100","4","6","228","4","29.10.12"
"730229","202","Чернівецька область","школа, актовий зал
вул.Центральна, 147, с.Стрілецький Кут, Кіцманський р-н, Чернівецька обл., 59345","1608","723","1593","43","844","41","885","","0","844","41","885","27","858","15","169","4","6","16","52","190","7","10","377","12","29.10.12"
"730230","202","Чернівецька область","школа, спорт зал
вул.Шкільна, 7, с.Суховерхів, Кіцманський р-н, Чернівецька обл., 59307","1482","444","1474","105","938","100","1038","","0","938","100","1038","13","1025","17","221","3","17","9","24","184","3","1","536","10","29.10.12"
"730231","202","Чернівецька область","клуб, зал
вул.Головна, 15А, с.Хлівище, Кіцманський р-н, Чернівецька обл., 59315","486","143","486","42","303","40","343","","0","303","40","343","12","331","8","104","3","1","3","11","40","1","1","155","4","29.10.12"
"730232","202","Чернівецька область","будинок культури, зал урочитих подій
вул.Н.Яремчука, 6, с.Шипинці, Кіцманський р-н, Чернівецька обл., 59341","2412","922","2387","143","1347","143","1490","","0","1347","143","1490","39","1451","33","195","9","13","16","76","275","7","1","793","33","29.10.12"
"730233","202","Чернівецька область","будинок культури, фойє
вул.С.Душинського,8А, с.Шишківці, Кіцманський р-н, Чернівецька обл., 59312","1272","378","1254","95","799","95","894","","0","799","95","894","24","870","6","118","1","4","3","26","119","1","4","575","13","30.10.12"
"730234","202","Чернівецька область","школа, спортивний зал
вул.Головна, 9, с.Южинець, Кіцманський р-н, Чернівецька обл., 59313","888","324","879","51","514","50","564","","0","514","50","564","22","542","15","143","3","5","3","9","47","2","2","313","0","29.10.12"
"730235","202","Чернівецька область","лікарня, зал засідань
вул.Незалежності, 1, м.Кіцмань, Чернівецька обл., 59300","204","150","54","31","23","31","54","","0","23","31","54","0","54","2","14","0","1","1","0","8","0","1","23","4","29.10.12"
"730279","202","Чернівецька область","районний будинок культури, велика зала
вул.Т.Шевченка, 1, смт Путила, Путильський р-н, Чернівецька обл., 59100","2148","922","2135","73","1161","65","1226","","0","1161","65","1226","28","1198","19","418","7","11","15","47","181","5","4","478","13","29.10.12"
"730280","202","Чернівецька область","районний будинок культури, мала зала
вул.Т.Шевченка, 1, смт Путила, Путильський р-н, Чернівецька обл., 59100","1002","404","1002","30","570","28","598","","0","570","28","598","15","583","16","221","6","4","12","24","82","5","2","207","4","30.10.12"
"730281","202","Чернівецька область","сільський клуб, глядацька зала
вул.Центральна, 60А, с.Паркулина, Путильський р-н, Чернівецька обл., 59100","450","157","436","22","272","21","293","","0","272","21","293","8","285","4","117","10","2","5","13","48","0","4","82","0","29.10.12"
"730282","202","Чернівецька область","сільський клуб, глядацька зала
вул.Сторонецький потік, 95, с.Рижа, Путильський р-н, Чернівецька обл., 59100","342","132","336","34","176","34","210","","0","176","34","210","4","206","5","97","3","2","2","8","46","0","0","42","1","29.10.12"
"730283","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Головна, 130, с.Дихтинець, Путильський р-н, Чернівецька обл., 59115","1092","372","1077","66","656","64","720","","0","656","64","720","24","696","20","303","7","4","12","26","134","7","3","171","9","29.10.12"
"730284","202","Чернівецька область","сільський клуб, глядацька зала
вул.Малодихтинецька, 3, с.Малий Дихтинець, Путильський р-н, Чернівецька обл., 59115","414","161","414","60","194","59","253","","0","194","59","253","12","241","5","116","4","4","1","16","23","2","1","68","1","29.10.12"
"730285","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.І.Миколайчука, 34Б, с.Довгопілля, Путильський р-н, Чернівецька обл., 59120","1236","445","1220","80","718","73","791","","0","718","73","791","19","772","11","226","3","12","5","29","238","7","2","233","6","29.10.12"
"730286","202","Чернівецька область","сільський клуб, глядацька зала
вул.Головна, 107А, с.Стебні, Путильський р-н, Чернівецька обл., 59121","390","171","388","23","196","23","219","","0","196","23","219","6","213","6","67","2","0","5","12","38","1","1","78","3","29.10.12"
"730287","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Головна, 64, с.Киселиці, Путильський р-н, Чернівецька обл., 59124","1224","444","1208","90","690","90","780","","0","690","90","780","19","761","20","287","15","7","7","16","148","6","6","247","2","29.10.12"
"730288","202","Чернівецька область","сільський клуб, глядацька зала
вул.Світанкова, 18, с.Гробище, Путильський р-н, Чернівецька обл., 59124","348","145","340","39","169","34","203","","0","169","34","203","6","197","2","93","2","1","2","8","44","4","0","40","1","29.10.12"
"730289","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Центральна, 182, с.Конятин, Путильський р-н, Чернівецька обл., 59122","492","168","493","41","284","40","324","","0","284","40","324","5","319","9","140","1","1","3","5","64","4","1","91","0","29.10.12"
"730290","202","Чернівецька область","сільський клуб, глядацька зала
вул.Самаківська, 30, с.Самакова, Путильський р-н, Чернівецька обл., 59122","540","171","535","58","311","58","369","","0","311","58","369","15","354","1","153","1","2","7","4","84","4","1","93","4","29.10.12"
"730291","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Головна, 82А, с.Мариничі, Путильський р-н, Чернівецька обл., 59112","540","196","531","24","323","21","344","","0","323","21","344","4","340","4","185","5","1","2","17","46","2","0","78","0","29.10.12"
"730292","202","Чернівецька область","фельдшерсько-акушерський пункт, каб.2
вул.Головна, 34А, с.Петраші, Путильський р-н, Чернівецька обл., 59112","336","141","335","29","166","29","195","","0","166","29","195","9","186","2","62","3","4","2","2","38","1","0","69","3","29.10.12"
"730293","202","Чернівецька область","сільський будинок культури, кабінет директора
вул.Ю.Федьковича, 1А, с.Підзахаричі, Путильський р-н, Чернівецька обл., 59110","774","246","770","65","463","65","528","","0","463","65","528","15","513","7","261","5","4","6","17","76","2","5","129","1","30.10.12"
"730294","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Головна, 87, с.Плоска, Путильський р-н, Чернівецька обл., 59130","996","574","650","28","397","25","422","","0","397","25","422","16","406","5","187","6","4","6","16","66","5","1","101","9","29.10.12"
"730295","202","Чернівецька область","сільський клуб, глядацька зала
вул.Кобилиці Л., 15, с.Лустун, Путильський р-н, Чернівецька обл., 59130","156","71","153","15","72","13","85","","0","72","13","85","1","84","2","36","1","0","0","5","17","4","0","16","3","29.10.12"
"730296","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Головна, 93, с.Розтоки, Путильський р-н, Чернівецька обл., 59111","1548","563","1530","107","884","101","985","","0","884","101","985","28","957","10","395","15","4","34","39","137","3","2","314","4","29.10.12"
"730297","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Підгірська, 1В, с.Селятин, Путильський р-н, Чернівецька обл., 59131","1206","472","1192","45","690","44","734","","0","690","44","734","30","704","18","337","2","5","3","15","108","6","3","198","9","29.10.12"
"730298","202","Чернівецька область","Руськівська школа-сад, спортивна зала
вул.Митницька, 2, с.Руська, Путильський р-н, Чернівецька обл., 59131","300","114","297","18","168","18","186","","0","168","18","186","15","171","1","63","4","5","5","4","41","5","2","38","3","29.10.12"
"730299","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Головна, 69, с.Сергії, Путильський р-н, Чернівецька обл., 59107","930","364","921","55","515","51","566","","0","515","51","566","17","549","19","194","9","1","6","26","93","5","2","191","3","29.10.12"
"730300","202","Чернівецька область","сільський клуб, глядацька зала
вул.Незалежна, 26, с.Рипень, Путильський р-н, Чернівецька обл., 59107","288","89","286","29","173","26","199","","0","173","26","199","6","193","4","54","5","9","4","9","37","2","1","67","1","29.10.12"
"730301","202","Чернівецька область","сільський клуб, глядацька зала
вул.Центральна, 16, с.Фошки, Путильський р-н, Чернівецька обл., 59107","270","82","274","18","173","15","188","","0","173","15","188","2","186","1","113","3","1","2","5","23","0","0","37","1","29.10.12"
"730302","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Центральна, 51, с.Усть-Путила, Путильський р-н, Чернівецька обл., 59114","762","238","755","55","475","49","524","","0","475","49","524","10","514","8","252","1","5","0","13","50","2","1","180","2","29.10.12"
"730303","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.К.Г.Алєксєєва, 4А, с.Шепіт, Путильський р-н, Чернівецька обл., 59133","576","204","569","25","349","23","372","","0","349","23","372","14","358","7","225","2","2","2","9","41","4","2","56","8","29.10.12"
"730304","202","Чернівецька область","приватний будинок Харя В.О., бенкетний зал
вул.Ю.Федьковича, 25А, с.Верхній Яловець, Путильський р-н, Чернівецька обл., 59133","244","70","240","22","152","22","174","","0","152","22","174","5","169","2","110","0","1","0","2","23","1","1","26","3","29.10.12"
"730305","202","Чернівецька область","ДП ""Путильський лісгосп"", адмінприміщення
вул.Щербини, 5А, с.Сарата, Путильський р-н, Чернівецька обл., 59134","78","21","73","15","42","15","57","","0","42","15","57","0","57","1","46","1","0","0","0","0","0","0","9","0","28.10.12"
"730306","202","Чернівецька область","сільський будинок культури, глядацька зала
вул.Головна, 51, с.Яблуниця, Путильський р-н, Чернівецька обл., 59126","690","195","681","41","455","40","495","","0","455","40","495","12","483","8","277","5","1","3","12","103","8","2","62","2","29.10.12"
"730307","202","Чернівецька область","сільський клуб, глядацька зала
вул.Голошинська, 42, с.Голошина, Путильський р-н, Чернівецька обл., 59126","84","22","82","0","62","0","62","","0","62","0","62","5","57","1","36","0","1","0","0","18","0","0","1","0","29.10.12"
"730338","202","Чернівецька область","будинок національних культур, танцювальна зала, 2-й поверх
вул.Чернівецька, 11, м.Сторожинець, Сторожинецький р-н, Чернівецька обл., 59000","2352","1133","2331","30","1195","24","1219","","0","1195","24","1219","53","1166","33","229","8","77","27","76","98","40","22","491","65","29.10.12"
"730339","202","Чернівецька область","ліцей, спортивна зала
вул.Чаплигіна, 33, м.Сторожинець, Сторожинецького р-н, Чернівецької обл., 59000","2304","1064","2255","10","1230","10","1240","","0","1230","10","1240","30","1210","28","194","3","85","18","96","83","64","28","572","39","30.10.12"
"730340","202","Чернівецька область","школа №1, спортивна зала
вул.П.Видинівського, 1, м.Сторожинець, Сторожинецький р-н, Чернівецька обл., 59000","1626","846","1611","12","770","10","780","","0","770","10","780","41","739","13","154","7","44","12","60","55","35","13","323","23","29.10.12"
"730341","202","Чернівецька область","дитяча юнацька спортивна школа, спортивна зала
вул.Б.Хмельницького, 51, м.Сторожинець, Сторожинецький р-н, Чернівецька обл., 59000","1782","850","1761","56","884","48","932","","0","884","48","932","32","900","30","137","8","61","12","72","44","53","16","448","19","29.10.12"
"730342","202","Чернівецька область","лісовий коледж, зала урочистих подій
вул.І.Крейтера, 2, м.Сторожинець, Сторожинецький р-н, Чернівецька обл., 59000","2070","1102","2053","33","939","29","968","","0","939","29","968","28","940","21","139","9","37","12","76","94","86","46","403","17","29.10.12"
"730343","202","Чернівецька область","клуб, зала
вул.Б.Хмельницького, 103, м.Сторожинець, Сторожинецький р-н, Чернівецька обл., 59000","1584","1002","1562","2","580","2","582","","0","580","2","582","43","539","14","138","8","40","14","41","41","34","12","184","13","29.10.12"
"730344","202","Чернівецька область","будинок культури, мала зала
вул.Штефан чел Маре, 157, смт Красноїльськ, Сторожинецький р-н, Чернівецька обл., 59022","2352","1392","2342","34","926","34","960","","0","926","34","960","64","896","21","394","13","221","10","29","47","21","5","129","6","29.10.12"
"730345","202","Чернівецька область","торгово-розважальний комплекс ""П/П Істратій Д.Г."", зала урочистих подій
вул.Дружби, 26, смт Красноїльськ, Сторожинецький р-н, Чернівецька обл., 59022","2298","1569","2282","32","697","32","729","","0","697","32","729","24","705","11","266","5","113","6","27","87","17","14","147","12","29.10.12"
"730346","202","Чернівецька область","школа №1, фойє
вул.В.Александрі, 1Б, смт Красноїльськ, Сторожинецький р-н, Чернівецька обл., 59022","2280","1425","2265","22","833","22","855","","0","833","22","855","44","811","19","564","4","90","3","19","27","9","5","69","2","29.10.12"
"730347","202","Чернівецька область","будинок культури, глядацька зала
вул.Головна, 136, с.Банилів-Підгірний, Сторожинецький р-н, Чернівецька обл., 59020","2202","984","2182","74","1145","73","1218","","0","1145","73","1218","42","1176","23","375","6","32","17","67","130","59","7","443","17","29.10.12"
"730348","202","Чернівецька область","сільський клуб, зала
вул.Полянівська, 48, с.Банилів-Підгірний, Сторожинецький р-н, Чернівецька обл., 59020","240","99","237","10","132","9","141","","0","132","9","141","9","132","1","43","1","3","1","5","7","5","0","65","1","29.10.12"
"730349","202","Чернівецька область","школа, каб.2
вул.Рівнянська, 22, с.Банилів-Підгірний, Сторожинецький р-н, Чернівецька обл., 59020","498","175","495","20","304","19","323","","0","304","19","323","13","310","3","89","5","21","4","12","35","16","1","123","1","29.10.12"
"730350","202","Чернівецька область","школа, актова зала
вул.Головна, 7, с.Бобівці, Сторожинецький р-н, Чернівецька обл., 59013","1434","656","1418","100","689","89","778","","0","689","89","778","23","755","14","170","6","5","5","42","84","16","15","391","7","29.10.12"
