"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вікнянський
Олег
Іванович","Говорнян
Семен
Володимирович","Данчук
Валерій
Георгійович","Кучерявий
Валерій
Сергійович","Левчик
Юрій
Серафимович","Мельник
Руслан
Васильович","Паламар
Іван
Савич","Панчук
Петро
Володимирович","Спіжавка
Степан
Георгійович","Тіміш
Григорій
Іванович","Федоряк
Геннадій
Дмитрович","Дата підписання протоколу"
"730074","203","Чернівецька область","школа, спортзал
вул.В.Александрі, 49А, с.Волока, Глибоцький р-н, Чернівецька обл., 60413","2556","1500","2435","68","994","62","1056","","0","994","62","1056","50","1006","110","28","6","34","13","16","7","15","18","119","640","29.10.12"
"730075","203","Чернівецька область","школа, спортзал
вул.Штефан чел Маре, 52А, с.Грушівка, Глибоцький р-н, Чернівецька обл., 60414","948","523","938","22","408","17","425","","0","408","17","425","17","408","31","17","6","6","37","15","1","18","5","39","233","28.10.12"
"730076","203","Чернівецька область","будинок культури, актова зала
вул.Головна, 62Б, с.Йорданешти, Глибоцький р-н, Чернівецька обл., 60421","1752","612","1753","88","1052","88","1140","","0","1052","88","1140","32","1108","31","14","7","7","15","26","12","22","13","267","694","29.10.12"
"730077","203","Чернівецька область","школа, спортзал
вул.Синюка, 3, с.Кам’янка, Глибоцький р-н, Чернівецька обл., 60427","2136","694","2131","88","1360","82","1442","","0","1360","82","1442","38","1404","15","10","14","16","4","18","20","372","58","237","640","29.10.12"
"730078","203","Чернівецька область","будинок культури, актова зала
вул.О.Кобилянської, 5, с.Кам’янка, Глибоцький р-н, Чернівецька обл., 60427","2400","883","2385","74","1449","68","1517","","0","1449","68","1517","66","1451","9","7","3","6","7","35","14","435","73","276","586","28.10.12"
"730079","203","Чернівецька область","клуб, актова зала
вул.Центральна, 18, с.Карапчів, Глибоцький р-н, Чернівецька обл., 60420","1536","603","1528","65","876","57","933","","0","876","57","933","28","905","33","18","5","3","14","25","2","19","17","224","545","29.10.12"
"730080","203","Чернівецька область","школа, спортзал
вул.Шкільна, 1А, с.Коровія, Глибоцький р-н, Чернівецька обл., 60410","2430","1258","2418","61","1134","38","1172","","0","1134","38","1172","62","1110","42","13","13","10","24","39","60","69","137","322","381","29.10.12"
"730081","203","Чернівецька область","будинок культури, актова зала
вул.О.Кобилянської, 8, с.Корчівці, Глибоцький р-н, Чернівецька обл., 60426","1230","553","1257","68","620","57","677","","0","620","57","677","40","637","12","4","4","8","8","14","14","25","11","237","300","29.10.12"
"730082","203","Чернівецька область","будинок культури, актова зала
вул.Центральна, 82А, с.Купка, Глибоцький р-н, Чернівецька обл., 60425","1998","828","1993","85","1088","82","1170","","0","1088","82","1170","47","1123","7","5","7","7","4","23","5","10","7","542","506","29.10.12"
"730083","203","Чернівецька область","школа, коридор ІІ корпусу
ул.Головна, 77 с.Луковиця, Глибоцький р-н, Чернівецька обл.","1074","385","1065","46","643","46","689","","0","643","46","689","38","651","20","10","16","3","14","32","10","178","55","114","199","29.10.12"
"730084","203","Чернівецька область","школа, спортзал
вул.Шкільна, 4, с.Кут, Глибоцький р-н, Чернівецька обл., 60416","306","124","303","16","168","14","182","","0","168","14","182","10","172","2","4","6","2","8","9","3","37","13","41","47","28.10.12"
"730085","203","Чернівецька область","клуб, актова зала
вул.Центральна, 69А, с.Михайлівка, Глибоцький р-н, Чернівецька обл., 60408","528","167","520","33","331","30","361","","0","331","30","361","14","347","1","2","5","5","1","21","1","36","12","42","221","29.10.12"
"730086","203","Чернівецька область","школа, спортзал
вул.Центральна, 17А, с.Червона Діброва, Глибоцький р-н, Чернівецька обл., 60409","480","170","475","52","259","51","310","","0","259","51","310","9","301","2","4","0","2","3","97","3","26","15","67","82","28.10.12"
"730087","203","Чернівецька область","будинок культури, актова зала
вул.Головна, 29Г, с.Молодія, Глибоцький р-н, Чернівецька обл., 60415","1698","776","1711","75","862","60","922","","0","862","60","922","64","858","32","13","20","15","18","29","15","78","87","195","356","29.10.12"
"730088","203","Чернівецька область","школа, фойє
вул.Буковинська 70, с.Молодія, Глибоцький р-н, Чернівецька обл., 60415","1230","531","1231","35","665","34","699","","0","665","34","699","40","659","15","7","6","3","15","13","11","50","38","132","369","29.10.12"
"730089","203","Чернівецька область","будинок культури, актова зала
вул.М.Емінеску, 16А, с.Опришени, Глибоцький р-н, Чернівецька обл., 60445","1752","724","1761","56","974","54","1028","","0","974","54","1028","62","966","28","12","19","14","25","28","20","62","12","229","517","28.10.12"
"730090","203","Чернівецька область","клуб, актова зала
вул.Центральна, 5А, с.Слобідка, Глибоцький р-н, Чернівецька обл., 60449","384","127","381","18","241","16","257","","0","241","16","257","17","240","5","2","5","4","1","8","2","30","12","67","104","28.10.12"
"730091","203","Чернівецька область","школа, спортзал
вул.Шкільна, 1, с.Нижні Синівці, Глибоцький р-н, Чернівецька обл., 60447","678","210","674","13","455","13","468","","0","455","13","468","6","462","6","2","6","5","3","9","5","4","1","24","397","28.10.12"
"730092","203","Чернівецька область","клуб, актова зала
вул.Головна, 8, с.Верхні Синівці, Глибоцький р-н, Чернівецька обл., 60446","336","76","333","21","240","20","260","","0","240","20","260","1","259","3","1","3","8","1","2","26","17","0","11","187","28.10.12"
"730093","203","Чернівецька область","клуб, актова зала
вул.Головна, 75, с.Станівці, Глибоцький р-н, Чернівецька обл., 60432","1026","464","1018","14","548","14","562","","0","548","14","562","26","536","15","14","6","5","22","25","9","61","9","94","276","29.10.12"
"730094","203","Чернівецька область","школа, спортзал
вул.Головна, 151, с.Станівці, Глибоцький р-н, Чернівецька обл., 60432","1074","518","1062","13","543","13","556","","0","543","13","556","25","531","8","6","12","8","11","34","4","30","2","68","348","28.10.12"
"730095","203","Чернівецька область","будинок культури, актова зала
вул.Головна, 1, с.Старий Вовчинець, Глибоцький р-н, Чернівецька обл., 60440","1524","397","1516","93","1039","88","1127","","0","1039","88","1127","33","1094","16","13","9","11","8","19","9","122","53","173","661","29.10.12"
"730096","203","Чернівецька область","клуб, актова зала
вул.Білокриницька, 25, с.Біла Криниця, Глибоцький р-н, Чернівецька обл., 60442","96","30","93","7","62","4","66","","0","62","4","66","4","62","0","1","0","2","0","4","0","2","1","5","47","28.10.12"
"730097","203","Чернівецька область","клуб, актова зала
вул.Шкільна, 1А, с.Стерче, Глибоцький р-н, Чернівецька обл., 60438","942","212","937","20","710","20","730","","0","710","20","730","13","717","8","7","3","4","10","13","4","104","59","106","399","28.10.12"
"730098","203","Чернівецька область","школа, спортзал
вул.Центральна, 22, с.Сучевени, Глибоцький р-н, Чернівецька обл., 60422","1332","563","1327","57","718","51","769","","0","718","51","769","37","732","23","7","8","3","12","22","3","20","8","263","363","29.10.12"
"730099","203","Чернівецька область","школа, спортзал
вул.Центральна, 35, с.Петричанка, Глибоцький р-н, Чернівецька обл., 60423","426","114","421","19","293","19","312","","0","293","19","312","9","303","2","2","8","2","3","13","9","51","5","60","148","28.10.12"
"730100","203","Чернівецька область","школа, спортзал
вул.Буковинська, 61, с.Просіка, Глибоцький р-н, Чернівецька обл., 60424","516","192","510","19","305","19","324","","0","305","19","324","8","316","12","6","2","7","8","16","2","18","7","129","109","29.10.12"
"730101","203","Чернівецька область","клуб, актова зала
вул.Центральна, 1Г, с.Просокиряни, Глибоцький р-н, Чернівецька обл., 60424","288","111","285","17","162","15","177","","0","162","15","177","4","173","1","5","4","1","3","14","1","21","4","59","60","28.10.12"
"730102","203","Чернівецька область","клуб, актова зала
вул.Головна, 57, с.Тарашани, Глибоцький р-н, Чернівецька обл., 60430","792","239","782","34","519","34","553","","0","519","34","553","10","543","6","9","4","2","1","8","3","28","21","38","423","29.10.12"
"730103","203","Чернівецька область","клуб, актова зала
вул.Паркова, 2С, с.Привороки, Глибоцький р-н, Чернівецька обл., 60431","930","288","928","34","612","30","642","","0","612","30","642","16","626","5","2","9","2","5","8","5","24","4","90","472","29.10.12"
"730104","203","Чернівецька область","будинок культури, актова зала
вул.Головна, 51, с.Тереблече, Глибоцький р-н, Чернівецька обл., 60435","2184","888","2166","71","1227","69","1296","","0","1227","69","1296","69","1227","97","19","26","15","19","18","13","122","61","200","637","29.10.12"
"730105","203","Чернівецька область","клуб, актова зала
вул.Головна, 48, с.Горбівці, Глибоцький р-н, Чернівецька обл., 60437","738","268","733","22","449","21","470","","1","448","21","469","22","447","7","7","9","5","5","42","17","79","48","62","166","28.10.12"
"730106","203","Чернівецька область","будинок культури, фойє
вул.Головна, 29, с.Турятка, Глибоцький р-н, Чернівецька обл., 60433","1368","491","1367","64","815","62","877","","0","815","62","877","42","835","18","11","15","6","28","19","13","202","44","99","380","29.10.12"
"730107","203","Чернівецька область","клуб, актова зала
вул.Центральна, 13, с.Поляна, Глибоцький р-н, Чернівецька обл., 60434","354","93","350","31","230","31","261","","0","230","31","261","9","252","16","2","5","7","3","10","2","11","8","25","163","29.10.12"
