"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бичковський
Юрій
Олегович","Вандрашек
Вячеслав
Павлович","Лахнеко
Олег
Іванович","Лебедєв
Олександр
Павлович","Мусійко
Вадим
Юрійович","Назарян
Євген
Григорович","Поддубченко
Ігор
Іванович","Попутько
Юрій
Анатолійович","Путілов
Андрій
Станіславович","Романченко
Борис
Володимирович","Тишкевич
Олексій
Володимирович","Федін
Василь
Вікторович","Дата підписання протоколу"
"650658","183","Херсонська область","школа №21, хол, 1-й поверх
вул.Будьоного, 2, смт Антонівка, м.Херсон, 73000","2382","1381","2326","41","971","30","1001","","0","971","30","1001","77","924","20","11","79","23","19","46","37","12","319","14","20","324","29.10.12"
"650659","183","Херсонська область","школа-сад №40, хол, 1-й поверх
вул.Мічуріна, 6, с-ще Молодіжне, м.Херсон, 73487","864","481","862","7","376","7","383","","0","376","7","383","33","350","11","6","29","1","3","6","31","8","132","1","14","108","29.10.12"
"650660","183","Херсонська область","адміністративний корпус Південно-української філії УкрНДІПВТ ім.Л.Погорілого, хол, 1-й поверх
с-ще Жовтневе, м.Херсон, 73484","1242","608","1233","29","608","26","634","","0","608","26","634","27","607","2","5","36","6","3","18","26","4","213","4","5","285","29.10.12"
"650661","183","Херсонська область","адміністративний корпус Інституту землеробства південного регіону УАНН, хол, 1-й поверх
смт Наддніпрянське, м.Херсон, 73483","918","367","906","8","543","8","551","","0","543","8","551","29","522","8","3","35","8","5","12","50","8","219","5","6","163","29.10.12"
"650671","183","Херсонська область","Херсонський обласний онкологічний диспансер, вестибюль, 1-й поверх
Кіндійське шосе, 26Б, смт Антонівка, м.Херсон, 73036","246","146","142","22","82","18","100","","0","82","18","100","13","87","5","1","14","1","1","1","1","3","23","0","1","36","29.10.12"
"650672","183","Херсонська область","школа №57, хол, 1-й поверх
вул.Шенгелія, 9, м.Херсон, 73021","2406","1155","2375","16","1236","15","1251","","0","1236","15","1251","78","1173","18","11","135","19","13","47","35","14","442","24","21","394","29.10.12"
"650673","183","Херсонська область","школа №57, хол, 1-й поверх
вул.Шенгелія, 9, м.Херсон, 73021","2334","1073","2327","15","1251","10","1261","","0","1251","10","1261","71","1190","15","14","122","15","7","120","24","12","375","25","16","445","29.10.12"
"650674","183","Херсонська область","школа №57, хол, 1-й поверх
вул.Шенгелія, 9, м.Херсон, 73021","2304","1055","2280","6","1243","6","1249","","0","1243","6","1249","60","1189","16","16","106","19","8","107","42","11","457","21","18","368","29.10.12"
"650675","183","Херсонська область","гімназія №3, хол, 1-й поверх
вул.Євгена Патона, 15, м.Херсон, 73021","2262","1236","2228","8","1018","8","1026","","0","1018","8","1026","68","958","18","19","77","12","11","49","40","18","303","18","19","374","29.10.12"
"650676","183","Херсонська область","гімназія №3, хол, 1-й поверх
вул.Євгена Патона, 15, м.Херсон, 73021","2208","1051","2201","13","1147","10","1157","","0","1147","10","1157","73","1084","27","9","154","24","5","46","42","13","343","12","16","393","29.10.12"
