"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вінник
Іван
Юлійович","Воличенко
Роман
Миколайович","Діденко
Сергій
Володимирович","Дмитрук
Микола
Ілліч","Литвин
Ігор
Йосипович","Севрюков
Георгій
Іванович","Сіленков
Борис
Віталійович","Стретович
Володимир
Миколайович","Терлецький
Юрій
Сергійович","Дата підписання протоколу"
"650111","184","Херсонська область","школа №2, актова зала
вул.Братська, 10, смт Велика Олександрівка, Великоолександрівський р-н, Херсонська обл., 74100","1416","563","1407","40","814","39","853","","0","814","39","853","32","821","67","5","9","188","66","93","73","132","188","29.10.12"
"650112","184","Херсонська область","будинок культури, фойє
вул.Івана Красника, 57, с.Твердомедове, Великоолександрівський р-н, Херсонська обл., 74103","270","75","267","12","184","11","195","","0","184","11","195","11","184","19","2","1","35","16","16","6","60","29","28.10.12"
"650113","184","Херсонська область","будинок культури, фойє
вул.Леніна, 3, смт Біла Криниця, Великоолександрівський р-н, Херсонська обл., 74112","1290","521","1294","89","683","86","769","","0","683","86","769","32","737","50","4","18","145","54","93","42","216","115","29.10.12"
"650114","184","Херсонська область","будинок культури, фойє
вул.Перемоги, 27, смт Кар’єрне, Великоолександрівський р-н, Херсонська обл., 74113","426","193","419","28","205","28","233","","0","205","28","233","12","221","7","2","5","31","26","18","13","66","53","28.10.12"
"650115","184","Херсонська область","школа, фойє
вул.Леніна, 86, с.Давидів Брід, Великоолександрівський р-н, Херсонська обл., 74120","936","468","932","37","436","32","468","","0","436","32","468","20","448","53","2","7","63","16","49","139","58","61","29.10.12"
"650116","184","Херсонська область","школа, фойє
вул.Леніна, 76, с.Мала Олександрівка, Великоолександрівський р-н, Херсонська обл., 74105","1254","604","1250","72","587","63","650","","0","587","63","650","28","622","97","5","9","90","43","62","48","107","161","29.10.12"
"650117","184","Херсонська область","будинок культури, актова зала
вул.Леніна, 28, с.Новодмитрівка, Великоолександрівський р-н, Херсонська обл., 74115","744","254","740","56","436","54","490","","0","436","54","490","13","477","47","3","13","76","29","45","22","169","73","28.10.12"
"650118","184","Херсонська область","школа, актова зала
вул.Миру, 21, с.Старосілля, Великоолександрівський р-н, Херсонська обл., 74116","660","233","647","48","380","47","427","","0","380","47","427","7","420","45","1","6","76","28","27","29","92","116","28.10.12"
"650119","184","Херсонська область","школа, їдальня
вул.Радянська, 106, смт Калінінське, Великоолександрівський р-н, Херсонська обл., 74131","1338","649","1316","80","613","76","689","","0","613","76","689","29","660","46","4","5","286","27","65","40","86","101","29.10.12"
"650120","184","Херсонська область","школа-дитсадок, фойє
вул.Робітнича, 35, с.Новополтавка, Великоолександрівський р-н, Херсонська обл., 74133","276","120","276","16","140","16","156","","0","140","16","156","12","144","37","1","4","34","13","14","4","11","26","28.10.12"
"650121","184","Херсонська область","школа, актова зала
вул.Першотравнева, 59Б, с.Бобровий Кут, Великоолександрівський р-н, Херсонська обл., 74134","444","224","440","21","200","20","220","","0","200","20","220","10","210","25","4","4","56","9","15","10","25","62","28.10.12"
"650122","184","Херсонська область","будинок культури, фойє
пров.Шкільний, 21, с.Борозенське, Великоолександрівський р-н, Херсонська обл., 74152","1380","613","1371","38","731","36","767","","0","731","36","767","25","742","70","2","10","92","52","56","117","119","224","29.10.12"
"650123","184","Херсонська область","школа, фойє
вул.Комсомольська, 35, с.Садок, Великоолександрівський р-н, Херсонська обл., 74154","282","106","277","5","171","5","176","","0","171","5","176","12","164","22","2","3","28","10","20","39","18","22","28.10.12"
"650124","184","Херсонська область","школа, фойє
пров.Театральний, 12, с.Кучерське, Великоолександрівський р-н, Херсонська обл., 74155","396","148","389","10","238","10","248","","0","238","10","248","8","240","33","1","3","22","13","5","40","75","48","29.10.12"
"650125","184","Херсонська область","дитячий навчальний заклад, актова зала
пров.Шкільний, 1, с.П’ятихатки, Великоолександрівський р-н, Херсонська обл., 74153","150","48","146","10","92","10","102","","0","92","10","102","1","101","18","2","2","24","4","1","8","16","26","28.10.12"
"650126","184","Херсонська область","будинок культури, фойє
вул.Горького, 1А, с.Брускинське, Великоолександрівський р-н, Херсонська обл., 74121","354","154","350","25","175","25","200","","0","175","25","200","6","194","43","1","7","31","7","12","25","27","41","28.10.12"
"650127","184","Херсонська область","школа, фойє
вул.Шкільна, 1, с.Іщенка, Великоолександрівський р-н, Херсонська обл., 74122","234","96","231","30","108","30","138","","0","108","30","138","5","133","37","1","2","14","8","8","20","10","33","28.10.12"
"650128","184","Херсонська область","школа, актова зала
вул.Шкільна, 1, с.Нова Калуга, Великоолександрівський р-н, Херсонська обл., 74110","348","76","325","29","246","26","272","","0","246","26","272","8","264","181","0","1","17","5","5","8","9","38","28.10.12"
"650129","184","Херсонська область","будинок культури, мала зала
вул.Гвардійська, 9, с.Нова Кам’янка, Великоолександрівський р-н, Херсонська обл., 74151","606","225","597","18","364","17","381","","0","364","17","381","18","363","40","8","1","81","34","6","38","22","133","28.10.12"
"650130","184","Херсонська область","школа, спортивний зал
вул.Шкільна, 1, с.Нова Кубань, Великоолександрівський р-н, Херсонська обл., 74140","330","126","333","29","178","26","204","","0","178","26","204","1","203","50","6","3","27","16","31","14","10","46","29.10.12"
"650131","184","Херсонська область","школа, актова зала
вул.Миру, 70, с.Новопавлівка, Великоолександрівський р-н, Херсонська обл., 74111","516","210","514","51","259","47","306","","0","259","47","306","5","301","55","3","8","47","30","25","20","62","51","28.10.12"
"650132","184","Херсонська область","школа, актова зала
вул.Миру, 26А, с.Трифонівка, Великоолександрівський р-н, Херсонська обл., 74150","564","145","564","33","387","32","419","","0","387","32","419","14","405","16","4","7","179","25","45","24","33","72","28.10.12"
"650133","184","Херсонська область","сільська рада, кабінет голови
вул.Перемоги, 20, с.Чарівне, Великоолександрівський р-н, Херсонська обл., 74142","474","196","478","25","255","23","278","","0","255","23","278","10","268","41","4","2","29","9","52","34","42","55","28.10.12"
"650134","184","Херсонська область","будинок культури, фойє
вул.Чкалова, 59, с.Чкалове, Великоолександрівський р-н, Херсонська обл., 74141","684","258","701","46","381","45","426","","0","381","45","426","13","413","64","2","12","49","10","31","70","64","111","28.10.12"
"650135","184","Херсонська область","приміщення сільського магазину, торговий зал
вул.Шевченка, 34, с.Мала Сейдеминуха, Великоолександрівський р-н, Херсонська обл., 74101","174","75","167","11","88","11","99","","0","88","11","99","3","96","8","2","1","21","6","2","5","32","19","28.10.12"
"650136","184","Херсонська область","сільський клуб, актова зала
вул.Трудова, 14, с.Андріївка, Великоолександрівський р-н, Херсонська обл., 74101","108","24","113","12","72","12","84","","0","72","12","84","0","84","4","0","0","18","0","7","1","36","18","28.10.12"
"650137","184","Херсонська область","сільський клуб, актова зала
вул.Польова, 11, с.Сухий Ставок, Великоолександрівський р-н, Херсонська обл., 74101","66","21","64","0","45","0","45","","0","45","0","45","3","42","1","0","2","7","1","1","5","8","17","28.10.12"
"650138","184","Херсонська область","адміністративний будинок, актова зала
вул.Леніна, 46, с.Благодатівка, Великоолександрівський р-н, Херсонська обл., 74130","354","141","351","36","179","34","213","","0","179","34","213","2","211","12","0","2","33","5","10","10","104","35","28.10.12"
"650139","184","Херсонська область","будинок культури, актова зала
вул.Радянська, 14, с.Білоусове, Великоолександрівський р-н, Херсонська обл., 74114","168","60","166","5","103","5","108","","0","103","5","108","3","105","12","1","4","29","10","6","3","9","31","28.10.12"
"650140","184","Херсонська область","сільський клуб, актова зала
вул.Центральна, 17, с.Токареве, Великоолександрівський р-н, Херсонська обл., 74114","114","31","112","6","77","6","83","","0","77","6","83","7","76","2","1","2","30","1","8","5","11","16","28.10.12"
"650163","184","Херсонська область","районний будинок культури, фойє
вул.Червоноармійська, 55, смт Високопілля, Високопільський р-н, Херсонської обл., 74000","1662","839","1646","30","795","28","823","","0","795","28","823","39","784","115","8","16","189","74","95","115","67","105","29.10.12"
"650164","184","Херсонська область","школа, фойє
вул.Гагаріна, 21, смт Високопілля, Високопільський р-н, Херсонської обл., 74000","1068","422","1054","12","635","11","646","","0","635","11","646","17","629","47","5","5","159","65","86","89","67","106","29.10.12"
"650165","184","Херсонська область","будинок культури, фойє
вул.Радянська, 21, смт Високопілля, Високопільський р-н, Херсонської обл., 74000","1038","559","1025","26","460","19","479","","0","460","19","479","34","445","69","6","10","71","34","65","72","45","73","29.10.12"
"650166","184","Херсонська область","сільський будинок культури, фойє
вул.Жовтнева, 36, с.Потьомкіне, Високопільський р-н, Херсонської обл., 74000","318","103","312","16","199","16","215","","0","199","16","215","10","205","71","2","3","45","8","23","23","15","15","28.10.12"
"650167","184","Херсонська область","школа, спортивний зал
пров.Шкільний, 2, с.Мала Шестірня, Високопільського р-н, Херсонської обл., 74030","348","140","345","31","178","30","208","","0","178","30","208","2","206","23","1","2","53","9","10","78","18","12","28.10.12"
"650168","184","Херсонська область","сільський будинок культури, глядатський зал
вул.Молодіжна, 22А, с.Новогригорівське, Високопільського р-н, Херсонської обл., 74030","168","63","168","6","100","5","105","","0","100","5","105","7","98","26","0","1","26","2","11","7","10","15","28.10.12"
"650169","184","Херсонська область","школа, спортивний зал
вул.Леніна, 33А, с.Нововознесенське, Високопільського р-н, Херсонської обл., 74042","624","222","619","36","366","36","402","","0","366","36","402","13","389","99","11","14","63","16","37","61","30","58","28.10.12"
"650170","184","Херсонська область","сільська рада, фойє сільської ради
вул.Леніна,34,с.Новомиколаївка,Високопільського р-н,Херсонської обл.,74043","594","232","585","36","330","32","362","","0","330","32","362","11","351","98","3","9","91","12","50","19","14","55","28.10.12"
"650171","184","Херсонська область","сільський будинок культури, танцювальний зал
вул.Калініна, 46А, с.Новопетрівка, Високопільського р-н, Херсонської обл., 74040","522","182","515","27","316","24","340","","0","316","24","340","20","320","70","4","5","48","10","27","48","61","47","28.10.12"
"650172","184","Херсонська область","фельдшерсько акушерський пункт, к.2
вул.Будьонного, 66, с.Ольгине, Високопільського р-н, Херсонської обл., 74041","252","87","258","12","154","11","165","","0","154","11","165","4","161","20","4","3","71","8","6","7","21","21","28.10.12"
"650173","184","Херсонська область","школа, фойє
вул.Леніна, 44, смт Архангельське, Високопільського р-н, Херсонської обл., 74022","1638","713","1625","36","891","34","925","","0","891","34","925","24","901","145","10","7","110","28","68","237","142","154","29.10.12"
"650174","184","Херсонська область","школа, фойє
вул.Перемоги, 34А, с.Іванівка, Високопільського р-н, Херсонської обл., 74020","606","273","602","36","301","32","333","","0","301","32","333","12","321","68","1","4","50","12","28","27","77","54","28.10.12"
"650175","184","Херсонська область","школа-сад, фойє
вул.Шаганка, 2, с.Миколаївка, Високопільського р-н, Херсонської обл., 74020","276","95","271","38","145","36","181","","0","145","36","181","5","176","69","2","4","8","6","15","8","43","21","29.10.12"
"650176","184","Херсонська область","сільський будинок культури, танцювальний зал
вул.Леніна, 51, с.Зарічне, Високопільського р-н, Херсонської обл., 74021","516","239","511","37","241","36","277","","0","241","36","277","8","269","52","4","2","46","16","21","30","75","23","28.10.12"
"650177","184","Херсонська область","інтернат, спортивний зал
вул.Інгулецька, 31А, с.Наталине, Високопільського р-н, Херсонської обл., 74013","222","64","224","17","143","15","158","","0","143","15","158","6","152","46","2","4","35","2","15","5","22","21","28.10.12"
"650178","184","Херсонська область","школа, спортивний зал
вул.Карла Маркса, 64, с.Орлове, Високопільського р-н, Херсонської обл., 74013","558","223","550","55","282","53","335","","0","282","53","335","10","325","79","4","3","53","17","60","66","14","29","28.10.12"
"650179","184","Херсонська область","школа, фойє
вул.Леніна, 113, с.Кочубеївка, Високопільського р-н, Херсонської обл., 74012","678","302","666","38","338","38","376","","0","338","38","376","10","366","105","6","7","89","15","20","29","22","73","28.10.12"
"650180","184","Херсонська область","сільська рада, зал для проведення урочистих подій
вул.Кірова, 70, с.Пригір’я, Високопільського р-н, Херсонської обл., 74010","444","168","442","32","244","32","276","","0","244","32","276","15","261","42","3","3","29","20","25","84","12","43","28.10.12"
"650181","184","Херсонська область","сільський будинок культури, зал засідань
вул.Бахоніна, 30, с.Свободне, Високопільського р-н, Херсонської обл., 74010","162","38","161","15","111","13","124","","0","111","13","124","13","111","34","2","2","21","5","26","4","3","14","28.10.12"
"650182","184","Херсонська область","школа, фойє
вул.Шкільна, 1, с.Заградівка, Високопільського р-н, Херсонської обл., 74011","480","182","471","32","268","30","298","","0","268","30","298","7","291","21","3","7","109","8","39","62","23","19","28.10.12"
"650288","184","Херсонська область","школа №1, спортзал
вул.Леніна, 141, смт Горностаївка, Горностаївський р-н, Херсонська обл., 74600","2256","1013","2236","64","1193","50","1243","","0","1193","50","1243","45","1198","145","6","24","346","80","131","142","124","200","29.10.12"
"650289","184","Херсонська область","районний будинок культури, спортзал
вул.Торгова, 1, смт Горностаївка, Горностаївський р-н, Херсонська обл., 74600","2274","1018","2251","58","1205","51","1256","","0","1205","51","1256","46","1209","165","21","32","270","75","137","143","168","198","29.10.12"
"650290","184","Херсонська область","сільський клуб, глядацька зала
вул.Молодіжна, 3, с.Зелений Под, Горностаївський р-н, Херсонська обл., 74621","138","40","139","2","96","2","98","","0","96","2","98","8","90","41","1","1","27","1","5","2","9","3","28.10.12"
"650291","184","Херсонська область","школа, спортзал
вул.Леніна, 133А, с.Каїри, Горностаївський р-н, Херсонська обл., 74612","1446","618","1425","88","756","72","828","","0","756","72","828","37","791","99","11","24","140","62","65","93","129","168","29.10.12"
"650292","184","Херсонська область","початкова школа №1, спортзал
вул.Калініна, 88А, с.Каїри, Горностаївський р-н, Херсонська обл., 74612","882","394","866","58","441","47","488","","0","441","47","488","48","440","61","10","12","102","39","34","54","58","70","29.10.12"
"650293","184","Херсонська область","сільський клуб, глядацька зала
вул.Світанок, 22, с.Антонівка, Горностаївський р-н, Херсонська обл., 74641","492","206","490","24","266","20","286","","0","266","20","286","10","276","52","2","6","103","14","17","21","45","16","29.10.12"
"650294","184","Херсонська область","будинок культури, малий зал
вул.Леніна, 15, с.Велика Благовіщенка, Горностаївський р-н, Херсонська обл., 74631","696","252","690","40","412","32","444","","0","412","32","444","14","430","60","7","15","130","18","52","17","76","55","29.10.12"
"650295","184","Херсонська область","сільський клуб, глядацька зала
вул.Димитрова, 24, с.Новоєлизаветівка, Горностаївський р-н, Херсонська обл., 74631","108","37","105","8","64","7","71","","0","64","7","71","3","68","12","1","3","18","3","9","1","8","13","28.10.12"
"650296","184","Херсонська область","сільська рада, актовий зал
вул.Комсомольська, 22, с.Дубівка, Горностаївський р-н, Херсонська обл., 74642","744","279","733","14","452","13","465","","0","452","13","465","25","440","125","11","9","106","27","11","16","110","25","28.10.12"
"650297","184","Херсонська область","будинок культури, глядацька зала
вул.Ювілейна, 8, с.Заводівка, Горностаївський р-н, Херсонська обл., 74610","738","282","727","70","393","63","456","","0","393","63","456","22","434","76","1","11","151","21","44","19","52","59","29.10.12"
"650298","184","Херсонська область","сільський будинок культури, глядацька зала
вул.Леніна, 15, с.Козачі Лагері, Горностаївський р-н, Херсонська обл., 74622","426","121","428","25","285","20","305","","0","285","20","305","18","287","67","7","6","65","17","17","11","64","33","29.10.12"
"650299","184","Херсонська область","сільський будинок культури, малий зал
вул.Шевченка, 57, с.Костянтинівка, Горностаївський р-н, Херсонська обл., 74640","1374","629","1359","47","701","44","745","","0","701","44","745","27","718","146","10","10","134","27","96","44","181","70","28.10.12"
"650300","184","Херсонська область","сільський клуб, глядацька зала
вул.Ювілейна, 22, с.Маринське, Горностаївський р-н, Херсонська обл., 74611","420","145","416","8","270","5","275","","0","270","5","275","13","262","29","2","6","71","27","11","21","43","52","28.10.12"
"650301","184","Херсонська область","будинок культури, фойє
пров.Шкільний, 4, с.Ольгине, Горностаївський р-н, Херсонська обл., 74621","798","271","795","21","507","20","527","","0","507","20","527","22","505","103","3","7","118","25","23","53","96","77","29.10.12"
"650302","184","Херсонська область","сільська рада, актовий зал
вул.Леніна, 40, с.Славне, Горностаївський р-н, Херсонська обл., 74630","294","87","294","10","199","8","207","","0","199","8","207","5","202","26","4","6","68","3","17","4","37","37","28.10.12"
"650303","184","Херсонська область","сільський клуб, глядацька зала
вул.Надії Мельник, 18, с.Нова Благовіщенка, Горностаївський р-н, Херсонська обл., 74630","84","25","84","7","54","5","59","","0","54","5","59","1","58","22","0","1","19","2","5","2","2","5","29.10.12"
"650304","184","Херсонська область","будинок культури, фойє
вул.Першотравнева, 38, с.Червоноблагодатне, Горностаївський р-н, Херсонська обл., 74620","690","291","685","10","389","10","399","","0","389","10","399","12","387","86","4","8","51","20","51","27","118","22","29.10.12"
"650305","184","Херсонська область","будинок торгівлі, каб.2, 1-й поверх
вул.Леніна, 18, с.Червона Поляна, Горностаївський р-н, Херсонська обл., 74641","636","253","627","30","357","26","383","","0","357","26","383","22","361","24","3","9","151","12","31","28","60","43","29.10.12"
"650394","184","Херсонська область","Нововоронцовська школа №1, фойє
вул.Суворова, 6, смт Нововоронцовка, Нововоронцовський р-н, Херсонська обл., 74200","2286","1071","2269","65","1153","62","1215","","0","1153","62","1215","35","1180","123","10","21","205","70","203","94","309","145","29.10.12"
"650395","184","Херсонська область","Нововоронцовська школа №2, фойє
вул.Бериславська, 25, смт Нововоронцовка, Нововоронцовський р-н, Херсонська обл., 74200","2010","906","1983","48","1060","44","1104","","0","1060","44","1104","52","1052","150","9","16","147","80","100","56","341","153","28.10.12"
"650396","184","Херсонська область","районний центр дитячої творчості, фойє
вул.Радянська, 36, смт Нововоронцовка, Нововоронцовський р-н, Херсонська обл., 74200","762","362","753","40","374","26","400","","0","374","26","400","18","382","48","3","7","41","21","58","38","119","47","28.10.12"
"650397","184","Херсонська область","сільський клуб, зал
вул.Суворова, 62, с.Трудолюбівка, Нововоронцовський р-н, Херсонська обл., 74211","192","84","188","4","104","4","108","","0","104","4","108","0","108","11","0","2","40","6","13","23","4","9","28.10.12"
"650398","184","Херсонська область","сільська рада, фойє
вул.Шевченка, 49, с.Миролюбівка, Нововоронцовський р-н, Херсонська обл., 74211","480","204","472","10","269","7","276","","0","269","7","276","7","269","50","2","3","26","13","22","43","82","28","28.10.12"
"650399","184","Херсонська область","сільська рада, фойє
вул.Центральна, 33, с.Любимівка, Нововоронцовський р-н, Херсонська обл., 74212","1134","546","1130","66","527","61","588","","0","527","61","588","25","563","128","8","9","149","28","36","45","103","57","28.10.12"
"650400","184","Херсонська область","Петропавлівська школа, фойє
вул.Степова, 28, с.Петропавлівка, Нововоронцовський р-н, Херсонська обл., 74223","486","221","479","25","241","24","265","","0","241","24","265","11","254","43","6","14","54","14","39","20","44","20","29.10.12"
"650401","184","Херсонська область","сільський клуб, зал
вул.Леніна, 4, с.Червоне, Нововоронцовський р-н, Херсонська обл., 74223","102","41","102","2","59","2","61","","0","59","2","61","4","57","37","0","1","5","1","1","2","2","8","28.10.12"
"650402","184","Херсонська область","сільський будинок культури, фойє
вул.Торгова, 64А, с.Нововоскресенське, Нововоронцовський р-н, Херсонська обл., 74220","996","415","994","81","513","68","581","","0","513","68","581","39","542","56","6","6","80","26","17","105","147","99","29.10.12"
"650403","184","Херсонська область","Біляївська школа, фойє
вул.Леніна, 141, с.Біляївка, Нововоронцовський р-н, Херсонська обл., 74221","462","186","457","34","244","32","276","","0","244","32","276","5","271","31","1","2","36","11","20","34","93","43","28.10.12"
"650404","184","Херсонська область","сільський клуб-бібліотека, зал
вул.Гагаріна, 8, с.Українка, Нововоронцовський р-н, Херсонська обл., 74221","192","91","189","17","88","13","101","","0","88","13","101","3","98","14","2","7","13","6","23","14","5","14","28.10.12"
"650405","184","Херсонська область","Хрещенівська школа, фойє
вул.Чкалова, 15, с.Хрещенівка, Нововоронцовський р-н, Херсонська обл., 74213","804","350","796","68","391","63","454","","0","391","63","454","13","441","92","4","3","119","24","22","14","121","42","28.10.12"
"650406","184","Херсонська область","сільська рада, фойє
вул.Леніна, 1, с.Дудчани, Нововоронцовський р-н, Херсонська обл., 74233","1104","460","1098","53","595","49","644","","0","595","49","644","25","619","99","11","11","39","32","33","57","104","233","29.10.12"
"650407","184","Херсонська область","Дудчанська школа-дитячий садок, фойє
вул.Горького, 11, с.Дудчани, Нововоронцовський р-н, Херсонська обл., 74233","378","153","360","19","207","18","225","","0","207","18","225","20","205","17","4","7","62","29","11","14","13","48","28.10.12"
"650408","184","Херсонська область","сільський будинок культури, зал
вул.Леніна, 94, с.Гаврилівка, Нововоронцовський р-н, Херсонська обл., 74232","972","414","955","63","500","58","558","","0","500","58","558","17","541","97","0","13","182","33","33","57","67","59","28.10.12"
"650409","184","Херсонська область","сільський будинок культури, малий зал
вул.1 Травня, сільський будинок культури, с.Новоолександрівка, Нововоронцовський р-н, Херсонська обл., 74231","954","376","942","68","512","66","578","","0","512","66","578","25","553","110","10","12","159","34","71","54","31","72","29.10.12"
"650410","184","Херсонська область","Михайлівська школа, фойє
вул.Леонтіївська, 38, с.Михайлівка, Нововоронцовський р-н, Херсонська обл., 74230","858","276","857","51","537","45","582","","0","537","45","582","18","564","108","4","11","71","38","28","53","181","70","29.10.12"
"650411","184","Херсонська область","Золотобалківська школа, фойє
вул.Шкільна, 13, с.Золота Балка, Нововоронцовський р-н, Херсонська обл., 74214","1110","443","1099","64","609","58","667","","0","609","58","667","39","628","90","11","17","113","45","65","143","76","68","29.10.12"
"650412","184","Херсонська область","сільський будинок культури, фойє
вул.Садова, 22, с.Осокорівка, Нововоронцовський р-н, Херсонська обл., 74210","1524","694","1500","72","765","65","830","","0","765","65","830","49","781","136","6","14","155","62","51","72","166","119","29.10.12"
"650413","184","Херсонська область","сільський клуб, зал
вул.Приклубна, 36, с.Осокорівка, Нововоронцовський р-н, Херсонська обл., 74210","300","119","303","28","153","28","181","","0","153","28","181","14","167","8","7","6","45","5","22","32","25","17","28.10.12"
"650584","184","Херсонська область","вагонне депо, актова зала
вул.Промислова, 18, м.Таврійськ, Херсонська обл., 74988","1428","726","1419","13","692","10","702","","0","692","10","702","32","670","189","4","7","114","52","111","52","53","88","29.10.12"
"650585","184","Херсонська область","будинок культури, фойє
вул.Каховська, 46, м.Таврійськ, Херсонська обл., 74988","1494","775","1487","17","705","14","719","","0","705","14","719","39","680","166","11","6","101","52","114","65","74","91","29.10.12"
"650586","184","Херсонська область","гідрогеологомеліоративна експедиція, актова зала
вул.Франка Івана, 20, м.Таврійськ, Херсонська обл., 74988","2430","1359","2399","7","1065","6","1071","","0","1065","6","1071","61","1010","318","3","4","128","84","159","85","86","143","29.10.12"
"650587","184","Херсонська область","школа №7, актова зала
вул.Гайдара, 1, м.Таврійськ, Херсонська обл., 74988","1128","531","1130","28","573","24","597","","0","573","24","597","39","558","160","4","6","74","30","122","60","32","70","28.10.12"
"650588","184","Херсонська область","управління Північно-Кримського каналу, актова зала
вул.Героїв Сталінграду, 11, м.Таврійськ, Херсонська обл., 74988","2478","1304","2446","34","1148","26","1174","","0","1148","26","1174","58","1116","394","5","8","159","75","209","66","96","104","29.10.12"
"650589","184","Херсонська область","адміністративна будівля дослідного господарства ""Новокаховське"", лабораторія №2
вул.Садова, 1, с-ще Плодове, м.Таврійськ, Херсонська обл., 74992","864","475","850","33","357","32","389","","0","357","32","389","18","371","115","4","3","50","35","39","46","42","37","29.10.12"
