"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гончарський
Іван
Львович","Журавко
Олексій
Валерійович","Негой
Федір
Федорович","Реуцький
Іван
Васильович","Самойлик
Катерина
Семенівна","Сергеєв
Сергій
Олександрович","Твердовський
Олександр
Миколайович","Фролов
Олексій
Володимирович","Халупенко
Денис
Миколайович","Дата підписання протоколу"
"650333","186","Херсонська область","школа, фойє, 1-й поверх
вул.Леніна, 1, с.Олексіївка, Каланчацький р-н, Херсонська обл., 75841","360","124","358","17","220","16","236","","0","220","16","236","17","219","15","66","55","0","59","1","10","5","8","28.10.12"
"650334","186","Херсонська область","сільська рада, актова зала
пров.Шкільний, 6, с.Привілля, Каланчацький р-н, Херсонська обл., 75811","480","166","474","23","295","19","314","","0","295","19","314","12","302","17","46","99","2","123","1","3","4","7","29.10.12"
"650335","186","Херсонська область","школа, фойє, 1-й поверх
вул.Шкільна, 1, с.Максима Горького, Каланчацький р-н, Херсонська обл., 75813","448","210","440","10","228","10","238","","0","228","10","238","12","226","26","53","92","1","38","1","2","6","7","29.10.12"
"650336","186","Херсонська область","сільська рада, зала для засідань
пров.Поштовий, 5, с-ще Роздольне, Каланчацький р-н, Херсонська обл., 75810","928","444","912","31","459","25","484","","0","459","25","484","19","465","33","157","88","2","137","5","7","8","28","30.10.12"
"650337","186","Херсонська область","сільська рада, актова зала
вул.Шкільна, 31, с.Хорли, Каланчацький р-н, Херсонська обл., 75813","496","186","483","32","281","29","310","","0","281","29","310","7","303","20","59","26","0","160","2","12","8","16","28.10.12"
"650338","186","Херсонська область","сільська рада, актова зала
вул.Леніна, 7, с.Червоний Чабан, Каланчацький р-н, Херсонська обл., 75830","1088","435","1082","60","603","50","653","","0","603","50","653","24","629","61","199","103","2","186","4","22","16","36","30.10.12"
"650339","186","Херсонська область","школа, спортивна зала
вул.Шкільна, 20, с.Макарівка, Каланчацький р-н, Херсонська обл., 75831","368","163","361","16","195","10","205","","0","195","10","205","10","195","21","61","35","0","58","0","3","12","5","29.10.12"
"650340","186","Херсонська область","школа, спортивна зала
пров.Шкільний, 1/3, с.Каїрка, Каланчацький р-н, Херсонська обл., 75805","232","87","226","13","134","11","145","","0","134","11","145","4","141","13","68","13","0","28","2","11","4","2","29.10.12"
"650456","186","Херсонська область","державне підприємство ""Скадовське досвідне лісомисливське господарство"", фойє
вул.Карла Маркса, 171, м.Скадовськ, Скадовський р-н, Херсонська обл., 75700","1824","1028","1809","14","783","13","796","","0","783","13","796","23","773","136","187","82","12","142","5","71","77","61","29.10.12"
"650457","186","Херсонська область","школа №3, рекреація, 1-й поверх
вул.Шмідта, 30, м.Скадовськ, Скадовський р-н, Херсонська обл., 75700","1528","886","1496","13","630","12","642","","0","630","12","642","22","620","137","136","77","7","139","9","31","39","45","28.10.12"
"650458","186","Херсонська область","Скадовська гімназія, фойє
вул.Гагаріна, 152, м.Скадовськ, Скадовський р-н, Херсонська обл., 75700","2088","1031","2046","14","1045","12","1057","","0","1045","12","1057","42","1015","189","243","140","8","241","16","65","58","55","30.10.12"
"650459","186","Херсонська область","адмін.будівля Скадовського управління водного господарства, актова зала, 2-й поверх
вул.Пролетарська, 64, м.Скадовськ, Скадовський р-н, Херсонська обл., 75700","2000","1116","1982","32","859","25","884","","0","859","25","884","29","855","199","191","84","2","214","8","49","59","49","29.10.12"
"650460","186","Херсонська область","кінотеатр ""Скадовськ"", фойє
вул.Радянська, 6, м.Скадовськ, Скадовський р-н, Херсонська обл., 75700","2416","1323","2396","25","1075","18","1093","","0","1075","18","1093","34","1059","190","239","123","6","276","7","63","81","74","29.10.12"
"650461","186","Херсонська область","районний будинок культури, фойє
вул.Комунарів, 66, м.Скадовськ, Скадовський р-н, Херсонська обл., 75700","2272","1133","2247","28","1117","22","1139","","0","1117","22","1139","36","1103","220","232","161","10","270","6","76","66","62","31.10.12"
"650462","186","Херсонська область","навчально-виробничий комбінат, фойє
вул.Комунарів, 34, м.Скадовськ, Скадовський р-н, Херсонська обл., 75700","1920","986","1865","45","896","38","934","","0","896","38","934","28","906","153","190","124","5","264","17","50","58","45","29.10.12"
"650463","186","Херсонська область","школа №2, фойє
вул.Колгоспна, 7, м.Скадовськ, Скадовський р-н, Херсонська обл., 75700","2016","922","2013","41","1063","31","1094","","0","1063","31","1094","28","1066","220","248","127","7","263","10","47","85","59","29.10.12"
"650464","186","Херсонська область","будинок культури, фойє
вул.Студентська, 13, с-ще Антонівка, Скадовський р-н, Херсонська обл., 75705","1536","681","1523","14","841","14","855","","0","841","14","855","22","833","264","212","126","5","116","3","31","36","40","29.10.12"
"650465","186","Херсонська область","школа, фойє
вул.Леніна, 11, с.Володимирівка, Скадовський р-н, Херсонська обл., 75721","1408","708","1402","17","687","13","700","","0","687","13","700","25","675","59","129","282","3","94","9","34","23","42","29.10.12"
"650466","186","Херсонська область","будинок культури, фойє
вул.Карла Маркса, 10, с.Красне, Скадовський р-н, Херсонська обл., 75720","2168","1227","2155","49","900","41","941","","1","899","41","940","29","911","257","191","241","3","152","6","20","21","20","29.10.12"
"650467","186","Херсонська область","будинок культури, фойє
вул.Жовтнева, 53, смт Лазурне, Скадовський р-н, Херсонська обл., 75722","2401","1175","2383","29","1199","26","1225","","0","1199","26","1225","17","1208","241","324","218","10","245","19","89","31","31","30.10.12"
"650468","186","Херсонська область","будинок культури, малий зал
вул.Леніна, 63, с.Михайлівка, Скадовський р-н, Херсонська обл., 75710","1528","730","1514","24","777","21","798","","0","777","21","798","40","758","166","204","124","170","3","6","26","17","42","30.10.12"
"650469","186","Херсонська область","школа, майстерня
вул. Шкільна, 13, с.Ленінське, Скадовський р-н, Херсонська обл., 75711","488","237","480","3","248","3","251","","0","248","3","251","8","243","33","85","63","4","46","4","2","5","1","30.10.12"
"650470","186","Херсонська область","Палац культури, фойє
просп.Кірова, 24, с.Новомиколаївка, Скадовський р-н, Херсонська обл., 75712","1320","622","1306","13","687","11","698","","0","687","11","698","18","680","73","105","316","5","95","4","22","17","43","28.10.12"
"650471","186","Херсонська область","школа, фойє
просп.Кірова, 20, с.Новомиколаївка, Скадовський р-н, Херсонська обл., 75712","1320","696","1308","5","620","4","624","","0","620","4","624","22","602","59","91","325","5","49","3","21","25","24","28.10.12"
"650472","186","Херсонська область","будинок культури, фойє
вул.Леніна, 62А, с.Приморське, Скадовський р-н, Херсонська обл., 75750","1184","569","1183","28","593","22","615","","0","593","22","615","39","576","68","168","114","3","135","3","26","23","36","28.10.12"
"650473","186","Херсонська область","будинок культури, фойє
вул.Кожущенка, 67, с.Птахівка, Скадовський р-н, Херсонська обл., 75740","960","514","947","25","426","20","446","","0","426","20","446","6","440","45","72","237","3","59","1","6","2","15","29.10.12"
"650474","186","Херсонська область","сільський клуб, фойє
вул.Чапаєва, 28, с.Миколаївка, Скадовський р-н, Херсонська обл., 75740","240","84","236","0","156","0","156","","0","156","0","156","7","149","15","34","33","1","46","0","4","7","9","28.10.12"
"650475","186","Херсонська область","школа, фойє
вул.Перемоги, 5, с-ще Радгоспне, Скадовський р-н, Херсонська обл., 75743","1128","482","1117","19","627","19","646","","0","627","19","646","22","624","60","218","164","2","134","1","13","12","20","29.10.12"
"650476","186","Херсонська область","школа, фойє
вул.Радянська, 2, с-ще Комсомольське, Скадовський р-н, Херсонська обл., 75742","416","210","405","1","205","1","206","","0","205","1","206","9","197","14","49","84","2","34","0","2","7","5","28.10.12"
"650477","186","Херсонська область","сільська рада, актова зала
вул.Шкільна, 2, с-ще Таврія, Скадовський р-н, Херсонська обл., 75741","872","425","870","0","447","0","447","","0","447","0","447","14","433","43","105","190","1","78","3","4","4","5","28.10.12"
"650478","186","Херсонська область","сільський клуб, актова зала
вул.Вишнева, 40, с-ще Вишневе, Скадовський р-н, Херсонська обл., 75741","224","95","214","15","117","12","129","","0","117","12","129","5","124","9","43","47","1","17","2","4","0","1","29.10.12"
"650479","186","Херсонська область","школа, спортзал
пров.Шкільний, 1, с.Тарасівка, Скадовський р-н, Херсонська обл., 75751","760","317","750","6","442","1","443","","0","442","1","443","10","433","33","88","174","3","78","2","15","18","22","29.10.12"
"650480","186","Херсонська область","сільський клуб, актова зала
вул.Поштова, 23, с.Новоукраїнка, Скадовський р-н, Херсонська обл., 75752","344","114","337","2","229","1","230","","0","229","1","230","18","212","11","50","102","2","41","1","3","0","2","30.10.12"
"650481","186","Херсонська область","школа, кабінет початкових класів
вул.Миру, 38, с.Дарівка, Скадовський р-н, Херсонська обл., 75752","160","58","160","1","101","1","102","","0","101","1","102","4","98","12","29","33","0","13","0","4","6","1","29.10.12"
"650482","186","Херсонська область","будинок культури, глядацька зала
вул.40 років Перемоги, 27, с.Улянівка, Скадовський р-н, Херсонська обл., 75731","832","348","822","18","468","16","484","","0","468","16","484","13","471","105","102","140","1","58","1","16","6","42","28.10.12"
"650483","186","Херсонська область","сільський клуб, глядацька зала
вул.Шевченка, 20, с.Андріївка, Скадовський р-н, Херсонська обл., 75731","208","75","206","10","123","10","133","","0","123","10","133","3","130","11","34","63","0","19","0","1","1","1","28.10.12"
"650484","186","Херсонська область","сільська рада, актова зала
вул.Гірського, 20, с.Шевченко, Скадовський р-н, Херсонська обл., 75732","992","521","980","1","470","1","471","","0","470","1","471","4","467","54","67","264","3","54","2","7","5","11","29.10.12"
"650485","186","Херсонська область","сільська рада, зала засідань
вул.Ладичука, 29, с.Широке, Скадовський р-н, Херсонська обл., 75730","1408","707","1403","15","688","13","701","","0","688","13","701","19","682","68","87","360","3","108","2","15","15","24","29.10.12"
"650486","186","Херсонська область","будинок культури, актовий зал, 2-й поверх
вул.Енгельса, 28, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75100","2016","943","2049","55","1034","39","1073","","0","1034","39","1073","23","1050","169","298","283","25","133","5","75","22","40","29.10.12"
"650487","186","Херсонська область","школа №2, актовий зал, 2-й поверх
вул.Комунарів, 45, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75100","1192","551","1176","22","627","14","641","","0","627","14","641","16","625","86","196","161","8","75","3","51","14","31","28.10.12"
"650488","186","Херсонська область","центр дитячої творчості, актова зала
вул.Гвардійська, 31, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75100","1936","1069","1918","9","858","9","867","","0","858","9","867","32","835","125","217","231","10","115","4","48","11","74","29.10.12"
"650489","186","Херсонська область","магазин ""Кооператор"", підсобне приміщення
вул.Шевченка, 133Б, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75100","1720","870","1712","14","838","12","850","","0","838","12","850","24","826","110","220","280","11","85","5","64","8","43","29.10.12"
"650490","186","Херсонська область","район електромереж та енергозбуту, актовий зал, 2-й поверх
вул.Літвінова, 83, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75100","1424","674","1435","11","745","5","750","","0","745","5","750","32","718","118","165","228","26","84","3","40","20","34","29.10.12"
"650491","186","Херсонська область","опорний пункт, к.3
вул.Декабристів, 98, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75100","952","441","950","2","509","2","511","","0","509","2","511","13","498","85","109","145","7","62","3","39","3","45","29.10.12"
"650492","186","Херсонська область","ДП ""Цюрупинське лісомисливське господарство"", актова зала, 1-й поверх
вул.Комунарів, 80, м.Цюрупинськ, Цюрупинський р-н, Херсонської обл., 75100","1960","962","1940","18","984","14","998","","0","984","14","998","24","974","147","254","280","21","114","11","81","27","39","29.10.12"
"650493","186","Херсонська область","стадіон ""СТАРТ"", спортивний зал
вул.Комунарів, 78, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75100","1424","714","1416","14","700","10","710","","0","700","10","710","15","695","85","166","211","8","124","4","46","14","37","29.10.12"
"650494","186","Херсонська область","школа №4, спортивний зал, 1-й поверх
Житлоселище, 1А, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75101","2112","1084","2078","31","1009","19","1028","","0","1009","19","1028","28","1000","148","339","185","12","167","9","48","19","73","29.10.12"
"650495","186","Херсонська область","школа мистецтв, приміщення актового залу
Житлоселище, 19, м.Цюрупинськ, Цюрупинський р-н, Херсонської обл., 75101","1448","724","1444","30","703","21","724","","0","703","21","724","25","699","87","277","127","14","95","4","28","15","52","29.10.12"
"650496","186","Херсонська область","міське комунальне підприємство ""Цюрупинськ-комунгосп"", актовий зал
Житлоселище, 10А, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75101","1208","583","1207","2","623","2","625","","0","623","2","625","14","611","90","164","179","15","93","3","41","4","22","29.10.12"
"650497","186","Херсонська область","ліцей, хол, 1-й поверх
вул.Промислова, 1, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75101","664","403","670","0","261","0","261","","3","261","0","261","10","251","32","59","74","9","31","0","23","6","17","08.11.12"
"650498","186","Херсонська область","школа №4, хол, 1-й поверх
Житлоселище, 1А, м.Цюрупинськ, Цюрупинський р-н, Херсонська обл., 75101","1208","632","1170","7","572","4","576","","0","572","4","576","15","561","92","178","110","12","76","6","27","5","55","28.10.12"
"650499","186","Херсонська область","будинок культури, актовий зал
вул.Бойка, 43А, с.Саги, Цюрупинський р-н, Херсонська обл., 75101","344","153","343","0","191","0","191","","0","191","0","191","9","182","14","42","19","21","61","0","14","3","8","28.10.12"
"650500","186","Херсонська область","будинок культури, зал
вул.Самойлова, 13, с.Подо-Калинівка, Цюрупинський р-н, Херсонська обл., 75124","752","316","744","9","427","9","436","","0","427","9","436","5","431","27","98","234","2","46","1","8","2","13","29.10.12"
"650501","186","Херсонська область","сільський клуб, зал
вул.Калініна, 58, с.Подо-Калинівка, Цюрупинський р-н, Херсонська обл., 75124","432","196","428","2","234","2","236","","0","234","2","236","3","233","9","50","150","1","16","0","1","0","6","29.10.12"
"650502","186","Херсонська область","сільській клуб, зал
вул.Леніна, 16, с.Стара Маячка, Цюрупинський р-н, Херсонська обл., 75125","424","162","426","11","252","10","262","","0","252","10","262","5","257","14","47","169","1","13","0","7","3","3","29.10.12"
"650503","186","Херсонська область","будинок культури, великий зал
вул.Першотравнева, 21/4, с.Підстепне, Цюрупинський р-н, Херсонська обл., 75112","464","186","458","20","258","20","278","","0","258","20","278","4","274","31","124","64","1","29","2","14","2","7","29.10.12"
"650504","186","Херсонська область","сільський клуб, актова зала
вул.Перемоги, 3/3, с.Піщанівка, Цюрупинський р-н, Херсонська обл., 75112","424","156","425","7","262","6","268","","0","262","6","268","11","257","49","75","86","2","30","2","8","1","4","04.11.12"
"650505","186","Херсонська область","школа, вестибюль, 1-й поверх
вул.Гагаріна, 1Б, с.Раденськ, Цюрупинський р-н, Херсонська обл., 75113","1608","757","1593","35","817","34","851","","0","817","34","851","19","832","76","103","389","6","166","2","29","12","49","28.10.12"
"650506","186","Херсонська область","будинок культури, танцювальний зал
вул.Гагаріна, 2А, с.Раденськ, Цюрупинський р-н, Херсонська обл., 75113","1408","724","1390","32","658","26","684","","0","658","26","684","17","667","78","73","332","3","118","2","22","7","32","30.10.12"
"650507","186","Херсонська область","сільський клуб, зал
вул.Леніна, 35, с.Пролетарка, Цюрупинський р-н, Херсонська обл., 75115","472","204","469","5","263","5","268","","0","263","5","268","5","263","12","51","124","3","50","0","7","5","11","28.10.12"
"650508","186","Херсонська область","будинок культури, кіноконцертний зал
вул.Зарічна, 87В, с.Солонці, Цюрупинський р-н, Херсонська обл., 75109","1016","525","1007","16","477","14","491","","0","477","14","491","11","480","70","107","174","6","76","1","30","3","13","29.10.12"
"650509","186","Херсонська область","елеватор, актова зала
вул.Радянська, 64, смт Брилівка, Цюрупинський р-н, Херсонська обл., 75143","1256","607","1249","30","622","27","649","","0","622","27","649","19","630","66","90","278","3","147","3","15","5","23","28.10.12"
"650510","186","Херсонська область","селищна рада, вестибюль
пл.Юбілейна, 10, смт Брилівка, Цюрупинський р-н, Херсонська обл., 75143","2216","1162","2202","30","1026","28","1054","","0","1026","28","1054","22","1032","113","166","428","5","250","3","29","10","28","29.10.12"
"650511","186","Херсонська область","сільський клуб, концертна зала
вул.Леніна, 24, с.Мирне, Цюрупинський р-н, Херсонська обл., 75143","352","150","338","9","193","9","202","","0","193","9","202","14","188","15","31","92","0","43","2","2","1","2","28.10.12"
"650512","186","Херсонська область","будинок культури, малий зал
вул.Леніна, 123, смт Нова Маячка, Цюрупинський р-н, Херсонська обл., 75120","856","494","853","2","360","2","362","","0","360","2","362","12","350","28","49","204","0","47","0","17","0","5","29.10.12"
"650513","186","Херсонська область","ПАТ ім.Латиських стрільців, зал засідань
вул.Леніна, 76, смт Нова Маячка, Цюрупинський р-н, Херсонська обл., 75120","640","315","631","20","308","17","325","","0","308","17","325","12","313","30","36","170","0","47","2","17","6","5","28.10.12"
"650514","186","Херсонська область","Новомаячківська експлуатаційна дільниця, зал засідань
пров.Робітничий, 13, смт Нова Маячка, Цюрупинський р-н, Херсонська обл., 75120","864","540","865","6","320","4","324","","0","320","4","324","13","311","30","46","159","3","51","3","9","7","3","30.10.12"
"650515","186","Херсонська область","школа, к.5, 1-й поверх
вул.Садова, 133, смт Нова Маячка, Цюрупинський р-н, Херсонська обл., 75120","720","417","710","4","300","3","303","","0","300","3","303","6","297","13","31","179","0","55","0","10","2","7","29.10.12"
