"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Богатирьов
Іван
Григорович","Бойправ
Борис
Степанович","Голиця
Михайло
Миколайович","Данько
Григорій
Володимирович","Дзюбан
Юрій
Володимирович","Дмитренко
Світлана
Олександрівна","Ляшко
Олег
Валерійович","Михно
Сергій
Анатолійович","Неволько
Вячеслав
Анатолійович","Паньков
Олександр
Юрійович","Пухкал
Олександр
Григорович","Секела
Руслан
Михайлович","Ходос
Людмила
Вікторівна","Дата підписання протоколу"
"740014","208","Чернігівська область","школа, фойє
вул.Незалежності, 21, смт Дмитрівка, Бахмацький р-н, Чернігівська обл., 16572","756","300","742","58","405","51","456","","0","405","51","456","23","433","5","1","39","10","5","2","282","16","70","0","0","0","3","28.10.12"
"740015","208","Чернігівська область","сільський клуб, фойє
вул.Центральна, 62А, с.Щуча Гребля, Бахмацький р-н, Чернігівська обл., 16572","176","58","175","24","94","24","118","","0","94","24","118","3","115","0","2","29","4","3","0","62","6","7","0","0","0","2","28.10.12"
"740016","208","Чернігівська область","сільська рада, зала засідань
вул.Лесі Українки, 6Б, с.Бахмач, Бахмацький р-н, Чернігівська обл., 16506","900","358","892","55","494","48","542","","0","494","48","542","9","533","1","1","121","62","2","0","291","6","44","0","3","0","2","28.10.12"
"740017","208","Чернігівська область","СТОВ ""Прогрес"", зала засідань
вул.Південна, 18, с.Бахмач, Бахмацький р-н, Чернігівська обл., 16506","444","167","448","30","253","24","277","","0","253","24","277","11","266","1","2","68","27","0","0","121","2","42","0","1","0","2","30.10.12"
"740018","208","Чернігівська область","школа, фойє
вул.Грушевського, 1, с.Бахмач, Бахмацький р-н, Чернігівська обл., 16506","752","247","749","44","465","40","505","","0","465","40","505","18","487","2","3","129","29","0","0","282","4","30","0","4","1","3","29.10.12"
"740019","208","Чернігівська область","сільський клуб, фойє
вул.Центральна, 44, с.Біловежі Перші, Бахмацький р-н, Чернігівська обл., 16551","232","55","229","25","153","24","177","","0","153","24","177","3","174","1","2","65","18","0","1","70","2","12","0","2","0","1","29.10.12"
"740020","208","Чернігівська область","ПСП ""Зеленівське"", зала засідань
вул.Центральна, контора ПСП ""Зеленівське"", с.Зеленівка, Бахмацький р-н, Чернігівська обл., 16551","312","107","296","34","182","23","205","","0","182","23","205","5","200","0","0","86","15","0","1","82","8","6","1","1","0","0","28.10.12"
"740021","208","Чернігівська область","будинок культури, фойє
вул.Хітєєва, 6, с.Гайворон, Бахмацький р-н, Чернігівська обл., 16563","548","192","538","70","299","57","356","","0","299","57","356","15","341","0","0","112","14","5","2","176","2","23","2","3","1","1","29.10.12"
"740022","208","Чернігівська область","сільська рада, зала засідань
вул.Незалежності, 57, с.Голінка, Бахмацький р-н, Чернігівська обл., 16562","564","168","557","43","360","36","396","","0","360","36","396","23","373","2","3","111","23","3","2","168","6","49","0","3","0","3","29.10.12"
"740023","208","Чернігівська область","сільська рада, зала засідань
вул.Шевченка, 1А, с.Городище, Бахмацький р-н, Чернігівська обл., 16520","712","233","696","73","413","66","479","","0","413","66","479","21","458","1","1","93","22","6","1","289","7","33","0","5","0","0","29.10.12"
"740024","208","Чернігівська область","сільський клуб, фойє
вул.Кримського, 1А, с.Часниківка, Бахмацький р-н, Чернігівська обл., 16520","216","59","217","16","141","16","157","","0","141","16","157","7","150","0","1","46","18","0","0","75","5","4","0","0","1","0","28.10.12"
"740025","208","Чернігівська область","будинок культури, фойє
вул.Спортивна, 27, с.Григорівка, Бахмацький р-н, Чернігівська обл., 16561","844","259","829","85","506","79","585","","0","506","79","585","19","566","1","2","244","14","2","1","219","8","64","1","4","1","5","30.10.12"
"740026","208","Чернігівська область","сільський клуб, глядацька зала
вул.Весела, 80, с-ще Веселе, Бахмацький р-н, Чернігівська обл., 16561","216","41","213","22","154","21","175","","0","154","21","175","11","164","1","0","52","2","0","0","92","7","9","0","0","1","0","28.10.12"
"740027","208","Чернігівська область","школа, фойє
вул.Центральна, 2, с.Кропивне, Бахмацький р-н, Чернігівська обл., 16574","488","186","479","32","271","31","302","","0","271","31","302","9","293","1","0","52","14","4","2","191","2","24","0","1","0","2","28.10.12"
"740028","208","Чернігівська область","будинок культури, фойє
вул.Міщенка, 1, с.Красне, Бахмацький р-н, Чернігівська обл., 16531","832","287","820","145","446","99","545","","0","446","99","545","22","523","13","0","65","9","2","2","374","14","27","1","9","2","5","28.10.12"
"740029","208","Чернігівська область","будинок культури, фойє
вул.Перемоги, 6, с.Красилівка, Бахмацький р-н, Чернігівська обл., 16541","756","284","742","78","407","65","472","","0","407","65","472","17","455","1","2","133","18","0","0","237","8","50","1","1","0","4","28.10.12"
"740030","208","Чернігівська область","будинок культури №1, фойє
вул.Радянська, 45, с.Курінь, Бахмацький р-н, Чернігівська обл., 16544","968","385","945","100","494","89","583","","0","494","89","583","16","567","3","2","138","42","2","9","298","6","61","1","5","0","0","29.10.12"
"740031","208","Чернігівська область","школа, актова зала, 2-й поверх
вул.8-го Березня, 12, с.Курінь, Бахмацький р-н, Чернігівська обл., 16544","1128","428","1109","93","613","87","700","","0","613","87","700","35","665","4","1","167","25","4","2","352","8","92","0","7","1","2","29.10.12"
"740032","208","Чернігівська область","будинок культури №2, фойє
вул.Орджонікідзе, 10, с.Курінь, Бахмацький р-н, Чернігівська обл., 16544","856","372","843","97","397","87","484","","0","397","87","484","10","474","2","2","118","31","0","2","243","3","69","2","1","0","1","28.10.12"
"740033","208","Чернігівська область","сільська рада, зала засідань
вул.Центральна, 34, с.Матіївка, Бахмацький р-н, Чернігівська обл., 16514","336","98","332","39","204","34","238","","0","204","34","238","4","234","0","0","28","6","0","1","183","5","9","1","1","0","0","29.10.12"
"740034","208","Чернігівська область","сільська рада, зала засідань
вул.Клубна, 10, с.Митченки, Бахмацький р-н, Чернігівська обл., 16530","772","263","760","109","420","89","509","","0","420","89","509","18","491","2","2","117","15","2","2","299","10","31","3","7","1","0","29.10.12"
"740035","208","Чернігівська область","сільський клуб, фойє
вул.Лесі Українки, 78, с.Обмачів, Бахмацький р-н, Чернігівська обл., 16510","716","225","713","65","429","62","491","","0","429","62","491","29","462","3","3","101","12","2","2","301","8","18","3","8","1","0","29.10.12"
"740036","208","Чернігівська область","клуб-бібліотека, глядацька зала
вул.Пушкіна, 14, с.Осіч, Бахмацький р-н, Чернігівська обл., 16510","180","53","175","9","121","6","127","","0","121","6","127","2","125","1","0","22","0","0","0","98","2","0","0","0","0","2","28.10.12"
"740037","208","Чернігівська область","дитячий садок, спортивна зала
вул.Шкільна, 1, с.Пальчики, Бахмацький р-н, Чернігівська обл., 16522","420","105","411","17","301","14","315","","0","301","14","315","10","305","0","1","54","14","1","2","208","5","9","0","11","0","0","28.10.12"
"740038","208","Чернігівська область","сільський будинок культури, глядацька зала
вул.Центральна, 3, с.Піски, Бахмацький р-н, Чернігівська обл., 16542","648","178","644","76","395","75","470","","0","395","75","470","18","452","0","0","173","14","1","1","209","4","43","2","1","1","3","29.10.12"
"740039","208","Чернігівська область","клуб-бібліотека, глядацька зала
вул.Привокзальна, 3, с.Варварівка, Бахмацький р-н, Чернігівська обл., 16542","284","79","282","23","182","23","205","","0","182","23","205","17","188","2","2","34","10","1","0","108","3","20","3","5","0","0","29.10.12"
"740040","208","Чернігівська область","сільська рада, зала засідань
вул.Дубини, 39, с.Рубанка, Бахмацький р-н, Чернігівська обл., 16570","456","148","459","63","252","56","308","","0","252","56","308","7","301","0","0","40","15","1","0","224","4","13","0","2","0","2","29.10.12"
"740041","208","Чернігівська область","клуб-бібліотека, фойє
вул.Радянська, 14, с.Терешиха, Бахмацький р-н, Чернігівська обл., 16570","248","69","245","42","138","41","179","","0","138","41","179","8","171","1","1","52","6","0","0","98","2","6","0","2","1","2","28.10.12"
"740042","208","Чернігівська область","школа, спортивна зала
вул.Шкільна, 10, с.Стрільники, Бахмацький р-н, Чернігівська обл., 16540","724","219","720","68","441","64","505","","0","441","64","505","14","491","2","3","84","15","1","2","295","9","72","3","2","2","1","29.10.12"
"740043","208","Чернігівська область","сільська рада, зала засідань
вул.Центральна, 3, с.Тиниця, Бахмацький р-н, Чернігівська обл., 16560","1368","591","1341","117","715","62","777","","0","715","62","777","20","757","3","2","296","21","3","3","306","19","97","2","3","1","1","28.10.12"
"740044","208","Чернігівська область","сільський клуб, глядацька зала
вул.Центральна, 45, с.Фастівці, Бахмацький р-н, Чернігівська обл., 16550","760","257","758","113","397","106","503","","0","397","106","503","14","489","2","1","89","16","0","1","341","5","28","1","4","0","1","29.10.12"
"740045","208","Чернігівська область","школа, фойє
вул.В.М.Сіденка, 33, с.Халимонове, Бахмацький р-н, Чернігівська обл., 16532","1020","448","1006","106","502","70","572","","0","502","70","572","23","549","26","4","164","48","3","1","223","19","49","5","3","3","1","28.10.12"
"740046","208","Чернігівська область","Бахмацька центральна районна лікарня, фойє
вул.Жовтнева, 66, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","296","235","68","31","34","27","61","","0","34","27","61","2","59","1","0","13","7","0","0","29","1","4","0","3","0","1","28.10.12"
"740089","208","Чернігівська область","районний будинок культури, фойє
вул.Пантелеймона Куліша, 105, м.Борзна, Борзнянський р-н, Чернігівська обл., 16400","2300","843","2281","70","1401","56","1457","","0","1401","56","1457","32","1425","1","2","498","4","0","11","778","22","87","5","9","1","7","29.10.12"
"740090","208","Чернігівська область","школа, фойє
вул.Богдана Хмельницького, 3, м.Борзна, Борзнянський р-н, Чернігівська обл., 16400","1840","681","1829","47","1123","36","1159","","0","1123","36","1159","27","1132","0","2","431","13","3","13","542","25","81","1","11","6","4","29.10.12"
"740091","208","Чернігівська область","райавтодор, зала засідань
вул.Котовського, 8, м.Борзна, Борзнянський р-н, Чернігівська обл., 16400","1764","725","1741","70","985","54","1039","","0","985","54","1039","27","1012","2","2","361","7","3","2","511","20","83","4","10","3","4","29.10.12"
"740092","208","Чернігівська область","контора СТОВ ""Авангард"", зала засідань
вул.Христини Алчевської, 40, м.Борзна, Борзнянський р-н, Чернігівська обл., 16400","1540","600","1527","41","914","26","940","","0","914","26","940","28","912","2","5","308","11","2","7","487","11","72","0","5","0","2","28.10.12"
"740093","208","Чернігівська область","школа №3, актова зала
вул.Київська, 48, м.Борзна, Борзнянський р-н, Чернігівська обл., 16400","1704","617","1699","74","1025","62","1087","","0","1025","62","1087","22","1065","4","7","349","5","3","5","585","22","77","0","6","0","2","29.10.12"
"740094","208","Чернігівська область","сільський клуб, глядацька зала
вул.Шевченка, 20, с.Забілівщина, Борзнянський р-н, Чернігівська обл., 16405","404","122","401","39","243","39","282","","0","243","39","282","6","276","1","1","79","0","0","0","181","3","7","0","0","0","4","28.10.12"
"740095","208","Чернігівська область","школа, фойє
вул.Комарова, 1А, с.Кинашівка, Борзнянський р-н, Чернігівська обл., 16406","964","340","981","35","590","34","624","","0","590","34","624","13","611","0","0","174","6","0","4","394","3","26","0","1","2","1","28.10.12"
"740096","208","Чернігівська область","сільська рада, зала засідань
вул.Червоний шлях, 41, с.Берестовець, Борзнянський р-н, Чернігівська обл., 16440","708","219","702","68","436","53","489","","0","436","53","489","25","464","1","1","94","1","1","3","335","6","12","0","6","1","3","28.10.12"
"740097","208","Чернігівська область","сільський клуб, глядацька зала
вул.Леніна, 1А, с.Велика Доч, Борзнянський р-н, Чернігівська обл., 16431","596","201","586","39","361","34","395","","0","361","34","395","11","384","1","1","171","7","2","8","168","9","12","1","4","0","0","28.10.12"
"740098","208","Чернігівська область","будинок культури, фойє
вул.Центральна, 23А, с.Велика Загорівка, Борзнянський р-н, Чернігівська обл., 16450","996","296","990","115","609","91","700","","0","609","91","700","27","673","1","3","231","12","1","2","380","7","27","0","7","1","1","28.10.12"
"740099","208","Чернігівська область","будинок культури, глядацька зала
вул.Леніна, 71, с.Високе, Борзнянський р-н, Чернігівська обл., 16412","1020","340","1006","65","621","59","680","","0","621","59","680","20","660","2","4","140","4","1","3","463","10","23","1","5","0","4","28.10.12"
"740100","208","Чернігівська область","будинок культури, глядацька зала
вул.Щорса, 35/1, с.Галайбине, Борзнянський р-н, Чернігівська обл., 16411","348","77","341","45","228","43","271","","0","228","43","271","4","267","2","0","91","0","0","1","153","7","9","1","2","1","0","28.10.12"
"740101","208","Чернігівська область","сільський клуб, глядацька зала
вул.Жовтнева, 39, с.Маличина Гребля, Борзнянський р-н, Чернігівська обл., 16412","164","45","162","25","98","21","119","","0","98","21","119","3","116","0","0","34","1","0","1","63","4","10","0","1","1","1","28.10.12"
"740102","208","Чернігівська область","школа, спортивна зала
вул.Червоноармійська, 2, с.Головеньки, Борзнянський р-н, Чернігівська обл., 16413","748","251","740","51","450","47","497","","0","450","47","497","15","482","2","1","121","3","0","0","313","9","26","0","6","0","1","28.10.12"
"740103","208","Чернігівська область","бригадна контора СТОВ ""Головеньківське - плюс"", зала засідань
вул.Піонерська, 11, с.Паристівка, Борзнянський р-н, Чернігівська обл., 16413","108","12","106","19","77","19","96","","0","77","19","96","0","96","0","0","45","0","0","1","45","1","4","0","0","0","0","28.10.12"
"740104","208","Чернігівська область","будинок культури, фойє
вул.Леніна, 1, с.Комарівка, Борзнянський р-н, Чернігівська обл., 16442","1128","429","1116","108","614","85","699","","0","614","85","699","14","685","1","0","165","6","1","4","468","10","23","0","4","1","2","29.10.12"
"740105","208","Чернігівська область","будинок культури, фойє
вул.Радянська, 5, с.Красносільське, Борзнянський р-н, Чернігівська обл., 16443","580","175","563","39","376","29","405","","0","376","29","405","17","388","0","0","113","1","0","6","252","2","10","0","2","1","1","28.10.12"
"740106","208","Чернігівська область","будинок культури, глядацька зала
вул.Першотравнева, 68/1, с.Мала Загорівка, Борзнянський р-н, Чернігівська обл., 16451","448","110","447","78","270","68","338","","0","270","68","338","10","328","1","2","104","0","2","1","195","4","3","1","13","0","2","29.10.12"
"740107","208","Чернігівська область","школа, фойє
вул.Набережна, 1, с.Миколаївка, Борзнянський р-н, Чернігівська обл., 16432","500","165","487","48","289","46","335","","0","289","46","335","9","326","0","0","74","0","1","0","226","4","19","0","0","0","2","28.10.12"
"740108","208","Чернігівська область","будинок культури, дискотечна зала
вул.Перемоги, 3, с.Іванівка, Борзнянський р-н, Чернігівська обл., 16433","544","169","532","23","353","22","375","","0","353","22","375","12","363","0","1","75","1","1","1","248","7","22","1","3","1","2","29.10.12"
"740109","208","Чернігівська область","будинок культури, фойє
вул.Ярцева, 36, с.Нові Млини, Борзнянський р-н, Чернігівська обл., 16410","620","165","606","58","403","52","455","","0","403","52","455","13","442","1","2","154","1","2","1","209","3","60","3","4","0","2","28.10.12"
"740110","208","Чернігівська область","будинок культури, фойє
вул.Шевченка, 4, с.Кербутівка, Борзнянський р-н, Чернігівська обл., 16410","256","49","251","39","172","35","207","","0","172","35","207","6","201","1","0","83","0","0","0","103","1","13","0","0","0","0","28.10.12"
"740111","208","Чернігівська область","сільська рада, зала засідань
вул.Леніна, 5А, с.Носелівка, Борзнянський р-н, Чернігівська обл., 16415","540","138","530","76","332","70","402","","0","332","70","402","13","389","0","1","102","6","0","0","267","3","6","1","2","1","0","28.10.12"
"740112","208","Чернігівська область","школа, фойє
вул.Шевченка, 93, с.Оленівка, Борзнянський р-н, Чернігівська обл., 16441","904","336","894","75","511","57","568","","0","511","57","568","24","544","1","0","110","18","1","7","377","5","18","0","7","0","0","30.10.12"
"740113","208","Чернігівська область","будинок культури, фойє
вул.Калініна, 4, с.Омбиш, Борзнянський р-н, Чернігівська обл., 16463","428","139","422","53","251","38","289","","0","251","38","289","5","284","0","1","51","0","1","0","204","3","19","2","3","0","0","28.10.12"
"740114","208","Чернігівська область","будинок культури, глядацька зала
вул.Леніна, 35, с.Петрівка, Борзнянський р-н, Чернігівська обл., 16464","336","98","332","22","219","19","238","","0","219","19","238","13","225","2","0","104","2","1","1","104","5","5","0","0","0","1","28.10.12"
"740115","208","Чернігівська область","сільський клуб, глядацька зала
вул.Паризької Комуни, 26, с.Печі, Борзнянський р-н, Чернігівська обл., 16462","316","97","310","49","174","45","219","","0","174","45","219","12","207","1","2","63","0","0","4","111","0","13","0","0","0","13","28.10.12"
"740116","208","Чернігівська область","сільський клуб, глядацька зала
вул.Горького, 2, с.Пам’ятне, Борзнянський р-н, Чернігівська обл., 16461","276","75","271","9","192","9","201","","0","192","9","201","8","193","0","0","79","0","1","1","89","5","12","0","3","2","1","29.10.12"
"740117","208","Чернігівська область","будинок культури, фойє
вул.Робітнича, 1, с.Плиски, Борзнянський р-н, Чернігівська обл., 16453","900","303","892","121","528","69","597","","0","528","69","597","12","585","2","3","422","1","0","3","129","2","17","2","2","2","0","29.10.12"
"740118","208","Чернігівська область","будинок культури, фойє
вул.Леніна, 52, с.Прачі, Борзнянський р-н, Чернігівська обл., 16426","416","116","403","38","264","36","300","","0","264","36","300","6","294","0","2","82","2","2","2","177","15","11","0","1","0","0","28.10.12"
"740119","208","Чернігівська область","сільський клуб, глядацька зала
вул.Шевченка, 33, с.Адамівка, Борзнянський р-н, Чернігівська обл., 16426","160","40","153","21","99","21","120","","0","99","21","120","3","117","0","0","26","1","0","2","75","4","5","0","4","0","0","28.10.12"
"740120","208","Чернігівська область","школа, фойє
вул.Шевченка, 96, с.Прохори, Борзнянський р-н, Чернігівська обл., 16445","512","169","504","33","314","29","343","","0","314","29","343","7","336","0","1","102","0","2","1","210","11","6","0","1","1","1","29.10.12"
"740121","208","Чернігівська область","бригадна контора СТОВ ""Прохорське"", зала засідань
вул.Леніна, 23, с.Шевченка, Борзнянський р-н, Чернігівська обл., 16446","84","22","83","20","44","18","62","","0","44","18","62","3","59","0","0","12","0","0","2","41","1","3","0","0","0","0","29.10.12"
"740122","208","Чернігівська область","школа, спортивна зала
вул.Леніна, 26, с.Сиволож, Борзнянський р-н, Чернігівська обл., 16452","620","190","616","42","393","37","430","","0","393","37","430","17","413","1","1","142","1","6","2","238","5","12","0","4","0","1","29.10.12"
"740123","208","Чернігівська область","сільська рада, зала засідань
вул.Леніна, 83, с.Смоляж, Борзнянський р-н, Чернігівська обл., 16444","216","47","217","32","142","27","169","","0","142","27","169","9","160","0","1","37","0","0","1","108","6","6","0","1","0","0","28.10.12"
"740124","208","Чернігівська область","сільський клуб, глядацька зала
вул.Леніна, 48, с.Степанівка, Борзнянський р-н, Чернігівська обл., 16421","348","74","344","23","251","23","274","","0","251","23","274","9","265","0","1","77","0","1","9","157","1","14","0","3","1","1","28.10.12"
"740125","208","Чернігівська область","школа, актова зала
вул.Леніна, 36, с.Воловиця, Борзнянський р-н, Чернігівська обл., 16420","272","69","267","21","182","21","203","","0","182","21","203","4","199","1","0","56","0","0","0","120","1","16","1","0","0","4","28.10.12"
"740126","208","Чернігівська область","школа, фойє
вул.Гагаріна, 1, с.Тростянка, Борзнянський р-н, Чернігівська обл., 16414","364","96","360","33","239","29","268","","0","239","29","268","15","253","2","2","66","0","0","0","124","8","47","1","1","1","1","28.10.12"
"740127","208","Чернігівська область","будинок культури, глядацька зала
вул.Лесі Українки, 50, с.Ховми, Борзнянський р-н, Чернігівська обл., 16422","420","85","422","37","300","35","335","","0","300","35","335","5","330","0","0","157","2","0","1","150","5","8","0","5","0","2","29.10.12"
"740128","208","Чернігівська область","сільський клуб, глядацька зала
вул.Шевченка, 6, с.Сидорівка, Борзнянський р-н, Чернігівська обл., 16423","316","58","305","34","226","32","258","","0","226","32","258","12","246","0","1","76","2","0","3","129","9","15","0","10","1","0","30.10.12"
"740129","208","Чернігівська область","школа, актова зала
вул.Леніна, 11, с.Хороше Озеро, Борзнянський р-н, Чернігівська обл., 16460","824","275","816","88","475","74","549","","0","475","74","549","31","518","2","1","135","13","0","8","311","1","40","0","2","3","2","28.10.12"
"740130","208","Чернігівська область","школа, фойє
вул.Леніна, 9, с.Шаповалівка, Борзнянський р-н, Чернігівська обл., 16430","960","363","951","104","525","72","597","","0","525","72","597","14","583","1","2","175","7","1","4","359","10","19","1","4","0","0","29.10.12"
"740131","208","Чернігівська область","будинок народної творчості, глядацька зала
вул.Набережна, 36, с.Ядути, Борзнянський р-н, Чернігівська обл., 16424","824","284","810","115","449","91","540","","0","449","91","540","26","514","1","1","137","11","2","39","284","8","28","0","2","0","1","28.10.12"
"740132","208","Чернігівська область","будинок народної творчості, глядацька зала
вул.Кривошеївка, 67Б, с.Красностав, Борзнянський р-н, Чернігівська обл., 16425","316","68","310","49","208","40","248","","0","208","40","248","7","241","2","3","80","1","0","8","124","9","9","2","1","1","1","29.10.12"
"740133","208","Чернігівська область","центральна районна лікарня, фойє терапевтичного корпусу
вул.Семена Палія, 22, м.Борзна, Борзнянський р-н, Чернігівська обл., 16400","216","180","47","10","26","10","36","","0","26","10","36","1","35","0","1","14","0","0","0","16","0","4","0","0","0","0","28.10.12"
"740197","208","Чернігівська область","школа №4, спортивна зала
вул.Першотравнева, 45, м.Ічня, Ічнянський р-н, Чернігівська обл., 16703","1748","776","1749","16","960","12","972","","0","960","12","972","30","942","4","3","203","11","7","5","601","9","81","0","12","1","5","29.10.12"
"740198","208","Чернігівська область","школа мистецтв, зала засідань
вул.Леніна, 4, м.Ічня, Ічнянський р-н, Чернігівська обл., 16703","2152","1020","2121","27","1106","26","1132","","0","1106","26","1132","27","1105","4","4","212","18","3","5","706","24","96","1","24","4","4","28.10.12"
"740199","208","Чернігівська область","школа №3, спортивна зала
вул.Комсомольська, 2, м.Ічня, Ічнянський р-н, Чернігівська обл., 16703","1484","653","1481","40","795","36","831","","0","795","36","831","24","807","3","7","195","4","3","3","482","15","63","1","21","5","5","29.10.12"
"740200","208","Чернігівська область","гімназія імені С.Васильченка, вестибюль
вул.Богдана Хмельницького, 6, м.Ічня, Ічнянський р-н, Чернігівська обл., 16703","2272","1041","2233","17","1215","16","1231","","0","1215","16","1231","32","1199","8","1","239","11","7","2","810","22","66","1","25","4","3","29.10.12"
"740201","208","Чернігівська область","районний будинок культури, вестибюль
вул.Леніна, 22, м.Ічня, Ічнянський р-н, Чернігівська обл., 16703","1948","857","1911","17","1079","12","1091","","0","1079","12","1091","32","1059","7","8","261","11","6","4","621","26","80","1","26","5","3","29.10.12"
"740204","208","Чернігівська область","будинок культури, фойє
вул.Тараса Шевченка, 95, смт Парафіївка, Ічнянський р-н, Чернігівська обл., 16730","2008","891","1981","60","1070","47","1117","","0","1070","47","1117","44","1073","4","6","224","3","3","3","766","9","42","3","2","4","4","29.10.12"
"740208","208","Чернігівська область","будинок культури, фойє
вул.Миру, 28, с.Бережівка, Ічнянський р-н, Чернігівська обл., 16740","500","154","497","39","310","36","346","","0","310","36","346","8","338","0","2","38","8","0","1","272","0","8","0","8","0","1","29.10.12"
"740209","208","Чернігівська область","школа, спортивна зала
вул.Садова, 1, с.Більмачівка, Ічнянський р-н, Чернігівська обл., 16712","444","143","434","35","266","35","301","","0","266","35","301","5","296","0","1","75","11","1","0","202","0","2","0","1","1","2","28.10.12"
"740215","208","Чернігівська область","школа, актова зала
вул.Шкільна, 26, с.Гужівка, Ічнянський р-н, Чернігівська обл., 16708","672","188","664","49","442","42","484","","0","442","42","484","11","473","0","0","55","7","2","2","356","29","20","0","1","1","0","29.10.12"
"740218","208","Чернігівська область","школа, вестибюль
вул.Незалежності, 55, с.Івангород, Ічнянський р-н, Чернігівська обл., 16710","720","268","713","4","448","4","452","","0","448","4","452","16","436","1","2","74","3","4","0","339","2","6","0","2","1","2","29.10.12"
"740221","208","Чернігівська область","школа, вестибюль
вул.Леніна, 65, с.Іржавець, Ічнянський р-н, Чернігівська обл., 16732","596","170","592","47","385","41","426","","0","385","41","426","5","421","0","0","110","4","0","0","280","10","11","1","4","0","1","29.10.12"
"740225","208","Чернігівська область","будинок культури, зала
вул.Жовтнева, 34А, с.Мартинівка, Ічнянський р-н, Чернігівська обл., 16711","428","134","416","59","236","58","294","","0","236","58","294","4","290","1","0","90","5","1","1","182","1","5","2","0","1","1","29.10.12"
"740228","208","Чернігівська область","сільська рада, кабінет сільського голови
вул.Радянська, 24А, с.Петрушівка, Ічнянський р-н, Чернігівська обл., 16735","308","79","301","40","192","37","229","","0","192","37","229","3","226","1","0","40","5","1","1","156","8","13","0","0","1","0","28.10.12"
"740231","208","Чернігівська область","школа, спортивна зала
вул.Перемоги, 15, с.Рожнівка, Ічнянський р-н, Чернігівська обл., 16714","620","179","610","32","410","31","441","","0","410","31","441","16","425","0","0","108","10","2","0","294","2","3","0","4","0","2","29.10.12"
"740232","208","Чернігівська область","сільський клуб, зала
вул.Незалежності, 9, с.Максимівка, Ічнянський р-н, Чернігівська обл., 16714","132","26","129","12","94","12","106","","0","94","12","106","4","102","2","0","42","2","0","1","54","0","1","0","0","0","0","28.10.12"
"740235","208","Чернігівська область","сільський клуб, зала
вул.Шкільна, 3, с-ще Тростянець, Ічнянський р-н, Чернігівська обл., 16742","696","210","692","29","459","27","486","","0","459","27","486","8","478","2","0","60","9","9","1","353","3","35","1","2","1","2","29.10.12"
"740236","208","Чернігівська область","сільський клуб, зала
вул.Леніна, 27, с.Верескуни, Ічнянський р-н, Чернігівська обл., 16748","188","46","181","14","128","14","142","","0","128","14","142","6","136","1","0","28","0","0","0","101","1","2","1","1","0","1","28.10.12"
"740239","208","Чернігівська область","будинок культури, вестибюль
вул.Т.Шевченка, 48, с.Южне, Ічнянський р-н, Чернігівська обл., 16731","752","221","746","42","490","41","531","","0","490","41","531","12","519","2","1","78","10","1","2","409","2","9","2","1","1","1","29.10.12"
"740240","208","Чернігівська область","Центральна районна лікарня, терапевтичний корпус, фойє
вул.Червоноармійська, 6, м.Ічня, Ічнянський р-н, Чернігівська обл., 16703","224","187","48","32","16","21","37","","0","16","21","37","1","36","0","0","4","0","0","0","30","1","1","0","0","0","0","29.10.12"
"740393","208","Чернігівська область","будинок культури, глядацька зала, 1-й поверх
вул.ім.Щорса, 112, смт Куликівка, Куликівський р-н, Чернігівська обл., 16300","2420","993","2367","73","1360","67","1427","","0","1360","67","1427","53","1374","12","9","322","13","9","13","695","55","205","5","24","8","4","29.10.12"
"740394","208","Чернігівська область","школа, їдальня, 1-й поверх
вул.ім.Шевченка, 4, смт Куликівка, Куликівський р-н, Чернігівська обл., 16300","2292","901","2257","60","1339","52","1391","","0","1339","52","1391","49","1342","15","4","311","21","5","16","685","66","184","4","20","5","6","29.10.12"
"740395","208","Чернігівська область","школа, спортивна зала
вул.Шкільна, 1, с.Авдіївка, Куликівський р-н, Чернігівська обл., 16321","360","103","359","60","200","57","257","","0","200","57","257","7","250","2","5","88","1","2","1","96","16","31","0","7","1","0","29.10.12"
"740396","208","Чернігівська область","будинок культури, фойє
вул.Центральна, 25А, с.Бакланова Муравійка, Куликівський р-н, Чернігівська обл., 16312","420","125","411","48","250","45","295","","0","250","45","295","16","279","3","1","101","2","3","1","133","11","16","1","1","1","5","29.10.12"
"740397","208","Чернігівська область","будинок культури, фойє, 1-й поверх
вул.Перемоги, 38, с.Вересоч, Куликівський р-н, Чернігівська обл., 16341","892","328","890","112","460","104","564","","0","460","104","564","21","543","13","2","181","3","2","3","268","23","38","2","5","0","3","29.10.12"
