"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Амельченко
Василь
Васильович","Журман
Сергій
Миколайович","Зінов’єв
Артур
Петрович","Куніцин
Володимир
Миколайович","Лещенко
Володимир
Олексійович","Матюха
Валерія
Валеріївна","Неживий
Леонід
Михайлович","Петров
Олег
Борисович","Петров
Олег
Володимирович","Рибаков
Ігор
Олександрович","Шаповал
Петро
Дмитрович","Юхименко
Сергій
Володимирович","Дата підписання протоколу"
"740386","207","Чернігівська область","будинок культури, фойє
вул.Лесі Українки, 3, с.Савинки, Корюківський р-н, Чернігівська обл., 15360","414","112","413","36","270","32","302","","0","270","32","302","2","300","9","10","1","0","42","3","41","6","7","179","2","0","29.10.12"
"740387","207","Чернігівська область","будинок культури, актова зала
вул.Генерала Білого, 84, с.Сядрине, Корюківський р-н, Чернігівська обл., 15323","786","281","776","56","452","53","505","","0","452","53","505","14","491","18","48","3","4","68","12","109","14","23","182","6","4","29.10.12"
"740388","207","Чернігівська область","сільська рада, зала засідань
вул.Богдана Хмельницького, 56, с.Тютюнниця, Корюківський р-н, Чернігівська обл., 15350","270","97","263","43","138","35","173","","0","138","35","173","2","171","3","12","1","0","18","2","50","3","2","79","0","1","02.11.12"
"740389","207","Чернігівська область","сільський клуб, актова зала
вул.Шевченка, 42А, с.Сахутівка, Корюківський р-н, Чернігівська обл., 15351","252","75","244","37","146","31","177","","0","146","31","177","6","171","13","22","2","1","19","2","30","3","8","67","2","2","29.10.12"
"740390","207","Чернігівська область","сільський клуб, актова зала
вул.Довженко, 9Б, с.Хотіївка, Корюківський р-н, Чернігівська обл., 15360","204","66","195","25","115","23","138","","0","115","23","138","4","134","8","6","0","0","34","1","16","4","7","54","3","1","29.10.12"
"740391","207","Чернігівська область","сільський клуб, фойє
вул.Центральна, 13, с.Шишківка, Корюківський р-н, Чернігівська обл., 15310","318","73","303","46","201","44","245","","0","201","44","245","7","238","4","17","3","0","55","11","13","3","8","116","5","3","28.10.12"
"740392","207","Чернігівська область","Корюківська центральна районна лікарня, кабінет лікувальної фізкультури, 1-й поверх
вул.Шевченка, 101, м.Корюківка, Корюківський р-н, Чернігівська обл., 15300","210","136","180","6","69","5","74","","0","69","5","74","0","74","5","7","0","0","4","2","17","1","3","31","2","2","28.10.12"
"740502","207","Чернігівська область","сільська рада, к.1
вул.Польова, 1, с.Березова Гать, Новгород-Сіверський р-н, Чернігівська обл., 16052","102","23","99","16","65","14","79","","0","65","14","79","5","74","0","4","0","0","15","0","1","0","5","44","5","0","29.10.12"
"740503","207","Чернігівська область","будинок культури, актова зала
вул.Свободи, 80, с.Бирине, Новгород-Сіверський р-н, Чернігівська обл., 16034","630","200","612","63","372","58","430","","0","372","58","430","15","415","7","20","4","1","54","11","7","6","3","295","6","1","29.10.12"
"740504","207","Чернігівська область","будинок культури, фойє
вул.Б.Хмельницького, 51, с.Блистова, Новгород-Сіверський р-н, Чернігівська обл., 16071","480","99","474","43","338","43","381","","0","338","43","381","11","370","11","11","8","1","70","0","7","15","7","221","17","2","29.10.12"
"740505","207","Чернігівська область","сільський клуб, коридор
вул.Шевченка, 95, с.Слобідка, Новгород-Сіверський р-н, Чернігівська обл., 16072","468","121","469","34","315","32","347","","0","315","32","347","28","319","21","46","3","5","38","3","18","8","3","160","11","3","29.10.12"
"740506","207","Чернігівська область","будинок культури, фойє
вул.Леніна, 2, с.Будо-Вороб’ївська, Новгород-Сіверський р-н, Чернігівська обл., 16012","372","97","357","40","236","39","275","","0","236","39","275","6","269","3","5","3","0","44","1","1","8","2","199","3","0","29.10.12"
"740507","207","Чернігівська область","сільська рада, к.1
вул.Першого Травня, 69, с.Бучки, Новгород-Сіверський р-н, Чернігівська обл., 16010","162","48","161","21","94","20","114","","0","94","20","114","3","111","2","3","2","2","20","0","3","3","6","66","2","2","28.10.12"
"740508","207","Чернігівська область","будинок культури, актова зала
вул.Червоних партизан, 4, с.Вороб’ївка, Новгород-Сіверський р-н, Чернігівська обл., 16013","444","135","422","58","256","53","309","","0","256","53","309","7","302","11","23","4","0","34","7","7","3","3","207","2","1","29.10.12"
"740509","207","Чернігівська область","сільська рада, к.1
вул.Шкільна, 310А, с.Юхнове, Новгород-Сіверський р-н, Чернігівська обл., 16062","384","116","373","74","201","67","268","","0","201","67","268","14","254","14","29","4","7","25","2","9","6","8","140","2","8","29.10.12"
"740510","207","Чернігівська область","будинок культури, фойє
вул.Леніна, 190, с.Грем’яч, Новгород-Сіверський р-н, Чернігівська обл., 16020","1050","442","1033","104","521","87","608","","0","521","87","608","21","587","24","29","5","7","100","2","31","7","7","356","14","5","29.10.12"
"740511","207","Чернігівська область","сільська рада, к.3
вул.Леніна, 50, с.Дігтярівка, Новгород-Сіверський р-н, Чернігівська обл., 16080","414","106","406","37","271","37","308","","0","271","37","308","10","298","11","13","9","3","57","3","15","7","4","164","11","1","29.10.12"
"740512","207","Чернігівська область","фельдшерсько-акушерський пункт, к.2
вул.Зелена, 2, с.Гірки, Новгород-Сіверський р-н, Чернігівська обл., 16091","138","33","131","19","88","17","105","","0","88","17","105","1","104","1","10","1","1","14","1","3","2","0","70","1","0","03.11.12"
"740513","207","Чернігівська область","школа, клас історії
вул.Шкільна, 18, с.Кам’янська Слобода, Новгород-Сіверський р-н, Чернігівська обл., 16021","240","80","224","33","132","28","160","","0","132","28","160","7","153","8","8","3","2","33","6","3","1","9","76","3","1","29.10.12"
"740514","207","Чернігівська область","школа, коридор
вул.ім.В.Живодера, 32, с.Камінь, Новгород-Сіверський р-н, Чернігівська обл., 16021","90","26","87","21","46","18","64","","0","46","18","64","1","63","4","11","1","0","10","1","1","2","3","28","2","0","29.10.12"
"740515","207","Чернігівська область","сільська рада, к.3
вул.ім.Кірова, 51, с.Кірове, Новгород-Сіверський р-н, Чернігівська обл., 16060","324","70","320","41","216","38","254","","0","216","38","254","4","250","9","13","5","0","37","4","4","4","3","159","11","1","29.10.12"
"740516","207","Чернігівська область","школа, коридор
вул.Селянська, 64, с.Стахорщина, Новгород-Сіверський р-н, Чернігівська обл., 16093","258","84","248","18","156","18","174","","0","156","18","174","8","166","10","7","2","3","28","1","10","3","5","73","23","1","29.10.12"
"740517","207","Чернігівська область","школа, актова зала
вул.Зелена, 12, с.Форостовичі, Новгород-Сіверський р-н, Чернігівська обл., 16025","108","26","101","13","69","13","82","","0","69","13","82","1","81","1","6","1","2","14","0","3","1","6","47","0","0","28.10.12"
"740518","207","Чернігівська область","сільський клуб, фойє
вул.Шевченка, 32Б, с.Ковпинка, Новгород-Сіверський р-н, Чернігівська обл., 16022","84","16","82","14","54","14","68","","0","54","14","68","1","67","2","7","1","0","17","1","4","1","1","31","2","0","28.10.12"
"740519","207","Чернігівська область","сільський клуб, фойє
вул.Молодіжна, 7, с.Будище, Новгород-Сіверський р-н, Чернігівська обл., 16022","168","70","168","15","87","11","98","","0","87","11","98","3","95","3","9","3","1","7","0","0","1","8","59","4","0","28.10.12"
"740520","207","Чернігівська область","будинок культури, актова зала
вул.Калиніна, 18А, с.Пушкарі, Новгород-Сіверський р-н, Чернігівська обл., 16022","264","81","259","20","170","13","183","","0","170","13","183","8","175","3","13","2","1","49","0","6","3","30","57","11","0","29.10.12"
"740521","207","Чернігівська область","будинок культури, к.3
вул.Ушинського, 10А, с.Комань, Новгород-Сіверський р-н, Чернігівська обл., 16061","252","101","238","46","111","40","151","","0","111","40","151","3","148","12","9","8","2","33","0","5","2","3","70","3","1","29.10.12"
"740522","207","Чернігівська область","сільська рада, к.21
вул.Молодіжна, 1А, с.Дробишів, Новгород- Сіверський р-н, Чернігівська обл., 16061","222","82","214","62","83","57","140","","0","83","57","140","0","140","8","13","1","1","23","0","12","0","2","77","2","1","29.10.12"
"740523","207","Чернігівська область","будинок культури, фойє
вул.Козацька, 56, с.Кудлаївка, Новгород-Сіверський р-н, Чернігівська обл., 16081","252","79","247","13","160","13","173","","0","160","13","173","9","164","28","11","8","0","28","2","7","1","5","69","5","0","29.10.12"
"740524","207","Чернігівська область","сільський клуб, фойє
вул.Визволителів, 36, с.Гнатівка, Новгород-Сіверський р-н, Чернігівська обл., 16081","96","19","90","8","69","8","77","","0","69","8","77","0","77","5","10","1","0","10","0","0","1","2","41","7","0","29.10.12"
"740525","207","Чернігівська область","будинок культури, танцювальна зала
вул.Нерушівка, 9, с.Ларинівка, Новгород-Сіверський р-н, Чернігівська обл., 16050","294","102","293","40","163","29","192","","0","163","29","192","6","186","4","4","2","0","63","4","1","0","1","104","3","0","28.10.12"
"740526","207","Чернігівська область","сільський клуб, актова зала
вул.Махлунівка, 10, с.Фаївка, Новгород-Сіверський р-н, Чернігівська обл., 16050","204","44","202","21","141","19","160","","0","141","19","160","10","150","17","7","4","2","11","1","1","2","8","83","13","1","29.10.12"
"740527","207","Чернігівська область","будинок культури, актова зала
вул.Центральна, 55, с.Лісконоги, Новгород-Сіверський р-н, Чернігівська обл., 16031","312","102","301","26","186","24","210","","0","186","24","210","8","202","17","13","12","1","64","4","5","5","6","71","1","3","28.10.12"
"740528","207","Чернігівська область","сільський клуб, актова зала
вул.Монастирська, 11, с.Рогівка, Новгород-Сіверський р-н, Чернігівська обл., 16031","222","61","214","15","147","14","161","","0","147","14","161","8","153","4","12","2","0","47","0","10","9","6","60","3","0","29.10.12"
"740529","207","Чернігівська область","будинок культури, актова зала
вул.Центральна, 92, с.Мамекине, Новгород-Сіверський р-н, Чернігівська обл., 16032","192","35","196","13","148","9","157","","0","148","9","157","7","150","4","3","3","2","13","2","0","1","4","118","0","0","29.10.12"
"740530","207","Чернігівська область","сільський клуб, фойє
вул.Дружби, 25, с.Леньків, Новгород-Сіверський р-н, Чернігівська обл., 16092","174","44","173","23","110","20","130","","0","110","20","130","6","124","10","12","2","1","32","1","5","3","0","57","1","0","29.10.12"
"740531","207","Чернігівська область","сільська рада, к.1
вул.Центральна, 50, с.Михальчина-Слобода, Новгород-Сіверський р-н, Чернігівська обл., 16015","222","52","214","15","156","14","170","","0","156","14","170","3","167","4","14","2","0","14","0","2","3","5","119","3","1","29.10.12"
"740532","207","Чернігівська область","сільський клуб, актова зала
вул.Леніна, 65, с.Об’єднане, Новгород-Сіверський р-н, Чернігівська обл., 16082","222","58","219","41","127","37","164","","0","127","37","164","0","164","6","3","4","0","24","0","8","2","4","109","4","0","29.10.12"
"740533","207","Чернігівська область","будинок культури, актова зала
вул.1-го Травня, 53, с.Студинка, Новгород-Сіверський р-н, Чернігівська обл., 16082","276","75","273","24","178","23","201","","0","178","23","201","8","193","4","14","6","0","31","0","0","4","8","118","8","0","29.10.12"
"740534","207","Чернігівська область","сільська рада, зал засідань
вул.Шевченка, 70, с.Орлівка, Новгород-Сіверський р-н, Чернігівська обл., 16070","720","252","701","55","426","42","468","","0","426","42","468","20","448","33","38","9","4","90","8","20","12","17","196","17","4","29.10.12"
"740535","207","Чернігівська область","фельдшерсько-акушерський пункт, к.2
вул.Лісова, 60, с.Ломанка, Новгород-Сіверський р-н, Чернігівська обл., 16070","108","46","95","15","51","11","62","","0","51","11","62","0","62","4","3","1","4","7","0","1","3","4","32","3","0","29.10.12"
"740536","207","Чернігівська область","будинок культури, актова зала
вул.Центральна, 73А, с.Печенюги, Новгород-Сіверський р-н, Чернігівська обл., 16040","456","136","449","36","287","33","320","","0","287","33","320","15","305","8","7","3","1","123","4","6","5","20","120","6","2","28.10.12"
"740537","207","Чернігівська область","будинок культури, коридор
вул.Спортивна, 5, с.Лизунівка, Новгород-Сіверський р-н, Чернігівська обл., 16041","258","83","255","20","158","17","175","","0","158","17","175","6","169","11","11","4","4","26","1","3","12","7","85","3","2","29.10.12"
"740538","207","Чернігівська область","будинок культури, фойє
вул.Радянська, 3, с.Попівка, Новгород-Сіверський р-н, Чернігівська обл., 16042","378","118","364","43","219","41","260","","0","219","41","260","7","253","3","23","2","0","57","6","5","5","10","94","47","1","29.10.12"
"740539","207","Чернігівська область","школа, спортивна зала
вул.Дружби, 29, с.Смяч, Новгород-Сіверський р-н, Чернігівська обл., 16030","318","70","311","34","214","34","248","","0","214","34","248","7","241","5","19","1","0","52","3","5","2","13","135","5","1","29.10.12"
"740540","207","Чернігівська область","будинок культури, фойє
вул.Кучми, 22, с.Чайкине, Новгород-Сіверський р-н, Чернігівська обл., 16014","366","92","361","48","230","44","274","","0","230","44","274","6","268","5","6","4","1","36","5","6","7","6","186","6","0","28.10.12"
"740541","207","Чернігівська область","сільський клуб, актова зала
вул.1 Травня, 22, с.Полюшкине, Новгород-Сіверський р-н, Чернігівська обл., 16014","90","17","86","9","65","8","73","","0","65","8","73","1","72","0","4","1","0","8","0","0","2","2","55","0","0","28.10.12"
"740542","207","Чернігівська область","сільський клуб, актова зала
вул.О.П.Довженко, 5, с.Шептаки, Новгород-Сіверський р-н, Чернігівська обл., 16033","450","142","436","69","247","61","308","","0","247","61","308","11","297","11","11","5","3","63","1","7","9","10","172","4","1","29.10.12"
"740543","207","Чернігівська область","Районний будинок культури, танцювальна зала
вул.Б.Майстренка, 4, м.Новгород-Сіверський, Новгород-Сіверський р-н, Чернігівська обл., 16000","2478","1156","2469","85","1248","74","1322","","0","1248","74","1322","44","1277","55","148","18","16","224","20","126","35","106","484","38","7","29.10.12"
"740544","207","Чернігівська область","гімназія №1, спортивна зала
вул.Б.Майстренка, 2, м.Новгород-Сіверський, Новгород-Сіверський р-н, Чернігівська обл., 16000","2358","1175","2303","61","1139","44","1183","","0","1139","44","1183","63","1120","60","100","14","13","163","23","118","29","104","420","70","6","29.10.12"
"740545","207","Чернігівська область","станція юних техніків, зал засідань
вул.Базарна, 24, м.Новгород-Сіверський, Новгород-Сіверський р-н, Чернігівська обл., 16000","2046","979","2013","87","995","72","1067","","0","995","72","1067","62","1005","34","85","6","15","165","14","123","27","85","395","46","10","29.10.12"
"740546","207","Чернігівська область","школа №2, спортивна зала
вул.Воровського, 1, м.Новгород-Сіверський, Новгород-Сіверський р-н, Чернігівська обл., 16000","2286","1259","2247","89","959","68","1027","","0","959","68","1027","28","999","46","96","19","7","147","14","105","45","104","370","35","11","29.10.12"
"740547","207","Чернігівська область","НВК ""Дзвіночок"", спортивна зала
вул.Чкалова, 7А, м.Новгород-Сіверський, Новгород-Сіверський р-н, Чернігівська обл., 16000","1560","761","1554","31","773","26","799","","0","773","26","799","40","759","38","70","6","6","132","11","87","27","67","268","37","10","29.10.12"
"740548","207","Чернігівська область","Новгород-Сіверська центральна районна лікарня ім.І.В. Буяльського, к.2
вул.ім. Шевченка, 17, м.Новгород-Сіверський, Новгород-Сіверський р-н, Чернігівська обл., 16000","228","184","54","44","2","42","44","","0","2","42","44","2","42","0","1","0","0","13","0","2","3","4","18","0","1","01.11.12"
"740549","207","Чернігівська область","Новгород-Сіверська установа виконання покарань №31, кімната виховної роботи
вул.Коротченка, 31, м.Новгород-Сіверський, Новгород-Сіверський р-н, Чернігівська обл., 16000","108","17","91","0","91","0","91","","0","91","0","91","13","78","11","8","4","9","2","5","15","2","1","12","4","5","29.10.12"
"740695","207","Чернігівська область","районний будинок культури, фойє
вул.Червона Площа, 7А, м.Семенівка, Семенівський р-н, Чернігівська обл., 15400","2238","1017","2202","70","1171","50","1221","","0","1171","50","1221","54","1167","55","126","6","12","206","22","147","29","122","389","45","8","29.10.12"
