"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ковшов
Михайло
Геннадійович","Мілейко
Володимир
Володимирович","Слєпцов
Микола
Миколайович","Тихонов
Віктор
Миколайович","Холопов
Олександр
Володимирович","Шакун
Сергій
Вікторович","Юник
Володимир
Йосипович","Дата підписання протоколу"
"440151","113","Луганська область","бібліотека, читальна зала
вул.Центральна, 1А, с.Залиман, Кремінський р-н, Луганська обл., 92916","256","87","249","19","150","19","169","","0","150","19","169","8","161","7","1","29","109","2","0","13","28.10.12"
"440152","113","Луганська область","школа, фойє, 1-й поверх
вул.Шкільна, 1, с.Макіївка, Кремінський р-н, Луганська обл., 92911","472","183","453","38","256","33","289","","0","256","33","289","25","264","8","11","31","174","4","6","30","29.10.12"
"440153","113","Луганська область","будинок культури, фойє
вул.Центральна, 58, с.Нововодяне, Кремінський р-н, Луганська обл., 92912","352","105","346","23","225","22","247","","0","225","22","247","14","233","11","13","24","140","1","26","18","29.10.12"
"440154","113","Луганська область","школа, спортивна зала
вул.Леніна, 116, с.Невське, Кремінський р-н, Луганська обл., 92917","496","172","489","50","277","47","324","","0","277","47","324","32","292","14","8","36","215","2","7","10","29.10.12"
"440155","113","Луганська область","школа, актова зала
кв-л Гагаріна, 22, с.Бараниківка, Кремінський р-н, Луганська обл., 92922","1456","788","1433","70","611","57","668","","0","611","57","668","55","613","22","12","53","356","10","17","143","29.10.12"
"440156","113","Луганська область","школа, спортивна зала
вул.70 років Жовтня, 14, с.Голубівка, Кремінський р-н, Луганська обл., 92920","360","126","349","37","197","37","234","","0","197","37","234","19","215","8","5","29","132","4","10","27","29.10.12"
"440157","113","Луганська область","СТОВ ""Авангард"", фойє
квартал Молодіжний, 18, с.Климівка, Кремінський р-н, Луганська обл., 92921","216","55","211","21","140","21","161","","0","140","21","161","6","155","5","3","27","92","2","10","16","29.10.12"
"440158","113","Луганська область","школа, спортивна зала
вул.Совєтська, 32А, с.Булгаківка, Кремінський р-н, Луганська обл., 92930","392","134","383","33","226","32","258","","0","226","32","258","12","246","6","5","22","165","5","9","34","29.10.12"
"440159","113","Луганська область","школа, коридор, 1-й поверх
вул.Леніна, 45 с.Нова Астрахань, Кремінський р-н, Луганська обл., 92940","1440","719","1423","111","610","111","721","","0","610","111","721","33","688","34","5","64","497","13","8","67","29.10.12"
"440160","113","Луганська область","школа, спортивна зала
вул.Леніна, 1А, с.Єпіфанівка, Кремінський р-н, Луганська обл., 92942","760","308","757","65","395","57","452","","0","0","0","452","21","431","18","4","19","312","7","8","63","30.10.12"
"440161","113","Луганська область","школа, спортивна зала
вул.Леніна, 29А, с.Боровеньки, Кремінський р-н, Луганська обл., 92943","616","192","604","61","368","56","424","","0","368","56","424","22","402","13","5","22","314","3","7","38","29.10.12"
"440162","113","Луганська область","сільська рада, 2-й поверх
вул.Леніна, 127, с.Михайлівка, Кремінський р-н, Луганська обл., 92941","368","139","362","33","200","29","229","","0","200","29","229","7","222","7","3","15","139","3","6","49","29.10.12"
"440163","113","Луганська область","школа, актова зала
вул.Комсомольська, 1, с.Варварівка, Кремінський р-н, Луганська обл., 92934","1152","422","1138","76","657","73","730","","0","657","73","730","27","703","34","16","45","526","6","12","64","29.10.12"
"440164","113","Луганська область","клуб, фойє
вул.Леніна, 85А, с.Новокраснянка, Кремінський р-н, Луганська обл., 92923","976","390","969","107","489","97","586","","0","489","97","586","31","555","12","6","46","380","11","10","90","29.10.12"
"440165","113","Луганська область","школа, спортивна зала
вул.Леніна, 4, с.Червонопопівка, Кремінський р-н, Луганська обл., 92924","896","245","875","67","585","66","651","","0","585","66","651","44","607","12","13","53","420","8","36","65","29.10.12"
"440166","113","Луганська область","школа, спортивна зала
вул.Леніна, 2А, с.Новомикільське, Кремінський р-н, Луганська обл., 92910","760","249","739","110","414","97","511","","0","414","97","511","33","478","20","16","58","299","5","21","59","29.10.12"
"440167","113","Луганська область","сільська рада, каб.1
вул.Шкільна, 1Д, с.Новоолександрівка, Кремінський р-н, Луганська обл., 92910","360","103","357","33","228","29","257","","0","228","29","257","17","240","10","9","29","145","5","9","33","29.10.12"
"440168","113","Луганська область","будинок культури, фойє
вул.Совєтська, 6, с.Кудряшівка, Кремінський р-н, Луганська обл., 92931","1048","352","1043","59","638","58","696","","0","638","58","696","23","673","23","5","47","511","5","23","59","29.10.12"
"440169","113","Луганська область","лікарня, червоний куточок
вул.Побєди, 1А, м.Кремінна, Кремінський р-н, Луганська обл., 92900","104","57","53","24","24","23","47","","0","24","23","47","1","46","0","0","11","28","0","3","4","29.10.12"
"440257","113","Луганська область","районний будинок культури, фойє
вул.Леніна, 25, смт Новоайдар, Новоайдарський р-н, Луганська обл., 93500","1936","729","1893","66","1145","62","1207","","0","1145","62","1207","54","1153","60","22","80","670","19","63","239","29.10.12"
"440258","113","Луганська область","райавтодор, зал засідань
вул.Коваленко, 14, смт Новоайдар, Новоайдарський р-н, Луганська обл., 93500","1136","444","1126","60","634","58","692","","0","634","58","692","40","652","31","11","36","406","14","30","124","29.10.12"
"440259","113","Луганська область","ЗАТ СПФ ""Агротон"", зал засідань
вул.Октябрська, 42, смт Новоайдар, Новоайдарський р-н, Луганська обл., 93500","864","314","848","56","496","54","550","","0","496","54","550","19","531","25","5","11","382","12","17","79","29.10.12"
"440260","113","Луганська область","аграрний ліцей, актовий зал
вул.Пролетарська, 68, смт Новоайдар, Новоайдарський р-н, Луганська обл., 93500","1808","679","1785","86","1059","70","1129","","0","1058","70","1128","45","1083","66","21","78","608","19","61","230","29.10.12"
"440261","113","Луганська область","народний дім, актовий зал
вул.Зарічна, 36, смт Новоайдар, Новоайдарський р-н, Луганська обл., 93500","272","79","270","18","175","18","193","","0","175","18","193","12","181","5","3","9","135","3","8","18","29.10.12"
"440262","113","Луганська область","сільський клуб, актовий зал
вул.Карла Маркса, 223А, с.Айдар-Миколаївка, Новоайдарський р-н, Луганська обл., 93506","768","295","763","56","422","51","473","","0","422","51","473","24","449","16","8","19","277","6","23","100","29.10.12"
"440263","113","Луганська область","школа, спортивний зал
вул.Центральна, 1, с.Бахмутівка, Новоайдарський р-н, Луганська обл., 93541","856","328","838","66","465","63","528","","0","465","63","528","31","497","12","4","17","349","8","6","101","29.10.12"
"440264","113","Луганська область","фельдшерсько-акушерський пункт, к.1
пров.Шкільний, 10/3, с.Царівка, Новоайдарський р-н, Луганська обл., 93542","472","193","462","40","240","39","279","","0","240","39","279","18","261","19","4","11","193","2","6","26","29.10.12"
"440265","113","Луганська область","сільська рада, актовий зал
вул.Радянська, 1А, с.Гречишкине, Новоайдарський р-н, Луганська обл., 93533","1064","374","1037","72","625","65","690","","0","625","65","690","18","672","19","9","22","478","8","26","110","29.10.12"
"440266","113","Луганська область","сільський клуб, актовий зал
вул.Коваленко, 16, с.Безгинове, Новоайдарський р-н, Луганська обл., 93533","120","16","122","11","93","11","104","","0","93","11","104","1","103","2","0","9","73","1","1","17","29.10.12"
"440267","113","Луганська область","школа, спортивний зал
вул.Центральна, 27Б, с.Денежникове, Новоайдарський р-н, Луганська обл., 93511","736","200","713","61","475","61","536","","0","475","61","536","28","508","9","9","9","375","4","11","91","28.10.12"
"440268","113","Луганська область","будинок культури, фойє
площа Миру, 2, с.Дмитрівка, Новоайдарський р-н, Луганська обл., 93540","656","223","642","43","393","40","433","","0","393","40","433","46","387","8","9","14","275","7","11","63","29.10.12"
"440269","113","Луганська область","школа, фойє
вул.Шкільна, 4А, с.Колядівка, Новоайдарський р-н, Луганська обл., 93520","592","151","574","54","390","51","441","","0","390","51","441","24","417","6","4","15","259","3","35","95","28.10.12"
"440270","113","Луганська область","школа, фойє
вул.Мостова, 6В, с.Вовкодаєве, Новоайдарський р-н, Луганська обл., 93521","368","112","360","24","233","23","256","","0","233","23","256","22","234","11","10","21","123","4","5","60","28.10.12"
"440271","113","Луганська область","дитячий садок, к.2
вул.Октябрьська, 14Б, с.Муратове, Новоайдарський р-н, Луганська обл., 93535","432","157","423","30","249","26","275","","0","249","26","275","14","261","17","4","16","182","3","21","18","29.10.12"
"440272","113","Луганська область","Капітанівське лісництво, к.1
вул.Кірова, 32, с.Капітанове, Новоайдарський р-н, Луганська обл., 93536","128","41","122","13","76","11","87","","0","76","11","87","4","83","0","2","8","61","1","5","6","29.10.12"
"440273","113","Луганська область","адміністративна будівля, кабінет сільського голови
вул.Радянська, 27В/1, с.Новоохтирка, Новоайдарський р-н, Луганська обл., 93530","696","248","685","55","399","49","448","","0","399","49","448","32","416","11","12","15","290","6","14","68","29.10.12"
"440274","113","Луганська область","школа-гімназія, фойє
Центральна площа, 2, с.Олексіївка, Новоайдарський р-н, Луганська обл., 93522","680","197","667","40","443","40","483","","0","443","40","483","28","455","16","13","11","314","6","14","81","29.10.12"
"440275","113","Луганська область","школа, фойє
вул.Центральна площа, 2, с.Михайлюки, Новоайдарський р-н, Луганська обл., 93524","352","104","342","19","229","19","248","","0","229","19","248","8","240","3","6","10","92","1","6","122","29.10.12"
"440276","113","Луганська область","школа, фойє
вул.Будьонного, 12, с-ще Побєда, Новоайдарський р-н, Луганська обл., 93523","432","165","418","18","249","18","267","","0","249","18","267","15","252","10","8","14","183","4","8","25","29.10.12"
"440277","113","Луганська область","будинок культури, фойє
вул.Нова, будинок культури, с.Райгородка, Новоайдарський р-н, Луганська обл., 93543","1448","607","1427","67","776","65","841","","0","776","65","841","52","789","16","10","30","564","15","15","139","29.10.12"
"440278","113","Луганська область","школа, актовий зал
вул.Леніна, 95, с.Смолянинове, Новоайдарський р-н, Луганська обл., 93532","840","281","824","66","498","61","559","","0","498","61","559","22","537","27","11","37","360","12","34","56","29.10.12"
"440279","113","Луганська область","будинок культури, актовий зал
вул.Совєтська, 12, с.Співаківка, Новоайдарський р-н, Луганська обл., 93512","344","95","339","32","220","29","249","","0","220","29","249","12","237","1","3","8","179","2","3","41","28.10.12"
"440280","113","Луганська область","школа, фойє
вул.Миру, 26, с.Чабанівка, Новоайдарський р-н, Луганська обл., 93513","424","133","417","35","258","33","291","","0","258","33","291","17","274","12","13","14","187","4","3","41","29.10.12"
"440281","113","Луганська область","Піщане лісництво, червоний куток
вул.Крупська, 20, с.Олександрівка, Новоайдарський р-н, Луганська обл., 93515","240","75","234","14","153","12","165","","0","153","12","165","8","157","6","5","7","114","4","1","20","28.10.12"
"440282","113","Луганська область","будинок культури, танцзал
вул.Леніна, 36, с.Штормове, Новоайдарський р-н, Луганська обл., 93510","880","321","875","72","490","69","559","","0","490","69","559","26","533","11","1","33","326","4","31","127","29.10.12"
"440283","113","Луганська область","обласний психоневрологічний інтернат, приймальня
вул.Леніна, 32А, с.Дмитрівка, Новоайдарський р-н, Луганська обл., 93540","224","41","214","63","122","61","183","","0","122","61","183","54","129","15","14","12","56","10","8","14","29.10.12"
"440425","113","Луганська область","клуб, к.3
кв.ім.С.П.Петрова, 6, с-ще Сосновий, м.Сватове, Сватівський р-н, Луганська обл., 92606","216","35","225","9","173","8","181","","0","173","8","181","9","172","2","1","2","157","0","7","3","28.10.12"
"440426","113","Луганська область","Сватівська школа №1, коридор
пл.ім.Шевченка, 28А, м.Сватове, Сватівський р-н, Луганська обл., 92600","1360","594","1350","54","720","46","766","","0","720","46","766","50","716","40","6","36","454","7","45","128","29.10.12"
"440427","113","Луганська область","Сватівська школа №6, коридор
вул.ім.Шевченка, 10, м.Сватове, Сватівський р-н, Луганська обл., 92600","1080","474","1068","35","576","30","606","","0","576","30","606","19","587","40","7","30","372","7","39","92","28.10.12"
"440428","113","Луганська область","народний дім ""Сватова-Лучка"", фойє
пл.Радянська, 43, м.Сватове, Сватівський р-н, Луганська обл., 92600","1720","835","1689","65","835","50","885","","0","835","50","885","54","831","56","9","31","547","11","68","109","29.10.12"
"440429","113","Луганська область","школа мистецтв імені В.Зінкевича, к.8
пл.50-річчя Перемоги, 25, м.Сватове, Сватівський р-н, Луганська обл., 92600","1759","887","1709","59","823","49","872","","0","823","49","872","49","823","59","6","48","480","21","63","146","29.10.12"
"440430","113","Луганська область","гімназія імені В.Сосюри, к.3
пл.50-річчя Перемоги, 35, м.Сватове, Сватівський р-н, Луганська обл., 92600","1864","853","1852","126","895","116","1011","","0","895","116","1011","49","962","54","10","50","579","16","61","192","29.10.12"
"440431","113","Луганська область","Сватівська школа №2, к.29
вул.Весела, 2, м.Сватове, Сватівський р-н, Луганська обл., 92600","1816","823","1809","69","940","53","993","","0","940","53","993","66","927","70","17","60","557","12","66","145","29.10.12"
"440432","113","Луганська область","автоклас Сватівської школи №2, к.10
вул.Весела, 140, м.Сватове, Сватівський р-н, Луганська обл., 92600","1328","604","1306","49","679","45","724","","0","679","45","724","32","692","37","9","31","461","14","50","90","29.10.12"
"440433","113","Луганська область","клуб залізничників, к.2
кв-л Залізничників, 12, м.Сватове, Сватівський р-н, Луганська обл., 92600","2000","948","1965","44","1016","36","1052","","0","1016","36","1052","50","1001","70","13","49","628","20","83","138","28.10.12"
"440434","113","Луганська область","Сватівська школа №8, коридор
пров.Промисловий, 15, м.Сватове, Сватівський р-н, Луганська обл., 92600","2184","1073","2160","95","1022","89","1111","","0","1022","89","1111","49","1062","65","14","50","679","11","65","178","29.10.12"
"440435","113","Луганська область","Петрівська школа, коридор
вул.Шкільна, 10, с.Петрівка, Сватівський р-н, Луганська обл., 92652","656","204","643","39","416","36","452","","0","416","36","452","20","432","15","8","18","265","8","27","91","28.10.12"
"440436","113","Луганська область","Комсомольська школа, коридор, кл.2
вул.Шевченка, 9, с-ще Комсомольський, Сватівський р-н, Луганська обл., 92653","144","23","146","10","111","10","121","","0","111","10","121","3","118","4","0","10","66","1","8","29","28.10.12"
"440437","113","Луганська область","Рудівська школа-дитсад, коридор
пл.Перемоги, 18, с.Рудівка, Сватівський р-н, Луганська обл., 92650","576","182","572","57","339","55","394","","0","339","55","394","22","372","22","5","27","174","2","69","73","28.10.12"
"440438","113","Луганська область","Круглівська школа, фойє
вул.Жовтнева, 29, с.Кругле, Сватівський р-н, Луганська обл., 92651","264","84","261","35","148","32","180","","0","148","32","180","7","173","4","3","11","119","1","10","25","29.10.12"
"440439","113","Луганська область","сільська рада, актова зала
вул.Будьоного, 86, с.Первомайськ, Сватівський р-н, Луганська обл., 92643","288","102","279","23","163","23","186","","0","163","23","186","13","173","6","1","6","119","0","22","19","29.10.12"
"440440","113","Луганська область","Гончарівський Центр дозвілля, актова зала, к.1
вул.Гаєвого, 1, с.Гончарівка, Сватівський р-н, Луганська обл., 92631","1008","349","999","51","609","50","659","","0","0","0","658","62","596","30","13","23","420","8","39","63","30.10.12"
"440441","113","Луганська область","сільський будинок культури, фойє
вул.Садова, 24, с.Хомівка, Сватівський р-н, Луганська обл., 92632","408","112","406","16","281","15","296","","0","281","15","296","23","273","9","5","14","193","7","3","42","28.10.12"
"440442","113","Луганська область","фельдшерський пункт, зала
вул.Гагаріна, 3, с.Кривошиївка, Сватівський р-н, Луганська обл., 92620","136","56","129","12","72","8","80","","0","72","8","80","4","76","2","2","5","36","3","10","18","29.10.12"
"440443","113","Луганська область","Куземівська школа, коридор
вул.Молодіжна, 14, с.Куземівка, Сватівський р-н, Луганська обл., 92620","456","159","452","40","257","40","297","","0","257","40","297","20","277","14","6","23","152","1","13","68","28.10.12"
"440444","113","Луганська область","фельдшерський пункт, зала
вул.Центральна, 5, с-ще Новоселівське, Сватівський р-н, Луганська обл., 92621","424","126","417","24","274","24","298","","0","274","24","298","25","273","13","6","13","149","3","24","65","29.10.12"
"440445","113","Луганська область","фельдшерський пункт, зала
вул.Весела, 12/2, с.Володимирівка, Сватівський р-н, Луганська обл., 92621","96","35","90","8","54","7","61","","0","54","7","61","6","55","1","2","2","34","0","7","9","29.10.12"
"440446","113","Луганська область","сільська рада, кабінет сільського голови
вул.Першотравнева, 25, с.Коломийчиха, Сватівський р-н, Луганська обл., 92622","432","105","427","37","291","36","327","","0","291","36","327","8","319","11","4","16","229","4","14","41","28.10.12"
"440447","113","Луганська область","Стельмахівська школа, фойє
вул.Шкільна, 5, с.Стельмахівка, Сватівський р-н, Луганська обл., 92623","328","124","321","29","184","20","204","","0","184","20","204","16","188","8","8","24","99","3","8","38","29.10.12"
"440448","113","Луганська область","Райгородська школа, спортзал
вул.Конопліна, 4, с.Райгородка, Сватівський р-н, Луганська обл., 92624","456","159","447","41","258","39","297","","0","258","39","297","26","271","22","11","11","130","7","27","63","28.10.12"
"440449","113","Луганська область","сільська рада, коридор
вул.Жовтнева, 32, с.Ковалівка, Сватівський р-н, Луганська обл., 92625","432","167","428","54","218","47","265","","0","218","47","265","20","245","17","4","21","146","3","26","28","29.10.12"
"440450","113","Луганська область","Мілуватська школа, спортзал
вул.Радянська, 45, с.Мілуватка, Сватівський р-н, Луганська обл., 92633","1856","836","1846","124","911","109","1020","","0","911","109","1020","60","960","31","17","55","652","19","85","101","28.10.12"
"440451","113","Луганська область","Містківська початкова школа, спортзал
вул.Кооперативна, 32, с.Містки, Сватівський р-н, Луганська обл., 92654","856","301","849","52","510","45","555","","0","510","45","555","27","528","11","2","23","404","4","45","39","29.10.12"
"440452","113","Луганська область","Містківська школа, спортзал
вул.Степова, 1А, с.Містки, Сватівський р-н, Луганська обл., 92654","888","417","878","32","447","24","471","","0","447","24","471","34","437","24","5","37","215","5","37","114","29.10.12"
"440453","113","Луганська область","приватна агрофірма ""Мрія"", актова зала
вул.Центральна, 7, с.Чепигівка, Сватівський р-н, Луганська обл., 92655","176","39","163","15","122","15","137","","0","122","15","137","9","128","3","1","5","52","2","32","33","28.10.12"
"440454","113","Луганська область","Нижньодуванська школа, актова зала
вул.Леніна, 65, смт Нижня Дуванка, Сватівський р-н, Луганська обл., 92612","1648","726","1630","182","768","154","922","","0","768","154","922","66","856","54","15","35","488","12","51","201","29.10.12"
"440455","113","Луганська область","колишня Новониканорівська школа, спортзал
вул.Кірова, 123, с.Новониканорівка, Сватівський р-н, Луганська обл., 92613","296","108","285","24","166","22","188","","0","166","22","188","14","174","3","3","9","116","5","10","28","28.10.12"
"440456","113","Луганська область","будинок культури, фойє
вул.Радянська, 37, с.Оборотнівка, Сватівський р-н, Луганська обл., 92614","464","121","454","34","310","33","343","","0","310","33","343","8","335","9","10","13","224","3","4","72","29.10.12"
"440457","113","Луганська область","сільський клуб, фойє
вул.Лугова, 55, с.Наугольне, Сватівський р-н, Луганська обл., 92615","152","46","150","12","97","9","106","","0","97","9","106","1","105","1","1","0","85","1","10","7","28.10.12"
"440458","113","Луганська область","Верхньодуванська школа, спортзал
вул.Шкільна, 1, с.Верхня Дуванка, Сватівський р-н, Луганська обл., 92610","336","132","331","25","182","22","204","","0","182","22","204","13","191","6","1","16","128","1","9","30","29.10.12"
"440459","113","Луганська область","Преображенська школа, спортзал
вул.Шевченка, 5, с.Преображенне, Сватівський р-н, Луганська обл., 92630","600","187","586","71","346","67","413","","0","346","67","413","32","381","28","8","22","224","5","56","38","28.10.12"
"440460","113","Луганська область","сільський будинок культури, танцювальна зала
вул.Леніна, 1А, с.Свистунівка, Сватівський р-н, Луганська обл., 92642","472","153","464","79","252","67","319","","0","252","67","319","36","283","23","6","19","163","3","32","37","28.10.12"
"440461","113","Луганська область","сільський клуб, актова зала
вул.Центральна, 29, с.Маньківка, Сватівський р-н, Луганська обл., 92640","352","108","350","42","206","38","244","","0","206","38","244","15","229","22","6","35","108","2","19","37","29.10.12"
"440557","113","Луганська область","учбовий центр підготовки та підвищення кваліфікації, бібліотека, 1-й поверх
вул.ІІІ Інтернаціоналу, 2, м.Старобільськ, Старобільський р-н, Луганська обл., 92703","1152","544","1146","25","585","23","608","","0","585","23","608","43","565","30","5","74","272","5","31","148","29.10.12"
"440558","113","Луганська область","гімназія, спортивна зала, 1-й поверх
вул.Володарського, 25, м.Старобільськ, Старобільський р-н, Луганська обл., 92703","816","368","800","27","421","27","448","","0","421","27","448","12","436","19","4","47","210","5","14","137","29.10.12"
"440559","113","Луганська область","школа №3, спортивна зала, 1-й поверх
вул.Жовтнева, 17, м.Старобільськ, Старобільський р-н, Луганська обл., 92703","952","403","943","27","524","25","549","","0","524","25","549","23","526","29","2","42","266","4","22","161","29.10.12"
"440560","113","Луганська область","профліцей Луганського національного університету ім.Т.Г.Шевченка, актова зала, 2-й поверх
пл.Гоголя, 1, м.Старобільськ, Старобільський р-н, Луганська обл., 92703","1472","797","1464","38","644","31","675","","0","644","31","675","23","652","32","6","49","315","13","37","200","29.10.12"
"440561","113","Луганська область","колишній дитячий садок ТОВ ""Старобільський елеватор"", актова зала, 1-й поверх
вул.Свободи, 1А, м.Старобільськ, Старобільський р-н, Луганська обл., 92702","1840","995","1820","52","794","51","845","","0","794","51","845","51","794","36","8","56","417","4","45","228","29.10.12"
"440562","113","Луганська область","школа №1, спортивна зала, 1-й поверх
вул.Андрющенка, 118, м.Старобільськ, Старобільський р-н, Луганська обл., 92701","1480","790","1463","40","657","33","690","","0","657","33","690","40","650","28","3","35","343","10","28","203","29.10.12"
"440563","113","Луганська область","адмінбудівля колишнього ремонтно-транспортного підприємства, актова зала, 2-й поверх
вул.Рози Люксембург, 78, м.Старобільськ, Старобільський р-н, Луганська обл., 92701","1744","880","1717","44","827","37","864","","0","827","37","864","49","815","18","8","78","374","10","34","293","29.10.12"
"440564","113","Луганська область","районний Будинок культури ім.Т.Г.Шевченка, фойє, 1-й поверх
вул.Комунарів, 33, м.Старобільськ, Старобільський р-н, Луганська обл., 92703","1680","839","1662","37","806","35","841","","0","806","35","841","40","801","54","10","85","333","9","43","267","29.10.12"
"440565","113","Луганська область","професійний ліцей, їдальня, 1-й поверх
кв-л Ватутіна, 9, м.Старобільськ, Старобільський р-н, Луганська обл., 92704","2048","976","2029","48","1026","46","1072","","0","1026","46","1072","51","1021","51","10","96","488","9","44","323","28.10.12"
"440566","113","Луганська область","школа №4, актова зала, 2-й поверх
кв-л Ватутіна, школа №4, м.Старобільськ, Старобільський р-н, Луганська обл., 92704","1544","737","1532","34","780","27","807","","0","780","27","807","33","774","40","4","74","337","13","33","273","29.10.12"
"440567","113","Луганська область","медичне училище, актова зала, 1-й поверх
вул.Старотаганрозька, 30, м.Старобільськ, Старобільський р-н, Луганська обл., 92703","1840","839","1826","47","960","41","1001","","0","960","41","1001","47","954","44","13","72","502","7","39","277","29.10.12"
"440568","113","Луганська область","сільський клуб, фойє
вул.Красна, 1В, с.Байдівка, Старобільський р-н, Луганська обл., 92763","880","362","871","77","447","71","518","","0","447","71","518","15","503","15","6","39","211","2","11","219","29.10.12"
