"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бебешко
Олександр
Миколайович","Горулько
Юлія
Олександрівна","Жученко
Олександр
Вікторович","Іванов
Дмитро
Валерійович","Кириченко
Микола
Єгорович","Лисянський
Павло
Леонідович","Саліхов
Артем
Романович","Чуб
Володимир
Євгенович","Дата підписання протоколу"
"440205","110","Луганська область","бібліотека, актова зала
вул.Першотравнева, 122, с.Іллірія, Лутугинський р-н, Луганська обл., 92018","822","241","804","42","539","42","581","","0","539","42","581","23","558","118","5","57","10","11","22","10","325","28.10.12"
"440627","110","Луганська область","дитячий садок №28 ""Буратіно"", музична зала
вул.Піонерська, 2, м.Алчевськ, Луганська обл., 94202","702","268","686","18","420","14","434","","0","420","14","434","36","398","67","7","111","13","43","9","6","142","28.10.12"
"440628","110","Луганська область","навчально-виховний комплекс ""Злагода"", спортивна зала
вул.Центральна, 15А, м.Алчевськ, Луганська обл., 94202","1128","559","1109","54","530","39","569","","0","530","39","569","35","534","52","15","168","8","47","9","2","233","29.10.12"
"440629","110","Луганська область","навчально-виховний комплекс ""Злагода"", актова зала
вул.Центральна, 15А, м.Алчевськ, Луганська обл., 94202","1224","629","1191","71","543","52","595","","0","543","52","595","36","559","72","6","187","9","54","9","6","216","29.10.12"
"440630","110","Луганська область","навчально-виховний комплекс ""Світанок"", спортивна зала
вул.Чайковського, 6, м.Алчевськ, Луганська обл., 94203","1722","854","1707","70","807","61","868","","0","807","61","868","42","826","97","6","207","15","97","16","7","381","29.10.12"
"440631","110","Луганська область","навчально-виховний комплекс ""Світанок"", фойє
вул.Чайковського, 6, м.Алчевськ, Луганська обл., 94203","2304","1358","2307","51","909","37","946","","0","908","37","945","63","882","76","15","206","25","96","26","6","432","30.10.12"
"440632","110","Луганська область","музична школа №1, фойє, 2-й поверх
вул.Московська, 3, м.Алчевськ, Луганська обл., 94204","1536","615","1517","49","880","41","921","","0","880","41","921","40","881","91","13","201","18","174","45","3","336","29.10.12"
"440633","110","Луганська область","Донбаський державний технічний університет, 6-й корпус, фойє, 2-й поверх
вул.Набережна, 10, м.Алчевськ, Луганська обл., 94204","1662","883","1586","44","743","36","779","","0","743","36","779","58","721","116","8","116","17","162","27","4","271","29.10.12"
"440634","110","Луганська область","школа №3, вестибюль
вул.Горького, 24, м.Алчевськ, Луганська обл., 94201","1608","701","1584","53","861","46","907","","0","861","46","907","47","860","131","11","226","27","106","36","7","316","29.10.12"
"440635","110","Луганська область","навчально-виховний комплекс ""Дипломат"", фойє
вул.Набережна, 2, м.Алчевськ, Луганська обл., 94201","1740","772","1696","39","939","29","968","","0","939","29","968","51","917","107","12","321","25","102","32","8","310","29.10.12"
"440636","110","Луганська область","палац культури ""Хімік"", фойє
вул.Кірова, 19, м.Алчевськ, Луганська обл., 94201","1584","758","1556","69","769","57","826","","0","769","57","826","41","785","137","9","167","27","93","27","5","320","29.10.12"
"440637","110","Луганська область","палац культури ""Хімік"", танцювальна зала
вул.Кірова, 19, м.Алчевськ, Луганська обл., 94201","1578","743","1552","35","805","30","835","","0","805","30","835","40","795","93","16","235","20","69","24","7","331","29.10.12"
"440638","110","Луганська область","школа №24, фойє
вул.Франка, 76, м.Алчевськ, Луганська обл., 94201","2310","1130","2267","71","1113","67","1180","","0","1113","67","1180","65","1115","167","6","244","40","110","51","11","486","29.10.12"
"440639","110","Луганська область","колишнє тролейбусне управління, червоний куток
вул.Кірова, 72, м.Алчевськ, Луганська обл., 94222","2208","1092","2181","115","1031","84","1115","","0","1031","84","1115","57","1058","110","20","254","39","144","24","8","459","29.10.12"
"440640","110","Луганська область","Алчевське виробниче управління водопровідно-каналізаційного господарства, зала засідань
вул.Філатова, 19, м.Алчевськ, Луганська обл., 94217","1680","871","1662","85","735","74","809","","0","735","74","809","47","762","96","15","146","16","78","33","6","372","29.10.12"
"440641","110","Луганська область","центр дитячо-юнацької творчості, фойє, 2-й поверх
вул.Горького, 55, м.Алчевськ, Луганська обл., 94204","1650","808","1608","63","788","54","842","","0","788","54","842","53","789","127","19","151","19","128","27","3","315","29.10.12"
"440642","110","Луганська область","спортивна школа №2, спортивна зала
вул.Горького, 55А, м.Алчевськ, Луганська обл., 94204","1686","806","1672","54","831","49","880","","0","831","49","880","55","825","96","13","212","17","107","31","11","338","29.10.12"
"440643","110","Луганська область","спеціалізована школа №22, вестибюль
вул.Московська, 17, м.Алчевськ, Луганська обл., 94213","1362","590","1344","53","722","50","772","","0","722","50","772","53","719","91","13","134","15","103","42","8","313","29.10.12"
"440644","110","Луганська область","Донбаський державний технічний університет, головний корпус, зала слави
пр.Леніна, 16, м.Алчевськ, Луганська обл., 94204","2184","979","2190","60","1156","49","1205","","0","1156","49","1205","76","1129","174","23","244","28","144","39","10","467","29.10.12"
"440645","110","Луганська область","Донбаський державний технічний університет, 6-й корпус, хол, 1-й поверх
вул.Набережна, 10, м.Алчевськ, Луганська обл., 94204","2298","1207","2271","50","1050","41","1091","","0","1050","41","1091","65","1026","119","15","272","32","125","42","11","410","29.10.12"
"440646","110","Луганська область","Алчевський дитячо-юнацький центр туризму, екскурсій і краєзнавства, фойє
вул.Липовенка, 20, м.Алчевськ, Луганська обл., 94213","2382","1043","2342","54","1297","42","1339","","0","1297","42","1339","72","1267","175","17","392","31","162","49","13","428","29.10.12"
"440647","110","Луганська область","Алчевська українська гуманітарна гімназія, вестибюль
вул.Гагаріна, 35, м.Алчевськ, Луганська обл., 94213","2082","955","2047","53","1083","44","1127","","0","1083","44","1127","48","1079","87","19","352","22","132","31","9","427","29.10.12"
"440648","110","Луганська область","школа №17, вестибюль
вул.Гагаріна, 34, м.Алчевськ, Луганська обл., 94213","2405","1117","2365","71","1230","58","1288","","0","1230","58","1288","87","1201","154","17","354","32","115","43","11","475","29.10.12"
"440649","110","Луганська область","Алчевська українська гуманітарна гімназія, спортивна зала
вул.Гагаріна, 35, м.Алчевськ, Луганська обл., 94213","2460","1079","2411","100","1317","64","1381","","0","1317","64","1381","95","1286","153","23","358","33","158","48","12","501","29.10.12"
"440650","110","Луганська область","будівля колишньої школи №23, хол, 1-й поверх
вул.Запорізька, 161, м.Алчевськ, Луганська обл., 94200","2448","1020","2397","122","1309","119","1428","","0","1309","119","1428","79","1349","182","11","368","32","166","41","8","541","29.10.12"
"440651","110","Луганська область","будівля колишньої школи №23, хол, 2-й поверх
вул.Запорізька, 161, м.Алчевськ, Луганська обл., 94200","1764","840","1728","33","897","27","924","","0","897","27","924","52","872","118","12","263","19","102","22","9","327","29.10.12"
"440652","110","Луганська область","школа №7, хол, 1-й поверх молодшої школи
вул.Станіславського, 7, м.Алчевськ, Луганська обл., 94214","2370","1203","2328","72","1108","59","1167","","0","1108","59","1167","64","1103","155","13","254","19","166","42","8","446","29.10.12"
"440653","110","Луганська область","школа №7, хол, 1-й поверх старшої школи
вул.Станіславського, 7, м.Алчевськ, Луганська обл., 94214","2292","894","2250","54","1351","47","1398","","0","1351","47","1398","82","1316","161","12","353","38","149","42","13","548","29.10.12"
"440654","110","Луганська область","дитячий садок №7 ""Золота рибка"", музична зала
вул.Гмирі, 32А, м.Алчевськ, Луганська обл., 94214","2298","1014","2268","57","1238","46","1284","","0","1238","46","1284","83","1201","172","17","292","39","133","46","15","487","29.10.12"
"440655","110","Луганська область","Алчевська інформаційно-технологічна гімназія, рекреація, 2-й поверх, ліворуч
вул.Леніна, 122А, м.Алчевськ, Луганська обл., 94214","1740","848","1706","22","876","16","892","","0","876","16","892","58","834","130","13","171","33","100","47","4","336","29.10.12"
