"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Демішкан
Володимир
Федорович","Запорожець
Іван
Іванович","Ільїнова
Лідія
Рефатівна","Кравченко
Ольга
Ігнатівна","Сивоконь
Тетяна
Семенівна","Черенков
Олександр
Павлович","Чудовський
Андрій
Ігорович","Штомпель
Віталій
Олександрович","Дата підписання протоколу"
"440226","114","Луганська область","школа, коридор
вул.Єременка, 1, с.Сичанське, Марківський р-н, Луганська обл., 92440","616","242","602","41","334","40","374","","0","334","40","374","16","358","219","23","12","41","52","3","5","3","29.10.12"
"440227","114","Луганська область","гімназія, спортивний зал
вул.Радянська, 18, с.Караван-Солодкий, Марківський р-н, Луганська обл., 92441","584","163","567","26","398","23","421","","0","398","23","421","6","415","285","19","21","42","38","5","3","2","28.10.12"
"440228","114","Луганська область","сільська рада, к.1
вул.Леніна, 13А, с.Лісна Поляна, Марківський р-н, Луганська обл., 92430","704","251","686","62","398","55","453","","0","398","55","453","14","439","266","39","4","26","73","24","3","4","28.10.12"
"440229","114","Луганська область","сільський клуб, хол
вул.Пушкіна, 28А, с.Марківське, Марківський р-н, Луганська обл., 92433","192","43","193","15","140","9","149","","0","140","9","149","9","140","92","7","0","7","28","4","1","1","29.10.12"
"440230","114","Луганська область","сільський клуб, актова зала
вул.Мічуріна, 6, с.Тишківка, Марківський р-н, Луганська обл., 94434","248","63","239","35","151","34","185","","0","151","34","185","6","179","100","8","6","13","45","4","2","1","28.10.12"
"440231","114","Луганська область","школа, спортивний зал
вул.Шкільна, 10, с.Красне Поле, Марківський р-н, Луганська обл., 92410","520","178","514","59","287","55","342","","0","287","55","342","5","337","162","43","17","33","55","8","11","8","28.10.12"
"440232","114","Луганська область","школа, спортивний зал
вул.Радянська, 58, с.Височинівка, Марківський р-н, Луганська обл., 92411","376","90","376","21","267","19","286","","0","267","19","286","8","278","183","5","3","7","60","12","5","3","28.10.12"
"440233","114","Луганська область","сільська рада, к.3
вул.Жовтнева, 13, с.Гераськівка, Марківський р-н, Луганська обл., 92413","256","70","251","22","166","20","186","","0","166","20","186","4","182","127","10","1","14","24","3","1","2","28.10.12"
"440234","114","Луганська область","фельдшерсько-акушерський пункт, к.2
вул.Колгоспна, 1Б, с.Тернівка, Марківський р-н, Луганська обл., 92415","168","52","165","11","106","10","116","","0","106","10","116","5","111","68","5","5","9","19","1","1","3","28.10.12"
"440235","114","Луганська область","фельдшерсько-акушерський пункт, к.3
вул.Гагаріна, 17А, с.Рудівка, Марківський р-н, Луганська обл., 92414","88","22","84","10","56","10","66","","0","56","10","66","3","63","43","4","0","5","10","1","0","0","28.10.12"
"440236","114","Луганська область","школа, хол
вул.Кірова, 9, с.Просяне, Марківський р-н, Луганська обл., 92420","352","92","342","20","241","19","260","","0","241","19","260","2","258","155","18","6","19","46","4","4","6","28.10.12"
"440237","114","Луганська область","школа, хол
вул.Матросова, 21, с.Розсохувате, Марківський р-н, Луганська обл., 92421","240","48","237","12","180","12","192","","0","180","12","192","3","189","104","14","4","20","39","4","2","2","29.10.12"
"440238","114","Луганська область","школа, спортивний зал
вул.Леніна, 118, с.Кабичівка, Марківський р-н, Луганська обл., 92422","664","201","647","70","399","64","463","","0","399","64","463","3","460","312","27","13","25","73","2","3","5","29.10.12"
"440239","114","Луганська область","школа, спортивний зал
вул.40 років Перемоги, 50, с.Веселе, Марківський р-н, Луганська обл., 92423","272","80","269","18","174","18","192","","0","174","18","192","4","188","143","7","7","6","22","1","1","1","29.10.12"
"440240","114","Луганська область","Міловська дитяча школа мистецтв, клас хореографії, 1-й поверх
вул.Леніна, 1, смт Мілове, Міловський р-н, Луганська обл., 92500","1688","867","1673","69","763","58","821","","0","763","58","821","27","794","566","29","17","54","107","7","7","7","28.10.12"
"440241","114","Луганська область","Міловський районний будинок культури, фойє, 1-й поверх
вул.Первомайська, 17, смт Мілове, Міловський р-н, Луганська обл., 92500","2264","1104","2231","71","1105","55","1160","","0","1105","55","1160","27","1133","740","33","43","85","189","18","11","14","29.10.12"
"440242","114","Луганська область","сільський клуб, актовий зал
вул.Клубна, 1, с.Травневе, Міловський р-н, Луганська обл., 92506","304","159","292","6","140","5","145","","0","140","5","145","3","142","99","2","5","13","17","2","3","1","29.10.12"
"440243","114","Луганська область","Великоцька школа, фойє, 1-й поверх
вул.Красногорська, 1, с.Великоцьк, Міловський р-н, Луганська обл., 92505","1248","580","1228","95","594","74","668","","0","594","74","668","25","643","432","22","20","25","118","11","10","5","29.10.12"
"440244","114","Луганська область","Зориківська школа, спортивний зал, 1-й поверх
вул.Совєтська, 43, с.Зориківка, Міловський р-н, Луганська обл., 92523","512","161","497","33","322","29","351","","0","322","29","351","7","344","236","12","6","18","59","7","4","2","28.10.12"
"440245","114","Луганська область","сільський клуб, фойє
вул.Леніна, 123, с.Півнівка, Міловський р-н, Луганська обл., 92523","280","87","273","18","175","18","193","","0","175","18","193","2","191","136","6","4","3","30","8","2","2","28.10.12"
"440246","114","Луганська область","Микільська школа, фойє, 1-й поверх
вул.Леніна, 72А, с.Микільське, Міловський р-н, Луганська обл., 92510","632","212","629","52","368","52","420","","0","368","52","420","9","411","302","21","9","23","43","4","4","5","29.10.12"
"440247","114","Луганська область","сільський клуб, фойє
вул.Ювілейна, 41А, с.Микільське, Міловський р-н, Луганська обл., 92511","320","123","315","25","174","23","197","","0","174","23","197","8","189","118","8","8","16","34","2","1","2","28.10.12"
"440248","114","Луганська область","Дібровська школа, спортивний зал
вул.Радянська, 1А, с.Діброва, Міловський р-н, Луганська обл., 92513","256","84","255","15","161","11","172","","0","161","11","172","3","169","100","1","4","12","47","2","2","1","28.10.12"
"440249","114","Луганська область","Морозівська школа, фойє, 1-й поверх
вул.50 років Жовтня, 24А, с.Морозівка, Міловський р-н, Луганська обл., 92520","704","276","685","41","391","37","428","","0","391","37","428","8","420","303","9","7","22","30","44","4","1","29.10.12"
"440250","114","Луганська область","Зоринівський елеватор, адміністративний будинок, актовий зал, 1-й поверх
вул.Залізнодорожна, 2А, с.Зоринівка, Міловський р-н, Луганська обл., 92522","240","98","233","17","126","16","142","","0","126","16","142","2","140","116","2","2","4","9","6","1","0","29.10.12"
"440251","114","Луганська область","сільський клуб, глядацький зал
вул.Придорожна, 34А, с.Шелестівка, Міловський р-н, Луганська обл., 92521","208","70","201","26","113","25","138","","0","113","25","138","3","135","89","4","2","10","27","2","1","0","29.10.12"
"440252","114","Луганська область","Мусіївська школа, фойє, 1-й поверх
вул.Радянська, 40, с.Мусіївка, Міловський р-н, Луганська обл., 92533","568","250","550","37","283","35","318","","0","283","35","318","7","311","195","15","7","18","63","11","2","0","28.10.12"
"440253","114","Луганська область","сільський будинок культури, танцювальний зал, 1-й поверх
пл.Центральна, 22, с.Новострільцівка, Міловський р-н, Луганська обл., 92540","856","394","836","74","390","72","462","","0","390","70","460","11","449","253","15","8","16","134","14","6","3","31.10.12"
"440254","114","Луганська область","Стрільцівська школа, коридор
вул.Садова, 1, с.Стрільцівка, Міловський р-н, Луганська обл., 92530","360","106","356","31","226","28","254","","0","226","28","254","10","244","169","5","7","35","24","0","3","1","30.10.12"
"440255","114","Луганська область","сільський клуб, фойє
вул.Степова, 10, с.Новомикільське, Міловський р-н, Луганська обл., 92531","256","75","252","16","166","15","181","","0","166","15","181","2","179","113","9","5","18","23","9","1","1","29.10.12"
"440256","114","Луганська область","Калмиківська школа, коридор
вул.Центральна, 23, с.Калмиківка, Міловський р-н, Луганська обл., 92532","408","147","403","29","232","29","261","","0","232","29","261","3","258","207","6","2","10","28","0","3","2","28.10.12"
"440284","114","Луганська область","школа, учбовий клас
вул.Побєди, 29, с.Березівка, Новопсковський р-н, Луганська обл., 92314","240","68","232","17","155","17","172","","0","155","17","172","3","169","146","2","3","3","12","1","0","2","31.10.12"
"440285","114","Луганська область","будинок культури, кабінет червоного куточка
вул.Центральна, 13, с.Танюшівка, Новопсковський р-н, Луганська обл., 92312","544","183","536","79","285","76","361","","0","285","76","361","8","353","251","20","9","19","47","1","5","1","28.10.12"
"440286","114","Луганська область","контора ТОВ ""Технаука"", кабінет керівника
вул.Комсомольська, 31, с.Соснівка, Новопсковський р-н, Луганська обл., 92313","224","83","221","29","113","28","141","","0","113","28","141","1","140","109","9","2","2","16","1","0","1","28.10.12"
"440287","114","Луганська область","будинок культури, глядацький зал
вул.1 Травня, 5, смт Білолуцьк, Новопсковський р-н, Луганська обл., 92322","1320","562","1281","104","668","90","758","","0","668","90","758","21","737","354","148","28","62","122","9","8","6","29.10.12"
"440288","114","Луганська область","приміщення підприємця Савченко, кімната пошти, к.2
вул.Куйбишева, 46, смт Білолуцьк, Новопсковський р-н, Луганська обл., 92322","912","377","900","92","447","88","535","","0","447","88","535","5","530","242","107","5","44","119","7","2","4","29.10.12"
"440289","114","Луганська область","Білолуцька гімназія, приміщення їдальні
вул.Чернишової, 15А, смт Білолуцьк, Новопсковський р-н, Луганська обл., 92322","1056","420","1041","126","515","121","636","","0","516","120","636","12","624","314","98","13","52","131","12","2","2","29.10.12"
"440290","114","Луганська область","будинок культури, хол, 1-й поверх
вул.Красноармійська, 81, с.Можняківка, Новопсковський р-н, Луганська обл., 92326","1248","548","1226","84","628","72","700","","0","628","72","700","12","688","227","218","27","37","165","5","2","7","29.10.12"
"440291","114","Луганська область","адміністративна будівля радгоспу ""Білолуцький"", к.1
вул.Шевченка, 25, с-ще Радгоспний, Новопсковський р-н, Луганська обл., 92326","48","25","45","2","21","2","23","","0","21","2","23","0","23","2","15","0","4","2","0","0","0","28.10.12"
"440292","114","Луганська область","будинок культури, спортивна зала
вул.Миру, 2А, с.Новобіла, Новопсковський р-н, Луганська обл., 92310","1400","542","1369","89","775","83","858","","0","775","83","858","19","839","331","125","31","98","235","7","10","2","29.10.12"
"440293","114","Луганська область","будинок культури, глядацька зала
вул.Леніна, 8, с.Козлове, Новопсковський р-н, Луганська обл., 92311","224","85","217","11","130","9","139","","0","130","9","139","7","132","66","25","3","11","19","3","2","3","28.10.12"
"440294","114","Луганська область","будинок культури, глядацька зала
вул.Першотравнева, 22, с.Світле, Новопсковський р-н, Луганська обл., 92304","80","30","50","5","45","5","50","","0","45","5","50","5","45","24","12","1","5","1","1","1","0","28.10.12"
"440295","114","Луганська область","школа, хол
вул.Леніна, 4, с.Павленкове, Новопсковський р-н, Луганська обл., 92320","512","171","508","42","304","37","341","","0","304","37","341","18","323","159","68","12","41","32","1","7","3","29.10.12"
"440296","114","Луганська область","будинок культури, глядацька зала
вул.Шкільна, 1А, с.Трембачеве, Новопсковський р-н, Луганська обл., 92321","224","77","211","28","120","27","147","","0","120","27","147","7","140","65","33","2","21","16","1","1","1","28.10.12"
"440297","114","Луганська область","сільський клуб, фойє
вул.Радянська, 2, с.Рогове, Новопсковський р-н, Луганська обл., 92341","520","190","506","60","277","53","330","","0","277","53","330","10","320","155","39","17","14","81","3","6","5","29.10.12"
"440298","114","Луганська область","будинок культури, фойє
вул.Первомайська, 37, с.Заайдарівка, Новопсковський р-н, Луганська обл., 92340","1192","486","1171","90","622","84","706","","0","622","84","706","33","673","336","114","26","56","112","12","8","9","29.10.12"
"440299","114","Луганська область","школа №1, фойє
вул.Леніна, 1А, с.Осинове, Новопсковський р-н, Луганська обл., 92342","912","381","898","64","471","60","531","","0","471","60","531","19","512","230","89","32","31","112","1","13","4","29.10.12"
"440300","114","Луганська область","школа №2, фойє
вул.Октябрська, 2А, с.Осинове, Новопсковський р-н, Луганська обл., 92343","871","282","861","100","491","98","589","","0","491","98","589","18","571","278","83","22","31","134","4","10","9","28.10.12"
"440301","114","Луганська область","школа, фойє
вул.Димитрова, 42В, с.Макартетине, Новопсковський р-н, Луганська обл., 92346","224","53","218","16","156","15","171","","0","156","15","171","5","166","60","19","18","18","45","0","6","0","28.10.12"
"440302","114","Луганська область","районний центр культури та дозвілля, фойє
вул.Леніна, 38, смт Новопсков, Новопсковський р-н, Луганська обл., 92303","2248","972","2230","125","1168","108","1276","","0","1168","108","1276","45","1231","426","378","59","140","183","20","16","9","29.10.12"
"440303","114","Луганська область","селищний будинок культури, дискотечна зала
вул.Шкільна, 15Б, смт Новопсков, Новопсковський р-н, Луганська обл., 92302","2288","1011","2250","91","1209","68","1277","","0","1209","68","1277","32","1245","480","366","41","113","182","22","28","13","29.10.12"
"440304","114","Луганська область","будинок культури газівників, танцювальна зала
вул.Карла Маркса, 299, смт Новопсков, Новопсковський р-н, Луганська обл., 92301","2232","1035","2201","82","1123","74","1197","","0","1123","74","1197","31","1166","475","322","33","112","170","20","18","16","29.10.12"
"440305","114","Луганська область","будинок культури, фойє
вул.Леніна, 14А, с.Риб’янцеве, Новопсковський р-н, Луганська обл., 92350","968","304","953","57","609","55","664","","0","609","55","664","13","651","244","99","13","29","247","1","9","9","29.10.12"
"440306","114","Луганська область","будинок культури, глядацька зала
вул.Пархоменко, 23, с.Писарівка, Новопсковський р-н, Луганська обл., 92351","592","158","580","45","390","44","434","","0","390","44","434","15","419","201","70","8","29","79","18","7","7","29.10.12"
"440307","114","Луганська область","будинок культури, глядацька зала
вул.Айдарська, 6, с.Закотне, Новопсковський р-н, Луганська обл., 92352","896","327","888","90","486","83","569","","0","486","83","569","17","552","216","55","9","25","235","3","7","2","29.10.12"
"440308","114","Луганська область","сільський клуб, глядацька зала
вул.Братів Касяненко, 61А, с.Лисогорівка, Новопсковський р-н, Луганська обл., 92353","248","76","243","35","137","35","172","","0","137","35","172","5","167","91","16","2","14","43","0","1","0","28.10.12"
"440309","114","Луганська область","будинок культури, глядацька зала
вул.Леніна, 8, с.Піски, Новопсковський р-н, Луганська обл., 92354","1024","388","1019","73","568","68","636","","0","568","68","636","16","620","181","92","20","66","241","3","9","8","29.10.12"
"440310","114","Луганська область","будинок культури, фойє
вул.Совєтська, 9, с.Булавинівка, Новопсковський р-н, Луганська обл., 92355","616","185","610","62","372","59","431","","0","372","59","431","22","409","133","93","22","52","86","1","13","9","29.10.12"
"440311","114","Луганська область","будинок культури, глядацька зала
вул.Ювілейна, 35, с.Новорозсош, Новопсковський р-н, Луганська обл., 92335","1408","401","1402","141","869","138","1007","","0","869","138","1007","26","981","521","173","21","45","194","4","11","12","29.10.12"
"440312","114","Луганська область","будинок культури, фойє
вул.Радянська, 21, с.Донцівка, Новопсковський р-н, Луганська обл., 92334","992","356","982","82","574","62","636","","0","574","62","636","16","620","190","219","15","25","161","1","5","4","29.10.12"
"440313","114","Луганська область","будинок культури, фойє
вул.Пульного, 1, с.Кам’янка, Новопсковський р-н, Луганська обл., 92332","1112","431","1099","114","575","106","681","","0","575","106","681","27","654","279","263","10","33","57","1","7","4","29.10.12"
"440314","114","Луганська область","сільський клуб, глядацька зала
вул.Леніна, 25, с.Ганусівка, Новопсковський р-н, Луганська обл., 92330","344","115","339","22","207","22","229","","0","207","22","229","6","223","84","79","9","14","36","1","0","0","28.10.12"
"440315","114","Луганська область","сільський клуб, каб.1
вул.Радянська, 10, с.Пантюхине, Новопсковський р-н, Луганська обл., 92331","80","30","71","12","38","12","50","","0","38","12","50","1","49","18","13","3","0","13","1","0","1","31.10.12"
"440462","114","Луганська область","школа, фойє
вул.Весняна, 21, с.Весела Гора, Слов’яносербський р-н, Луганська обл., 93730","1080","420","1067","48","613","47","660","","0","613","47","660","35","625","370","31","26","38","85","33","25","17","28.10.12"
"440463","114","Луганська область","сільський клуб, фойє
вул.Зелена, 87, с.Привітне, Слов’яносербський р-н, Луганська обл., 93730","288","80","280","27","183","25","208","","0","183","25","208","8","200","116","10","14","11","27","9","11","2","30.10.12"
"440464","114","Луганська область","ТОВ ""Луга-Райз-Агро"", фойє адмінбудинку
вул.Новостройна, 14, с.Обозне, Слов’яносербський р-н, Луганська обл., 93731","208","59","203","30","119","30","149","","0","119","30","149","8","141","95","8","5","8","18","2","2","3","28.10.12"
"440465","114","Луганська область","школа, фойє
вул.Назаренка, 2, с.Весняне, Слов’яносербський р-н, Луганська обл., 93723","624","160","613","84","381","83","464","","0","381","83","464","0","464","397","3","4","12","40","1","2","5","28.10.12"
"440466","114","Луганська область","будинок культури, актова зала
пров.Комсомольський, 1, с.Жовте, Слов’яносербський р-н, Луганська обл., 93734","984","304","969","70","612","68","680","","0","612","68","680","10","670","499","30","28","28","52","14","13","6","28.10.12"
"440467","114","Луганська область","сільський клуб, актова зала
вул.Шевченка, 6, с.Лобачеве, Слов’яносербський р-н, Луганська обл., 93734","176","36","172","16","124","16","140","","0","124","16","140","2","138","119","0","2","5","3","2","1","6","28.10.12"
"440468","114","Луганська область","школа, фойє
вул.Шабаліна, 1А, с.Сабівка, Слов’яносербський р-н, Луганська обл., 93735","784","236","786","61","489","59","548","","0","489","59","548","15","533","398","12","18","27","39","9","15","15","28.10.12"
"440469","114","Луганська область","фельдшерсько-акушерський пункт, каб.2
вул.Горького, 80, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","280","69","280","38","174","37","211","","0","174","37","211","2","209","167","6","5","6","21","3","0","1","29.10.12"
"440470","114","Луганська область","філія Луганської автошколи, к.2
вул.Леніна, 94, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","664","252","665","54","365","47","412","","0","365","47","412","25","387","280","6","9","23","52","1","7","9","29.10.12"
"440471","114","Луганська область","школа, фойє
вул.Садова, 26А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","680","262","670","52","368","50","418","","0","368","50","418","19","399","306","7","6","16","53","3","4","4","29.10.12"
"440472","114","Луганська область","школа, їдальня
вул.Садова, 26А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","744","298","740","37","410","36","446","","0","410","36","446","18","428","303","11","10","16","71","3","6","8","28.10.12"
"440473","114","Луганська область","будинок культури, дискотечна зала
вул.Побєди, 7А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","912","332","891","82","498","82","580","","0","497","82","579","25","554","373","12","16","17","114","5","5","12","29.10.12"
"440474","114","Луганська область","будинок культури, фойє, 2-й поверх
вул.Побєди, 7А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","1520","614","1489","50","858","48","906","","0","858","48","906","35","871","645","12","27","28","106","6","25","22","29.10.12"
"440475","114","Луганська область","комунальне підприємство ""Мрія"", фойє
вул.Совєтов, 2А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","1368","542","1327","54","772","54","826","","0","772","54","826","34","792","569","13","16","35","114","12","21","12","29.10.12"
"440476","114","Луганська область","гімназія, фойє
вул.Гоголя, 1А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","1320","485","1288","71","772","63","835","","0","772","63","835","21","814","658","11","20","22","64","9","15","15","30.10.12"
"440477","114","Луганська область","будинок культури, актова зала
вул.Совєтська, 9, с.Кримське, Слов’яносербський р-н, Луганська обл., 93713","952","320","946","72","564","68","632","","0","564","68","632","20","612","473","17","13","13","64","12","7","13","28.10.12"
"440478","114","Луганська область","сільський клуб, актова зала
вул.Горького, 108, с.Сокільники, Слов’яносербський р-н, Луганська обл., 93714","240","69","235","22","149","22","171","","0","149","22","171","6","165","139","0","3","6","8","6","2","1","28.10.12"
"440479","114","Луганська область","будинок культури, фойє
вул.Леніна, 1А, смт Лозівський, Слов’яносербський р-н, Луганська обл., 93745","1608","683","1568","64","875","50","925","","0","875","50","925","43","882","573","22","18","28","194","14","11","22","29.10.12"
"440480","114","Луганська область","школа, фойє
вул.Октябрська, 7, смт Лозівський, Слов’яносербський р-н, Луганська обл., 93745","1392","532","1354","87","775","85","860","","0","775","85","860","45","815","540","16","18","24","186","10","7","14","29.10.12"
"440481","114","Луганська область","початкова школа, кл.2
вул.Садова, 19, смт Лозівський, Слов’яносербський р-н, Луганська обл., 93745","552","170","543","52","332","50","382","","0","332","50","382","19","363","260","9","8","15","55","2","8","6","31.10.12"
"440482","114","Луганська область","будинок культури, фойє
вул.Леніна, 26, смт Лотикове, Слов’яносербський р-н, Луганська обл., 93747","1168","311","1155","229","639","218","857","","0","639","218","857","31","826","636","15","14","19","115","6","7","14","29.10.12"
"440483","114","Луганська область","школа, фойє
вул.Чкалова, 1, смт Лотикове, Слов’яносербський р-н, Луганська обл., 93747","1624","826","1103","68","741","57","798","","0","741","57","798","24","774","597","10","19","19","102","6","10","11","29.10.12"
"440484","114","Луганська область","будинок культури, фойє
вул.Октябрська, 58, с-ще Металіст, Слов’яносербський р-н, Луганська обл., 93733","1824","611","1801","101","1115","98","1213","","0","1115","98","1213","53","1160","541","103","51","80","261","51","42","31","29.10.12"
"440485","114","Луганська область","сільський клуб, фойє
вул.Молодіжна, 30, с.Шишкове, Слов’яносербський р-н, Луганська обл., 93733","280","68","274","29","183","29","212","","0","183","29","212","9","203","165","7","5","3","12","2","4","5","29.10.12"
"440486","114","Луганська область","сільський клуб, актова зала
пл.Леніна, 2, с.Раївка, Слов’яносербський р-н, Луганська обл., 93732","200","47","195","16","137","16","153","","0","137","16","153","5","148","81","13","4","7","39","1","2","1","28.10.12"
"440487","114","Луганська область","дистанція колії, актова зала
квартал Шевченка, 15А, смт Родакове, Слов’яносербський р-н, Луганська обл., 93743","1416","505","1393","49","864","47","911","","0","864","47","911","28","883","667","22","23","26","92","12","23","18","28.10.12"
"440488","114","Луганська область","адмінбудинок дільниці будівельно-монтажного експлуатаційного управління, фойє
квартал Леніна, 14Г, смт Родакове, Слов’яносербський р-н, Луганська обл., 93743","1160","432","1126","35","696","32","728","","0","696","32","728","29","699","535","9","13","25","88","10","6","13","28.10.12"
"440489","114","Луганська область","гімназія, фойє
квартал Леніна, 15Б, смт Родакове, Слов’яносербський р-н, Луганська обл., 93743","1048","247","1030","78","723","78","801","","0","723","78","801","22","779","590","18","20","20","80","19","18","14","29.10.12"
"440490","114","Луганська область","гуртожиток локомотивного депо, фойє
квартал Леніна, 17, смт Родакове, Слов’яносербський р-н, Луганська обл., 93743","1424","496","1405","53","878","50","928","","0","878","50","928","20","908","709","14","17","27","101","13","15","12","29.10.12"
"440491","114","Луганська область","школа, фойє
вул.Новостройна, 1А, с.Красний Луч, Слов’яносербський р-н, Луганська обл., 93744","1096","316","1079","96","684","96","780","","0","684","96","780","7","773","652","17","19","15","41","11","8","10","29.10.12"
"440492","114","Луганська область","райавтодор, актова зала
вул.Комсомольська, 1, смт Слов’яносербськ, Слов’яносербський р-н, Луганська обл., 93701","384","117","383","18","250","17","267","","0","250","17","267","12","255","155","12","12","15","45","5","6","5","28.10.12"
